PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AUID,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,CI,GR,OTO,OT,PMC,COIS,MID,SI,CON,CIN,PMCR,EFR,EIN,CN,DA,CTDT,PB,BTI,CDAT,ROF,TT,RIN,PS,FPS,FED,ED
31660660,NLM,MEDLINE,20201123,20201123,1468-3083 (Electronic) 0926-9959 (Linking),34,2,2020 Feb,Radiation recall dermatitis induced by mogamulizumab.,e107-e108,10.1111/jdv.16033 [doi],"['Sasaki, K', 'Iinuma, S', 'Fujii, M', 'Shibuya, T', 'Kanno, K', 'Honma, M', 'Hatayama, M', 'Ishida-Yamamoto, A']","['Sasaki K', 'Iinuma S', 'Fujii M', 'Shibuya T', 'Kanno K', 'Honma M', 'Hatayama M', 'Ishida-Yamamoto A']",['ORCID: https://orcid.org/0000-0001-8070-3045'],"['Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.', 'Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.', 'Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.', 'Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.', 'Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.', 'Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.', 'Division of Gastroenterology and Hematology/Oncology, Department of Medicine, Asahikawa Medical University, Asahikawa, Japan.', 'Department of Dermatology, Asahikawa Medical University, Asahikawa, Japan.']",['eng'],"['Case Reports', 'Letter']",20191119,England,J Eur Acad Dermatol Venereol,Journal of the European Academy of Dermatology and Venereology : JEADV,9216037,"['0 (Antibodies, Monoclonal, Humanized)', '0 (Antineoplastic Agents)', 'YI437801BE (mogamulizumab)']",IM,"['Aged', 'Antibodies, Monoclonal, Humanized/*adverse effects', 'Antineoplastic Agents/*adverse effects', 'Humans', 'Male', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/*radiotherapy', 'Radiodermatitis/*chemically induced']",2019/10/30 06:00,2020/11/24 06:00,['2019/10/30 06:00'],"['2019/10/30 06:00 [pubmed]', '2020/11/24 06:00 [medline]', '2019/10/30 06:00 [entrez]']",['10.1111/jdv.16033 [doi]'],ppublish,J Eur Acad Dermatol Venereol. 2020 Feb;34(2):e107-e108. doi: 10.1111/jdv.16033. Epub 2019 Nov 19.,,,,,,,,,,,,,,,,,,,,,,,,,,,
31660637,NLM,MEDLINE,20200227,20200227,1600-0714 (Electronic) 0904-2512 (Linking),49,2,2020 Feb,Tumor-infiltrating lymphocyte-derived MLL2 independently predicts disease-free survival for patients with early-stage oral squamous cell carcinoma.,126-136,10.1111/jop.12969 [doi],"['Zhu, Nisha', 'Ding, Liang', 'Fu, Yong', 'Yang, Yan', 'Chen, Sheng', 'Chen, Wantao', 'Zhao, Mengxiang', 'Zhao, Xingxing', 'Lu, Zhanyi', 'Ni, Yanhong', 'Hu, Qingang']","['Zhu N', 'Ding L', 'Fu Y', 'Yang Y', 'Chen S', 'Chen W', 'Zhao M', 'Zhao X', 'Lu Z', 'Ni Y', 'Hu Q']","['ORCID: https://orcid.org/0000-0002-1043-0923', 'ORCID: https://orcid.org/0000-0002-5732-1978', 'ORCID: https://orcid.org/0000-0002-3890-3884']","['Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', ""Department of Oral and Maxillofacial-Head and Neck Oncology, Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China."", 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.', 'Central Laboratory of Stomatology, Nanjing Stomatological Hospital, Medical School of Nanjing University, Nanjing, China.']",['eng'],['Journal Article'],20191119,Denmark,J Oral Pathol Med,Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,8911934,"['0 (DNA-Binding Proteins)', '0 (KMT2D protein, human)', '0 (Neoplasm Proteins)']",IM,"['*Carcinoma, Squamous Cell', 'DNA-Binding Proteins', 'Disease-Free Survival', 'Humans', '*Lymphocytes, Tumor-Infiltrating', '*Mouth Neoplasms', 'Neoplasm Proteins', 'Prognosis', 'Retrospective Studies']",2019/10/30 06:00,2020/02/28 06:00,['2019/10/30 06:00'],"['2019/07/16 00:00 [received]', '2019/10/04 00:00 [revised]', '2019/10/18 00:00 [accepted]', '2019/10/30 06:00 [pubmed]', '2020/02/28 06:00 [medline]', '2019/10/30 06:00 [entrez]']",['10.1111/jop.12969 [doi]'],ppublish,J Oral Pathol Med. 2020 Feb;49(2):126-136. doi: 10.1111/jop.12969. Epub 2019 Nov 19.,"BACKGROUND: MLL2 (mixed-lineage leukemia 2) is recognized as an essential role in regulating histone 3 lysine 4 tri-methylation (H3K4me3) in mammalian cells. It is frequently mutated to promote developmental diseases and tumor initiation. However, the expression pattern of MLL2 and its clinical significance for patients with early-stage oral squamous cell carcinoma (OSCC) remain totally unknown. METHODS: Eighty-five samples of primary early-stage OSCC were enrolled in this retrospective study, and immunohistochemistry (IHC) was performed to detect the spatial pattern of MLL2. The diagnostic and prognostic value of MLL2 were assessed. RESULTS: MLL2 was widely expressed in tumor cells (TCs), fibroblast-like cells (FLCs), and tumor-infiltrating lymphocytes (TILs), both in tumor center and invasive tumor front, and showed no distributive heterogeneity. Moreover, regardless of cell types and microlocalization, patients with high expressed MLL2 had increased depth invasion of tumor (DOI). Besides, upregulation of MLL2(TC) and MLL2(TIL) in tumor center were both associated with poor differentiation, but showed no correlation with tumor growth with comparable Ki-67 levels. Prognostic analysis indicated that early-stage OSCC patients with enhanced MLL2(TIL) in invasive tumor front were susceptible to occur postoperative metastasis and recurrence. Indeed, patients with higher expressed MLL2(TIL) showed shorter overall survival (OS) and disease-free survival (DFS), and MLL2(TIL) in invasive tumor front was an independent risk factor of DFS. CONCLUSION: TIL-derived MLL2 in invasive tumor front was an independent prognostic factor of DFS for early-stage OSCC patients.",['(c) 2019 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.'],"['Nos. 81902754 to LD, 81702680 to YS, and 81772880/National Natural Science', 'Foundation of China', 'No. 2019M651789 to LD/China Postdoctoral Science Foundation', 'Nos. YKK17138 to YS/Nanjing Medical Science and Technology Development', 'Foundation, Nanjing Department of Health']",['NOTNLM'],"['mixed-lineage leukemia 2', 'oral squamous cell carcinoma', 'prognosis', 'tumor-infiltrating lymphocytes']",,,,,,,,,,,,,,,,,,,,,,
31660600,NLM,MEDLINE,20200824,20200824,1878-0369 (Electronic) 0001-2092 (Linking),110,5,2019 Nov,Febrile Neutropenia and an Almost Fatal Medication Error.,565-567,10.1002/aorn.12836 [doi],,,,,['eng'],"['Case Reports', 'Journal Article']",,United States,AORN J,AORN journal,0372403,"['0 (Antineoplastic Agents)', '0 (Suppositories)']",IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Constipation/drug therapy', '*Febrile Neutropenia', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/complications/*drug therapy', 'Medication Errors', 'Perioperative Nursing', 'Suppositories/adverse effects']",2019/10/30 06:00,2020/08/25 06:00,['2019/10/30 06:00'],"['2019/10/30 06:00 [entrez]', '2019/10/30 06:00 [pubmed]', '2020/08/25 06:00 [medline]']",['10.1002/aorn.12836 [doi]'],ppublish,AORN J. 2019 Nov;110(5):565-567. doi: 10.1002/aorn.12836.,,,,,,,,,,,,,,,,,,,,,,,,,,,
31660336,NLM,PubMed-not-MEDLINE,,20200930,2328-8957 (Print) 2328-8957 (Linking),6,10,2019 Oct,Impact of Catheter Management on Clinical Outcome in Adult Cancer Patients With Gram-Negative Bacteremia.,ofz357,10.1093/ofid/ofz357 [doi],"['Fares, Johny', 'Khalil, Melissa', 'Chaftari, Anne-Marie', 'Hachem, Ray', 'Jiang, Ying', 'Kantarjian, Hagop M', 'Raad, Issam I']","['Fares J', 'Khalil M', 'Chaftari AM', 'Hachem R', 'Jiang Y', 'Kantarjian HM', 'Raad II']",,"['Department of Infectious Diseases, Infection Control, and Employee Health, The University of Texas MD Anderson Cancer Center, Houston.', 'Department of Infectious Diseases, Infection Control, and Employee Health, The University of Texas MD Anderson Cancer Center, Houston.', 'Department of Infectious Diseases, Infection Control, and Employee Health, The University of Texas MD Anderson Cancer Center, Houston.', 'Department of Infectious Diseases, Infection Control, and Employee Health, The University of Texas MD Anderson Cancer Center, Houston.', 'Department of Infectious Diseases, Infection Control, and Employee Health, The University of Texas MD Anderson Cancer Center, Houston.', 'Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston.', 'Department of Infectious Diseases, Infection Control, and Employee Health, The University of Texas MD Anderson Cancer Center, Houston.']",['eng'],['Journal Article'],20190928,United States,Open Forum Infect Dis,Open forum infectious diseases,101637045,,,,2019/10/30 06:00,2019/10/30 06:01,['2019/10/30 06:00'],"['2019/05/08 00:00 [received]', '2019/08/20 00:00 [accepted]', '2019/10/30 06:00 [entrez]', '2019/10/30 06:00 [pubmed]', '2019/10/30 06:01 [medline]']","['10.1093/ofid/ofz357 [doi]', 'ofz357 [pii]']",epublish,Open Forum Infect Dis. 2019 Sep 28;6(10):ofz357. doi: 10.1093/ofid/ofz357. eCollection 2019 Oct.,"Objective: Gram-negative organisms have become a major etiology of bloodstream infections. We evaluated the effect of central venous catheter management on cancer patients with gram-negative bloodstream infections. Method: We retrospectively identified patients older than 14 years with central venous catheters who were diagnosed with gram-negative bloodstream infections to determine the effect of catheter management on outcome. Patients were divided into 3 groups: Group 1 included patients with central line-associated bloodstream infections (CLABSI) without mucosal barrier injury and those whose infection met the criteria for catheter-related bloodstream infection; group 2 included patients with CLABSI with mucosal barrier injury who did not meet the criteria for catheter-related bloodstream infection; and group 3 included patients with non-CLABSI. Results: The study included 300 patients, with 100 patients in each group. Only in group 1 was central venous catheter removal within 2 days of bloodstream infection significantly associated with a higher rate of microbiologic resolution at 4 days compared to delayed central venous catheter removal (3-5 days) or retention (98% vs 82%, P = .006) and a lower overall mortality rate at 3-month follow-up (3% vs 19%, P = .01). Both associations persisted in multivariate analyses (P = .018 and P = .016, respectively). Conclusions: Central venous catheter removal within 2 days of the onset of gram-negative bloodstream infections significantly improved the infectious outcome and overall mortality of adult cancer patients with catheter-related bloodstream infections and CLABSI without mucosal barrier injury.","['(c) The Author(s) 2019. Published by Oxford University Press on behalf of', 'Infectious Diseases Society of America.']",,['NOTNLM'],"['Gram negative', 'bloodstream infection', 'cancer patients', 'central venous catheter']",PMC6765346,,,,,,,,,,,,,,,,,,,,,
31660152,NLM,PubMed-not-MEDLINE,,20201001,2050-7771 (Print) 2050-7771 (Linking),7,,2019,Isocitrate dehydrogenase inhibitors in acute myeloid leukemia.,22,10.1186/s40364-019-0173-z [doi],"['Liu, Xiaoyan', 'Gong, Yuping']","['Liu X', 'Gong Y']",['ORCID: 0000-0002-2437-9348'],"['Department of Hematology, West China Hospital of Sichuan University, No.37 Guo Xue Xiang, Chengdu, 610041 Sichuan Province China.0000 0004 1770 1022grid.412901.f', 'Department of Hematology, West China Hospital of Sichuan University, No.37 Guo Xue Xiang, Chengdu, 610041 Sichuan Province China.0000 0004 1770 1022grid.412901.f']",['eng'],"['Journal Article', 'Review']",20191022,England,Biomark Res,Biomarker research,101607860,,,,2019/10/30 06:00,2019/10/30 06:01,['2019/10/30 06:00'],"['2019/08/09 00:00 [received]', '2019/09/30 00:00 [accepted]', '2019/10/30 06:00 [entrez]', '2019/10/30 06:00 [pubmed]', '2019/10/30 06:01 [medline]']","['10.1186/s40364-019-0173-z [doi]', '173 [pii]']",epublish,Biomark Res. 2019 Oct 22;7:22. doi: 10.1186/s40364-019-0173-z. eCollection 2019.,"Isocitrate dehydrogenase (IDH) is a key enzyme involved in the conversion of isocitrate to alpha-ketoglutarate (alpha-KG) in the tricarboxylic acid (TCA) cycle. IDH mutation produces a neomorphic enzyme, which can lead to the abnormal accumulation of R-2-HG and promotes leukemogenesis. IDH mutation occurs in 20% of acute myeloid leukemia (AML) patients, mainly including IDH1 R132, IDH2 R140, and IDH2 R172. Different mutant isoforms have different prognostic values. In recent years, IDH inhibitors have shown good clinical response in AML patients. Hence, enasidenib and ivosidenib, the IDH2 and IDH1 inhibitors developed by Agios Pharmaceuticals, have been approved by the Food and Drug Administration on 1 August 2017 and 20 July 2018 for the treatment of adult relapsed or refractory (R/R) AML with IDH2 and IDH1 mutations, respectively. IDH inhibitor monotherapy for R/R AML is efficacious and safe; however, there are problems, such as primary or acquired resistance. Clinical trials of IDH inhibitors combined with hypomethylating agents or standard chemotherapy for the treatment of R/R AML or newly diagnosed AML, as well as in post hematopoietic stem cell transplantation as maintenance therapy, are ongoing. This article summarizes the use of IDH inhibitors in AML with IDH mutations.",['(c) The Author(s). 2019.'],,['NOTNLM'],"['AML', 'IDH inhibitor', 'IDH mutation']",PMC6806510,['Competing interestsThe authors declare that they have no competing interests.'],,,,,,,,,,,,,,,,,,,,
31659970,NLM,MEDLINE,20200327,20200327,1681-7168 (Electronic) 1022-386X (Linking),29,11,2019 Nov,Myelofibrosis in Patients of Chronic Myeloid Leukemia in Chronic Phase at Presentation.,1096-1100,10.29271/jcpsp.2019.11.1096 [doi],"['Hamid, Ambareen', 'Ashraf, Sobia', 'Qamar, Samina', 'Naveed, Muhammad Asif', 'Hameed, Ahmad', 'Farooq, Muhammad Azhar']","['Hamid A', 'Ashraf S', 'Qamar S', 'Naveed MA', 'Hameed A', 'Farooq MA']",,"['Department of Pathology, King Edward Medical University (KEMU), Lahore, Pakistan.', 'Department of Pathology, King Edward Medical University (KEMU), Lahore, Pakistan.', 'Department of Pathology, King Edward Medical University (KEMU), Lahore, Pakistan.', 'Department of Pathology, King Edward Medical University (KEMU), Lahore, Pakistan.', 'Department of Pathology, King Edward Medical University (KEMU), Lahore, Pakistan.', 'Department of Paediatric Medicine, King Edward Medical University (KEMU), Lahore, Pakistan.']",['eng'],['Journal Article'],,Pakistan,J Coll Physicians Surg Pak,Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,9606447,,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Biopsy', 'Bone Marrow/pathology', 'Child', 'Cross-Sectional Studies', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications', 'Male', 'Middle Aged', 'Neoplasm Grading', 'Pakistan', 'Primary Myelofibrosis/*etiology']",2019/10/30 06:00,2020/03/28 06:00,['2019/10/30 06:00'],"['2018/11/27 00:00 [received]', '2019/04/22 00:00 [accepted]', '2019/10/30 06:00 [entrez]', '2019/10/30 06:00 [pubmed]', '2020/03/28 06:00 [medline]']","['040579197 [pii]', '10.29271/jcpsp.2019.11.1096 [doi]']",ppublish,J Coll Physicians Surg Pak. 2019 Nov;29(11):1096-1100. doi: 10.29271/jcpsp.2019.11.1096.,"OBJECTIVE: To determine the frequency and grading of myelofibrosis in patients of chronic myeloid leukaemia in chronic phase, and the association of cytopenias/cytosis with the degree of fibrosis. STUDY DESIGN: Descriptive study. PLACE AND DURATION OF STUDY: King Edward Medical University, Lahore, from March 2015 to April 2017. METHODOLOGY: Patients of both genders and all age groups with Philadelphia chromosome/BCR-ABL positivity were included in the study. Detailed medical history and examination findings were recorded. Sample for CBC was taken in EDTA and run on automated haematology analyser. Bone marrow aspirate and trephine biopsy was done from posterior iliac crest. Bone marrow aspirate slides were stained with Giemsa stain. The trephine biopsy was processed and stained with haematoxilyn and eosin. Silver (reticulin) and trichrome staining was done on trephine biopsy to assess the degree of fibrosis. Grading of fibrosis was done according to WHO revised classification 2016. RESULTS: Among the 82 cases, 65% (n=53) were having WHO Grade MF 1 myelofibrosis, 27% (n=22) WHO Grade MF 2 myelofibrosis; whereas, 08% (n=07) WHO Grade MF 3 myelofibrosis. CBC counts were analysed to see any association between anemia, thrombocytocytosis and leucocytosis with advanced fibrosis (p=0.148, 0.413 and 0.174, respectively). CONCLUSION: Some degree of bone marrow fibrosis was present in all patients of chronic myeloid leukemia, while advance fibrosis (WHO Grade MF 2 and 3) is also common. Peripheral blood counts are not predictor of increased fibrosis. Therefore, bone marrow biopsy with special staining should be done in all cases of chronic phase of CML.",,,,,,,,,,,,,,,,,,,,,,,,,,
31659626,NLM,MEDLINE,20200810,20210110,1865-3774 (Electronic) 0925-5710 (Linking),111,2,2020 Feb,GVHD prophylaxis by tacrolimus and mini-MTX in single-unit CBT: a single institute experience.,278-283,10.1007/s12185-019-02762-3 [doi],"['Fuji, Shigeo', 'Tada, Yuma', 'Nakata, Ryo', 'Nakata, Keiichi', 'Koike, Midori', 'Kida, Shuhei', 'Tsutsumi, Kazuhito', 'Masaie, Hiroaki', 'Yoshida, Hitoshi', 'Ishikawa, Jun']","['Fuji S', 'Tada Y', 'Nakata R', 'Nakata K', 'Koike M', 'Kida S', 'Tsutsumi K', 'Masaie H', 'Yoshida H', 'Ishikawa J']",['ORCID: http://orcid.org/0000-0001-5118-7950'],"['Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan. fujishige1231@gmail.com.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.', 'Department of Hematology, Osaka International Cancer Institute, 3-1-69, Otemae, Chuo-Ku, Osaka, 541-8567, Japan.']",['eng'],['Journal Article'],20191028,Japan,Int J Hematol,International journal of hematology,9111627,"['WM0HAQ4WNM (Tacrolimus)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Drug Therapy, Combination', 'Graft vs Host Disease/mortality/*prevention & control', 'Humans', 'Methotrexate/*administration & dosage', 'Recurrence', 'Retrospective Studies', 'Survival Rate', 'Tacrolimus/*administration & dosage', 'Treatment Outcome']",2019/10/30 06:00,2020/08/11 06:00,['2019/10/30 06:00'],"['2019/07/02 00:00 [received]', '2019/10/16 00:00 [accepted]', '2019/10/15 00:00 [revised]', '2019/10/30 06:00 [pubmed]', '2020/08/11 06:00 [medline]', '2019/10/30 06:00 [entrez]']","['10.1007/s12185-019-02762-3 [doi]', '10.1007/s12185-019-02762-3 [pii]']",ppublish,Int J Hematol. 2020 Feb;111(2):278-283. doi: 10.1007/s12185-019-02762-3. Epub 2019 Oct 28.,"Tacrolimus (TAC) combined with short-term methotrexate (MTX) is widely used to prevent graft-versus-host disease (GVHD) in cord blood transplantation (CBT). As short-term MTX aggravates mucositis and delays engraftment, we reduced the dose of MTX, as previously reported in the non-CBT setting. Here, we retrospectively analyze outcomes of 20 patients who received CBT from April 2017 to December 2018. All patients received TAC with mini-MTX as GVHD prophylaxis. Mini-MTX was administered at a dose of 5 mg/m(2) of MTX on days 1, 3 and 6 after CBT. Median age was 54.5 years. Median follow-up time in surviving patients was 396 days. The primary disease was acute leukemia (n = 12) or malignant lymphoma (n = 8). Three patients and 17 patients received myeloablative and reduced-intensity conditioning, respectively. Rate and median time to engraftment of neutrophils were 90.0% and 20.5 days, respectively. Cumulative incidences of grade II-IV and grade III-IV acute GVHD were 35.0% and 5.0%, respectively. At one year after CBT, the overall survival rate was 80.5%, cumulative incidence of relapse/progression was 15.0%, and non-relapse mortality rate was 5.0%. In conclusion, TAC with mini-MTX may be a promising GVHD prophylaxis regimen in single-unit CBT.",,,['NOTNLM'],"['Cord blood transplant', 'GVHD prophylaxis', 'Graft failure', 'Methotrexate']",,,,,,,,,,,,,,,,,,,,,,
31659466,NLM,MEDLINE,20201116,20201116,1432-1076 (Electronic) 0340-6199 (Linking),179,1,2020 Jan,Trends in age- and sex-adjusted body mass index and the prevalence of malnutrition in children with cancer over 42 months after diagnosis: a single-center cohort study.,91-98,10.1007/s00431-019-03482-w [doi],"['Aarnivala, Henri', 'Pokka, Tytti', 'Soininen, Riina', 'Mottonen, Merja', 'Harila-Saari, Arja', 'Niinimaki, Riitta']","['Aarnivala H', 'Pokka T', 'Soininen R', 'Mottonen M', 'Harila-Saari A', 'Niinimaki R']",,"['Department of Children and Adolescents, Oulu University Hospital and PEDEGO Research Unit, University of Oulu, Kajaanintie 52, 90220, Oulu, Finland. henri.aarnivala@student.oulu.fi.', 'Department of Children and Adolescents, Oulu University Hospital and PEDEGO Research Unit, University of Oulu, Kajaanintie 52, 90220, Oulu, Finland.', 'Department of Children and Adolescents, Oulu University Hospital and PEDEGO Research Unit, University of Oulu, Kajaanintie 52, 90220, Oulu, Finland.', 'Department of Children and Adolescents, Oulu University Hospital and PEDEGO Research Unit, University of Oulu, Kajaanintie 52, 90220, Oulu, Finland.', ""Department of Women's and Children's Health, Uppsala University, Uppsala, Sweden."", 'Department of Children and Adolescents, Oulu University Hospital and PEDEGO Research Unit, University of Oulu, Kajaanintie 52, 90220, Oulu, Finland.']",['eng'],"['Journal Article', 'Observational Study']",20191028,Germany,Eur J Pediatr,European journal of pediatrics,7603873,,IM,"['Adolescent', '*Body Mass Index', 'Child', 'Child, Preschool', 'Female', 'Finland', 'Follow-Up Studies', 'Humans', 'Incidence', 'Male', 'Malnutrition/diagnosis/epidemiology/*etiology', 'Neoplasms/*complications', 'Prevalence', 'Retrospective Studies', 'Risk Factors']",2019/10/30 06:00,2020/11/18 06:00,['2019/10/30 06:00'],"['2019/05/07 00:00 [received]', '2019/09/23 00:00 [accepted]', '2019/09/19 00:00 [revised]', '2019/10/30 06:00 [pubmed]', '2020/11/18 06:00 [medline]', '2019/10/30 06:00 [entrez]']","['10.1007/s00431-019-03482-w [doi]', '10.1007/s00431-019-03482-w [pii]']",ppublish,Eur J Pediatr. 2020 Jan;179(1):91-98. doi: 10.1007/s00431-019-03482-w. Epub 2019 Oct 28.,"The adequate nutritional status of pediatric cancer patients is particularly important to enable them to cope with the demands of the disease and its treatment and to maintain normal growth. Malnutrition and obesity have both been associated with reduced survival and increased drug toxicity. We investigated trends in the age- and sex-adjusted body mass index (ISO-BMI) and the prevalence of malnutrition in a Finnish cohort of 139 consecutive children receiving chemotherapy for cancer, with a follow-up period of 42 months after diagnosis. In total, 28% (39/139) of the patients experienced malnutrition (ISO-BMI < 17 or > 10% weight loss), and 12% (16/139) had a nasogastric tube or underwent gastrostomy. Patients with acute or chronic myeloid leukemia (5/10), central nervous system (CNS) tumors (5/13), or solid tumors (13/31) most frequently suffered from malnutrition. There was a significant increase in the ISO-BMI of patients with acute lymphoblastic leukemia (ALL) (+ 2.1 kg/m(2)) and lymphomas (+ 2.4 kg/m(2)) during the first 6 months, and the ISO-BMI of patients with ALL remained higher at 42 months compared to baseline (+ 1.9 kg/m(2)).Conclusion: The cumulative incidence of malnutrition in Finnish pediatric cancer patients is comparable to that reported in other populations. The nutritional status of patients with acute myeloid leukemia, CNS tumors, or solid tumors should be monitored with extra care to facilitate early intervention in the case of impending malnutrition.What is known:* Both malnutrition and obesity are associated with reduced survival and increased drug toxicity in pediatric cancer patients.What is new:* Overall, 28 % of Finnish children receiving chemotherapy for cancer suffer from malnutrition during the first 42 months following the initial cancer diagnosis. * ISO-BMI curves from initial diagnosis to 42 months after diagnosis are provided for patients with different types of cancer.",,,['NOTNLM'],"['Body mass index', 'Cancer', 'Chemotherapy', 'Child', 'ISO-BMI', 'Malnutrition']",PMC6942564,,,,,,,,,,,,,,,,,,,,,
31659446,NLM,MEDLINE,20200526,20200526,1433-7339 (Electronic) 0941-4355 (Linking),28,2,2020 Feb,"Letter to the Editor: Re: ""Is heart rate variability a valuable method to investigate cardiac autonomic dysfunction in subjects with leukemia? A systematic review to evaluate its importance in clinical practice"" by Kirizawa et al.",419-420,10.1007/s00520-019-05103-6 [doi],"['Caru, Maxime', 'Curnier, Daniel']","['Caru M', 'Curnier D']",['ORCID: http://orcid.org/0000-0003-2904-9185'],"['Laboratory of Pathophysiology of EXercise (LPEX), School of Kinesiology and Physical Activity Sciences, Faculty of Medicine, University of Montreal, Montreal, Quebec, Canada. caru.maxime@gmail.com.', 'Sainte-Justine University Health Center, Research Center, Montreal, Quebec, Canada. caru.maxime@gmail.com.', 'Laboratory of Pathophysiology of EXercise (LPEX), School of Kinesiology and Physical Activity Sciences, Faculty of Medicine, University of Montreal, Montreal, Quebec, Canada.', 'Sainte-Justine University Health Center, Research Center, Montreal, Quebec, Canada.', 'Laboratoire EA 4430-Clinique Psychanalyse Developpement (CliPsyD), Department of psychology, University of Paris Nanterre, Nanterre, Ile-de-France, France.']",['eng'],['Letter'],20191029,Germany,Support Care Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,9302957,,IM,"['Autonomic Nervous System/physiopathology', 'Heart/physiology', 'Heart Diseases/physiopathology', 'Heart Failure/physiopathology', 'Heart Rate/*physiology', 'Humans', 'Leukemia/*pathology', 'Systematic Reviews as Topic']",2019/10/30 06:00,2020/05/27 06:00,['2019/10/30 06:00'],"['2019/09/11 00:00 [received]', '2019/09/23 00:00 [accepted]', '2019/10/30 06:00 [pubmed]', '2020/05/27 06:00 [medline]', '2019/10/30 06:00 [entrez]']","['10.1007/s00520-019-05103-6 [doi]', '10.1007/s00520-019-05103-6 [pii]']",ppublish,Support Care Cancer. 2020 Feb;28(2):419-420. doi: 10.1007/s00520-019-05103-6. Epub 2019 Oct 29.,,,,,,,,,,,,,,,,,,,,,,,,,,,
31659364,NLM,PubMed-not-MEDLINE,,20210202,1528-0020 (Electronic) 0006-4971 (Linking),128,3,2016 Jul 21,"Arber DA, Orazi A, Hasserjian R, et al. The 2016 revision to the World Health Organization classification of myeloid neoplasms and acute leukemia. Blood. 2016;127(20):2391-2405.",462-463,10.1182/blood-2016-06-721662 [doi],,,,,['eng'],['Journal Article'],,United States,Blood,Blood,7603509,,IM,,2016/07/21 00:00,2016/07/21 00:01,['2019/10/30 06:00'],"['2019/10/30 06:00 [entrez]', '2016/07/21 00:00 [pubmed]', '2016/07/21 00:01 [medline]']","['S0006-4971(20)34342-1 [pii]', '10.1182/blood-2016-06-721662 [doi]']",ppublish,Blood. 2016 Jul 21;128(3):462-463. doi: 10.1182/blood-2016-06-721662.,,,,,,,,,,,,,,,,,,,,,,,,,,,
