PMID,OWN,STAT,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,COIS,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,GR,MID,AUID,EIN,RIN,DCOM,SB,MH,RN,PMCR,CN,CI,SI,TT,CIN,CON,IR,FIR,EFR,DA,CTDT,PB,BTI,CDAT,UOF
30775667,NLM,PubMed-not-MEDLINE,20200929,2474-252X (Electronic) 2474-252X (Linking),3,1,2019 Feb,Acute Lymphoblastic Leukemia Presenting Solely as Low Back Pain.,59-61,10.5811/cpcem.2019.1.40699 [doi],"A 23-year-old man with acute lymphoblastic leukemia presented to the emergency department without any history of constitutional symptoms (fatigue, anorexia, or weight loss), dyspnea, bruising, or bleeding. Presentation of acute leukemia solely as musculoskeletal pathology is common in pediatric populations but rare among adult patients. Recognizing this presentation of acute leukemia in adult patients could help prevent delayed diagnoses.","['Goodwin, Joshua', 'Das, Bijon']","['Goodwin J', 'Das B']","['Dalhousie University, Department of Emergency Medicine, Halifax, Nova Scotia.', 'Dalhousie University, Department of Emergency Medicine, Halifax, Nova Scotia.']",['eng'],['Case Reports'],20190129,United States,Clin Pract Cases Emerg Med,Clinical practice and cases in emergency medicine,101718968,PMC6366376,"['Conflicts of Interest: By the CPC-EM article submission agreement, all authors', 'are required to disclose all affiliations, funding sources and financial or', 'management relationships that could be perceived as potential sources of bias.', 'The authors disclosed none.']",2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2018/08/21 00:00 [received]', '2018/10/22 00:00 [revised]', '2019/01/01 00:00 [accepted]', '2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']","['10.5811/cpcem.2019.1.40699 [doi]', 'cpcem-03-59 [pii]']",epublish,Clin Pract Cases Emerg Med. 2019 Jan 29;3(1):59-61. doi: 10.5811/cpcem.2019.1.40699. eCollection 2019 Feb.,,,,,,,,,,,,,,,,,,,,,,,,,,,
30775302,NLM,PubMed-not-MEDLINE,20200929,2229-5178 (Print) 2229-5178 (Linking),10,1,2019 Jan-Feb,Paraneoplastic Eosinophilic Dermatosis in a Case of Chronic Lymphocytic Leukemia.,61-63,10.4103/idoj.IDOJ_121_18 [doi],"Eosinophilic dermatosis of hematologic malignancy is a rare paraneoplastic manifestation particularly associated with chronic lymphocytic leukemia (CLL).Clinically, it presents as a peculiar polymorphic pruritic eruption with characteristic histological findings of superficial and deep dense perivascular infiltrate of lymphocytes and eosinophils without any vasculitis. Although it has been reported intermittently with different names, there is paucity of reports of this condition in Indian literature. Here, we report a patient of CLL having insect bite-like eruptions nonresponsive to conventional therapy and confirmed as eosinophilic dermatosis on histology. Patient was having eruptions well before the diagnosis of malignancy, and intensity as well as frequency increased as the disease progressed. Good control over the disease was achieved using chemotherapy and steroids. Thus, this case explains diagnostic and prognostic significance of eosinophilic dermatosis in CLL.","['Rajput, Chetan D', 'Nikam, Balkrishna P', 'Malani, Shailesh S']","['Rajput CD', 'Nikam BP', 'Malani SS']","['Department of Skin and VD, SBH Govt. Medical College, Dhule, Department of Skin and VD, Krishna Institute of Medical Sciences, Karad, Maharashtra, India.', 'Department of Skin and VD, SBH Govt. Medical College, Dhule, Department of Skin and VD, Krishna Institute of Medical Sciences, Karad, Maharashtra, India.', 'Department of Skin and VD, SBH Govt. Medical College, Dhule, Department of Skin and VD, Krishna Institute of Medical Sciences, Karad, Maharashtra, India.']",['eng'],['Case Reports'],,India,Indian Dermatol Online J,Indian dermatology online journal,101586880,PMC6362748,['There are no conflicts of interest.'],2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']","['10.4103/idoj.IDOJ_121_18 [doi]', 'IDOJ-10-61 [pii]']",ppublish,Indian Dermatol Online J. 2019 Jan-Feb;10(1):61-63. doi: 10.4103/idoj.IDOJ_121_18.,['NOTNLM'],"['Chemotherapy and steroids', 'chronic lymphocytic leukemia', 'eosinophilic dermatosis']",,,,,,,,,,,,,,,,,,,,,,,,,
30775189,NLM,PubMed-not-MEDLINE,20200929,2167-8707 (Print) 2167-8707 (Linking),6,10,2018,CAR-T immunotherapy: how will it change treatment for acute lymphoblastic leukemia and beyond?,563-566,10.1080/21678707.2018.1529562 [doi],"Introduction: The recent approval of CD19 chimeric antigen receptor (CAR) T cells for refractory or second relapse of B cell acute lymphoblastic leukemia (B-ALL) has led to a paradigm shift. Besides being an alternative to chemotherapy and antibody-based approaches, CAR-T cells have become the first successful example of ""personalized medicine."" Areas covered: In clinical trials, tisagenlecleucel demonstrated higher response rates than prior therapies, and led to durable remissions lasting up to years for some children. Toxicities like cytokine release syndrome and neurotoxicity, while potentially reversible, have limited usage of CAR-T cells at certified centers with expertise in cellular therapy. Strategies to deal with B-ALL relapse after CAR-T remain an open area of research. Expert opinion: Going forward, improvements will likely be seen in managing the side effects of CAR-T therapy as well as usage of CAR-T cells upfront as a replacement for chemotherapy or allogeneic bone marrow transplant for B-ALL. Further advances will need to reduce the biomanufacturing time needed to generate CAR-T cells as well as develop biomarkers that predict CAR-T persistence and/or toxicities.","['Capitini, Christian M']",['Capitini CM'],"['Department of Pediatrics and Carbone Comprehensive Cancer Center, University of Wisconsin School of Medicine and Public Health, Madison, WI, USA.']",['eng'],['Journal Article'],20181008,England,Expert Opin Orphan Drugs,Expert opinion on orphan drugs,101601398,PMC6375487,"['Declaration of interest CM Capitini received honorarium for a one-time Novartis', 'advisory board in 2016 and is presently on an advisory board for Nektar', 'Therapeutics and receives honorarium. The author has no other relevant', 'affiliations or financial involvement with any organization or entity with a', 'financial interest in or financial conflict with the subject matter or materials', 'discussed in the manuscript, apart from those disclosed.']",2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']",['10.1080/21678707.2018.1529562 [doi]'],ppublish,Expert Opin Orphan Drugs. 2018;6(10):563-566. doi: 10.1080/21678707.2018.1529562. Epub 2018 Oct 8.,['NOTNLM'],"['ALL', 'CAR-T cells', 'CTL019', 'Tisagenlecleucel', 'acute lymphoblastic leukemia', 'cytokine release syndrome']","['K08 CA174750/CA/NCI NIH HHS/United States', 'P30 CA014520/CA/NCI NIH HHS/United States']",['NIHMS1514583'],,,,,,,,,,,,,,,,,,,,,,,
30774864,NLM,PubMed-not-MEDLINE,20200929,2040-2511 (Electronic) 2040-2503 (Linking),10,1,2019 Jan 1,Efforts in redesigning the antileukemic drug 6-thiopurine: decreasing toxic side effects while maintaining efficacy.,169-179,10.1039/c8md00463c [doi],"6-Thiopurine (6TP) is a currently prescribed drug in the treatment of diseases ranging from Crohn's disease to acute lymphocytic leukemia. While its potent mode of action is through incorporation into DNA as a thiol mimic of deoxyguanosine, severe toxicities are associated with its administration which hinder the potential therapeutic application. We have previously reported in vitro that the oxidative metabolites of 6TP, specifically 6-thiouric acid (6TU, K i 7 muM), are potent inhibitors of UDP-glucose dehydrogenase (UDPGDH), an enzyme that is responsible for the formation of UDP-glucuronic acid (UDPGA), an essential substrate that is used in detoxification processes in the liver. An in vivo investigation was undertaken to probe if 6TU inhibits UDPGDH in rat hepatocytes, and it was observed that 6TU does greatly suppress the conjugation of bilirubin with UDPGA. The failed excretion of bilirubin is linked to a majority of the reported toxicities associated with 6TP administration. Efforts were undertaken for the construction of 6TP analogs, substituted at the C8 position, to reduce inhibition of UDPGDH while retaining therapeutic efficacy. Three new 6TP analogs bearing a halogen (Br, Cl, and F) at the C8 position have been achieved over five-synthetic steps in overall yields of 16 to 32%. Each of these analogs were shown to have reduced inhibition towards UDPGDH, with K i values of 192, 163, 215 muM, respectively. In addition, the bromine, chlorine, and fluorine analogs were shown to possess cytotoxicity towards the REH cell line (acute lymphocytic leukemia) having IC50 values of 9.54 muM (+/-0.97), 3.95 muM (+/-1.94), and 4.71 muM (+/-1.40), respectively. These three new 6TP analogs represent the first steps in the redesign of this potent anticancer agent into a better drug that possesses reduced toxic side effects while retaining therapeutic potency.","['Torres Hernandez, Arnaldo X', 'Weeramange, Chamitha J', 'Desman, Prathibha', 'Fatino, Anthony', 'Haney, Olivia', 'Rafferty, Ryan J']","['Torres Hernandez AX', 'Weeramange CJ', 'Desman P', 'Fatino A', 'Haney O', 'Rafferty RJ']","['Department of Chemistry , Pontifical Catholic University of Puerto Rico , 2250 Boulevard Luis A. Ferre Aguayo, Suite 626 , Ponce , PR 00717-0777 , Puerto Rico.', 'Department of Chemistry , Kansas State University , 1212 Mid-Campus Drive North , Manhattan , KS 66506 , USA . Email: rjraff@ksu.edu.', 'Department of Chemistry , Kansas State University , 1212 Mid-Campus Drive North , Manhattan , KS 66506 , USA . Email: rjraff@ksu.edu.', 'Department of Chemistry , Kansas State University , 1212 Mid-Campus Drive North , Manhattan , KS 66506 , USA . Email: rjraff@ksu.edu.', 'Department of Chemistry , Kansas State University , 1212 Mid-Campus Drive North , Manhattan , KS 66506 , USA . Email: rjraff@ksu.edu.', 'Department of Chemistry , Kansas State University , 1212 Mid-Campus Drive North , Manhattan , KS 66506 , USA . Email: rjraff@ksu.edu.', 'Department of Chemistry , Kansas State University , 1212 Mid-Campus Drive North , Manhattan , KS 66506 , USA . Email: rjraff@ksu.edu.']",['eng'],['Journal Article'],20181220,England,Medchemcomm,MedChemComm,101531525,PMC6350761,,2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2018/09/14 00:00 [received]', '2018/12/15 00:00 [accepted]', '2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']","['10.1039/c8md00463c [doi]', 'c8md00463c [pii]']",epublish,Medchemcomm. 2018 Dec 20;10(1):169-179. doi: 10.1039/c8md00463c. eCollection 2019 Jan 1.,,,,,['ORCID: 0000-0002-4835-6343'],,,,,,,,,,,,,,,,,,,,,,
30774833,NLM,PubMed-not-MEDLINE,20200929,2008-3009 (Print) 2008-2207 (Linking),12,4,2018 Oct 1,The Relationship between Fatigue and Cytokine Levels in Patients with Acute Myeloid Leukemia.,318-321,,"Background: Cancer-related fatigue (CRF) is a very prominent complaint and disabling symptom in cancer patients probably influenced by endogenous cytokines. But, the published data on this subject are limited. We explored the relationship of cytokines such as tumor necrosis factor (TNF-alpha) and interleukin-6 (IL-6) with fatigue in patients with AML. Materials and Methods: This study was performed on 45 patients (25 men, 20 women) with newly diagnosed AML. We examined fatigue in these patients with validated questionnaire. Simultaneously, blood samples were obtained for quantitative measurement of IL-6 and TNF-alpha. Results: Our results showed a positive correlation between fatigue and circulating levels of IL-6 (P=0.004, R=0.416). Conclusion: Many patients with AML experienced severe fatigue before the onset of treatment, which is not related to their hemoglobin (Hb) levels. Cytokine levels may be beneficial markers in resistance to fatigue, but further studies are needed before considering targeted therapies as a treatment for CRF.","['Khosravi, Malihe', 'Taghvaye Masoumi, Hamidreza', 'Gholami, Kheirollah', 'Vaezi, Mohammad', 'Hadjibabaei, Molouk', 'Ghavamzadeh, Ardeshir']","['Khosravi M', 'Taghvaye Masoumi H', 'Gholami K', 'Vaezi M', 'Hadjibabaei M', 'Ghavamzadeh A']","['Hematology-Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, Tehran, Iran.', 'Hematology-Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, Tehran, Iran.', 'Hematology-Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, Tehran, Iran.', 'Hematology-Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, Tehran, Iran.', 'Department of Clinical Pharmacy, School of Pharmacy, Tehran University of Medical Sciences, Tehran, Iran.', 'Hematology-Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, Tehran, Iran.']",['eng'],['Journal Article'],,Iran,Int J Hematol Oncol Stem Cell Res,International journal of hematology-oncology and stem cell research,101511150,PMC6375377,,2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']",,ppublish,Int J Hematol Oncol Stem Cell Res. 2018 Oct 1;12(4):318-321.,['NOTNLM'],"['Acute myeloid leukemia', 'Cancer-related fatigue', 'Cytokines']",,,,,,,,,,,,,,,,,,,,,,,,,
30774831,NLM,PubMed-not-MEDLINE,20200929,2008-3009 (Print) 2008-2207 (Linking),12,4,2018 Oct 1,Association between TLR2 and TLR4 Expression and Response to Induction Therapy in Acute Myeloid Leukemia Patients.,303-312,,"Background: Toll-like receptors (TLRs) are a family of transmembrane pattern-recognition receptors that play a crucial role in the realization of innate and adaptive immune response. TLRs may play a role in tumor development and growth because of expression or up-regulation of functional TLRs in some tumors and tumor cell lines. The participation of TLRs in the pathogenesis of acute myeloid leukemia (AML) remains unspecified. This study aimed to investigate the effect of TLR2 and TLR4 expression in peripheral blood mononuclear cells of AML patients in response to induction chemotherapy. Materials and Methods: Eighty- five patients with newly diagnosed AML were evaluated. Using quantitative reverse transcriptase PCR, the mRNA expression of genes TLR2 and TLR4 was measured before starting and after induction chemotherapy. The differences in the mean expression levels of TLR2 and TLR4 before and after chemotherapy were compared using a paired t-test. The mean expression levels of TLR2 and TLR4 regarding laboratory data were analyzed by one-way ANOVA and Chi-square test. Results: We found that the mRNA expression of TLR2 after induction chemotherapy was significantly lower as compared to before treatment (p=0.001). Also, we found a lower TLR4 gene expression level after chemotherapy as compared to before chemotherapy, albeit it was not statistically significant (p=0.21). Moreover, we observed significantly higher expression of TLR2 and TLR4 in AML-M3 cases compared to non-M3 AML patients. Conclusion: The decreased expression of TLR4 in leukemic samples after induction chemotherapy might indicate a novel potential prognostic role for this receptor, particularly in AML-M3 cases.","['Ramzi, Mani', 'Khalafi-Nezhad, Abolfazl', 'Iravani Saadi, Mahdiyar', 'Jowkar, Zahra']","['Ramzi M', 'Khalafi-Nezhad A', 'Iravani Saadi M', 'Jowkar Z']","['Hematology Research Center, Department of Hematology, Medical Oncology and Stem Cell Transplantation, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Hematology Research Center, Department of Hematology, Medical Oncology and Stem Cell Transplantation, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Hematology Research Center, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Department of Operative Dentistry, School of Dentistry, Shiraz University of Medical Sciences, Shiraz, Iran.']",['eng'],['Journal Article'],,Iran,Int J Hematol Oncol Stem Cell Res,International journal of hematology-oncology and stem cell research,101511150,PMC6375370,,2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']",,ppublish,Int J Hematol Oncol Stem Cell Res. 2018 Oct 1;12(4):303-312.,['NOTNLM'],"['Acute myeloid leukemia', 'Induction chemotherapy', 'Toll-like receptors']",,,,,,,,,,,,,,,,,,,,,,,,,
30774683,NLM,PubMed-not-MEDLINE,20200929,1735-5303 (Print) 1735-5303 (Linking),13,4,2018 Fall,Evaluation of the CD123 Expression and FLT3 Gene Mutations in Patients with Acute Myeloid Leukemia.,438-446,,"Background and Objective: Identification of cytogenetic and molecular changes plays an important role in acute myeloid leukemia (AML) patients. Thus, they are used in classification, prognosis and treatment of the disease. The CD123 expression and FLT3 gene mutations are also the variations that may assist in prognosis and treatment of patients with AML. Methods: This study was performed on 76 patients as new cases of AML. The correlation between CD123 immunohistochemical (IHC) expression and FLT3 gene mutations with each other as well as morphological, immunophenotypical and cytogenetic factors was studied. Results: The results represented the CD123 IHC expression in 55.3% and FLT3 gene mutations in 28.9% of cases. We found that 81.3% of patients who had FLT3/ITD gene mutations revealed IHC of CD123 expression (P=0.019). The CD123 expression against FLT3 was also correlated with monocytic differentiation in bone marrow blasts (P=0.031). There were significant correlations between IHC expression of CD123 and FLT3/ITD mutations with a high percentage of aspirated bone marrow blasts (P=0.01 and P=0.006, respectively) as well as the lack of CD34 expression in bone marrow blasts (P=0.007 and P=0.021, respectively). Conclusion: The CD123 IHC positive AMLs were correlated with certain pathologic features, some of which can be similar with correlations of background mutation of FLT3/ITD; According to the negative predictive value (NPV), 88.2% of CD123 IHC showed FLT3 gene mutation. In addition to its use in targeted therapy, it could be a marker to decide what molecular tests to use in the next steps.","['Safaei, Akbar', 'Monabati, Ahmad', 'Mokhtari, Maral', 'Safavi, Moeinadin', 'Solhjoo, Freidoon']","['Safaei A', 'Monabati A', 'Mokhtari M', 'Safavi M', 'Solhjoo F']","['Dept. of Pathology, School of Medicine, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Dept. of Pathology, School of Medicine, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Dept. of Pathology, School of Medicine, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Dept. of Pathology, School of Medicine, Shiraz University of Medical Sciences, Shiraz, Iran.', 'Dept. of Pathology, School of Medicine, Shiraz University of Medical Sciences, Shiraz, Iran.']",['eng'],['Journal Article'],20180925,Iran,Iran J Pathol,Iranian journal of pathology,101515128,PMC6358557,"['The authors declare that there is no conflict of interest regarding the', 'publication of this article.']",2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2017/06/18 00:00 [received]', '2018/09/13 00:00 [accepted]', '2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']",,ppublish,Iran J Pathol. 2018 Fall;13(4):438-446. Epub 2018 Sep 25.,['NOTNLM'],"['Acute myeloid leukemia', 'CD123', 'FMS-like tyrosine kinase 3', 'Karyotype']",,,,,,,,,,,,,,,,,,,,,,,,,
30774677,NLM,PubMed-not-MEDLINE,20200929,1735-5303 (Print) 1735-5303 (Linking),13,4,2018 Fall,Prevalence of MPL (W515K/L) Mutations in Patients with Negative-JAK2 (V617F) Myeloproliferative Neoplasm in North-East of Iran.,397-402,,"Background and Objective: Janus kinase 2 (JAK2) and Myeloproliferative Leukemia (MPL) mutations are confirmatory indicators for Myeloproliferative Neoplasm (MPN). The current study was performed to determine the frequency of MPL mutation in MPN patients without JAK2 mutation, in order to assign MPL mutation frequency in North-East of Iran. Methods: Total of 105 negative JAK2 cases including 5 Myeloproliferative Disorders (MPD), 15 Polycytemia Vera (PV) and 15 Essential Thrombocytosis (ET) who referred to Qaem Medical Center were assigned to this study. ARMS-PCR was carried out for measuring MPL mutations. Results: A significant difference was observed between MPL mutant and non-mutant groups from overview of MPL mutation (P=0.00001). From the total studied population, 14.28% were ET cases and 4.71% of them had splenomegaly. About 66.66% had thrombocytosis and 33.33% of all the individuals had leukocytosis according to WHO criteria, and 4.76% of non-MPL mutant individuals had splenomegaly (P=1).This mutation was reported in 4-6% of ET and PMF individuals. In this research, 4.76 % of studied individuals had MPL (W515L/K) mutation, which were diagnosed with ET. Conclusion: Generally, the presence of JAK2 and MPL mutations are the most important criteria for MPN diagnosis. The obtained frequency of MPL mutation was similar to previous studies. Despite the high frequency of JAK2 and Philadelphia abnormality, MPL mutation was rare in myeloprolifrative disorders. Further studies are suggested to investigate its prognostic effects for these diseases.","['Shams, Seyyede Fatemeh', 'Ayatollahi, Hossein', 'Sadeghian, Mohammad Hadi', 'Afzalaghaee, Monavar', 'Shakeri, Sepideh', 'Yazdandoust, Ehsan', 'Sheikhi, Maryam', 'Amini, Nafiseh', 'Bakhshi, Samane', 'Bahrami, Afsane']","['Shams SF', 'Ayatollahi H', 'Sadeghian MH', 'Afzalaghaee M', 'Shakeri S', 'Yazdandoust E', 'Sheikhi M', 'Amini N', 'Bakhshi S', 'Bahrami A']","['Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Dept. of Statistics and Epidemiology, Faculty of Health, MUMS, Mashhad, Iran.', 'Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Dept. of Hematology and Blood Bank, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Cancer Molecular Pathology Research Center, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Cellular and Molcular Research Center, Birjand University of Medical Sciences, Birjand, Iran.']",['eng'],['Journal Article'],20180925,Iran,Iran J Pathol,Iranian journal of pathology,101515128,PMC6358559,"['The authors declare that there is no conflict of interest regarding the', 'publication of this article.']",2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2017/04/15 00:00 [received]', '2017/08/08 00:00 [accepted]', '2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']",,ppublish,Iran J Pathol. 2018 Fall;13(4):397-402. Epub 2018 Sep 25.,['NOTNLM'],"['JAK2 (V617F)', 'MPL (W515K/L)', 'Myeloproliferative neoplasm']",,,,,,,,,,,,,,,,,,,,,,,,,
30774603,NLM,PubMed-not-MEDLINE,20200928,1664-042X (Print) 1664-042X (Linking),10,,2019,Xenopus tropicalis: Joining the Armada in the Fight Against Blood Cancer.,48,10.3389/fphys.2019.00048 [doi],"Aquatic vertebrate organisms such as zebrafish have been used for over a decade to model different types of human cancer, including hematologic malignancies. However, the introduction of gene editing techniques such as CRISPR/Cas9 and TALEN, have now opened the road for other organisms featuring large externally developing embryos that are easily accessible. Thanks to its unique diploid genome that shows a high degree of synteny to the human, combined with its relatively short live cycle, Xenopus tropicalis has now emerged as an additional powerful aquatic model for studying human disease genes. Genome editing techniques are very simple and extremely efficient, permitting the fast and cheap generation of genetic models for human disease. Mosaic disruption of tumor suppressor genes allows the generation of highly penetrant and low latency cancer models. While models for solid human tumors have been recently generated, genetic models for hematologic malignancies are currently lacking for Xenopus. Here we describe our experimental pipeline, based on mosaic genome editing by CRISPR/Cas9, to generate innovative and high-performing leukemia models in X. tropicalis. These add to the existing models in zebrafish and will extend the experimental platform available in aquatic vertebrate organisms to contribute to the field of hematologic malignancies. This will extend our knowledge in the etiology of this cancer and assist the identification of molecular targets for therapeutic intervention.","['Dimitrakopoulou, Dionysia', 'Tulkens, Dieter', 'Van Vlierberghe, Pieter', 'Vleminckx, Kris']","['Dimitrakopoulou D', 'Tulkens D', 'Van Vlierberghe P', 'Vleminckx K']","['Department of Biomedical Molecular Biology, Ghent University, Ghent, Belgium.', 'Cancer Research Institute Ghent (CRIG), Ghent, Belgium.', 'Department of Biomedical Molecular Biology, Ghent University, Ghent, Belgium.', 'Cancer Research Institute Ghent (CRIG), Ghent, Belgium.', 'Cancer Research Institute Ghent (CRIG), Ghent, Belgium.', 'Department of Biomolecular Medicine, Ghent University, Ghent, Belgium.', 'Department of Biomedical Molecular Biology, Ghent University, Ghent, Belgium.', 'Cancer Research Institute Ghent (CRIG), Ghent, Belgium.', 'Department of Biomolecular Medicine, Ghent University, Ghent, Belgium.']",['eng'],['Journal Article'],20190201,Switzerland,Front Physiol,Frontiers in physiology,101549006,PMC6367902,,2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2018/11/16 00:00 [received]', '2019/01/17 00:00 [accepted]', '2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']",['10.3389/fphys.2019.00048 [doi]'],epublish,Front Physiol. 2019 Feb 1;10:48. doi: 10.3389/fphys.2019.00048. eCollection 2019.,['NOTNLM'],"['*CRISPR/Cas9', '*T-ALL', '*Xenopus', '*cancer', '*genome editing', '*leukemia', '*thymus', '*tumor suppressor genes']",['R24 AI059830/AI/NIAID NIH HHS/United States'],,,['Front Physiol. 2019 Mar 14;10:210. PMID: 30930786'],,,,,,,,,,,,,,,,,,,,,
30774430,NLM,PubMed-not-MEDLINE,20200929,1179-1322 (Print) 1179-1322 (Linking),11,,2019,Synergistic cytotoxicity of homoharringtonine and etoposide in acute myeloid leukemia cells involves disrupted antioxidant defense.,1023-1032,10.2147/CMAR.S187597 [doi],"Background/Aims: Cytotoxicity induced by reactive oxygen species (ROS) is critical for the effectiveness of chemotherapeutic drugs used in the treatment of acute myeloid leukemia (AML). This study aimed to investigate whether ROS contributes to cytotoxicity in AML cells when treated with homoharringtonine (HHT) and etoposide (ETP) in combination. Methods: AML cell lines THP1 and HL60 and primary AML cells from patients were treated with HHT and ETP alone or in combination, and cell viability was determined by trypan blue exclusion test, and apoptosis was analyzed by annexin-V/propidium iodide double staining as well as Western blot for measuring expression of cleaved caspase-9 and cleaved caspase-3. Intracellular ROS level was detected by DCFH-DA fluorescence assay, and N-Acetyl-L-cysteine (NAC) was used to scavenge intracellular ROS. Retroviral infection was applied to mediate stable overexpression in AML cells. Results: We show that HHT and ETP exhibit synergistic cytotoxicity in AML cell lines and primary AML cells in vitro, and meanwhile, HHT causes elevated ROS generation in ETP-treated AML cells. We next reveal that the elevated ROS is a critical factor for the synergistic cytotoxicity, since ROS scavenge by NAC remarkably diminishes this effect. Mechanistically, we demonstrate that HHT causes elevated ROS generation by disabling thioredoxin-mediated antioxidant defense. Finally, similar to HHT treatment, depletion of thioredoxin sensitizes AML to ETP treatment. Conclusion: These results provide the foundation for augmenting the efficacy of ETP in treating AML with HHT, and also highlight the importance of targeting ROS in improving treatment outcome in AML.","['Zhang, Jingjing', 'Geng, Huayun', 'Liu, Ling', 'Zhang, Hao']","['Zhang J', 'Geng H', 'Liu L', 'Zhang H']","['Department of Hematology, Affiliated Hospital of Jining Medical University, Jining 272029, Shandong Province, China, zhanghhjmu@163.com.', ""Department of Hematology, Dongchangfu People's Hospital of Liaocheng, Liaocheng 252000, Shandong Province, China."", 'Department of Hematology, Affiliated Hospital of Jining Medical University, Jining 272029, Shandong Province, China, zhanghhjmu@163.com.', 'Department of Hematology, Affiliated Hospital of Jining Medical University, Jining 272029, Shandong Province, China, zhanghhjmu@163.com.']",['eng'],['Journal Article'],20190122,New Zealand,Cancer Manag Res,Cancer management and research,101512700,PMC6349074,['Disclosure The authors report no conflicts of interest in this work.'],2019/02/19 06:00,2019/02/19 06:01,['2019/02/19 06:00'],"['2019/02/19 06:00 [entrez]', '2019/02/19 06:00 [pubmed]', '2019/02/19 06:01 [medline]']","['10.2147/CMAR.S187597 [doi]', 'cmar-11-1023 [pii]']",epublish,Cancer Manag Res. 2019 Jan 22;11:1023-1032. doi: 10.2147/CMAR.S187597. eCollection 2019.,['NOTNLM'],"['acute myeloid leukemia', 'antioxidant defense', 'etoposide', 'homoharringtonine', 'reactive oxygen species', 'synergistic cytotoxicity', 'thioredoxin']",,,,,,,,,,,,,,,,,,,,,,,,,
