PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,AUID,DEP,CIN,EIN,GR,CON,PMC,COIS,CI,SI,PMCR,MID,TT,CN,EFR,DA,CTDT,PB,BTI,CDAT,RIN
30531879,NLM,MEDLINE,20190530,20210820,1476-4687 (Electronic) 0028-0836 (Linking),564,7735,2018 Dec,Cancer researchers seek to harness mysterious DNA 'super-enhancers'.,173-174,10.1038/d41586-018-07602-8 [doi],"['Ledford, Heidi']",['Ledford H'],['eng'],['News'],England,Nature,Nature,0410462,"['0 (Benzoates)', '0 (DNA, Neoplasm)', '0 (Tetrahydronaphthalenes)', '08V52GZ3H9 (tamibarotene)']",IM,"['Benzoates/pharmacology/therapeutic use', 'Cell Differentiation/drug effects/genetics', 'Clinical Trials as Topic', 'DNA, Neoplasm/drug effects/*genetics', 'Embryonic Stem Cells/cytology/drug effects/metabolism', 'Enhancer Elements, Genetic/drug effects/*genetics', 'Gene Expression Regulation, Neoplastic/drug effects/*genetics', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/genetics', 'Neoplasms/drug therapy/*genetics/pathology', 'Tetrahydronaphthalenes/pharmacology/therapeutic use', '*Uncertainty']",['NOTNLM'],"['*Drug discovery', '*Epigenetics', '*Genetics', '*Medical research']",2018/12/12 06:00,2019/05/31 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/31 06:00 [medline]']","['10.1038/d41586-018-07602-8 [doi]', '10.1038/d41586-018-07602-8 [pii]']",ppublish,Nature. 2018 Dec;564(7735):173-174. doi: 10.1038/d41586-018-07602-8.,,,,,,,,,,,,,,,,,,,,,,,
30531872,NLM,MEDLINE,20190424,20191008,1546-1718 (Electronic) 1061-4036 (Linking),51,1,2019 Jan,Immune genes are primed for robust transcription by proximal long noncoding RNAs located in nuclear compartments.,138-150,10.1038/s41588-018-0298-2 [doi],"['Fanucchi, Stephanie', 'Fok, Ezio T', 'Dalla, Emiliano', 'Shibayama, Youtaro', 'Borner, Kathleen', 'Chang, Erin Y', 'Stoychev, Stoyan', 'Imakaev, Maxim', 'Grimm, Dirk', 'Wang, Kevin C', 'Li, Guoliang', 'Sung, Wing-Kin', 'Mhlanga, Musa M']","['Fanucchi S', 'Fok ET', 'Dalla E', 'Shibayama Y', 'Borner K', 'Chang EY', 'Stoychev S', 'Imakaev M', 'Grimm D', 'Wang KC', 'Li G', 'Sung WK', 'Mhlanga MM']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Nat Genet,Nature genetics,9216904,"['0 (Chromatin)', '0 (Histones)', '0 (RNA, Long Noncoding)', '0 (histone H3 trimethyl Lys4)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Animals', 'Cell Line, Tumor', 'Cell Nucleus/*genetics', 'Cells, Cultured', 'Chromatin/genetics', 'Epigenesis, Genetic/genetics', 'HeLa Cells', 'Histone-Lysine N-Methyltransferase/genetics', 'Histones/genetics', 'Human Umbilical Vein Endothelial Cells', 'Humans', 'Macrophages/physiology', 'Methylation', 'Mice', 'Myeloid-Lymphoid Leukemia Protein/genetics', 'Promoter Regions, Genetic/genetics', 'RAW 264.7 Cells', 'RNA, Long Noncoding/*genetics', 'Transcription, Genetic/*genetics', 'Up-Regulation/genetics']",,,2018/12/12 06:00,2019/04/25 06:00,['2018/12/12 06:00'],"['2017/11/02 00:00 [received]', '2018/10/30 00:00 [accepted]', '2018/12/12 06:00 [pubmed]', '2019/04/25 06:00 [medline]', '2018/12/12 06:00 [entrez]']","['10.1038/s41588-018-0298-2 [doi]', '10.1038/s41588-018-0298-2 [pii]']",ppublish,Nat Genet. 2019 Jan;51(1):138-150. doi: 10.1038/s41588-018-0298-2. Epub 2018 Dec 10.,"Accumulation of trimethylation of histone H3 at lysine 4 (H3K4me3) on immune-related gene promoters underlies robust transcription during trained immunity. However, the molecular basis for this remains unknown. Here we show three-dimensional chromatin topology enables immune genes to engage in chromosomal contacts with a subset of long noncoding RNAs (lncRNAs) we have defined as immune gene-priming lncRNAs (IPLs). We show that the prototypical IPL, UMLILO, acts in cis to direct the WD repeat-containing protein 5 (WDR5)-mixed lineage leukemia protein 1 (MLL1) complex across the chemokine promoters, facilitating their H3K4me3 epigenetic priming. This mechanism is shared amongst several trained immune genes. Training mediated by beta-glucan epigenetically reprograms immune genes by upregulating IPLs in manner dependent on nuclear factor of activated T cells. The murine chemokine topologically associating domain lacks an IPL, and the Cxcl genes are not trained. Strikingly, the insertion of UMLILO into the chemokine topologically associating domain in mouse macrophages resulted in training of Cxcl genes. This provides strong evidence that lncRNA-mediated regulation is central to the establishment of trained immunity.","['Gene Expression and Biophysics Group, Division of Chemical, Systems and Synthetic Biology, Faculty of Health Sciences, University of Cape Town, Cape Town, South Africa.', 'BTRI, CSIR Biosciences, Pretoria, South Africa.', 'Gene Expression and Biophysics Group, Division of Chemical, Systems and Synthetic Biology, Faculty of Health Sciences, University of Cape Town, Cape Town, South Africa.', 'BTRI, CSIR Biosciences, Pretoria, South Africa.', 'Gene Expression and Biophysics Group, Division of Chemical, Systems and Synthetic Biology, Faculty of Health Sciences, University of Cape Town, Cape Town, South Africa.', 'Department of Medicine, Universita degli Studi di Udine, Udine, Italy.', 'Gene Expression and Biophysics Group, Division of Chemical, Systems and Synthetic Biology, Faculty of Health Sciences, University of Cape Town, Cape Town, South Africa.', 'RIKEN Center for Integrative Medical Sciences, Yokohama, Japan.', 'Department of Infectious Diseases/Virology, BioQuant Center, Heidelberg University Hospital, Heidelberg, Germany.', 'Heidelberg Partner Site, German Center for Infection Research (DZIF), Heidelberg, Germany.', 'Department of Dermatology, Stanford University, Stanford, CA, USA.', 'Biomedical Technologies Group, CSIR Biosciences, Pretoria, South Africa.', 'Harvard-MIT Division of Health Sciences and Technology, Massachusetts Institute of Technology, Boston, MA, USA.', 'Department of Infectious Diseases/Virology, BioQuant Center, Heidelberg University Hospital, Heidelberg, Germany.', 'Heidelberg Partner Site, German Center for Infection Research (DZIF), Heidelberg, Germany.', 'Cluster of Excellence CellNetworks, Heidelberg, Germany.', 'Department of Dermatology, Stanford University, Stanford, CA, USA.', 'College of Informatics, Huazhong Agricultural University, Wuhan, China.', 'School of Computing, National University of Singapore, Singapore, Singapore.', 'Genome Institute of Singapore, Singapore, Singapore.', 'Gene Expression and Biophysics Group, Division of Chemical, Systems and Synthetic Biology, Faculty of Health Sciences, University of Cape Town, Cape Town, South Africa. arhat@mhlangalab.org.', 'Gene Expression and Biophysics Unit, Instituto de Medicina Molecular, Faculdade de Medicina Universidade de Lisboa, Lisbon, Portugal. arhat@mhlangalab.org.']","['ORCID: http://orcid.org/0000-0002-5320-2728', 'ORCID: http://orcid.org/0000-0002-5305-6791', 'ORCID: http://orcid.org/0000-0003-1601-6640', 'ORCID: http://orcid.org/0000-0003-1381-3409']",20181210,['Nat Rev Immunol. 2019 Feb;19(2):68-69. PMID: 30563965'],['Nat Genet. 2019 Feb;51(2):364. PMID: 30647470'],,,,,,,,,,,,,,,,,
30531840,NLM,MEDLINE,20190429,20200309,1476-5594 (Electronic) 0950-9232 (Linking),38,14,2019 Apr,CNOT3 targets negative cell cycle regulators in non-small cell lung cancer development.,2580-2594,10.1038/s41388-018-0603-7 [doi],"['Shirai, Yo-Taro', 'Mizutani, Anna', 'Nishijima, Saori', 'Horie, Masafumi', 'Kikuguchi, Chisato', 'Elisseeva, Olga', 'Yamamoto, Tadashi']","['Shirai YT', 'Mizutani A', 'Nishijima S', 'Horie M', 'Kikuguchi C', 'Elisseeva O', 'Yamamoto T']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (CNOT3 protein, human)', '0 (Cyclin-Dependent Kinase Inhibitor p21)', '0 (Kruppel-Like Transcription Factors)', '0 (RNA, Messenger)', '0 (Transcription Factors)']",IM,"['A549 Cells', 'Carcinoma, Non-Small-Cell Lung/*genetics/pathology', 'Cell Cycle/*genetics', 'Cell Line, Tumor', 'Cell Proliferation/genetics', 'Cyclin-Dependent Kinase Inhibitor p21/genetics', 'Down-Regulation/genetics', 'Gene Expression Regulation/genetics', 'Humans', 'Kruppel-Like Transcription Factors/genetics', 'Lung Neoplasms/*genetics/pathology', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/genetics/pathology', 'RNA Stability/genetics', 'RNA, Messenger/genetics', 'Respiratory Mucosa/pathology', 'Transcription Factors/*genetics', 'Up-Regulation/genetics']",,,2018/12/12 06:00,2019/04/30 06:00,['2018/12/12 06:00'],"['2018/06/14 00:00 [received]', '2018/11/13 00:00 [accepted]', '2018/10/13 00:00 [revised]', '2018/12/12 06:00 [pubmed]', '2019/04/30 06:00 [medline]', '2018/12/12 06:00 [entrez]']","['10.1038/s41388-018-0603-7 [doi]', '10.1038/s41388-018-0603-7 [pii]']",ppublish,Oncogene. 2019 Apr;38(14):2580-2594. doi: 10.1038/s41388-018-0603-7. Epub 2018 Dec 10.,"Lung cancer is one of the major causes of cancer death and clarification of its molecular pathology is highly prioritized. The physiological importance of mRNA degradation through the CCR4-NOT deadenylase has recently been highlighted. For example, mutation in CNOT3, a gene coding for CNOT3 subunit of the CCR4-NOT complex, is found to be associated with T-cell acute lymphoblastic leukemia, T-ALL, though its contribution to other cancers has not been reported. Here, we provide evidence suggesting that CNOT3 is required for the growth of non-small cell lung cancer. Depletion of CNOT3 suppresses proliferation of A549 human non-small cell lung cancer cells with enhanced mRNA stability and subsequent elevated expression of p21. In addition, we identified the mRNA for Kruppel-like factor 2 transcription factor, an inducer of p21, as a novel mRNA degradation target of CNOT3 in non-small cell lung cancer cells. Aberrant up-regulation of Kruppel-like factor 2 by CNOT3 depletion leads to impairment in the proliferation of A549 cells. Consistent with these findings, elevated mRNA expression of CNOT3 in non-small cell lung cancer in comparison with the paired normal lung epithelium was confirmed through scrutinization of the RNA-sequencing datasets from The Cancer Genome Atlas. Moreover, we found an inverse correlation between CNOT3 and CDKN1A (encoding p21) mRNA expression using the combined datasets of normal lung epithelium and non-small cell lung cancer. Thus, we propose that the up-regulation of CNOT3 facilitates the development of non-small cell lung cancer through down-regulation of Kruppel-like factor 2 and p21, contrary to tumor suppressive functions of CNOT3 in T-ALL.","['Cell Signal Unit, Okinawa Institute of Science and Technology Graduate University, Onna-son, Okinawa, Japan. yo-taro.shirai@nih.gov.', 'Laboratory of Metabolism, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA. yo-taro.shirai@nih.gov.', 'Division of Molecular Biotherapy, Cancer Chemotherapy Center, Japanese Foundation for Cancer Research, Koto-ku, Tokyo, Japan.', 'Cell Signal Unit, Okinawa Institute of Science and Technology Graduate University, Onna-son, Okinawa, Japan.', 'Department of Respiratory Medicine, Graduate School of Medicine, The University of Tokyo, Bunkyo-ku, Tokyo, Japan.', 'Division for Health Service Promotion, The University of Tokyo, Bunkyo-ku, Tokyo, Japan.', 'Cell Signal Unit, Okinawa Institute of Science and Technology Graduate University, Onna-son, Okinawa, Japan.', 'Laboratory for Immunogenetics, RIKEN Center for Integrative Sciences, Yokohama, Kanagawa, Japan.', 'Cell Signal Unit, Okinawa Institute of Science and Technology Graduate University, Onna-son, Okinawa, Japan.', 'Laboratory for Immunogenetics, RIKEN Center for Integrative Sciences, Yokohama, Kanagawa, Japan.', 'Cell Signal Unit, Okinawa Institute of Science and Technology Graduate University, Onna-son, Okinawa, Japan. tadashi.yamamoto@oist.jp.', 'Laboratory for Immunogenetics, RIKEN Center for Integrative Sciences, Yokohama, Kanagawa, Japan. tadashi.yamamoto@oist.jp.']",,20181210,,,"['21229006/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '25121734/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '16K18437/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '24890289/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '26893050/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '24890289/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '26830066/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '16K18437/MEXT | Japan Society for the Promotion of Science (JSPS)/International', '26893050/MEXT | Japan Society for the Promotion of Science (JSPS)/International']",,,,,,,,,,,,,,,,
30531723,NLM,MEDLINE,20190523,20190523,1940-087X (Electronic) 1940-087X (Linking),,141,2018 Nov 26,Immunoglobulin Gene Sequence Analysis In Chronic Lymphocytic Leukemia: From Patient Material To Sequence Interpretation.,,10.3791/57787 [doi],"['Agathangelidis, Andreas', 'Sutton, Lesley Ann', 'Hadzidimitriou, Anastasia', 'Tresoldi, Cristina', 'Langerak, Anton W', 'Belessi, Chrysoula', 'Davi, Frederic', 'Rosenquist, Richard', 'Stamatopoulos, Kostas', 'Ghia, Paolo']","['Agathangelidis A', 'Sutton LA', 'Hadzidimitriou A', 'Tresoldi C', 'Langerak AW', 'Belessi C', 'Davi F', 'Rosenquist R', 'Stamatopoulos K', 'Ghia P']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Video-Audio Media']",United States,J Vis Exp,Journal of visualized experiments : JoVE,101313252,['0 (Immunoglobulin Variable Region)'],IM,"['B-Lymphocytes/pathology/*physiology', 'Base Sequence', 'Genes, Immunoglobulin/*genetics', 'Humans', 'Immunoglobulin Variable Region/genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Sequence Analysis, Protein/*methods']",,,2018/12/12 06:00,2019/05/24 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/24 06:00 [medline]']",['10.3791/57787 [doi]'],epublish,J Vis Exp. 2018 Nov 26;(141). doi: 10.3791/57787.,"During B cell maturation, the complex process of immunoglobulin (IG) gene V(D)J recombination coupled with somatic hypermutation (SHM) gives rise to a unique DNA sequence within each individual B cell. Since B cell malignancies result from the clonal expansion of a single cell, IG genes represent a unique molecular signature common to all the malignant cells within an individual patient; thus, IG gene rearrangements can be used as clonal markers. In addition to serving as an important clonal identifier, the IG gene sequence can act as a 'molecular timeline' since it is associated with specific developmental stages and hence reflects the history of the B cell involved in the neoplastic transformation. Moreover, for certain malignancies, in particular chronic lymphocytic leukemia (CLL), the IG gene sequence holds prognostic and potentially predictive capabilities. That said, extrapolating meaningful conclusions from IG gene sequence analysis would be impossible if robust methods and tools were not available to aid in their analysis. This article, drawing on the vast experience of the European Research Initiative on CLL (ERIC), details the technical aspects and essential requirements necessary to ensure reliable and reproducible IG gene sequence analysis in CLL, a test that is now recommended for all CLL patients prior to treatment. More specifically, the various analytical stages are described ranging from the identification of the clonotypic IG gene rearrangement and the determination of the nucleotide sequence to the accurate clinical interpretation of the IG gene sequence data.","['Institute of Applied Biosciences, Centre for Research and Technology Hellas; aagathangelidis@gmail.com.', 'Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University; Department of Molecular Medicine and Surgery, Karolinska Institutet; Lesley-ann.sutton@ki.se.', 'Institute of Applied Biosciences, Centre for Research and Technology Hellas.', 'Division of Immunology, Transplantation and Infectious, IRCCS San Raffaele Scientific Institute.', 'Department of Immunology, Laboratory for Medical Immunology, Erasmus University Medical Center.', 'Hematology Department, Nikea General Hospital.', 'Assistance publique - Hopitaux de Paris (AP-HP), Hopital Pitie-Salpetriere, Department of Hematology, and UPMC University Paris 06, UMRS 1138.', 'Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University; Department of Molecular Medicine and Surgery, Karolinska Institutet.', 'Institute of Applied Biosciences, Centre for Research and Technology Hellas; Department of Immunology, Genetics and Pathology, Science for Life Laboratory, Uppsala University.', 'Division of Experimental Oncology, IRCCS Istituto Scientifico San Raffaele and Universita Vita-Salute San Raffaele.']",,20181126,,,,,,,,,,,,,,,,,,,
30531719,NLM,MEDLINE,20190523,20190523,1940-087X (Electronic) 1940-087X (Linking),,141,2018 Nov 21,Assessment of the Metabolic Profile of Primary Leukemia Cells.,,10.3791/58426 [doi],"['Hlozkova, Katerina', 'Starkova, Julia']","['Hlozkova K', 'Starkova J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Video-Audio Media']",United States,J Vis Exp,Journal of visualized experiments : JoVE,101313252,,IM,"['Biopsy/methods', 'Bone Marrow/*metabolism/*pathology', 'Humans', 'Leukemia/genetics/*metabolism/*pathology', 'Metabolome/*physiology']",,,2018/12/12 06:00,2019/05/24 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/24 06:00 [medline]']",['10.3791/58426 [doi]'],epublish,J Vis Exp. 2018 Nov 21;(141). doi: 10.3791/58426.,"The metabolic requirement of cancer cells can negatively influence survival and treatment efficacy. Nowadays, pharmaceutical targeting of metabolic pathways is tested in many types of tumors. Thus, characterization of cancer cell metabolic setup is inevitable in order to target the correct pathway to improve the overall outcome of patients. Unfortunately, in a majority of cancers, the malignant cells are quite difficult to obtain in higher numbers and the tissue biopsy is required. Leukemia is an exception, where a sufficient number of leukemic cells can be isolated from the bone marrow. Here, we provide a detailed protocol for the isolation of leukemic cells from leukemia patients bone marrow and subsequent analysis of their metabolic state using extracellular flux analyzer. Leukemic cells are isolated by the density gradient, which does not affect their viability. The next cultivation step helps them to regenerate, thus the metabolic state measured is the state of cells in optimal conditions. This protocol allows achieving consistent, well-standardized results, which could be used for the personalized therapy.","['CLIP - Childhood Leukemia Investigation Prague, Second Faculty of Medicine, Laboratory of Molecular Genetics, Charles University, Prague.', 'CLIP - Childhood Leukemia Investigation Prague, Second Faculty of Medicine, Laboratory of Molecular Genetics, Charles University, Prague; julia.starkova@lfmotol.cuni.cz.']",,20181121,,,,,,,,,,,,,,,,,,,
30531599,NLM,MEDLINE,20200423,20200511,1536-3678 (Electronic) 1077-4114 (Linking),41,4,2019 May,Delaying Induction Therapy in Children With Newly Diagnosed Lymphoblastic Leukemia: Is that a Viable Strategy to Decrease Early Mortality?,e270,10.1097/MPH.0000000000001387 [doi],"['Batra, Sandeep']",['Batra S'],['eng'],"['Journal Article', 'Comment']",United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,,IM,"['Child', 'Humans', '*Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Remission Induction']",,,2018/12/12 06:00,2020/04/24 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [pubmed]', '2020/04/24 06:00 [medline]', '2018/12/12 06:00 [entrez]']",['10.1097/MPH.0000000000001387 [doi]'],ppublish,J Pediatr Hematol Oncol. 2019 May;41(4):e270. doi: 10.1097/MPH.0000000000001387.,,"['Riley Hospital for Children at Indiana University Health, Indianapolis, IN.']",,,,,,['J Pediatr Hematol Oncol. 2019 Jul;41(5):422. PMID: 30520762'],,,,,,,,,,,,,,,
30531145,NLM,MEDLINE,20190507,20190507,0485-1439 (Print) 0485-1439 (Linking),59,11,2018,[TP53 mutations and hematological malignancies].,2468-2474,10.11406/rinketsu.59.2468 [doi],"['Hirabayashi, Shinsuke', 'Misato, Suzuki', 'Manabe, Atsushi']","['Hirabayashi S', 'Misato S', 'Manabe A']",['jpn'],['Journal Article'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (TP53 protein, human)', '0 (Tumor Suppressor Protein p53)']",IM,"['Genetic Predisposition to Disease', '*Hematologic Neoplasms', 'Humans', '*Li-Fraumeni Syndrome', 'Mutation', 'Tumor Suppressor Protein p53/*genetics']",['NOTNLM'],"['Leukemia-predisposing condition', 'Li-Fraumeni syndrome', 'TP53']",2018/12/12 06:00,2019/05/08 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/08 06:00 [medline]']",['10.11406/rinketsu.59.2468 [doi]'],ppublish,Rinsho Ketsueki. 2018;59(11):2468-2474. doi: 10.11406/rinketsu.59.2468.,"TP53 is a tumor-suppressor gene, and it is the most commonly mutated somatic gene in human cancer. Germline TP53 mutations correlate with a hereditary predisposition to cancer. Comprehensive genetic analysis revealed the role of germline and somatic TP53 gene mutations in hematological malignancies. TP53 mutations affect the prognosis and therapeutic decision-making. Hence, genetic screening and tumor surveillance, including family members, should be performed when a germline TP53 mutation is detected in a patient.","[""Department of Pediatrics, St. Luke's International Hospital."", ""Department of Clinical Genetics, St. Luke's International Hospital."", ""Department of Pediatrics, St. Luke's International Hospital.""]",,,,,,,,,,,,,,,,,,,,,
30531143,NLM,MEDLINE,20190507,20190507,0485-1439 (Print) 0485-1439 (Linking),59,11,2018,[Diagnosis and management of leukemia-predisposing conditions].,2451-2458,10.11406/rinketsu.59.2451 [doi],"['Kumamoto, Tadashi']",['Kumamoto T'],['jpn'],['Journal Article'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Disease Susceptibility', '*Genetic Counseling', 'Genetic Testing', 'Humans', '*Leukemia']",['NOTNLM'],"['Genetic counseling', 'Leukemia-predisposing condition', 'Surveillance']",2018/12/12 06:00,2019/05/08 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/08 06:00 [medline]']",['10.11406/rinketsu.59.2451 [doi]'],ppublish,Rinsho Ketsueki. 2018;59(11):2451-2458. doi: 10.11406/rinketsu.59.2451.,"For the diagnosis of leukemia-predisposing condition, patients with a hematological disorder should provide complete personal and family history and undergo physical examination. However, as patients often present without classic clinical stigmata or suspicious family history, genetic testing becomes a crucial diagnostic challenge. As several genes predispose leukemia, genetic analysis targeting multiple genes, besides conventional testing procedures such as the chromosome fragility test, should be performed for rapid diagnosis and treatment planning. In addition, complete blood count and bone marrow analysis should be routinely performed to monitor disease progression. Knowledge of what kind of results imply predisposition to leukemia is imperative. Furthermore, genetic counseling, including disease review, genetic information updates, patient education, and psychosocial support, is vital in the process of patient medical care.","['Department of Pediatric Oncology, National Cancer Center Hospital.']",,,,,,,,,,,,,,,,,,,,,
30531141,NLM,MEDLINE,20190507,20201209,0485-1439 (Print) 0485-1439 (Linking),59,11,2018,[Regulation of hematopoietic stem cell homeostasis by Spred1].,2441-2448,10.11406/rinketsu.59.2441 [doi],"['Tadokoro, Yuko', 'Hirao, Atsushi']","['Tadokoro Y', 'Hirao A']",['jpn'],['Journal Article'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Adaptor Proteins, Signal Transducing)', '0 (Repressor Proteins)', '0 (Spred1 protein, mouse)']",IM,"['Adaptor Proteins, Signal Transducing', 'Animals', 'Cell Differentiation', 'Cell Proliferation', '*Cell Self Renewal', '*Hematopoietic Stem Cells', 'Homeostasis', 'Mice', 'Repressor Proteins', 'Signal Transduction']",['NOTNLM'],"['Hematopoietic stem cells', 'High-fat diet', 'Microbiota', 'Self-renewal']",2018/12/12 06:00,2019/05/08 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/08 06:00 [medline]']",['10.11406/rinketsu.59.2441 [doi]'],ppublish,Rinsho Ketsueki. 2018;59(11):2441-2448. doi: 10.11406/rinketsu.59.2441.,"Various types of stresses account for the dysregulation of the self-renewal activity of stem cells, resulting in the functional failure of tissues or tumorigenesis promotion. Although diets also affect our health, the effect of harmful dietary stresses on the tissue or stem cell homeostasis remains unclear. Recent research has revealed that Spred1, which negatively regulates RAS-MAPK signaling, protects hematopoietic stem cell (HSC) homeostasis against high-fat diet (HFD) -induced systemic stress. In steady-state conditions, Spred1 negatively regulates HSC self-renewal in a manner supported by the Rho kinase (ROCK) activity. In addition, Spred1 deficiency in mice mitigates HSC dysfunction induced by aging or lipopolysaccharide treatment, enhances the HSC self-renewal capacity, and prolongs HSC lifespan, but does not induce leukemia because of the compensatory upregulation of Spred2-the other Spred family member. Conversely, HFD triggers ERK hyperactivation and aberrant self-renewal in Spred1-deficient HSCs, resulting in HSC dysfunction, severe anemia, and the development of lethal myeloproliferative neoplasm-like disease. The depletion of the gut microbiota by antibiotics restored myeloproliferation, anemia, and HSC reconstitution ability in HFD-fed Spred1-deficient mice, suggesting that HFD-induced hematopoietic abnormalities were partially because of alterations in the gut microbiota composition. Thus, HFD-induced systemic stress affects the regulation of HSC self-renewal, and Spred1 safeguards HSC homeostasis against the diet-induced systemic stress.","['Division of Molecular Genetics, Cancer and Stem Cell Research Program, Cancer Research Institute, Kanazawa University.', 'Division of Molecular Genetics, Cancer and Stem Cell Research Program, Cancer Research Institute, Kanazawa University.']",,,,,,,,,,,,,,,,,,,,,
30531140,NLM,MEDLINE,20190507,20190507,0485-1439 (Print) 0485-1439 (Linking),59,11,2018,[Agranulocytosis during therapy of chronic myeloid leukemia lymphoid blast crisis with dasatinib].,2438-2440,10.11406/rinketsu.59.2438 [doi],"['Hatsuse, Mayumi', 'Taminishi, Yoko', 'Maegawa-Matsui, Saori', 'Fuchida, Shin-Ichi', 'Okano, Akira', 'Murakami, Satoshi', 'Inaba, Toru', 'Shimazaki, Chihiro']","['Hatsuse M', 'Taminishi Y', 'Maegawa-Matsui S', 'Fuchida SI', 'Okano A', 'Murakami S', 'Inaba T', 'Shimazaki C']",['jpn'],"['Case Reports', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Pyrimidines)', 'RBZ1571X5H (Dasatinib)']",IM,"['*Agranulocytosis/chemically induced', 'Blast Crisis', 'Dasatinib/*adverse effects/therapeutic use', 'Female', 'Humans', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', 'Middle Aged', 'Pyrimidines']",['NOTNLM'],"['Agranulocytosis', 'Dasatinib', 'Large granular lymphocyte', 'Off-target effect']",2018/12/12 06:00,2019/05/08 06:00,['2018/12/12 06:00'],"['2018/12/12 06:00 [entrez]', '2018/12/12 06:00 [pubmed]', '2019/05/08 06:00 [medline]']",['10.11406/rinketsu.59.2438 [doi]'],ppublish,Rinsho Ketsueki. 2018;59(11):2438-2440. doi: 10.11406/rinketsu.59.2438.,"A 61-year-old female was diagnosed with a lymphoid crisis of chronic myeloid leukemia (CML) in February 201X and started chemotherapy combined with dasatinib (DAS). After 1 month of initiating second consolidation therapy, the neutrophils decreased to 1%, bone marrow examination revealed large granular lymphocytes (LGL) at 13%, and complete cytogenetic remission was attained (CCyR). Suspecting DAS-induced agranulocytosis, DAS was discontinued. After 2 weeks, LGL disappeared and neutrophils recovered. In this case, CCyR was attained for the first time when LGL increased. We considered that the expansion of LGL correlated with the clinical efficacy, and agranulocytosis was an off-target effect of DAS.","['Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.', 'Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.', 'Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.', 'Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.', 'Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.', 'Department of Hematology, Ohmihachiman Community Medical Center.', 'Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.', 'Faculty of Clinical Laboratory, Kyoto Prefectural University of Medicine.', 'Department of Hematology, Japan Community Health Care Organization, Kyoto Kuramaguchi Medical Center.']",,,,,,,,,,,,,,,,,,,,,
