PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AUID,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,COIS,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,EFR,GR,TT,CON,CIN,MID,PS,FPS,RPF,CN,SI,EIN,PMCR,IR,FIR
28244291,NLM,MEDLINE,20170523,20181113,1598-6357 (Electronic) 1011-8934 (Linking),32,4,2017 Apr,Outcome of Reinduction Chemotherapy with a Modified Dose of Idarubicin for Children with Marrow-Relapsed Acute Lymphoblastic Leukemia: Results of the Childhood Acute Lymphoblastic Leukemia (CALL)-0603 Study.,642-649,10.3346/jkms.2017.32.4.642 [doi],"This multicenter, prospective trial was conducted to develop an effective and safe reinduction regimen for marrow-relapsed pediatric acute lymphoblastic leukemia (ALL) by modifying the dose of idarubicin. Between 2006 and 2009, the trial accrued 44 patients, 1 to 21 years old with first marrow-relapsed ALL. The reinduction regimen comprised prednisolone, vincristine, L-asparaginase, and idarubicin (10 mg/m(2)/week). The idarubicin dose was adjusted according to the degree of myelosuppression. The second complete remission (CR2) rate was 72.7%, obtained by 54.2% of patients with early relapse < 24 months after initial diagnosis and 95.0% of those with late relapse (P = 0.002). Five patients entered remission with extended treatment, resulting in a final CR2 rate of 84.1%. The CR2 rate was not significantly different according to the idarubicin dose. The induction death rate was 2.3% (1/44). The 5-year event-free and overall survival rates were 22.2% +/- 6.4% and 27.3% +/- 6.7% for all patients, 4.2% +/- 4.1% and 8.3% +/- 5.6% for early relapsers, and 43.8% +/- 11.4% and 50.0% +/- 11.2% for late relapsers, respectively. Early relapse and slow response to reinduction chemotherapy were predictors of poor outcomes. In conclusion, a modified dose of idarubicin was effectively incorporated into the reinduction regimen for late marrow-relapsed ALL with a low toxic death rate. However, the CR2 rate for early relapsers was suboptimal, and the second remission was not durable in most patients.",['(c) 2017 The Korean Academy of Medical Sciences.'],"['Koh, Kyung Nam', 'Im, Ho Joon', 'Kim, Hyery', 'Kang, Hyoung Jin', 'Park, Kyung Duk', 'Shin, Hee Young', 'Ahn, Hyo Seop', 'Lee, Ji Won', 'Yoo, Keon Hee', 'Sung, Ki Woong', 'Koo, Hong Hoe', 'Lim, Young Tak', 'Park, Jun Eun', 'Park, Byung Kiu', 'Park, Hyeon Jin', 'Seo, Jong Jin']","['Koh KN', 'Im HJ', 'Kim H', 'Kang HJ', 'Park KD', 'Shin HY', 'Ahn HS', 'Lee JW', 'Yoo KH', 'Sung KW', 'Koo HH', 'Lim YT', 'Park JE', 'Park BK', 'Park HJ', 'Seo JJ']","['ORCID: http://orcid.org/0000-0002-6376-672X', 'ORCID: http://orcid.org/0000-0001-8799-4068', 'ORCID: http://orcid.org/0000-0003-2852-6832', 'ORCID: http://orcid.org/0000-0003-1009-6002', 'ORCID: http://orcid.org/0000-0002-6943-4398', 'ORCID: http://orcid.org/0000-0003-2091-1947', 'ORCID: http://orcid.org/0000-0002-5618-7033', 'ORCID: http://orcid.org/0000-0003-0084-1304', 'ORCID: http://orcid.org/0000-0002-5980-7912', 'ORCID: http://orcid.org/0000-0001-5989-4772', 'ORCID: http://orcid.org/0000-0001-8082-1412', 'ORCID: http://orcid.org/0000-0002-3300-7239', 'ORCID: http://orcid.org/0000-0003-4292-3500', 'ORCID: http://orcid.org/0000-0001-9743-0610', 'ORCID: http://orcid.org/0000-0002-9557-3412', 'ORCID: http://orcid.org/0000-0002-0191-7836']","[""Division of Pediatric Hematology/Oncology, Department of Pediatrics, University of Ulsan College of Medicine, Asan Medical Center Children's Hospital, Seoul, Korea."", ""Division of Pediatric Hematology/Oncology, Department of Pediatrics, University of Ulsan College of Medicine, Asan Medical Center Children's Hospital, Seoul, Korea."", ""Division of Pediatric Hematology/Oncology, Department of Pediatrics, University of Ulsan College of Medicine, Asan Medical Center Children's Hospital, Seoul, Korea."", ""Department of Pediatrics, Cancer Research Institute, Seoul National University College of Medicine, Seoul National University Children's Hospital, Seoul, Korea."", ""Department of Pediatrics, Cancer Research Institute, Seoul National University College of Medicine, Seoul National University Children's Hospital, Seoul, Korea."", ""Department of Pediatrics, Cancer Research Institute, Seoul National University College of Medicine, Seoul National University Children's Hospital, Seoul, Korea."", 'Department of Pediatrics, Seoul National University Bundang Hospital, Seoul National University College of Medicine, Seongnam, Korea.', 'Department of Pediatrics, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Pediatrics, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Pediatrics, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Pediatrics, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, Korea.', 'Department of Pediatrics, Pusan National University College of Medicine, Busan, Korea.', 'Department of Pediatrics, Ajou University College of Medicine, Suwon, Korea.', 'Center for Pediatric Cancer, National Cancer Center, Goyang, Korea.', 'Center for Pediatric Cancer, National Cancer Center, Goyang, Korea.', ""Division of Pediatric Hematology/Oncology, Department of Pediatrics, University of Ulsan College of Medicine, Asan Medical Center Children's Hospital, Seoul, Korea. jjseo@amc.seoul.kr.""]",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study']",Korea (South),J Korean Med Sci,Journal of Korean medical science,8703518,"['0 (Antibiotics, Antineoplastic)', '5J49Q6B70F (Vincristine)', 'EC 3.5.1.1 (Asparaginase)', 'VB0R961HZT (Prednisone)', 'ZRP63D75JW (Idarubicin)']",IM,"['Adolescent', 'Antibiotics, Antineoplastic/*therapeutic use', 'Asparaginase/therapeutic use', 'Bone Marrow/pathology', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', 'Humans', 'Idarubicin/*therapeutic use', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/mortality', 'Prednisone/therapeutic use', 'Prospective Studies', 'Recurrence', 'Remission Induction', 'Survival Rate', 'Treatment Outcome', 'Vincristine/therapeutic use', 'Young Adult']",PMC5334163,['NOTNLM'],"['*Acute Lymphoblastic Leukemia', '*Childhood', '*Idarubicin', '*Induction', '*Relapse']",['The authors have no potential conflicts of interest to disclose.'],2017/03/01 06:00,2017/05/24 06:00,['2017/03/01 06:00'],"['2016/07/12 00:00 [received]', '2017/01/07 00:00 [accepted]', '2017/03/01 06:00 [entrez]', '2017/03/01 06:00 [pubmed]', '2017/05/24 06:00 [medline]']","['32.642 [pii]', '10.3346/jkms.2017.32.4.642 [doi]']",ppublish,J Korean Med Sci. 2017 Apr;32(4):642-649. doi: 10.3346/jkms.2017.32.4.642.,,,,,,,,,,,,,,,,
28244222,NLM,MEDLINE,20180611,20211204,2059-2310 (Electronic) 2059-2302 (Linking),89,5,2017 May,"A novel HLA-E allele, HLA-E*01:01:01:07, identified in a Chinese leukemia patient.",327-330,10.1111/tan.12999 [doi],"A novel HLA-E allele, HLA-E*01:01:01:07, was identified in a Chinese leukemia patient.",['(c) 2017 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.'],"['Wang, S-X', 'Xu, Y-P', 'He, Li-M']","['Wang SX', 'Xu YP', 'He LM']",['ORCID: 0000-0002-4546-2191'],"['Key Laboratory of Shenzhen for Histocompatibility and Immunogenetics, Shenzhen Blood Center, Shenzhen, PR China.', 'Key Laboratory of Shenzhen for Histocompatibility and Immunogenetics, Shenzhen Blood Center, Shenzhen, PR China.', 'Key Laboratory of Shenzhen for Histocompatibility and Immunogenetics, Shenzhen Blood Center, Shenzhen, PR China.']",['eng'],"['Case Reports', 'Journal Article']",England,HLA,HLA,101675570,"[""0 (3' Untranslated Regions)"", ""0 (5' Untranslated Regions)"", '0 (Codon)', '0 (HLA-E antigen)', '0 (Histocompatibility Antigens Class I)']",IM,"[""*3' Untranslated Regions"", ""5' Untranslated Regions"", '*Alleles', 'Asians', 'Base Sequence', 'Codon/chemistry', 'Exons', 'Gene Expression', 'Hematopoietic Stem Cell Transplantation', 'Histocompatibility Antigens Class I/*genetics/immunology', 'Histocompatibility Testing', 'Humans', 'Introns', 'Leukemia/*genetics/immunology/pathology/therapy', 'Polymerase Chain Reaction', '*Polymorphism, Single Nucleotide', 'Sequence Alignment', 'Sequence Analysis, DNA', '*Transplant Recipients']",,['NOTNLM'],"['* HLA-E', '*genomic full length', '*high-fidelity PCR', '*sequencing', '*variation']",,2017/03/01 06:00,2018/06/12 06:00,['2017/03/01 06:00'],"['2016/12/25 00:00 [received]', '2017/02/09 00:00 [revised]', '2017/02/10 00:00 [accepted]', '2017/03/01 06:00 [pubmed]', '2018/06/12 06:00 [medline]', '2017/03/01 06:00 [entrez]']",['10.1111/tan.12999 [doi]'],ppublish,HLA. 2017 May;89(5):327-330. doi: 10.1111/tan.12999. Epub 2017 Feb 28.,20170228,,,,,,,,,,,,,,,
28244100,NLM,MEDLINE,20180702,20180702,1365-2133 (Electronic) 0007-0963 (Linking),176,2,2017 Feb,Image Gallery: Necrobiotic xanthogranuloma in association with chronic myelomonocytic leukaemia.,e16,10.1111/bjd.15285 [doi],,,"['Edwards, L R', 'Kidd, L L', 'Gru, A A', 'Wilson, B B']","['Edwards LR', 'Kidd LL', 'Gru AA', 'Wilson BB']",,"['Department of Dermatology, University of Virginia, PO Box 800718, Charlottesville, VA, 22908, U.S.A.', 'Department of Dermatology, University of Virginia, PO Box 800718, Charlottesville, VA, 22908, U.S.A.', 'Department of Dermatology, University of Virginia, PO Box 800718, Charlottesville, VA, 22908, U.S.A.', 'Department of Dermatology, University of Virginia, PO Box 800718, Charlottesville, VA, 22908, U.S.A.']",['eng'],"['Case Reports', 'Letter']",England,Br J Dermatol,The British journal of dermatology,0004041,,IM,"['Cytoreduction Surgical Procedures', 'Female', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*complications/pathology', 'Middle Aged', 'Necrobiotic Xanthogranuloma/*complications/pathology/surgery']",,,,,2017/03/01 06:00,2018/07/03 06:00,['2017/03/01 06:00'],"['2017/03/01 06:00 [entrez]', '2017/03/01 06:00 [pubmed]', '2018/07/03 06:00 [medline]']",['10.1111/bjd.15285 [doi]'],ppublish,Br J Dermatol. 2017 Feb;176(2):e16. doi: 10.1111/bjd.15285.,,,,,,,,,,,,,,,,
28244069,NLM,MEDLINE,20181212,20181212,1365-4632 (Electronic) 0011-9059 (Linking),56,9,2017 Sep,Multiple mucosal ulcerations caused by idelalisib.,e180-e181,10.1111/ijd.13587 [doi],,,"['Galeone, Massimiliano', 'Antiga, Emiliano']","['Galeone M', 'Antiga E']",,"['Department of Surgery and Translational Medicine, Division of Dermatology, University of Florence, Florence, Italy.', 'Department of Surgery and Translational Medicine, Division of Dermatology, University of Florence, Florence, Italy.']",['eng'],"['Case Reports', 'Letter']",England,Int J Dermatol,International journal of dermatology,0243704,"['0 (Purines)', '0 (Quinazolinones)', '7S5I7G3JQL (Dexamethasone)', 'VB0R961HZT (Prednisone)', 'YG57I8T5M0 (idelalisib)']",IM,"['Dexamethasone/*administration & dosage', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/pathology', 'Male', 'Middle Aged', 'Mouth Mucosa/drug effects/pathology', 'Neoplasm Recurrence, Local/*drug therapy/pathology', 'Oral Ulcer/*chemically induced/drug therapy/physiopathology', 'Prednisone/*administration & dosage', 'Purines/*adverse effects/therapeutic use', 'Quinazolinones/*adverse effects/therapeutic use', 'Risk Assessment', 'Severity of Illness Index', 'Treatment Outcome']",,,,,2017/03/01 06:00,2018/12/13 06:00,['2017/03/01 06:00'],"['2016/12/23 00:00 [received]', '2017/01/16 00:00 [accepted]', '2017/03/01 06:00 [pubmed]', '2018/12/13 06:00 [medline]', '2017/03/01 06:00 [entrez]']",['10.1111/ijd.13587 [doi]'],ppublish,Int J Dermatol. 2017 Sep;56(9):e180-e181. doi: 10.1111/ijd.13587. Epub 2017 Feb 27.,20170227,,,,,,,,,,,,,,,
28243993,NLM,MEDLINE,20170810,20181113,1534-6277 (Electronic) 1534-6277 (Linking),18,2,2017 Feb,What Is Optimal Front-Line Therapy for Chronic Lymphocytic Leukemia in 2017?,12,10.1007/s11864-017-0450-8 [doi],"OPINION STATEMENT: The front-line management of patients with chronic lymphocytic leukemia (CLL) has evolved significantly in recent years due to introduction of novel, targeted agents. Upon CLL diagnosis, physicians should determine whether treatment or careful observation is indicated. Once treatment is required, choice of therapy should be based on the age and fitness of the patient and the distinct molecular profile of their disease. As multiple novel agents are in various stages of development, all patients regardless of their age, fitness, and disease risk should be evaluated for clinical trial participation before initiating any front-line therapy. If no clinical trial is available, we provide our recommendations for front-line treatment of CLL patients. Healthy, young patients with low-risk disease (mutated IgVH, del (13q)) should be offered fludarabine, chlorambucil, and rituximab (FCR), while similar patients with high-risk disease (unmutated IgVH, del (17p), del (11q), and complex karyotype) should be considered for ibrutinib therapy. For those young, fit patients with high-risk disease and a contraindication to ibrutinib, FCR, or high-dose methylprednisolone and rituximab are options. In regard to older, unfit patients, a careful assessment of their fitness and ability to tolerate treatment should be undertaken before starting therapy. Those who have poor performance and multiple medical comorbidities should be considered for palliative care alone. However, those who are fit enough for treatment can be offered ibrutinib. If there is a contraindication to ibrutinib, they can be separated into low- and high-risk molecular groups. For the low-risk patients, bendamustine and rituximab or obinutuzumab and chlorambucil can be considered. For the high-risk patients, treatment with rituximab and lenalidomide is an option. Herein, we provide an evidence-based front-line treatment algorithm for CLL patients based upon fitness and molecular risk.",,"['Voorhies, Benjamin N', 'Stephens, Deborah M']","['Voorhies BN', 'Stephens DM']",,"['Division of Hematology and Hematologic Malignancies, Department of Internal Medicine, University of Utah, Salt Lake City, UT, 84112, USA.', 'Division of Hematology and Hematologic Malignancies, Department of Internal Medicine, University of Utah, Salt Lake City, UT, 84112, USA. Deborah.stephens@hci.utah.edu.', 'Huntsman Cancer Institute, University of Utah, 1950 Circle of Hope, Room 3364, Salt Lake City, UT, 84112, USA. Deborah.stephens@hci.utah.edu.']",['eng'],"['Journal Article', 'Review']",United States,Curr Treat Options Oncol,Current treatment options in oncology,100900946,,IM,"['Algorithms', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', 'Clinical Decision-Making', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Disease Management', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*drug therapy/etiology/mortality', 'Molecular Targeted Therapy', 'Risk Assessment']",,['NOTNLM'],"['*CLL review', '*CLL treatment', '*Chronic lymphocytic leukemia']",,2017/03/01 06:00,2017/08/11 06:00,['2017/03/01 06:00'],"['2017/03/01 06:00 [entrez]', '2017/03/01 06:00 [pubmed]', '2017/08/11 06:00 [medline]']","['10.1007/s11864-017-0450-8 [doi]', '10.1007/s11864-017-0450-8 [pii]']",ppublish,Curr Treat Options Oncol. 2017 Feb;18(2):12. doi: 10.1007/s11864-017-0450-8.,,,,,,,,,,,,,,,,
28243848,NLM,MEDLINE,20171019,20181113,1558-822X (Electronic) 1558-8211 (Linking),12,2,2017 Apr,New Treatment Strategies for Philadelphia Chromosome-Positive Acute Lymphoblastic Leukemia.,136-142,10.1007/s11899-017-0372-3 [doi],"PURPOSE OF REVIEW: To review recent studies that address important questions regarding the treatment of Philadelphia chromosome-positive ALL. RECENT FINDINGS: Less intensive non-myelosuppressive induction approaches can produce comparable anti-leukemic responses with less toxicity. Second-generation tyrosine kinase inhibitors (TKIs) are not clearly associated with superior outcomes compared to imatinib. Ponatinib is associated with lower early relapse rates, but has additional vascular risks. Patients achieving complete molecular response (CMR) appear to have comparable survivals with chemotherapy + TKI alone as compared with allogeneic stem cell transplant (alloSCT). In contrast, those not achieving CMR have superior outcomes with alloSCT. There is no clear evidence of benefit for post-transplant TKI therapy. Patients resistant to chemotherapy + TKIs may respond to blinatumomab or inotuzumab; these agents may also convert some patients to CMR. Future studies should further explore the potential of ponatinib and antibody-based therapies to more precisely define optimal molecular responses.",,"['Saini, Lalit', 'Brandwein, Joseph']","['Saini L', 'Brandwein J']",,"['Division of Hematology, Department of Medicine, University of Alberta, Edmonton, AB, Canada.', 'Division of Hematology, Department of Medicine, University of Alberta, Edmonton, AB, Canada. jbrandwe@ualberta.ca.', ', 11350 - 83 Avenue Suite 4-112 Clinical Sciences Building, Edmonton, AB, T6G 2G3, Canada. jbrandwe@ualberta.ca.']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,['0 (Protein Kinase Inhibitors)'],IM,"['Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', 'Combined Modality Therapy', 'Disease Management', 'Hematopoietic Stem Cell Transplantation/adverse effects/methods', 'Humans', 'Molecular Targeted Therapy', 'Neoplasm, Residual', 'Philadelphia Chromosome', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/genetics/mortality/*therapy', 'Protein Kinase Inhibitors/administration & dosage/therapeutic use', 'Remission Induction', 'Retreatment', 'Treatment Outcome']",,['NOTNLM'],"['*Acute lymphoblastic leukemia', '*Chemotherapy', '*Minimal residual disease', '*Philadelphia chromosome', '*Tyrosine kinase inhibitors']",,2017/03/01 06:00,2017/10/20 06:00,['2017/03/01 06:00'],"['2017/03/01 06:00 [pubmed]', '2017/10/20 06:00 [medline]', '2017/03/01 06:00 [entrez]']","['10.1007/s11899-017-0372-3 [doi]', '10.1007/s11899-017-0372-3 [pii]']",ppublish,Curr Hematol Malig Rep. 2017 Apr;12(2):136-142. doi: 10.1007/s11899-017-0372-3.,,,,,,,,,,,,,,,,
28243804,NLM,PubMed-not-MEDLINE,,20191120,1432-8798 (Electronic) 0304-8608 (Linking),162,4,2017 Apr,"Erratum to: Evaluation of INOS, ICAM-1, and VCAM-1 gene expression: A study of adult T cell leukemia malignancy associated with HTLV-1.",1017,10.1007/s00705-017-3272-x [doi],,,"['Jafarian, Mahdokht', 'Mozhgani, Sayed-Hamidreza', 'Patrad, Elham', 'Vaziri, Hamidreza', 'Rezaee, Seyed Abdolrahim', 'Akbarin, Mohammad Mehdi', 'Norouzi, Mehdi']","['Jafarian M', 'Mozhgani SH', 'Patrad E', 'Vaziri H', 'Rezaee SA', 'Akbarin MM', 'Norouzi M']",,"['Department of Genetics, University of Guilan, University Campus 2, Rasht, Iran.', 'Department of Virology, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran.', 'Department of Virology, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran.', 'Department of Biology, Faculty of Sciences, University of Guilan, Rasht, Iran.', 'Immunology Research Center, Inflammation and Inflammatory Diseases Research Centre, Faculty of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Immunology Research Center, Inflammation and Inflammatory Diseases Research Centre, Faculty of Medicine, Mashhad University of Medical Sciences, Mashhad, Iran.', 'Department of Virology, School of Public Health, Tehran University of Medical Sciences, Tehran, Iran. mnorouzi@tums.ac.ir.']",['eng'],"['Journal Article', 'Published Erratum']",Austria,Arch Virol,Archives of virology,7506870,,,,,,,,2017/03/01 06:00,2017/03/01 06:01,['2017/03/01 06:00'],"['2017/03/01 06:00 [pubmed]', '2017/03/01 06:01 [medline]', '2017/03/01 06:00 [entrez]']","['10.1007/s00705-017-3272-x [doi]', '10.1007/s00705-017-3272-x [pii]']",ppublish,Arch Virol. 2017 Apr;162(4):1017. doi: 10.1007/s00705-017-3272-x.,,['Arch Virol. 2017 Apr;162(4):1009-1015. PMID: 28110427'],,,,,,,,,,,,,,
28243694,NLM,MEDLINE,20181113,20181113,1432-0584 (Electronic) 0939-5555 (Linking),96,5,2017 May,Virescent tongue.,883-884,10.1007/s00277-017-2961-6 [doi],,,"['Ali, Alaa M', 'Jacoby, Meagan', 'Romee, Rizwan']","['Ali AM', 'Jacoby M', 'Romee R']",,"['Bone Marrow Transplantation and Leukemia Section, Division of Oncology, Washington University School of Medicine, 660 South Euclid Avenue, Saint Louis, MO, 63110, USA. alaaali@wustl.edu.', 'Bone Marrow Transplantation and Leukemia Section, Division of Oncology, Washington University School of Medicine, 660 South Euclid Avenue, Saint Louis, MO, 63110, USA.', 'Bone Marrow Transplantation and Leukemia Section, Division of Oncology, Washington University School of Medicine, 660 South Euclid Avenue, Saint Louis, MO, 63110, USA.']",['eng'],"['Case Reports', 'Letter']",Germany,Ann Hematol,Annals of hematology,9107334,,IM,"['Humans', 'Induction Chemotherapy', 'Leukemia, Myeloid, Acute/complications/*diagnosis/drug therapy/pathology', 'Male', 'Middle Aged', 'Necrosis', 'Remission Induction', 'Sarcoma, Myeloid/complications/*diagnosis/drug therapy/pathology', 'Tongue/*pathology', 'Tongue Diseases/complications/*diagnosis/drug therapy/pathology']",,,,,2017/03/01 06:00,2018/11/14 06:00,['2017/03/01 06:00'],"['2017/02/02 00:00 [received]', '2017/02/16 00:00 [accepted]', '2017/03/01 06:00 [pubmed]', '2018/11/14 06:00 [medline]', '2017/03/01 06:00 [entrez]']","['10.1007/s00277-017-2961-6 [doi]', '10.1007/s00277-017-2961-6 [pii]']",ppublish,Ann Hematol. 2017 May;96(5):883-884. doi: 10.1007/s00277-017-2961-6. Epub 2017 Feb 27.,20170227,,,,,,,,,,,,,,,
28243332,NLM,PubMed-not-MEDLINE,,20200930,1837-9664 (Print) 1837-9664 (Linking),8,2,2017,Network Biomarkers Constructed from Gene Expression and Protein-Protein Interaction Data for Accurate Prediction of Leukemia.,278-286,10.7150/jca.17302 [doi],"Leukemia is a leading cause of cancer deaths in the developed countries. Great efforts have been undertaken in search of diagnostic biomarkers of leukemia. However, leukemia is highly complex and heterogeneous, involving interaction among multiple molecular components. Individual molecules are not necessarily sensitive diagnostic indicators. Network biomarkers are considered to outperform individual molecules in disease characterization. We applied an integrative approach that identifies active network modules as putative biomarkers for leukemia diagnosis. We first reconstructed the leukemia-specific PPI network using protein-protein interactions from the Protein Interaction Network Analysis (PINA) and protein annotations from GeneGo. The network was further integrated with gene expression profiles to identify active modules with leukemia relevance. Finally, the candidate network-based biomarker was evaluated for the diagnosing performance. A network of 97 genes and 400 interactions was identified for accurate diagnosis of leukemia. Functional enrichment analysis revealed that the network biomarkers were enriched in pathways in cancer. The network biomarkers could discriminate leukemia samples from the normal controls more effectively than the known biomarkers. The network biomarkers provide a useful tool to diagnose leukemia and also aids in further understanding the molecular basis of leukemia.",,"['Yuan, Xuye', 'Chen, Jiajia', 'Lin, Yuxin', 'Li, Yin', 'Xu, Lihua', 'Chen, Luonan', 'Hua, Haiying', 'Shen, Bairong']","['Yuan X', 'Chen J', 'Lin Y', 'Li Y', 'Xu L', 'Chen L', 'Hua H', 'Shen B']",,"['Center for Systems Biology, Soochow University, Suzhou, 215006, China.', 'School of Chemistry and Biological Engineering, Suzhou University of Science and Technology, Suzhou, 215011, China.', 'Center for Systems Biology, Soochow University, Suzhou, 215006, China.', 'Center for Systems Biology, Soochow University, Suzhou, 215006, China.', ""Department of Pediatrics, The First People's Hospital of Lianyungang, Lianyungang, 222002, China."", 'Key Laboratory of Systems Biology, Chinese Academy of Sciences, Shanghai, 200031, China.', 'Department of Hematology, The Third Hospital Affiliated to Nantong University, No. 585 North Xingyuan Road, Wuxi, Jiangsu214041, China.', 'Center for Systems Biology, Soochow University, Suzhou, 215006, China.']",['eng'],['Journal Article'],Australia,J Cancer,Journal of Cancer,101535920,,,,PMC5327377,['NOTNLM'],"['integrative analysis', 'leukemia.', 'network biomarker']",['Conflict of Interest: The authors declare no conflict of interest.'],2017/03/01 06:00,2017/03/01 06:01,['2017/03/01 06:00'],"['2016/08/22 00:00 [received]', '2016/10/29 00:00 [accepted]', '2017/03/01 06:00 [entrez]', '2017/03/01 06:00 [pubmed]', '2017/03/01 06:01 [medline]']","['10.7150/jca.17302 [doi]', 'jcav08p0278 [pii]']",epublish,J Cancer. 2017 Jan 15;8(2):278-286. doi: 10.7150/jca.17302. eCollection 2017.,20170115,,,,,,,,,,,,,,,
28243295,NLM,PubMed-not-MEDLINE,,20200930,1735-0328 (Print) 1726-6882 (Linking),15,4,2016 Fall,Monitoring and Treatment of Acute Kidney Injury in Children with Acute Lymphoblastic Leukemia After High Dose Methotrexate Chemotherapy.,957-961,,"To investigate acute kidney injury (AKI) in children with acute lymphoblastic leukemia (ALL) who received high dose methotrexate (MTX) chemotherapy and explore the corresponding treatment. Methods 180 children who received high dose MTX chemotherapy were observed with serum MTX concentration and serum creatinine. Patients with AKI of stage 3 or poor response to conventional treatment were performed on hemodialysis and assessed the treatment outcome. Results 9 patients (5%) have appeared AKI, including 7 cases of AKI of stage 3. However, there were not any significant correlation between age, gender, serum MTX concentration and AKI, respectively. Compared with normal serum MTX concentration, the patients with high serum MTX concentration easily were developed to AKI, the MTX and serum creatinine concentration had been significantly decreased in 9 patients after hemodialysis. Conclusion AKI has appeared in some children with ALL who receive high dose MTX chemotherapy, and this may due to increase of serum MTX concentration. The monitoring of serum MTX concentration and AKI index could help to find out AKI, and even to prevent the occurrence of it. Furthermore, once AKI is present, those patients with AKI stage 3 or poor response to conventional treatment should be performed on hemodialysis treatment.",,"['Wang, Cong-Ping']",['Wang CP'],,"['Eye & Ent Hospital of Fudan University, Shanghai 200031, China.']",['eng'],['Journal Article'],Iran,Iran J Pharm Res,Iranian journal of pharmaceutical research : IJPR,101208407,,,,PMC5316277,['NOTNLM'],"['Acute kidney injury', 'Acute lymphoblastic leukemia', 'Children', 'Methotrexate chemotherapy']",,2017/03/01 06:00,2017/03/01 06:01,['2017/03/01 06:00'],"['2017/03/01 06:00 [entrez]', '2017/03/01 06:00 [pubmed]', '2017/03/01 06:01 [medline]']",,ppublish,Iran J Pharm Res. 2016 Fall;15(4):957-961.,,,,,,,,,,,,,,,,
