PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CI,SB,MH,RN,EIN,TT,GR,MID,CON,SI,CIN,AUID,CN,IR,FIR,OID,ROF,IRAD,RPI
25548628,NLM,PubMed-not-MEDLINE,20141230,20200929,2050-0904 (Print) 2050-0904 (Linking),2,6,2014 Dec,Natural history of chronic myelomonocytic leukemia: gene sequencing identifies multiple clonal molecular abnormalities associated with rapid progression to acute myeloid leukemia.,265-70,10.1002/ccr3.110 [doi],"KEY CLINICAL MESSAGE: Gene panel sequencing in a CMML patient without any detectable genetic abnormality by conventional genetic studies identified four concurrent somatic mutations in three genes. Gene panel mutation analysis is a rapidly emerging clinical tool to demonstrate the clonality in hematologic malignancies, and to identify the potential targets for therapy.","['Xiang, Zhifu', 'Kaur, Varinder', 'Aburiziq, Ibrahim K', 'Mehta, Paulette', 'Emanuel, Peter', 'Schichman, Steven A']","['Xiang Z', 'Kaur V', 'Aburiziq IK', 'Mehta P', 'Emanuel P', 'Schichman SA']","['Division of Hematology and Oncology, Winthrop P. Rockefeller Cancer Institute, University of Arkansas for Medical Sciences Little Rock, Arkansas ; Division of Hematology and Oncology, Central Arkansas Veterans Healthcare System Little Rock, Arkansas.', 'Division of Hematology and Oncology, Winthrop P. Rockefeller Cancer Institute, University of Arkansas for Medical Sciences Little Rock, Arkansas.', 'Department of Pathology, University of Arkansas for Medical Sciences Little Rock, Arkansas.', 'Division of Hematology and Oncology, Winthrop P. Rockefeller Cancer Institute, University of Arkansas for Medical Sciences Little Rock, Arkansas ; Division of Hematology and Oncology, Central Arkansas Veterans Healthcare System Little Rock, Arkansas.', 'Division of Hematology and Oncology, Winthrop P. Rockefeller Cancer Institute, University of Arkansas for Medical Sciences Little Rock, Arkansas.', 'Department of Pathology, University of Arkansas for Medical Sciences Little Rock, Arkansas ; Pathology and Laboratory Medicine Service, Central Arkansas Veterans Healthcare System Little Rock, Arkansas.']",['eng'],['Case Reports'],20141113,England,Clin Case Rep,Clinical case reports,101620385,PMC4270708,['NOTNLM'],"['Acute myeloid leukemia', 'chronic myelomonocytic leukemia', 'clonality', 'gene sequencing', 'genetic abnormality']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2014/01/09 00:00 [received]', '2014/07/03 00:00 [revised]', '2014/06/28 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']",['10.1002/ccr3.110 [doi]'],ppublish,Clin Case Rep. 2014 Dec;2(6):265-70. doi: 10.1002/ccr3.110. Epub 2014 Nov 13.,,,,,,,,,,,,,,,,,,,
25548467,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,Spontaneous remission of adult acute lymphoblastic leukemia: a very rare event.,159-60,10.1007/s12288-014-0351-y [doi],"A middle aged male presented to us with an unusual problem when his acute lymphoblastic leukemia (ALL) disappeared without any chemotherapy. We faced a dilemma whether to go ahead and treat his initial diagnosis or wait. Eventually he did relapse and was treated, albeit with a fatal outcome. Such spontaneous remission in acute leukemia are a very rare event, more common in acute myeloid leukemia and in children. Spontaneous remission in adult ALL is rarely described in literature.","['Purohit, Abhishek', 'Aggarwal, Mukul', 'Kumar, Sudhir', 'Seth, Tulika', 'Mishra, Pravas', 'Mahapatra, Manoranjan', 'Saxena, Renu', 'Sharma, Rahul', 'Singh, Pawan Kumar', 'Venkateshan, Somasundaram']","['Purohit A', 'Aggarwal M', 'Kumar S', 'Seth T', 'Mishra P', 'Mahapatra M', 'Saxena R', 'Sharma R', 'Singh PK', 'Venkateshan S']","['Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.', 'Department of Hematology, All India Institute of Medical Sciences, New Delhi, India.']",['eng'],['Journal Article'],20140218,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275536,['NOTNLM'],"['Acute leukemia', 'Spontaneous remission']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2013/12/06 00:00 [received]', '2014/01/31 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-014-0351-y [doi]', '351 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):159-60. doi: 10.1007/s12288-014-0351-y. Epub 2014 Feb 18.,,,,,,,,,,,,,,,,,,,
25548465,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,Philadelphia chromosome positive precursor T acute lymphoblastic leukemia.,154-5,10.1007/s12288-013-0278-8 [doi],,"['Kannan, Krishnarathnam']",['Kannan K'],"['Department of Haematology, Sri Ramachandra Medical Centre, E1 Block, Porur, Chennai, 600 116 India.']",['eng'],['Journal Article'],20130709,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275530,,,2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2012/11/07 00:00 [received]', '2013/05/27 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-013-0278-8 [doi]', '278 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):154-5. doi: 10.1007/s12288-013-0278-8. Epub 2013 Jul 9.,,,,,,,,,,,,,,,,,,,
25548463,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,Unusual Case of ALL with Ovarian Relapse.,148-50,10.1007/s12288-013-0323-7 [doi],"Patients with acute lymphoblastic leukemia (ALL) can develop relapse in sanctuary sites like brain, ovary or testis even when the bone marrow is in remission. Pelvic recurrence is rarely reported during the follow up of successfully treated ALL in females. We report here a very unusual case of a large pelvic lump which the patient herself could feel, that was probably an ovarian relapse of ALL, successfully treated with re-induction chemotherapy alone and achieved complete remission.","['Sasidharan, P K', 'Sugeeth, M', 'Abdul Majeed, P', 'Shaan, Mohamed', 'Hitha, B']","['Sasidharan PK', 'Sugeeth M', 'Abdul Majeed P', 'Shaan M', 'Hitha B']","['Division of Haematology, Department of General Medicine, Government Medical College, Kozhikode 8, 673008 Kerala India.', 'Division of Haematology, Department of General Medicine, Government Medical College, Kozhikode 8, 673008 Kerala India.', 'Division of Haematology, Department of General Medicine, Government Medical College, Kozhikode 8, 673008 Kerala India.', 'Division of Haematology, Department of General Medicine, Government Medical College, Kozhikode 8, 673008 Kerala India.', 'Division of Haematology, Department of General Medicine, Government Medical College, Kozhikode 8, 673008 Kerala India.']",['eng'],['Case Reports'],20141017,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275509,['NOTNLM'],"['ALL', 'Malignancy', 'Ovary', 'Relapse']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2013/07/13 00:00 [received]', '2013/12/24 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-013-0323-7 [doi]', '323 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):148-50. doi: 10.1007/s12288-013-0323-7. Epub 2014 Oct 17.,,,,,,,,,,,,,,,,,,,
25548462,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,Infantile Acute Monoblastic Leukemia with MLL Gene Rearrangements.,146-7,10.1007/s12288-012-0205-4 [doi],A 7 month infant presented with fever and breathlessness with raised total counts. Examination revealed 90 % blasts with prominent nucleoli. Flow cytometry revealed a tight cluster in the monocytic region. The blasts showed homogenous bright CD 33/4/64/HLA D with heterogeneous expression of CD14/15/11c. Blasts were negative for CD13/MPO/Cytoplasmic CD3/19/7/34/117/5/22/TdT/CD 61/41. FISH revealed MLL gene rearrangements in the blasts. No evidence of Down's syndrome on cytogenetic studies was noted. Diagnosis of Infantile acute monoblastic leukemia was made. These leukemias are rare in infants and are associated with a poor outcome.,"['Sachdev, Ritesh', 'Agarwal, Naveen', 'Khan, Mohd Ateek', 'Kumar, Anil']","['Sachdev R', 'Agarwal N', 'Khan MA', 'Kumar A']","['Oncquest Laboratories Pvt. Ltd, 3, Factory Road, New Delhi, 110029 India ; A 803, Plot 7A, Navrattan Apartments, Sector 23, Dwarka, New Delhi, 110077 India.', 'Oncquest Laboratories Pvt. Ltd, 3, Factory Road, New Delhi, 110029 India.', 'Oncquest Laboratories Pvt. Ltd, 3, Factory Road, New Delhi, 110029 India.', 'Oncquest Laboratories Pvt. Ltd, 3, Factory Road, New Delhi, 110029 India.']",['eng'],['Case Reports'],20121120,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275514,['NOTNLM'],"['Acute leukemia', 'Infantile', 'MLL', 'Monoblastic']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2012/09/17 00:00 [received]', '2012/10/03 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-012-0205-4 [doi]', '205 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):146-7. doi: 10.1007/s12288-012-0205-4. Epub 2012 Nov 20.,,,,,,,,,,,,,,,,,,,
25548456,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,The Prognostic Significance of HbF in Childhood Haematological Malignancies.,116-20,10.1007/s12288-014-0383-3 [doi],"The degree of increase in foetal haemoglobin (HbF) synthesis in haematological malignancies may be associated with the degree of malignancy. The aim of the present study was to quantify HbF levels in various childhood haematological malignancies and also, to ascertain its prognostic significance by comparing the results with the already established standard prognostic factors. Newly diagnosed cases of haematological malignancies in the paediatric age group were included in the study. HbF levels were estimated in each case of the study group along with HbF levels of control group comprising healthy children of same age group. The estimation was done by HPLC and Modified Betke's method. 50 cases of newly diagnosed haematological malignancies were studied out of which most of the cases were of acute lymphoblastic leukaemia (ALL) [n = 30(60 %)] followed by acute myeloid leukaemia (AML) [n = 8(16 %)], Hodgkin's lymphoma [n = 7(14%)], non-Hodgkin's lymphoma [n = 5(10 %)]. Raised HbF levels were found in 43.3 % cases of ALL (13/30) and 37.5 % cases of AML (3/8). No significant rise in HbF level was found in cases of lymphomas. There was correlation between raised HbF level and poor prognostic factors in cases of ALL but no such correlation was found in cases of AML. HbF levels are often elevated in childhood leukaemias as compared to childhood lymphomas. Thus, the concentration of HbF in acute childhood leukaemia may be considered as a prognostic factor.","['Mallick, Debjani', 'Karmakar, Rupam', 'Barui, Gopinath', 'Gon, Sonia', 'Chakrabarti, Sudipta']","['Mallick D', 'Karmakar R', 'Barui G', 'Gon S', 'Chakrabarti S']","['Department of Pathology, ESI PGIMSR & ESIC Medical College, Joka, Diamond Harbour Road, Kolkata, 700104 West Bengal India.', 'Department of Pathology, RG Kar Medical College, Kolkata, India.', 'Department of Pathology, Malda Medical College, English Bazar, West Bengal India.', 'Department of Pathology, ESI PGIMSR & ESIC Medical College, Joka, Diamond Harbour Road, Kolkata, 700104 West Bengal India.', 'Department of Pathology, ESI PGIMSR, Manicktala, Kolkata, West Bengal India.']",['eng'],['Journal Article'],20140423,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275518,['NOTNLM'],"['Foetal haemoglobin', 'Paediatric haematological malignancies']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2013/11/10 00:00 [received]', '2014/03/30 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-014-0383-3 [doi]', '383 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):116-20. doi: 10.1007/s12288-014-0383-3. Epub 2014 Apr 23.,,,,,,,,,,,,,,,,,,,
25548442,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,"Children Diagnosed as Mixed-Phenotype Acute Leukemia Didn't Benefit from the CCLG-2008 Protocol, Retrospective Analysis from Single Center.",32-7,10.1007/s12288-014-0372-6 [doi],"Mixed phenotype acute leukemia (MPAL) is a rare type of acute leukemia with a poor clinical outcome which lacks specific therapy. To evaluate the therapeutic efficiency of CCLG-2008 protocol used for acute lymphoblastic leukemia (ALL) in China on MPAL children who were initially diagnosed as ALL by morphology, we reviewed patients' database diagnosed as ALL and MPAL according to WHO classification and compared their outcomes from July 2008 to June 2012. Total newly enrolled ALL in this study were 309 cases by morphology, in which ten cases were identified as MPAL mainly by immunophenotyping: B+ myeloid (3/10), T+ myeloid (2/10), B + T (4/10), trilineage (1/10). Two cases were classified as intermediate risk (IR) and 8 cases were high risk (HR) according to the CCLG-2008 criteria. Only one case of IR survived and others died due to primary resistance of chemotherapy and relapse. Compared with MPAL, ALL children in IR and HR had a longer survival (28.1 vs 9.5 months, p < 0.0001) and lower relapse (16.3 vs 85.7 %, p = 0.0002). In a summary, our result indicated that MPAL in children is a poor-risk disease which needs personalized therapy to improve outcome.","['Lu, Jing', 'Ashwani, Neetika', 'Zhang, Mingying', 'He, Hailong', 'Lu, Jun', 'Wang, Yi', 'Zhao, Wenli', 'Cao, Lan', 'Ji, Zhenghua', 'He, Yaxiang', 'Hunag, Yiping', 'Chen, Ruihua', 'Hu, Shaoyan']","['Lu J', 'Ashwani N', 'Zhang M', 'He H', 'Lu J', 'Wang Y', 'Zhao W', 'Cao L', 'Ji Z', 'He Y', 'Hunag Y', 'Chen R', 'Hu S']","[""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China."", 'Institute of Clinical Immunology, The First Affiliated Hospital of Soochow University, Suzhou, China.', ""Department of Hematology and Oncology, Children's Hospital of Soochow University, Suzhou, 215003 China.""]",['eng'],['Journal Article'],20140412,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275512,['NOTNLM'],"['Acute lymphoblastic leukemia (ALL)', 'CCLG-2008 protocol', 'Children', 'Mixed-phenotype acute leukemia (MPAL)']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2013/08/19 00:00 [received]', '2014/03/11 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-014-0372-6 [doi]', '372 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):32-7. doi: 10.1007/s12288-014-0372-6. Epub 2014 Apr 12.,,,,,,,,,,,,,,,,,,,
25548441,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,Lack of Correlation Between the CCR5-Delta32 Mutation and Acute Myeloid Leukemia in Iranian Patients.,29-31,10.1007/s12288-014-0408-y [doi],"Chemokines and their receptors are crucially important in the pathogenesis of acute myeloblastic leukemia (AML). The CC chemokine receptor 5 (CCR5) is a specific chemokine receptor for CC chemokine ligand 3 (CCL3), CCL4 and CCL5 which all play key roles in identifying cancer properties and localization of leukemia cells. It has been demonstrated that the known mutation in CCR5 gene (CCR5-Delta32) leads to mal-expression of the receptor and affect its function. The aim of this study was to determine the rate of CCR5-Delta32 mutation within Iranian AML patients. In this study, blood samples were obtained from 60 AML patients and 300 healthy controls. The CCR5-Delta32 mutation was evaluated using Gap-PCR technique. Our results showed that CCR5-Delta32 mutation was not found in the patients, while three out of the controls had hetrozygotic form of this mutation. The rest of studied samples had the wild form of the gene. According to these findings, it can probably be concluded that the CCR5-Delta32 is not associated with susceptibility to AML in Iranian patients.","['Khorramdelazad, Hossein', 'Mortazavi, Yousef', 'Momeni, Mohammad', 'Arababadi, Mohammad Kazemi', 'Khandany, Behjat Kalantary', 'Moogooei, Mozhgan', 'Hassanshahi, Gholamhossein']","['Khorramdelazad H', 'Mortazavi Y', 'Momeni M', 'Arababadi MK', 'Khandany BK', 'Moogooei M', 'Hassanshahi G']","['Molecular Medicine Research Center, Rafsanjan University of Medical Sciences, Rafsanjan, Iran.', 'Department of Molecular Medicine, Faculty of Medicine, Zanjan University of Medical Sciences, 4513956111 Zanjan, Iran.', 'Department of Immunology, Faculty of Medicine, Rafsanjan University of Medical Sciences, Rafsanjan, Iran.', 'Department of Immunology, Faculty of Medicine, Rafsanjan University of Medical Sciences, Rafsanjan, Iran ; Immunology of Infectious Diseases Research Center, Rafsanjan University of Medical Sciences, Rafsanjan, Iran.', 'Department of Hematology-Oncology and BMT, Kerman University of Medical Sciences, Kerman, Iran.', 'Molecular Medicine Research Center, Rafsanjan University of Medical Sciences, Rafsanjan, Iran.', 'Molecular Medicine Research Center, Rafsanjan University of Medical Sciences, Rafsanjan, Iran.']",['eng'],['Journal Article'],20140619,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275532,['NOTNLM'],"['Acute myeloblastic leukemia', 'CCR5-Delta32 mutation', 'Chemokine']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2013/02/25 00:00 [received]', '2014/05/16 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-014-0408-y [doi]', '408 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):29-31. doi: 10.1007/s12288-014-0408-y. Epub 2014 Jun 19.,,,,,,,,,,,,,,,,,,,
25548440,NLM,PubMed-not-MEDLINE,20141230,20200929,0971-4502 (Print) 0971-4502 (Linking),31,1,2015 Mar,The Prognostic Relevance of BAALC and ERG Expression Levels in Cytogenetically Normal Pediatric Acute Myeloid Leukemia.,21-8,10.1007/s12288-014-0395-z [doi],"UNLABELLED: Cytogenetic aberrations are important prognostic factors in acute myeloid leukemia (AML). About 45 % of de novo adult AML and 20 % of pediatric AML lack cytogenetic abnormalities, so identification of predictive molecular markers might improve therapy. Mutation status of FLT3, NPM1 genes and gene expression levels of ERG, BAALC have been postulated as possible prognostic markers in pediatric AML with normal karyotype. Pretreatment blood samples from 47 cytogenetically normal AML patients were analysed for BAALC and ERG expression using real time RT-PCR. The patients were dichotomized at BAALC and ERG mean expression into low and high expression based on the median expression as cutoff. BAALC showed high expression in (24/47; 51.1 %) of patients and ERG high expression was detected in (22/47; 46.6 %). With follow-up for 1 year, patients with high BAALC and high ERG had inferior EFS (P = 0.001, P = 0.017 respectively), overall survival (P = 0.001, 0.08 respectively), and low rates of induction remission (P = 0.001, P = 0.0017 respectively) as compared to those with low expression. Also there was significant positive association between high expression of BAALC; ERG and FLT-ITD mutations (P = 0.016; P = 0.007 respectively). Multivariable analysis confirmed that high BAALC expression is an independent risk factor for EFS [HR for EFS 1.9(1.04-3.46) P = 0.037]; and OS [HR OS 1.55(1.7-3.36) P = 0.03]. IN CONCLUSION: Over expression of BAALC could predict adverse clinical outcome and may define important risk factor in cytogenetically normal pediatric AML.","['Aref, Salah', 'Al Khodary, Tawfik', 'Zeed, Tarek Abou', 'El Sadiek, Amre', 'El Menshawy, Nadia', 'Al Ashery, Rasha']","['Aref S', 'Al Khodary T', 'Zeed TA', 'El Sadiek A', 'El Menshawy N', 'Al Ashery R']","['Hematology Unit, Clinical Pathology Department, Mansoura Faculty of Medicine, Mansoura Cancer Institute, Mansoura, Egypt.', 'Medical Oncology Unit, Mansoura Faculty of Medicine, Mansoura Cancer Institute, Mansoura, Egypt.', 'Clinical Hematology Unit, Mansoura Faculty of Medicine, Mansoura Cancer Institute, Mansoura, Egypt.', 'Hematology Unit, Clinical Pathology Department, Mansoura Faculty of Medicine, Mansoura Cancer Institute, Mansoura, Egypt.', 'Hematology Unit, Clinical Pathology Department, Mansoura Faculty of Medicine, Mansoura Cancer Institute, Mansoura, Egypt.', 'Pediatric Oncology Unit, Mansoura Faculty of Medicine, Mansoura Cancer Institute, Mansoura, Egypt.']",['eng'],['Journal Article'],20140501,India,Indian J Hematol Blood Transfus,Indian journal of hematology & blood transfusion : an official journal of Indian Society of Hematology and Blood Transfusion,9425818,PMC4275528,['NOTNLM'],"['BAALC', 'CN-AML', 'ERG', 'Prognosis']",2014/12/31 06:00,2014/12/31 06:01,['2014/12/31 06:00'],"['2013/08/11 00:00 [received]', '2014/04/16 00:00 [accepted]', '2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2014/12/31 06:01 [medline]']","['10.1007/s12288-014-0395-z [doi]', '395 [pii]']",ppublish,Indian J Hematol Blood Transfus. 2015 Mar;31(1):21-8. doi: 10.1007/s12288-014-0395-z. Epub 2014 May 1.,,,,,,,,,,,,,,,,,,,
25548388,NLM,MEDLINE,20151026,20181113,2157-6564 (Print) 2157-6564 (Linking),4,2,2015 Feb,Concise review: hematopoietic stem cell aging and the prospects for rejuvenation.,186-94,10.5966/sctm.2014-0132 [doi],"Because of the continuous increases in lifetime expectancy, the incidence of age-related diseases will, unless counteracted, represent an increasing problem at both the individual and socioeconomic levels. Studies on the processes of blood cell formation have revealed several shortcomings as a consequence of chronological age. They include a reduced ability to mount adaptive immune responses and a blood cell composition skewed toward myeloid cells, with the latter coinciding with a dramatically increased incidence of myelogenous diseases, including cancer. Conversely, the dominant forms of acute leukemia affecting children associate with the lymphoid lineages. A growing body of evidence has suggested that aging of various organs and cellular systems, including the hematopoietic system, associates with a functional demise of tissue-resident stem cell populations. Mechanistically, DNA damage and/or altered transcriptional landscapes appear to be major drivers of the hematopoietic stem cell aging state, with recent data proposing that stem cell aging phenotypes are characterized by at least some degree of reversibility. These findings suggest the possibility of rejuvenating, or at least dampening, stem cell aging phenotypes in the elderly for therapeutic benefit.","['Wahlestedt, Martin', 'Pronk, Cornelis Jan', 'Bryder, David']","['Wahlestedt M', 'Pronk CJ', 'Bryder D']","['Immunology Section, Institution for Experimental Medical Science, Lund University, Lund, Sweden; Department of Pediatric Oncology/Hematology, Skane University Hospital, Lund, Sweden.', 'Immunology Section, Institution for Experimental Medical Science, Lund University, Lund, Sweden; Department of Pediatric Oncology/Hematology, Skane University Hospital, Lund, Sweden.', 'Immunology Section, Institution for Experimental Medical Science, Lund University, Lund, Sweden; Department of Pediatric Oncology/Hematology, Skane University Hospital, Lund, Sweden David.Bryder@med.lu.se.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20141229,United States,Stem Cells Transl Med,Stem cells translational medicine,101578022,PMC4303356,['NOTNLM'],"['DNA damage', 'Epigenetics', 'Hematopoiesis', 'Hematopoietic stem cell aging', 'Rejuvenation']",2014/12/31 06:00,2015/10/27 06:00,['2014/12/31 06:00'],"['2014/12/31 06:00 [entrez]', '2014/12/31 06:00 [pubmed]', '2015/10/27 06:00 [medline]']","['sctm.2014-0132 [pii]', '10.5966/sctm.2014-0132 [doi]']",ppublish,Stem Cells Transl Med. 2015 Feb;4(2):186-94. doi: 10.5966/sctm.2014-0132. Epub 2014 Dec 29.,['(c)AlphaMed Press.'],IM,"['Animals', 'Hematologic Diseases/therapy', 'Hematopoietic Stem Cell Transplantation', 'Hematopoietic Stem Cells/*metabolism', 'Humans', 'Neoplasms/therapy', '*Rejuvenation']",,,,,,,,,,,,,,,,
