PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,AB,CI,DEP,OTO,OT,PMC,GR,MID,CON,SI,EIN,CN,GN,CIN,TT,PS,FPS,AUID,IR,FIR,OID,RPF,RIN
24602738,NLM,MEDLINE,20150219,20140307,0253-2727 (Print) 0253-2727 (Linking),35,1,2014 Jan,[Development of acute myeloid leukemia in a myelodysplastic syndrome patient after allogeneic hematopoietic stem cell transplantation for 12 years: a case report and literature review].,63-5,10.3760/cma.j.issn.0253-2727.2014.01.018 [doi],"['Li, Zhen', 'Zhang, Yanli', 'Zhou, Jian', 'Fang, Baijun', 'Lin, Quande', 'Song, Yongping']","['Li Z', 'Zhang Y', 'Zhou J', 'Fang B', 'Lin Q', 'Song Y']","['Department of Hematopathy, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou 450008, China.', 'Department of Hematopathy, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou 450008, China.', 'Department of Hematopathy, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou 450008, China.', 'Department of Hematopathy, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou 450008, China.', 'Department of Hematopathy, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou 450008, China.', 'Department of Hematopathy, The Affiliated Cancer Hospital of Zhengzhou University, Zhengzhou 450008, China.']",['chi'],"['Case Reports', 'Journal Article', 'Review']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid, Acute/*etiology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*therapy']",2014/03/08 06:00,2015/02/20 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.3760/cma.j.issn.0253-2727.2014.01.018 [doi]'],ppublish,Zhonghua Xue Ye Xue Za Zhi. 2014 Jan;35(1):63-5. doi: 10.3760/cma.j.issn.0253-2727.2014.01.018.,,,,,,,,,,,,,,,,,,,,,,,,
24602735,NLM,MEDLINE,20150219,20140307,0253-2727 (Print) 0253-2727 (Linking),35,1,2014 Jan,[Coexistence of p210 BCR-ABL and CBFbeta-MYH11 fusion genes in myeloid leukemia: two cases report and literatures review].,55-7,10.3760/cma.j.issn.0253-2727.2014.01.015 [doi],"['Jiang, Feng', 'Wang, Yuanyuan', 'Cen, Jiannong', 'Chen, Zixing', 'Liang, Jianying', 'Liu, Dandan', 'Zhu, Mingqing', 'Pan, Jinlan', 'Dai, Lan', 'Xue, Yongquan', 'Chen, Suning']","['Jiang F', 'Wang Y', 'Cen J', 'Chen Z', 'Liang J', 'Liu D', 'Zhu M', 'Pan J', 'Dai L', 'Xue Y', 'Chen S']","['First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.', 'First Affiliated Hospital of Soochow University, Jiangsu Institute of Hematology, Key Laboratory of Thrombosis and Hemostasis, Ministry of Health, Soochow 215006, China.']",['chi'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['Adolescent', 'Adult', 'Female', 'Fusion Proteins, bcr-abl/*genetics', 'Gene Expression', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Leukemia, Myeloid/*genetics', 'Male', 'Oncogene Proteins, Fusion/*genetics', 'Retrospective Studies']",2014/03/08 06:00,2015/02/20 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.3760/cma.j.issn.0253-2727.2014.01.015 [doi]'],ppublish,Zhonghua Xue Ye Xue Za Zhi. 2014 Jan;35(1):55-7. doi: 10.3760/cma.j.issn.0253-2727.2014.01.015.,"['0 (CBFbeta-MYH11 fusion protein)', '0 (Oncogene Proteins, Fusion)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",,,,,,,,,,,,,,,,,,,,,,,
24602734,NLM,MEDLINE,20150219,20140307,0253-2727 (Print) 0253-2727 (Linking),35,1,2014 Jan,[Severe lactic acidosis in a patient with acute leukemia: a case report and literature review].,53-5,10.3760/cma.j.issn.0253-2727.2014.01.014 [doi],"['Hou, Zheng', 'Ji, Jie', 'Kuang, Pu', 'He, Chuan']","['Hou Z', 'Ji J', 'Kuang P', 'He C']","['Department of Hematology, West China Hospital, Sichuan University, Chengdu 610041, China.', 'Department of Hematology, West China Hospital, Sichuan University, Chengdu 610041, China.', 'Department of Hematology, West China Hospital, Sichuan University, Chengdu 610041, China.', 'Department of Hematology, West China Hospital, Sichuan University, Chengdu 610041, China.']",['chi'],"['Case Reports', 'Journal Article', 'Review']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['Acidosis, Lactic/*complications', 'Acute Disease', 'Humans', 'Leukemia/*complications', 'Male', 'Middle Aged']",2014/03/08 06:00,2015/02/20 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.3760/cma.j.issn.0253-2727.2014.01.014 [doi]'],ppublish,Zhonghua Xue Ye Xue Za Zhi. 2014 Jan;35(1):53-5. doi: 10.3760/cma.j.issn.0253-2727.2014.01.014.,,,,,,,,,,,,,,,,,,,,,,,,
24602731,NLM,MEDLINE,20150219,20140307,0253-2727 (Print) 0253-2727 (Linking),35,1,2014 Jan,[Function of alternative NF-kappaB activity in B-cell chronic lymphocytic leukemia cells].,40-5,10.3760/cma.j.issn.0253-2727.2014.01.011 [doi],"['Xu, Jingjing', 'Zhou, Peng', 'Guo, Feng']","['Xu J', 'Zhou P', 'Guo F']","['Central Lab, The First Affiliated Hospital of Soochow University, Suzhou 215006, China.', 'Central Lab, The First Affiliated Hospital of Soochow University, Suzhou 215006, China.', 'Central Lab, The First Affiliated Hospital of Soochow University, Suzhou 215006, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['Case-Control Studies', 'Cell Nucleus/metabolism', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism', 'NF-kappa B p50 Subunit/metabolism', 'NF-kappa B p52 Subunit/metabolism', 'Transcription Factor RelA/*metabolism', 'Transcription Factor RelB/*metabolism', 'Tumor Cells, Cultured']",2014/03/08 06:00,2015/02/20 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.3760/cma.j.issn.0253-2727.2014.01.011 [doi]'],ppublish,Zhonghua Xue Ye Xue Za Zhi. 2014 Jan;35(1):40-5. doi: 10.3760/cma.j.issn.0253-2727.2014.01.011.,"['0 (NF-kappa B p50 Subunit)', '0 (NF-kappa B p52 Subunit)', '0 (NFKB1 protein, human)', '0 (NFKB2 protein, human)', '0 (RELA protein, human)', '0 (RELB protein, human)', '0 (Transcription Factor RelA)', '147337-75-5 (Transcription Factor RelB)']","OBJECTIVE: To investigate the function of alternative NF-kappaB activity in B-cell chronic lymphocytic leukemia cells (B-CLL). METHODS: The mRNA expression of individual NF-kappaB subunits in CD5(+)CD19(+) cells (CLL B-cells) from bone marrow (BM) of 56 patients with B-CLL was analyzed by quantitative RT-PCR. An ELISA-based NF-kappaB family transcription factor activity assay was performed to quantify the kappaB DNA-binding activity in nuclear extracts from CLL B-cells. Cell death of CLL-B cells was determined by PI staining, RelA and RelB expression at protein level of CLL B-cells by Western blot analyses. RESULTS: The expression levels of RelA, p50, RelB and p52 mRNA in CLL B-cells were all higher than that of normal B cells with statistical significance (P<0.05). RelA was activated in almost all the patients detected while RelB activity was induced in part of samples. The average RelA activity in CLL B-cells was increased compared to that in normal B cells while the average RelB activity was similar to that of normal B cells. When cultured in vitro for 24, 48 and 72 hours, the frequencies of cell death of CLL B-cells from RelA(+)/RelB(-) group were(35.54+/-4.43)%,(50.92+/-8.44)%, and(49.24+/-8.16)%, respectively; that of the RelA(+)/RelB(+) group were (20.65+/-2.37)%, (18.17+/-1.36)%, and (26.55+/-4.08)%, respectively. When the cells from RelA+/RelB(-) group were co-cultured with bone marrow stromal cells (hBMSCs), the frequencies of cell death of CLL B-cells were decreased compared to that of the cells cultured alone, while the frequencies of cell death of RelA(+)/RelB(-) CLL B-cells were higher than that of CLL B-cells from RelA(+)/RelB(+) group when co-cultured with hBMSCs. RelA and RelB expression in CLL-B cells from the RelA(+)/RelB(-) group was induced after co-cultured with hBMSCs for 48 h. RelB was reduced in the cytoplasm and increased in the nucleus in CLL-B cells from the RelA+/RelB+ group. CONCLUSION: The alternative NF-kappaB was indeed activated and presented heterogeneous in CLL B-cells from BM. Activation of RelB combined with RelA activity could provide the survival advantage to CLL B-cells from BM. Co-culture with hBMSCs could protect CLL-B cells through the induction of RelA and Rel B expressions.",,,,,,,,,,,,,,,,,,,,,,
24602730,NLM,MEDLINE,20150219,20140307,0253-2727 (Print) 0253-2727 (Linking),35,1,2014 Jan,[A patient with acute mononuclear leukemia 9 months after bone marrow necrosis].,39,10.3760/cma.j.issn.0253-2727.2014.01.010 [doi],"['Tang, Jiaming', 'Liang, Guohua', 'Chen, Xiaoyun']","['Tang J', 'Liang G', 'Chen X']","['Department of Hematology, The Affiliated Hospital of Guang zhou Medical University, Guangzhou 510150, China.', 'Department of Hematology, The Affiliated Hospital of Guang zhou Medical University, Guangzhou 510150, China.', 'Department of Hematology, The Affiliated Hospital of Guang zhou Medical University, Guangzhou 510150, China.']",['chi'],"['Case Reports', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['Adult', 'Bone Marrow Diseases/*complications', 'Humans', 'Leukemia, Monocytic, Acute/*etiology', 'Male', 'Necrosis']",2014/03/08 06:00,2015/02/20 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.3760/cma.j.issn.0253-2727.2014.01.010 [doi]'],ppublish,Zhonghua Xue Ye Xue Za Zhi. 2014 Jan;35(1):39. doi: 10.3760/cma.j.issn.0253-2727.2014.01.010.,,,,,,,,,,,,,,,,,,,,,,,,
24602728,NLM,MEDLINE,20150219,20211203,0253-2727 (Print) 0253-2727 (Linking),35,1,2014 Jan,[Application of multiplex nested RT- PCR assay for screening the fusion genes in acute myeloid leukemia and its clinical significance].,29-34,10.3760/cma.j.issn.0253-2727.2014.01.008 [doi],"['Xu, Yuanyuan', 'Gao, Li', 'Sun, Junzhong', 'Ding, Yi', 'Xu, Yihan', 'Lyu, Chao', 'Liu, Wenwen', 'Wang, Nan', 'Wang, Lili', 'Yu, Li']","['Xu Y', 'Gao L', 'Sun J', 'Ding Y', 'Xu Y', 'Lyu C', 'Liu W', 'Wang N', 'Wang L', 'Yu L']","['Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.', 'Department of Hematology, Chinese PLA General Hospital, Beijing 100853, China.']",['chi'],['Journal Article'],China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['Adolescent', 'Adult', 'Aged', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', 'Multiplex Polymerase Chain Reaction/*methods', 'Nucleophosmin', 'Oncogene Proteins, Fusion/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction/*methods', 'Young Adult']",2014/03/08 06:00,2015/02/20 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/20 06:00 [medline]']",['10.3760/cma.j.issn.0253-2727.2014.01.008 [doi]'],ppublish,Zhonghua Xue Ye Xue Za Zhi. 2014 Jan;35(1):29-34. doi: 10.3760/cma.j.issn.0253-2727.2014.01.008.,"['0 (NPM1 protein, human)', '0 (Oncogene Proteins, Fusion)', '117896-08-9 (Nucleophosmin)']","OBJECTIVE: To investigate the clinical value of multiplex nested reverse transcription PCR (RT-nPCR) in screening acute myeloid leukemia(AML)fusion genes. METHODS: A novel multiplex RT-nPCR assay was developed to detect 16 AML-related fusion genes (AML1-EVI1, AML1-ETO, AML1-MDS1, AML1-MTG16, MLL-AF9, MLL-AF6, MLL-AF10, MLL-ENL, MLL-MLL, PML-RARalpha, PLZFRARalpha, NPM1-RARalpha, CBFB-MYH11, DEK-CAN, SET-CAN and TLS-ERG) according to 2008 WHO classification of AML. The chromosome reciprocal translocations of 356 AML cases were detected by multiplex RT-nPCR and karyotyping. The positive samples were further confirmed by split- out PCR and FISH. RESULTS: The fusion genes were detected in 172 patients with the positive detection rate of 48.31%(172/356), which was higher than that of karyotyping (31.46%) (chi(2)=70.314, P<0.01). Multiplex RT-nPCR is superior to karyotyping and FISH in identifying the rare, cryptic chromosome translocation (chi(2)=96.074, P<0.01). CONCLUSION: The multiplex RT-nPCR used in this study can quickly, effectively and accurately screen the fusion genes in AML patients, which can provide important evidence for assessing diagnosis and treatment, and also provide necessary information for minimal residual disease (MRD) and prognosis.",,,,,,,,,,,,,,,,,,,,,,
24602197,NLM,MEDLINE,20150703,20141114,1751-553X (Electronic) 1751-5521 (Linking),36,6,2014 Dec,Leukemia-associated aberrant immunophenotype in patients with acute myeloid leukemia: changes at refractory disease or first relapse and clinicopathological findings.,636-49,10.1111/ijlh.12193 [doi],"['Cui, W', 'Zhang, D', 'Cunningham, M T', 'Tilzer, L']","['Cui W', 'Zhang D', 'Cunningham MT', 'Tilzer L']","['Department of Pathology and Laboratory Medicine, The University of Kansas Medical Center, Kansas City, KS, USA.']",['eng'],['Journal Article'],England,Int J Lab Hematol,International journal of laboratory hematology,101300213,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD/genetics/metabolism', 'Antineoplastic Agents/therapeutic use', 'Bone Marrow Cells/classification/drug effects/*pathology', '*Clonal Evolution', 'Cytogenetic Analysis', 'Female', 'Flow Cytometry', 'Gene Expression', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid, Acute/diagnosis/mortality/*pathology/therapy', 'Male', 'Middle Aged', 'Neoplasm, Residual', 'Prognosis', 'Recurrence', 'Remission Induction', 'Survival Analysis', 'Transplantation, Homologous']",2014/03/08 06:00,2015/07/04 06:00,['2014/03/08 06:00'],"['2013/08/27 00:00 [received]', '2014/01/02 00:00 [accepted]', '2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/07/04 06:00 [medline]']",['10.1111/ijlh.12193 [doi]'],ppublish,Int J Lab Hematol. 2014 Dec;36(6):636-49. doi: 10.1111/ijlh.12193. Epub 2014 Mar 6.,"['0 (Antigens, CD)', '0 (Antineoplastic Agents)']","INTRODUCTION: Multiparameter flow cytometry (MFC) is commonly used to detect minimal residual disease (MRD) during the course of chemotherapy or relapse. Only one study addressed the immunophenotypic changes in refractory disease. We studied changes in leukemia-associated aberrant immunophenotype (LAIP) in patients with refractory and relapsed acute myeloid leukemia (AML). METHOD: We analyzed 47 patients (refractory = 22; relapsed = 25) by MFC, morphology, and cytogenetic studies. RESULTS: Thirty-five patients (74%) showed variably changed LAIPs. The frequently altered LAIPs were lack of lineage-specific antigen and lineage infidelity. The most frequently changed marker was CD13, followed by CD33, CD56, CD7, CD4, and CD11b. Cytogenetic clonal evolution at persistence/relapse was observed in 15 patients (32%). Morphologically, three patients (6%) showed significant changes at relapse. Patients with refractory AML had a higher association with poor cytogenetic risk and classification of AML with myelodysplasia-related changes. Positive MRD at postinduction was of prognostic significance. Allogeneic stem cell transplant improved overall survival. CONCLUSIONS: LAIP alterations in refractory/relapsed AMLs are common findings. Presence of persistent disease indicates a poor prognosis, regardless of cytogenetic risk or expression of CD7 or CD56. Discordance between cytogenetic and LAIP changes suggests that gross cytogenetic clonal evolution during disease progression only partly contributes to immunophenotypic instability.",['(c) 2014 John Wiley & Sons Ltd.'],20140306,['NOTNLM'],"['Leukemia-associated aberrant immunophenotype', 'bone marrow', 'minimal residual disease', 'refractory acute myeloid leukemia', 'relapsed acute myeloid leukemia']",,,,,,,,,,,,,,,,,,
24602170,NLM,MEDLINE,20141216,20140424,1525-1470 (Electronic) 0736-8046 (Linking),31,3,2014 May-Jun,Leukemia cutis and facial nerve palsy as presenting symptoms of acute lymphoblastic leukemia.,393-5,10.1111/pde.12314 [doi],"['Gold, Heidi L', 'Grynspan, David', 'Kanigsberg, Nordau']","['Gold HL', 'Grynspan D', 'Kanigsberg N']","['Sackler School of Medicine, New York, New York.']",['eng'],"['Case Reports', 'Journal Article']",United States,Pediatr Dermatol,Pediatric dermatology,8406799,IM,"['Child', 'Cranial Nerve Diseases/*etiology/*pathology', 'Facial Nerve/pathology', 'Humans', 'Leukemic Infiltration/*pathology', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/*pathology', 'Scalp/pathology', 'Skin/*pathology']",2014/03/08 06:00,2014/12/17 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2014/12/17 06:00 [medline]']",['10.1111/pde.12314 [doi]'],ppublish,Pediatr Dermatol. 2014 May-Jun;31(3):393-5. doi: 10.1111/pde.12314. Epub 2014 Mar 6.,,"Leukemia cutis and facial nerve palsy are rare presenting symptoms of leukemia. This report describes a case of acute T-cell lymphoblastic leukemia (ALL) presenting with only these two symptoms, a presentation of ALL that, to our knowledge, has not been previously described. It serves to alert physicians to look for underlying malignancy in the setting of cutaneous findings associated with facial nerve palsy.","['(c) 2014 Wiley Periodicals, Inc.']",20140306,,,,,,,,,,,,,,,,,,,,
24602108,NLM,MEDLINE,20150206,20140620,1365-4632 (Electronic) 0011-9059 (Linking),53,7,2014 Jul,Lingual ulceration associated with retinoic acid syndrome during treatment of acute promyelocytic leukemia.,912-6,10.1111/ijd.12316 [doi],"['Riganti, Julia', 'Caviedes, Mariana P', 'Torre, Ana C', 'Maqueda, Mariana Guzzi', 'Pinero, Maria C Baztan', 'Volonteri, Victoria I', 'Galimberti, Ricardo L']","['Riganti J', 'Caviedes MP', 'Torre AC', 'Maqueda MG', 'Pinero MC', 'Volonteri VI', 'Galimberti RL']","['Department of Dermatology, Hospital Italiano de Buenos Aires, Buenos Aires, Argentina.']",['eng'],"['Case Reports', 'Journal Article']",England,Int J Dermatol,International journal of dermatology,0243704,IM,"['Acute Kidney Injury/chemically induced', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Febrile Neutropenia/chemically induced', 'Humans', 'Idarubicin/administration & dosage', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Male', 'Oral Ulcer/*chemically induced/pathology', 'Syndrome', 'Tongue Diseases/*chemically induced/pathology', 'Tretinoin/administration & dosage/adverse effects']",2014/03/08 06:00,2015/02/07 06:00,['2014/03/08 06:00'],"['2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/07 06:00 [medline]']",['10.1111/ijd.12316 [doi]'],ppublish,Int J Dermatol. 2014 Jul;53(7):912-6. doi: 10.1111/ijd.12316. Epub 2014 Mar 6.,"['5688UTC01R (Tretinoin)', 'ZRP63D75JW (Idarubicin)']","BACKGROUND: All-trans retinoic acid (ATRA) is routinely associated with chemotherapy for the treatment of acute promyelocytic leukemia (APL). Several reports of scrotal ulceration induced by this agent have been made in the recent years. AIMS: The aim of this article was to report the first case of a lingual ulceration associated with retinoic acid syndrome (RAS). MATHERIALS AND METHODS: We presented a 32-year-old man with a diagnosis of acute promyelocytic leukemia who received treatment with ATRA. He presented with febrile neutropenia and a lingual ulcer that did not respond to antibiotic and antifungal regimens. He developed weight gain, lower limb edema, polyserositis, and acute renal failure. Retinoic acid syndrome syndrome was diagnosed. RESULTS: An exhaustive attempt to exclude infectious causes was made performing repeated cultures, histologic examinations, and direct immunofluorescence for HSV. No causative agent was identified. Re-epithelialization of the ulcer was achieved with ATRA cessation and treatment with systemic steroids. DISCUSSION: As far as we are concerned, we report the first case of a lingual ulceration associated with RAS. CONCLUSION: It is important for dermatologists to recognize this cutaneous complication of ATRA as it poses many differential diagnoses in neutropenic patients.",['(c) 2014 The International Society of Dermatology.'],20140306,,,,,,,,,,,,,,,,,,,,
24602068,NLM,MEDLINE,20150212,20140626,1600-0560 (Electronic) 0303-6987 (Linking),41,7,2014 Jul,Ponatinib-induced neutrophilic panniculitis.,597-601,10.1111/cup.12326 [doi],"['Zhang, May', 'Hassan, Khaled M', 'Musiek, Amy', 'Rosman, Ilana S']","['Zhang M', 'Hassan KM', 'Musiek A', 'Rosman IS']","['School of Medicine, Washington University in St. Louis, Saint Louis, MO, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Cutan Pathol,Journal of cutaneous pathology,0425124,IM,"['Female', 'Fusion Proteins, bcr-abl/*antagonists & inhibitors', 'Humans', 'Imidazoles/administration & dosage/*adverse effects', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/pathology', 'Middle Aged', 'Neutrophils/pathology', 'Panniculitis/*chemically induced/*pathology', 'Protein Kinase Inhibitors/administration & dosage/*adverse effects', 'Pyridazines/administration & dosage/*adverse effects']",2014/03/08 06:00,2015/02/13 06:00,['2014/03/08 06:00'],"['2013/12/26 00:00 [received]', '2014/02/21 00:00 [revised]', '2014/02/22 00:00 [accepted]', '2014/03/08 06:00 [entrez]', '2014/03/08 06:00 [pubmed]', '2015/02/13 06:00 [medline]']",['10.1111/cup.12326 [doi]'],ppublish,J Cutan Pathol. 2014 Jul;41(7):597-601. doi: 10.1111/cup.12326. Epub 2014 Apr 8.,"['0 (Imidazoles)', '0 (Protein Kinase Inhibitors)', '0 (Pyridazines)', '4340891KFS (ponatinib)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",Ponatinib is a bcr-abl tyrosine-kinase inhibitor (TKI) used to treat resistant and refractory chronic myeloid leukemia and Philadelphia chromosome-positive acute lymphoblastic leukemia that express bcr-abl. Neutrophilic panniculitis has been described in rare cases of patients on other TKIs in the same class as ponatinib. We present the first case of neutrophilic panniculitis following treatment with ponatinib and summarize the other cases of panniculitis caused by TKIs.,['(c) 2014 John Wiley & Sons A/S. Published by John Wiley & Sons Ltd.'],20140408,['NOTNLM'],"['chronic myeloid leukemia', 'drug reaction', 'panniculitis', 'ponatinib']",,,,,,,,,,,,,,,,,,
