PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,CI,PMC,CON,CIN,GR,MID,OTO,OT,SI,TT,CN,EIN,RIN,OID,DA,DRDT,CTDT,PB,BTI,CDAT,IR,FIR,COIS,PS,FPS,GN
23552567,NLM,MEDLINE,20130528,20220114,2168-6084 (Electronic) 2168-6068 (Linking),149,3,2013 Mar,A case of inflammatory nonscarring alopecia associated with the tyrosine kinase inhibitor nilotinib.,330-2,10.1001/jamadermatol.2013.1375 [doi],"IMPORTANCE: Nilotinib, a recently approved multitargeted tyrosine kinase inhibitor targeting the BCR-Abl translocation involved in chronic myelogenous leukemia, reportedly produces alopecia according to the package insert, but clinical and histologic descriptions of the alopecia are lacking. OBSERVATIONS: A 33-year-old woman with chronic myelogenous leukemia developed widespread alopecia involving scalp and body hair within weeks after starting nilotinib therapy. Biopsies revealed perifollicular lymphocytic inflammation and evidence of follicular injury but normal hair density, consistent with a nonscarring alopecia. CONCLUSIONS AND RELEVANCE: Nilotinib therapy may induce perifollicular inflammation and widespread persistent alopecia. We present the first clinical and histologic description of this potential adverse effect. Further investigation into the underlying mechanism of this adverse effect may produce insights into the hair growth cycle as well as potential therapeutic targets.","['Hansen, Timothy', 'Little, Anthony J', 'Miller, Jeffrey J', 'Ioffreda, Michael D']","['Hansen T', 'Little AJ', 'Miller JJ', 'Ioffreda MD']","['Department of Dermatology, Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania 17033, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,JAMA Dermatol,JAMA dermatology,101589530,"['0 (Antineoplastic Agents)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'F41401512X (nilotinib)']",IM,"['Adult', 'Alopecia/*chemically induced/pathology', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Female', 'Humans', 'Inflammation/*chemically induced/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Protein Kinase Inhibitors/*adverse effects/therapeutic use', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/*adverse effects/therapeutic use']",2013/04/05 06:00,2013/05/29 06:00,['2013/04/05 06:00'],"['2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2013/05/29 06:00 [medline]']","['1670782 [pii]', '10.1001/jamadermatol.2013.1375 [doi]']",ppublish,JAMA Dermatol. 2013 Mar;149(3):330-2. doi: 10.1001/jamadermatol.2013.1375.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23552013,NLM,MEDLINE,20131017,20131121,1087-2108 (Electronic) 1087-2108 (Linking),19,3,2013 Mar 15,Acral erythema worsened by intravenous infusions of cyclosporin.,16,,"Acral erythema is a frequent cutaneous reaction related to chemotherapy. A patient presented herein developed acral erythema related to cytosine arabinoside treatment and then graft versus host disease (GVHD). Subsequently, worsening of palmar erythema and pain occurred with intravenous cyclosporin infusions.","['Maldonado Cid, Paola', 'Sendagorta Cudos, Elena', 'Noguera Morel, Lucero', 'Gomez-Fernandez, Cristina', 'Beato Merino, Maria Jose', 'Hernandez-Maraver, Dolores', 'Herranz Pinto, Pedro']","['Maldonado Cid P', 'Sendagorta Cudos E', 'Noguera Morel L', 'Gomez-Fernandez C', 'Beato Merino MJ', 'Hernandez-Maraver D', 'Herranz Pinto P']","['Department of Dermatology, Hospital Universitario La Paz, Madrid, Spain.']",['eng'],"['Case Reports', 'Journal Article']",United States,Dermatol Online J,Dermatology online journal,9610776,"['0 (Antineoplastic Agents)', '04079A1RDZ (Cytarabine)', '83HN0GTJ6D (Cyclosporine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Cyclosporine/*adverse effects', 'Cytarabine/*therapeutic use', 'Drug Eruptions/etiology', 'Erythema/*chemically induced/therapy', 'Graft vs Host Disease/*drug therapy', 'Humans', 'Infusions, Intravenous', 'Male', 'Methotrexate/therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy']",2013/04/05 06:00,2013/10/18 06:00,['2013/04/05 06:00'],"['2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2013/10/18 06:00 [medline]']",,epublish,Dermatol Online J. 2013 Mar 15;19(3):16.,20130315,,,,,,,,,,,,,,,,,,,,,,,,,,
23551855,NLM,MEDLINE,20140206,20211021,1349-7006 (Electronic) 1347-9032 (Linking),104,7,2013 Jul,Role of microRNA in the pathogenesis of malignant lymphoma.,801-9,10.1111/cas.12160 [doi],"MicroRNA (miRNA) are non-coding regulatory RNA usually consisting of 20-24 nucleotides. Over the past decade, increases and decreases in miRNA expression have been shown to associate with various types of disease, including cancer. The first two known miRNA aberrations resulted from altered expression of DLEU2 and C13orf25 in hematological malignancies. DLEU2, which encodes miR-15a and miR-16-1, was discovered from 13q14 deletion in chronic lymphocytic leukemia, while C13orf25, which encodes six mature miRNA (miR-17, miR-18, miR-19a, miR-19b, miR-20a and miR-92a), was identified from 13q31 amplification in aggressive B-cell lymphomas. These miRNA were downregulated or upregulated in accordance with genomic deletion or amplification, which suggests that they contribute to tumorigenesis through altered regulation of target oncogenes or tumor suppressors. Consistent with that idea, miR-15a/16-1 is known to regulate Bcl2 in chronic lymphocytic leukemia, and miR-17-92 regulates the tumor suppressors p21, Pten and Bim in aggressive B-cell lymphomas. Dysregulation of other miRNA, including miR-21, miR-29, miR-150 and miR-155, have also been shown to play crucial roles in the pathogenesis of aggressive transformed, high-grade and refractory lymphomas. Addition of miRNA dysregulation to the original genetic events likely enhances tumorigenicity of malignant lymphoma through activation of one or more signaling pathways.","['Tagawa, Hiroyuki', 'Ikeda, Sho', 'Sawada, Kenichi']","['Tagawa H', 'Ikeda S', 'Sawada K']","['Department of Hematology, Nephrology, and Rheumatology, Akita University Graduate School of Medicine, Akita, Japan. htagawa0279jp@yahoo.co.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Cancer Sci,Cancer science,101168776,['0 (MicroRNAs)'],IM,"['Animals', 'Carcinogenesis/*genetics/pathology', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Lymphoma/*genetics/*pathology', 'MicroRNAs/*genetics']",2013/04/05 06:00,2014/02/07 06:00,['2013/04/05 06:00'],"['2013/02/26 00:00 [received]', '2013/03/24 00:00 [revised]', '2013/03/25 00:00 [accepted]', '2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2014/02/07 06:00 [medline]']",['10.1111/cas.12160 [doi]'],ppublish,Cancer Sci. 2013 Jul;104(7):801-9. doi: 10.1111/cas.12160. Epub 2013 Apr 29.,20130429,['(c) 2013 Japanese Cancer Association.'],PMC7657211,,,,,,,,,,,,,,,,,,,,,,,,
23551751,NLM,MEDLINE,20140120,20211021,1755-5949 (Electronic) 1755-5930 (Linking),19,7,2013 Jul,MiR-139 inhibits Mcl-1 expression and potentiates TMZ-induced apoptosis in glioma.,477-83,10.1111/cns.12089 [doi],"AIMS: Mcl-1, an antiapoptotic member of the Bcl-2 family, is overexpressed in human glioblastoma, conferring a survival advantage to tumor cells. The mechanisms underlying its dysregulation have not been clarified. In this study, we explored the involvement of micro-RNAs that acted as endogenous sequence-specific suppressors of gene expression. METHODS AND RESULTS: Using computational and TCGA analysis, we identified miR-139 as being downregulated in glioblastoma in comparison with human brain tissue, as well as possessing a putative target site in Mcl-1 mRNA. Overexpression of miR-139 led to a clear decrease in Mcl-1 expression in gliomas. Reporter assays revealed direct post-transcriptional regulation involving miR-139 and the 3'-untranslated region of Mcl-1. Human glioma tissues with low expression of miR-139 displayed higher expression of Mcl-1 protein than those with high expression, suggesting that low miR-139 contributes to Mcl-1 overexpression. In addition, upregulation of miR-139 suppressed the proliferation and enhanced temozolomide (TMZ)-induced apoptosis. Finally, we observed that Mcl-1 knockdown resulted in similar effects compared with miR-139 transfection. CONCLUSION: Our results suggested that miR-139 negatively regulated Mcl-1 and induced apoptosis in cooperation with an anticancer drug TMZ in glioma.","['Li, Rui-Yan', 'Chen, Ling-Chao', 'Zhang, Hai-Yan', 'Du, Wen-Zhong', 'Feng, Yan', 'Wang, Han-Bing', 'Wen, Jin-Qiong', 'Liu, Xin', 'Li, Xian-Feng', 'Sun, Ying', 'Yang, Dong-Bo', 'Jiang, Tao', 'Li, Yong-Li', 'Jiang, Chuan-Lu']","['Li RY', 'Chen LC', 'Zhang HY', 'Du WZ', 'Feng Y', 'Wang HB', 'Wen JQ', 'Liu X', 'Li XF', 'Sun Y', 'Yang DB', 'Jiang T', 'Li YL', 'Jiang CL']","['Department of Neurosurgery, The Second Affiliated Hospital of Harbin Medical University, Harbin, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,CNS Neurosci Ther,CNS neuroscience & therapeutics,101473265,"[""0 (3' Untranslated Regions)"", '0 (Antineoplastic Agents, Alkylating)', '0 (MIRN139 microRNA, mouse)', '0 (Mcl1 protein, mouse)', '0 (MicroRNAs)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Oligonucleotides)', '7GR28W0FJI (Dacarbazine)', 'EC 1.13.12.- (Luciferases)', 'YF1K15M17Y (Temozolomide)']",IM,"[""3' Untranslated Regions"", 'Animals', 'Antineoplastic Agents, Alkylating/*pharmacology', 'Apoptosis/*drug effects', 'Blotting, Western', 'Brain Neoplasms/*pathology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Dacarbazine/*analogs & derivatives/pharmacology', 'Glioma/*pathology', 'Humans', 'Immunohistochemistry', 'Luciferases/genetics', 'Mice', 'Mice, Nude', 'MicroRNAs/metabolism/*pharmacology', 'Myeloid Cell Leukemia Sequence 1 Protein/*biosynthesis', 'Neoplasm Transplantation', 'Oligonucleotides/genetics', 'Paraffin Embedding', 'Plasmids/genetics', 'Real-Time Polymerase Chain Reaction', 'Temozolomide']",2013/04/05 06:00,2014/01/21 06:00,['2013/04/05 06:00'],"['2012/12/10 00:00 [received]', '2013/02/06 00:00 [revised]', '2013/02/16 00:00 [accepted]', '2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2014/01/21 06:00 [medline]']",['10.1111/cns.12089 [doi]'],ppublish,CNS Neurosci Ther. 2013 Jul;19(7):477-83. doi: 10.1111/cns.12089. Epub 2013 Apr 2.,20130402,['(c) 2013 John Wiley & Sons Ltd.'],PMC6493424,,,,,,,,,,,,,,,,,,,,,,,,
23551689,NLM,MEDLINE,20140121,20130603,1399-3062 (Electronic) 1398-2273 (Linking),15,3,2013 Jun,Fatal human metapneumovirus infection following allogeneic hematopoietic stem cell transplantation.,E97-E101,10.1111/tid.12074 [doi],"Respiratory viruses are an important yet underestimated cause of infectious morbidity and mortality in immunocompromised children and adolescents. Here, we report the occurrence of fatal lower respiratory tract disease associated with human metapneumovirus (HMPV) infection in a 10-year-old girl with chronic graft-versus-host disease following allogeneic hematopoietic stem cell transplantation (HSCT) for secondary chronic myeloid leukemia. Symptoms occurred 8 months after HSCT while on immunosuppression with 0.2 mg/kg/day of prednisone, and presented as dry cough, bilateral pneumonitis, and progressive respiratory distress. Non-invasive and invasive microbiological investigations revealed HMPV type B as the sole pathogen. Histopathological findings showed interstitial and intra-alveolar pneumonitis with profound alveolar cell damage. The patient was treated with intravenous and oral ribavirin and polyvalent immunoglobulins, but ultimately died from respiratory failure. The case reflects the potentially fatal impact of infections by respiratory viruses in immunocompromised patients and the need for effective approaches to their prevention and treatment.","['Dokos, C', 'Masjosthusmann, K', 'Rellensmann, G', 'Werner, C', 'Schuler-Luttmann, S', 'Muller, K-M', 'Schiborr, M', 'Ehlert, K', 'Groll, A H']","['Dokos C', 'Masjosthusmann K', 'Rellensmann G', 'Werner C', 'Schuler-Luttmann S', 'Muller KM', 'Schiborr M', 'Ehlert K', 'Groll AH']","[""Infectious Disease Research Program, Center for Bone Marrow Transplantation, University Children's Hospital Munster, Munster, Germany.""]",['eng'],"['Case Reports', 'Journal Article']",Denmark,Transpl Infect Dis,Transplant infectious disease : an official journal of the Transplantation Society,100883688,,IM,"['Child', 'Fatal Outcome', 'Female', 'Graft vs Host Disease/complications', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Immunocompromised Host', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/therapy', 'Metapneumovirus/*isolation & purification', 'Paramyxoviridae Infections/complications/diagnosis/pathology/*virology', 'Respiratory Tract Infections/complications/diagnosis/pathology/*virology', 'Transplantation, Homologous/adverse effects']",2013/04/05 06:00,2014/01/22 06:00,['2013/04/05 06:00'],"['2012/07/13 00:00 [received]', '2012/11/08 00:00 [revised]', '2012/12/29 00:00 [accepted]', '2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2014/01/22 06:00 [medline]']",['10.1111/tid.12074 [doi]'],ppublish,Transpl Infect Dis. 2013 Jun;15(3):E97-E101. doi: 10.1111/tid.12074. Epub 2013 Apr 1.,20130401,['(c) 2013 John Wiley & Sons A/S.'],,,,,,,,,,,,,,,,,,,,,,,,,
23551499,NLM,MEDLINE,20140206,20151119,1742-7843 (Electronic) 1742-7835 (Linking),113,2,2013 Aug,L-amino acid oxidase isolated from Bothrops pirajai induces apoptosis in BCR-ABL-positive cells and potentiates imatinib mesylate effect.,103-12,10.1111/bcpt.12073 [doi],"Chronic myeloid leukaemia (CML) is a myeloproliferative disorder characterized by the presence of Philadelphia chromosome and by BCR-ABL1, which encodes the BCR-ABL oncoprotein. Although imatinib mesylate (IM) is effective for CML treatment, patients in accelerated and blastic phases of the disease are often refractory to this therapy, and there are also cases of IM resistance in patients in the chronic phase. Therefore, potential new drugs are being investigated to improve the efficiency of the therapy of CML such as snake venoms and their compounds. In this investigation, Bothrops pirajai L-amino acid oxidase (BpirLAAO-I) effect on normal peripheral blood mononuclear cells (PBMC) and on BCR-ABL(+) cell line was assessed to explore its potential against leukaemic cells. MTT viability assay, lymphocyte subsets quantification and cell activation markers expression were performed to evaluate BpirLAAO-I effect on normal PBMC. The effect of BpirLAAO-I on HL-60 and HL-60.BCR-ABL cell lines was assessed by apoptosis detection. BpirLAAO-I was able to induce apoptosis in HL-60 and HL-60.BCR-ABL cell lines in a dose-dependent manner, promoted caspases 3, 8 and 9 activation and enhanced IM effect while not affecting the viability of normal cells. In addition, BpirLAAO-I promoted immune cells activation and lymphocytes subsets changes on normal PBMC. The results indicate that BpirLAAO-I induces apoptosis and potentiates IM effect on BCR-ABL(+) cells.","['Burin, Sandra M', 'Ayres, Lorena R', 'Neves, Renata P', 'Ambrosio, Luciana', 'de Morais, Fabiana R', 'Dias-Baruffi, Marcelo', 'Sampaio, Suely V', 'Pereira-Crott, Luciana S', 'de Castro, Fabiola A']","['Burin SM', 'Ayres LR', 'Neves RP', 'Ambrosio L', 'de Morais FR', 'Dias-Baruffi M', 'Sampaio SV', 'Pereira-Crott LS', 'de Castro FA']","['Department of Clinical, Toxicological and Bromatological Analysis, School of Pharmaceutical Sciences of Ribeirao Preto, University of Sao Paulo, USP, Ribeirao Preto, SP, Brazil.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Basic Clin Pharmacol Toxicol,Basic & clinical pharmacology & toxicology,101208422,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 1.4.3.2 (L-Amino Acid Oxidase)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (CASP8 protein, human)', 'EC 3.4.22.- (CASP9 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspase 8)', 'EC 3.4.22.- (Caspase 9)']",IM,"['Adult', 'Animals', 'Antineoplastic Agents/*pharmacology', 'Apoptosis/*drug effects', 'Benzamides/*pharmacology', 'Bothrops/*metabolism', 'Caspase 3/genetics/metabolism', 'Caspase 8/genetics/metabolism', 'Caspase 9/genetics/metabolism', 'Cell Survival/drug effects', 'Drug Synergism', 'Female', 'HL-60 Cells', 'Humans', 'Imatinib Mesylate', 'L-Amino Acid Oxidase/isolation & purification/*pharmacology', 'Leukocytes, Mononuclear/cytology/drug effects', 'Male', 'Middle Aged', 'Piperazines/*pharmacology', 'Pyrimidines/*pharmacology']",2013/04/05 06:00,2014/02/07 06:00,['2013/04/05 06:00'],"['2012/10/19 00:00 [received]', '2013/03/18 00:00 [accepted]', '2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2014/02/07 06:00 [medline]']",['10.1111/bcpt.12073 [doi]'],ppublish,Basic Clin Pharmacol Toxicol. 2013 Aug;113(2):103-12. doi: 10.1111/bcpt.12073. Epub 2013 May 20.,20130520,['(c) 2013 Nordic Pharmacological Society. Published by John Wiley & Sons Ltd.'],,,,,,,,,,,,,,,,,,,,,,,,,
23551456,NLM,MEDLINE,20140108,20151119,1399-3046 (Electronic) 1397-3142 (Linking),17,4,2013 Jun,The treatment of children suffering from chronic myelogenous leukemia: a comparison of the result of treatment with imatinib mesylate and allogeneic hematopoietic stem cell transplantation.,380-6,10.1111/petr.12074 [doi],"HSCT is the only proven treatment option for CML, a rare disease in children. Recently, there are promising reports on the advantageous effect of imatinib mesylate for pediatric patients with CML. We conducted a retrospective study on 33 pediatric patients suffering from CML. Fourteen underwent HSCT and the rest were treated with imatinib. With a median follow-up of 24 months, the two-yr OS in the HSCT group and the imatinib group was 84% and 87%, respectively (p = 0.714). The probabilities of two-yr DFS were 59% in the HSCT group and 82% in the imatinib group, either (p = 0.880). Relapse occurred in 5 (35.7%) patients of the HSCT group, and 8 (42.1%) patients showed relapse in the imatinib group. Among nine patients who died, five were in the HSCT group and the rest were in the imatinib group. The probability of relapse in the patients of the imatinib group followed up for several consecutive years may be higher than observed in the HSCT group, so we cannot easily conclude which way is more reliable.","['Hamidieh, Amir Ali', 'Ansari, Shahla', 'Darbandi, Bahram', 'Soroush, Alborz', 'Arjmandi Rafsanjani, Khadijeh', 'Alimoghaddam, Kamran', 'Bahosh, Gholamreza', 'Behfar, Maryam', 'Ghavamzadeh, Ardeshir']","['Hamidieh AA', 'Ansari S', 'Darbandi B', 'Soroush A', 'Arjmandi Rafsanjani K', 'Alimoghaddam K', 'Bahosh G', 'Behfar M', 'Ghavamzadeh A']","['Hematology-Oncology and Stem Cell Transplantation Research Center, Tehran University of Medical Sciences, Tehran, Iran.']",['eng'],"['Comparative Study', 'Journal Article', 'Multicenter Study']",Denmark,Pediatr Transplant,Pediatric transplantation,9802574,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adolescent', 'Antineoplastic Agents/*therapeutic use', 'Benzamides/*therapeutic use', 'Child', 'Cross-Sectional Studies', 'Female', 'Follow-Up Studies', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/mortality/*therapy', 'Male', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Recurrence', 'Retrospective Studies', 'Time Factors', 'Transplantation, Homologous', 'Treatment Outcome']",2013/04/05 06:00,2014/01/09 06:00,['2013/04/05 06:00'],"['2013/02/26 00:00 [accepted]', '2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2014/01/09 06:00 [medline]']",['10.1111/petr.12074 [doi]'],ppublish,Pediatr Transplant. 2013 Jun;17(4):380-6. doi: 10.1111/petr.12074. Epub 2013 Mar 31.,20130331,['(c) 2013 John Wiley & Sons A/S.'],,,,,,,,,,,,,,,,,,,,,,,,,
23551130,NLM,MEDLINE,20150715,20181202,1440-1681 (Electronic) 0305-1870 (Linking),40,4,2013 Apr,Request for the retraction of Cepp review 33: 504-510 (2006).,305,10.1111/1440-1681.12077 [doi],,"['Pushparaj, Peter']",['Pushparaj P'],,['eng'],"['Letter', 'Comment']",Australia,Clin Exp Pharmacol Physiol,Clinical and experimental pharmacology & physiology,0425076,"['0 (RNA, Small Interfering)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Animals', 'Fusion Proteins, bcr-abl/*metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism', '*RNA Interference', 'RNA, Small Interfering/*metabolism']",2013/04/05 06:00,2015/07/16 06:00,['2013/04/05 06:00'],"['2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2015/07/16 06:00 [medline]']",['10.1111/1440-1681.12077 [doi]'],ppublish,Clin Exp Pharmacol Physiol. 2013 Apr;40(4):305. doi: 10.1111/1440-1681.12077.,,,,['Clin Exp Pharmacol Physiol. 2006 May-Jun;33(5-6):504-10. PMID: 16700886'],,,,,,,,,,,,,,,,,,,,,,,
23551129,NLM,MEDLINE,20150715,20181202,1440-1681 (Electronic) 0305-1870 (Linking),40,4,2013 Apr,Request for retraction: Short interfering RNA (siRNA) as a novel therapeutic.,305,10.1111/1440-1681.12073 [doi],,"['Melendez-Romero, Alirio']",['Melendez-Romero A'],,['eng'],"['Letter', 'Comment']",Australia,Clin Exp Pharmacol Physiol,Clinical and experimental pharmacology & physiology,0425076,"['0 (RNA, Small Interfering)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Animals', 'Fusion Proteins, bcr-abl/*metabolism', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism', '*RNA Interference', 'RNA, Small Interfering/*metabolism']",2013/04/05 06:00,2015/07/16 06:00,['2013/04/05 06:00'],"['2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2015/07/16 06:00 [medline]']",['10.1111/1440-1681.12073 [doi]'],ppublish,Clin Exp Pharmacol Physiol. 2013 Apr;40(4):305. doi: 10.1111/1440-1681.12073.,,,,['Clin Exp Pharmacol Physiol. 2006 May-Jun;33(5-6):504-10. PMID: 16700886'],,,,,,,,,,,,,,,,,,,,,,,
23550993,NLM,MEDLINE,20140813,20190116,1029-2403 (Electronic) 1026-8022 (Linking),55,1,2014 Jan,Molecular lesions in B-cell lymphoproliferative disorders: recent contributions from studies utilizing high-throughput sequencing techniques.,19-30,10.3109/10428194.2013.792112 [doi],"Next-generation sequencing techniques are powerful high-throughput methods that have enabled the comprehensive documentation of genetic lesions in numerous hematological malignancies. In recent times, the genomes of multiple different B-cell lymphoproliferative disorders including chronic lymphocytic leukemia, diffuse large B-cell lymphoma, Burkitt lymphoma, splenic marginal zone lymphoma, mantle cell lymphoma, hairy cell leukemia and Waldenstrom macroglobulinemia have been documented. Between them, these studies have reinforced and provided insight into the mechanisms for the dysregulation of known pathways (e.g. nuclear factor-kappaB [NF-kappaB]), uncovered the importance of new pathways for oncogenesis (e.g. mRNA processing), identified disease-defining mutations and provided meaningful new targets which are already being translated into therapeutic interventions. This review summarizes the molecular lesions that have been discovered in B-cell lymphoproliferative disorders thus far by studies utilizing high-throughput sequencing techniques and the aberrations in the numerous intracellular pathways that have been shown to be involved.","['Blombery, Piers A', 'Dickinson, Michael', 'Westerman, David A']","['Blombery PA', 'Dickinson M', 'Westerman DA']","['Peter MacCallum Cancer Centre, Division of Cancer Medicine , East Melbourne, Victoria , Australia.']",['eng'],"['Journal Article', 'Review']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['B-Lymphocytes/*metabolism/*pathology', 'Epigenesis, Genetic', 'Gene Expression Regulation, Neoplastic', 'High-Throughput Nucleotide Sequencing', 'Humans', 'Lymphoproliferative Disorders/*genetics/*metabolism', 'Mutation', 'RNA Processing, Post-Transcriptional', 'Signal Transduction']",2013/04/05 06:00,2014/08/15 06:00,['2013/04/05 06:00'],"['2013/04/05 06:00 [entrez]', '2013/04/05 06:00 [pubmed]', '2014/08/15 06:00 [medline]']",['10.3109/10428194.2013.792112 [doi]'],ppublish,Leuk Lymphoma. 2014 Jan;55(1):19-30. doi: 10.3109/10428194.2013.792112. Epub 2013 May 9.,20130509,,,,,,,,,,,,,,,,,,,,,,,,,,
