PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SB,RIN,MH,OTO,OT,SI,CI,GR,MID,CIN,CN,EIN,TT,CON,GN,COIS,IR,FIR,PS,FPS,OID,DA,CTDT,PB,BTI,CDAT
23210797,NLM,PubMed-not-MEDLINE,20121212,20211021,2162-3619 (Print) 2162-3619 (Linking),1,1,2012 Nov 9,Quantification of minimal residual disease (MRD) in acute lymphoblastic leukemia (ALL) using amplicon-fusion-site polymerase chain reaction (AFS-PCR).,33,10.1186/2162-3619-1-33 [doi],"The amplification of putative oncogenes is a common finding within the genome of various cancer types. Identification and further targeting of specific junction sites within the sequence of genomic amplicons (amplicon fusion sites, AFS) by PCR (AFS-PCR) is suitable for quantification of minimal residual disease (MRD). This approach has recently been developed and described for MYCN amplified neuroblastomas. To compare AFS-PCR directly to routinely used MRD diagnostic strategies, we mapped the amplified genomic regions (ampGR) of an iAMP21-amplicon in high resolution of a patient with acute lymphoblastic leukemia (ALL). Successfully, we established AFS-PCR covering junction sites between ampGR within the iAMP21-amplicon. Quantification of MRD by AFS-PCR was directly comparable to IgH/TCR based real time quantitative PCR and fluorescence activated cell sorting (FACS) analysis in consecutive bone marrow (BM) specimens. Our data give an additional proof of concept of AFS-PCR for quantification of MRD. The method could be taken into account for ALL patients with genomic amplifications as alternative MRD diagnostic, if no or qualitatively poor Ig/TCR-PCRs are available.","['Weber, Axel', 'Taube, Sylvia', 'Zur Stadt, Udo', 'Horstmann, Martin', 'Krohn, Knut', 'Bradtke, Jutta', 'Teigler-Schlegel, Andrea', 'Leiblein, Sabine', 'Christiansen, Holger']","['Weber A', 'Taube S', 'Zur Stadt U', 'Horstmann M', 'Krohn K', 'Bradtke J', 'Teigler-Schlegel A', 'Leiblein S', 'Christiansen H']","[""Department of Pediatric Oncology, Hematology and Hemostaseology, Children's Hospital, University of Leipzig, Leipzig, Germany. axel.weber@humangenetik.med.uni-giessen.de.""]",['eng'],['Journal Article'],20121109,England,Exp Hematol Oncol,Experimental hematology & oncology,101590676,PMC3518178,2012/12/06 06:00,2012/12/06 06:01,['2012/12/06 06:00'],"['2012/11/05 00:00 [received]', '2012/11/05 00:00 [accepted]', '2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2012/12/06 06:01 [medline]']","['2162-3619-1-33 [pii]', '10.1186/2162-3619-1-33 [doi]']",epublish,Exp Hematol Oncol. 2012 Nov 9;1(1):33. doi: 10.1186/2162-3619-1-33.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23210734,NLM,PubMed-not-MEDLINE,20121206,20211021,2162-3619 (Print) 2162-3619 (Linking),1,1,2012 Jun 21,JAK2V617F and p53 mutations coexist in erythroleukemia and megakaryoblastic leukemic cell lines.,15,10.1186/2162-3619-1-15 [doi],"UNLABELLED: BACKGROUND: JAK2V617F, a gain-of-function mutant form of tyrosine kinase JAK2, is found in the majority of patients with Ph- myeloproliferative neoplasms (MPNs), a group of chronic hematological diseases that often lead to acute leukemia. The current study is intended to find other gene mutations that collaborate with JAK2V617F to cause leukemic transformation. METHODS: Total RNA and genomic DNA were isolated from two JAK2V617F-positive cell lines, namely, erythroleukemic HEL and megakaryoblastic leukemic SET-2 cells. Candidate genes were amplified by PCR and further sequenced. RESULTS: Homozygous mutations of the TP53 gene which encodes tumor suppressor p53 were found in HEL and SET-2 cells. While HEL cells, which have homozygous JAK2V617F, contain a rare M133K p53 mutation, SET-2 cells, which have a heterozygous JAK2V617F mutation, contain a common R248W p53 alteration. Western blot analyses revealed high levels of p53 expression in both cells. M133K and R248W are located in the DNA binding domain of p53. Structural analyses revealed that they potentially disrupt the interaction of p53 with DNA, thereby causing loss of p53 function. CONCLUSIONS: JAK2V617F and p53 mutations coexist in leukemia cells. We believe that JAK2V617F is able to drive leukemic transformation when the function of tumor suppressor p53 is lost. The interplay of JAK2V617F with p53 may affect the progression of MPNs.","['Zhao, Wanke', 'Du, Yanhong', 'Ho, Wanting Tina', 'Fu, Xueqi', 'Zhao, Zhizhuang Joe']","['Zhao W', 'Du Y', 'Ho WT', 'Fu X', 'Zhao ZJ']","['Department of Pathology, University of Oklahoma Health Sciences Center, Oklahoma City, OK, 73104, USA. Joe-zhao@ouhsc.edu.']",['eng'],['Journal Article'],20120621,England,Exp Hematol Oncol,Experimental hematology & oncology,101590676,PMC3514099,2012/12/06 06:00,2012/12/06 06:01,['2012/12/06 06:00'],"['2012/05/18 00:00 [received]', '2012/06/21 00:00 [accepted]', '2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2012/12/06 06:01 [medline]']","['2162-3619-1-15 [pii]', '10.1186/2162-3619-1-15 [doi]']",epublish,Exp Hematol Oncol. 2012 Jun 21;1(1):15. doi: 10.1186/2162-3619-1-15.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23210643,NLM,PubMed-not-MEDLINE,20121206,20211021,2162-3619 (Print) 2162-3619 (Linking),1,1,2012 May 18,Outcome of match related allogeneic stem cell transplantation procedures performed from 2004 till 2011.,13,10.1186/2162-3619-1-13 [doi],"We present our initial experience of allogeneic stem cell transplant procedure performed between April 2004 and August 2011 for various haematological disorders. All patients with non-malignant and malignant haematological disorders with HLA matched donors were selected after pre-transplant workup. Ninety seven patients underwent the procedure. Most common indications for transplant were aplastic anaemia in n = 34 (35%), followed by beta-Thalassemia major in n = 21 (21.6%) and chronic myeloid leukemia in n = 11 patients (11.3%). Primary graft failure present was present in 2.06%. Incidence of graft versus host disease (GvHD) in our patients was 34%. After median follow-up of five years the overall survival was 71.3% with a mean survival time of 51.2 +/- 3.3 months.","['Ali, Natasha', 'Adil, Salman Naseem', 'Shaikh, Mohammad Usman', 'Moosajee, Munira', 'Masood, Nehal']","['Ali N', 'Adil SN', 'Shaikh MU', 'Moosajee M', 'Masood N']","['FCPS Haematology, Department of Pathology and Microbiology, The Aga Khan University and Hospital, Karachi, Pakistan. natasha.ali@aku.edu.']",['eng'],['Journal Article'],20120518,England,Exp Hematol Oncol,Experimental hematology & oncology,101590676,PMC3514083,2012/12/06 06:00,2012/12/06 06:01,['2012/12/06 06:00'],"['2012/03/13 00:00 [received]', '2012/05/18 00:00 [accepted]', '2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2012/12/06 06:01 [medline]']","['2162-3619-1-13 [pii]', '10.1186/2162-3619-1-13 [doi]']",epublish,Exp Hematol Oncol. 2012 May 18;1(1):13. doi: 10.1186/2162-3619-1-13.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23210606,NLM,PubMed-not-MEDLINE,20121206,20211021,2162-3619 (Print) 2162-3619 (Linking),1,1,2012 Sep 17,Persistent complete molecular remission after nilotinib and graft-versus-leukemia effect in an acute lymphoblastic leukemia patient with cytogenetic relapse after allogeneic stem cell transplantation.,29,10.1186/2162-3619-1-29 [doi],"We report the successful treatment and sustained molecular remission using single agent nilotinib in a relapsed Philadelphia chromosome positive (Ph+) acute lymphoblastic leukemia patient after allogeneic hematopoietic stem cell transplantation. Compared to previously published studies, this is the first report where a patient did not receive additional chemotherapy after relapse, nor did she receive donor lymphocyte infusions. With nilotinib, the patient reverted back to normal blood counts and 100% donor reconstitution by single tandem repeat (STR) chimerism analysis in the bone marrow and in peripheral blood, granulocytes, T and B-lymphocytes. This report also highlights the use of nilotinib in combination with extracorporeal photopheresis (ECP) for concomitant graft-versus-host disease. Our data suggests that ECP, together with nilotinib, did not adversely affect the overall Graft-versus-leukemia (GVL) effect.","['Farnsworth, Paul', 'Ward, David', 'Reddy, Vijay']","['Farnsworth P', 'Ward D', 'Reddy V']","['Florida Hospital Cancer Institute, University of Central Florida, 2501 N, Orange Avenue, Suite 581, Orlando, FL, 32804, USA. vreddymedicine@gmail.com.']",['eng'],['Case Reports'],20120917,England,Exp Hematol Oncol,Experimental hematology & oncology,101590676,PMC3514141,2012/12/06 06:00,2012/12/06 06:01,['2012/12/06 06:00'],"['2012/06/20 00:00 [received]', '2012/09/15 00:00 [accepted]', '2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2012/12/06 06:01 [medline]']","['2162-3619-1-29 [pii]', '10.1186/2162-3619-1-29 [doi]']",epublish,Exp Hematol Oncol. 2012 Sep 17;1(1):29. doi: 10.1186/2162-3619-1-29.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23210573,NLM,MEDLINE,20140210,20190116,1029-2403 (Electronic) 1026-8022 (Linking),54,7,2013 Jul,Detection and clinical significance of gene rearrangements in Chinese patients with adult acute lymphoblastic leukemia.,1521-6,10.3109/10428194.2012.754888 [doi],"This study aimed to develop a novel multiplex reverse transcription-nested polymerase chain reaction (RT-nPCR) assay to accurately and effectively detect 10 common gene rearrangements in adult acute lymphoblastic leukemia (ALL) and to examine the clinicopathologic characteristics and other genetic aberrations of patients with ALL expressing different fusion genes. Our RT-nPCR assay had a positive detection rate of 35.15% (90/256) for the 10 fusion genes. BCR-ABL1, FUS-ERG, MLL-AF4, ETV6-RUNX1, E2A-PBX1, dupMLL, MLL-AF10, MLL-ENL, SET-NUP214 and SIL-TAL1 were detected in 36 (14.06%), 14 (5.47%), 14 (5.47%), four (1.56%), four (1.56%), five (1.95%), four (1.56%), two (0.78%), two (0.78%) and five patients (1.95%), respectively. The RT-nPCR results were further confirmed by split-out PCR, and cytogenetic and fluorescence in situ hybridization (FISH) analysis revealed corresponding translocations and fusions in 63 and 74 cases, respectively. JAK2 and IKZF1 mutations were commonly detected in patients with BCR-ABL1 ALL, and HOX overexpression was highly correlated with MLL fusions and SET-NUP214. This study demonstrates that RT-nPCR is an effective method for identifying 10 gene rearrangements in adult ALL, and it could potentially be developed for diagnostic use and prognostic studies of ALL.","['Liu, Fang', 'Gao, Li', 'Jing, Yu', 'Xu, Yuan-Yuan', 'Ding, Yi', 'Zhou, Min-Hang', 'Ma, Chao', 'Li, Mian-Yang', 'Sun, Jun-Zhong', 'Wang, Li-Li', 'Yu, Li']","['Liu F', 'Gao L', 'Jing Y', 'Xu YY', 'Ding Y', 'Zhou MH', 'Ma C', 'Li MY', 'Sun JZ', 'Wang LL', 'Yu L']","['Department of Hematology, Chinese PLA General Hospital, Beijing, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Retracted Publication']",20130107,United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,2012/12/06 06:00,2014/02/11 06:00,['2012/12/06 06:00'],"['2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2014/02/11 06:00 [medline]']",['10.3109/10428194.2012.754888 [doi]'],ppublish,Leuk Lymphoma. 2013 Jul;54(7):1521-6. doi: 10.3109/10428194.2012.754888. Epub 2013 Jan 7.,"['0 (Oncogene Proteins, Fusion)']",IM,['Leuk Lymphoma. 2020 Jul;61(7):1775. PMID: 32662313'],"['Abnormal Karyotype', 'Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Female', '*Gene Rearrangement', 'Humans', 'Male', 'Middle Aged', 'Mutation', 'Oncogene Proteins, Fusion/*genetics/metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/drug therapy/*genetics', 'Prognosis', 'Translocation, Genetic', 'Treatment Outcome', 'Young Adult']",,,,,,,,,,,,,,,,,,,,,,,
23210523,NLM,PubMed-not-MEDLINE,20130102,20211021,2162-3619 (Print) 2162-3619 (Linking),1,1,2012 Sep 12,A Japanese case of chronic lymphocytic leukemia with t (1;6).,28,10.1186/2162-3619-1-28 [doi],"Chronic lymphocytic leukemia (CLL) rarely exhibits an aggressive clinical course and its patients often have chromosomal deletions or additions. Furthermore, reciprocal translocations are barely observed in CLL. There have only been a few reports of CLL with t(1;6), and here we report the first Asian case of CLL with reciprocal translocation t(1;6). Since our case and previously reported CLL patients with t(1;6) consistently showed aggressive clinical course, t(1;6) may define a distinct type of CLL.","['Harada, Kayo', 'Ikeda, Kazuhiko', 'Matsumoto, Hayato', 'Furukawa, Miki', 'Takahashi, Hiroshi', 'Ohkawara, Hiroshi', 'Noji, Hideyoshi', 'Tasaki, Kazuhiro', 'Abe, Masafumi', 'Ogawa, Kazuei', 'Takeishi, Yasuchika']","['Harada K', 'Ikeda K', 'Matsumoto H', 'Furukawa M', 'Takahashi H', 'Ohkawara H', 'Noji H', 'Tasaki K', 'Abe M', 'Ogawa K', 'Takeishi Y']","['Department of Cardiology and Hematology, Fukushima Medical University, 1 Hikariga-oka, Fukushima, Fukushima, 960-1295, Japan. kazu-ike@fmu.ac.jp.']",['eng'],['Case Reports'],20120912,England,Exp Hematol Oncol,Experimental hematology & oncology,101590676,PMC3533870,2012/12/06 06:00,2012/12/06 06:01,['2012/12/06 06:00'],"['2012/09/06 00:00 [received]', '2012/09/06 00:00 [accepted]', '2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2012/12/06 06:01 [medline]']","['2162-3619-1-28 [pii]', '10.1186/2162-3619-1-28 [doi]']",epublish,Exp Hematol Oncol. 2012 Sep 12;1(1):28. doi: 10.1186/2162-3619-1-28.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23210406,NLM,MEDLINE,20130107,20161020,1124-3562 (Print) 1124-3562 (Linking),84,3,2012 Sep,Pre-treatment and post-treatment fertility in young male patients affected by Hodgkin and non-Hodgkin lymphoma.,141-5,,"OBJECTIVES: The aim of this study is to evaluate the fertility in young patients affected by Hodgkin and non-Hodgkin lymphoma, before and after chemotherapy and/or radiotherapy. We conducted a retrospective study to analyse how treatment affects male fertility and a perspective study to assess pre-treatment sperm quality. MATERIALS AND METHODS: 28 patients, treated in our center or referred to our Medically Assisted Procreation Center, from 2002 to 2011, were selected for the retrospective study and asked if interested in their fertility assessment. Semen samples were taken from 11 patients (mean age 31.55: range 20-45); other possible causes of impaired fertility were excluded. We analyzed pretreatment semen samples of 61 patients (mean age 29.08 +/- 9.5) affected by leukaemia or lymphoma that were selected for the perspective study and referred to the Sperm Bank of Pordenone. All semen samples were analysed accordingly to 1999 World Health Organization guidelines. RESULTS: In the retrospective study all semen samples of the 11 patients selected were altered. Six patients treated with high dose alkylating agents and abdominal/pelvic radiotherapy were found azoospermic, 3 with severe oligoasthenozoospermic, 1 oligoteratozoospermic and 1 asthenozoospermic. In the perspective study pretreatment semen quality was poor in most of the samples of the 61 patients selected. Normozoospermia was observed in 14% of patients affected by Hodgkin lymphoma and in 25% affected by non-Hodgkin lymphoma. CONCLUSION: Chemotherapy, radiotherapy or their combination are followed by a temporary but sometimes irreversible reduction of fertility potential. Pre-treatment semen quality is acceptable to proceed with cyopreservation techniques. Sperm cryopreservation should be offered to all post puberal male patients who have not yet conceived before treatment with gonado-toxic agents.","['de Luyk, Nicolo', 'Pozzato, Gabriele', 'Ricci, Giuseppe', 'Tamaro, Paolo', 'Manno, Massimo', 'Tomei, Francesco', 'Trombetta, Carlo']","['de Luyk N', 'Pozzato G', 'Ricci G', 'Tamaro P', 'Manno M', 'Tomei F', 'Trombetta C']","['Department of Internal Medicine and Haematology, Maggiore General Hospital, University of Trieste, Trieste, Italy. ndeluyk@gmail.com']",['eng'],['Journal Article'],,Italy,Arch Ital Urol Androl,"Archivio italiano di urologia, andrologia : organo ufficiale [di] Societa italiana di ecografia urologica e nefrologica",9308247,,2012/12/06 06:00,2013/01/08 06:00,['2012/12/06 06:00'],"['2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2013/01/08 06:00 [medline]']",,ppublish,Arch Ital Urol Androl. 2012 Sep;84(3):141-5.,,IM,,"['Adult', 'Hodgkin Disease/*complications/*therapy', 'Humans', 'Infertility, Male/*etiology', 'Lymphoma, Non-Hodgkin/*complications/*therapy', 'Male', 'Middle Aged', 'Prospective Studies', 'Retrospective Studies', 'Young Adult']",,,,,,,,,,,,,,,,,,,,,,,
23210178,NLM,MEDLINE,20121228,20141120,1026-9428 (Print) 1026-9428 (Linking),,10,2012,[Health consequences in overexposed persons after the Chernobyl accident: basic resume and unsolved problems].,11-20,,Data of researches of consequences for health after the Chernobyl accident in 1986 are generalized. Consequences for health of these groups and principles of the further supervision over them are estimated. The increasing of leukemia among the reasons attracts attention.,"[""Gus'kova, A K"", 'Krasniuk, V I']","[""Gus'kova AK"", 'Krasniuk VI']",,['rus'],"['English Abstract', 'Journal Article']",,Russia (Federation),Med Tr Prom Ekol,Meditsina truda i promyshlennaia ekologiia,9434213,,2012/12/06 06:00,2012/12/29 06:00,['2012/12/06 06:00'],"['2012/12/06 06:00 [entrez]', '2012/12/06 06:00 [pubmed]', '2012/12/29 06:00 [medline]']",,ppublish,Med Tr Prom Ekol. 2012;(10):11-20.,['0 (Radioactive Fallout)'],IM,,"['*Acute Radiation Syndrome/diagnosis/epidemiology', '*Chernobyl Nuclear Accident', 'Civil Defense/*organization & administration', 'Environmental Restoration and Remediation/methods/pathogenicity', 'Humans', '*Leukemia, Radiation-Induced/diagnosis/epidemiology', '*Radiation Monitoring/methods/statistics & numerical data', 'Radioactive Fallout', 'Radiologic Health/*organization & administration', 'Rescue Work/organization & administration', 'Risk Assessment', 'Survivors', 'Triage/organization & administration', 'USSR/epidemiology']",,,,,,,,,,,,,,,,,,,,,,,
23209944,NLM,PubMed-not-MEDLINE,20121205,20211021,2090-567X (Electronic) 2090-5661 (Linking),2012,,2012,Development of safer gene delivery systems to minimize the risk of insertional mutagenesis-related malignancies: a critical issue for the field of gene therapy.,616310,10.5402/2012/616310 [doi],"Integrating gene delivery systems allow for a more stable transgene expression in mammalian cells than the episomal ones. However, the integration of the shuttle vector within the cellular chromosomal DNA is associated with the risk of insertional mutagenesis, which, in turn, may cause malignant cell transformation. The use of a retroviral-derived vector system was responsible for the development of leukemia in five children, who participated in various clinical trials for the treatment of severe combined immunodeficiency (SCID-X1) in France and in the United Kingdom. Unfortunately, the hematological malignancy claimed the life of one patient in 2004, who was enrolled in the French clinical trial. In addition, adeno-associated-viral-(AAV-) mediated gene transfer induced tumors in animal models, whereas the Sleeping Beauty (SB) DNA transposon system was associated with insertional mutagenesis events in cell culture systems. On these grounds, it is necessary to develop safer gene delivery systems for the genetic manipulation of mammalian cells. This paper discusses the latest achievements that have been reported in the field of vector design.","['Romano, Gaetano']",['Romano G'],"['Department of Biology, College of Science and Technology, Temple University, Bio-Life Science Building, Suite 456, 1900 N. 12th Street, Philadelphia, PA 19122, USA.']",['eng'],['Journal Article'],20121122,Egypt,ISRN Oncol,ISRN oncology,101567026,PMC3512301,2012/12/05 06:00,2012/12/05 06:01,['2012/12/05 06:00'],"['2012/08/29 00:00 [received]', '2012/10/23 00:00 [accepted]', '2012/12/05 06:00 [entrez]', '2012/12/05 06:00 [pubmed]', '2012/12/05 06:01 [medline]']",['10.5402/2012/616310 [doi]'],ppublish,ISRN Oncol. 2012;2012:616310. doi: 10.5402/2012/616310. Epub 2012 Nov 22.,,,,,,,,,,,,,,,,,,,,,,,,,,,
23209736,NLM,MEDLINE,20130624,20211021,1932-6203 (Electronic) 1932-6203 (Linking),7,11,2012,cFos mediates cAMP-dependent generation of ROS and rescue of maturation program in retinoid-resistant acute promyelocytic leukemia cell line NB4-LR1.,e50408,10.1371/journal.pone.0050408 [doi],"A determining role has been assigned to cAMP in the signaling pathways that relieve resistance to anti-leukemia differentiation therapy. However, the underlying mechanisms have not been elucidated yet. Here, we identify cFos as a critical cAMP effector, able to regulate the re-expression and splicing of epigenetically silenced genes associated with maturation (CD44) in retinoid-resistant NB4-LR1 leukemia cells. Furthermore, using RNA interference approach, we show that cFos mediates cAMP-induced ROS generation, a critical mediator of neutrophil maturation, and in fine differentiation. This study highlights some of the mechanisms by which cAMP acts to overcome resistance, and reveals a new alternative cFos-dependent pathway which, though nonexistent in retinoid-sensitive NB4 cells, is essential to rescue the maturation program of resistant cells.","['Carrier, Jean-Luc', 'Javadi, Pasha', 'Bourrier, Emilie', 'Camus, Celine', 'Segal-Bendirdjian, Evelyne', 'Karniguian, Aida']","['Carrier JL', 'Javadi P', 'Bourrier E', 'Camus C', 'Segal-Bendirdjian E', 'Karniguian A']","['INSERM UMR-S 1007, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20121128,United States,PLoS One,PloS one,101285081,PMC3508928,2012/12/05 06:00,2013/06/26 06:00,['2012/12/05 06:00'],"['2012/08/01 00:00 [received]', '2012/10/19 00:00 [accepted]', '2012/12/05 06:00 [entrez]', '2012/12/05 06:00 [pubmed]', '2013/06/26 06:00 [medline]']","['10.1371/journal.pone.0050408 [doi]', 'PONE-D-12-22998 [pii]']",ppublish,PLoS One. 2012;7(11):e50408. doi: 10.1371/journal.pone.0050408. Epub 2012 Nov 28.,"['0 (DNA Primers)', '0 (Hyaluronan Receptors)', '0 (Proto-Oncogene Proteins c-fos)', '0 (RNA, Messenger)', '0 (Reactive Oxygen Species)', '0 (Retinoids)', 'E0399OZS9N (Cyclic AMP)']",IM,,"['Alternative Splicing', 'Cell Line, Tumor', 'Cell Membrane/metabolism', 'Cyclic AMP/*metabolism', 'DNA Primers/genetics', 'Drug Resistance, Neoplasm', 'Epigenesis, Genetic', 'Exons', 'Genetic Variation', 'Humans', 'Hyaluronan Receptors/biosynthesis', 'Neutrophils/metabolism', 'Proto-Oncogene Proteins c-fos/*metabolism', 'RNA Interference', 'RNA, Messenger/metabolism', 'Reactive Oxygen Species', 'Retinoids/*pharmacology', 'Time Factors']",,,,,,,,,,,,,,,,,,,,,,,
