PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,GR,CON,PMC,CIN,EIN,CI,TT,OTO,OT,MID,CN,IR,FIR,SI,OID,AUID
23098478,NLM,MEDLINE,20130418,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,8,2012,Combined study of cytogenetics and fluorescence in situ hybridization (FISH) analysis in childhood acute lymphoblastic leukemia (ALL) in a tertiary cancer centre in South India.,3825-7,"FISH is one of the most sensitive molecular methods to detect genetic abnormalities with DNA probes. When cytogenetic studies are normal or insufficient, FISH may detect cryptic rearrangements, rare or slowly proliferative abnormal populations in non-mitotic cells. We cytogenetically evaluated 70 childhood ALL - 67.1% were found to have an abnormal karyotype. The 23 patients (32.9%) with a normal karyotype were analyzed by FISH applying two probes; TEL/AML1 and MYB which detect cryptic rearrangements of t(12;21)(p13;q22) and deletion of (6q) respectively, associated with a good prognosis. Out of 23 patients, one was positive for t(12;21)(p13;q22) (4.3%). None of our patients were positive for MYB del(6q). Two patients showed an extra signal for MYB on chromosomes other than 6 (8.6 %) indicating amplification or duplication. Findings were compared with the available literature. Our study clearly indicated the integrated FISH screening method to increase the abnormality detection rate in a narrow range. FISH is less useful for diagnostic study of patients with suspected del(6q) but it helps in detecting known cryptic rearrangements as well as identification of new abnormalities(translocation , duplication and amplification) at the gene level.","['Mazloumi, Seyed Hashem Mir', 'Madhumathi, D S', 'Appaji, L', 'Prasannakumari']","['Mazloumi SH', 'Madhumathi DS', 'Appaji L', 'Prasannakumari']","['Department of Pathology, Kidwai Memorial Institute of Oncology, Bangalore, India.']",['eng'],['Journal Article'],Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Proteins c-myb)', '0 (TEL-AML1 fusion protein)']",IM,"['Child', '*Chromosome Aberrations', 'Chromosomes, Human, Pair 12/*genetics', 'Chromosomes, Human, Pair 21/*genetics', 'Core Binding Factor Alpha 2 Subunit/*genetics', '*Cytogenetic Analysis', 'Female', 'Follow-Up Studies', 'Humans', '*In Situ Hybridization, Fluorescence', 'India', 'Male', 'Oncogene Proteins, Fusion/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis', 'Proto-Oncogene Proteins c-myb/genetics', 'Tertiary Care Centers']",2012/10/27 06:00,2013/04/20 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/04/20 06:00 [medline]']",['10.7314/apjcp.2012.13.8.3825 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(8):3825-7. doi: 10.7314/apjcp.2012.13.8.3825.,,,,,,,,,,,,,,,,,,
23098472,NLM,MEDLINE,20130418,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,8,2012,Prognostic significance of CD44v6/v7 in acute promyelocytic leukemia.,3791-4,"CD44v, especially splice variants containing exon v6, has been shown to be related closely to development of different tumors. High levels of CD44v6/v7 have been reported to be associated with invasiveness and metastasis of many malignancies. The objective of this study was to detect expression of CD44v6-containing variants in patients with acute promyelocytic leukemia (APL) and evaluate the potential of CD44v6/v7 for risk stratification. Reverse transcription polymerase chain reaction (RT-PCR) followed by PCR product purification, ligation into T vectors and positive clone sequencing were used to detect CD44 v6-containing variant isoforms in 23 APL patients. Real-time quantitative PCR of the CD44v6/v7 gene was performed in patients with APL and in NB4 cells that were treated with all-trans retinoic acid (ATRA) or arsenic trioxide (As2O3). Sequencing results identified four isoforms (CD44v6/v7, CD44v6/v8/v10, CD44v6/v8/v9/v10, and CD44v6/v7/v8/v9/v10) in bone marrow mononuclear cells of 23 patients with APL. The level of CD44v6/v7 in high-risk cases was significantly higher than those with low-risk. Higher levels of CD44v6/v7 were found in three patients with central nervous system relapse than in other patients inthe same risk group. Furthermore, in contrast to ATRA, only As2O3 could significantly down-regulate CD44v6/v7 expression in NB4 cells. Our data suggest that CD44v6/v7 expression may be a prognostic indicator for APL.","['Chen, Ping', 'Huang, Hui-Fang', 'Lu, Rong', 'Wu, Yong', 'Chen, Yuan-Zhong']","['Chen P', 'Huang HF', 'Lu R', 'Wu Y', 'Chen YZ']","['Fujian Institute of Hematology, Affiliated Union Hospital of Fujian Medical University, Fujian Provincial Key Laboratory on Hematology, Fuzhou, Fujian, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (CD44 protein, human)', '0 (CD44v6 antigen)', '0 (Hyaluronan Receptors)', '0 (Oxides)', '5688UTC01R (Tretinoin)', 'S7V92P67HO (Arsenic Trioxide)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/pharmacology', 'Arsenic Trioxide', 'Arsenicals/*pharmacology', 'Bone Marrow Cells', 'Female', 'Humans', 'Hyaluronan Receptors/genetics/*metabolism', 'Leukemia, Promyelocytic, Acute/drug therapy/genetics/*metabolism', 'Male', 'Middle Aged', 'Oxides/*pharmacology', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured', 'Young Adult']",2012/10/27 06:00,2013/04/20 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/04/20 06:00 [medline]']",['10.7314/apjcp.2012.13.8.3791 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(8):3791-4. doi: 10.7314/apjcp.2012.13.8.3791.,,,,,,,,,,,,,,,,,,
23098452,NLM,MEDLINE,20130418,20191210,2476-762X (Electronic) 1513-7368 (Linking),13,8,2012,"Evaluation of xenotropic murine leukemia virus and its R426Q polymorphism in patients with prostate cancer in Kerman, southeast of Iran.",3669-73,"A role for the xenotropic murine leukemia virus (XMRV) in prostate cancer development has been postulated. To answer questions regarding the prevalence of XMRV in Iranian patients with prostate cancer and its association with the RNASEL R462Q polymorphism, we here investigated a series of cases in Kerman, in the Southeast of Iran, and sought to verify the association with the R462Q using Real Time PCR Method. Prostate tissue specimens of 200 patients with prostate cancer were genotyped for R462Q by real time polymerase chain reaction allelic discrimination and were screened for XMRV proviral DNA by real time polymerase chain reaction specific for the envelope gene. Of 200 patients in this study 8 (4%) cases were positive for XMRV, the QQ allele being the most frequent regarding the R426Q polymorphism while in negative patients it was the RQ allele. There was significant correlation between high pathological scores and XMRV positive samples. No significant relationship was found between age groups and XMRV results. XMRV was only found in patients with QQ and RQ alleles, not RR. XMRV is detectable in tumor prostate tissue from some patients with prostate cancer, independent of R462Q.","['Reza, Malekpour Afshar', 'Fahimeh, Gadari', 'Reza, Mollaie Hamid']","['Reza MA', 'Fahimeh G', 'Reza MH']","['Tropical and Infectious Disease Research Center, Kerman University of Medical Sciences, Kerman, Iran.']",['eng'],"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,"['0 (DNA, Viral)', 'EC 3.1.- (Endoribonucleases)', 'EC 3.1.26.- (2-5A-dependent ribonuclease)']",IM,"['Adult', 'Animals', 'DNA, Viral/genetics', 'Endoribonucleases/*genetics', 'Humans', 'Iran/epidemiology', 'Leukemia Virus, Murine/*genetics', 'Male', 'Mice', 'Middle Aged', 'Mutation/genetics', 'Polymorphism, Genetic/*genetics', 'Prostatic Neoplasms/epidemiology/*genetics/virology', 'Real-Time Polymerase Chain Reaction', 'Tumor Virus Infections/epidemiology/*genetics/virology']",2012/10/27 06:00,2013/04/20 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/04/20 06:00 [medline]']",['10.7314/apjcp.2012.13.8.3669 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(8):3669-73. doi: 10.7314/apjcp.2012.13.8.3669.,,,,,,,,,,,,,,,,,,
23098434,NLM,MEDLINE,20130418,20190606,2476-762X (Electronic) 1513-7368 (Linking),13,8,2012,Tumour lysis syndrome: implications for cancer therapy.,3555-60,"The tumour lysis syndrome (TLS) is a group of metabolic abnormalities caused by rapid and unexpected release of cellular components into the circulation as a result of massive destruction of rapidly proliferating malignant cells. It usually develops in patients with hematologic malignancies like acute lymphoid leukemia, non-Hodgkin and Burkitt's lymphoma after initiation of chemotherapy or may, rarely, occur spontaneously. Though TLS is seldom observed in relation to solid tumours, there have been reports of connections with examples such as lung, liver, breast, gastric carcinomas. The clinical manifestations of TLS include hyperuricemia, hyperkalemia, hyperphosphatemia and hypocalcemia. These indications if untreated lead to life-threatening complications such as acute renal failure, cardiac arrhythmias, seizures, and eventually death due to multiorgan failure. Therefore early detection of TLS is of vital importance. This can be accomplished by identification of high risk patients, implementation of suitable prophylactic measures and monitoring of the electrolyte levels in patients undergoing chemotherapy.","['Mika, Denish', 'Ahmad, Sabrina', 'Guruvayoorappan, C']","['Mika D', 'Ahmad S', 'Guruvayoorappan C']","['Department of Biotechnology, Karunya University, Coimbatore, India.']",['eng'],"['Journal Article', 'Review']",Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,,IM,"['Animals', 'Humans', 'Neoplasms/*complications/therapy', 'Tumor Lysis Syndrome/diagnosis/etiology/*therapy']",2012/10/27 06:00,2013/04/20 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/04/20 06:00 [medline]']",['10.7314/apjcp.2012.13.8.3555 [doi]'],ppublish,Asian Pac J Cancer Prev. 2012;13(8):3555-60. doi: 10.7314/apjcp.2012.13.8.3555.,,,,,,,,,,,,,,,,,,
23098298,NLM,MEDLINE,20130329,20191210,1557-8348 (Electronic) 1554-0014 (Linking),31,5,2012 Oct,Evaluation of the asparagine synthetase level in leukemia cells by monoclonal antibodies.,325-32,"L-Asparaginase (ASNase) is important for the treatment of childhood acute lymphoblastic leukemia. ASNase sensitivity has been shown to correlate with the asparagine synthetase (ASNS) protein content in acute lymphoblastic leukemia cell lines. However, there have been few studies to determine ASNS protein levels in human leukemias, since no appropriate monoclonal antibody is available for such quantitative analysis. In this study, we report the generation of anti-ASNS monoclonal antibodies, which are applicable to flow cytometry and enzyme-linked immunosorbent assay. These monoclonal antibodies should provide a valuable tool for the quantification of ASNS protein level and estimation of ASNase-resistance in leukemia cells.","['Kusano-Arai, Osamu', 'Iwanari, Hiroko', 'Mochizuki, Yasuhiro', 'Nakata, Hiromi', 'Kodama, Tatsuhiko', 'Kitoh, Toshiyuki', 'Hamakubo, Takao']","['Kusano-Arai O', 'Iwanari H', 'Mochizuki Y', 'Nakata H', 'Kodama T', 'Kitoh T', 'Hamakubo T']","['Department of Molecular Biology and Medicine, The University of Tokyo, Meguro, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Hybridoma (Larchmt),Hybridoma (2005),101241539,"['0 (Antibodies, Monoclonal)', '0 (Recombinant Fusion Proteins)', 'EC 6.3.1.1 (Aspartate-Ammonia Ligase)']",IM,"['Animals', 'Antibodies, Monoclonal/chemistry/*immunology/isolation & purification', 'Aspartate-Ammonia Ligase/genetics/immunology/*metabolism', 'Baculoviridae/genetics', 'Blotting, Western', 'Cell Line, Tumor', 'Chlorocebus aethiops', 'Enzyme-Linked Immunosorbent Assay', 'Flow Cytometry', 'Genetic Vectors', 'Humans', 'Immunization', 'Mice', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*enzymology', 'Recombinant Fusion Proteins/genetics/immunology/metabolism', 'Transfection']",2012/10/27 06:00,2013/03/30 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/03/30 06:00 [medline]']",['10.1089/hyb.2012.0014 [doi]'],ppublish,Hybridoma (Larchmt). 2012 Oct;31(5):325-32. doi: 10.1089/hyb.2012.0014.,10.1089/hyb.2012.0014 [doi],,,,,,,,,,,,,,,,,
23098292,NLM,MEDLINE,20131209,20190116,1029-2403 (Electronic) 1026-8022 (Linking),54,6,2013 Jun,ZAP-70 expression and proliferative activity in chronic lymphocytic leukemia.,1171-6,"The expression of 70 kDa protein zeta-associated protein (ZAP-70) in chronic lymphocytic leukemia (CLL) has been used to detect those patients with more aggressive disease. The aim of this study was to determine the proliferative activity of ZAP-70(+) leukemic cells by immunocytochemical methods. The study was undertaken on native blood marrow (BM) and peripheral blood (PB) smears from 65 patients with CLL. ZAP-70 was expressed in leukemic cells of 35 patients (54%). We demonstrated that ZAP-70 immunoreactivity correlated with Rai 0-IV (p = 0.002) and Binet A-C stages (p < 0.001), total tumor mass (TTM score) (p < 0.001), beta2-microglobulin (p = 0.006), atypical lymphocytes (p < 0.001) and proliferative activity in bone marrow and peripheral blood (p = 0.014, p = 0.002, respectively) using chi(2) test and Mann-Whitney test. ZAP-70 protein expression is in direct correlation with the poorer prognostic parameters, which additionally confirms the successful method of detection of ZAP-70 expression. Higher Ki-67 expression in BM and PB smears of patients with ZAP-70(+) disease indicates higher proliferating compartments, which may contribute to poorer prognosis.","['Soljic, Violeta', 'Perak, Renata Beljan', 'Vukojevic, Katarina', 'Saraga-Babic, Mirna', 'Bubalo, Pero', 'Karan, Dragana', 'Todorovic, Jelena', 'Batinic, Drago']","['Soljic V', 'Perak RB', 'Vukojevic K', 'Saraga-Babic M', 'Bubalo P', 'Karan D', 'Todorovic J', 'Batinic D']","['Department of Histology and Embryology, School of Medicine, University of Mostar, Mostar, Bosnia and Herzegovina. vsoljic@gmail.com']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,"['0 (Ki-67 Antigen)', 'EC 2.7.10.2 (ZAP-70 Protein-Tyrosine Kinase)']",IM,"['Aged', 'Aged, 80 and over', 'Bone Marrow Cells/metabolism/pathology', 'Cell Proliferation', 'Female', 'Gene Expression', 'Humans', 'Ki-67 Antigen/metabolism', 'Leukemia, Lymphocytic, Chronic, B-Cell/genetics/*metabolism/pathology', 'Male', 'Middle Aged', 'Neoplasm Staging', 'T-Lymphocytes/metabolism/pathology', 'ZAP-70 Protein-Tyrosine Kinase/genetics/*metabolism']",2012/10/27 06:00,2013/12/16 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/12/16 06:00 [medline]']",['10.3109/10428194.2012.742527 [doi]'],ppublish,Leuk Lymphoma. 2013 Jun;54(6):1171-6. doi: 10.3109/10428194.2012.742527. Epub 2012 Nov 19.,10.3109/10428194.2012.742527 [doi],20121119,,,,,,,,,,,,,,,,
23098263,NLM,MEDLINE,20140210,20190116,1029-2403 (Electronic) 1026-8022 (Linking),54,7,2013 Jul,Sustained remission in a patient with myelodysplastic syndrome and a complex karyotype after erythropoiesis-stimulating therapy followed by colonic T-cell lymphoblastic lymphoma.,1534-7,,"['Zeidan, Amer', 'Faltas, Bishoy', 'Fricke, William', 'Gore, Steven', 'Ketterling, Rhett', 'Sham, Ronald']","['Zeidan A', 'Faltas B', 'Fricke W', 'Gore S', 'Ketterling R', 'Sham R']",,['eng'],"['Case Reports', 'Letter']",United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,['0 (Hematopoietic Cell Growth Factors)'],IM,"['Aged', 'Bone Marrow/pathology', 'Cell Transformation, Neoplastic/drug effects/genetics', 'Disease Progression', 'Female', 'Hematopoietic Cell Growth Factors/adverse effects/*therapeutic use', 'Humans', '*Karyotype', 'Leukemic Infiltration', 'Myelodysplastic Syndromes/diagnosis/*drug therapy/*genetics', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/*etiology', 'Remission Induction']",2012/10/27 06:00,2014/02/11 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2014/02/11 06:00 [medline]']",['10.3109/10428194.2012.742526 [doi]'],ppublish,Leuk Lymphoma. 2013 Jul;54(7):1534-7. doi: 10.3109/10428194.2012.742526. Epub 2012 Nov 19.,10.3109/10428194.2012.742526 [doi],20121119,,,,,,,,,,,,,,,,
23098244,NLM,MEDLINE,20131209,20211021,1029-2403 (Electronic) 1026-8022 (Linking),54,6,2013 Jun,"Body mass index, height and risk of lymphoid neoplasms in a large United States cohort.",1221-7,"Results from epidemiologic studies examining associations between body size and risk of non-Hodgkin lymphoma (NHL) are inconsistent, and etiology may vary by histologic subtype of disease. Using Cox proportional hazards regression, multivariable relative risks (RRs) and 95% confidence intervals (CIs) were computed for associations of body mass index (BMI) and height with NHL in the prospective American Cancer Society Cancer Prevention Study-II Nutrition Cohort. From 1992 to 2007, 2074 incident cases of NHL were identified among 152 423 men and women. Obese individuals (BMI >/= 30 kg/m(2)) had 23% higher incidence of NHL (95% CI 1.08-1.40) compared to those with normal weight (BMI 18.5-< 25 kg/m(2)). Height was positively associated with NHL (RR = 1.25, 95% CI 1.10-1.43, sex-specific quintile 5 vs. 1). BMI associations were strongest for diffuse large B-cell lymphoma. Height was most strongly associated with chronic lymphocytic leukemia/small lymphocytic lymphoma and to a lesser extent with multiple myeloma. These findings provide further evidence that body size may play a role in the etiology of NHL, which is of public health importance given the rapid rise in obesity worldwide.","['Patel, Alpa V', 'Diver, W Ryan', 'Teras, Lauren R', 'Birmann, Brenda M', 'Gapstur, Susan M']","['Patel AV', 'Diver WR', 'Teras LR', 'Birmann BM', 'Gapstur SM']","['Epidemiology Research Program, American Cancer Society, Atlanta, GA, USA. apatel@cancer.org']",['eng'],['Journal Article'],United States,Leuk Lymphoma,Leukemia & lymphoma,9007422,,IM,"['Adolescent', 'Adult', '*Body Height', '*Body Mass Index', 'Female', 'Humans', 'Lymphoma, Non-Hodgkin/*epidemiology/*etiology/pathology', 'Male', 'Middle Aged', 'Prospective Studies', '*Risk', 'United States/epidemiology', 'Young Adult']",2012/10/27 06:00,2013/12/16 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/12/16 06:00 [medline]']",['10.3109/10428194.2012.742523 [doi]'],ppublish,Leuk Lymphoma. 2013 Jun;54(6):1221-7. doi: 10.3109/10428194.2012.742523. Epub 2013 Jan 24.,10.3109/10428194.2012.742523 [doi],20130124,['K07 CA115687/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
23098119,NLM,MEDLINE,20130314,20131121,1744-8328 (Electronic) 1473-7140 (Linking),12,9,2012 Sep,All-trans retinoic acid in the treatment of pediatric acute promyelocytic leukemia.,1191-204,"Acute promyelocytic leukemia (APL) is a rare form of acute myeloid leukemia with specific epidemiological, pathogenetic and clinical features. Its frequency varies widely among nations, with a decreased incidence among 'Nordic' origin populations. The molecular hallmark of the disease is the presence of a balanced reciprocal translocation resulting in the PML/RAR-alpha gene fusion, which represents the target of the all-trans retinoic acid (ATRA) therapy. The introduction of ATRA in conjunction with anthracyclines marked a turning point in the treatment of APL, previously associated with a significant morbidity and mortality. Nowadays the standard front-line therapy for pediatric APL includes ATRA in every phase of the treatment, resulting in a complete remission rate of 90-95%. Here we provide an overview of the role of ATRA in the treatment of pediatric APL, summarizing the most relevant clinical results of recent decades and investigating future therapeutic perspectives for children with APL.","['Masetti, Riccardo', 'Vendemini, Francesca', 'Zama, Daniele', 'Biagi, Carlotta', 'Gasperini, Pietro', 'Pession, Andrea']","['Masetti R', 'Vendemini F', 'Zama D', 'Biagi C', 'Gasperini P', 'Pession A']","[""Paediatric Oncology and Haematology Unit 'Lalla Seragnoli', University of Bologna Sant'Orsola-Malpighi Hospital, Bologna, Italy. riccardo.masetti@gmail.com""]",['eng'],"['Journal Article', 'Review']",England,Expert Rev Anticancer Ther,Expert review of anticancer therapy,101123358,"['0 (Anthracyclines)', '0 (Antibiotics, Antineoplastic)', '0 (Antineoplastic Agents)', '0 (Oncogene Proteins, Fusion)', '0 (promyelocytic leukemia-retinoic acid receptor alpha fusion oncoprotein)', '5688UTC01R (Tretinoin)']",IM,"['Anthracyclines/*therapeutic use', 'Antibiotics, Antineoplastic/therapeutic use', 'Antineoplastic Agents/administration & dosage/adverse effects/pharmacokinetics', 'Child', 'Clinical Trials as Topic', 'Consolidation Chemotherapy/methods', 'Disease-Free Survival', 'Humans', 'Induction Chemotherapy/methods', '*Leukemia, Promyelocytic, Acute/drug therapy/genetics/metabolism', 'Maintenance Chemotherapy/methods', 'Molecular Targeted Therapy/methods', 'Oncogene Proteins, Fusion/*genetics', 'Pseudotumor Cerebri/chemically induced', 'Remission Induction/*methods', 'Translocation, Genetic/drug effects', 'Treatment Outcome', '*Tretinoin/administration & dosage/adverse effects/pharmacokinetics']",2012/10/27 06:00,2013/03/15 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/03/15 06:00 [medline]']",['10.1586/era.12.101 [doi]'],ppublish,Expert Rev Anticancer Ther. 2012 Sep;12(9):1191-204. doi: 10.1586/era.12.101.,10.1586/era.12.101 [doi],,,,,,,,,,,,,,,,,
23098112,NLM,MEDLINE,20130314,20151119,1744-8328 (Electronic) 1473-7140 (Linking),12,9,2012 Sep,Novel aspects of therapy with the dual Src and Abl kinase inhibitor bosutinib in chronic myeloid leukemia.,1121-7,"The dual Src/Abl kinase inhibitor bosutinib (SKI-606) targets the tyrosine kinase brc-abl, the key enzyme in the development of chronic myeloid leukemia (CML). In clinical trials, bosutinib yielded promising results with regard to efficacy, tolerability and toxicity in first-, second- and third-line therapy of CML patients. Remarkably, bosutinib is able to overcome most imatinib-resistant BCR-ABL1-1 mutations except V299L and T315I. Mostly, low-to-moderate grade gastrointestinal toxicitis are the most common treatment-emergent adverse events observed under bosutinib. Unlike other tyrosine kinase inhibitors approved for CML treatment to date, bosutinib shows only minimal inhibitory activity against c-KIT and the PDGF receptor. This may be causative for its favorable hematologic toxicity profile. In this review, the authors give an overview on the mechanism of action and currently available preclinical and clinical data for bosutinib in CML.","['Keller-V Amsberg, Gunhild', 'Brummendorf, Tim H']","['Keller-V Amsberg G', 'Brummendorf TH']","['Klinik fur Hamatologie und Onkologie mit der Sektion Pneumologie, Onkologisches Zentrum, Universitats-Klinikum Hamburg-Eppendorf, Hamburg, Germany.']",['eng'],"['Journal Article', 'Review']",England,Expert Rev Anticancer Ther,Expert review of anticancer therapy,101123358,"['0 (Aniline Compounds)', '0 (Benzamides)', '0 (Nitriles)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Quinolines)', '5018V4AEZ0 (bosutinib)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['*Aniline Compounds/administration & dosage/adverse effects/pharmacokinetics', 'Benzamides', 'Biological Availability', 'Disease-Free Survival', 'Drug Resistance, Neoplasm', '*Fusion Proteins, bcr-abl/antagonists & inhibitors/genetics', 'Gastrointestinal Diseases/chemically induced', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/genetics', 'Mutation', '*Nitriles/administration & dosage/adverse effects/pharmacokinetics', 'Pharmacovigilance', 'Piperazines/administration & dosage/adverse effects/pharmacokinetics', 'Protein Kinase Inhibitors/administration & dosage/adverse effects/pharmacokinetics', 'Pyrimidines/administration & dosage/adverse effects/pharmacokinetics', '*Quinolines/administration & dosage/adverse effects/pharmacokinetics', 'Randomized Controlled Trials as Topic', 'Therapeutic Equivalency', 'Treatment Outcome']",2012/10/27 06:00,2013/03/15 06:00,['2012/10/27 06:00'],"['2012/10/27 06:00 [entrez]', '2012/10/27 06:00 [pubmed]', '2013/03/15 06:00 [medline]']",['10.1586/era.12.84 [doi]'],ppublish,Expert Rev Anticancer Ther. 2012 Sep;12(9):1121-7. doi: 10.1586/era.12.84.,10.1586/era.12.84 [doi],,,,,,,,,,,,,,,,,
