PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,CIN,CI,GR,MID,OTO,OT,CON,SI,TT,ECI,EIN,OID,CN,RIN,GN,IR,FIR,COIS,PS,FPS,ROF
22875624,NLM,MEDLINE,20131210,20211021,1592-8721 (Electronic) 0390-6078 (Linking),97,12,2012 Dec,ETV6 deletion is a common additional abnormality in patients with myelodysplastic syndromes or acute myeloid leukemia and monosomy 7.,1933-6,10.3324/haematol.2012.069716 [doi],"['Wall, Meaghan', 'Rayeroux, Kathleen C', 'MacKinnon, Ruth N', 'Zordan, Adrian', 'Campbell, Lynda J']","['Wall M', 'Rayeroux KC', 'MacKinnon RN', 'Zordan A', 'Campbell LJ']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20120808,Italy,Haematologica,Haematologica,0417435,"['0 (Biomarkers, Tumor)', '0 (ETS translocation variant 6 protein)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Repressor Proteins)', 'Chromosome 7, monosomy']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Biomarkers, Tumor/*genetics', 'Chromosome Deletion', 'Chromosomes, Human, Pair 7/genetics', '*Gene Deletion', 'Humans', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics/pathology', 'Prognosis', 'Proto-Oncogene Proteins c-ets/*genetics', 'Repressor Proteins/*genetics']",PMC3590101,2012/08/10 06:00,2013/12/16 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/12/16 06:00 [medline]']","['haematol.2012.069716 [pii]', '10.3324/haematol.2012.069716 [doi]']",ppublish,Haematologica. 2012 Dec;97(12):1933-6. doi: 10.3324/haematol.2012.069716. Epub 2012 Aug 8.,,,,,,,,,,,,,,,,,,,,,,,
22875623,NLM,MEDLINE,20131125,20211021,1592-8721 (Electronic) 0390-6078 (Linking),98,2,2013 Feb,TCL1A and ATM are co-expressed in chronic lymphocytic leukemia cells without deletion of 11q.,269-73,10.3324/haematol.2012.070623 [doi],"['Garding, Angela', 'Bhattacharya, Nupur', 'Haebe, Sarah', 'Muller, Frederike', 'Weichenhan, Dieter', 'Idler, Irina', 'Ickstadt, Katja', 'Stilgenbauer, Stephan', 'Mertens, Daniel']","['Garding A', 'Bhattacharya N', 'Haebe S', 'Muller F', 'Weichenhan D', 'Idler I', 'Ickstadt K', 'Stilgenbauer S', 'Mertens D']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120808,Italy,Haematologica,Haematologica,0417435,"['0 (Proto-Oncogene Proteins)', '0 (TCL1A protein, human)', 'EC 2.7.11.1 (Ataxia Telangiectasia Mutated Proteins)']",IM,"['Adult', 'Aged', 'Ataxia Telangiectasia Mutated Proteins/*genetics', 'Cell Line, Tumor', 'Chromosome Deletion', 'Chromosomes, Human, Pair 11', 'Female', '*Gene Expression', 'Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics', 'Male', 'Middle Aged', 'Proto-Oncogene Proteins/*genetics']",PMC3561435,2012/08/10 06:00,2013/12/16 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/12/16 06:00 [medline]']","['haematol.2012.070623 [pii]', '10.3324/haematol.2012.070623 [doi]']",ppublish,Haematologica. 2013 Feb;98(2):269-73. doi: 10.3324/haematol.2012.070623. Epub 2012 Aug 8.,"Chronic lymphocytic leukemia is characterized by the accumulation of B cells that are resistant to apoptosis. This resistance is induced by pro-survival stimuli from the microenvironment. TCL1 and ATM are central to the pathogenesis of the disease and associated with more aggressive disease. Their protein products have recently been shown to physically interact in leukemic cells and to impact on NF-kappaB signaling, which is a key regulator of apoptosis. In the present study we show that TCL1 and ATM are significantly co-expressed and up-regulated in malignant cells compared to non-malignant B cells, and that expression of TCL1 is partially deregulated by aberrant DNA-methylation. In addition, complex external stimuli induce essentially similar TCL1 and ATM time-course kinetics. In line with a coordinative regulation of NF-kappaB signaling by TCL1, its knockdown induced apoptosis in primary leukemia cells. These findings suggest that both genes functionally cooperate to modulate similar apoptosis-related cellular pathways.","['Cooperation Unit Mechanisms of Leukemogenesis, University Ulm, DKFZ Heidelberg, Germany.']",,,,,,,,,,,,,,,,,,,,,
22875622,NLM,MEDLINE,20131125,20211021,1592-8721 (Electronic) 0390-6078 (Linking),98,2,2013 Feb,Association between imatinib transporters and metabolizing enzymes genotype and response in newly diagnosed chronic myeloid leukemia patients receiving imatinib therapy.,193-200,10.3324/haematol.2012.066480 [doi],"['Angelini, Sabrina', 'Soverini, Simona', 'Ravegnini, Gloria', 'Barnett, Matt', 'Turrini, Eleonora', 'Thornquist, Mark', 'Pane, Fabrizio', 'Hughes, Timothy P', 'White, Deborah L', 'Radich, Jerald', 'Kim, Dong Wook', 'Saglio, Giuseppe', 'Cilloni, Daniela', 'Iacobucci, Ilaria', 'Perini, Giovanni', 'Woodman, Richard', 'Cantelli-Forti, Giorgio', 'Baccarani, Michele', 'Hrelia, Patrizia', 'Martinelli, Giovanni']","['Angelini S', 'Soverini S', 'Ravegnini G', 'Barnett M', 'Turrini E', 'Thornquist M', 'Pane F', 'Hughes TP', 'White DL', 'Radich J', 'Kim DW', 'Saglio G', 'Cilloni D', 'Iacobucci I', 'Perini G', 'Woodman R', 'Cantelli-Forti G', 'Baccarani M', 'Hrelia P', 'Martinelli G']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120808,Italy,Haematologica,Haematologica,0417435,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Cation Transport Proteins)', '0 (Organic Cation Transport Proteins)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (SLC22A4 protein, human)', '0 (Symporters)', '8A1O1M485B (Imatinib Mesylate)', '9035-51-2 (Cytochrome P-450 Enzyme System)', 'EC 1.14.14.1 (Cytochrome P-450 CYP3A)', 'EC 1.14.14.55 (CYP3A4 protein, human)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/genetics/metabolism', 'Adolescent', 'Adult', 'Aged', 'Alleles', 'Antineoplastic Agents/metabolism/*therapeutic use', 'Benzamides/metabolism/*therapeutic use', 'Cation Transport Proteins/*genetics/metabolism', 'Cytochrome P-450 CYP3A/genetics/metabolism', 'Cytochrome P-450 Enzyme System/*genetics/metabolism', 'Female', '*Genotype', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/*genetics', 'Male', 'Middle Aged', 'Organic Cation Transport Proteins/genetics/metabolism', 'Piperazines/metabolism/*therapeutic use', 'Polymorphism, Single Nucleotide', 'Protein Kinase Inhibitors/metabolism/*therapeutic use', 'Pyrimidines/metabolism/*therapeutic use', 'Symporters', 'Treatment Outcome', 'Young Adult']",PMC3561425,2012/08/10 06:00,2013/12/16 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/12/16 06:00 [medline]']","['haematol.2012.066480 [pii]', '10.3324/haematol.2012.066480 [doi]']",ppublish,Haematologica. 2013 Feb;98(2):193-200. doi: 10.3324/haematol.2012.066480. Epub 2012 Aug 8.,"Imatinib has so far been the first-choice treatment in chronic myeloid leukemia with excellent results. However, only a proportion of patients achieve major molecular response - hence the need to find biological predictors of outcome to select the optimal therapeutic strategy now that more potent inhibitors are available. We investigated a panel of 20 polymorphisms in seven genes, potentially associated with the pharmacogenetics of imatinib, in a subset of 189 patients with newly diagnosed chronic myeloid leukemia enrolled in the TOPS trial. The analysis included polymorphisms in the transporters hOCT1, MDR1, ABCG2, OCTN1, and OATP1A2, and in the metabolizing genes CYP3A4 and CYP3A5. In the overall population, the OCTN1 C allele (rs1050152), a simple combination of polymorphisms in the hOCT1 gene and another combination in the genes involved in imatinib uptake were significantly associated with major molecular response. The combination of polymorphisms in imatinib uptake was also significantly associated with complete molecular response. Analyses restricted to Caucasians highlighted the significant association of MDR1 CC (rs60023214) genotype with complete molecular response. We demonstrate the usefulness of a pharmacogenetic approach for stratifying patients with chronic myeloid leukemia according to their likelihood of achieving a major or complete molecular response to imatinib. This represents an attractive opportunity for therapy optimization, worth testing in clinical trials.","['Department of Pharmacology, University of Bologna, Bologna, Italy. s.angelini@unibo.it']",,,,,,,,,,,,,,,,,,,,,
22875620,NLM,MEDLINE,20131210,20211203,1592-8721 (Electronic) 0390-6078 (Linking),97,12,2012 Dec,Mutations inDNMT3A and loss of RKIP are independent events in acute monocytic leukemia.,1936-7,10.3324/haematol.2012.068429 [doi],"['Fried, Isabella', 'Wolfler, Albert', 'Quehenberger, Franz', 'Hoefler, Gerald', 'Sill, Heinz', 'Zebisch, Armin']","['Fried I', 'Wolfler A', 'Quehenberger F', 'Hoefler G', 'Sill H', 'Zebisch A']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20120808,Italy,Haematologica,Haematologica,0417435,"['0 (DNA Primers)', '0 (DNMT3A protein, human)', '0 (PEBP1 protein, human)', '0 (Phosphatidylethanolamine Binding Protein)', '0 (RNA, Messenger)', 'EC 2.1.1.37 (DNA (Cytosine-5-)-Methyltransferases)', 'EC 2.1.1.37 (DNA Methyltransferase 3A)']",IM,"['Blotting, Western', 'Cohort Studies', 'DNA (Cytosine-5-)-Methyltransferases/*genetics', 'DNA Methyltransferase 3A', 'DNA Primers/chemistry/genetics', '*Gene Deletion', 'Humans', 'Leukemia, Monocytic, Acute/*genetics', 'Mutation/*genetics', 'Phosphatidylethanolamine Binding Protein/*genetics/metabolism', 'RNA, Messenger/genetics', 'Real-Time Polymerase Chain Reaction', 'Reverse Transcriptase Polymerase Chain Reaction']",PMC3590102,2012/08/10 06:00,2013/12/16 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/12/16 06:00 [medline]']","['haematol.2012.068429 [pii]', '10.3324/haematol.2012.068429 [doi]']",ppublish,Haematologica. 2012 Dec;97(12):1936-7. doi: 10.3324/haematol.2012.068429. Epub 2012 Aug 8.,,,,,,,,,,,,,,,,,,,,,,,
22875617,NLM,MEDLINE,20140414,20211021,1592-8721 (Electronic) 0390-6078 (Linking),98,1,2013 Jan,Has the time for first-line treatment with second generation tyrosine kinase inhibitors in patients with chronic myelogenous leukemia already come? Systematic review and meta-analysis.,95-102,10.3324/haematol.2012.063172 [doi],"['Gurion, Ronit', 'Gafter-Gvili, Anat', 'Vidal, Liat', 'Leader, Avi', 'Ram, Ron', 'Shacham-Abulafia, Adi', 'Paul, Mical', 'Ben-Bassat, Isaac', 'Shpilberg, Ofer', 'Raanani, Pia']","['Gurion R', 'Gafter-Gvili A', 'Vidal L', 'Leader A', 'Ram R', 'Shacham-Abulafia A', 'Paul M', 'Ben-Bassat I', 'Shpilberg O', 'Raanani P']",['eng'],"['Journal Article', 'Meta-Analysis', 'Review', 'Systematic Review']",20120808,Italy,Haematologica,Haematologica,0417435,"['0 (Protein Kinase Inhibitors)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Humans', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/enzymology/mortality', 'Protein Kinase Inhibitors/pharmacology/*therapeutic use', 'Protein-Tyrosine Kinases/*antagonists & inhibitors/metabolism', 'Randomized Controlled Trials as Topic/methods', 'Treatment Outcome']",PMC3533665,2012/08/10 06:00,2014/04/15 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2014/04/15 06:00 [medline]']","['haematol.2012.063172 [pii]', '10.3324/haematol.2012.063172 [doi]']",ppublish,Haematologica. 2013 Jan;98(1):95-102. doi: 10.3324/haematol.2012.063172. Epub 2012 Aug 8.,"Second generation tyrosine kinase inhibitors have recently been introduced as first-line treatment for chronic phase chronic myelogenous leukemia. We aimed to evaluate the efficacy and safety of 2(nd) generation tyrosine kinase inhibitors versus imatinib as first-line treatment for these patients. We carried out a systematic review and meta-analysis of randomized controlled trials comparing 2(nd) generation tyrosine kinase inhibitors to imatinib as first-line treatment in chronic phase chronic myelogenous leukemia patients. Outcomes assessed were: complete cytogenetic response and major molecular response at 12, 18 and 24 months, all-cause mortality and progression to accelerated phase/blastic crisis at 12, 18 and 24 months, and chronic myelogenous leukemia related mortality and toxicity at last follow up. Relative risks were estimated and pooled using a fixed effect model. Our search yielded four trials including 2,120 patients. At 12 months, treatment with 2(nd) generation tyrosine kinase inhibitors significantly improved both complete cytogenetic response and major molecular response (relative risk 1.16, 95% CI: 1.09-1.23, and 1.68, 95% CI: 1.48-1.91, respectively). While major molecular response was improved at all time points, complete cytogenetic response improved at 18 months but not at 24 months. Importantly, rate of progression to accelerated phase/blastic crisis was significantly lower with the newer tyrosine kinase inhibitors throughout all time points. Second generation tyrosine kinase inhibitors improved chronic myelogenous leukemia related mortality without a statistically significant difference in all-cause mortality at 12, 18 and 24 months. We conclude that 2(nd) generation tyrosine kinase inhibitors can be added safely to the first-line treatment armamentarium of chronic phase chronic myelogenous leukemia patients. Although an advantage is suggested by surrogate parameters, longer follow up is necessary to see if this translates into superior overall survival.","['Institute of Hematology, Davidoff Cancer Center, Rabin Medical Center, Tel Aviv University, Israel. shay_gr@hotmail.com']",,,,,,,,,,,,,,,,,,,,,
22875616,NLM,MEDLINE,20131210,20211021,1592-8721 (Electronic) 0390-6078 (Linking),97,12,2012 Dec,Transfusion independence and survival in patients with acute myeloid leukemia treated with 5-azacytidine.,1929-31,10.3324/haematol.2012.065151 [doi],"['Gavillet, Mathilde', 'Noetzli, Jasmine', 'Blum, Sabine', 'Duchosal, Michel A', 'Spertini, Olivier', 'Lambert, Jean-Francois']","['Gavillet M', 'Noetzli J', 'Blum S', 'Duchosal MA', 'Spertini O', 'Lambert JF']",['eng'],['Letter'],20120808,Italy,Haematologica,Haematologica,0417435,"['0 (Antineoplastic Agents)', 'M801H13NRU (Azacitidine)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/*therapeutic use', 'Azacitidine/*therapeutic use', '*Blood Transfusion', 'Female', 'Follow-Up Studies', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/*mortality', 'Male', 'Middle Aged', 'Survival Rate', 'Treatment Outcome']",PMC3590099,2012/08/10 06:00,2013/12/16 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/12/16 06:00 [medline]']","['haematol.2012.065151 [pii]', '10.3324/haematol.2012.065151 [doi]']",ppublish,Haematologica. 2012 Dec;97(12):1929-31. doi: 10.3324/haematol.2012.065151. Epub 2012 Aug 8.,,,,,,,,,,,,,,,,,,,,,,,
22875615,NLM,MEDLINE,20131125,20211021,1592-8721 (Electronic) 0390-6078 (Linking),98,2,2013 Feb,Parameters detected by geriatric and quality of life assessment in 195 older patients with myelodysplastic syndromes and acute myeloid leukemia are highly predictive for outcome.,208-16,10.3324/haematol.2012.067892 [doi],"['Deschler, Barbara', 'Ihorst, Gabriele', 'Platzbecker, Uwe', 'Germing, Ulrich', 'Marz, Eva', 'de Figuerido, Marcelo', 'Fritzsche, Kurt', 'Haas, Peter', 'Salih, Helmut R', 'Giagounidis, Aristoteles', 'Selleslag, Dominik', 'Labar, Boris', 'de Witte, Theo', 'Wijermans, Pierre', 'Lubbert, Michael']","['Deschler B', 'Ihorst G', 'Platzbecker U', 'Germing U', 'Marz E', 'de Figuerido M', 'Fritzsche K', 'Haas P', 'Salih HR', 'Giagounidis A', 'Selleslag D', 'Labar B', 'de Witte T', 'Wijermans P', 'Lubbert M']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120808,Italy,Haematologica,Haematologica,0417435,,IM,"['Aged', 'Aged, 80 and over', 'Female', '*Geriatric Assessment', 'Humans', 'Leukemia, Myeloid, Acute/*epidemiology', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*epidemiology', 'Outcome Assessment, Health Care', 'Prognosis', '*Quality of Life']",PMC3561427,2012/08/10 06:00,2013/12/16 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/12/16 06:00 [medline]']","['haematol.2012.067892 [pii]', '10.3324/haematol.2012.067892 [doi]']",ppublish,Haematologica. 2013 Feb;98(2):208-16. doi: 10.3324/haematol.2012.067892. Epub 2012 Aug 8.,"Myelodysplastic syndromes and acute myeloid leukemia exemplify the complexity of treatment allocation in older patients as options range from best supportive care, non-intensive treatment (e.g. hypomethylating agents) to intensive chemotherapy/hematopoietic cell transplantation. Novel metrics for non-disease variables are urgently needed to help define the best treatment for each older patient. We investigated the feasibility and prognostic value of geriatric/quality of life assessments aside from established disease-specific variables in 195 patients aged 60 years or over with myelodysplastic syndromes/acute myeloid leukemia. These patients were grouped according to treatment intensity and assessed. Assessment consisted of eight instruments evaluating activities of daily living, depression, mental functioning, mobility, comorbidities, Karnofsky Index and quality of life. Patients with a median age of 71 years (range 60-87 years) with myelodysplastic syndromes (n=63) or acute myeloid leukemia (n=132) were treated either with best supportive care (n=47), hypomethylating agents (n=73) or intensive chemotherapy/hematopoietic cell transplantation (n=75). After selection of variables, pathological activities of daily living and quality of life/fatigue remained highly predictive for overall survival in the entire patient group beyond disease-related risk factors adverse cytogenetics and blast count of 20% or over. In 107 patients treated non-intensively activities of daily living of less than 100 (hazard ratio, HR 2.94), Karnofsky Index below 80 (HR 2.34) and quality of life/'fatigue' of 50 or over (HR 1.77) were significant prognosticators. Summation of adverse features revealed a high risk of death (HR 9.36). In-depth evaluation of older patients prior to individual treatment allocation is feasible and provides additional information to standard assessment. Patients aged 60 years or over with newly diagnosed myelodysplastic syndromes/acute myeloid leukemia and impairments in activities of daily living, Karnofsky Index below 80%, quality of life/'fatigue' of 50 or over, are likely to have poor outcomes.","['University of Freiburg Medical Center, Freiburg, Germany. barbara.deschler@uniklinik-freiburg.de']",['Haematologica. 2013 Jan;98(1):7-9. PMID: 23277592'],,,,,,,,,,,,,,,,,,,,
22875611,NLM,MEDLINE,20131107,20211021,1592-8721 (Electronic) 0390-6078 (Linking),97,11,2012 Nov,The N676D and G697R mutations in the kinase domain of FLT3 confer resistance to the inhibitor AC220.,1773-4,10.3324/haematol.2012.069781 [doi],"['Pauwels, Daphnie', 'Sweron, Bram', 'Cools, Jan']","['Pauwels D', 'Sweron B', 'Cools J']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20120808,Italy,Haematologica,Haematologica,0417435,"['0 (Benzothiazoles)', '0 (Phenylurea Compounds)', '0 (Protein Kinase Inhibitors)', '7LA4O6Q0D3 (quizartinib)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Amino Acid Substitution', 'Benzothiazoles/*pharmacology', 'Cell Line, Tumor', 'Drug Resistance, Neoplasm/*genetics', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy/enzymology/*genetics', 'Male', '*Mutation, Missense', 'Phenylurea Compounds/*pharmacology', 'Protein Kinase Inhibitors/*pharmacology', 'Protein Structure, Tertiary', 'fms-Like Tyrosine Kinase 3/*antagonists & inhibitors/*genetics/metabolism']",PMC3487456,2012/08/10 06:00,2013/11/08 06:00,['2012/08/10 06:00'],"['2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/11/08 06:00 [medline]']","['haematol.2012.069781 [pii]', '10.3324/haematol.2012.069781 [doi]']",ppublish,Haematologica. 2012 Nov;97(11):1773-4. doi: 10.3324/haematol.2012.069781. Epub 2012 Aug 8.,,,,,,,,,,,,,,,,,,,,,,,
22875575,NLM,MEDLINE,20130904,20161125,1864-6433 (Electronic) 0914-7187 (Linking),26,9,2012 Nov,Role of 18F-FDG PET-CT for evaluating the response to reduced-intensity conditioning allogeneic transplant in heavily pre-treated patients with chronic lymphocytic leukemia: preliminary results in nine patients.,764-8,10.1007/s12149-012-0639-7 [doi],"['Taralli, Silvia', 'Calcagni, Maria Lucia', 'Rufini, Vittoria', 'Laurenti, Luca', 'Sica, Simona', 'Chiusolo, Patrizia', 'Leone, Giuseppe', 'Giordano, Alessandro']","['Taralli S', 'Calcagni ML', 'Rufini V', 'Laurenti L', 'Sica S', 'Chiusolo P', 'Leone G', 'Giordano A']",['eng'],['Journal Article'],20120809,Japan,Ann Nucl Med,Annals of nuclear medicine,8913398,['0Z5B2CJX4D (Fluorodeoxyglucose F18)'],IM,"['Aged', 'Female', '*Fluorodeoxyglucose F18', 'Follow-Up Studies', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnostic imaging/*surgery/therapy', 'Male', 'Middle Aged', '*Multimodal Imaging', '*Positron-Emission Tomography', 'Retrospective Studies', 'Risk', '*Tomography, X-Ray Computed', 'Transplantation, Homologous/*methods', 'Treatment Outcome', 'Whole Body Imaging']",,2012/08/10 06:00,2013/09/05 06:00,['2012/08/10 06:00'],"['2012/03/22 00:00 [received]', '2012/07/22 00:00 [accepted]', '2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/09/05 06:00 [medline]']",['10.1007/s12149-012-0639-7 [doi]'],ppublish,Ann Nucl Med. 2012 Nov;26(9):764-8. doi: 10.1007/s12149-012-0639-7. Epub 2012 Aug 9.,"OBJECTIVE: The aim of our preliminary study was to evaluate the potential role of 18F-FDG PET-CT in monitoring response to reduced-intensity conditioning (RIC) transplant in a small series of chronic lymphocytic leukemia (CLL) patients and to compare the results with those obtained by standard criteria. METHODS: We retrospectively analyzed 9 consecutive refractory/relapsed CLL patients, who underwent RIC transplant from March 2004 until May 2009. PET-CT was planned at 6-8 months after transplant to assess response and at a mean of 6 months during follow-up. The mean long-term follow-up period was 38 months (range 12-74 months, median 29 months). RESULTS: The first PET-CT showed abnormal 18F-FDG uptake in five patients, while by standard criteria eight patients showed persistent disease. At the end of follow-up (mean 38 months), all four patients with previously negative scan were still PET negative and in complete remission by standard criteria. All five patients with previously positive scan were still PET positive: one patient died for disease progression and four are alive with disease. CONCLUSIONS: Our preliminary data, although in a small series of CLL patients, suggest that the metabolic findings revealed at first PET-CT after transplant seem to predict the patient outcome and to assess the metabolic disease status earlier than clinical evaluation by standard criteria. PET-CT performed during follow-up may be useful to early detect disease progression.","['Institute of Nuclear Medicine, Policlinico Universitario ""A. Gemelli"", Universita Cattolica del Sacro Cuore, L.go A. Gemelli 8, 00168, Rome, Italy. silvia.taralli@hotmail.it']",,,,,,,,,,,,,,,,,,,,,
22875415,NLM,MEDLINE,20130327,20211021,1433-7339 (Electronic) 0941-4355 (Linking),20,11,2012 Nov,High incidence of bloodstream infection detected by surveillance blood cultures in hematology patients on corticosteroid therapy.,3013-7,10.1007/s00520-012-1557-x [doi],"['Joosten, A', 'Maertens, J', 'Verhaegen, J', 'Lodewyck, T', 'Vermeulen, E', 'Lagrou, K']","['Joosten A', 'Maertens J', 'Verhaegen J', 'Lodewyck T', 'Vermeulen E', 'Lagrou K']",['eng'],['Journal Article'],20120809,Germany,Support Care Cancer,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,9302957,"['0 (Antineoplastic Agents)', '0 (Glucocorticoids)']",IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Bacteremia/diagnosis/*epidemiology/microbiology', 'Bacteriological Techniques', 'Child', 'Child, Preschool', 'Female', 'Fungemia/diagnosis/*epidemiology/microbiology', 'Glucocorticoids/*adverse effects/therapeutic use', 'Graft vs Host Disease/drug therapy', 'Hematologic Neoplasms/pathology/therapy', 'Hematopoietic Stem Cell Transplantation/*adverse effects/methods', 'Humans', 'Incidence', 'Male', 'Middle Aged', 'Mycology/methods', 'Retrospective Studies', 'Risk Factors', 'Young Adult']",,2012/08/10 06:00,2013/03/28 06:00,['2012/08/10 06:00'],"['2012/02/03 00:00 [received]', '2012/07/23 00:00 [accepted]', '2012/08/10 06:00 [entrez]', '2012/08/10 06:00 [pubmed]', '2013/03/28 06:00 [medline]']",['10.1007/s00520-012-1557-x [doi]'],ppublish,Support Care Cancer. 2012 Nov;20(11):3013-7. doi: 10.1007/s00520-012-1557-x. Epub 2012 Aug 9.,"PURPOSE: The aim of our study was to evaluate the frequency of ""occult"" bacteremia/fungemia as well as the diversity of pathogens involved in hematology patients treated with corticosteroids. METHODS: Daily surveillance blood cultures were taken from patients treated with corticosteroids as part of their intensive chemotherapy or during graft-versus-host disease following hematopoietic stem cell transplantation during a 3-year period (2006-2009). We reviewed the frequency of occult bacteremia/fungemia as well as the pathogens involved. RESULTS: During the 3-year period, 3,821 bottles were cultured from 215 patients and 4.9 % of the bottles tested were positive. Surveillance blood cultures revealed bloodstream infection in 24 % of the patients (definite bloodstream infection in 16 %). Seventy-five percent of patients were still afebrile when microorganisms were detected. The main risk group was acute lymphocytic leukemia patients undergoing remission induction chemotherapy. The pathogens cultured most frequently were coagulase-negative staphylococci, enterococci, Escherichia coli, and Pseudomonas aeruginosa. CONCLUSIONS: A high incidence of occult bacteremia was detected by surveillance blood cultures. Further studies are needed to evaluate if a strategy based on surveillance blood cultures can reduce mortality related to bloodstream infections.","['Department of Microbiology and Immunology, University Hospitals Leuven, Leuven, Belgium.']",,,,,,,,,,,,,,,,,,,,,
