PMID,OWN,STAT,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DCOM,LID,OTO,OT,RN,SB,MH,MID,CI,CON,COIS,CIN,OID,SI,CN,IR,FIR,EIN,TT,UOF,PS,FPS,RIN,GN
22740879,NLM,PubMed-not-MEDLINE,20211021,1792-1074 (Print) 1792-1074 (Linking),3,1,2012 Jan,Aberrant methylation in promoter-associated CpG islands of multiple genes in chronic myelogenous leukemia blast crisis.,190-192,"Chronic myelogenous leukemia (CML) has a typical progressive course with transition from a chronic phase to a terminal blast crisis phase. The mechanisms that lead to disease progression remain to be elucidated. To understand the role of aberrant methylation in the progression of CML, DNA methylation patterns in 16 patients with CML blast crisis were analyzed. Methylation status was analyzed by methylation-specific PCR (MSP) for 13 genes, including cell cycle regulating genes, DNA repair genes, apoptosis-related genes, a differentiation-associated gene and a cytokine signaling gene. The frequency of samples with methylation in each of the following genes were: p15, 18%; MGMT, 12%; RARbeta, 12%; p16, 6%; DAPK, 6% and FHIT, 6%. In total, four (25%) cases showed methylation of at least one gene. None of the 16 cases showed hypermethylation of the hMLH1 or hMSH2 genes. These results suggest that hypermethylation of cell cycle control genes, but not DNA mismatch repair genes, play a significant role in the progression of CML.","['Uehara, Eisuke', 'Takeuchi, Seisho', 'Yang, Yang', 'Fukumoto, Tetsuya', 'Matsuhashi, Yoshiko', 'Tamura, Takahiro', 'Matsushita, Masahide', 'Nagai, Masami', 'Koeffler, H Phillip', 'Tasaka, Taizo']","['Uehara E', 'Takeuchi S', 'Yang Y', 'Fukumoto T', 'Matsuhashi Y', 'Tamura T', 'Matsushita M', 'Nagai M', 'Koeffler HP', 'Tasaka T']","['First Department of Internal Medicine, Faculty of Medicine, Kagawa University, Kagawa.']",['eng'],['R01 CA026038/CA/NCI NIH HHS/United States'],['Journal Article'],20110913,Greece,Oncol Lett,Oncology letters,101531236,PMC3362479,2012/06/29 06:00,2012/06/29 06:01,['2012/06/29 06:00'],"['2011/04/19 00:00 [received]', '2011/08/24 00:00 [accepted]', '2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/06/29 06:01 [medline]']","['10.3892/ol.2011.419 [doi]', 'ol-03-01-0190 [pii]']",ppublish,Oncol Lett. 2012 Jan;3(1):190-192. doi: 10.3892/ol.2011.419. Epub 2011 Sep 13.,,,,,,,,,,,,,,,,,,,,,,,,
22740865,NLM,PubMed-not-MEDLINE,20211021,1792-1074 (Print) 1792-1074 (Linking),3,1,2012 Jan,"Gene expression profiling of KBH-A42, a novel histone deacetylase inhibitor, in human leukemia and bladder cancer cell lines.",113-118,"The aim of this study was to investigate the anti-tumor activity of KBH-A42, a novel synthetic histone deacetylase (HDAC) inhibitor. KBH-A42 was shown to significantly suppress the proliferation of all 14 human cancer cell lines tested. Among these cell lines, the human leukemia cell line K562 was the most sensitive, whereas the UM-UC-3 bladder cancer cells were the least sensitive. Additionally, in a human tumor xenograft model using Balb/c nude mice, KBH-A42 was shown to significantly inhibit the growth of K562 tumors, although it only slightly inhibited the growth of UM-UC-3 tumors. The results of flow cytometry analysis and caspase 3/7 activation assays showed that the growth inhibition of K562 cells by KBH-A42 was mediated, at least in part, by the induction of apoptosis, but its growth inhibitory effects on UM-UC-3 cells were not mediated by apoptotic induction. In an effort to gain insight into the mechanism by which KBH-A42 inhibits the growth of cancer cells, a microarray analysis was conducted. Four genes were selected from the genes that were down-regulated or up-regulated by KBH-A42 and confirmed via reverse transcription-polymerase chain reaction as follows: Harakiri (HRK), tumor necrosis factor receptor superfamily, member 10b (TNFRSF10B), PYD and CARD domain containing protein gene (PYCARD) and tumor necrosis factor receptor superfamily, member 8 (TNFRSF8). Collectively, the in vitro and in vivo results suggested that KBH-A42 exhibits anti-cancer activity, but various types of cells may be regulated differentially by KBH-A42.","['Kang, Moo Rim', 'Kang, Jong Soon', 'Yang, Jeong Wook', 'Kim, Bo Geun', 'Kim, Jin-Ah', 'Jo, Yeong Nang', 'Lee, Kiho', 'Lee, Chang Woo', 'Lee, Ki Hoon', 'Yun, Jieun', 'Kim, Hwan Mook', 'Han, Gyoonhee', 'Kang, Jong Seong', 'Park, Song-Kyu']","['Kang MR', 'Kang JS', 'Yang JW', 'Kim BG', 'Kim JA', 'Jo YN', 'Lee K', 'Lee CW', 'Lee KH', 'Yun J', 'Kim HM', 'Han G', 'Kang JS', 'Park SK']","['Bioevaluation Center, Korea Research Institute of Bioscience and Biotechnology, Cheongwon, Chungbuk 363-883.']",['eng'],,['Journal Article'],20110928,Greece,Oncol Lett,Oncology letters,101531236,PMC3362651,2012/06/29 06:00,2012/06/29 06:01,['2012/06/29 06:00'],"['2011/04/27 00:00 [received]', '2011/08/26 00:00 [accepted]', '2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/06/29 06:01 [medline]']","['10.3892/ol.2011.430 [doi]', 'ol-03-01-0113 [pii]']",ppublish,Oncol Lett. 2012 Jan;3(1):113-118. doi: 10.3892/ol.2011.430. Epub 2011 Sep 28.,,,,,,,,,,,,,,,,,,,,,,,,
22740858,NLM,PubMed-not-MEDLINE,20211021,1792-1074 (Print) 1792-1074 (Linking),3,1,2012 Jan,Anticancer immune reactivity and long-term survival after treatment of metastatic ovarian cancer with dendritic cells.,66-74,"Hematopoietic stem cells collected by leukapheresis of a patient with metastatic ovarian carcinoma (OVCA) were induced into dendritic cell (DC) differentiation and fused with liposomal constructs of autologous and allogeneic ovarian carcinoma antigens (DC-OVCA). The proliferation of autologous T cells induced by DCs was determined by [(3)H]-thymidine uptake. Maximal T-cell proliferation was observed in co-cultures of DCs fused with liposomal OVCA constructs compared with intact autologous OVCA cells. The combination of autologous and allogeneic liposomal OVCA constructs induced greater T-cell proliferation than either alone. The cytotoxicity of DC-activated T cells against various target cells were analyzed by a (51)Cr-release assay. The combination of autologous and allogeneic liposomal OVCA constructs showed the highest stimulation of T cell-mediated cytotoxicity against OVCA cells, but had minimal cytotoxicity against normal fibroblasts or leukemia cells. The liposomal preparations of DC-OVCA were injected monthly into a patient with metastatic ovarian carcinoma whose tumors progressed following multiple courses of chemotherapy. DCs analyzed from the patient post-immunization showed 2- to 3-fold greater OVCA cytotoxicity compared to pre-immunization DCs. Immunoblots using the patient's serum showed reactivity with a number of proteins from ovarian cancer extracts, but not in normal fibroblasts and breast cancer. Following the DC-OVCA treatment, the metastatic lesions progressively decreased in size to the point of being undetectable by serial CAT scans. Seven years following the initial diagnosis, the patient continues to be free of cancer. This report described the anticancer immune reactivity and anti-tumor response induced by DCs sensitized with liposomal constructs of OVCA antigens. Immune cell therapy may therefore be a useful adjunct to surgery and chemotherapy for the treatment of ovarian cancer.","['Bernal, Samuel D', 'Ona, Enrique T', 'Riego-Javier, Aileen', 'DE Villa, Romulo', 'Cristal-Luna, Gloria R', 'Laguatan, Josephine B', 'Batac, Eunice R', 'Canlas, Oscar Q']","['Bernal SD', 'Ona ET', 'Riego-Javier A', 'DE Villa R', 'Cristal-Luna GR', 'Laguatan JB', 'Batac ER', 'Canlas OQ']","['Regenerative Medicine Center, The Medical City, Philippines.']",['eng'],,['Journal Article'],20110920,Greece,Oncol Lett,Oncology letters,101531236,PMC3362454,2012/06/29 06:00,2012/06/29 06:01,['2012/06/29 06:00'],"['2011/05/16 00:00 [received]', '2011/08/26 00:00 [accepted]', '2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/06/29 06:01 [medline]']","['10.3892/ol.2011.424 [doi]', 'ol-03-01-0066 [pii]']",ppublish,Oncol Lett. 2012 Jan;3(1):66-74. doi: 10.3892/ol.2011.424. Epub 2011 Sep 20.,,,,,,,,,,,,,,,,,,,,,,,,
22740846,NLM,PubMed-not-MEDLINE,20211021,1792-1074 (Print) 1792-1074 (Linking),3,1,2012 Jan,Ten-Eleven Translocation-2 gene mutations: A potential new molecular marker in malignant gliomas (Review).,7-10,"Alterations of the Ten-Eleven Translocation-2 (TET2) gene in myeloid malignancies and isocitrate dehydrogenase (IDH) gene mutations in gliomas and myeloid malignancies have recently been identified using molecular, comparative genomic hybridization and single nucleotide polymorphism array techniques. The mutations of the TET2 gene have been shown to be mutually exclusive with IDH1/2 mutations in acute myeloid leukemia (AML) and evidence has been found to provide a biochemical basis for the mutual exclusivity of IDH1/2 and TET2 gene mutations. Based on mounting evidence, we aimed to investigate whether TET2 mutations may be identified as novel mutations in malignant gliomas without IDH1/2 mutations, and indicate their possible significance in gliomas.","['Yu, Lei', 'Qi, Songtao']","['Yu L', 'Qi S']","['Department of Neurosurgery, Nanfang Hospital, Southern Medical University, Guangzhou 510515, P.R. China.']",['eng'],,['Journal Article'],20111018,Greece,Oncol Lett,Oncology letters,101531236,PMC3362415,2012/06/29 06:00,2012/06/29 06:01,['2012/06/29 06:00'],"['2011/05/26 00:00 [received]', '2011/10/10 00:00 [accepted]', '2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/06/29 06:01 [medline]']","['10.3892/ol.2011.447 [doi]', 'ol-03-01-0007 [pii]']",ppublish,Oncol Lett. 2012 Jan;3(1):7-10. doi: 10.3892/ol.2011.447. Epub 2011 Oct 18.,,,,,,,,,,,,,,,,,,,,,,,,
22740791,NLM,PubMed-not-MEDLINE,20211021,2092-6685 (Electronic) 1598-2629 (Linking),12,2,2012 Apr,Reactivation of Silenced WT1 Transgene by Hypomethylating Agents - Implications for in vitro Modeling of Chemoimmunotherapy.,58-65,"BACKGROUND: A cell line with transfected Wilms' tumor protein 1 (WT1) is has been used for the preclinical evaluation of novel treatment strategies of WT1 immunotherapy for leukemia due to the lack of appropriate murine leukemia cell line with endogenous WT1. However, silencing of the transgene occurs. Regarding the effects of hypomethylating agents (HMAs) on reactivation of silenced genes, HMAs are considered to be immune enhancers. METHODS: We treated murine WT1- transfected C1498 (mWT1-C1498) with increasing doses of decitabine (DAC) and azacitidine (AZA) to analyze their effects on transgene reactivation. RESULTS: DAC and AZA decreased the number of viable cells in a dose- or time-dependent manner. Quantification of WT1 mRNA level was analyzed by real-time polymerase chain reaction after mWT1-C1498 treated with increasing dose of HMA. DAC treatment for 48 h induced 1.4-, 14.6-, and 15.5-fold increment of WT1 mRNA level, compared to untreated sample, at 0.1, 1, and 10microM, respectively. Further increment of WT1 expression in the presence of 1 and 10microM DAC was evident at 72 h. AZA treatment also induced up-regulation of mRNA, but not to the same degree as with DAC treatment. The correlation between the incremental increases in WT1 mRNA by DAC was confirmed by Western blot and concomitant down-regulation of WT1 promoter methylation was revealed. CONCLUSION: The in vitro data show that HMA can induce reactivation of WT1 transgene and that DAC is more effective, at least in mWT1-C1498 cells, which suggests that the combination of DAC and mWT1-C1498 can be used for the development of the experimental model of HMA-combined WT1 immunotherapy targeting leukemia.","['Kwon, Yong-Rim', 'Son, Min-Jung', 'Kim, Hye-Jung', 'Kim, Yoo-Jin']","['Kwon YR', 'Son MJ', 'Kim HJ', 'Kim YJ']","[""Laboratory of Hematological Disease and Transplant Immunology, Seoul St. Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul 137-701, Korea.""]",['eng'],,['Journal Article'],20120430,Korea (South),Immune Netw,Immune network,101137270,PMC3382665,2012/06/29 06:00,2012/06/29 06:01,['2012/06/29 06:00'],"['2012/03/16 00:00 [received]', '2012/03/29 00:00 [revised]', '2012/04/05 00:00 [accepted]', '2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/06/29 06:01 [medline]']",['10.4110/in.2012.12.2.58 [doi]'],ppublish,Immune Netw. 2012 Apr;12(2):58-65. doi: 10.4110/in.2012.12.2.58. Epub 2012 Apr 30.,20121002,10.4110/in.2012.12.2.58 [doi],['NOTNLM'],"['Azacitidine', 'Decitabine', 'Methylation', 'Transgene', ""Wilms' tumor 1""]",,,,,,,,,,,,,,,,,,,,
22740617,NLM,MEDLINE,20140131,1477-0393 (Electronic) 0748-2337 (Linking),30,1,2014 Feb,Benzene-contaminated toluene and acute myeloid leukemia: a case series and review of literature.,73-81,"We report seven cases of acute myeloid leukemia (AML) with occupational exposure to a toluene-based hydrocarbon solvent. The cases were employed at a facility, which manufactured rubber belts and hoses, between 1950 and 2005 for periods ranging from 21 to 37 total years. Detailed histories were obtained for three workers who were diagnosed with AML within a 3-year period (2003-2005). Death certificates, medical records, and accounts by workers were reviewed. Benzene, a known cause of AML, is typically a contaminant of toluene. Benzene contamination in toluene and other widely used solvents and the potential for concurrent benzene exposure during usage of these solvents in occupational settings are discussed.","['Peckham, Trevor', 'Kopstein, Melvyn', 'Klein, Jason', 'Dahlgren, James']","['Peckham T', 'Kopstein M', 'Klein J', 'Dahlgren J']","['1James Dahlgren Medical, Santa Monica, CA, USA.']",['eng'],,"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20120627,England,Toxicol Ind Health,Toxicology and industrial health,8602702,,2012/06/29 06:00,2014/09/30 06:00,['2012/06/29 06:00'],"['2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2014/09/30 06:00 [medline]']","['0748233712451764 [pii]', '10.1177/0748233712451764 [doi]']",ppublish,Toxicol Ind Health. 2014 Feb;30(1):73-81. doi: 10.1177/0748233712451764. Epub 2012 Jun 27.,20140929,10.1177/0748233712451764 [doi],['NOTNLM'],"['Benzene', 'acute myeloid leukemia (AML)', 'hydrocarbon solvent', 'occupational exposure', 'toluene']","['0 (Solvents)', '3FPU23BG52 (Toluene)', 'J64922108F (Benzene)']",IM,"['Aged', 'Benzene/chemistry/*poisoning', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/*chemically induced', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/chemically induced', 'Occupational Diseases/*chemically induced', 'Occupational Exposure/*adverse effects', 'Solvents/chemistry/poisoning', 'Toluene/chemistry/*poisoning']",,,,,,,,,,,,,,,,,
22740616,NLM,MEDLINE,20210103,1741-0134 (Electronic) 1741-0126 (Linking),25,10,2012 Oct,Engineering a CD123xCD3 bispecific scFv immunofusion for the treatment of leukemia and elimination of leukemia stem cells.,561-9,"Engineered bispecific antibodies that recruit cytotoxic lymphocytes to kill specific tumor cells have been showing promising clinical results. Here, we describe a bispecific single-chain Fv (scFv) immunofusion or BIf to target CD123(+) leukemia, that contains an anti-CD123 scFv fused at the N-terminus of human IgG1 hinge-C(H)2-C(H)3, and an anti-CD3 scFv fused at C-terminus. When expressed from transfected CHO-S cells, CD123xCD3 BIf forms a homodimer that provides a structure of N-terminal tumor-targeting domain that closely resembles natural antibody. The CD123xCD3 dimeric structure also provides binding affinity to CD123(+) tumor cells with a Kd of 10(-10) M, one to two orders of magnitude stronger than traditional bispecific antibody constructs. The location of the anti-CD3 scFv at C-terminus of BIf reduces the binding affinity to CD3(+) T cells by two orders, which could help to prevent non-specific T-cell activation. CD123xCD3 BIf is able to achieve T-cell-mediated target cell killing activities at low pM levels with E/T ratios as low as 2. Overall, the inclusion of human IgG1 constant region in BIf construct increases target cell-binding affinity; potentially increases serum half-life by its larger size and FcRn-mediated salvage system; and includes the abilities to activate the additional antibody-mediated cellular cytotoxicities.","['Kuo, Shu-Ru', 'Wong, Lucas', 'Liu, Jen-Sing']","['Kuo SR', 'Wong L', 'Liu JS']","['Cancer Research Institute, Scott & White Healthcare, Temple, TX 76502, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20120627,England,Protein Eng Des Sel,"Protein engineering, design & selection : PEDS",101186484,,2012/06/29 06:00,2013/02/12 06:00,['2012/06/29 06:00'],"['2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2013/02/12 06:00 [medline]']","['gzs040 [pii]', '10.1093/protein/gzs040 [doi]']",ppublish,Protein Eng Des Sel. 2012 Oct;25(10):561-9. doi: 10.1093/protein/gzs040. Epub 2012 Jun 27.,20130211,,,,"['0 (Antibodies, Bispecific)', '0 (CD3 Complex)', '0 (Interleukin-3 Receptor alpha Subunit)', '0 (Recombinant Fusion Proteins)', '0 (Single-Chain Antibodies)']",IM,"['Animals', 'Antibodies, Bispecific/genetics/*immunology/*therapeutic use', 'CD3 Complex/*immunology', 'Cell Line', 'Cell Line, Tumor', 'Cytotoxicity, Immunologic', 'Humans', 'Immunotherapy', 'Interleukin-3 Receptor alpha Subunit/*immunology', 'Leukemia/immunology/*therapy', 'Recombinant Fusion Proteins/genetics/immunology/therapeutic use', 'Single-Chain Antibodies/genetics/*immunology/*therapeutic use', 'T-Lymphocytes/immunology']",,,,,,,,,,,,,,,,,
22740583,NLM,MEDLINE,20211021,1557-4679 (Electronic) 1557-4679 (Linking),8,1,2012 Jun 22,Estimation in a semi-Markov transformation model.,Article 15,"Semi-Markov and modulated renewal processes provide a large class of multi-state models which can be used for analysis of longitudinal failure time data. In biomedical applications, models of this kind are often used to describe evolution of a disease and assume that patient may move among a finite number of states representing different phases in the disease progression. Several authors proposed extensions of the proportional hazard model for regression analysis of these processes. In this paper, we consider a general class of censored semi-Markov and modulated renewal processes and propose use of transformation models for their analysis. Special cases include modulated renewal processes with interarrival times specified using transformation models, and semi-Markov processes with with one-step transition probabilities defined using copula-transformation models. We discuss estimation of finite and infinite dimensional parameters and develop an extension of the Gaussian multiplier method for setting confidence bands for transition probabilities and related parameters. A transplant outcome data set from the Center for International Blood and Marrow Transplant Research is used for illustrative purposes.","['Dabrowska, Dorota M']",['Dabrowska DM'],"['University of California, USA.']",['eng'],['R01 AI067943/AI/NIAID NIH HHS/United States'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20120622,Germany,Int J Biostat,The international journal of biostatistics,101313850,PMC3405912,2012/06/29 06:00,2012/08/10 06:00,['2012/06/29 06:00'],"['2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/08/10 06:00 [medline]']","['10.1515/1557-4679.1233 [doi]', '/j/ijb.2012.8.issue-1/1557-4679.1233/1557-4679.1233.xml [pii]']",epublish,Int J Biostat. 2012 Jun 22;8(1):Article 15. doi: 10.1515/1557-4679.1233.,20120809,10.1515/1557-4679.1233 [doi] /j/ijb.2012.8.issue-1/1557-4679.1233/1557-4679.1233.xml [pii],,,,IM,"['Biostatistics/methods', 'Bone Marrow Transplantation/statistics & numerical data', 'Databases, Factual/statistics & numerical data', 'Disease Progression', 'Humans', 'Leukemia, Myeloid, Acute/therapy', '*Markov Chains', 'Mathematical Concepts', '*Models, Statistical', 'Peripheral Blood Stem Cell Transplantation/statistics & numerical data', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Proportional Hazards Models', 'Regression Analysis']",['NIHMS380985'],,,,,,,,,,,,,,,,
22740582,NLM,MEDLINE,20211021,1557-4679 (Electronic) 1557-4679 (Linking),8,1,2012 Jun 22,Targeted maximum likelihood estimation for dynamic treatment regimes in sequentially randomized controlled trials.,Article 14,"Sequential Randomized Controlled Trials (SRCTs) are rapidly becoming essential tools in the search for optimized treatment regimes in ongoing treatment settings. Analyzing data for multiple time-point treatments with a view toward optimal treatment regimes is of interest in many types of afflictions: HIV infection, Attention Deficit Hyperactivity Disorder in children, leukemia, prostate cancer, renal failure, and many others. Methods for analyzing data from SRCTs exist but they are either inefficient or suffer from the drawbacks of estimating equation methodology. We describe an estimation procedure, targeted maximum likelihood estimation (TMLE), which has been fully developed and implemented in point treatment settings, including time to event outcomes, binary outcomes and continuous outcomes. Here we develop and implement TMLE in the SRCT setting. As in the former settings, the TMLE procedure is targeted toward a pre-specified parameter of the distribution of the observed data, and thereby achieves important bias reduction in estimation of that parameter. As with the so-called Augmented Inverse Probability of Censoring Weight (A-IPCW) estimator, TMLE is double-robust and locally efficient. We report simulation results corresponding to two data-generating distributions from a longitudinal data structure.","['Chaffee, Paul H', 'van der Laan, Mark J']","['Chaffee PH', 'van der Laan MJ']","['University of California, Berkeley, USA.']",['eng'],"['R01 AI074345/AI/NIAID NIH HHS/United States', '5R01AI74345-5/AI/NIAID NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural']",20120622,Germany,Int J Biostat,The international journal of biostatistics,101313850,PMC6084784,2012/06/29 06:00,2012/08/10 06:00,['2012/06/29 06:00'],"['2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2012/08/10 06:00 [medline]']","['10.1515/1557-4679.1406 [doi]', '/j/ijb.2012.8.issue-1/1557-4679.1406/1557-4679.1406.xml [pii]']",epublish,Int J Biostat. 2012 Jun 22;8(1):Article 14. doi: 10.1515/1557-4679.1406.,20120809,10.1515/1557-4679.1406 [doi] /j/ijb.2012.8.issue-1/1557-4679.1406/1557-4679.1406.xml [pii],,,,IM,"['Bias', 'Biostatistics/methods', 'Causality', 'Computer Simulation', 'Humans', '*Likelihood Functions', 'Mathematical Concepts', 'Models, Statistical', 'Randomized Controlled Trials as Topic/*statistics & numerical data', 'Time Factors']",['NIHMS979093'],,,,,,,,,,,,,,,,
22740515,NLM,MEDLINE,20181201,1097-4644 (Electronic) 0730-2312 (Linking),113,11,2012 Nov,"Cyclic GMP/protein kinase G type-Ialpha (PKG-Ialpha) signaling pathway promotes CREB phosphorylation and maintains higher c-IAP1, livin, survivin, and Mcl-1 expression and the inhibition of PKG-Ialpha kinase activity synergizes with cisplatin in non-small cell lung cancer cells.",3587-98,"Previously, our laboratory showed that nitric oxide (NO)/cyclic GMP (cGMP)/protein kinase G type-Ialpha (PKG-Ialpha) signaling pathway plays an important role in preventing spontaneous apoptosis and promoting cell proliferation in both normal cells (bone marrow stromal cells and vascular smooth muscle cells) and certain cancer cells (ovarian cancer cells). In the present study, we investigated the novel role of the cGMP/PKG-Ialpha pathway in preventing spontaneous apoptosis, promoting colony formation and regulating phosphorylation of cAMP response element binding (CREB) protein and protein expression of inhibitor of apoptosis proteins (IAPs) and anti-apoptotic Bcl-2-related proteins in NCI-H460 and A549 non-small cell lung cancer (NSCLC) cells. 1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one (ODQ), which blocks endogenous NO-induced activation of cGMP/PKG-Ialpha, induced apoptosis and decreased colony formation. ODQ also decreased CREB ser133 phosphorylation and protein expression of c-IAP1, livin, and survivin. DT-2 (inhibitor of PKG-Ialpha kinase activity) increased apoptosis by twofold and decreased CREB ser133 phosphorylation and c-IAP1, livin, and survivin expression. Gene knockdown of PKG-Ialpha expression using small-interfering RNA increased apoptosis and decreased CREB ser133 phosphorylation, and c-IAP1, livin, survivin, and Mcl-1 expression. Inhibition of PKG-Ialpha kinase activity with DT-2 dramatically enhanced pro-apoptotic effects of the chemotherapeutic agent cisplatin. Combined treatment of DT-2 and cisplatin increased apoptosis compared with cisplatin or DT-2 alone, showing a synergistic effect. The data suggest that the PKG-Ialpha kinase activity is necessary for maintaining higher levels of CREB phosphorylation at ser133 and protein expression of c-IAP1, livin, survivin, and Mcl-1, preventing spontaneous apoptosis and promoting colony formation in NSCLC cells, which may limit the effectiveness of chemotherapeutic agents like cisplatin.","['Wong, Janica C', 'Bathina, Madhavi', 'Fiscus, Ronald R']","['Wong JC', 'Bathina M', 'Fiscus RR']","['Center for Diabetes and Obesity Prevention, Treatment, Research and Education, and College of Pharmacy, Roseman University of Health Sciences, Henderson, Nevada 89014, USA.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",,United States,J Cell Biochem,Journal of cellular biochemistry,8205768,,2012/06/29 06:00,2013/02/05 06:00,['2012/06/29 06:00'],"['2012/06/29 06:00 [entrez]', '2012/06/29 06:00 [pubmed]', '2013/02/05 06:00 [medline]']",['10.1002/jcb.24237 [doi]'],ppublish,J Cell Biochem. 2012 Nov;113(11):3587-98. doi: 10.1002/jcb.24237.,20130204,10.1002/jcb.24237 [doi],,,"['0 (1H-(1,2,4)oxadiazolo(4,3-a)quinoxalin-1-one)', '0 (Adaptor Proteins, Signal Transducing)', '0 (Antineoplastic Agents)', '0 (BIRC5 protein, human)', '0 (BIRC7 protein, human)', '0 (CREB1 protein, human)', '0 (Cyclic AMP Response Element-Binding Protein)', '0 (Inhibitor of Apoptosis Proteins)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Oxadiazoles)', '0 (Protein Kinase Inhibitors)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Quinoxalines)', '0 (RNA, Small Interfering)', '0 (Survivin)', 'EC 2.7.11.12 (Cyclic GMP-Dependent Protein Kinase Type I)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Adaptor Proteins, Signal Transducing/genetics/metabolism', 'Antineoplastic Agents/*pharmacology', 'Carcinoma, Non-Small-Cell Lung/drug therapy/genetics/metabolism', 'Cell Line, Tumor', 'Cisplatin/*pharmacology', 'Cyclic AMP Response Element-Binding Protein/genetics/metabolism', 'Cyclic GMP-Dependent Protein Kinase Type I/*antagonists & inhibitors/genetics/metabolism', 'Drug Synergism', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Inhibitor of Apoptosis Proteins/genetics/metabolism', 'Lung Neoplasms/drug therapy/genetics/metabolism', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/genetics/metabolism', 'Oxadiazoles/*pharmacology', 'Phosphorylation/drug effects', 'Protein Kinase Inhibitors/*pharmacology', 'Proto-Oncogene Proteins c-bcl-2/genetics/metabolism', 'Quinoxalines/*pharmacology', 'RNA, Small Interfering/genetics', '*Signal Transduction/drug effects', 'Survivin']",,"['Copyright (c) 2012 Wiley Periodicals, Inc.']",,,,,,,,,,,,,,,
