PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,OTO,OT,CON,GR,CI,MID,CN,TT,CIN,OID,SI,EIN,IR,FIR,COIS,RIN
22022417,NLM,MEDLINE,20120217,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,10,2011,No detection of XMRV in blood samples and tissue sections from prostate cancer patients in Northern Europe.,e25592,10.1371/journal.pone.0025592 [doi],"BACKGROUND: We recently published the rare detection of xenotropic murine leukemia virus-related virus (XMRV) (1/105) in prostate cancer (PCA) tissue of patients in Northern Europe by PCR. The controversial discussion about the virus being detected in PCA tissue, blood samples from patients suffering from chronic fatigue syndrome (CFS), as well as from a significant number of healthy controls prompted us to deepen our studies about detection of XMRV infection applying different detection methods (PCR, cocultivation and immunohistochemistry [IHC]). METHODOLOGY/PRINCIPAL FINDINGS: Peripheral blood mononuclear cells (PBMCs) from 92 PCA and 7 healthy controls were isolated, PHA activated and cocultivated with LNCaP cells for up to 8 weeks. Supernatant of these cells was applied to a reporter cell line, DERSE-iGFP. Furthermore, the PBMCs and cocultivated LNCaP cells were tested for the presence of XMRV by PCR as well as Western Blot analysis. While all PCR amplifications and Western Blot analyses were negative for signs of XMRV infection, DERSE-iGFP cells displayed isolated GFP positive cells in three cases. In all three cases XMRV presence could not be confirmed by PCR technology. In addition, we performed XMRV specific IHC on PCA tissue sections. Whole tissue sections (n = 20), as well as tissue microarrays (TMA) including 50 benign prostate hyperplasia (BPH), 50 low grade and 50 high grade PCA sections and TMAs including breast cancer, colon cancer and normal tissues were stained with two XMRV specific antisera. XMRV protein expression was not detected in any cancer sections included. One BPH tissue displayed XMRV specific protein expression in random isolated basal cells. CONCLUSION: We were unable to conclusively detect XMRV in the blood from PCA patients or from healthy controls and there is no conclusive evidence of XMRV protein expression in PCA, breast cancer and colon cancer tissue sections tested by IHC staining.","['Stieler, Kristin', 'Schindler, Sarah', 'Schlomm, Thorsten', 'Hohn, Oliver', 'Bannert, Norbert', 'Simon, Ronald', 'Minner, Sarah', 'Schindler, Michael', 'Fischer, Nicole']","['Stieler K', 'Schindler S', 'Schlomm T', 'Hohn O', 'Bannert N', 'Simon R', 'Minner S', 'Schindler M', 'Fischer N']","['Institute for Medical Microbiology and Virology, University Medical Center Hamburg-Eppendorf, Hamburg, Germany.']",['eng'],['Journal Article'],20111012,United States,PLoS One,PloS one,101285081,['0 (Viral Proteins)'],IM,"['Adult', 'Aged', 'Case-Control Studies', 'Cell Line, Tumor', 'Cell Separation', 'Coculture Techniques', 'Europe', 'Humans', 'Immunohistochemistry', 'Leukocytes, Mononuclear/virology', 'Lymphocyte Activation/immunology', 'Male', 'Middle Aged', 'Polymerase Chain Reaction', 'Prostate/*pathology/*virology', 'Prostatic Neoplasms/*blood/pathology/*virology', 'Retroviridae Infections/virology', 'Viral Proteins/metabolism', 'Virus Replication', 'Xenotropic murine leukemia virus-related virus/genetics/*isolation & purification/physiology']",PMC3192048,2011/10/25 06:00,2012/02/18 06:00,['2011/10/25 06:00'],"['2011/06/07 00:00 [received]', '2011/09/06 00:00 [accepted]', '2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2012/02/18 06:00 [medline]']","['10.1371/journal.pone.0025592 [doi]', 'PONE-D-11-09958 [pii]']",ppublish,PLoS One. 2011;6(10):e25592. doi: 10.1371/journal.pone.0025592. Epub 2011 Oct 12.,,,,,,,,,,,,,,,,
22022399,NLM,MEDLINE,20120217,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,10,2011,SUMOylation of the Forkhead transcription factor FOXL2 promotes its stabilization/activation through transient recruitment to PML bodies.,e25463,10.1371/journal.pone.0025463 [doi],"BACKGROUND: FOXL2 is a transcription factor essential for ovarian development and maintenance. It is mutated in the genetic condition called Blepharophimosis Ptosis Epicantus inversus Syndrome (BPES) and in cases of isolated premature ovarian failure. We and others have previously shown that FOXL2 undergoes several post-translational modifications. METHODS AND PRINCIPAL FINDINGS: Here, using cells in culture, we show that interference with FOXL2 SUMOylation leads to a robust inhibition of its transactivation ability, which correlates with a decreased stability. Interestingly, FOXL2 SUMOylation promotes its transient recruitment to subnuclear structures that we demonstrate to be PML (Promyelocytic Leukemia) Nuclear Bodies. Since PML bodies are known to be sites where post-translational modifications of nuclear factors take place, we used tandem mass spectrometry to identify new post-translational modifications of FOXL2. Specifically, we detected four phosphorylated, one sulfated and three acetylated sites. CONCLUSIONS: By analogy with other transcription factors, we propose that PML Nuclear Bodies might transiently recruit FOXL2 to the vicinity of locally concentrated enzymes that could be involved in the post-translational maturation of FOXL2. FOXL2 acetylation, sulfation, phosphorylation as well as other modifications yet to be discovered might alter the transactivation capacity of FOXL2 and/or its stability, thus modulating its global intracellular activity.","['Georges, Adrien', 'Benayoun, Berenice A', 'Marongiu, Mara', 'Dipietromaria, Aurelie', ""L'Hote, David"", 'Todeschini, Anne-Laure', 'Auer, Jana', 'Crisponi, Laura', 'Veitia, Reiner A']","['Georges A', 'Benayoun BA', 'Marongiu M', 'Dipietromaria A', ""L'Hote D"", 'Todeschini AL', 'Auer J', 'Crisponi L', 'Veitia RA']","['Programme de Pathologie Moleculaire et Cellulaire, Institut Jacques Monod, UMR 7592 CNRS-Universite Paris Diderot, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111012,United States,PLoS One,PloS one,101285081,"['0 (FOXL2 protein, human)', '0 (Forkhead Box Protein L2)', '0 (Forkhead Transcription Factors)', '0 (Mutant Proteins)', '0 (Peptides)']",IM,"['Amino Acid Sequence', 'Animals', 'COS Cells', 'Chlorocebus aethiops', 'Forkhead Box Protein L2', 'Forkhead Transcription Factors/chemistry/*genetics', 'Humans', 'Intranuclear Inclusion Bodies/*metabolism', 'Mass Spectrometry', 'Molecular Sequence Data', 'Mutant Proteins/chemistry/metabolism', 'Peptides/chemistry', 'Phosphorylation', 'Protein Processing, Post-Translational', 'Protein Stability', 'Protein Transport', '*Sumoylation', 'Transcription, Genetic', 'Transcriptional Activation/*genetics']",PMC3192040,2011/10/25 06:00,2012/02/18 06:00,['2011/10/25 06:00'],"['2011/08/05 00:00 [received]', '2011/09/05 00:00 [accepted]', '2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2012/02/18 06:00 [medline]']","['10.1371/journal.pone.0025463 [doi]', 'PONE-D-11-15174 [pii]']",ppublish,PLoS One. 2011;6(10):e25463. doi: 10.1371/journal.pone.0025463. Epub 2011 Oct 12.,,,,,,,,,,,,,,,,
22022385,NLM,MEDLINE,20120217,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,10,2011,EBV-gp350 confers B-cell tropism to tailored exosomes and is a neo-antigen in normal and malignant B cells--a new option for the treatment of B-CLL.,e25294,10.1371/journal.pone.0025294 [doi],"gp350, the major envelope protein of Epstein-Barr-Virus, confers B-cell tropism to the virus by interacting with the B lineage marker CD21. Here we utilize gp350 to generate tailored exosomes with an identical tropism. These exosomes can be used for the targeted co-transfer of functional proteins to normal and malignant human B cells. We demonstrate here the co-transfer of functional CD154 protein on tailored gp350+ exosomes to malignant B blasts from patients with B chronic lymphocytic leukemia (B-CLL), rendering B blasts immunogenic to tumor-reactive autologous T cells. Intriguingly, engulfment of gp350+ exosomes by B-CLL cells and presentation of gp350-derived peptides also re-stimulated EBV-specific T cells and redirected the strong antiviral cellular immune response in patients to leukemic B cells. In essence, we show that gp350 alone confers B-cell tropism to exosomes and that these exosomes can be further engineered to simultaneously trigger virus- and tumor-specific immune responses. The simultaneous exploitation of gp350 as a tropism molecule for tailored exosomes and as a neo-antigen in malignant B cells provides a novel attractive strategy for immunotherapy of B-CLL and other B-cell malignancies.","['Ruiss, Romana', 'Jochum, Simon', 'Mocikat, Ralph', 'Hammerschmidt, Wolfgang', 'Zeidler, Reinhard']","['Ruiss R', 'Jochum S', 'Mocikat R', 'Hammerschmidt W', 'Zeidler R']","['Department of Gene Vectors, Helmholtz-Zentrum, Munich, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111010,United States,PLoS One,PloS one,101285081,"['0 (Antigens, Viral)', '0 (EBV-associated membrane antigen, Epstein-Barr virus)', '0 (Viral Matrix Proteins)', '147205-72-9 (CD40 Ligand)']",IM,"['Antigens, Viral/*immunology', 'B-Lymphocytes/*immunology/pathology/virology', 'CD4-Positive T-Lymphocytes/immunology', 'CD40 Ligand/metabolism', 'Exosomes/*metabolism', 'HEK293 Cells', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology/pathology/*therapy', 'Lymphocyte Activation/immunology', 'T-Lymphocytes, Cytotoxic/immunology', 'Tropism/*immunology', 'Viral Matrix Proteins/*metabolism', 'Virus Assembly']",PMC3189918,2011/10/25 06:00,2012/02/18 06:00,['2011/10/25 06:00'],"['2011/07/27 00:00 [received]', '2011/08/31 00:00 [accepted]', '2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2012/02/18 06:00 [medline]']","['10.1371/journal.pone.0025294 [doi]', 'PONE-D-11-14535 [pii]']",ppublish,PLoS One. 2011;6(10):e25294. doi: 10.1371/journal.pone.0025294. Epub 2011 Oct 10.,,,,,,,,,,,,,,,,
22022360,NLM,MEDLINE,20120217,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,10,2011,Murine gammaretrovirus group G3 was not found in Swedish patients with myalgic encephalomyelitis/chronic fatigue syndrome and fibromyalgia.,e24602,10.1371/journal.pone.0024602 [doi],"BACKGROUND: The recent report of gammaretroviruses of probable murine origin in humans, called xenotropic murine retrovirus related virus (XMRV) and human murine leukemia virus related virus (HMRV), necessitated a bioinformatic search for this virus in genomes of the mouse and other vertebrates, and by PCR in humans. RESULTS: Three major groups of murine endogenous gammaretroviruses were identified. The third group encompassed both exogenous and endogenous Murine Leukemia Viruses (MLVs), and most XMRV/HMRV sequences reported from patients suffering from myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS). Two sensitive real-time PCRs for this group were developed. The predicted and observed amplification range for these and three published XMRV/HMRV PCRs demonstrated conspicuous differences between some of them, partly explainable by a recombinatorial origin of XMRV. Three reverse transcription real-time PCRs (RTQPCRs), directed against conserved and not overlapping stretches of env, gag and integrase (INT) sequences of XMRV/HMRV were used on human samples. White blood cells from 78 patients suffering from ME/CFS, of which 30 patients also fulfilled the diagnostic criteria for fibromyalgia (ME/CFS/FM) and in 7 patients with fibromyalgia (FM) only, all from the Gothenburg area of Sweden. As controls we analyzed 168 sera from Uppsala blood donors. We controlled for presence and amplifiability of nucleic acid and for mouse DNA contamination. To score as positive, a sample had to react with several of the XMRV/HMRV PCRs. None of the samples gave PCR reactions which fulfilled the positivity criteria. CONCLUSIONS: XMRV/HMRV like proviruses occur in the third murine gammaretrovirus group, characterized here. PCRs developed by us, and others, approximately cover this group, except for the INT RTQPCR, which is rather strictly XMRV specific. Using such PCRs, XMRV/HMRV could not be detected in PBMC and plasma samples from Swedish patients suffering from ME/CFS/FM, and in sera from Swedish blood donors.","['Elfaitouri, Amal', 'Shao, Xingwu', 'Mattsson Ulfstedt, Johan', 'Muradrasoli, Shaman', 'Bolin Wiener, Agnes', 'Golbob, Sultan', 'Ohrmalm, Christina', 'Matousek, Michael', 'Zachrisson, Olof', 'Gottfries, Carl-Gerhard', 'Blomberg, Jonas']","['Elfaitouri A', 'Shao X', 'Mattsson Ulfstedt J', 'Muradrasoli S', 'Bolin Wiener A', 'Golbob S', 'Ohrmalm C', 'Matousek M', 'Zachrisson O', 'Gottfries CG', 'Blomberg J']","['Section of Clinical Virology, Department of Medical Sciences, University of Uppsala, Uppsala, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111012,United States,PLoS One,PloS one,101285081,"['0 (Gene Products, env)', '0 (Gene Products, gag)', '0 (Histones)', '0 (Nucleic Acids)']",IM,"['Animals', 'Base Sequence', 'Computational Biology', 'Fatigue Syndrome, Chronic/*complications/*virology', 'Fibromyalgia/*complications/*virology', 'Gammaretrovirus/genetics/*isolation & purification', 'Gene Products, env/genetics', 'Gene Products, gag/genetics', 'Genome/genetics', 'Histones/metabolism', 'Humans', 'Mice', 'Mice, Inbred C57BL', 'Molecular Sequence Data', 'Nucleic Acids/genetics', 'Phylogeny', 'Polymerase Chain Reaction', 'Proviruses/genetics/isolation & purification', 'Real-Time Polymerase Chain Reaction', 'Recombination, Genetic/genetics', 'Sensitivity and Specificity', 'Sequence Alignment', 'Sweden']",PMC3192035,2011/10/25 06:00,2012/02/18 06:00,['2011/10/25 06:00'],"['2011/05/11 00:00 [received]', '2011/08/15 00:00 [accepted]', '2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2012/02/18 06:00 [medline]']","['10.1371/journal.pone.0024602 [doi]', 'PONE-D-11-08685 [pii]']",ppublish,PLoS One. 2011;6(10):e24602. doi: 10.1371/journal.pone.0024602. Epub 2011 Oct 12.,,,,,,,,,,,,,,,,
22022337,NLM,PubMed-not-MEDLINE,20111110,20211020,1742-6413 (Electronic) 1742-6413 (Linking),8,,2011,Cyto-morphological features of extramedullary acute megakaryoblastic leukemia on fine needle aspiration and cerebrospinal fluid cytology: A case report.,17,10.4103/1742-6413.85496 [doi],"Extramedullary deposits may be the presenting feature of acute myeloid leukemia. An early and accurate diagnosis on cytology will aid in correct patient management. This is especially true for patients with acute megakaryoblastic leukemia (AML M7), where bone marrow aspiration may yield only a dry tap. While cytomorphological features of myeloid sarcoma of other types are well recognized due to its rarity, there are only two case reports discussing the morphological details of megakaryoblastic differentiation on aspiration cytology. We present the case of a 25-year-old patient with extramedullary involvement of lymph node and cerebrospinal fluid by AML M7, describing in detail, the morphological features on aspiration as well as exfoliative cytology.","['Chitragar, Sanjeev', 'Agarwal, Shipra', 'Iyer, Venkateswaran K', 'Mathur, Sandeep R', 'Karak, Asis K', 'Chharchhodawala, Taher', 'Sharma, Atul', 'Bakhshi, Sameer']","['Chitragar S', 'Agarwal S', 'Iyer VK', 'Mathur SR', 'Karak AK', 'Chharchhodawala T', 'Sharma A', 'Bakhshi S']","['Department of Pathology, All India Institute of Medical Sciences, New Delhi- 110 029, India.']",['eng'],['Case Reports'],20110927,United States,Cytojournal,CytoJournal,101231642,,,,PMC3193611,2011/10/25 06:00,2011/10/25 06:01,['2011/10/25 06:00'],"['2011/07/11 00:00 [received]', '2011/09/02 00:00 [accepted]', '2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2011/10/25 06:01 [medline]']","['10.4103/1742-6413.85496 [doi]', 'CJ-8-17 [pii]']",ppublish,Cytojournal. 2011;8:17. doi: 10.4103/1742-6413.85496. Epub 2011 Sep 27.,['NOTNLM'],"['AML M7', 'cytology', 'extramedullary', 'fine needle aspiration (FNA) cytology/biopsy (FNAC)/(FNAB)', 'leukemia', 'megakaryoblastic']",,,,,,,,,,,,,,
22022298,NLM,PubMed-not-MEDLINE,20111110,20211020,2005-9256 (Electronic) 1598-2998 (Linking),43,3,2011 Sep,Second primary glioblastoma multiforme following autologous hematopoietic stem cell transplantation in a patient with acute myelogenous leukemia.,195-8,10.4143/crt.2011.43.3.195 [doi],"Glioblastoma multiforme (GM) is one of the most aggressive primary brain tumors, and has a poor prognosis despite intensive treatment. GM is also the most malignant astrocytoma, with histopathological features that include cellular polymorphism, rapid mitotic activity, microvascular proliferation, and necrosis. The causes of GM remain obscure, but several reports have shown associations between GM and genetic alterations and radiation exposure. Furthermore, high-dose chemotherapy/radiotherapy with autologous stem cell transplantation is increasingly being used to treat patients with leukemia, and patients who undergo stem cell transplantation have a higher risk of solid tumor cancer development later in life. Based on these associations, we discuss GM development in a patient who underwent chemoradiotherapy conditioning prior to stem cell transplantation.","['Kim, Eun-Oh', 'Kim, Hee-Je', 'Eom, Ki-Seong', 'Cho, Byung-Sik', 'Lee, Sung-Eun', 'Yahng, Seung-Ah', 'Lee, Jong-Wook', 'Min, Woo-Sung']","['Kim EO', 'Kim HJ', 'Eom KS', 'Cho BS', 'Lee SE', 'Yahng SA', 'Lee JW', 'Min WS']","[""Division of Hematology, Department of Internal Medicine, Catholic Blood and Marrow Transplantation Center, Seoul St. Mary's Hospital, The Catholic University of Korea School of Medicine, Seoul, Korea.""]",['eng'],['Journal Article'],20110930,Korea (South),Cancer Res Treat,Cancer research and treatment,101155137,,,,PMC3192882,2011/10/25 06:00,2011/10/25 06:01,['2011/10/25 06:00'],"['2010/06/08 00:00 [received]', '2010/07/28 00:00 [accepted]', '2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2011/10/25 06:01 [medline]']",['10.4143/crt.2011.43.3.195 [doi]'],ppublish,Cancer Res Treat. 2011 Sep;43(3):195-8. doi: 10.4143/crt.2011.43.3.195. Epub 2011 Sep 30.,['NOTNLM'],"['Acute myelogenous leukemia', 'Glioblastoma', 'Stem cell transplantation']",,,,,,,,,,,,,,
22022200,NLM,MEDLINE,20120215,20211020,1598-6357 (Electronic) 1011-8934 (Linking),26,10,2011 Oct,Diagnostic standardization of leukemia fusion gene detection system using multiplex reverse transcriptase-polymerase chain reaction in Korea.,1399-400; author reply 1401,10.3346/jkms.2011.26.10.1399 [doi],,"['Kim, Min Jin', 'Choi, Jong Rak', 'Suh, Jin-Tae', 'Lee, Hee Joo', 'Lee, Woo-In', 'Park, Tae Sung']","['Kim MJ', 'Choi JR', 'Suh JT', 'Lee HJ', 'Lee WI', 'Park TS']",,['eng'],"['Letter', 'Comment']",20111001,Korea (South),J Korean Med Sci,Journal of Korean medical science,8703518,,IM,"['*Chromosome Aberrations', 'Female', 'Humans', 'Leukemia/*genetics', 'Male']",PMC3192359,2011/10/25 06:00,2012/02/16 06:00,['2011/10/25 06:00'],"['2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2012/02/16 06:00 [medline]']",['10.3346/jkms.2011.26.10.1399 [doi]'],ppublish,J Korean Med Sci. 2011 Oct;26(10):1399-400; author reply 1401. doi: 10.3346/jkms.2011.26.10.1399. Epub 2011 Oct 1.,,,['J Korean Med Sci. 2011 Jul;26(7):886-92. PMID: 21738341'],,,,,,,,,,,,,
22021454,NLM,MEDLINE,20111220,20211203,1528-0020 (Electronic) 0006-4971 (Linking),118,16,2011 Oct 20,Abnormal promoter DNA methylation in juvenile myelomonocytic leukemia is not caused by mutation in DNMT3A.,4490-1,10.1182/blood-2011-07-370684 [doi],,"['Wlodarski, Marcin W', 'Motter, Jessica', 'Gorr, Thomas A', 'Olk-Batz, Christiane', 'Hasle, Henrik', 'Dworzak, Michael', 'Niemeyer, Charlotte M', 'Flotho, Christian']","['Wlodarski MW', 'Motter J', 'Gorr TA', 'Olk-Batz C', 'Hasle H', 'Dworzak M', 'Niemeyer CM', 'Flotho C']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",,United States,Blood,Blood,7603509,"['0 (DNMT3A protein, human)', '9007-49-2 (DNA)', 'EC 2.1.1.37 (DNA (Cytosine-5-)-Methyltransferases)', 'EC 2.1.1.37 (DNA Methyltransferase 3A)']",IM,"['DNA/genetics', 'DNA (Cytosine-5-)-Methyltransferases/*genetics', '*DNA Methylation', 'DNA Methyltransferase 3A', 'Humans', 'Leukemia, Myelomonocytic, Juvenile/*genetics', '*Mutation', 'Promoter Regions, Genetic']",,2011/10/25 06:00,2011/12/21 06:00,['2011/10/25 06:00'],"['2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2011/12/21 06:00 [medline]']","['S0006-4971(20)41027-4 [pii]', '10.1182/blood-2011-07-370684 [doi]']",ppublish,Blood. 2011 Oct 20;118(16):4490-1. doi: 10.1182/blood-2011-07-370684.,,,,,,,,,,,,,,,,
22021452,NLM,MEDLINE,20111220,20211020,1528-0020 (Electronic) 0006-4971 (Linking),118,16,2011 Oct 20,Resurrecting the recalcitrant T-cell.,4302-3,10.1182/blood-2011-08-373340 [doi],,"['Wagner, John E', 'Blazar, Bruce R']","['Wagner JE', 'Blazar BR']","['University of Minnesota, USA.']",['eng'],"['Journal Article', 'Comment']",,United States,Blood,Blood,7603509,,IM,"['CD8-Positive T-Lymphocytes/*cytology', 'Female', 'Fetal Blood/*transplantation', 'Humans', 'Leukemia/*prevention & control/*surgery', 'Male']",,2011/10/25 06:00,2011/12/21 06:00,['2011/10/25 06:00'],"['2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2011/12/21 06:00 [medline]']","['S0006-4971(20)41000-6 [pii]', '10.1182/blood-2011-08-373340 [doi]']",ppublish,Blood. 2011 Oct 20;118(16):4302-3. doi: 10.1182/blood-2011-08-373340.,,,['Blood. 2011 Oct 20;118(16):4480-8. PMID: 21813446'],['P01 CA065493/CA/NCI NIH HHS/United States'],,,,,,,,,,,,
22021368,NLM,MEDLINE,20120316,20210206,1528-0020 (Electronic) 0006-4971 (Linking),118,25,2011 Dec 15,AML1/RUNX1 functions as a cytoplasmic attenuator of NF-kappaB signaling in the repression of myeloid tumors.,6626-37,10.1182/blood-2010-12-326710 [doi],"Functional deregulation of transcription factors has been found in many types of tumors. Transcription factor AML1/RUNX1 is one of the most frequent targets of chromosomal abnormalities in human leukemia and altered function of AML1 is closely associated with malignant transformation of hematopoietic cells. However, the molecular basis and therapeutic targets of AML1-related leukemia are still elusive. Here, we explored immediate target pathways of AML1 by in vitro synchronous inactivation in hematopoietic cells. We found that AML1 inhibits NF-kappaB signaling through interaction with IkappaB kinase complex in the cytoplasm. Remarkably, AML1 mutants found in myeloid tumors lack the ability to inhibit NF-kappaB signaling, and human cases with AML1-related leukemia exhibits distinctly activated NF-kappaB signaling. Furthermore, inhibition of NF-kappaB signaling in leukemic cells with mutated AML1 efficiently blocks their growth and development of leukemia. These findings reveal a novel role for AML1 as a cytoplasmic attenuator of NF-kappaB signaling and indicate that NF-kappaB signaling is one of the promising therapeutic targets of hematologic malignancies with AML1 abnormality.","['Nakagawa, Masahiro', 'Shimabe, Munetake', 'Watanabe-Okochi, Naoko', 'Arai, Shunya', 'Yoshimi, Akihide', 'Shinohara, Akihito', 'Nishimoto, Nahoko', 'Kataoka, Keisuke', 'Sato, Tomohiko', 'Kumano, Keiki', 'Nannya, Yasuhito', 'Ichikawa, Motoshi', 'Imai, Yoichi', 'Kurokawa, Mineo']","['Nakagawa M', 'Shimabe M', 'Watanabe-Okochi N', 'Arai S', 'Yoshimi A', 'Shinohara A', 'Nishimoto N', 'Kataoka K', 'Sato T', 'Kumano K', 'Nannya Y', 'Ichikawa M', 'Imai Y', 'Kurokawa M']","['Department of Hematology and Oncology, Graduate School of Medicine, University of Tokyo, 7-3-1 Hongo, Bunkyo-ku, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20111021,United States,Blood,Blood,7603509,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (NF-kappa B)', '0 (Pyrazines)', '0 (Runx1 protein, mouse)', '69G8BD63PP (Bortezomib)', 'EC 2.7.11.10 (I-kappa B Kinase)']",IM,"['Acute Disease', 'Animals', 'Antineoplastic Agents/pharmacology', 'Blotting, Western', 'Boronic Acids/pharmacology', 'Bortezomib', 'Cell Line, Tumor', 'Cell Transformation, Neoplastic/genetics', 'Core Binding Factor Alpha 2 Subunit/genetics/metabolism/*physiology', 'Cytoplasm/metabolism', 'Female', 'Gene Expression Regulation, Leukemic', 'HEK293 Cells', 'Humans', 'I-kappa B Kinase/genetics/metabolism', 'Leukemia, Myeloid/drug therapy/*metabolism/pathology', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred NOD', 'Mice, Knockout', 'Mice, SCID', 'Mutation', 'NF-kappa B/genetics/*metabolism', 'Protein Binding', 'Pyrazines/pharmacology', 'Signal Transduction/drug effects/genetics/*physiology', 'Xenograft Model Antitumor Assays']",,2011/10/25 06:00,2012/03/17 06:00,['2011/10/25 06:00'],"['2011/10/25 06:00 [entrez]', '2011/10/25 06:00 [pubmed]', '2012/03/17 06:00 [medline]']","['S0006-4971(20)40294-0 [pii]', '10.1182/blood-2010-12-326710 [doi]']",ppublish,Blood. 2011 Dec 15;118(25):6626-37. doi: 10.1182/blood-2010-12-326710. Epub 2011 Oct 21.,,,,,,,,,,,,,,,,
