PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,OTO,OT,CIN,CON,PS,FPS,SI,CI,TT,CN,IR,FIR,EIN,COIS,OID,GN,RIN
21792540,NLM,MEDLINE,20120103,20211020,1534-6269 (Electronic) 1523-3790 (Linking),13,5,2011 Oct,Newly emerging therapies targeting viral-related lymphomas.,416-26,10.1007/s11912-011-0186-8 [doi],"Gamma-(gamma)-herpes virus lymphomas comprise a heterogenous group of B-cell and T-cell neoplasms most commonly associated with Epstein-Barr virus and rarely human herpes virus-8 infection. Adult T-cell leukemia/lymphoma (ATLL) is a unique disease entity caused by the human T-cell lymphotrophic virus, type 1 (HTLV-I), the only retrovirus known to cause cancer in humans. Viral lymphomas behave aggressively and disproportionally affect immunocompromised individuals and those living in underdeveloped regions. These diseases are often difficult to treat with conventional approaches. Despite recent advancements using cytotoxic, lymphoma-specific, and adoptive therapies, the long-term outcome of patients with gamma-herpesvirus lymphomas occurring in severely immunocompromised patients and ATLL continues to be poor. Lytic-inducing therapies targeting NF-kappaB, and viral and tumor cell epigenetic mechanisms afford the advantage of exploiting the intrinsic presence of oncogenic viruses to eradicate infected tumor cells. In this review, viral-related lymphomas and newly emerging clinical approaches targeting viral latency are discussed.","['Ramos, Juan Carlos', 'Lossos, Izidore S']","['Ramos JC', 'Lossos IS']","['Department of Medicine, Division of Oncology-Hematology, Sylvester Comprehensive Cancer Center, University of Miami, FL, 33136, USA. jramos2@med.miami.edu']",['eng'],"['R01 CA112217/CA/NCI NIH HHS/United States', '1-P01-CA-128115-01A2/CA/NCI NIH HHS/United States', '2U01CA121947-04/CA/NCI NIH HHS/United States', 'CA122105/CA/NCI NIH HHS/United States', 'P01 CA128115/CA/NCI NIH HHS/United States', 'R01 CA109335/CA/NCI NIH HHS/United States', 'R01 CA122105/CA/NCI NIH HHS/United States', 'CA109335/CA/NCI NIH HHS/United States', 'U01 CA121947/CA/NCI NIH HHS/United States', 'R01-CA-112217-03/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",United States,Curr Oncol Rep,Current oncology reports,100888967,"['0 (Antineoplastic Agents)', '0 (Antiviral Agents)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Antiviral Agents/*therapeutic use', 'HIV', 'Herpesvirus 4, Human', 'Humans', 'Leukemia-Lymphoma, Adult T-Cell/drug therapy', 'Lymphoma, AIDS-Related/drug therapy', 'Lymphoma, B-Cell/*drug therapy/*virology', 'Lymphoma, T-Cell/*drug therapy/*virology', 'Tumor Virus Infections/drug therapy', 'Virus Latency']",PMC4041592,['NIHMS473738'],2011/07/28 06:00,2012/01/04 06:00,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2012/01/04 06:00 [medline]']",['10.1007/s11912-011-0186-8 [doi]'],ppublish,Curr Oncol Rep. 2011 Oct;13(5):416-26. doi: 10.1007/s11912-011-0186-8.,,,,,,,,,,,,,,,,,,
21792367,NLM,PubMed-not-MEDLINE,20111110,20211020,1741-4288 (Electronic) 1741-427X (Linking),2011,,2011,"Anti-Cancer Effects of Protein Extracts from Calvatia lilacina, Pleurotus ostreatus and Volvariella volvacea.",982368,10.1093/ecam/neq057 [doi],"Calvatia lilacina (CL), Pleurotus ostreatus (PO) and Volvariella volvacea (VV) are widely distributed worldwide and commonly eaten as mushrooms. In this study, cell viabilities were evaluated for a human colorectal adenocarcinoma cell line (SW480 cells) and a human monocytic leukemia cell line (THP-1 cells). Apoptotic mechanisms induced by the protein extracts of PO and VV were evaluated for SW480 cells. The viabilities of THP-1 and SW480 cells decreased in a concentration-dependent manner after 24 h of treatment with the protein extracts of CL, PO or VV. Apoptosis analysis revealed that the percentage of SW480 cells in the SubG(1) phase (a marker of apoptosis) was increased upon PO and VV protein-extract treatments, indicating that oligonucleosomal DNA fragmentation existed concomitantly with cellular death. The PO and VV protein extracts induced reactive oxygen species (ROS) production, glutathione (GSH) depletion and mitochondrial transmembrane potential (DeltaPsi(m)) loss in SW480 cells. Pretreatment with N-acetylcysteine, GSH or cyclosporine A partially prevented the apoptosis induced by PO protein extracts, but not that induced by VV extracts, in SW480 cells. The protein extracts of CL, PO and VV exhibited therapeutic efficacy against human colorectal adenocarcinoma cells and human monocytic leukemia cells. The PO protein extracts induced apoptosis in SW480 cells partially through ROS production, GSH depletion and mitochondrial dysfunction. Therefore, the protein extracts of these mushrooms could be considered an important source of new anti-cancer drugs.","['Wu, Jin-Yi', 'Chen, Chi-Hung', 'Chang, Wen-Huei', 'Chung, King-Thom', 'Liu, Yi-Wen', 'Lu, Fung-Jou', 'Chen, Ching-Hsein']","['Wu JY', 'Chen CH', 'Chang WH', 'Chung KT', 'Liu YW', 'Lu FJ', 'Chen CH']","['Graduate Institute of Biomedical and Biopharmaceutical Sciences, College of Life Sciences, National Chiayi University, A25-303 Room, Life Sciences Hall, 300 Syuefu Road, Chiayi 60004, Taiwan.']",['eng'],,['Journal Article'],United States,Evid Based Complement Alternat Med,Evidence-based complementary and alternative medicine : eCAM,101215021,,,,PMC3139501,,2011/07/28 06:00,2011/07/28 06:01,['2011/07/28 06:00'],"['2009/09/16 00:00 [received]', '2010/04/20 00:00 [accepted]', '2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/07/28 06:01 [medline]']",['10.1093/ecam/neq057 [doi]'],ppublish,Evid Based Complement Alternat Med. 2011;2011:982368. doi: 10.1093/ecam/neq057. Epub 2011 Jun 18.,20110618,,,,,,,,,,,,,,,,,
21792346,NLM,PubMed-not-MEDLINE,20111110,20211020,1179-5549 (Electronic) 1179-5549 (Linking),5,,2011,Moving on up: Second-Line Agents as Initial Treatment for Newly-Diagnosed Patients with Chronic Phase CML.,185-99,10.4137/CMO.S6416 [doi],"The treatment of chronic myelogenous leukemia (CML) was revolutionized by the development of imatinib mesylate, a small molecule inhibitor of several protein tyrosine kinases, including the ABL1 protein tyrosine kinase. The current second generation of FDA-approved ABL tyrosine kinase inhibitors, dasatinib and nilotinib, are more potent inhibitors of BCR-ABL1 kinase in vitro. Originally approved for the treatment of patients who were refractory to or intolerant of imatinib, dasatinib and nilotinib are now also FDA approved in the first-line setting. The choice of tyrosine kinase inhibitor (ie, standard or high dose imatinib, dasatinib, nilotinib) to use for initial therapy in chronic-phase CML (CML-CP) will not always be obvious. Therapy selection will depend on both clinical and molecular factors, which we will discuss in this review.","['Shieh, Marie P', 'Mitsuhashi, Masato', 'Lilly, Michael']","['Shieh MP', 'Mitsuhashi M', 'Lilly M']","['Division of Hematology-Oncology, Department of Medicine, and Chao Family Comprehensive Cancer Center, University of California, Irvine, CA, USA.']",['eng'],,['Journal Article'],United States,Clin Med Insights Oncol,Clinical Medicine Insights. Oncology,101525771,,,,PMC3140277,,2011/07/28 06:00,2011/07/28 06:01,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/07/28 06:01 [medline]']","['10.4137/CMO.S6416 [doi]', 'cmo-5-2011-185 [pii]']",ppublish,Clin Med Insights Oncol. 2011;5:185-99. doi: 10.4137/CMO.S6416. Epub 2011 Jun 23.,20110623,['NOTNLM'],"['CML', 'TKI', 'dasatinib', 'imatinib', 'inhibitor', 'kinase', 'nilotinib']",,,,,,,,,,,,,,,
21792329,NLM,PubMed-not-MEDLINE,20111110,20211020,1179-1322 (Electronic) 1179-1322 (Linking),3,,2011,Clinical relevance and treatment of nonautoimmune anemia in chronic lymphocytic leukemia.,211-7,10.2147/CMR.S17470 [doi],"Anemia has an unfavorable impact on quality of life in chronic lymphocytic leukemia (CLL), increases the likelihood of receiving blood transfusions, and eventually has a negative impact on overall survival. Although discrepancies in perception of health-related quality of life between doctors and patients lead to the undertreatment of anemia, CLL patients undergoing chemotherapy who have a hemoglobin level <10 g/dL should be considered for treatment with erythropoiesis-stimulating agents. For hemoglobin values of 10-12 g/dL, the role of performance status and comorbidities should not be underestimated. In this setting, the evaluation of physical fitness using the Cumulative Illness Rating Scale should help physicians to identify those patients with hemoglobin levels of 10-12 g/dL who are suitable for therapy with erythropoiesis-stimulating agents. Finally, the increasing use of aggressive approaches to therapy should encourage physicians towards appropriate management of chemotherapy-induced anemia in CLL patients.","['Molica, Stefano', 'Mirabelli, Rosanna', 'Molica, Matteo', 'Levato, Luciano', 'Mauro, Francesca R', 'Foa, Robin']","['Molica S', 'Mirabelli R', 'Molica M', 'Levato L', 'Mauro FR', 'Foa R']","['Department of Hematology and Oncology, Azienda Ospedaliera Pugliese-Ciaccio, Catanzaro;']",['eng'],,['Journal Article'],New Zealand,Cancer Manag Res,Cancer management and research,101512700,,,,PMC3139481,,2011/07/28 06:00,2011/07/28 06:01,['2011/07/28 06:00'],"['2011/05/31 00:00 [received]', '2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/07/28 06:01 [medline]']","['10.2147/CMR.S17470 [doi]', 'cmr-3-211 [pii]']",ppublish,Cancer Manag Res. 2011;3:211-7. doi: 10.2147/CMR.S17470. Epub 2011 Jun 1.,20110601,['NOTNLM'],"['anemia', 'chronic lymphocytic leukemia', 'erythropoietin']",,,,,,,,,,,,,,,
21792317,NLM,PubMed-not-MEDLINE,20111110,20211020,1178-6930 (Electronic) 1178-6930 (Linking),4,,2011,The prognostic impact of K-RAS mutations in adult acute myeloid leukemia patients treated with high-dose cytarabine.,115-21,10.2147/OTT.S12602 [doi],"BACKGROUND: Activating point mutation of the RAS gene has been generally accepted as an oncogenic event in a variety of malignancies. It represents one of the most common genetic alterations in acute myeloid leukemia (AML). However, little is known about its clinical relevance in the treatment outcome for this leukemia. OBJECTIVE: This study aimed to clarify the biologic and prognostic impact of K-RAS mutations in relation to the dose of cytarabine (ara-C) used in postinduction consolidation chemotherapy in adult AML patients. PATIENTS AND METHODS: The study comprised of 71 de novo AML patients with male/ female ratio 1.4:1; their ages ranged from 21-59 years with a median of 37 years. They were subjected to full clinical evaluation, routine laboratory investigations, cytogenetic studies by G-banding (Giemsa staining), and K-RAS mutation detection using real-time polymerase chain reaction. The patients were randomized into two groups according to the ara-C dose used in consolidation treatment, the high the dose ara-C (HDAC) group receiving 400 mg ara-C and-low-dose ara-C (LDAC) group receiving 100 mg ara-C; they were followed over a period of five years. RESULTS: Mutations in the K-RAS gene (mutRAS) were detected in 23 patients (32%) with the remaining 48 patients (68%) having wild-type RAS (wtRAS). The percent of blast cells was significantly lower in mutRAS compared to wtRAS patients (P </= 0.001) while M4 subtype of AML and Inv(16) frequencies were significantly higher in mutRAS compared to wtRAS patients (P = 0.015) and (P = 0.003), respectively. The patients were followed up for a median of 43 months (range 11-57 months). There was no significant difference in overall survival (OS) between mutRAS and wtRAS (P = 0.326). Within the mutRAS patients treated with HDAC, cumulative OS was significantly higher than those treated with LDAC (P = 0.001). This was not the case in the wtRAS group (P = 0.285). There was no significant difference in disease-free survival (DFS) between mutRAS and wtRAS groups (P = 0.923). mutRAS patients treated with HDAC had a statistically higher cumulative DFS than mutRAS patients treated with LDAC (P = 0.001). Patients with wtRAS also benefited from HDAC, but to a lesser extent. Among patients with wtRAS, those treated with HDAC showed higher cumulative and median DFS than patients treated with LDAC (P = 0.031). CONCLUSION: It was concluded that adult AML patients carrying mutations in the K-RAS gene benefit from higher ara-C doses more than wtRAS patients, so pretreatment mutation detection could be an important predictor for treatment strategy and survival of adult AML patients. These findings counter the prevailing bias that oncogene mutations lead to more aggressive behavior in human malignancies.","['Ahmad, Ebtesam I', 'Gawish, Heba H', 'Al Azizi, Nashwa Ma', 'Elhefni, Ashraf M']","['Ahmad EI', 'Gawish HH', 'Al Azizi NM', 'Elhefni AM']","['Clinical Pathology Department, Hematology and Oncology Unit of Internal Medicine Department, Faculty of Medicine, Zagazig University, Sharkia, Egypt.']",['eng'],,['Journal Article'],New Zealand,Onco Targets Ther,OncoTargets and therapy,101514322,,,,PMC3143910,,2011/07/28 06:00,2011/07/28 06:01,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/07/28 06:01 [medline]']","['10.2147/OTT.S12602 [doi]', 'ott-4-115 [pii]']",ppublish,Onco Targets Ther. 2011;4:115-21. doi: 10.2147/OTT.S12602. Epub 2011 Jul 15.,20110715,['NOTNLM'],"['K-RAS gene', 'acute myeloid leukemia', 'cytarabine (ara-C)']",,,,,,,,,,,,,,,
21792045,NLM,MEDLINE,20110927,20130606,1536-3678 (Electronic) 1077-4114 (Linking),33,6,2011 Aug,Survival outcome of childhood acute lymphoblastic leukemia in India: a resource-limited perspective of more than 40 years.,475-9,10.1097/MPH.0b013e31820e7361 [doi],"The outcome of childhood acute lymphoblastic leukemia in India has been inferior to more than 80% cure rates in developed nations. This study was done to analyze the outcome of acute lymphoblastic leukemia in India over 4 decades. There has been a gradual improvement in survival rates of up to >70% in some centers along with a decline in relapse and mortality. However, these results cannot be generalized to the entire nation. There is a crying need to address treatment abandonment, take quality improvement, educational and financial initiatives; cooperative research into risk factors and disease biology, and the implementation of risk stratification along with the assessment of response to therapy.","['Kulkarni, Ketan Prasad', 'Arora, Ramandeep Singh', 'Marwaha, Ram Kumar']","['Kulkarni KP', 'Arora RS', 'Marwaha RK']","['Division of Pediatric Hematology Oncology, Stollery Children Hospital, University of Alberta, Canada.']",['eng'],,['Journal Article'],United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,,IM,"['Child', 'Developing Countries/*economics', 'Humans', 'India', 'Poverty/*economics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*economics/*mortality/therapy', 'Prognosis', 'Review Literature as Topic', 'Survival Rate', 'Time Factors']",,,2011/07/28 06:00,2011/09/29 06:00,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/09/29 06:00 [medline]']","['10.1097/MPH.0b013e31820e7361 [doi]', '00043426-201108000-00017 [pii]']",ppublish,J Pediatr Hematol Oncol. 2011 Aug;33(6):475-9. doi: 10.1097/MPH.0b013e31820e7361.,,,,"['J Pediatr Hematol Oncol. 2012 May;34(4):324. PMID: 22395214', 'J Pediatr Hematol Oncol. 2013 May;35(4):334. PMID: 23042007']",,,,,,,,,,,,,,
21792040,NLM,MEDLINE,20110927,20191210,1536-3678 (Electronic) 1077-4114 (Linking),33,6,2011 Aug,Duration of adrenal insufficiency during treatment for childhood acute lymphoblastic leukemia.,442-9,10.1097/MPH.0b013e3182260cbe [doi],"Children with acute lymphoblastic leukemia (ALL) recive high doses of glucocorticosteroid as part of their treatment. This may lead to suppression of the hypothalamic-pituitary-adrenal axis, acute adrenal insufficiency, and ultimately to life-threatening conditions. This study explores the adrenal function in 96 children with ALL treated according to common protocols. After cessation of induction glucocorticosteroid therapy, they received hydrocortisone substitution therapy (10 mg/m/24 h) until an adrenocorticotropic hormone test (250 mug tetracosatide) showed a sufficient adrenal response [plasma (p)-cortisol >/=500 nM]. At the first adrenocorticotropic hormone test, 67% of the patients had adrenal insufficiency. When including these patients in a multivariate model, not adjusting for risk factors, the mean elapsed time between end of induction therapy and adrenal sufficiency was 8.5 months (95% confidence interval: 6.3;10.7). Low 0-minute p-cortisol (P=0.02) and low rise in p-cortisol (P<0.0001) at first test caused a longer time of adrenal insufficiency. In addition, patients with B-cell precursor leukemia reached adrenal sufficiency later than those with T-cell leukemia (P=0.067). As adrenal insufficiency is frequent in children treated for ALL and as they often experience infections and other stressors, the adrenal response should be determined and hydrocortisone substitution therapy should be considered during such episodes in patients with adrenal insufficiency.","['Vestergaard, Therese Risom', 'Juul, Anders', 'Lausten-Thomsen, Ulrik', 'Lausen, Birgitte', 'Hjalgrim, Henrik', 'Kvist, Tine Kajsa', 'Andersen, Elisabeth Wreford', 'Schmiegelow, Kjeld']","['Vestergaard TR', 'Juul A', 'Lausten-Thomsen U', 'Lausen B', 'Hjalgrim H', 'Kvist TK', 'Andersen EW', 'Schmiegelow K']","['Pediatric Clinic II, Rigshospitalet, The Faculty of Medicine, University of Copenhagen, Denmark. therese.vestergaard@rh.regionh.dk']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,"['0 (Anti-Inflammatory Agents)', '7S5I7G3JQL (Dexamethasone)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Adolescent', 'Adrenal Insufficiency/*chemically induced/drug therapy', 'Anti-Inflammatory Agents/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Child', 'Child, Preschool', 'Dexamethasone/*adverse effects', 'Female', 'Humans', 'Hydrocortisone/*therapeutic use', 'Infant', 'Infections/chemically induced/drug therapy', 'Male', 'Pituitary-Adrenal System/*drug effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prognosis', 'Time Factors']",,,2011/07/28 06:00,2011/09/29 06:00,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/09/29 06:00 [medline]']","['10.1097/MPH.0b013e3182260cbe [doi]', '00043426-201108000-00010 [pii]']",ppublish,J Pediatr Hematol Oncol. 2011 Aug;33(6):442-9. doi: 10.1097/MPH.0b013e3182260cbe.,,,,['J Pediatr Hematol Oncol. 2011 Aug;33(6):406-8. PMID: 21792034'],,,,,,,,,,,,,,
21792039,NLM,MEDLINE,20110927,20111006,1536-3678 (Electronic) 1077-4114 (Linking),33,6,2011 Aug,"Immunophenotypic, cytogenetic, and clinical features of 207 cases of childhood acute lymphoblastic leukemia in china.",437-41,10.1097/MPH.0b013e3182198dd7 [doi],"OBJECTIVE: In this study, we investigated the immunophenotypic subtype profiles of 207 Chinese children with acute lymphoblastic leukemia (ALL) and its association with cytogenetics and clinical features. METHODS: A total of 207 children with ALL were immunophenotyped by 4-color flow cytometry using a panel of monoclonal antibodies. Among the 207 patients enrolled in this study, 146 cases were also subjected to karyotype analysis by R-banding technology. RESULTS: Of the 207 children with ALL, 11.6% were identified as T-ALL and 88.4% as B-ALL. Among B-ALL, 6.6% were identified as Pro-B ALL, 67.2% as Com-B ALL, 24.0% as Pre-B ALL, and 2.2% as mature-B ALL. Myeloid antigen (MyAg) expression was documented in 42.5% of the 207 cases analyzed and CD13 was the most commonly expressed MyAg (31.4%). No difference was observed in the expression of MyAg between the groups of patients with T-ALL (41.7%) and B-ALL (42.6%). Abnormal karyotypes were detected in 84 of 146 (57.5%) children. The clinical and biological characteristics of ALL patients between the MyAg(+) and MyAg(-) groups showed that a higher percentage of patients with high WBC count (>50x10(9)/L) and higher CD34 positivity were found to be correlated with MyAg(+) ALL. CONCLUSIONS: Our results indicate that the distribution of ALL in Chinese children was similar to the general distribution pattern in other countries. Unlike previous studies, we found that the expression of MyAg in children with T-ALL and B-ALL was comparable, and the percentage of patients with a high WBC count (>50x10(9)/L) and CD34 positivity in MyAg(+) was higher than that in MyAg(-) ALL types, but no differences were found with regard to other clinical features.","['Tong, Haixia', 'Wang, Qiushi', 'Lu, Chunwei', 'Liu, Zhuogang', 'Hu, Yanping']","['Tong H', 'Wang Q', 'Lu C', 'Liu Z', 'Hu Y']","['Department of Blood Transfusion, Shengjing Hospital of China Medical University, Liaoning, China. tonghx2009@163.com']",['eng'],,['Journal Article'],United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,,IM,"['Adolescent', 'Child', 'Child, Preschool', 'China', '*Chromosome Banding', 'Female', 'Flow Cytometry', 'Humans', '*Immunophenotyping', 'Infant', 'Infant, Newborn', 'Karyotyping', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics/*immunology', 'Prognosis']",,,2011/07/28 06:00,2011/09/29 06:00,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/09/29 06:00 [medline]']","['10.1097/MPH.0b013e3182198dd7 [doi]', '00043426-201108000-00009 [pii]']",ppublish,J Pediatr Hematol Oncol. 2011 Aug;33(6):437-41. doi: 10.1097/MPH.0b013e3182198dd7.,,,,,,,,,,,,,,,,,,
21792038,NLM,MEDLINE,20110927,20111006,1536-3678 (Electronic) 1077-4114 (Linking),33,6,2011 Aug,Expression of Ikaros isoform 6 in chinese children with acute lymphoblastic leukemia.,429-32,10.1097/MPH.0b013e318217f5f2 [doi],"Ikaros is a zinc-finger transcription factor that plays an important role in the differentiation and proliferation of lymphocytes. Dominant-negative Ikaros isoform 6 (Ik6), one of its common subtypes, is overexpressed in leukemia patients and is associated with unfavorable prognosis in childhood B-cell progenitor acute lymphoblastic leukemia (ALL). This study was to identify specific isoforms, especially Ik6, in Chinese pediatric patients with ALL. The mRNA expression of Ikaros was detected in 88 children with previously untreated ALL by nested reverse transcription-polymerase chain reaction (RT-PCR). Sequencing of the PCR products was performed to identify specific isoforms. The expression of fusion genes was determined by using multiplex RT-PCR. The functional isoforms Ik1, Ik2/3, and dominant negative isoforms Ik4, 6, 8, 9, 10 identified by nested RT-PCR were further confirmed by sequence analysis. In the 88 cases, the Ik6 was found to be overexpressed in 8 of 70 cases of B-lineage ALL and in 1 of 18 cases of T-lineage ALL patients. Among Ik6 B-lineage ALL patients, 3 had expression of BCR/ABL fusion gene and 1 had HOX11 expression. Ik6 overexpression was independent of age, white blood cell count at diagnosis, risk group, and expression of the fusion genes currently measured in China except BCR/ABL (P<0.01). And it was strongly associated with elevated levels of minimal residual disease at day 28 (P<0.01). Ik6 can be included as a high-risk factor at diagnosis. In developing countries with limited resources, it can be economically detected by nested RT-PCR.","['Zhou, Fen', 'Mei, Heng', 'Jin, Runming', 'Li, Xiaoqing', 'Chen, Xiangjun']","['Zhou F', 'Mei H', 'Jin R', 'Li X', 'Chen X']","['Department of Pediatrics, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, Hubei, PR China.']",['eng'],,['Journal Article'],United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,"['0 (IKZF1 protein, human)', '0 (Protein Isoforms)', '0 (RNA, Messenger)', '148971-36-2 (Ikaros Transcription Factor)']",IM,"['Child', 'China', 'Female', 'Humans', 'Ikaros Transcription Factor/*genetics', 'Male', 'Polymerase Chain Reaction', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Prognosis', 'Protein Isoforms', 'RNA, Messenger/*genetics', 'Retrospective Studies', 'Risk Factors']",,,2011/07/28 06:00,2011/09/29 06:00,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/09/29 06:00 [medline]']","['10.1097/MPH.0b013e318217f5f2 [doi]', '00043426-201108000-00007 [pii]']",ppublish,J Pediatr Hematol Oncol. 2011 Aug;33(6):429-32. doi: 10.1097/MPH.0b013e318217f5f2.,,,,,,,,,,,,,,,,,,
21792034,NLM,MEDLINE,20110927,20131121,1536-3678 (Electronic) 1077-4114 (Linking),33,6,2011 Aug,Reducing the risk for adrenal insufficiency in those treated for all: tapering glucocorticoids before abrupt discontinuation.,406-8,10.1097/MPH.0b013e318223feb6 [doi],,"['Felner, Eric I']",['Felner EI'],"['Division of Pediatric Endocrinology, Emory University School of Medicine, Atlanta, GA, USA. efelner@emory.edu']",['eng'],,"['Comment', 'Journal Article']",United States,J Pediatr Hematol Oncol,Journal of pediatric hematology/oncology,9505928,"['0 (Anti-Inflammatory Agents)', '7S5I7G3JQL (Dexamethasone)', 'WI4X0X7BPJ (Hydrocortisone)']",IM,"['Adrenal Insufficiency/*chemically induced/*prevention & control', 'Anti-Inflammatory Agents/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Dexamethasone/*adverse effects', 'Humans', 'Hydrocortisone/*therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Prognosis']",,,2011/07/28 06:00,2011/09/29 06:00,['2011/07/28 06:00'],"['2011/07/28 06:00 [entrez]', '2011/07/28 06:00 [pubmed]', '2011/09/29 06:00 [medline]']","['10.1097/MPH.0b013e318223feb6 [doi]', '00043426-201108000-00002 [pii]']",ppublish,J Pediatr Hematol Oncol. 2011 Aug;33(6):406-8. doi: 10.1097/MPH.0b013e318223feb6.,,,,,['J Pediatr Hematol Oncol. 2011 Aug;33(6):442-9. PMID: 21792040'],,,,,,,,,,,,,
