PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,RN,SB,MH,GR,PMC,CI,CN,CIN,MID,OTO,OT,EIN,CON,SI,TT,IR,FIR,GN,OID,PS,FPS,COIS
21559577,NLM,PubMed-not-MEDLINE,20121002,20190606,1019-6439 (Print) 1019-6439 (Linking),5,2,1994 Aug,Flow-cytometry detection of minimal DNA aneuploidy in mature lymphoid leukemias - comparison with metaphase and interphase cytogenetics.,211-4,"The relative DNA content of peripheral blood cells from 79 cases with lymphoid leukemias was analyzed by a dual-parameter flow cytometric analysis. The leukemia samples corresponded to: chronic lymphocytic leukemia (CLL) 40, CLL with more than 10% prolymphocytes (CLL/PL) 12, CLL mixed 9, prolymphocytic leukemia (PLL) 5, and B-cell lymphoma in leukemic phase 13. DNA aneuploidy was found overall in 26 (32.9%) of the cases and these corresponded to: 7 (17.5%) with CLL, 7 (58.3%) with CLL/PL, 4 (44.4%) with CLL mixed, 2 (40%) with PLL and 6 (46.2%) with B-cell lymphoma. There was a good correlation between DNA content and cytogenetics/fluorescent in situ hybridization in all but 2 cases as follows: 6 of 7 cases with diploid DNA had normal karyotype and only one had trisomy 12: 4 of 6 cases with hyperdiploid DNA had trisomy 12, one had tetraploidy and only one had a normal karyotype. Two cases were hypodiploid both by DNA and cytogenetic analysis. Our findings demonstrate a higher incidence of DNA aneuploidy in B-cell lymphoma in leukemic phase, PLL, and atypical CLL in comparison with typical CLL and a good correlation with cytogenetics. We conclude that flow cytometric DNA analysis represents a useful, sensitive, and rapid method to detect and monitor minimal changes of DNA content in leukemic lymphocytes without the need of short-term cultures.","['Kamihira, S', 'Matutes, E', 'Marco, J', 'Hoda, S', 'Morilla, R', 'Owusuankomah, K', 'Crowford, A', 'Ellis, J', 'Catovsky, D']","['Kamihira S', 'Matutes E', 'Marco J', 'Hoda S', 'Morilla R', 'Owusuankomah K', 'Crowford A', 'Ellis J', 'Catovsky D']","['INST CANC RES,LONDON SW3 6JJ,ENGLAND. ROYAL MARSDEN HOSP,ACAD DEPT HAEMATOL & CYTOGENET,LONDON SW3 6JJ,ENGLAND.']",['eng'],['Journal Article'],Greece,Int J Oncol,International journal of oncology,9306042,1994/08/01 00:00,1994/08/01 00:01,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '1994/08/01 00:00 [pubmed]', '1994/08/01 00:01 [medline]']",['10.3892/ijo.5.2.211 [doi]'],ppublish,Int J Oncol. 1994 Aug;5(2):211-4. doi: 10.3892/ijo.5.2.211.,,,,,,,,,,,,,,,,,,,,,,,,
21559556,NLM,PubMed-not-MEDLINE,20121002,20190606,1019-6439 (Print) 1019-6439 (Linking),5,1,1994 Jul,IFN-alpha treatment of p190 bcr abl transgenic mice.,47-9,"Interferon-alfa (IFN-alpha) is one of the most effective drugs in the treatment of chronic myeloid leukemia (CML). Recently, IFN-alpha has also been tried in the treatment of Ph-positive acute lymphoid leukemia (ALL), a disease in part sharing the same molecular genetic lesion as CML, namely a BCR/ABL fusion gene. In the present study we analyzed the effect of IFN-alpha (rHuIFN-alphaA/D) on a mouse model for Ph-positive ALL - mice transgenic for the P190 BCR/ABL fusion gene. IFN-alpha treatment was started in the early leukemic phase and continued throughout the course of the disease in eight transgenic animals. No prolonged survival or altered disease pattern with regard to the development of leukemia and/or lymphoma was observed. We conclude that IFN-alpha, at least in a transgenic setting, does not interfere with the leukemogenic process induced by the P190 BCR/ABL fusion gene.","['Haataja, L', 'Fioretos, T', 'Voncken, J', 'Groffen, J', 'Heisterkamp, N']","['Haataja L', 'Fioretos T', 'Voncken J', 'Groffen J', 'Heisterkamp N']","['CHILDRENS HOSP,DEPT PATHOL,MOLEC DIAG SECT,4650 SUNSET BLVD,LOS ANGELES,CA 90027. UNIV LUND HOSP,DEPT CLIN GENET,S-22185 LUND,SWEDEN.']",['eng'],['Journal Article'],Greece,Int J Oncol,International journal of oncology,9306042,1994/07/01 00:00,1994/07/01 00:01,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]']",['10.3892/ijo.5.1.47 [doi]'],ppublish,Int J Oncol. 1994 Jul;5(1):47-9. doi: 10.3892/ijo.5.1.47.,,,,,,,,,,,,,,,,,,,,,,,,
21559555,NLM,PubMed-not-MEDLINE,20121002,20190606,1019-6439 (Print) 1019-6439 (Linking),5,1,1994 Jul,"Effect of Escherichia-coli thioredoxin, a homolog to the adult T-cell leukemia-derived factor, on epstein-barr virus-transformed B-lymphocytes.",41-6,"In order to investigate the role of autocrine growth factors on cell growth of Epstein-Barr virus (EBV)-transformed human B lymphocytes, we have studied the effect of E. coli recombinant thioredoxin (r-thioredoxin), a homologue of adult-T-cell leukemia-derived factor (ADF), on the cell growth of various human lymphoid cell lines, either EBV-positive or -negative. It was found that, in serum-free culture conditions, exogenous r-thioredoxin increases DNA synthesis in lymphoblastoid and Burkitt's cell lines, independently of EBV genome expression; moreover, the combined effect of r-thioredoxin and interleukin-I (IL-1) or IL-6 resulted in a marked increase in DNA synthesis in lymphoblastoid cells, but not in Burkitt's cell lines. Anti r-thioredoxin monoclonal antibodies were developed and used to test the possibility of interfering with r-thioredoxin-induced cell proliferation. It was found that the growth-promoting activity of r-thioredoxin was inhibited by an anti-r-thioredoxin monoclonal antibody in a dose-dependent manner in P3HR-1 cells, a Burkitt's lymphoma cell line harboring an EBNA-2-defective virus, but not in other lymphoid cell lines, thus indicating that target cells may play an active role in antibody-mediated thioredoxin neutralization.","['Bazzichi, A', 'Incaprera, M', 'Garzelli, C']","['Bazzichi A', 'Incaprera M', 'Garzelli C']","['UNIV PISA,DIPARTIMENTO BIOMED,SEZ MICROBIOL,VIA SAN ZENO 35-39,I-56100 PISA,ITALY.']",['eng'],['Journal Article'],Greece,Int J Oncol,International journal of oncology,9306042,1994/07/01 00:00,1994/07/01 00:01,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '1994/07/01 00:00 [pubmed]', '1994/07/01 00:01 [medline]']",['10.3892/ijo.5.1.41 [doi]'],ppublish,Int J Oncol. 1994 Jul;5(1):41-6. doi: 10.3892/ijo.5.1.41.,,,,,,,,,,,,,,,,,,,,,,,,
21559539,NLM,MEDLINE,20110930,20110615,1364-5528 (Electronic) 0003-2654 (Linking),136,13,2011 Jul 7,Living cell-based allergen sensing using a high resolution two-dimensional surface plasmon resonance imager.,2706-11,"Recently, several papers indicated that the surface plasmon resonance (SPR) technique was available to monitor stimulation responses of mammalian cells adhered on sensor chips. On the other hand, the newly developed two-dimensional SPR (2D-SPR) imager system can obtain 2D-images of local refractive index change on the surface of a gold thin film. From these backgrounds, we expected that the 2D-SPR imager can visualize the individual response of many mammalian cells, simultaneously. Here, we report the observation of an allergenic response of a model mast cell, rat basophilic leukaemia cell (RBL-2H3), by using the high magnification 2D-SPR imaging system after pre-sensitization with 0.1 mug mL(-1) anti-dinitrophenyl immunoglobulin E (anti-DNP IgE). The response of the cells was successfully observed as the increment of the SPR signal (reflection intensity) upon stimulation with 0.1-1000 ng mL(-1) DNP-modified bovine serum albumin (DNP-BSA).","['Horii, M', 'Shinohara, H', 'Iribe, Y', 'Suzuki, M']","['Horii M', 'Shinohara H', 'Iribe Y', 'Suzuki M']","['Toyama New Industry Organization, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Analyst,The Analyst,0372652,2011/05/12 06:00,2011/10/01 06:00,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '2011/05/12 06:00 [pubmed]', '2011/10/01 06:00 [medline]']",['10.1039/c0an00874e [doi]'],ppublish,Analyst. 2011 Jul 7;136(13):2706-11. doi: 10.1039/c0an00874e. Epub 2011 May 11.,10.1039/c0an00874e [doi],20110511,['0 (Allergens)'],IM,"['Allergens/*analysis/immunology', 'Animals', 'Cattle', 'Cell Line, Tumor', 'Cell Survival', 'Mast Cells/immunology', 'Molecular Imaging/*methods', 'Rats', 'Surface Plasmon Resonance/*methods']",,,,,,,,,,,,,,,,,,,
21559428,NLM,MEDLINE,20111128,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,4,2011 Apr 29,Do stress responses promote leukemia progression? An animal study suggesting a role for epinephrine and prostaglandin-E2 through reduced NK activity.,e19246,"In leukemia patients, stress and anxiety were suggested to predict poorer prognosis. Oncological patients experience ample physiological and psychological stress, potentially leading to increased secretion of stress factors, including epinephrine, corticosteroids, and prostaglandins. Here we tested whether environmental stress and these stress factors impact survival of leukemia-challenged rats, and studied mediating mechanisms. F344 rats were administered with a miniscule dose of 60 CRNK-16 leukemia cells, and were subjected to intermittent forced swim stress or to administration of physiologically relevant doses of epinephrine, prostaglandin-E(2) or corticosterone. Stress and each stress factor, and/or their combinations, doubled mortality rates when acutely applied simultaneously with, or two or six days after tumor challenge. Acute administration of the beta-adrenergic blocker nadolol diminished the effects of environmental stress, without affecting baseline survival rates. Prolonged beta-adrenergic blockade or COX inhibition (using etodolac) also increased baseline survival rates, possibly by blocking tumor-related or normal levels of catecholamines and prostaglandins. Searching for mediating mechanisms, we found that each of the stress factors transiently suppressed NK activity against CRNK-16 and YAC-1 lines on a per NK basis. In contrast, the direct effects of stress factors on CRNK-16 proliferation, vitality, and VEGF secretion could not explain or even contradicted the in vivo survival findings. Overall, it seems that environmental stress, epinephrine, and prostaglandins promote leukemia progression in rats, potentially through suppressing cell mediated immunity. Thus, patients with hematological malignancies, which often exhibit diminished NK activity, may benefit from extended beta-blockade and COX inhibition.","['Inbar, Shelly', 'Neeman, Elad', 'Avraham, Roi', 'Benish, Marganit', 'Rosenne, Ella', 'Ben-Eliyahu, Shamgar']","['Inbar S', 'Neeman E', 'Avraham R', 'Benish M', 'Rosenne E', 'Ben-Eliyahu S']","['Neuroimmunology Research Unit, Department of Psychology, Tel Aviv University, Tel Aviv, Israel.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,PLoS One,PloS one,101285081,2011/05/12 06:00,2011/12/13 00:00,['2011/05/12 06:00'],"['2010/12/07 00:00 [received]', '2011/03/30 00:00 [accepted]', '2011/05/12 06:00 [entrez]', '2011/05/12 06:00 [pubmed]', '2011/12/13 00:00 [medline]']","['10.1371/journal.pone.0019246 [doi]', 'PONE-D-10-06187 [pii]']",epublish,PLoS One. 2011 Apr 29;6(4):e19246. doi: 10.1371/journal.pone.0019246.,10.1371/journal.pone.0019246 [doi],20110429,"['K7Q1JQR04M (Dinoprostone)', 'W980KJ009P (Corticosterone)', 'YKH834O4BH (Epinephrine)']",IM,"['Animals', 'Cell Line, Tumor', 'Corticosterone/metabolism', 'Dinoprostone/*metabolism', 'Disease Models, Animal', 'Disease Progression', 'Epinephrine/*metabolism', 'Female', 'Killer Cells, Natural/*cytology', 'Leukemia/*pathology', 'Male', 'Rats', 'Rats, Inbred F344', 'Stress, Psychological', 'Swimming', 'Time Factors', 'Treatment Outcome']","['R01 CA125456/CA/NCI NIH HHS/United States', 'CA125456/CA/NCI NIH HHS/United States']",PMC3084788,,,,,,,,,,,,,,,,,
21558999,NLM,MEDLINE,20150115,20181201,1543-0790 (Print) 1543-0790 (Linking),9,4 Suppl 7,2011 Apr,"Recent advances in the treatment of leukemia, lymphoma, and myeloma. [Review of Selected Presentations From the 52nd American Society of Hematology Annual Meeting and Exposition. December 4-7, 2010. Orlando, Florida].",1-24,,"['Cheson, Bruce D']",['Cheson BD'],"['Lombardi Comprehensive Cancer Center, Georgetown University Hospital, Washington, DC 20057, USA.']",['eng'],['Congress'],United States,Clin Adv Hematol Oncol,Clinical advances in hematology & oncology : H&O,101167661,2011/04/01 00:00,2011/04/01 00:01,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '2011/04/01 00:00 [pubmed]', '2011/04/01 00:01 [medline]']",,ppublish,Clin Adv Hematol Oncol. 2011 Apr;9(4 Suppl 7):1-24.,,,,IM,"['Decision Making', 'Humans', 'Leukemia/*therapy', 'Lymphoma/*therapy', 'Multiple Myeloma/*therapy', 'Prognosis']",,,,,,,,,,,,,,,,,,,
21558994,NLM,MEDLINE,20110919,20211020,1543-0790 (Print) 1543-0790 (Linking),9,4,2011 Apr,Novel treatments in acute myeloid leukemia.,333-4,,"['Ravandi, Farhad']",['Ravandi F'],"['Department of Leukemia, Division of Cancer Medicine, The University of Texas MD Anderson Cancer Center, Houston, 77030, USA.']",['eng'],['Interview'],United States,Clin Adv Hematol Oncol,Clinical advances in hematology & oncology : H&O,101167661,2011/05/12 06:00,2011/09/20 06:00,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '2011/05/12 06:00 [pubmed]', '2011/09/20 06:00 [medline]']",,ppublish,Clin Adv Hematol Oncol. 2011 Apr;9(4):333-4.,,,,IM,"['Age Factors', 'Humans', 'Leukemia, Myeloid, Acute/epidemiology/genetics/*therapy', 'Molecular Targeted Therapy']",['P30 CA016672/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,
21558991,NLM,MEDLINE,20110919,20151119,1543-0790 (Print) 1543-0790 (Linking),9,4,2011 Apr,A new formulation of vincristine for acute lymphoblastic leukemia.,314-6,,"['Heffner, Leonard Jr']",['Heffner L Jr'],"['The Emory Clinic, Atlanta, GA 30322, USA.']",['eng'],['Interview'],United States,Clin Adv Hematol Oncol,Clinical advances in hematology & oncology : H&O,101167661,2011/05/12 06:00,2011/09/20 06:00,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '2011/05/12 06:00 [pubmed]', '2011/09/20 06:00 [medline]']",,ppublish,Clin Adv Hematol Oncol. 2011 Apr;9(4):314-6.,,,"['0 (Antineoplastic Agents)', '0 (Liposomes)', '5J49Q6B70F (Vincristine)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Chemistry, Pharmaceutical', 'Humans', 'Injections', 'Liposomes/chemistry/metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Research', 'Vincristine/*therapeutic use']",,,,,,,,,,,,,,,,,,,
21558800,NLM,MEDLINE,20111102,20211203,1551-4005 (Electronic) 1551-4005 (Linking),10,12,2011 Jun 15,NPMc(+) AML cell line shows differential protein expression and lower sensitivity to DNA-damaging and p53-inducing anticancer compounds.,1978-87,"Nucleophosmin (NPM), an important regulator in p53 signaling pathway, is one of the most frequently mutated genes in acute myeloid leukemia (AML). In our previous study, we found that hexamethylene bisacetamide inducible protein 1 (HEXIM1) interacted with both wild-type NPM and cytoplasmic-misallocated NPMc(+) mutant, leading to an increase in RNA polymerase II transcription. Here, we examine the protein expression in wild-type NPM (AML2) and NPMc(+) mutant (AML3) AML cell lines. Significant lower levels of NPM, HEXIM1 and p53 proteins are detected in AML3 cells, and such differential protein expression is not regulated at transcriptional or post-translational stages. Effects of several anticancer compounds on cell viability of AML2 and AML3 cells are investigated. Compared to AML3 cells, AML2 cells are more sensitive to the treatment of the DNA-damaging compounds (doxorubicin and etoposide) and a specific p53-inducing compound (nutlin-3). However, no significant difference in cytotoxicity was observed when AML2 and AML3 cells were treated with cyclin-dependent kinase inhibitors, flavopiridol and CYC202. Our results provide a novel insight into the functional impact of the NPMc(+) mutation on protein expression and the potential approaches for selective therapy of AML.","['Lew, Qiao Jing', 'Tan, Chuan Hao', 'Gurumurthy, Meera', 'Chu, Kai Ling', 'Cheong, Nge', 'Lane, David P', 'Chao, Sheng-Hao']","['Lew QJ', 'Tan CH', 'Gurumurthy M', 'Chu KL', 'Cheong N', 'Lane DP', 'Chao SH']","['Expression Engineering Group, Bioprocessing Technology Institute, Agency for Science, Technology and Research, Singapore.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,2011/05/12 06:00,2011/11/04 06:00,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '2011/05/12 06:00 [pubmed]', '2011/11/04 06:00 [medline]']","['15859 [pii]', '10.4161/cc.10.12.15859 [doi]']",ppublish,Cell Cycle. 2011 Jun 15;10(12):1978-87. doi: 10.4161/cc.10.12.15859. Epub 2011 Jun 15.,,20110615,"['0 (Antineoplastic Agents)', '0 (HEXIM1 protein, human)', '0 (NPM1 protein, human)', '0 (Nuclear Proteins)', '0 (RNA-Binding Proteins)', '0 (Transcription Factors)', '0 (Tumor Suppressor Protein p53)', '117896-08-9 (Nucleophosmin)']",IM,"['Antineoplastic Agents/*pharmacology', 'Cell Line, Tumor', 'DNA Damage/drug effects', 'Drug Resistance, Neoplasm', 'Gene Expression', 'Humans', 'Leukemia, Myeloid, Acute/*pathology', 'Mutation', 'Nuclear Proteins/*analysis', 'Nucleophosmin', 'RNA-Binding Proteins/analysis', 'Transcription Factors', 'Tumor Suppressor Protein p53/*analysis']",,,,,,,,,,,,,,,,,,,
21558754,NLM,MEDLINE,20111115,20211020,1349-2896 (Electronic) 0386-2208 (Linking),87,4,2011,Establishment of the milk-borne transmission as a key factor for the peculiar endemicity of human T-lymphotropic virus type 1 (HTLV-1): the ATL Prevention Program Nagasaki.,152-66,"In late 2010, the nation-wide screening of pregnant women for human T-lymphotropic virus type 1 (HTLV-1) infection was implemented in Japan to prevent milk-borne transmission of HTLV-1. In the late 1970s, recognition of the adult T-cell leukemia (ATL) cluster in Kyushu, Japan, led to the discovery of the first human retrovirus, HTLV-1. In 1980, we started to investigate mother-to-child transmission (MTCT) for explaining the peculiar endemicity of HTLV-1. Retrospective and prospective epidemiological data revealed the MTCT rate at approximately 20%. Cell-mediated transmission of HTLV-1 without prenatal infection suggested a possibility of milk-borne transmission. Common marmosets were successfully infected by oral inoculation of HTLV-1 harboring cells. A prefecture-wide intervention study to refrain from breast-feeding by carrier mothers, the ATL Prevention Program Nagasaki, was commenced in July 1987. It revealed a marked reduction of HTLV-1 MTCT by complete bottle-feeding from 20.3% to 2.5%, and a significantly higher risk of short-term breast-feeding (<6 months) than bottle-feeding (7.4% vs. 2.5%, P < 0.001).","['Hino, Shigeo']",['Hino S'],"['Medical Scanning, Tokyo, Japan. shg.hino@gmail.com']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Proc Jpn Acad Ser B Phys Biol Sci,"Proceedings of the Japan Academy. Series B, Physical and biological sciences",9318162,2011/05/12 06:00,2011/11/16 06:00,['2011/05/12 06:00'],"['2011/05/12 06:00 [entrez]', '2011/05/12 06:00 [pubmed]', '2011/11/16 06:00 [medline]']","['JST.JSTAGE/pjab/87.152 [pii]', '10.2183/pjab.87.152 [doi]']",ppublish,Proc Jpn Acad Ser B Phys Biol Sci. 2011;87(4):152-66. doi: 10.2183/pjab.87.152.,,,,IM,"['Animals', 'Breast Feeding', 'Carrier State', 'Endemic Diseases/*prevention & control', 'Female', 'Human T-lymphotropic virus 1/*physiology', 'Humans', 'Infectious Disease Transmission, Vertical/*prevention & control', 'Japan/epidemiology', 'Leukemia-Lymphoma, Adult T-Cell/diagnosis/*epidemiology/*prevention & control/virology', 'Mass Screening', 'Milk/*virology', 'Pregnancy']",,PMC3149377,,,,,,,,,,,,,,,,,
