PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,CON,PMC,AB,CI,MID,CN,SI,OID,OTO,OT,CIN,TT,IR,FIR,DA,DRDT,CTDT,PB,BTI,CDAT,ISBN,FED,ED,EIN,CP,RIN,ECI,PS,FPS,ROF,GN
21454967,NLM,MEDLINE,20110823,20110701,1421-9662 (Electronic) 0001-5792 (Linking),126,1,2011,Development of polycythemia vera after chemotherapy-induced remission of acute myeloid leukemia: a case report.,52-3,10.1159/000324468 [doi],"['Belotti, A', 'Doni, E', 'Elli, E', 'Rossi, V', 'Pioltelli, P', 'Pogliani, E M']","['Belotti A', 'Doni E', 'Elli E', 'Rossi V', 'Pioltelli P', 'Pogliani EM']","['Division of Hematology, Ospedale San Gerardo, Universita degli Studi Milano Bicocca, Monza, Italy.']",['eng'],"['Case Reports', 'Journal Article']",20110331,Switzerland,Acta Haematol,Acta haematologica,0141053,['0 (Antineoplastic Agents)'],IM,"['Aged', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Polycythemia Vera/*chemically induced', '*Remission Induction']",2011/04/02 06:00,2011/08/24 06:00,['2011/04/02 06:00'],"['2011/01/12 00:00 [received]', '2011/01/20 00:00 [accepted]', '2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/08/24 06:00 [medline]']","['000324468 [pii]', '10.1159/000324468 [doi]']",ppublish,Acta Haematol. 2011;126(1):52-3. doi: 10.1159/000324468. Epub 2011 Mar 31.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21454880,NLM,MEDLINE,20110816,20211020,1592-8721 (Electronic) 0390-6078 (Linking),96,4,2011 Apr,Therapy-related acute promyelocytic leukemia.,493-5,10.3324/haematol.2011.041970 [doi],"['Ravandi, Farhad']",['Ravandi F'],,['eng'],"['Editorial', 'Comment']",,Italy,Haematologica,Haematologica,0417435,"['0 (Arsenicals)', '0 (Oxides)', 'S7V92P67HO (Arsenic Trioxide)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects', 'Arsenic Trioxide', 'Arsenicals/therapeutic use', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy/*etiology', '*Neoplasms, Second Primary/epidemiology', 'Oxides/therapeutic use', 'Radiotherapy, Computer-Assisted/*adverse effects']",2011/04/02 06:00,2011/08/17 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/08/17 06:00 [medline]']","['96/4/493 [pii]', '10.3324/haematol.2011.041970 [doi]']",ppublish,Haematologica. 2011 Apr;96(4):493-5. doi: 10.3324/haematol.2011.041970.,['P30 CA016672/CA/NCI NIH HHS/United States'],['Haematologica. 2011 Apr;96(4):621-5. PMID: 21193421'],PMC3069223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21454879,NLM,MEDLINE,20110816,20211020,1592-8721 (Electronic) 0390-6078 (Linking),96,4,2011 Apr,Acute myeloid leukemia with monosomal karyotype at the far end of the unfavorable prognostic spectrum.,491-3,10.3324/haematol.2011.043208 [doi],"['Breems, Dimitri A', 'Lowenberg, Bob']","['Breems DA', 'Lowenberg B']",,['eng'],"['Comment', 'Editorial']",,Italy,Haematologica,Haematologica,0417435,,IM,"['Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/*diagnosis/*genetics/mortality/therapy', 'Monosomy/*genetics', 'Prognosis']",2011/04/02 06:00,2011/08/17 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/08/17 06:00 [medline]']","['96/4/491 [pii]', '10.3324/haematol.2011.043208 [doi]']",ppublish,Haematologica. 2011 Apr;96(4):491-3. doi: 10.3324/haematol.2011.043208.,,['Haematologica. 2011 Apr;96(4):631-2. PMID: 21330329'],PMC3069222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21454871,NLM,MEDLINE,20110816,20211020,1592-8721 (Electronic) 0390-6078 (Linking),96,4,2011 Apr,The incidence of pleural and pericardial effusion is not higher in patients receiving dasatinib at low doses. (Reply).,e23-4; author reply e25,10.3324/haematol.2011.041319 [doi],"['Visani, Giuseppe', 'Breccia, Massimo', 'Montefusco, Enrico', 'Morra, Enrica', 'Santini, Valeria', 'Isidori, Alessandro']","['Visani G', 'Breccia M', 'Montefusco E', 'Morra E', 'Santini V', 'Isidori A']",,['eng'],"['Comment', 'Letter', ""Research Support, Non-U.S. Gov't""]",,Italy,Haematologica,Haematologica,0417435,"['0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Thiazoles)', 'RBZ1571X5H (Dasatinib)']",IM,"['Dasatinib', 'Humans', 'Incidence', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/*drug therapy', 'Pericardial Effusion/*epidemiology/*etiology', 'Pleural Effusion/*epidemiology/*etiology', 'Protein Kinase Inhibitors/adverse effects/*therapeutic use', 'Pyrimidines/adverse effects/*therapeutic use', 'Thiazoles/adverse effects/*therapeutic use']",2011/04/02 06:00,2011/08/17 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/08/17 06:00 [medline]']","['96/4/e23 [pii]', '10.3324/haematol.2011.041319 [doi]']",ppublish,Haematologica. 2011 Apr;96(4):e23-4; author reply e25. doi: 10.3324/haematol.2011.041319.,,['Haematologica. 2011 Jan;96(1):163-6. PMID: 20934998'],PMC3069247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21454712,NLM,MEDLINE,20110726,20211020,1083-351X (Electronic) 0021-9258 (Linking),286,20,2011 May 20,Noxa/Bcl-2 protein interactions contribute to bortezomib resistance in human lymphoid cells.,17682-92,10.1074/jbc.M110.189092 [doi],"['Smith, Alyson J', 'Dai, Haiming', 'Correia, Cristina', 'Takahashi, Rie', 'Lee, Sun-Hee', 'Schmitz, Ingo', 'Kaufmann, Scott H']","['Smith AJ', 'Dai H', 'Correia C', 'Takahashi R', 'Lee SH', 'Schmitz I', 'Kaufmann SH']","['Department of Molecular Pharmacology, Mayo Clinic, Rochester, Minnesota 55905, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20110322,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (PMAIP1 protein, human)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Pyrazines)', '69G8BD63PP (Bortezomib)']",IM,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/drug effects', 'Boronic Acids/*pharmacology', 'Bortezomib', 'Drug Resistance, Neoplasm/*drug effects', 'Hematologic Neoplasms/genetics/metabolism', 'Humans', 'Jurkat Cells', 'Lymphocytes/*metabolism', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Protein Binding', 'Protein Structure, Tertiary', 'Proto-Oncogene Proteins c-bcl-2/genetics/*metabolism', 'Pyrazines/*pharmacology']",2011/04/02 06:00,2011/07/27 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/07/27 06:00 [medline]']","['S0021-9258(20)51210-6 [pii]', '10.1074/jbc.M110.189092 [doi]']",ppublish,J Biol Chem. 2011 May 20;286(20):17682-92. doi: 10.1074/jbc.M110.189092. Epub 2011 Mar 22.,"['R01 CA069008/CA/NCI NIH HHS/United States', 'T32 GM072474/GM/NIGMS NIH HHS/United States', 'R01 CA69008/CA/NCI NIH HHS/United States']",,PMC3093844,"Previous studies have suggested that the BH3 domain of the proapoptotic Bcl-2 family member Noxa only interacts with the anti-apoptotic proteins Mcl-1 and A1 but not Bcl-2. In view of the similarity of the BH3 binding domains of these anti-apoptotic proteins as well as recent evidence that studies of isolated BH3 domains can potentially underestimate the binding between full-length Bcl-2 family members, we examined the interaction of full-length human Noxa with anti-apoptotic human Bcl-2 family members. Surface plasmon resonance using bacterially expressed proteins demonstrated that Noxa binds with mean dissociation constants (K(D)) of 3.4 nm for Mcl-1, 70 nm for Bcl-x(L), and 250 nm for wild type human Bcl-2, demonstrating selectivity but not absolute specificity of Noxa for Mcl-1. Further analysis showed that the Noxa/Bcl-2 interaction reflected binding between the Noxa BH3 domain and the Bcl-2 BH3 binding groove. Analysis of proteins expressed in vivo demonstrated that Noxa and Bcl-2 can be pulled down together from a variety of cells. Moreover, when compared with wild type Bcl-2, certain lymphoma-derived Bcl-2 mutants bound Noxa up to 20-fold more tightly in vitro, pulled down more Noxa from cells, and protected cells against killing by transfected Noxa to a greater extent. When killing by bortezomib (an agent whose cytotoxicity in Jurkat T-cell leukemia cells is dependent on Noxa) was examined, apoptosis was enhanced by the Bcl-2/Bcl-x(L) antagonist ABT-737 or by Bcl-2 down-regulation and diminished by Bcl-2 overexpression. Collectively, these observations not only establish the ability of Noxa and Bcl-2 to interact but also identify Bcl-2 overexpression as a potential mechanism of bortezomib resistance.","['(c) 2011 by The American Society for Biochemistry and Molecular Biology, Inc.']",,,,,,,,,,,,,,,,,,,,,,,,,,,
21454682,NLM,MEDLINE,20110712,20211020,1083-351X (Electronic) 0021-9258 (Linking),286,19,2011 May 13,"HoxA10 influences protein ubiquitination by activating transcription of ARIH2, the gene encoding Triad1.",16832-45,10.1074/jbc.M110.213975 [doi],"['Wang, Hao', 'Bei, Ling', 'Shah, Chirag A', 'Horvath, Elizabeth', 'Eklund, Elizabeth A']","['Wang H', 'Bei L', 'Shah CA', 'Horvath E', 'Eklund EA']","['Feinberg School of Medicine and Robert H. Lurie Comprehensive Cancer Center, Northwestern University, Chicago, Illinois 60611, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",20110328,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Homeobox A10 Proteins)', '0 (Homeodomain Proteins)', '0 (Ubiquitin)', '140441-81-2 (HOXA10 protein, human)', '164384-16-1 (Hoxa10 protein, mouse)', 'EC 2.3.2.27 (ARIH2 protein, human)', 'EC 2.3.2.27 (Arih2 protein, mouse)', 'EC 2.3.2.27 (Ubiquitin-Protein Ligases)']",IM,"['Animals', 'Base Sequence', 'Bone Marrow Cells/cytology/metabolism', 'Cell Line, Tumor', 'Cell Proliferation', '*Gene Expression Regulation, Neoplastic', 'Homeobox A10 Proteins', 'Homeodomain Proteins/*metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*metabolism', 'Mice', 'Mice, Inbred C57BL', 'Molecular Sequence Data', 'Protein Binding', 'Sequence Homology, Nucleic Acid', 'Transcription, Genetic', 'Ubiquitin/chemistry', 'Ubiquitin-Protein Ligases/*metabolism']",2011/04/02 06:00,2011/07/13 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/07/13 06:00 [medline]']","['S0021-9258(20)51314-8 [pii]', '10.1074/jbc.M110.213975 [doi]']",ppublish,J Biol Chem. 2011 May 13;286(19):16832-45. doi: 10.1074/jbc.M110.213975. Epub 2011 Mar 28.,"['R01 HL087717/HL/NHLBI NIH HHS/United States', 'R01-HL87717/HL/NHLBI NIH HHS/United States']",,PMC3089527,"HoxA10 is a homeodomain transcription factor that is maximally expressed in myeloid progenitor cells. An increase in HoxA10 expression correlates with poor prognosis in human acute myeloid leukemia (AML). Consistent with this scenario, HoxA10 overexpression in murine bone marrow induces a myeloproliferative neoplasm that advances AML over time. Despite the importance of HoxA10 for leukemogenesis, few genuine HoxA10 target genes have been identified. The current study identified ARIH2, the gene encoding Triad1, as a HoxA10 target gene. We identified two distinct HoxA10-binding cis elements in the ARIH2 promoter and determined that HoxA10 activates these cis elements in myeloid cells. Triad1 has E3 ubiquitin ligase activity, and we found that HoxA10-overexpressing myeloid cells exhibited a Triad1-dependent increase in protein ubiquitination. Therefore, these studies have identified the regulation of protein ubiquitination as a novel function of Hox transcription factors. Forced overexpression of Triad1 has been show previously to inhibit colony formation by myeloid progenitor cells. In contrast, HoxA10-overexpressing myeloid progenitor cells exhibited increased proliferation in response to low doses of various cytokines. We found that Triad1 knockdown further increased cytokine-induced proliferation in HoxA10-overexpressing cells. Therefore, these studies have identified a HoxA10 target gene that antagonizes the overall influence of overexpressed HoxA10 on myeloproliferation. This result suggests that the consequences of HoxA10 overexpression reflect a balance between the target genes that facilitate and antagonize proliferation. These results have implications for understanding the mechanisms of leukemogenesis in AML with Hox overexpression.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
21454520,NLM,MEDLINE,20110726,20211020,1083-351X (Electronic) 0021-9258 (Linking),286,20,2011 May 20,Mutant p53 protein is targeted by arsenic for degradation and plays a role in arsenic-mediated growth suppression.,17478-86,10.1074/jbc.M111.231639 [doi],"['Yan, Wensheng', 'Zhang, Yanhong', 'Zhang, Jin', 'Liu, Shou', 'Cho, Seong Jun', 'Chen, Xinbin']","['Yan W', 'Zhang Y', 'Zhang J', 'Liu S', 'Cho SJ', 'Chen X']","['Comparative Oncology Laboratory, University of California, Davis, California 95616, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",20110329,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (Nuclear Proteins)', '0 (Oxides)', '0 (Promyelocytic Leukemia Protein)', '0 (TP53 protein, human)', '0 (Transcription Factors)', '0 (Tumor Suppressor Protein p53)', '0 (Tumor Suppressor Proteins)', '143220-95-5 (PML protein, human)', 'EC 3.4.25.1 (Proteasome Endopeptidase Complex)', 'N712M78A8G (Arsenic)', 'S7V92P67HO (Arsenic Trioxide)']",IM,"['Antineoplastic Agents/*pharmacology', 'Arsenic/pharmacology', 'Arsenic Trioxide', 'Arsenicals/*pharmacology', 'Cell Line, Tumor', 'Cell Survival/drug effects/genetics', 'Humans', 'Neoplasms/drug therapy/genetics/metabolism/pathology', 'Nuclear Proteins/genetics/metabolism', 'Oxidative Stress/drug effects/genetics/immunology', 'Oxides/*pharmacology', 'Promyelocytic Leukemia Protein', 'Proteasome Endopeptidase Complex/genetics/metabolism', 'Transcription Factors/genetics/metabolism', 'Tumor Suppressor Protein p53/genetics/*metabolism', 'Tumor Suppressor Proteins/genetics/metabolism']",2011/04/02 06:00,2011/07/27 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/07/27 06:00 [medline]']","['S0021-9258(20)51187-3 [pii]', '10.1074/jbc.M111.231639 [doi]']",ppublish,J Biol Chem. 2011 May 20;286(20):17478-86. doi: 10.1074/jbc.M111.231639. Epub 2011 Mar 29.,"['P30 CA093373/CA/NCI NIH HHS/United States', 'R01 CA121137/CA/NCI NIH HHS/United States', 'R01CA121137/CA/NCI NIH HHS/United States']",,PMC3093821,"p53 is frequently mutated in tumor cells, and mutant p53 is often highly expressed due to its increased half-life. Thus, targeting mutant p53 for degradation might be explored as a therapeutic strategy to manage tumors that are addicted to mutant p53 for survival. Arsenic trioxide, a drug for patients with acute promyelocytic leukemia, is found to target and degrade a class of proteins with high levels of cysteine residues and vicinal thiol groups, such as promyelocytic leukemia protein (PML) and PML-retinoic acid receptor alpha fusion protein. Interestingly, wild type p53 is accumulated in cells treated with arsenic compounds, presumably due to arsenic-induced oxidative stresses. In this study, we found that wild type p53 is induced by arsenic trioxide in tumor cells, consistent with published studies. In contrast, we found that arsenic compounds degrade both endogenous and ectopically expressed mutant p53 in time- and dose-dependent manners. We also found that arsenic trioxide decreases the stability of mutant p53 protein through a proteasomal pathway, and blockage of mutant p53 nuclear export can alleviate the arsenic-induced mutant p53 degradation. Furthermore, we found that knockdown of endogenous mutant p53 sensitizes, whereas ectopic expression of mutant p53 desensitizes, tumor cells to arsenic treatment. Taken together, we found that mutant p53 is a target of arsenic compounds, which provides an insight into exploring arsenic compound-based therapy for tumors harboring a mutant p53.","['(c) 2011 by The American Society for Biochemistry and Molecular Biology, Inc.']",,,,,,,,,,,,,,,,,,,,,,,,,,,
21454492,NLM,MEDLINE,20110726,20211020,1083-351X (Electronic) 0021-9258 (Linking),286,20,2011 May 20,"Mechanistic insights into specificity, activity, and regulatory elements of the regulator of G-protein signaling (RGS)-containing Rho-specific guanine nucleotide exchange factors (GEFs) p115, PDZ-RhoGEF (PRG), and leukemia-associated RhoGEF (LARG).",18202-12,10.1074/jbc.M111.226431 [doi],"['Jaiswal, Mamta', 'Gremer, Lothar', 'Dvorsky, Radovan', 'Haeusler, Lars Christian', 'Cirstea, Ion C', 'Uhlenbrock, Katharina', 'Ahmadian, Mohammad Reza']","['Jaiswal M', 'Gremer L', 'Dvorsky R', 'Haeusler LC', 'Cirstea IC', 'Uhlenbrock K', 'Ahmadian MR']","['Institut fur Biochemie und Molekularbiologie II, Medizinische Fakultat der Heinrich-Heine-Universitat, 40225 Dusseldorf, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20110328,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"['0 (ARHGEF11 protein, human)', '0 (ARHGEF12 protein, human)', '0 (Guanine Nucleotide Exchange Factors)', '0 (Rho Guanine Nucleotide Exchange Factors)', '124671-05-2 (RHOA protein, human)', 'EC 3.6.5.2 (rhoA GTP-Binding Protein)']",IM,"['Catalysis', 'Guanine Nucleotide Exchange Factors/chemistry/genetics/*metabolism', 'Humans', '*Models, Biological', 'Protein Structure, Tertiary', 'Rho Guanine Nucleotide Exchange Factors', 'rhoA GTP-Binding Protein/chemistry/genetics/*metabolism']",2011/04/02 06:00,2011/07/27 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/07/27 06:00 [medline]']","['S0021-9258(20)51258-1 [pii]', '10.1074/jbc.M111.226431 [doi]']",ppublish,J Biol Chem. 2011 May 20;286(20):18202-12. doi: 10.1074/jbc.M111.226431. Epub 2011 Mar 28.,,,PMC3093892,"The multimodular guanine nucleotide exchange factors (GEFs) of the Dbl family mostly share a tandem Dbl homology (DH) and pleckstrin homology (PH) domain organization. The function of these and other domains in the DH-mediated regulation of the GDP/GTP exchange reaction of the Rho proteins is the subject of intensive investigations. This comparative study presents detailed kinetic data on specificity, activity, and regulation of the catalytic DH domains of four GEFs, namely p115, p190, PDZ-RhoGEF (PRG), and leukemia-associated RhoGEF (LARG). We demonstrate that (i) these GEFs are specific guanine nucleotide exchange factors for the Rho isoforms (RhoA, RhoB, and RhoC) and inactive toward other members of the Rho family, including Rac1, Cdc42, and TC10. (ii) The DH domain of LARG exhibits the highest catalytic activity reported for a Dbl protein till now with a maximal acceleration of the nucleotide exchange by 10(7)-fold, which is at least as efficient as reported for GEFs specific for Ran or the bacterial toxin SopE. (iii) A novel regulatory region at the N terminus of the DH domain is involved in its association with GDP-bound RhoA monitored by a fluorescently labeled RhoA. (iv) The tandem PH domains of p115 and PRG efficiently contribute to the DH-mediated nucleotide exchange reaction. (v) In contrast to the isolated DH or DH-PH domains, a p115 fragment encompassing both the regulator of G-protein signaling and the DH domains revealed a significantly reduced GEF activity, supporting the proposed models of an intramolecular autoinhibitory mechanism for p115-like RhoGEFs.","['(c) 2011 by The American Society for Biochemistry and Molecular Biology, Inc.']",,,,,,,,,,,,,,,,,,,,,,,,,,,
21454468,NLM,MEDLINE,20110602,20210206,1528-0020 (Electronic) 0006-4971 (Linking),117,13,2011 Mar 31,Reduced-intensity versus conventional myeloablative conditioning for patients with Philadelphia chromosome-negative acute lymphoblastic leukemia in complete remission.,3698-9,10.1182/blood-2011-01-329003 [doi],"['Nishiwaki, Satoshi', 'Inamoto, Yoshihiro', 'Imamura, Masahiro', 'Tsurumi, Hisashi', 'Hatanaka, Kazuo', 'Kawa, Keisei', 'Suzuki, Ritsuro', 'Miyamura, Koichi']","['Nishiwaki S', 'Inamoto Y', 'Imamura M', 'Tsurumi H', 'Hatanaka K', 'Kawa K', 'Suzuki R', 'Miyamura K']",,['eng'],"['Evaluation Study', 'Letter', 'Comment']",,United States,Blood,Blood,7603509,['0 (Myeloablative Agonists)'],IM,"['Adult', 'Dose-Response Relationship, Drug', 'Humans', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/mortality/pathology/rehabilitation/*therapy', 'Myeloablative Agonists/*administration & dosage/therapeutic use', 'Recurrence', 'Remission Induction/methods', 'Stem Cell Transplantation/methods', 'Survival Analysis', 'Transplantation Conditioning/*methods', 'Transplantation, Homologous']",2011/04/02 06:00,2011/06/03 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/06/03 06:00 [medline]']","['S0006-4971(20)49412-1 [pii]', '10.1182/blood-2011-01-329003 [doi]']",ppublish,Blood. 2011 Mar 31;117(13):3698-9. doi: 10.1182/blood-2011-01-329003.,,['Blood. 2010 Nov 25;116(22):4439-43. PMID: 20716774'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21454467,NLM,MEDLINE,20110602,20211119,1528-0020 (Electronic) 0006-4971 (Linking),117,13,2011 Mar 31,Differential prognosis impact of IDH2 mutations in cytogenetically normal acute myeloid leukemia.,3696-7,10.1182/blood-2010-11-320937 [doi],"['Boissel, Nicolas', 'Nibourel, Olivier', 'Renneville, Aline', 'Huchette, Pascal', 'Dombret, Herve', 'Preudhomme, Claude']","['Boissel N', 'Nibourel O', 'Renneville A', 'Huchette P', 'Dombret H', 'Preudhomme C']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",,United States,Blood,Blood,7603509,"['EC 1.1.1.41 (IDH2, human)', 'EC 1.1.1.41 (Isocitrate Dehydrogenase)']",IM,"['Clinical Trials as Topic', 'Cytogenetic Analysis', 'Diagnosis, Differential', 'Genetic Testing', 'Humans', 'Isocitrate Dehydrogenase/*genetics', 'Leukemia, Myeloid, Acute/*diagnosis/*genetics/mortality/pathology', '*Mutation/physiology', 'Prognosis', 'Survival Analysis', 'Treatment Outcome']",2011/04/02 06:00,2011/06/03 06:00,['2011/04/02 06:00'],"['2011/04/02 06:00 [entrez]', '2011/04/02 06:00 [pubmed]', '2011/06/03 06:00 [medline]']","['S0006-4971(20)49411-X [pii]', '10.1182/blood-2010-11-320937 [doi]']",ppublish,Blood. 2011 Mar 31;117(13):3696-7. doi: 10.1182/blood-2010-11-320937.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
