PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,RN,PMC,OTO,OT,GR,MID,OID,CI,CIN,TT,CON,CN,IR,FIR,SI,EIN,ROF,UIN,UOF,PS,FPS
21340303,NLM,MEDLINE,20110928,20170225,1678-4391 (Electronic) 1413-8670 (Linking),14,6,2010 Nov-Dec,Endocrine and metabolic disorders in HTLV-1 infected patients.,613-20,S1413-86702010000600011 [pii],"Human T-cell leukemia virus type 1 (HTLV-1) infection is endemic in Japan and several countries in South America, Caribbean and Africa. Endocrine and metabolic disorders have been variably reported to be associated with human T-cell leukemia virus type 1 (HTLV-1) infection. Therefore, the aim of this article was to critically evaluate the current knowledge of the endocrine and metabolic disorders associated with HTLV-1 infection. The literature search used PubMed, Web of Science, and LILACS databases in the past 10 years, utilizing, in various combinations, the following keywords: HTLV-1, adult T-cell leukemia, diabetes mellitus, GLUT-1, osteoporosis, hypercalcemia, autoimmune thyroid disorders, diabetes insipidus, inappropriate antidiuretic hormone secretion; pseudohypoparathyroidism; pseudopseudohypoparathyroidism. The proven endocrine manifestations of the HTLV-1 infection are calcium disorders which occur in some patients with acute HTLV-1/Adult T-cell leukemia/lymphoma. The few reports about thyroid, parathyroid, antidiuretic hormone and diabetes mellitus are insufficient to prove a causal association with HTLV-1 infection. The evidence for an association between endocrine disorders and HTLV-1 infection in general, and in asymptomatic patients is lacking. Given all these uncertainties, the endocrine expression of the HTLV-1 infection composes a promising research line for understanding the pathophysiology of this infection.","['Alves, Cresio', 'Dourado, Luciano']","['Alves C', 'Dourado L']","['Pediatric Endocrinology, Hospital Universitario Prof. Edgard Santos, Faculty of Medicine, Universidade Federal da Bahia, Brazil. cresio.alves@uol.com.br']",['eng'],"['Journal Article', 'Review']",Brazil,Braz J Infect Dis,The Brazilian journal of infectious diseases : an official publication of the Brazilian Society of Infectious Diseases,9812937,IM,"['Endocrine System Diseases/*virology', 'HTLV-I Infections/*complications', 'Humans', 'Metabolic Diseases/*virology']",2011/02/23 06:00,2011/09/29 06:00,['2011/02/23 06:00'],"['2010/03/10 00:00 [received]', '2010/04/28 00:00 [accepted]', '2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/09/29 06:00 [medline]']",['S1413-8670(10)70120-3 [pii]'],ppublish,Braz J Infect Dis. 2010 Nov-Dec;14(6):613-20.,,,,,,,,,,,,,,,,,,,,,,
21340095,NLM,MEDLINE,20110721,20110330,1473-0189 (Electronic) 1473-0189 (Linking),11,8,2011 Apr 21,Tumour cell identification by means of Raman spectroscopy in combination with optical traps and microfluidic environments.,1484-90,10.1039/c0lc00612b [doi],"Raman spectroscopy has been recognized to be a powerful tool for label-free discrimination of cells. Sampling methods are under development to utilize the unique capabilities to identify cells in body fluids such as saliva, urine or blood. The current study applied optical traps in combination with Raman spectroscopy to acquire spectra of single cells in microfluidic glass channels. Optical traps were realized by two 1070 nm single mode fibre lasers. Microflows were controlled by a syringe pump system. A novel microfluidic glass chip was designed to inject single cells, modify the flow speed, accommodate the laser fibres and sort cells after Raman based identification. Whereas the integrated microchip setup used 514 nm for excitation of Raman spectra, a quartz capillary setup excited spectra with 785 nm laser wavelength. Classification models were trained using linear discriminant analysis to differentiate erythrocytes, leukocytes, acute myeloid leukaemia cells (OCI-AML3), and breast tumour cells BT-20 and MCF-7 with accuracies that are comparable with previous Raman experiments of dried cells and fixed cells in a Petri dish. Implementation into microfluidic environments enables a high degree of automation that is required to improve the throughput of the approach for Raman activated cell sorting.","['Dochow, Sebastian', 'Krafft, Christoph', 'Neugebauer, Ute', 'Bocklitz, Thomas', 'Henkel, Thomas', 'Mayer, Gunter', 'Albert, Jens', 'Popp, Jurgen']","['Dochow S', 'Krafft C', 'Neugebauer U', 'Bocklitz T', 'Henkel T', 'Mayer G', 'Albert J', 'Popp J']","['Institute of Photonic Technology, Jena, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Lab Chip,Lab on a chip,101128948,IM,"['Cell Line, Tumor', 'Cell Separation/*instrumentation', 'Glass/chemistry', 'Humans', 'Lasers', 'Microfluidic Analytical Techniques/*instrumentation', '*Optical Tweezers', 'Spectrum Analysis, Raman/*instrumentation']",2011/02/23 06:00,2011/07/22 06:00,['2011/02/23 06:00'],"['2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/07/22 06:00 [medline]']",['10.1039/c0lc00612b [doi]'],ppublish,Lab Chip. 2011 Apr 21;11(8):1484-90. doi: 10.1039/c0lc00612b. Epub 2011 Feb 22.,20110222,,,,,,,,,,,,,,,,,,,,,
21339957,NLM,MEDLINE,20110908,20211020,1660-3397 (Electronic) 1660-3397 (Linking),8,12,2010 Dec 6,Cladielloides A and B: new eunicellin-type diterpenoids from an Indonesian octocoral Cladiella sp.,2936-45,10.3390/md8122936 [doi],"Two new eunicellin-type diterpenoids, cladielloides A (1) and B (2), which were found to possess a 2-hydroxybutyroxy group in their structures, were isolated from an Indonesian octocoral identified as Cladiella sp. The structures of eunicellins 1 and 2 were elucidated by spectroscopic methods. Cladielloide B (2) exhibited moderate cytotoxicity toward CCRF-CEM tumor cells and this compound displayed significant inhibitory effects on superoxide anion generation and elastase release by human neutrophils.","['Chen, Yung-Husan', 'Tai, Chia-Ying', 'Hwang, Tsong-Long', 'Weng, Ching-Feng', 'Li, Jan-Jung', 'Fang, Lee-Shing', 'Wang, Wei-Hsien', 'Wu, Yang-Chang', 'Sung, Ping-Jyun']","['Chen YH', 'Tai CY', 'Hwang TL', 'Weng CF', 'Li JJ', 'Fang LS', 'Wang WH', 'Wu YC', 'Sung PJ']","['National Museum of Marine Biology & Aquarium, Pingtung 944, Taiwan. tony_chen72001@yahoo.com.tw']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Mar Drugs,Marine drugs,101213729,IM,"['Animals', 'Anthozoa/*chemistry', 'Anti-Inflammatory Agents, Non-Steroidal/chemistry/isolation & purification/pharmacology', 'Antineoplastic Agents/*chemistry/isolation & purification/*pharmacology', 'Cell Line, Tumor', 'Diterpenes/*chemistry/isolation & purification/*pharmacology', 'HL-60 Cells', 'Humans', 'Indonesia', 'Leukemia P388', 'Leukocyte Elastase/metabolism', 'Molecular Structure', 'Neutrophils/drug effects/metabolism', 'Superoxides/metabolism']",2011/02/23 06:00,2011/09/09 06:00,['2011/02/23 06:00'],"['2010/10/29 00:00 [received]', '2010/11/25 00:00 [revised]', '2010/12/01 00:00 [accepted]', '2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/09/09 06:00 [medline]']",['10.3390/md8122936 [doi]'],epublish,Mar Drugs. 2010 Dec 6;8(12):2936-45. doi: 10.3390/md8122936.,20101206,"['0 (Anti-Inflammatory Agents, Non-Steroidal)', '0 (Antineoplastic Agents)', '0 (Diterpenes)', '0 (cladielloide A)', '0 (cladielloide B)', '0 (eunicellin)', '11062-77-4 (Superoxides)', 'EC 3.4.21.37 (Leukocyte Elastase)']",PMC3039462,['NOTNLM'],"['cladielloide', 'cytotoxicity', 'elastase', 'eunicellin', 'octocoral', 'superoxide anion']",,,,,,,,,,,,,,,,,
21339937,NLM,PubMed-not-MEDLINE,20110714,20211020,1178-203X (Electronic) 1176-6336 (Linking),7,,2010 Dec 22,Role of rituximab in first-line treatment of chronic lymphocytic leukemia.,1-11,10.2147/TCRM.S5855 [doi],"Chronic lymphocytic leukemia (CLL) is a biologically heterogeneous illness that primarily afflicts the elderly. For many decades, the initial therapy for most patients requiring treatment was limited to single-agent alkylator therapy. Within the last two decades, we have seen remarkable progress in understanding the biology of CLL and the development of more effective treatment strategies that have employed monoclonal antibodies, such as rituximab (anti-CD20). Furthermore, recognition of the synergy between fludarabine, cyclophosphamide, and rituximab (FCR) prompted investigators to explore the clinical activity of FCR in Phase II and III trials in patients with relapsed/refractory or previously untreated CLL. On the basis of these findings, the US Food and Drug Administration (FDA) recently approved rituximab in combination with fludarabine and cyclophosphamide for the treatment of patients with relapsed/refractory or previously untreated CD20-postive CLL. Recent data from a randomized Phase III trial has confirmed improved overall survival with FCR in patients with previously untreated CLL. However, FCR is not for everyone. More tolerable regimens using rituximab for the elderly and less fit patients are being pursued in clinical trials. Recent Phase II trials have explored potentially less myelosuppressive approaches by using lower doses of fludarabine and cyclophosphamide, replacing fludarabine with pentostatin, and combining rituximab with chlorambucil. Furthermore new biomarkers predictive of early disease progression have prompted investigators to explore the benefits of early treatment with rituximab combined with other agents. In addition to the proven utility of rituximab as a frontline agent for CLL, rituximab has a favorable toxicity profile both as a single agent and in combination with chemotherapy. The majority of adverse events are Grade 1 and 2 infusion-related reactions (fevers, chills, and rigors) and occur with the first dose of rituximab. The improved tolerability observed with second and subsequent infusions allows for shorter infusion times. Rituximab's proven activity and favorable toxicity profile has made it an ideal agent for expanding treatment options for patients with CLL, the majority of whom are elderly.","['Bryan, Jeffrey', 'Borthakur, Gautam']","['Bryan J', 'Borthakur G']","['Department of Leukemia, The University of Texas MD Anderson Cancer Center, Houston, TX, USA.']",['eng'],['Journal Article'],New Zealand,Ther Clin Risk Manag,Therapeutics and clinical risk management,101253281,,,2011/02/23 06:00,2011/02/23 06:01,['2011/02/23 06:00'],"['2010/12/22 00:00 [received]', '2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/02/23 06:01 [medline]']",['10.2147/TCRM.S5855 [doi]'],epublish,Ther Clin Risk Manag. 2010 Dec 22;7:1-11. doi: 10.2147/TCRM.S5855.,20101222,,PMC3039008,['NOTNLM'],"['chlorambucil', 'chronic lymphocytic leukemia', 'elderly', 'fludarabine', 'pentostatin', 'rituximab', 'tolerability']",,,,,,,,,,,,,,,,,
21339820,NLM,MEDLINE,20110901,20211020,1932-6203 (Electronic) 1932-6203 (Linking),6,2,2011 Feb 14,Chromosomal minimal critical regions in therapy-related leukemia appear different from those of de novo leukemia by high-resolution aCGH.,e16623,10.1371/journal.pone.0016623 [doi],"Therapy-related acute leukemia (t-AML), is a severe complication of cytotoxic therapy used for primary cancer treatment. The outcome of these patients is poor, compared to people who develop de novo acute leukemia (p-AML). Cytogenetic abnormalities in t-AML are similar to those found in p-AML but present more frequent unfavorable karyotypes depending on the inducting agent. Losses of chromosome 5 or 7 are observed after alkylating agents while balanced translocations are found after topoisomerase II inhibitors. This study compared t-AML to p-AML using high resolution array CGH in order to find copy number abnormalities (CNA) at a higher resolution than conventional cytogenetics. More CNAs were observed in 30 t-AML than in 36 p-AML: 104 CNAs were observed with 63 losses and 41 gains (mean number 3.46 per case) in t-AML, while in p-AML, 69 CNAs were observed with 32 losses and 37 gains (mean number of 1.9 per case). In primary leukemia with a previously ""normal"" karyotype, 18% exhibited a previously undetected CNA, whereas in the (few) t-AML with a normal karyotype, the rate was 50%. Several minimal critical regions (MCRs) were found in t-AML and p-AML. No common MCRs were found in the two groups. In t-AML a 40 kb deleted MCR pointed to RUNX1 on 21q22, a gene coding for a transcription factor implicated in frequent rearrangements in leukemia and in familial thrombocytopenia. In de novo AML, a 1 Mb MCR harboring ERG and ETS2 was observed from patients with complex aCGH profiles. High resolution cytogenomics obtained by aCGH and similar techniques already published allowed us to characterize numerous non random chromosome abnormalities. This work supports the hypothesis that they can be classified into several categories: abnormalities common to all AML; those more frequently found in t-AML and those specifically found in p-AML.","['Itzhar, Nathalie', 'Dessen, Philippe', 'Toujani, Saloua', 'Auger, Nathalie', 'Preudhomme, Claude', 'Richon, Catherine', 'Lazar, Vladimir', 'Saada, Veronique', 'Bennaceur, Anelyse', 'Bourhis, Jean Henri', 'de Botton, Stephane', 'Bernheim, Alain']","['Itzhar N', 'Dessen P', 'Toujani S', 'Auger N', 'Preudhomme C', 'Richon C', 'Lazar V', 'Saada V', 'Bennaceur A', 'Bourhis JH', 'de Botton S', 'Bernheim A']","['Institut de la Sante et de la Reherche Medicale U985, Genetique des tumeurs, Institut Gustave Roussy, Villejuif, France.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,PLoS One,PloS one,101285081,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/adverse effects', 'Cells, Cultured', '*Chromosome Aberrations/chemically induced', '*Comparative Genomic Hybridization/methods', 'DNA Copy Number Variations/physiology', 'Female', 'Gene Dosage/physiology', 'Humans', 'Karyotyping/methods', 'Leukemia/chemically induced/*genetics/pathology', 'Leukemia, Radiation-Induced/genetics/pathology', 'Male', 'Middle Aged', 'Neoplasms, Second Primary/*genetics/pathology', 'Young Adult']",2011/02/23 06:00,2011/09/02 06:00,['2011/02/23 06:00'],"['2010/05/04 00:00 [received]', '2011/01/07 00:00 [accepted]', '2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/09/02 06:00 [medline]']",['10.1371/journal.pone.0016623 [doi]'],epublish,PLoS One. 2011 Feb 14;6(2):e16623. doi: 10.1371/journal.pone.0016623.,20110214,['0 (Antineoplastic Agents)'],PMC3038855,,,,,,,,,,,,,,,,,,,
21339759,NLM,MEDLINE,20110809,20211203,1476-5551 (Electronic) 0887-6924 (Linking),25,5,2011 May,Molecular profiling of chronic myelomonocytic leukemia reveals diverse mutations in >80% of patients with TET2 and EZH2 being of high prognostic relevance.,877-9,10.1038/leu.2011.10 [doi],,"['Grossmann, V', 'Kohlmann, A', 'Eder, C', 'Haferlach, C', 'Kern, W', 'Cross, N C P', 'Haferlach, T', 'Schnittger, S']","['Grossmann V', 'Kohlmann A', 'Eder C', 'Haferlach C', 'Kern W', 'Cross NC', 'Haferlach T', 'Schnittger S']",,['eng'],['Letter'],England,Leukemia,Leukemia,8704895,IM,"['Biomarkers, Tumor/*genetics/metabolism', 'DNA-Binding Proteins/*genetics', 'Dioxygenases', 'Enhancer of Zeste Homolog 2 Protein', '*Gene Expression Profiling', 'Humans', 'Leukemia, Myelomonocytic, Chronic/*genetics', 'Mutation/*genetics', 'Oligonucleotide Array Sequence Analysis', 'Polycomb Repressive Complex 2', 'Prognosis', 'Proto-Oncogene Proteins/*genetics', 'Survival Rate', 'Transcription Factors/*genetics']",2011/02/23 06:00,2011/08/10 06:00,['2011/02/23 06:00'],"['2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/08/10 06:00 [medline]']","['leu201110 [pii]', '10.1038/leu.2011.10 [doi]']",ppublish,Leukemia. 2011 May;25(5):877-9. doi: 10.1038/leu.2011.10. Epub 2011 Feb 22.,20110222,"['0 (Biomarkers, Tumor)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (Transcription Factors)', 'EC 1.13.11.- (Dioxygenases)', 'EC 1.13.11.- (TET2 protein, human)', 'EC 2.1.1.43 (EZH2 protein, human)', 'EC 2.1.1.43 (Enhancer of Zeste Homolog 2 Protein)', 'EC 2.1.1.43 (Polycomb Repressive Complex 2)']",,,,,,,,,,,,,,,,,,,,
21339758,NLM,MEDLINE,20110809,20130304,1476-5551 (Electronic) 0887-6924 (Linking),25,5,2011 May,Factors predicting outcome after unrelated donor stem cell transplantation in primary refractory acute myeloid leukaemia.,808-13,10.1038/leu.2011.13 [doi],"Treatment options for adults with primary refractory acute myeloid leukaemia (PREF AML) are extremely limited. Although sibling allogeneic stem cell transplantation can result in long-term survival, most patients lack a matched family donor and are destined to die of refractory disease. Greater availability of unrelated donors and improvements in supportive care have increased the proportion of patients with PREF AML in whom allografting is technically feasible, but the outcome of unrelated donor transplantation in this population has not been studied. We therefore analysed overall survival in 168 patients with PREF AML, who underwent unrelated donor transplantation between 1994 and 2006. The 5-year overall survival for the whole group was 22%. In multivariate analysis, fewer than three courses of induction chemotherapy, a lower percentage of bone marrow blasts at transplant and patient cytomegalovirus seropositivity were associated with improved survival. This allowed the development of a scoring system that identified four groups with survival rates between 44+/-11% and 0%. This study demonstrates an important role for unrelated donor transplantation in the management of selected patients with PREF AML and confirms the importance of initiating an urgent unrelated donor search in patients with no matched sibling donor, who fail to respond to induction chemotherapy.","['Craddock, C', 'Labopin, M', 'Pillai, S', 'Finke, J', 'Bunjes, D', 'Greinix, H', 'Ehninger, G', 'Steckel, N-K', 'Zander, A R', 'Schwerdtfeger, R', 'Buchholz, S', 'Kolb, H-J', 'Volin, L', 'Fauser, A', 'Polge, E', 'Schmid, C', 'Mohty, M', 'Rocha, V']","['Craddock C', 'Labopin M', 'Pillai S', 'Finke J', 'Bunjes D', 'Greinix H', 'Ehninger G', 'Steckel NK', 'Zander AR', 'Schwerdtfeger R', 'Buchholz S', 'Kolb HJ', 'Volin L', 'Fauser A', 'Polge E', 'Schmid C', 'Mohty M', 'Rocha V']","['Centre for Clinical Haematology, Queen Elizabeth Hospital, Edgbaston, Birmingham, UK. Charles.Craddock@uhb.nhs.uk']",['eng'],['Journal Article'],England,Leukemia,Leukemia,8704895,IM,"['Adolescent', 'Adult', 'Aged', 'Drug Resistance, Neoplasm', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/mortality/*therapy', '*Living Donors', 'Male', 'Middle Aged', 'Remission Induction', 'Salvage Therapy', '*Stem Cell Transplantation', 'Survival Rate', 'Treatment Outcome', 'Young Adult']",2011/02/23 06:00,2011/08/10 06:00,['2011/02/23 06:00'],"['2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/08/10 06:00 [medline]']","['leu201113 [pii]', '10.1038/leu.2011.13 [doi]']",ppublish,Leukemia. 2011 May;25(5):808-13. doi: 10.1038/leu.2011.13. Epub 2011 Feb 22.,20110222,,,,,,,,,,,,,,,,,,,,,
21339757,NLM,MEDLINE,20110809,20151119,1476-5551 (Electronic) 0887-6924 (Linking),25,5,2011 May,Identification of recurring tumor-specific somatic mutations in acute myeloid leukemia by transcriptome sequencing.,821-7,10.1038/leu.2011.19 [doi],"Genetic lesions are crucial for cancer initiation. Recently, whole genome sequencing, using next generation technology, was used as a systematic approach to identify mutations in genomes of various types of tumors including melanoma, lung and breast cancer, as well as acute myeloid leukemia (AML). Here, we identify tumor-specific somatic mutations by sequencing transcriptionally active genes. Mutations were detected by comparing the transcriptome sequence of an AML sample with the corresponding remission sample. Using this approach, we found five non-synonymous mutations specific to the tumor sample. They include a nonsense mutation affecting the RUNX1 gene, which is a known mutational target in AML, and a missense mutation in the putative tumor suppressor gene TLE4, which encodes a RUNX1 interacting protein. Another missense mutation was identified in SHKBP1, which acts downstream of FLT3, a receptor tyrosine kinase mutated in about 30% of AML cases. The frequency of mutations in TLE4 and SHKBP1 in 95 cytogenetically normal AML patients was 2%. Our study demonstrates that whole transcriptome sequencing leads to the rapid detection of recurring point mutations in the coding regions of genes relevant to malignant transformation.","['Greif, P A', 'Eck, S H', 'Konstandin, N P', 'Benet-Pages, A', 'Ksienzyk, B', 'Dufour, A', 'Vetter, A T', 'Popp, H D', 'Lorenz-Depiereux, B', 'Meitinger, T', 'Bohlander, S K', 'Strom, T M']","['Greif PA', 'Eck SH', 'Konstandin NP', 'Benet-Pages A', 'Ksienzyk B', 'Dufour A', 'Vetter AT', 'Popp HD', 'Lorenz-Depiereux B', 'Meitinger T', 'Bohlander SK', 'Strom TM']","['Helmholtz Zentrum Munchen, German Research Center for Environmental Health, Munich, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Aged', 'Biomarkers, Tumor/*genetics/metabolism', 'Bone Marrow/metabolism', '*High-Throughput Nucleotide Sequencing', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Mutation/*genetics', 'Polymorphism, Single Nucleotide', 'RNA, Messenger/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Analysis, RNA']",2011/02/23 06:00,2011/08/10 06:00,['2011/02/23 06:00'],"['2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/08/10 06:00 [medline]']","['leu201119 [pii]', '10.1038/leu.2011.19 [doi]']",ppublish,Leukemia. 2011 May;25(5):821-7. doi: 10.1038/leu.2011.19. Epub 2011 Feb 22.,20110222,"['0 (Biomarkers, Tumor)', '0 (RNA, Messenger)']",,,,,,,,,,,,,,,,,,,,
21339756,NLM,MEDLINE,20110809,20211020,1476-5551 (Electronic) 0887-6924 (Linking),25,5,2011 May,Heterogeneous sensitivity of human acute myeloid leukemia to beta-catenin down-modulation.,770-780,10.1038/leu.2011.17 [doi],"Dysregulation of the Wnt/beta-catenin pathway has been observed in various malignancies, including acute myeloid leukemia (AML), where the overexpression of beta-catenin is an independent adverse prognostic factor. beta-catenin was found upregulated in the vast majority of AML samples and more frequently localized in the nucleus of leukemic stem cells compared with normal bone marrow CD34(+) cells. The knockdown of beta-catenin, using a short hairpin RNA (shRNA) lentiviral approach, accelerates all-trans retinoic acid-induced differentiation and impairs the proliferation of HL60 leukemic cell line. Using in vivo quantitative tracking of these cells, we observed a reduced engraftment potential after xenotransplantation when beta-catenin was silenced. However, when studying primary AML cells, despite effective downregulation of beta-catenin we did not observe any impairment of their in vitro long-term maintenance on MS-5 stroma nor of their engraftment potential in vivo. Altogether, these results show that despite a frequent beta-catenin upregulation in AML, leukemia-initiating cells might not be 'addicted' to this pathway and thus targeted therapy against beta-catenin might not be successful in all patients.","['Gandillet, Arnaud', 'Park, Sophie', 'Lassailly, Francois', 'Griessinger, Emmanuel', 'Vargaftig, Jacques', 'Filby, Andrew', 'Lister, T Andrew', 'Bonnet, Dominique']","['Gandillet A', 'Park S', 'Lassailly F', 'Griessinger E', 'Vargaftig J', 'Filby A', 'Lister TA', 'Bonnet D']","['Cancer Research UK Haematopoietic Stem Cell Group, London Research Institute, Cancer Research UK, London, UK.', 'Cancer Research UK Haematopoietic Stem Cell Group, London Research Institute, Cancer Research UK, London, UK.', 'Cancer Research UK Haematopoietic Stem Cell Group, London Research Institute, Cancer Research UK, London, UK.', 'Cancer Research UK Haematopoietic Stem Cell Group, London Research Institute, Cancer Research UK, London, UK.', 'Cancer Research UK Haematopoietic Stem Cell Group, London Research Institute, Cancer Research UK, London, UK.', 'Flow Cytometry Core Facility, London Research Institute, Cancer Research UK, London, UK.', ""Department of Medical Oncology, St. Bartholomew's hospital, Queen Mary University of London, London, UK."", 'Cancer Research UK Haematopoietic Stem Cell Group, London Research Institute, Cancer Research UK, London, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,IM,"['Adult', 'Aged', 'Animals', 'Apoptosis', 'Blotting, Western', 'Cell Cycle', 'Cell Differentiation', 'Cell Proliferation', 'Down-Regulation', 'Female', 'Flow Cytometry', 'Humans', 'Leukemia, Myeloid, Acute/genetics/*metabolism/*pathology', 'Male', 'Mice', 'Mice, Inbred NOD', 'Mice, SCID', 'Middle Aged', 'RNA, Messenger/genetics', 'RNA, Small Interfering/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Signal Transduction', 'Transplantation, Heterologous', 'Tumor Cells, Cultured', 'beta Catenin/antagonists & inhibitors/genetics/*metabolism']",2011/02/23 06:00,2011/08/10 06:00,['2011/02/23 06:00'],"['2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/08/10 06:00 [medline]']",['10.1038/leu.2011.17 [doi]'],ppublish,Leukemia. 2011 May;25(5):770-780. doi: 10.1038/leu.2011.17. Epub 2011 Feb 22.,20110222,"['0 (RNA, Messenger)', '0 (RNA, Small Interfering)', '0 (beta Catenin)']",PMC4289854,,,['A3589/Cancer Research UK/United Kingdom'],['EMS34044'],['NLM: EMS34044'],,,,,,,,,,,,,,
21339749,NLM,MEDLINE,20111104,20110609,1476-5365 (Electronic) 0268-3369 (Linking),46,6,2011 Jun,Renal failure in multiple myeloma: a medical emergency.,771-83,10.1038/bmt.2011.8 [doi],"Up to 50% of newly diagnosed plasma cell myeloma (PCM) patients can present with renal insufficiency, 20% with severe renal impairment and 10% requiring dialysis. PCM patients account for 2% of the dialysis population, adding 5000 new patients each year worldwide. Dialysis-dependent PCM patients have a 2.77 higher risk of death compared with other dialysis-dependent patients without this diagnosis. Renal failure and especially dialysis dependency is an independent poor prognostic factor in PCM, with the majority unable to achieve dialysis independence. Renal failure in PCM is a medical emergency with the need for rapid accurate diagnosis and prompt institution of supportive care and PCM-directed therapy, because reversal of renal impairment and recovery from dialysis dependency can occur in up to half the patients early in the course of disease and can lead to enormous survival benefits. Recently, the serum free light chain (SFLC) assay and serum beta-2-microglobulin free heavy chain (SFHC) assay have been used to rapidly diagnose PCM in renal failure and provide prognostic information in the setting of renal failure where the Durie-Salmon and International Staging Systems do not. A renal biopsy early in the course of renal impairment can provide diagnostic and prognostic information. A new generation of dialyzers with larger pores than routine dialyzers can be used with extended hemodialysis to remove SFLC more efficiently than plasmapheresis, allowing for greater renal recovery. Novel chemotherapy agents such as bortezomib are associated with an improved renal response and have moved to the front line of therapy. Successful use of high-dose therapy and autologous hematopoietic cell transplantation (HCT) in PCM with renal failure and even dialysis dependency has been associated with late renal recovery and also allowed for the subsequent use of renal transplantation to provide even greater survival benefits. Combined non-myeloablative allogeneic HCT with renal transplant in PCM patients with end-stage renal disease on dialysis is now being studied in prospective trials.","['Wirk, B']",['Wirk B'],"['Bone Marrow Transplant Program, College of Medicine, University of Florida, Gainesville, FL 32610, USA. baldeep.wirk@medicine.ufl.edu']",['eng'],"['Journal Article', 'Review']",England,Bone Marrow Transplant,Bone marrow transplantation,8702459,IM,"['Emergencies', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Kidney Transplantation', 'Leukemia, Plasma Cell', 'Multiple Myeloma/*complications/therapy', 'Renal Dialysis', 'Renal Insufficiency/diagnosis/etiology/*therapy']",2011/02/23 06:00,2011/11/05 06:00,['2011/02/23 06:00'],"['2011/02/23 06:00 [entrez]', '2011/02/23 06:00 [pubmed]', '2011/11/05 06:00 [medline]']","['bmt20118 [pii]', '10.1038/bmt.2011.8 [doi]']",ppublish,Bone Marrow Transplant. 2011 Jun;46(6):771-83. doi: 10.1038/bmt.2011.8. Epub 2011 Feb 21.,20110221,,,,,,,,,,,,,,,,,,,,,
