PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CON,MID,OTO,OT,TT,EIN,RPF,CIN,SI,CN,ROF,IR,FIR,OID,RIN
21227398,NLM,MEDLINE,20111108,20211020,1943-7811 (Electronic) 1525-1578 (Linking),13,1,2011 Jan,"Delta-PCR, A Simple Method to Detect Translocations and Insertion/Deletion Mutations.",85-92,10.1016/j.jmoldx.2010.11.004 [doi],"PCR detection of chromosomal translocations and small insertion/deletion mutations is challenging when potential amplicon size varies greatly. Molecular diagnostic laboratories face such difficulties with the BCL2-IGH translocation in follicular lymphoma and with internal tandem duplication mutation of the FLT3 gene in leukemia, where breakpoints are widely distributed, mutations may be multiple, signal strength is low, and background noise is elevated. We developed a strategy, called Delta-PCR, that ensures PCR specificity and identifies individual breakpoints. Delta-PCR uses two forward primers (external and internal) and a reverse primer simultaneously. The internal primer functions as a probe with a defined distance Delta from the external primer. For follicular lymphoma, we prepared upstream, BCL2-specific primers for potential breakpoints to pair with a common, downstream VLJH primer. Multiplexed PCR amplicons are sized by capillary electrophoresis. Each of the upstream pairs has a defined interval separating them that uniquely identifies the breakpoint. The presence of two amplicons with a defined size difference confirms validity of the rearrangement and identity of the specific breakpoint, even if signal strength is low. By testing 40 follicular lymphoma and 12 control specimens from formalin-fixed, paraffin-embedded (FFPE) blocks, we showed that multiplex Delta-PCR is a simple, sensitive strategy to identify translocations with multiple breakpoints or partners. The strategy was also applied to detect minor leukemic clones with internal tandem duplication mutations and could have broader applications for other insertion/deletion and duplication mutations.","['Copyright A(c) 2011 American Society for Investigative Pathology and the', 'Association for Molecular Pathology. Published by Elsevier Inc. All rights', 'reserved.']","['Lin, Ming-Tseh', 'Tseng, Li-Hui', 'Rich, Roy G', 'Hafez, Michael J', 'Harada, Shuko', 'Murphy, Kathleen M', 'Eshleman, James R', 'Gocke, Christopher D']","['Lin MT', 'Tseng LH', 'Rich RG', 'Hafez MJ', 'Harada S', 'Murphy KM', 'Eshleman JR', 'Gocke CD']","['Department of Pathology, Johns Hopkins University School of Medicine, Baltimore, Maryland, USA.']",['eng'],['R21 HG004315/HG/NHGRI NIH HHS/United States'],['Journal Article'],20101223,United States,J Mol Diagn,The Journal of molecular diagnostics : JMD,100893612,"['0 (Immunoglobulin Heavy Chains)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Chromosome Breakpoints', 'Gene Duplication', 'Genes, bcl-2/genetics', 'Humans', 'Immunoglobulin Heavy Chains/genetics', 'Leukemia, Myeloid, Acute/diagnosis/genetics', 'Lymphoma, Follicular/diagnosis/genetics', '*Polymerase Chain Reaction', 'Sensitivity and Specificity', '*Sequence Deletion', 'Translocation, Genetic/*genetics', 'fms-Like Tyrosine Kinase 3/genetics']",PMC3069866,2011/01/14 06:00,2011/11/09 06:00,['2011/01/14 06:00'],"['2010/06/06 00:00 [received]', '2010/08/16 00:00 [revised]', '2010/08/18 00:00 [accepted]', '2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/11/09 06:00 [medline]']","['S1525-1578(10)00018-8 [pii]', '10.1016/j.jmoldx.2010.11.004 [doi]']",ppublish,J Mol Diagn. 2011 Jan;13(1):85-92. doi: 10.1016/j.jmoldx.2010.11.004. Epub 2010 Dec 23.,,,,,,,,,,,,,,,
21226764,NLM,MEDLINE,20110523,20110318,1600-0609 (Electronic) 0902-4441 (Linking),86,4,2011 Apr,Earlier and commoner: therapy-related leukemia after concurrent chemoradiotherapy for esophageal cancer.,356,10.1111/j.1600-0609.2011.01577.x [doi],,,"['Chang, Hung', 'Liaw, Chuang-Chi', 'Chang, Hsien-Kun']","['Chang H', 'Liaw CC', 'Chang HK']",,['eng'],,"['Comment', 'Letter']",,England,Eur J Haematol,European journal of haematology,8703985,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/adverse effects', 'Burkitt Lymphoma/etiology', 'Combined Modality Therapy/adverse effects', 'Esophageal Neoplasms/*drug therapy/*radiotherapy', 'Herpesvirus 4, Human/pathogenicity', 'Humans', 'Leukemia/*etiology', 'Neoplasms, Second Primary/*etiology', 'Radiotherapy/adverse effects']",,2011/01/14 06:00,2011/05/24 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/05/24 06:00 [medline]']",['10.1111/j.1600-0609.2011.01577.x [doi]'],ppublish,Eur J Haematol. 2011 Apr;86(4):356. doi: 10.1111/j.1600-0609.2011.01577.x.,['Eur J Haematol. 2010 Oct;85(4):353-7. PMID: 20546022'],,,,,,,,,,,,,,
21226763,NLM,MEDLINE,20110523,20110318,1600-0609 (Electronic) 0902-4441 (Linking),86,4,2011 Apr,Chronic eosinophilic leukaemia with ETV6-NTRK3 fusion transcript in an elderly patient affected with pancreatic carcinoma.,352-5,10.1111/j.1600-0609.2011.01576.x [doi],,,"['Forghieri, Fabio', 'Morselli, Monica', 'Potenza, Leonardo', 'Maccaferri, Monica', 'Pedrazzi, Letizia', 'Paolini, Ambra', 'Bonacorsi, Goretta', 'Artusi, Tullio', 'Giacobbi, Francesca', 'Corradini, Giorgia', 'Barozzi, Patrizia', 'Zucchini, Patrizia', 'Marasca, Roberto', 'Narni, Franco', 'Crescenzi, Barbara', 'Mecucci, Cristina', 'Falini, Brunangelo', 'Torelli, Giuseppe', 'Luppi, Mario']","['Forghieri F', 'Morselli M', 'Potenza L', 'Maccaferri M', 'Pedrazzi L', 'Paolini A', 'Bonacorsi G', 'Artusi T', 'Giacobbi F', 'Corradini G', 'Barozzi P', 'Zucchini P', 'Marasca R', 'Narni F', 'Crescenzi B', 'Mecucci C', 'Falini B', 'Torelli G', 'Luppi M']",,['eng'],,"['Case Reports', 'Letter']",,England,Eur J Haematol,European journal of haematology,8703985,"['0 (ETV6-NTRK3 fusion protein, human)', '0 (Oncogene Proteins, Fusion)']",IM,"['Adenocarcinoma/*complications/*genetics', 'Aged', 'Aged, 80 and over', 'Chromosomes, Human, Pair 12/genetics', 'Chromosomes, Human, Pair 15/genetics', 'Chronic Disease', 'Female', 'Humans', 'Hypereosinophilic Syndrome/blood/*complications/*genetics', 'In Situ Hybridization, Fluorescence', 'Oncogene Proteins, Fusion/*genetics', 'Pancreatic Neoplasms/*complications/*genetics', 'Translocation, Genetic']",,2011/01/14 06:00,2011/05/24 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/05/24 06:00 [medline]']",['10.1111/j.1600-0609.2011.01576.x [doi]'],ppublish,Eur J Haematol. 2011 Apr;86(4):352-5. doi: 10.1111/j.1600-0609.2011.01576.x.,,,,,,,,,,,,,,,
21226706,NLM,MEDLINE,20110331,20211020,1365-2141 (Electronic) 0007-1048 (Linking),152,4,2011 Feb,The aryl hydrocarbon receptor (AHR) transcription factor regulates megakaryocytic polyploidization.,469-84,10.1111/j.1365-2141.2010.08548.x [doi],"We propose that the aryl hydrocarbon receptor (AHR) is a novel transcriptional regulator of megakaryopoietic polyploidization. Functional evidence was obtained that AHR impacts in vivo megakaryocytic differentiation and maturation; compared to wild-type mice, AHR-null mice had lower platelet counts, fewer numbers of newly synthesized platelets, increased bleeding times and lower-ploidy megakaryocytes (Mks). AHR mRNA increased 3.6-fold during ex vivo megakaryocytic differentiation, but reduced or remained constant during parallel isogenic granulocytic or erythroid differentiation. We interrogated the role of AHR in megakaryopoiesis using a validated Mk model of megakaryopoiesis, the human megakaryoblastic leukaemia CHRF cell line. Upon CHRF Mk differentiation, AHR mRNA and protein levels increased, AHR protein shifted from the cytoplasm to the nucleus and AHR binding to its consensus DNA binding sequence increased. Protein and mRNA levels of the AHR transcriptional target HES1 also increased. Mk differentiation of CHRF cells where AHR or HES1 was knocked-down using RNAi resulted in lower ploidy distributions and cells that were incapable of reaching ploidy classes >/=16n. AHR knockdown also resulted in increased DNA synthesis of lower ploidy cells, without impacting apoptosis. Together, these data support a role for AHR in Mk polyploidization and in vivo platelet function, and warrant further detailed investigations.",['(c) 2011 Blackwell Publishing Ltd.'],"['Lindsey, Stephan', 'Papoutsakis, Eleftherios T']","['Lindsey S', 'Papoutsakis ET']","['Department of Chemical Engineering and Delaware Biotechnology Institute, University of Delaware, Newark, DE 19711, USA. slindsey@udel.edu']",['eng'],"['F32 HL091620/HL/NHLBI NIH HHS/United States', 'F32 HL091620-02/HL/NHLBI NIH HHS/United States', 'F32HL091620/HL/NHLBI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural']",20110112,England,Br J Haematol,British journal of haematology,0372544,"['0 (RNA, Messenger)', '0 (Receptors, Aryl Hydrocarbon)', '0 (Transcription Factors)']",IM,"['Animals', 'Blood Platelets/physiology', 'Cell Differentiation/genetics', 'Gene Expression Regulation/genetics', 'Gene Knockdown Techniques', 'Humans', 'Megakaryocytes/*cytology/metabolism', 'Mice', 'Mice, Knockout', 'Platelet Count', 'Polyploidy', 'RNA, Messenger/genetics', 'Receptors, Aryl Hydrocarbon/deficiency/*genetics/physiology', 'Reverse Transcriptase Polymerase Chain Reaction/methods', 'Thrombopoiesis/genetics', 'Transcription Factors/*physiology', 'Tumor Cells, Cultured']",PMC3408620,2011/01/14 06:00,2011/04/01 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/04/01 06:00 [medline]']",['10.1111/j.1365-2141.2010.08548.x [doi]'],ppublish,Br J Haematol. 2011 Feb;152(4):469-84. doi: 10.1111/j.1365-2141.2010.08548.x. Epub 2011 Jan 12.,,['NIHMS267431'],,,,,,,,,,,,,
21226671,NLM,MEDLINE,20110620,20190911,1873-5592 (Electronic) 1389-4501 (Linking),12,4,2011 Apr,Dasatinib: an anti-tumour agent via Src inhibition.,563-78,,"Dasatinib (BMS-354825, Sprycel(R)) is an oral, multitargeted inhibitor of receptor tyrosine kinases (RTKs), including BCR-ABL fusion protein, stem cell factor receptor (c-KIT), platelet-derived growth factor receptor (PDGFR), and Src family kinases (SFKs). Several early- and late-phase clinical trials for chronic myelogeneous leukaemia (CML) have demonstrated the direct inhibition of BCR-ABL fusion protein and SFKs, which led to dasatinib approval by the Food and Drug Administration (FDA) and the European Union for the treatment of imatinib-resistant or -intolerant CML, and Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL). Phase III dose-optimization study was performed to compare different regimens, stating that dasatinib 100 mg once daily is now the recommended schedule for patients with chronic CML, and 140 mg once daily for patients with accelerated phase or myeloid or lymphoid blast phase CML, and for patients with Ph+ ALL until progression. Because of the myriad of critical roles of SFKs in biological processes, SFKs inhibition could induce numerous biological responses. Ongoing clinical trials evaluate dasatinib in the treatment of several solid tumours, including gastrointestinal stromal tumours (GIST), prostate cancer, malignant pleural mesothelioma, sarcomas, NSCLC, colorectal cancer, glioblastoma and other haematologic malignancies as multiple myeloma. Ongoing pre-clinical studies assess the therapeutic potential of dasatinib in other solid tumours, including melanoma, head and neck cancer, breast cancer and ovarian cancer. Dasatinib is generally well tolerated. Myelosuppression is the common adverse event which is, however, reversible by dose reduction, discontinuation, or interruption. Thrombocytopenia is more significant than neutropenia and associated to gastrointestinal bleeding and CNS haemorrhage. The most common non-haematologic adverse events include gastrointestinal symptoms (diarrhoea, nausea, vomiting, abdominal pain and anorexia), headache, peripheral edema, and pleural effusion. In respect of these encouraging studies investigating dasatinib in the treatment of patients with GIST, prostate cancer, multiple myeloma and sarcomas, ongoing phase III clinical trials warrant the drug evaluation as recommended agent for the treatment of these diseases, also in association with chemotherapy or other targeted therapies.",,"['Gnoni, Antonio', 'Marech, Ilaria', 'Silvestris, Nicola', 'Vacca, Angelo', 'Lorusso, Vito']","['Gnoni A', 'Marech I', 'Silvestris N', 'Vacca A', 'Lorusso V']","['Medical Oncology Unit, Hospital Vito Fazzi, Lecce, Italy.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,United Arab Emirates,Curr Drug Targets,Current drug targets,100960531,"['0 (Antineoplastic Agents)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Thiazoles)', 'EC 2.7.10.2 (src-Family Kinases)', 'RBZ1571X5H (Dasatinib)']",IM,"['Animals', 'Antineoplastic Agents/adverse effects/pharmacology/therapeutic use', 'Dasatinib', 'Drug Delivery Systems', 'Humans', 'Neoplasms/drug therapy/pathology', 'Protein Kinase Inhibitors/adverse effects/pharmacology/*therapeutic use', 'Pyrimidines/adverse effects/pharmacology/*therapeutic use', 'Thiazoles/adverse effects/pharmacology/*therapeutic use', 'src-Family Kinases/*antagonists & inhibitors']",,2011/01/14 06:00,2011/06/21 06:00,['2011/01/14 06:00'],"['2010/06/02 00:00 [received]', '2010/10/20 00:00 [accepted]', '2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/06/21 06:00 [medline]']","['BSP/CDT/E-Pub/00219aaa [pii]', '10.2174/138945011794751591 [doi]']",ppublish,Curr Drug Targets. 2011 Apr;12(4):563-78. doi: 10.2174/138945011794751591.,,,,,,,,,,,,,,,
21226637,NLM,MEDLINE,20110721,20151119,1744-7666 (Electronic) 1465-6566 (Linking),12,2,2011 Feb,Treatment of chronic myeloid leukemia when imatinib fails.,269-83,10.1517/14656566.2011.533169 [doi],"INTRODUCTION: Imatinib failure represents a major clinical challenge in the management of chronic myeloid leukemia. AREAS COVERED: Definition of failure, its causes, the various approaches to the treatment of imatinib failure such as imatinib dose escalation, second-generation tyrosine kinase inhibitors and stem cell transplantation, and monitoring of residual disease are covered in this review. Selected investigational agents and the management of blast crisis are also reviewed. After reading the review the reader will understand how to manage imatinib failure. EXPERT OPINION: Imatinib failure can be managed in most cases by a careful appraisal of its causes and a rational selection of treatment options.",,"['Hehlmann, Rudiger', 'Jung-Munkwitz, Susanne', 'Saussele, Susanne']","['Hehlmann R', 'Jung-Munkwitz S', 'Saussele S']","['III. Medizinische Klinik, Medizinische Fakultat Mannheim der Universitat Heidelberg, Pettenkoferstrasse 22, Mannheim, Germany. ruediger.hehlmann@medma.uni-heidelberg.de']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,England,Expert Opin Pharmacother,Expert opinion on pharmacotherapy,100897346,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/metabolism/*therapeutic use', 'Benzamides', '*Drug Resistance, Neoplasm', 'Genes, abl/physiology', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Molecular Diagnostic Techniques', 'Mutation', 'Piperazines/metabolism/*therapeutic use', 'Pyrimidines/metabolism/*therapeutic use', 'Treatment Failure']",,2011/01/14 06:00,2011/07/22 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/07/22 06:00 [medline]']",['10.1517/14656566.2011.533169 [doi]'],ppublish,Expert Opin Pharmacother. 2011 Feb;12(2):269-83. doi: 10.1517/14656566.2011.533169.,,,,,,,,,,,,,,,
21226553,NLM,MEDLINE,20110711,20141120,1557-7430 (Electronic) 1044-5498 (Linking),30,5,2011 May,"DNA binding, DNA cleavage, and cytotoxicity studies of two new copper (II) complexes.",287-96,10.1089/dna.2010.1125 [doi],"The DNA binding behavior of [Cu(phen)(phen-dione)Cl]Cl (1) and [Cu(bpy)(phen-dione)Cl]Cl (2) was studied with a series of techniques including UV-vis absorption, circular dichroism spectroscopy, and viscometric methods. Cytotoxicity effect and DNA unwinding properties were also investigated. The results indicate that the Cu(II) complexes interact with calf-thymus DNA by both partially intercalative and hydrogen binding. These findings have been further substantiated by the determination of intrinsic binding constants spectrophotometrically, 12.5 x 10(5) and 5 x 10(5) for 1 and 2, respectively. Our findings suggest that the type of ligands and structure of complexes have marked effect on the binding affinity of complexes involving CT-DNA. Circular dichroism results show that complex 1 causes considerable increase in base stacking of DNA, whereas 2 decreases the base stacking, which is related to more extended aromatic area of 1,10-phenanthroline in 1 rather than bipyridine in 2. Slow decrease in DNA viscosity indicates partially intercalative binding in addition to hydrogen binding on the surface of DNA. The second binding mode was also confirmed by additional tests: interaction in denaturation condition and acidic pH. Also, these new complexes induced cleavage in pUC18 plasmid DNA as indicated in gel electrophoresis and showed excellent antitumor activity against K562 (human chronic myeloid leukemia) cells.",,"['Kashanian, Soheila', 'Khodaei, Mohammad Mehdi', 'Roshanfekr, Hamideh', 'Shahabadi, Nahid', 'Rezvani, Alireza', 'Mansouri, Ghobad']","['Kashanian S', 'Khodaei MM', 'Roshanfekr H', 'Shahabadi N', 'Rezvani A', 'Mansouri G']","['Department of Chemistry, Sensor and Biosensor Research Center, Faculty of Science, Razi University, Kermanshah, Iran. kashanian_s@yahoo.com']",['eng'],,['Journal Article'],20110112,United States,DNA Cell Biol,DNA and cell biology,9004522,"['0 (Antineoplastic Agents)', '0 (Coordination Complexes)', '789U1901C5 (Copper)', '9007-49-2 (DNA)', '91080-16-9 (calf thymus DNA)']",IM,"['Animals', 'Antineoplastic Agents/chemistry/*pharmacology', 'Cattle', 'Cell Proliferation/drug effects', 'Cell Survival/drug effects', 'Circular Dichroism', 'Coordination Complexes/chemistry/*metabolism/*pharmacology', 'Copper/chemistry/*metabolism/*pharmacology', 'DNA/*metabolism', 'DNA Cleavage/*drug effects', 'Humans', 'Hydrogen-Ion Concentration', 'In Vitro Techniques', 'K562 Cells', 'Molecular Structure', 'Nucleic Acid Denaturation', 'Spectrophotometry', 'Viscosity']",,2011/01/14 06:00,2011/07/12 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/07/12 06:00 [medline]']",['10.1089/dna.2010.1125 [doi]'],ppublish,DNA Cell Biol. 2011 May;30(5):287-96. doi: 10.1089/dna.2010.1125. Epub 2011 Jan 12.,,,,,,,,,,,,,,,
21226305,NLM,MEDLINE,20110303,20161125,1343-3490 (Print) 1343-3490 (Linking),48,12,2010 Dec,[Case of bronchiolitis obliterans with rapidly progressive bronchiectasis after allogeneic peripheral blood-derived stem cell transplantation].,960-5,,"A 64-year-old woman underwent allogeneic peripheral blood-derived stem cell transplantation for acute lymphocytic leukemia. She complained of dyspnea and was admitted to hospital 116 days after transplantation. Because of positive serum testing for the Aspergillus antigen and antibody, and ground-glass opacity in the right upper lobe on high-resolution computed tomography (HRCT), we made a diagnosis of pulmonary aspergillosis and administered an antifungal agent. Although tests for the Aspergillus antibody became negative and the ground-glass opacities disappeared, her dyspnea persisted. Progressive bronchiectasis was seen on HRCT, predominantly in the lower lobes. A pulmonary function test showed mixed impairment. We made a diagnosis of bronchiolitis obliterans after chronic graft versus host disease (GVHD). Prednisolone and an increased dose of tacrolimus (FK506) were administered, but type II respiratory failure progressed and she died 2 months after admission. On HRCT, each lobe was graded for bronchiectasis using a scale: 0 = normal, 1 = less than 2 x the diameter of an adjacent pulmonary artery, 2 = 2 - 3 x the diameter of an adjacent pulmonary artery, and 3 = more than 3 x the diameter of an adjacent pulmonary artery. A total score was calculated by summing the scores of all the lobes (maximum 15). In this case, the total score increased rapidly from 0 to 13 in 2 months.",,"['Gotoh, Kenichi', 'Nakamura, Takaya', 'Emura, Masahito', 'Sakai, Shigeki', 'Sugio, Yumi', 'Cho, Takanori']","['Gotoh K', 'Nakamura T', 'Emura M', 'Sakai S', 'Sugio Y', 'Cho T']","['Department of Respiratory Medicine, Kyoto City Hospital.']",['jpn'],,"['Case Reports', 'Journal Article']",,Japan,Nihon Kokyuki Gakkai Zasshi,Nihon Kokyuki Gakkai zasshi = the journal of the Japanese Respiratory Society,9808802,['WM0HAQ4WNM (Tacrolimus)'],IM,"['Bronchiectasis/diagnostic imaging/*etiology', 'Bronchiolitis Obliterans/*diagnosis/drug therapy/*etiology', 'Chronic Disease', 'Disease Progression', 'Fatal Outcome', 'Female', 'Graft vs Host Disease/etiology', 'Humans', 'Middle Aged', 'Peripheral Blood Stem Cell Transplantation/*adverse effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/therapy', 'Respiratory Insufficiency/etiology', 'Severity of Illness Index', 'Tacrolimus/administration & dosage', 'Tomography, X-Ray Computed', 'Transplantation, Homologous']",,2011/01/14 06:00,2011/03/04 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/03/04 06:00 [medline]']",,ppublish,Nihon Kokyuki Gakkai Zasshi. 2010 Dec;48(12):960-5.,,,,,,,,,,,,,,,
21226304,NLM,MEDLINE,20110303,20130823,1343-3490 (Print) 1343-3490 (Linking),48,12,2010 Dec,[Case of precursor T-lymphoblastic lymphoma/leukemia diagnosed by endobronchial ultrasound-guided transbronchial needle aspiration].,955-9,,"An 18-year-old man was found to have a mediastinal tumor on a chest X-ray film. Chest CT demonstrated a large tumor in the anterior mediastinum. Endobronchial ultrasound-guided transbronchial needle aspiration (EBUS-TBNA) of the mediastinal tumor was performed. The microscopic appearance of EBUS-TBNA and bone marrow revealed identical findings. Immunohistochemical staining of these specimens were positive for both CD3 and terminal transferase (TdT). Therefore, a diagnosis of precursor T-lymphoblastic lymphoma/leukemia was made. To the best of our knowledge, there are no studies which report that EBUS-TBNA is useful in the diagnosis of precursor T-lymphoblastic lymphoma/leukemia, but EBUS-TBNA was useful in the diagnosis of mediastinal tumor in this case. It may also be useful in the diagnosis of hilar or mediastinal lymphadenopathy in hematological disorders such as precursor T-lymphoblastic lymphoma/leukemia.",,"['Ohkubo, Risa', 'Izumo, Takehiro', 'Ochiai, Katsunori', 'Kirishi, Saori', 'Tamaoki, Jun', 'Nagai, Atsushi']","['Ohkubo R', 'Izumo T', 'Ochiai K', 'Kirishi S', 'Tamaoki J', 'Nagai A']","[""First Department of Medicine, School of Medicine, Tokyo Women's Medical University.""]",['jpn'],,"['Case Reports', 'English Abstract', 'Journal Article']",,Japan,Nihon Kokyuki Gakkai Zasshi,Nihon Kokyuki Gakkai zasshi = the journal of the Japanese Respiratory Society,9808802,,IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', '*Biopsy, Needle', '*Bronchoscopy', '*Endosonography', 'Humans', 'Male', 'Mediastinal Neoplasms/*diagnosis/drug therapy/*pathology', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/drug therapy/*pathology']",,2011/01/14 06:00,2011/03/04 06:00,['2011/01/14 06:00'],"['2011/01/14 06:00 [entrez]', '2011/01/14 06:00 [pubmed]', '2011/03/04 06:00 [medline]']",,ppublish,Nihon Kokyuki Gakkai Zasshi. 2010 Dec;48(12):955-9.,,,,,,,,,,,,,,,
21225940,NLM,MEDLINE,20110301,20110112,1545-5017 (Electronic) 1545-5009 (Linking),56,3,2011 Mar,Disappearance of minimal residual disease after the early withdrawal of immunosuppressants in a patient with juvenile myelomonocytic leukemia.,501-2,10.1002/pbc.22849 [doi],,,"['Yanagisawa, Ryu', 'Matsuda, Kazuyuki', 'Sakashita, Kazuo', 'Nakazawa, Yozo', 'Tanaka, Miyuki', 'Saito, Shoji', 'Yoshikawa, Kentaro', 'Kamijo, Takehiko', 'Shiohara, Masaaki', 'Koike, Kenichi']","['Yanagisawa R', 'Matsuda K', 'Sakashita K', 'Nakazawa Y', 'Tanaka M', 'Saito S', 'Yoshikawa K', 'Kamijo T', 'Shiohara M', 'Koike K']",,['eng'],,"['Case Reports', 'Letter']",20101111,United States,Pediatr Blood Cancer,Pediatric blood & cancer,101186624,['0 (Immunosuppressive Agents)'],IM,"['Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Combined Modality Therapy', 'Female', 'Graft vs Host Disease/*prevention & control', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunosuppressive Agents/*metabolism/*therapeutic use', 'In Situ Hybridization, Fluorescence', 'Infant', 'Leukemia, Myelomonocytic, Juvenile/genetics/*therapy', 'Neoplasm, Residual/genetics/*prevention & control', 'Remission Induction']",,2011/01/13 06:00,2011/03/02 06:00,['2011/01/13 06:00'],"['2010/08/10 00:00 [received]', '2010/09/01 00:00 [accepted]', '2011/01/13 06:00 [entrez]', '2011/01/13 06:00 [pubmed]', '2011/03/02 06:00 [medline]']",['10.1002/pbc.22849 [doi]'],ppublish,Pediatr Blood Cancer. 2011 Mar;56(3):501-2. doi: 10.1002/pbc.22849. Epub 2010 Nov 11.,,,,,,,,,,,,,,,
