PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,FAU,AU,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,GR,PMC,MID,RPI,CI,SI,CON,CIN,CN,IR,FIR,EIN,TT,COIS,OTO,OT,RIN,OID,DA,DRDT,CTDT,PB,BTI,FED,ED,CDAT
21114536,NLM,MEDLINE,20110331,20131121,1600-0609 (Electronic) 0902-4441 (Linking),86,3,2011 Mar,Reduced-intensity cord blood transplantation without prior remission induction therapy induces durable remission in adult patients with relapsed acute leukemia after the first allogeneic transplantation.,268-71,10.1111/j.1600-0609.2010.01555.x [doi],"['Ueki, Toshimitsu', 'Sumi, Masahiko', 'Sato, Keijiro', 'Shimizu, Ikuo', 'Akahane, Daigo', 'Ueno, Mayumi', 'Ichikawa, Naoaki', 'Nakao, Shinji', 'Kobayashi, Hikaru']","['Ueki T', 'Sumi M', 'Sato K', 'Shimizu I', 'Akahane D', 'Ueno M', 'Ichikawa N', 'Nakao S', 'Kobayashi H']",['eng'],['Letter'],20101222,England,Eur J Haematol,European journal of haematology,8703985,['WM0HAQ4WNM (Tacrolimus)'],IM,"['Adolescent', 'Adult', 'Cord Blood Stem Cell Transplantation/adverse effects/*methods', 'Female', 'Graft vs Host Disease/prevention & control', 'Graft vs Leukemia Effect', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Recurrence', 'Remission Induction', 'Tacrolimus/administration & dosage', 'Transplantation Conditioning/methods', 'Transplantation, Homologous', 'Young Adult']",2010/12/01 06:00,2011/04/01 06:00,['2010/12/01 06:00'],"['2010/12/01 06:00 [entrez]', '2010/12/01 06:00 [pubmed]', '2011/04/01 06:00 [medline]']",['10.1111/j.1600-0609.2010.01555.x [doi]'],ppublish,Eur J Haematol. 2011 Mar;86(3):268-71. doi: 10.1111/j.1600-0609.2010.01555.x. Epub 2010 Dec 22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21113977,NLM,MEDLINE,20110103,20211020,1365-2141 (Electronic) 0007-1048 (Linking),151,5,2010 Dec,Southwest Oncology Group Study S0530: a phase 2 trial of clofarabine and cytarabine for relapsed or refractory acute lymphocytic leukaemia.,430-4,,"['Advani, Anjali S', 'Gundacker, Holly M', 'Sala-Torra, Olga', 'Radich, Jerald P', 'Lai, Raymond', 'Slovak, Marilyn L', 'Lancet, Jeffrey E', 'Coutre, Steve E', 'Stuart, Robert K', 'Mims, Martha P', 'Stiff, Patrick J', 'Appelbaum, Frederick R']","['Advani AS', 'Gundacker HM', 'Sala-Torra O', 'Radich JP', 'Lai R', 'Slovak ML', 'Lancet JE', 'Coutre SE', 'Stuart RK', 'Mims MP', 'Stiff PJ', 'Appelbaum FR']",['eng'],"['Clinical Trial, Phase II', 'Journal Article', 'Multicenter Study', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,England,Br J Haematol,British journal of haematology,0372544,"['0 (Adenine Nucleotides)', '0 (Arabinonucleosides)', '0 (CCN2 protein, human)', '0 (Neoplasm Proteins)', '0 (Nucleoside Transport Proteins)', '04079A1RDZ (Cytarabine)', '139568-91-5 (Connective Tissue Growth Factor)', '762RDY0Y2H (Clofarabine)']",IM,"['Adenine Nucleotides/administration & dosage/adverse effects', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Arabinonucleosides/administration & dosage/adverse effects', 'Clofarabine', 'Connective Tissue Growth Factor/blood', 'Cytarabine/administration & dosage/adverse effects', 'Female', 'Humans', 'Male', 'Neoplasm Proteins/blood', 'Nucleoside Transport Proteins/metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*drug therapy', 'Prognosis', 'Recurrence', 'Treatment Outcome']",2010/11/30 06:00,2011/01/05 06:00,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/01/05 06:00 [medline]']",['10.1111/j.1365-2141.2010.08387.x [doi]'],ppublish,Br J Haematol. 2010 Dec;151(5):430-4. doi: 10.1111/j.1365-2141.2010.08387.x.,"Clofarabine and cytarabine target different steps in DNA synthesis and replication, are synergistic in vivo, and have non-overlapping toxicities, making this combination a potentially promising treatment for acute lymphocytic leukaemia. Thirty-seven patients were treated. The median age was 41 years, 44% of patients were either in >/=2nd relapse or had refractory disease and 59% of patients had poor risk cytogenetics. Six out of 36 patients (17%) achieved a complete remission with or without complete count recovery; median overall survival was 3 months. Nucleoside transporter expression did not predict outcome. This regimen lacked sufficient activity to warrant further testing.","['Hematologic Oncology and Blood Disorders, Taussig Cancer Center, Cleveland Clinic, Cleveland, OH 44195, USA. advania@ccf.org']","['N01 CA004919/CA/NCI NIH HHS/United States', 'U10 CA027057/CA/NCI NIH HHS/United States', 'U10 CA004919/CA/NCI NIH HHS/United States', 'CA073590/CA/NCI NIH HHS/United States', 'CA20319/CA/NCI NIH HHS/United States', 'N01 CA032102/CA/NCI NIH HHS/United States', 'U10 CA032102-32/CA/NCI NIH HHS/United States', 'N01 CA035119/CA/NCI NIH HHS/United States', 'CA11083/CA/NCI NIH HHS/United States', 'N01 CA038926/CA/NCI NIH HHS/United States', 'U10 CA035090/CA/NCI NIH HHS/United States', 'U10 CA058861/CA/NCI NIH HHS/United States', 'CA58861/CA/NCI NIH HHS/United States', 'CA35090/CA/NCI NIH HHS/United States', 'CA76132/CA/NCI NIH HHS/United States', 'CA46282/CA/NCI NIH HHS/United States', 'U10 CA045450/CA/NCI NIH HHS/United States', 'U10 CA032102/CA/NCI NIH HHS/United States', 'U10 CA046282/CA/NCI NIH HHS/United States', 'CA45450/CA/NCI NIH HHS/United States', 'N01 CA027057/CA/NCI NIH HHS/United States', 'U10 CA073590/CA/NCI NIH HHS/United States', 'U10 CA020319/CA/NCI NIH HHS/United States', 'U10 CA038926/CA/NCI NIH HHS/United States', 'U10 CA035119/CA/NCI NIH HHS/United States', 'U10 CA011083/CA/NCI NIH HHS/United States']",PMC3058291,['NIHMS244575'],,,,,,,,,,,,,,,,,,,,,,,
21113769,NLM,MEDLINE,20110125,20150828,0080-0015 (Print) 0080-0015 (Linking),186,,2011,Physical activity and hematological cancer survivorship.,275-304,10.1007/978-3-642-04231-7_12 [doi],"['Battaglini, Claudio L']",['Battaglini CL'],['eng'],"['Journal Article', 'Review']",,Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,,IM,"['*Exercise', 'Hematologic Neoplasms/*mortality/therapy', 'Humans', 'Leukemia/mortality/therapy', 'Lymphoma/mortality/therapy', 'Multiple Myeloma/mortality/therapy', 'Survival Rate']",2010/11/30 06:00,2011/01/28 06:00,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/01/28 06:00 [medline]']",['10.1007/978-3-642-04231-7_12 [doi]'],ppublish,Recent Results Cancer Res. 2011;186:275-304. doi: 10.1007/978-3-642-04231-7_12.,"As previously presented in other chapters of this book, exercise has been shown through large scale studies to be associated with significant improvements in physical and psychological parameters in patients with one of several different tumor types (Galvao et al. 2010; Schwartz and Winters-Stone 2009; Galvao et al. 2009; Segal et al. 2009; Courneya et al. 2008a, b; Ligibel et al. 2008; Courneya et al. 2007; Schmitz et al. 2005a; Fairey et al. 2005). In addition, well conducted systematic reviews of the literature that have explored the effects of exercise before, during, or after anticancer therapy have consistently shown positive outcomes to patients treated for solid tumors. Consistent findings include an overall reduction in fatigue, depression, anxiety, and distress, paired with positive changes in fitness parameters such as aerobic capacity and overall muscle function (Speck et al. 2010; Jones et al. 2006; McNeely et al. 2006; Markes et al. 2006; Schmitz et al. 2005; Galvao and Newton 2005). However, a relative paucity of data exists in the area of exercise interventions for adult patients with hematological malignancies. This chapter reviews the current literature regarding the administration of exercise in adult patients diagnosed with hematological cancer. The few exercise intervention studies conducted in patients with hematological cancers suggest that it is feasible to administer exercise to most patients and that exercise should be considered as an intervention to alleviate treatment-related symptoms. Yet, efficacy along with the appropriate mode, intensity, and frequency of exercise training in different types of hematological cancers are yet to be established and require further research.","['Department of Exercise and Sport Science and Lineberger Comprehensive Cancer Center, University of North Carolina at Chapel Hill, 25 C Fetzer Hall, Chapel Hill, North Carolina 27599-8700, USA. claudio@email.unc.edu']",,,,,,,,,,,,,,,,,,,,,,,,,,
21113763,NLM,MEDLINE,20110125,20150828,0080-0015 (Print) 0080-0015 (Linking),186,,2011,Physical activity and hematologic cancer prevention.,135-58,10.1007/978-3-642-04231-7_6 [doi],"['Pan, Sai Yi', 'Morrison, Howard']","['Pan SY', 'Morrison H']",['eng'],"['Journal Article', 'Review']",,Germany,Recent Results Cancer Res,Recent results in cancer research. Fortschritte der Krebsforschung. Progres dans les recherches sur le cancer,0044671,['0 (Antioxidants)'],IM,"['Antioxidants/metabolism', 'Energy Metabolism', '*Exercise', 'Hematologic Neoplasms/etiology/*prevention & control', 'Humans', 'Immune System/physiology', 'Inflammation/prevention & control', 'Leukemia/prevention & control', 'Lymphoma/prevention & control', 'Multiple Myeloma/prevention & control', 'Risk Factors']",2010/11/30 06:00,2011/01/28 06:00,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/01/28 06:00 [medline]']",['10.1007/978-3-642-04231-7_6 [doi]'],ppublish,Recent Results Cancer Res. 2011;186:135-58. doi: 10.1007/978-3-642-04231-7_6.,"This chapter presents the epidemiologic evidence on the association between physical activity and hematologic cancers and related hypothesized biologic mechanisms. Some preliminary indications of a protective role for physical activity for non-Hodgkin's lymphoma, leukemia, multiple myeloma, and Hodgkin's lymphoma exist, but the level of epidemiologic evidence is still insufficient to make any definitive conclusions regarding the nature of these associations. Several plausible biologic mechanisms underlying the possible associations between physical activity and hematologic cancers have been proposed, including enhancement of immune function, reduction in obesity, improvement of antioxidant defense systems, impact on metabolic hormones, and anti-inflammatory effects. Future studies should improve the estimation of physical activity by using more reliable, valid, and comprehensive measurement tools, assessing all components of physical activity (type, intensity, and time period), and conducting intervention studies to evaluate the effect of physical activity on various biomarkers of cancer in order to provide further insight into plausible biologic mechanisms underlying the possible association between physical activity and hematologic cancers.","['Centre for Chronic Disease Prevention and Control, Public Health Agency of Canada, 785 Carling Avenue, Locator: 6807B, Ottawa, Ontario, K1A 0K9, Canada sai.yi.pan@phac-aspc.gc.ca']",,,,,,,,,,,,,,,,,,,,,,,,,,
21113653,NLM,MEDLINE,20110504,20161125,1573-7225 (Electronic) 0957-5243 (Linking),22,2,2011 Feb,Maternal consumption of coffee and tea during pregnancy and risk of childhood ALL: results from an Australian case-control study.,207-18,10.1007/s10552-010-9688-1 [doi],"['Milne, Elizabeth', 'Royle, Jill A', 'Bennett, Lisa C', 'de Klerk, Nicholas H', 'Bailey, Helen D', 'Bower, Carol', 'Miller, Margaret', 'Attia, John', 'Scott, Rodney J', 'Kirby, Maria', 'Armstrong, Bruce K']","['Milne E', 'Royle JA', 'Bennett LC', 'de Klerk NH', 'Bailey HD', 'Bower C', 'Miller M', 'Attia J', 'Scott RJ', 'Kirby M', 'Armstrong BK']",['eng'],"['Journal Article', 'Meta-Analysis', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",20101127,Netherlands,Cancer Causes Control,Cancer causes & control : CCC,9100846,"['0 (Coffee)', '0 (Tea)']",IM,"['Adult', 'Australia/epidemiology', 'Case-Control Studies', 'Child', 'Child, Preschool', '*Coffee', 'Feeding Behavior/physiology', 'Female', 'Humans', '*Maternal Nutritional Physiological Phenomena', 'Mothers/statistics & numerical data', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/epidemiology/*etiology', 'Pregnancy', 'Prenatal Exposure Delayed Effects/epidemiology/etiology', 'Risk Factors', '*Tea']",2010/11/30 06:00,2011/05/05 06:00,['2010/11/30 06:00'],"['2010/06/29 00:00 [received]', '2010/11/08 00:00 [accepted]', '2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/05/05 06:00 [medline]']",['10.1007/s10552-010-9688-1 [doi]'],ppublish,Cancer Causes Control. 2011 Feb;22(2):207-18. doi: 10.1007/s10552-010-9688-1. Epub 2010 Nov 27.,"OBJECTIVES: To investigate whether maternal coffee and/or tea consumption during the last 6 months of pregnancy was associated with risk of childhood ALL. METHODS: Data on coffee and tea drinking during pregnancy from 337 case mothers and 697 control mothers were analyzed using unconditional multivariable logistic regression. A meta-analysis of our findings with those of previous studies was also conducted. RESULTS: There was little evidence of an overall association between maternal coffee consumption and risk of ALL: OR 0.89 (95% CI 0.61, 1.30), although there was some suggestion that higher levels of intake might increase the risk in children of non-smoking mothers: OR for 2+ cups/day = 1.44 (95% CI 0.85, 2.42); this was supported by our meta-analysis. Risk was also elevated among cases with chromosomal translocations. The overall OR for maternal tea consumption was 0.82 (95% CI 0.56, 1.18), although the OR for T-cell ALL was 0.21 (95% CI 0.08, 0.51). Among ALL cases with translocations, the ORs for tea consumption tended to be elevated: OR = 1.70 (95% CI 0.79-3.68) for 2+ cups/day. CONCLUSIONS: The observed increased risk associated with coffee and tea consumption may be confined to ALL with translocations. These associations should be explored further in large international consortia.","['Telethon Institute for Child Health Research, Centre for Child Health Research, The University of Western Australia, West Perth, Australia. lizm@ichr.uwa.edu.au']",,,,,,,,,,,,,,,,,,,,,,,,,,
21113594,NLM,MEDLINE,20110701,20211203,1432-0584 (Electronic) 0939-5555 (Linking),90,6,2011 Jun,The prognostic significance of TP53 mutations in Chinese patients with chronic lymphocytic leukemia is independent of del(17p13).,709-17,10.1007/s00277-010-1125-8 [doi],"['Dong, Hua-Jie', 'Zhou, Li-Tao', 'Zhu, Dan-Xia', 'Wang, Dong-Mei', 'Fang, Cheng', 'Zhu, Hua-Yuan', 'Zhuang, Yun', 'Miao, Kou-Rong', 'Xu, Wei', 'Li, Jian-Yong']","['Dong HJ', 'Zhou LT', 'Zhu DX', 'Wang DM', 'Fang C', 'Zhu HY', 'Zhuang Y', 'Miao KR', 'Xu W', 'Li JY']",['eng'],"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20101127,Germany,Ann Hematol,Annals of hematology,9107334,['0 (Tumor Suppressor Protein p53)'],IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Asians/*genetics', '*Chromosome Deletion', '*Chromosomes, Human, Pair 17/genetics', 'Cohort Studies', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/ethnology/*genetics/mortality', 'Male', 'Middle Aged', 'Mutation/physiology', 'Prognosis', 'Survival Analysis', 'Tumor Suppressor Protein p53/*genetics']",2010/11/30 06:00,2011/07/02 06:00,['2010/11/30 06:00'],"['2010/09/03 00:00 [received]', '2010/11/16 00:00 [accepted]', '2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/07/02 06:00 [medline]']",['10.1007/s00277-010-1125-8 [doi]'],ppublish,Ann Hematol. 2011 Jun;90(6):709-17. doi: 10.1007/s00277-010-1125-8. Epub 2010 Nov 27.,"The poor prognosis of chronic lymphocytic leukemia (CLL) patients with del(17p13) is well established. Several studies have shown that cases with TP53 mutations and TP53 mutations without del(17p13) may be adverse prognostic factors. We studied 173 well-characterized CLL patients by direct sequencing to detect TP53 mutations (exons 2-11). TP53 mutations were detected in 14.5% (25 of 173) of samples. Most patients with del(17p13) had TP53 mutations (72.2%). Mutations in the absence of del(17p13) were found in 8.3% in our cohort, which were higher than other countries. Compared with cases without TP53 alterations, TP53 mutations and deletions were both associated with advanced stages and unmutated immunoglobulin heavy-chain variable region status. Survival analysis showed that the occurrence of TP53 mutations and del(17p13) were associated with shorter overall survival (OS), treatment-free survival (TFS), and resistance to chemotherapy. TP53 mutations were the variables strongly associated with OS and TFS by multivariate Cox regression analysis. Moreover, we also found that cases with TP53 mutations in the absence of del(17p13) had a similar clinical and biological course and similar poor short OS as cases carrying del(17p13) in Chinese patients with CLL.","['Department of Hematology, The First Affiliated Hospital of Nanjing Medical University, Jiangsu Province Hospital, Nanjing, 210029, China.']",,,,,,,,,,,,,,,,,,,,,,,,,,
21113496,NLM,MEDLINE,20110302,20190813,1573-8221 (Electronic) 0007-4888 (Linking),149,2,2010 Aug,Immunodiagnosis of chronic lymphocytic leukemia using immunological chips.,223-5,,"['Ovchinina, N G', 'Shishkin, A V', 'Nikitin, E N', 'Suhanov, S A', 'Lozhkin, E A']","['Ovchinina NG', 'Shishkin AV', 'Nikitin EN', 'Suhanov SA', 'Lozhkin EA']","['eng', 'rus']","['Comparative Study', 'Journal Article']",,United States,Bull Exp Biol Med,Bulletin of experimental biology and medicine,0372557,"['0 (Antigens, Surface)']",IM,"['*Antigens, Surface', 'Flow Cytometry', 'Humans', 'Immunologic Tests/*methods', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/immunology', 'Microarray Analysis/*methods', 'Statistics, Nonparametric']",2010/11/30 06:00,2011/03/03 06:00,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/03/03 06:00 [medline]']",['10.1007/s10517-010-0912-5 [doi]'],ppublish,Bull Exp Biol Med. 2010 Aug;149(2):223-5. doi: 10.1007/s10517-010-0912-5.,The authors present their experience gained in the first clinical use of immunological biochips for detection of cellular surface antigens for immunomorphological diagnosis of chronic lymphocytic leukemia and compare the results of this method and flow cytofluorometry.,"['Izhevsk State Medical Academy, Russia. ntly.82@mail.ru']",,,,,,,,,,,,,,,,,,,,,,,,,,
21113350,NLM,PubMed-not-MEDLINE,,20211020,1662-6575 (Print) 1662-6575 (Linking),3,3,2010 Nov 8,Vaginal Lymphoma with Immune Thrombocytopenic Purpura: An Unusual Case Report.,397-405,,"['Ikuta, Akiko', 'Tanaka, Yoshiaki', 'Tsuzuki, Tomoko', 'Tsuji, Shoko', 'Sumi, Genichiro', 'Mizokami, Tomomi', 'Sugimoto, Hisahide', 'Shikata, Nobuaki', 'Yasuda, Katsuhiko', 'Horikoshi, Yorihiko', 'Kanzaki, Hideharu']","['Ikuta A', 'Tanaka Y', 'Tsuzuki T', 'Tsuji S', 'Sumi G', 'Mizokami T', 'Sugimoto H', 'Shikata N', 'Yasuda K', 'Horikoshi Y', 'Kanzaki H']",['eng'],['Case Reports'],20101108,Switzerland,Case Rep Oncol,Case reports in oncology,101517601,,,,2010/11/30 06:00,2010/11/30 06:01,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2010/11/30 06:01 [medline]']","['10.1159/000289447 [doi]', '289447 [pii]']",epublish,Case Rep Oncol. 2010 Nov 8;3(3):397-405. doi: 10.1159/000289447.,"The female genital tract is rarely the initial site of presentation in lymphoma or leukemia. We report a case of non-Hodgkin's lymphoma (NHL) presenting initially in the vagina. The patient, a 75-year-old woman, had a history of immune thrombocytopenic purpura (ITP). She presented with a chief complaint of genital bleeding and introital pain. On transvaginal ultrasonography, a vaginal tumor with an irregular wall was detected, and the internal echo showed a hypoechoic and echogenic pattern. Ultrasonography and magnetic resonance imaging (MRI) suggested that the vaginal tumor was likely to be a hematoma or a hemorrhagic tumor arising from ITP. Incision and resection for a hematoma or a hemorrhagic tumor were carried out in response to genital bleeding, introital pain, and pathological diagnosis. Postoperative microscopic examination confirmed that the tumor was a vaginal NHL. The final diagnosis using the Ann Arbor staging system was high-stage (stage IV) NHL. The patient received chemotherapy, and she remains in remission for 42 months after treatment.","['Department of Obstetrics and Gynecology, Kansai Medical University, Moriguchi, Kadoma, Japan.']",,PMC2992428,,,,,,,,,,,,,,,,,,,,,,,,
21113187,NLM,MEDLINE,20120314,20110907,1476-5365 (Electronic) 0268-3369 (Linking),46,9,2011 Sep,Disseminated Scopulariopsis brevicaulis infection in an allogeneic stem cell recipient.,1276-7,10.1038/bmt.2010.292 [doi],"['Vignon, M', 'Michonneau, D', 'Baixench, M-T', 'Al-Nawakil, C', 'Bouscary, D', 'Buzyn, A', 'Salmon, D', 'Paugam, A']","['Vignon M', 'Michonneau D', 'Baixench MT', 'Al-Nawakil C', 'Bouscary D', 'Buzyn A', 'Salmon D', 'Paugam A']",['eng'],['Letter'],20101129,England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,IM,"['Adult', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/surgery', 'Mycoses/*etiology/microbiology', 'Opportunistic Infections/*etiology/microbiology', 'Peripheral Blood Stem Cell Transplantation/*adverse effects', 'Scopulariopsis/*isolation & purification', 'Transplantation, Homologous']",2010/11/30 06:00,2012/03/15 06:00,['2010/11/30 06:00'],"['2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2012/03/15 06:00 [medline]']","['bmt2010292 [pii]', '10.1038/bmt.2010.292 [doi]']",ppublish,Bone Marrow Transplant. 2011 Sep;46(9):1276-7. doi: 10.1038/bmt.2010.292. Epub 2010 Nov 29.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21113167,NLM,MEDLINE,20110118,20211020,1545-9985 (Electronic) 1545-9985 (Linking),17,12,2010 Dec,The histone methyltransferase MLL1 permits the oscillation of circadian gene expression.,1414-21,10.1038/nsmb.1961 [doi],"['Katada, Sayako', 'Sassone-Corsi, Paolo']","['Katada S', 'Sassone-Corsi P']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20101128,United States,Nat Struct Mol Biol,Nature structural & molecular biology,101186374,"['0 (ARNTL Transcription Factors)', '0 (Arntl protein, mouse)', '0 (Histones)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.- (Histone Methyltransferases)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)', 'EC 2.1.1.43 (Kmt2a protein, mouse)', 'EC 2.3.1.48 (CLOCK Proteins)', 'EC 2.3.1.48 (Clock protein, mouse)']",IM,"['ARNTL Transcription Factors/metabolism', 'Acetylation', 'Animals', 'CLOCK Proteins/genetics/metabolism', 'Chromatin Assembly and Disassembly', 'Circadian Rhythm/*genetics', '*Gene Expression Regulation', 'Histone Methyltransferases', 'Histone-Lysine N-Methyltransferase/metabolism/*physiology', 'Histones/*metabolism', 'Humans', 'Methylation', 'Mice', 'Models, Genetic', 'Myeloid-Lymphoid Leukemia Protein/metabolism/*physiology', 'Transcriptional Activation']",2010/11/30 06:00,2011/01/19 06:00,['2010/11/30 06:00'],"['2010/07/17 00:00 [received]', '2010/10/25 00:00 [accepted]', '2010/11/30 06:00 [entrez]', '2010/11/30 06:00 [pubmed]', '2011/01/19 06:00 [medline]']","['nsmb.1961 [pii]', '10.1038/nsmb.1961 [doi]']",ppublish,Nat Struct Mol Biol. 2010 Dec;17(12):1414-21. doi: 10.1038/nsmb.1961. Epub 2010 Nov 28.,"The classical view of the molecular clock is based on interlocked transcriptional-translational feedback loops. Because a substantial fraction of the mammalian genome is expressed in a circadian manner, chromatin remodeling has been proposed to be crucial in clock function. Here we show that Lys4 (K4) trimethylation of histone H3 is rhythmic and follows the same profile as previously described H3 acetylation on circadian promoters. MLL1, a mammalian homolog of Drosophila trithorax, is an H3K4-specific methyltransferase implicated in transcriptional control. We demonstrate that MLL1 is essential for circadian transcription and cyclic H3K4 trimethylation. MLL1 is in a complex with CLOCK-BMAL1 and contributes to its rhythmic recruitment to circadian promoters and to H3 acetylation. Yet MLL1 fails to interact with CLOCKDelta19, providing an explanation for this mutation's dominant negative phenotype. Our results favor a scenario in which H3K4 trimethylation by MLL1 is required to establish a permissive chromatin state for circadian transcription.","['Unite 904 INSERM-Epigenetic Control and Neuronal Plasticity, Department of Pharmacology, School of Medicine, University of California, Irvine, Irvine, California, USA.']","['R01 GM081634/GM/NIGMS NIH HHS/United States', 'R21 AG033888/AG/NIA NIH HHS/United States', 'R21-AG033888/AG/NIA NIH HHS/United States', 'R01-GM081634/GM/NIGMS NIH HHS/United States']",PMC6501791,['NIHMS887434'],,,,,,,,,,,,,,,,,,,,,,,
