PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,CON,GR,PMC,CI,CIN,RF,MID,CN,SI,DA,DRDT,CTDT,PB,BTI,OTO,OT,CDAT,GN,EIN,IR,FIR,RPI,FED,ED,UIN,OID,RIN,ROF,COIS,RPF
20652838,NLM,MEDLINE,20120322,20211020,1559-131X (Electronic) 1357-0560 (Linking),28,4,2011 Dec,Irreversible marrow aplasia after single course of 2-chlorodeoxyadenosine for hairy cell leukaemia preceding by A pandemic 2009-H1N1-associated pneumonia.,1601-3,10.1007/s12032-010-9626-9 [doi],"Hairy cell leukaemia (HCL) is a rare, indolent lymphoproliferative disorder characterized by varying degrees of cytopenias and the presence of malignant B cells with cytoplasmic projections. Cladribine (2-chlorodeoxyadenosine, 2-CdA) is an adenosine deaminase-resistant purine analogue and has been shown to be very effective as a first-line therapeutic option for HCL. The therapy with 2-CdA is found to be well tolerated with a paucity of toxicity. The common side effects include immunosuppression and reversible myelosuppression. We report a HCL patient with A pandemic 2009-H1N1-associated pneumonia who fully recovered after oseltamivir and antibiotics. The subsequent treatment with single 5-day course of 2-CdA resulted in persistent marrow aplasia with fatal systemic aspergillosis.","['Helbig, Grzegorz', 'Wozniczka, Krzysztof', 'Wieczorkiewicz, Agata', 'Pajak, Jacek', 'Kyrcz-Krzemien, Slawomira']","['Helbig G', 'Wozniczka K', 'Wieczorkiewicz A', 'Pajak J', 'Kyrcz-Krzemien S']","['Department of Haematology and Bone Marrow Transplantation, Silesian Medical University, Dabrowski Street 25, 40-032, Katowice, Poland. ghelbig@o2.pl']",['eng'],"['Case Reports', 'Journal Article']",20100723,United States,Med Oncol,"Medical oncology (Northwood, London, England)",9435512,"['0 (Anti-Infective Agents)', '0 (Antineoplastic Agents)', '0 (Antiviral Agents)', '20O93L6F9H (Oseltamivir)', '47M74X9YT5 (Cladribine)', '5E8K9I0O4U (Ciprofloxacin)', '804826J2HU (Amoxicillin)']",IM,"['Amoxicillin/therapeutic use', 'Anemia, Aplastic/*chemically induced/pathology', 'Anti-Infective Agents/therapeutic use', 'Antineoplastic Agents/*adverse effects', 'Antiviral Agents/therapeutic use', 'Aspergillosis/complications', 'Bone Marrow/drug effects/pathology', 'Ciprofloxacin/therapeutic use', 'Cladribine/*adverse effects', 'Humans', '*Influenza A Virus, H1N1 Subtype', 'Influenza, Human/*complications/drug therapy/epidemiology', 'Leukemia, Hairy Cell/*complications/*drug therapy', 'Male', 'Oseltamivir/therapeutic use', 'Pancytopenia/etiology', 'Pandemics', 'Pneumonia, Viral/complications/drug therapy/epidemiology', 'Young Adult']",2010/07/24 06:00,2012/03/23 06:00,['2010/07/24 06:00'],"['2010/06/29 00:00 [received]', '2010/07/05 00:00 [accepted]', '2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2012/03/23 06:00 [medline]']",['10.1007/s12032-010-9626-9 [doi]'],ppublish,Med Oncol. 2011 Dec;28(4):1601-3. doi: 10.1007/s12032-010-9626-9. Epub 2010 Jul 23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20652783,NLM,MEDLINE,20110104,20161021,0158-9938 (Print) 0158-9938 (Linking),33,3,2010 Sep,Modelling of tumour repopulation after chemotherapy.,265-70,10.1007/s13246-010-0026-4 [doi],"While repopulation is a clinically observed phenomenon after radiotherapy, repopulation of tumour cells between cycles of chemotherapy is usually a neglected factor in cancer treatment. As the effect of both radiotherapy and chemotherapy on tumour cells is the same (attack on cancer cells), the response of the tumour to injury and cell loss from the two treatment methods should be similar, including repopulation. Cell recruitment is known to be a possible mechanism responsible for tumour regrowth after radiotherapy. The literature data regarding mechanisms of repopulation after chemotherapy is very limited. The current paper employs a Monte Carlo modelling approach to implement the pharmacokinetics of a widely used drug (cisplatin) into a previously developed virtual head and neck tumour and to study the effect of cisplatin on tumour regression and regrowth during treatment. The mechanism of cell recruitment was modelled by releasing various percentages (5-50%) of quiescent cells into the mitotic cycle after each chemotherapy cell kill. The onset of repopulation was also simulated, with both immediate onset and late onset of cell recruitment. Repopulation during chemotherapy, if occurring, is a highly potent phenomenon, similar to drug resistance, therefore it should not be neglected during treatment.","['Marcu, Loredana', 'Bezak, Eva']","['Marcu L', 'Bezak E']","['School of Chemistry and Physics, University of Adelaide, Adelaide, Australia. loredana.marcu@fizicaoradea.ro']",['eng'],['Journal Article'],20100723,Netherlands,Australas Phys Eng Sci Med,Australasian physical & engineering sciences in medicine,8208130,"['0 (Antineoplastic Agents)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Animals', 'Antineoplastic Agents/pharmacokinetics/therapeutic use', 'Cell Cycle/drug effects', 'Cell Death/drug effects', 'Cell Line, Tumor', 'Cisplatin/pharmacokinetics/therapeutic use', 'Head and Neck Neoplasms/drug therapy/pathology', 'Humans', 'Leukemia L1210/drug therapy/pathology', 'Mice', '*Models, Biological', 'Monte Carlo Method', 'Neoplasms, Experimental/*drug therapy/*pathology']",2010/07/24 06:00,2011/01/05 06:00,['2010/07/24 06:00'],"['2010/03/10 00:00 [received]', '2010/07/12 00:00 [accepted]', '2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2011/01/05 06:00 [medline]']",['10.1007/s13246-010-0026-4 [doi]'],ppublish,Australas Phys Eng Sci Med. 2010 Sep;33(3):265-70. doi: 10.1007/s13246-010-0026-4. Epub 2010 Jul 23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20652568,NLM,MEDLINE,20110516,20181201,1432-0584 (Electronic) 0939-5555 (Linking),90,4,2011 Apr,Secondary resistance to sorafenib in two patients with acute myeloid leukemia (AML) harboring FLT3-ITD mutations.,473-5,10.1007/s00277-010-1027-9 [doi],,"['Scholl, Sebastian', 'Spies-Weisshart, Baerbel', 'Klink, Anne', 'Muegge, Lars-Olof', 'Fricke, Hans-Joerg', 'Hochhaus, Andreas']","['Scholl S', 'Spies-Weisshart B', 'Klink A', 'Muegge LO', 'Fricke HJ', 'Hochhaus A']",,['eng'],"['Case Reports', 'Letter']",20100721,Germany,Ann Hematol,Annals of hematology,9107334,"['0 (Antineoplastic Agents)', '0 (Benzenesulfonates)', '0 (Phenylurea Compounds)', '0 (Pyridines)', '25X51I8RD4 (Niacinamide)', '9ZOQ3TZI87 (Sorafenib)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Aged', 'Antineoplastic Agents/*therapeutic use', 'Benzenesulfonates/*therapeutic use', 'Drug Resistance, Neoplasm/*genetics', 'Fatal Outcome', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy/*genetics', 'Male', 'Middle Aged', 'Niacinamide/analogs & derivatives', 'Phenylurea Compounds', 'Pyridines/*therapeutic use', 'Sorafenib', 'fms-Like Tyrosine Kinase 3/*genetics']",2010/07/24 06:00,2011/05/17 06:00,['2010/07/24 06:00'],"['2010/03/04 00:00 [received]', '2010/06/30 00:00 [accepted]', '2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2011/05/17 06:00 [medline]']",['10.1007/s00277-010-1027-9 [doi]'],ppublish,Ann Hematol. 2011 Apr;90(4):473-5. doi: 10.1007/s00277-010-1027-9. Epub 2010 Jul 21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20652470,NLM,MEDLINE,20101116,20211020,1138-7548 (Print) 1138-7548 (Linking),66,3,2010 Sep,Targeting of histamine producing cells by EGCG: a green dart against inflammation?,265-70,10.1007/s13105-010-0033-7 [doi],"The human body is made of some 250 different cell types. From them, only a small subset of cell types is able to produce histamine. They include some neurons, enterochromaffin-like cells, gastrin-containing cells, mast cells, basophils, and monocytes/macrophages, among others. In spite of the reduced number of these histamine-producing cell types, they are involved in very different physiological processes. Their deregulation is related with many highly prevalent, as well as emergent and rare diseases, mainly those described as inflammation-dependent pathologies, including mastocytosis, basophilic leukemia, gastric ulcer, Crohn disease, and other inflammatory bowel diseases. Furthermore, oncogenic transformation switches some non-histamine-producing cells to a histamine producing phenotype. This is the case of melanoma, small cell lung carcinoma, and several types of neuroendocrine tumors. The bioactive compound epigallocatechin-3-gallate (EGCG), a major component of green tea, has been shown to target histamine-producing cells producing great alterations in their behavior, with relevant effects on their proliferative potential, as well as their adhesion, migration, and invasion potentials. In fact, EGCG has been shown to have potent anti-inflammatory, anti-tumoral, and anti-angiogenic effects and to be a potent inhibitor of the histamine-producing enzyme, histidine decarboxylase. Herein, we review the many specific effects of EGCG on concrete molecular targets of histamine-producing cells and discuss the relevance of these data to support the potential therapeutic interest of this compound to treat inflammation-dependent diseases.","['Melgarejo, Esther', 'Medina, Miguel Angel', 'Sanchez-Jimenez, Francisca', 'Urdiales, Jose Luis']","['Melgarejo E', 'Medina MA', 'Sanchez-Jimenez F', 'Urdiales JL']","['Departamento de Biologia Molecular y Bioquimica, Facultad de Ciencias, Universidad de Malaga and CIBER de Enfermedades Raras (CIBERER), Malaga, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20100722,Spain,J Physiol Biochem,Journal of physiology and biochemistry,9812509,"['0 (Anti-Inflammatory Agents)', '0 (Tea)', '820484N8I3 (Histamine)', '8R1V1STN48 (Catechin)', 'BQM438CTEL (epigallocatechin gallate)']",IM,"['Anti-Inflammatory Agents/metabolism', 'Basophils/drug effects', 'Catechin/*analogs & derivatives/pharmacology', 'Histamine/*biosynthesis', 'Humans', 'Inflammation/*drug therapy', 'Macrophages/drug effects', 'Megakaryocytes/drug effects', 'Monocytes/drug effects', 'Neurons/drug effects', 'Tea/chemistry']",2010/07/24 06:00,2010/11/17 06:00,['2010/07/24 06:00'],"['2010/04/14 00:00 [received]', '2010/06/30 00:00 [accepted]', '2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2010/11/17 06:00 [medline]']",['10.1007/s13105-010-0033-7 [doi]'],ppublish,J Physiol Biochem. 2010 Sep;66(3):265-70. doi: 10.1007/s13105-010-0033-7. Epub 2010 Jul 22.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20652454,NLM,MEDLINE,20110112,20211020,1558-822X (Electronic) 1558-8211 (Linking),5,4,2010 Oct,Prognostic factors in pediatric acute myeloid leukemia.,200-6,10.1007/s11899-010-0060-z [doi],"Acute myeloid leukemia (AML), a heterogeneous group of diseases with variable responses to the same therapy, comprises nearly a quarter of childhood acute leukemias. Although historically very few prognostic markers have been incorporated into therapeutic decision making in AML, recent advances in technology have enabled identification of numerous factors associated with disease outcome. This review provides a detailed analysis of most clinically relevant factors associated with disease outcome in childhood AML.","['Radhi, Mohamed', 'Meshinchi, Soheil', 'Gamis, Alan']","['Radhi M', 'Meshinchi S', 'Gamis A']","[""Children's Mercy Hospital, Kansas City, MO 64108, USA. maradhi@cmh.edu""]",['eng'],"['Journal Article', 'Review']",,United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Biomarkers, Tumor)']",IM,"['Age Factors', 'Biomarkers, Tumor', 'Body Mass Index', 'Child', 'Cytogenetics', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis/genetics/therapy', 'Polymorphism, Genetic', 'Prognosis', 'Risk Factors', 'Sex Factors']",2010/07/24 06:00,2011/01/13 06:00,['2010/07/24 06:00'],"['2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2011/01/13 06:00 [medline]']",['10.1007/s11899-010-0060-z [doi]'],ppublish,Curr Hematol Malig Rep. 2010 Oct;5(4):200-6. doi: 10.1007/s11899-010-0060-z.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20652453,NLM,MEDLINE,20110112,20211020,1558-822X (Electronic) 1558-8211 (Linking),5,4,2010 Oct,Changing paradigm of the treatment of Philadelphia chromosome-positive acute lymphoblastic leukemia.,213-21,10.1007/s11899-010-0061-y [doi],"In the pre-imatinib era, the treatment outcome of patients with Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph(+) ALL) was dismal. Complete remission was generally achieved only in about 50% to 60% of patients, and allogeneic hematopoietic stem cell transplantation (allo-HSCT), when feasible in younger patients, was virtually the sole curative modality. Imatinib has changed the situation dramatically, however, in combination with conventional chemotherapy or with corticosteroid alone, producing about 95% complete remission and thus increasing the number of patients undergoing allo-HSCT. Currently, the overall survival of patients who have undergone allo-HSCT exceeds 50%, and a considerable proportion of patients for whom allo-HSCT is not feasible are predictably curable. The next question is how to prevent relapse, which is observed not only in more than half of patients for whom allo-HSCT is not feasible but also in a considerable number of patients after allo-HSCT. Thus, improvement of postremission therapy is crucial. Whether intensive chemotherapy with currently available cytotoxic drugs contributes to the prevention of relapse is questionable, because intensive chemotherapy alone in the pre-imatinib era nearly always failed to cure this disease. Promising partners to be combined with imatinib or with a second-generation tyrosine kinase inhibitor (TKI) will be corticosteroids and vincristine. New TKIs such as dasatinib should be incorporated into the early phase of postremission therapy. Recognizing the small number of patients with Ph(+) ALL, intergroup or international studies are necessary to develop the best postremission therapy. In the near future, it is hoped that Ph(+) ALL will become one of the leukemias for which allo-HSCT is offered only for relapsed or extremely high-risk patients.","['Ohno, Ryuzo']",['Ohno R'],"['Aichi Cancer Center, Kanokoden, Chikusaku, Nagoya, Japan. ohnoryu@asu.aasa.ac.jp']",['eng'],"['Journal Article', 'Review']",,United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '5J49Q6B70F (Vincristine)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adrenal Cortex Hormones/therapeutic use', 'Antineoplastic Agents/therapeutic use', 'Benzamides', 'Combined Modality Therapy', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Imatinib Mesylate', 'Piperazines/therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*therapy', 'Protein Kinase Inhibitors/therapeutic use', 'Pyrimidines/therapeutic use', 'Vincristine/therapeutic use']",2010/07/24 06:00,2011/01/13 06:00,['2010/07/24 06:00'],"['2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2011/01/13 06:00 [medline]']",['10.1007/s11899-010-0061-y [doi]'],ppublish,Curr Hematol Malig Rep. 2010 Oct;5(4):213-21. doi: 10.1007/s11899-010-0061-y.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20652214,NLM,MEDLINE,20110126,20211020,1432-2102 (Electronic) 0033-832X (Linking),50,8,2010 Aug,[Hemiparesis in acute lymphoblastic leukemia].,706-10,10.1007/s00117-010-2042-5 [doi],"The case of an adolescent female patient with acute lymphoblastic leukemia and stroke-like hemiparesis demonstrates a typical manifestation of methotrexate-induced acute encephalopathy. This rare entity occurs both in children and adults and can result from intrathecal as well as high dose intravenous administration of methotrexate. Diagnosis can confidently be made using cerebral MRI including diffusion-weighted imaging (DWI), so that patients can be informed about the favorable prognosis.","['Karremann, M', 'von Komorowski, G', 'Neumaier-Probst, E', 'Durken, M']","['Karremann M', 'von Komorowski G', 'Neumaier-Probst E', 'Durken M']","['Abteilung fur Padiatrische Onkologie und Hamatologie, Klinik fur Kinder- und Jugendmedizin, Universitatsmedizin Mannheim, Theodor-Kutzer-Ufer 1-3, 68167, Mannheim, Deutschland. michael.karremann@umm.de']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",,Germany,Radiologe,Der Radiologe,0401257,"['0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Adolescent', 'Antimetabolites, Antineoplastic/administration & dosage/*adverse effects', 'Brain/drug effects/pathology', 'Cytarabine/administration & dosage', 'Diffusion Magnetic Resonance Imaging', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Infusions, Intravenous', 'Injections, Spinal', 'Methotrexate/administration & dosage/*adverse effects', 'Neurologic Examination/drug effects', 'Neurotoxicity Syndromes/*diagnosis', 'Paresis/*chemically induced/diagnosis', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy']",2010/07/24 06:00,2011/01/28 06:00,['2010/07/24 06:00'],"['2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2011/01/28 06:00 [medline]']",['10.1007/s00117-010-2042-5 [doi]'],ppublish,Radiologe. 2010 Aug;50(8):706-10. doi: 10.1007/s00117-010-2042-5.,Hemiparese bei akuter lymphoblastischer Leukamie.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20651401,NLM,MEDLINE,20100824,20151119,1791-7530 (Electronic) 0250-7005 (Linking),30,6,2010 Jun,Impact of post-transplant imatinib administration on Philadelphia chromosome-positive acute lymphoblastic leukaemia.,2415-8,,"To evaluate the effect of post-transplant imatinib administration, 34 Philadelphia chromosome-positive acute lymphoblastic leukaemia (Ph(+)ALL) patients were retrospectively analysed, with 7 receiving post-transplant imatinib administration. Overall survival was significantly better in patients with post-transplant administration (66.7% vs. 29.6% at 3 years, p=0.03), with no significant difference in leukaemia-free survival (0% vs. 29.6% at 3 years, p=0.29). The median duration of negative minimal residual disease (MRD) in patients with post-transplant imatinib administration was 6 months in the pre-emptive administration group, where imatinib was administered upon detecting MRD after allogeneic stem cell transplantation (allo-SCT). In the prophylactic administration group, imatinib was administered as soon as possible after allo-SCT, and the median duration of MRD was 12 months. In all patients whose observation periods were longer than one year, MRD became positive in both groups leading to haematological relapse. It is therefore concluded that post-transplant imatinib administration is not an ideal treatment for Ph(+)ALL patients whose MRD is positive at allo-SCT.","['Nishiwaki, Satoshi', 'Miyamura, Koichi', 'Kato, Chiaki', 'Terakura, Seitaro', 'Ohashi, Kazuteru', 'Sakamaki, Hisashi', 'Nakao, Shinji', 'Harigae, Hideo', 'Kodera, Yoshihisa']","['Nishiwaki S', 'Miyamura K', 'Kato C', 'Terakura S', 'Ohashi K', 'Sakamaki H', 'Nakao S', 'Harigae H', 'Kodera Y']","['Department of Hematology, Japanese Red Cross Nagoya First Hospital, 3-35 Michishita-cho, Nakamura-ku, Nagoya 453-8511, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Child', 'Female', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Imatinib Mesylate', 'Male', 'Middle Aged', 'Neoplasm, Residual', 'Piperazines/*therapeutic use', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*therapy', 'Pyrimidines/*therapeutic use', 'Retrospective Studies', 'Transplantation, Homologous']",2010/07/24 06:00,2010/08/25 06:00,['2010/07/24 06:00'],"['2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2010/08/25 06:00 [medline]']",['30/6/2415 [pii]'],ppublish,Anticancer Res. 2010 Jun;30(6):2415-8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20651360,NLM,MEDLINE,20100824,20151119,1791-7530 (Electronic) 0250-7005 (Linking),30,6,2010 Jun,Differential ex vivo activity of bortezomib in newly diagnosed paediatric acute lymphoblastic and myeloblastic leukaemia.,2119-24,,"The proteasome inhibitor, bortezomib, is known to be effective in the therapy of various neoplasms. The objective of this study was the analysis of the ex vivo activity of bortezomib in paediatric acute lymphoblastic leukaemia (ALL), in comparison to paediatric acute myeloid leukaemia (AML). A total of 159 patients entered the study, including 106 ALL (including 86 precursor-B-cell ALL, and 20 T-cell ALL) and 53 AML children. The ex vivo sensitivity to bortezomib and 16 other drugs was studied by MTT assay. Paediatric AML samples were more resistant than paediatric ALL samples to most of the tested drugs, except for cytarabine and thioguanine. With respect to immunophenotype, ex vivo drug resistance in T-cell ALL (T-ALL) was higher for most of the drugs. No differences in drug resistance between T-ALL and common/pre-B-cell-ALL were found for daunorubicin, mitoxantrone and 6-thioguanine. Bortezomib was the only compound which was more active in T-ALL than in common/pre-B-ALL paediatric samples. In conclusion, bortezomib had good ex vivo activity in paediatric T-ALL samples.","['Szczepanek, Joanna', 'Pogorzala, Monika', 'Konatkowska, Benigna', 'Juraszewska, Edyta', 'Badowska, Wanda', 'Olejnik, Igor', 'Kuzmicz, Marta', 'Stanczak, Elzbieta', 'Malinowska, Iwona', 'Stefaniak, Jolanta', 'Sobol, Grazyna', 'Szczepanski, Tomasz', 'Czyzewski, Krzysztof', 'Wysocki, Mariusz', 'Styczynski, Jan']","['Szczepanek J', 'Pogorzala M', 'Konatkowska B', 'Juraszewska E', 'Badowska W', 'Olejnik I', 'Kuzmicz M', 'Stanczak E', 'Malinowska I', 'Stefaniak J', 'Sobol G', 'Szczepanski T', 'Czyzewski K', 'Wysocki M', 'Styczynski J']","['Department of Pediatric Hematology and Oncology, Collegium Medicum, Nicolaus Copernicus University, ul. Curie-Sklodowskiej 9, 85-094 Bydgoszcz, Poland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (Pyrazines)', '69G8BD63PP (Bortezomib)']",IM,"['Adolescent', 'Antineoplastic Agents/*therapeutic use', 'Boronic Acids/*therapeutic use', 'Bortezomib', 'Child', 'Child, Preschool', 'Drug Resistance, Neoplasm', 'Female', 'Humans', 'Infant', 'Leukemia, Myeloid, Acute/*drug therapy', 'Male', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy', 'Pyrazines/*therapeutic use']",2010/07/24 06:00,2010/08/25 06:00,['2010/07/24 06:00'],"['2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2010/08/25 06:00 [medline]']",['30/6/2119 [pii]'],ppublish,Anticancer Res. 2010 Jun;30(6):2119-24.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20651335,NLM,MEDLINE,20100824,20151119,1791-7530 (Electronic) 0250-7005 (Linking),30,6,2010 Jun,Bortezomib therapeutic effect is associated with expression and mutation of FGFR3 in human lymphoma cells.,1921-30,,"OBJECTIVE: Ectopically expressed and deregulated fibroblast growth factor receptor 3 (FGFR3) has been observed in many malignant cancer patients, including those with lymphoma. This study investigated whether the therapeutic effect of bortezomib in lymphoma is associated with FGFR3-expression. MATERIALS AND METHODS: Cell proliferation and apoptosis assays were performed in minimal FGFR3 expressing U937 cells and compared to U937 cells overexpressing FGFR3 wild-type, or Y373C or K650E mutant FGFR3. RESULTS: Results from this study suggested the expression of FGFR3 protein is associated with the therapeutic effect of bortezomib. It was observed that bortezomib-induced apoptotic death is correlated with FGFR3 expression. U937 cells overexpression of wild-type FGFR3 demonstrated resistance to bortezomib treatment. U937 cells expressing Y373C mutated FGFR3 showed an almost equal resistance to bortezomib as U937 cells expressing wild-type FGFR3. U937 cells expressing mutated K650E FGFR3 showed more sensitivity to bortezomib than did the parental U937 cells. Furthermore, increased expression of Mcl-1 and decreased expression of NF-kappaB p65 suggested that bortezomib resistance associated with Y373C mutation and wild-type FGFR3 may be partly mediated through Bcl-2 and NF-kappaB signaling. CONCLUSION: Data from this study indicate that mutation status and the expression level of FGFR3 may be associated with bortezomib-related treatment resistance in lymphoma.","['Zheng, Weiyan', 'Guan, Min', 'Zhu, Lijun', 'Cai, Zhen', 'Chung, Vincent', 'Huang, He', 'Yen, Yun']","['Zheng W', 'Guan M', 'Zhu L', 'Cai Z', 'Chung V', 'Huang H', 'Yen Y']","['Department of Hematology, Bone Marrow Transplantation Center, First Affiliated Hospital, Zhejiang University, School of Medicine, Hangzhou, Zhejiang, 310003, PR China.']",['eng'],['Journal Article'],,Greece,Anticancer Res,Anticancer research,8102988,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (NF-kappa B)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Pyrazines)', '0 (STAT1 Transcription Factor)', '0 (STAT1 protein, human)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '69G8BD63PP (Bortezomib)', 'EC 2.7.10.1 (Receptor, Fibroblast Growth Factor, Type 3)']",IM,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/drug effects', 'Boronic Acids/*pharmacology', 'Bortezomib', 'Drug Resistance, Neoplasm', 'Humans', 'Lymphoma/*drug therapy/genetics', '*Mutation', 'Myeloid Cell Leukemia Sequence 1 Protein', 'NF-kappa B/physiology', 'Proto-Oncogene Proteins c-bcl-2/physiology', 'Pyrazines/*pharmacology', 'Receptor, Fibroblast Growth Factor, Type 3/*genetics/physiology', 'STAT1 Transcription Factor/physiology', 'STAT3 Transcription Factor/physiology', 'U937 Cells']",2010/07/24 06:00,2010/08/25 06:00,['2010/07/24 06:00'],"['2010/07/24 06:00 [entrez]', '2010/07/24 06:00 [pubmed]', '2010/08/25 06:00 [medline]']",['30/6/1921 [pii]'],ppublish,Anticancer Res. 2010 Jun;30(6):1921-30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
