PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,MID,SI,CIN,CON,EIN,RF,OTO,OT,TT,CN,IR,FIR,OID,UOF,RPI
20542334,NLM,MEDLINE,20110309,20131121,1873-5835 (Electronic) 0145-2126 (Linking),35,2,2011 Feb,The gold compound auranofin induces apoptosis of human multiple myeloma cells through both down-regulation of STAT3 and inhibition of NF-kappaB activity.,243-9,10.1016/j.leukres.2010.05.011 [doi],"Constitutive activation of NF-kappaB and STAT3 plays an important role in the cellular proliferation and survival of multiple myeloma cells. We first found that auranofin (AF), a coordinated gold compound, induced a significant level of cell cycle arrest at G1 phase and subsequent apoptosis of myeloma cells. Further, AF inhibited constitutive and IL-6-induced activation of JAK2 and phosphorylation of STAT3 followed by the decreased expression of Mcl-1. AF down-regulated the activation of NF-kappaB, and the combination of AF and a specific NF-kappaB inhibitor resulted in a marked decrease of Mcl-1 expression. These results suggest that AF inhibits both IL-6 induced-JAK/STAT pathway and NF-kappaB activation in myeloma cells.",['Copyright (c) 2010 Elsevier Ltd. All rights reserved.'],"['Nakaya, Aya', 'Sagawa, Morihiko', 'Muto, Akihiro', 'Uchida, Hideo', 'Ikeda, Yasuo', 'Kizaki, Masahiro']","['Nakaya A', 'Sagawa M', 'Muto A', 'Uchida H', 'Ikeda Y', 'Kizaki M']","['Division of Hematology, Department of Internal Medicine, Keio University School of Medicine, Tokyo, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20100612,England,Leuk Res,Leukemia research,7706787,"['0 (Antineoplastic Agents)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (NF-kappa B)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '3H04W2810V (Auranofin)']",IM,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/*drug effects', 'Auranofin/*pharmacology', 'Blotting, Western', 'Cell Cycle/drug effects', 'Cell Line, Tumor', 'Down-Regulation', 'Enzyme-Linked Immunosorbent Assay', 'Gene Expression/drug effects', 'Humans', 'Multiple Myeloma/*metabolism', 'Myeloid Cell Leukemia Sequence 1 Protein', 'NF-kappa B/drug effects/metabolism', 'Proto-Oncogene Proteins c-bcl-2/drug effects/metabolism', 'STAT3 Transcription Factor/drug effects/metabolism', 'Signal Transduction/*drug effects', 'Transfection']",2010/06/15 06:00,2011/03/10 06:00,['2010/06/15 06:00'],"['2010/04/12 00:00 [received]', '2010/04/14 00:00 [revised]', '2010/05/14 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2011/03/10 06:00 [medline]']","['S0145-2126(10)00255-9 [pii]', '10.1016/j.leukres.2010.05.011 [doi]']",ppublish,Leuk Res. 2011 Feb;35(2):243-9. doi: 10.1016/j.leukres.2010.05.011. Epub 2010 Jun 12.,,,,,,,,,,,,,,,,,
20542283,NLM,MEDLINE,20100923,20211020,1097-6833 (Electronic) 0022-3476 (Linking),157,3,2010 Sep,Combined central precocious puberty and primary gonadal failure after treatment of childhood malignancy in two boys: a diagnostic and therapeutic conundrum.,507-9,10.1016/j.jpeds.2010.04.039 [doi],Central precocious puberty and primary gonadal failure are known sequelae of childhood cancer or its treatment. Here we report two boys with coexistent central precocious puberty and primary gonadal failure after treatment for childhood malignancies.,"['Copyright (c) 2010 Mosby, Inc. All rights reserved.']","['Nabhan, Zeina M', 'Mieszczak, Jakub', 'Eugster, Erica A']","['Nabhan ZM', 'Mieszczak J', 'Eugster EA']","['Section of Pediatric Endocrinology/Diabetology, James Whitcomb Riley Hospital for Children, Indiana University School of Medicine, Indianapolis, Indiana 46202, USA. znabhan@iupui.edu']",['eng'],"['Case Reports', 'Journal Article']",20100612,United States,J Pediatr,The Journal of pediatrics,0375410,,IM,"['Astrocytoma/*drug therapy', 'Child', 'Humans', 'Hypogonadism/*etiology', 'Hypothalamic Neoplasms/*drug therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Puberty, Precocious/*etiology']",2010/06/15 06:00,2010/09/24 06:00,['2010/06/15 06:00'],"['2009/10/19 00:00 [received]', '2010/03/17 00:00 [revised]', '2010/04/23 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/09/24 06:00 [medline]']","['S0022-3476(10)00339-2 [pii]', '10.1016/j.jpeds.2010.04.039 [doi]']",ppublish,J Pediatr. 2010 Sep;157(3):507-9. doi: 10.1016/j.jpeds.2010.04.039. Epub 2010 Jun 12.,['T32 DK065549/DK/NIDDK NIH HHS/United States'],PMC4070004,['NIHMS598858'],,,,,,,,,,,,,,
20542169,NLM,MEDLINE,20100625,20151119,1097-6787 (Electronic) 0190-9622 (Linking),63,1,2010 Jul,Imatinib mesylate-induced pseudoporphyria.,e14-6,10.1016/j.jaad.2010.01.060 [doi],,,"['Berghoff, Adar T', 'English, Joseph C 3rd']","['Berghoff AT', 'English JC 3rd']",,['eng'],"['Case Reports', 'Letter']",,United States,J Am Acad Dermatol,Journal of the American Academy of Dermatology,7907132,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/*adverse effects', 'Benzamides', 'Diagnosis, Differential', 'Female', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Middle Aged', 'Piperazines/*adverse effects', 'Porphyria Cutanea Tarda/*chemically induced/*diagnosis', 'Pyrimidines/*adverse effects']",2010/06/15 06:00,2010/06/26 06:00,['2010/06/15 06:00'],"['2009/12/15 00:00 [received]', '2010/01/25 00:00 [revised]', '2010/01/27 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/06/26 06:00 [medline]']","['S0190-9622(10)00146-5 [pii]', '10.1016/j.jaad.2010.01.060 [doi]']",ppublish,J Am Acad Dermatol. 2010 Jul;63(1):e14-6. doi: 10.1016/j.jaad.2010.01.060.,,,,,,,,,,,,,,,,,
20542125,NLM,MEDLINE,20110404,20101108,1523-6536 (Electronic) 1083-8791 (Linking),16,12,2010 Dec,Leukemia lineage-specific chimerism analysis and molecular monitoring improve outcome of donor lymphocyte infusions.,1728-37,10.1016/j.bbmt.2010.06.005 [doi],"A retrospective analysis was performed of 118 patients with hematologic malignancies who received donor lymphocyte infusions (DLIs) after allogeneic stem cell transplantation (ASCT). Treatment was either given because of hematologic relapse (n = 44), molecular/cytogenetic relapse (n = 52), or other causes (n = 22). Molecular relapse was in most cases based on leukemia lineage-specific chimerism analysis. Patients with acute leukemia and myelodysplastic syndrome showed a 3-year survival of 42% if DLI treatment was given because of molecular relapse, compared to 16% in hematologic relapse (P < .006). In multivariate analysis, there was a correlation between response to DLI and nonhematologic relapse (risk ratio [RR] 3.36, P = .001), chronic graft-versus-host disease (cGVHD) (RR = 1.51, P = .005), and late relapse (RR = 2.06, P = .017). The overall incidences of acute GVHD (aGVHD) grades I-II and grades III-IV aGVHD were 33% and 8.5%, respectively. Probability of cGVHD was 33%. The development of aGVHD or cGVHD did not significantly influence the response of DLI in patients with molecular/cytogenetic relapse. However, the development of cGVHD was significantly associated with a better response in patients with hematologic relapse because only 4 of 29 patients without cGVHD responded compared to 7 of 12 with cGVHD (P = .007). The development of cGVHD increased significantly if DLI was given >12 months after ASCT (46% versus 27%, P = .04). In contrast, time between ASCT and start of DLI treatment had no significant influence on the risk of developing aGVHD. To conclude, monitoring of leukemia lineage-specific chimerism is of utmost importance for DLI response after ASCT.","['Copyright (c) 2010 American Society for Blood and Marrow Transplantation.', 'Published by Elsevier Inc. All rights reserved.']","['Sairafi, Darius', 'Remberger, Mats', 'Uhlin, Michael', 'Ljungman, Per', 'Ringden, Olle', 'Mattsson, Jonas']","['Sairafi D', 'Remberger M', 'Uhlin M', 'Ljungman P', 'Ringden O', 'Mattsson J']","['Center for Allogeneic Stem Cell Transplantation, Department of Medicine at Karolinska Institutet, Karolinska University Hospital, Huddinge, Stockholm, Sweden.']",['eng'],['Journal Article'],20100610,United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,,IM,"['Adolescent', 'Adult', 'Cell Lineage', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', 'Graft vs Host Disease/diagnosis/therapy', 'Hematologic Neoplasms/*pathology/*therapy', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia/*pathology/*therapy', '*Lymphocyte Transfusion', 'Male', 'Middle Aged', 'Recurrence', 'Retrospective Studies', 'Tissue Donors', 'Transplantation Chimera', 'Treatment Outcome', 'Young Adult']",2010/06/15 06:00,2011/04/05 06:00,['2010/06/15 06:00'],"['2010/01/18 00:00 [received]', '2010/06/01 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2011/04/05 06:00 [medline]']","['S1083-8791(10)00246-6 [pii]', '10.1016/j.bbmt.2010.06.005 [doi]']",ppublish,Biol Blood Marrow Transplant. 2010 Dec;16(12):1728-37. doi: 10.1016/j.bbmt.2010.06.005. Epub 2010 Jun 10.,,,,,,,,,,,,,,,,,
20541704,NLM,MEDLINE,20100817,20211020,1878-3686 (Electronic) 1535-6108 (Linking),17,6,2010 Jun 15,GSK-3 promotes conditional association of CREB and its coactivators with MEIS1 to facilitate HOX-mediated transcription and oncogenesis.,597-608,10.1016/j.ccr.2010.04.024 [doi],"Acute leukemias induced by MLL chimeric oncoproteins are among the subset of cancers distinguished by a paradoxical dependence on GSK-3 kinase activity for sustained proliferation. We demonstrate here that GSK-3 maintains the MLL leukemia stem cell transcriptional program by promoting the conditional association of CREB and its coactivators TORC and CBP with homedomain protein MEIS1, a critical component of the MLL-subordinate program, which in turn facilitates HOX-mediated transcription and transformation. This mechanism also applies to hematopoietic cells transformed by other HOX genes, including CDX2, which is highly expressed in a majority of acute myeloid leukemias, thus providing a molecular approach based on GSK-3 inhibitory strategies to target HOX-associated transcription in a broad spectrum of leukemias.",['Copyright 2010 Elsevier Inc. All rights reserved.'],"['Wang, Zhong', 'Iwasaki, Masayuki', 'Ficara, Francesca', 'Lin, Chenwei', 'Matheny, Christina', 'Wong, Stephen H K', 'Smith, Kevin S', 'Cleary, Michael L']","['Wang Z', 'Iwasaki M', 'Ficara F', 'Lin C', 'Matheny C', 'Wong SH', 'Smith KS', 'Cleary ML']","['Department of Pathology, Stanford University School of Medicine, Stanford, CA 94305, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Cell,Cancer cell,101130617,"['0 (CRTC1 protein, human)', '0 (CRTC2 protein, human)', '0 (Cdx4 protein, mouse)', '0 (Cyclic AMP Response Element-Binding Protein)', '0 (DNA-Binding Proteins)', '0 (HOXB1 homeodomain protein)', '0 (Homeodomain Proteins)', '0 (Hoxb4 protein, mouse)', '0 (Indoles)', '0 (MEIS1 protein, human)', '0 (Maleimides)', '0 (Meis1 protein, mouse)', '0 (Myeloid Ecotropic Viral Integration Site 1 Protein)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Pbx1 protein, mouse)', '0 (Pre-B-Cell Leukemia Transcription Factor 1)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-fos)', '0 (SB 216763)', '0 (Transcription Factors)', '0 (homeobox protein HOXA9)', '0 (pbx1 protein, human)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.3.1.48 (CREB-Binding Protein)', 'EC 2.7.11.26 (Glycogen Synthase Kinase 3)']",IM,"['Animals', 'CREB-Binding Protein/metabolism', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Cell Transformation, Neoplastic/*genetics/metabolism', 'Cyclic AMP Response Element-Binding Protein/genetics/*metabolism', 'DNA-Binding Proteins/metabolism', 'Down-Regulation/genetics', 'Gene Expression Profiling', 'Gene Expression Regulation, Leukemic/*physiology', 'Glycogen Synthase Kinase 3/antagonists & inhibitors/genetics/*metabolism', 'Homeodomain Proteins/*genetics/metabolism', 'Humans', 'Indoles/pharmacology/therapeutic use', 'Leukemia, Myeloid, Acute/metabolism/prevention & control', 'Maleimides/pharmacology/therapeutic use', 'Mice', 'Mice, Inbred C57BL', 'Models, Biological', 'Myeloid Ecotropic Viral Integration Site 1 Protein', 'Myeloid-Lymphoid Leukemia Protein/genetics', 'Neoplasm Proteins/genetics/*metabolism', 'Neoplastic Stem Cells/cytology/drug effects/metabolism', 'Oncogene Proteins, Fusion/genetics', 'Phosphorylation/drug effects/physiology', 'Pre-B-Cell Leukemia Transcription Factor 1', 'Protein Binding/drug effects/physiology', 'Proto-Oncogene Proteins/metabolism', 'Proto-Oncogene Proteins c-fos/genetics/metabolism', 'Signal Transduction/drug effects/physiology', 'Transcription Factors/genetics/metabolism', 'Transcription, Genetic/drug effects/*physiology']",2010/06/15 06:00,2010/08/18 06:00,['2010/06/15 06:00'],"['2009/12/19 00:00 [received]', '2010/02/23 00:00 [revised]', '2010/04/16 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/08/18 06:00 [medline]']","['S1535-6108(10)00160-1 [pii]', '10.1016/j.ccr.2010.04.024 [doi]']",ppublish,Cancer Cell. 2010 Jun 15;17(6):597-608. doi: 10.1016/j.ccr.2010.04.024.,"['T32 CA009151-37/CA/NCI NIH HHS/United States', 'T32 CA009151/CA/NCI NIH HHS/United States', 'R01 CA116606-05/CA/NCI NIH HHS/United States', 'R01 CA116606/CA/NCI NIH HHS/United States', 'T32 CA09151/CA/NCI NIH HHS/United States', 'CA116606/CA/NCI NIH HHS/United States']",PMC2919232,['NIHMS203816'],['GEO/GSE21842'],"['Cancer Cell. 2010 Jun 15;17(6):529-31. PMID: 20541696', 'Nat Rev Cancer. 2010 Aug;10(8):529. PMID: 20677349']",,,,,,,,,,,,
20541697,NLM,PubMed-not-MEDLINE,20100817,20211020,1878-3686 (Electronic) 1535-6108 (Linking),17,6,2010 Jun 15,PAF is in the cabal of MLL1-interacting proteins that promote leukemia.,531-2,10.1016/j.ccr.2010.05.019 [doi],"MLL1 fusions are among the most potent oncogenic drivers of leukemia development. In recent articles published in Molecular Cell and in Cancer Cell, researchers find that MLL1 fusions are reliant on a physical interaction with the PAF transcription elongation complex for their recruitment to chromatin and, consequently, leukemic transformation.",['Copyright 2010 Elsevier Inc. All rights reserved.'],"['Speck, Nancy A', 'Vakoc, Christopher R']","['Speck NA', 'Vakoc CR']","['Abramson Family Cancer Research Institute and Department of Cell and Developmental Biology, University of Pennsylvania, Philadelphia, PA 19104, USA.']",['eng'],['Journal Article'],,United States,Cancer Cell,Cancer cell,101130617,,,,2010/06/15 06:00,2010/06/15 06:01,['2010/06/15 06:00'],"['2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/06/15 06:01 [medline]']","['S1535-6108(10)00206-0 [pii]', '10.1016/j.ccr.2010.05.019 [doi]']",ppublish,Cancer Cell. 2010 Jun 15;17(6):531-2. doi: 10.1016/j.ccr.2010.05.019.,['R01 AI051427/AI/NIAID NIH HHS/United States'],,,,,,,,,,,,,,,,
20541696,NLM,PubMed-not-MEDLINE,20100817,20211020,1878-3686 (Electronic) 1535-6108 (Linking),17,6,2010 Jun 15,Glycogen synthase kinase-3 and leukemia: restoring the balance.,529-31,10.1016/j.ccr.2010.05.017 [doi],"The role of GSK-3 in oncogenesis is paradoxical, acting as a tumor suppressor in some cancers and potentiating growth in others. In this issue of Cancer Cell, Wang et al. provide some mechanistic insight into GSK-3 activity's role in potentiating leukemias which are dependent on homeobox (HOX) gene misregulation.",['Copyright 2010 Elsevier Inc. All rights reserved.'],"['Birch, Noah W', 'Zeleznik-Le, Nancy J']","['Birch NW', 'Zeleznik-Le NJ']","['Oncology Institute, Department of Medicine, Loyola University Medical Center, Maywood, IL 60153, USA.']",['eng'],"['Comment', 'Journal Article']",,United States,Cancer Cell,Cancer cell,101130617,,,,2010/06/15 06:00,2010/06/15 06:01,['2010/06/15 06:00'],"['2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/06/15 06:01 [medline]']","['S1535-6108(10)00204-7 [pii]', '10.1016/j.ccr.2010.05.017 [doi]']",ppublish,Cancer Cell. 2010 Jun 15;17(6):529-31. doi: 10.1016/j.ccr.2010.05.017.,"['R01 HL087188/HL/NHLBI NIH HHS/United States', 'R01 HL087188-03/HL/NHLBI NIH HHS/United States']",PMC2987688,['NIHMS250812'],,,['Cancer Cell. 2010 Jun 15;17(6):597-608. PMID: 20541704'],,,,,,,,,,,
20541620,NLM,MEDLINE,20101020,20100907,0027-5107 (Print) 0027-5107 (Linking),701,2,2010 Aug 30,Variations in p53-like cDNA sequence are correlated with mussel haemic neoplasia: A potential molecular-level tool for biomonitoring.,145-52,10.1016/j.mrgentox.2010.06.001 [doi],"Several bivalve species, including mussels (Mytilus spp.) and clams (Mya spp.), are susceptible to a leukemia-like disease called haemic neoplasia that has been known to decimate whole populations. Previous studies of molecular processes associated with late stages of this disease have implicated analogs of the p53 tumour suppressor protein family in disease etiology. We detected synonymous single nucleotide polymorphisms (SNPs) in the coding region sequence of p53-like cDNA from Mytilus trossulus (bay mussel) that differ between normal and neoplastic haemolymph. SNPs were located at positions 182, 392 and 821 bp. Most (94%) of the late leukemic animals sampled from cages in Burrard Inlet (British Columbia, Canada) had the same p53-like genotype, C182T G392G C821T, whereas 75% of the healthy animals were homozygous at positions C182C and T821T, independent of the genotype at the 392 bp position. As well, we detected an increased number of allelic variants in the leukemic animals that may arise from separate somatic mutation events in haemocyte precursors or from additional p53-like gene copies in polyploidy. Therefore, detection of these SNPs may provide a useful genetic biomarker for efficient monitoring of mussel population health.",['2010 Elsevier B.V. All rights reserved.'],"['Vassilenko, Ekaterina I', 'Muttray, Annette F', 'Schulte, Patricia M', 'Baldwin, Susan A']","['Vassilenko EI', 'Muttray AF', 'Schulte PM', 'Baldwin SA']","['Chemical and Biological Engineering, University of British Columbia, 2360 East Mall, Vancouver, British Columbia V6T 1Z3, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20100610,Netherlands,Mutat Res,Mutation research,0400763,"['0 (DNA, Complementary)']",IM,"['Animals', 'Base Sequence', 'Bivalvia/cytology/*genetics', '*DNA, Complementary', '*Genes, p53', 'Hemocytes/ultrastructure', 'Leukemia/genetics', 'Polymorphism, Single Nucleotide']",2010/06/15 06:00,2010/10/21 06:00,['2010/06/15 06:00'],"['2010/01/12 00:00 [received]', '2010/05/27 00:00 [revised]', '2010/06/01 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/10/21 06:00 [medline]']","['S1383-5718(10)00201-9 [pii]', '10.1016/j.mrgentox.2010.06.001 [doi]']",ppublish,Mutat Res. 2010 Aug 30;701(2):145-52. doi: 10.1016/j.mrgentox.2010.06.001. Epub 2010 Jun 10.,,,,,,,,,,,,,,,,,
20541477,NLM,MEDLINE,20100817,20211020,1878-3686 (Electronic) 1535-6108 (Linking),17,6,2010 Jun 15,The PAF complex synergizes with MLL fusion proteins at HOX loci to promote leukemogenesis.,609-21,10.1016/j.ccr.2010.04.012 [doi],"MLL is involved in chromosomal rearrangements that generate fusion proteins with deregulated transcriptional activity. The mechanisms of MLL fusion protein-mediated transcriptional activation are poorly understood. Here we show MLL interacts directly with the polymerase associated factor complex (PAFc) through sequences flanking the CxxC domain. PAFc interacts with RNA polymerase II and stimulates posttranslational histone modifications. PAFc augments MLL and MLL-AF9 mediated transcriptional activation of Hoxa9. Conversely, knockdown of PAFc disrupts MLL fusion protein-mediated transcriptional activation and MLL recruitment to target loci. PAFc gene expression is downregulated during hematopoiesis and likely serves to regulate MLL function. Deletions of MLL that abolish interactions with PAFc also eliminate MLL-AF9 mediated immortalization indicating an essential function for this interaction in leukemogenesis.",,"['Muntean, Andrew G', 'Tan, Jiaying', 'Sitwala, Kajal', 'Huang, Yongsheng', 'Bronstein, Joel', 'Connelly, James A', 'Basrur, Venkatesha', 'Elenitoba-Johnson, Kojo S J', 'Hess, Jay L']","['Muntean AG', 'Tan J', 'Sitwala K', 'Huang Y', 'Bronstein J', 'Connelly JA', 'Basrur V', 'Elenitoba-Johnson KS', 'Hess JL']","['Department of Pathology, University of Michigan Medical School, Ann Arbor, MI 48109, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,United States,Cancer Cell,Cancer cell,101130617,"['0 (CDC73 protein, human)', '0 (CTR9 protein, human)', '0 (Carrier Proteins)', '0 (DNA-Binding Proteins)', '0 (E2a-Hlf fusion protein, human)', '0 (Homeodomain Proteins)', '0 (LEO1 protein, human)', '0 (MLL-AF9 fusion protein, human)', '0 (MLL-ENL oncoprotein, human)', '0 (Myeloid Ecotropic Viral Integration Site 1 Protein)', '0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (PAF1 protein, human)', '0 (Phosphoproteins)', '0 (RNA polymerase II associated factor 1, mouse)', '0 (Recombinant Proteins)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)', '0 (homeobox protein HOXA9)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', '9007-49-2 (DNA)']",IM,"['Animals', 'Carrier Proteins/genetics/*metabolism', 'Cell Differentiation/genetics', 'Cell Line', 'Cell Transformation, Neoplastic/genetics/*metabolism/pathology', 'DNA/metabolism', 'DNA-Binding Proteins/genetics/metabolism', 'Down-Regulation/genetics', 'Gene Expression Regulation', 'HL-60 Cells', 'HeLa Cells', 'Homeodomain Proteins/*genetics', 'Humans', 'Leukemia/genetics/*metabolism', 'Mice', 'Mice, Inbred C57BL', 'Models, Biological', 'Myeloid Cells/cytology/metabolism', 'Myeloid Ecotropic Viral Integration Site 1 Protein', 'Myeloid-Lymphoid Leukemia Protein/genetics/*metabolism', 'Neoplasm Proteins/genetics', 'Nuclear Proteins/genetics/*metabolism', 'Oncogene Proteins, Fusion/genetics/*metabolism', 'Phosphoproteins/genetics/metabolism', 'Protein Binding/physiology', 'Protein Interaction Domains and Motifs/physiology', 'RNA Interference', 'Recombinant Proteins/genetics/metabolism', 'Sequence Deletion/physiology', 'Transcription Factors/genetics/metabolism', 'Transcription, Genetic/physiology', 'Transcriptional Activation/genetics', 'Transfection', 'Tumor Suppressor Proteins/genetics/metabolism']",2010/06/15 06:00,2010/08/18 06:00,['2010/06/15 06:00'],"['2009/11/02 00:00 [received]', '2010/02/03 00:00 [revised]', '2010/04/15 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/08/18 06:00 [medline]']","['S1535-6108(10)00151-0 [pii]', '10.1016/j.ccr.2010.04.012 [doi]']",ppublish,Cancer Cell. 2010 Jun 15;17(6):609-21. doi: 10.1016/j.ccr.2010.04.012.,"['T32 HL007622/HL/NHLBI NIH HHS/United States', 'R01 CA151425/CA/NCI NIH HHS/United States', 'R01 CA078815/CA/NCI NIH HHS/United States', 'R01 CA078815-11/CA/NCI NIH HHS/United States', 'T32 HL07622/HL/NHLBI NIH HHS/United States', 'R01 CA092251/CA/NCI NIH HHS/United States', 'R01 CA092251-01A1/CA/NCI NIH HHS/United States', 'CA92251/CA/NCI NIH HHS/United States']",PMC2888888,['NIHMS199438'],['GEO/GSE21299'],['Nat Rev Cancer. 2010 Aug;10(8):529. PMID: 20677349'],,,,,,,,,,,,
20541459,NLM,MEDLINE,20101014,20100719,1873-5967 (Electronic) 1386-6532 (Linking),48,4,2010 Aug,Flower cells in patients with infective dermatitis associated with HTLV-1.,288-90,10.1016/j.jcv.2010.05.005 [doi],"BACKGROUND: Infective dermatitis associated with HTLV-1 (IDH) is a severe childhood form of eczema that may progress to adult T-cell leukemia/lymphoma (ATL). OBJECTIVE: In this study, the presence of clinical and laboratory parameters suggestive of ATL was evaluated in a cohort of 30 patients with IDH. STUDY DESIGN: Over a period of 33 months, the patients were submitted to three-monthly clinical evaluations, routine laboratory exams, full blood count and blood smears, and to six-monthly blood sampling for HTLV-1 proviral load determination. HTLV-1 proviral load was quantified using real-time TaqMan PCR assay. RESULTS: Abnormal cells (Ably) were found in the peripheral blood smears of nine patients (30%), flower cells being detected in five of these cases (16.6%). The presence of Ably and flower cells was not associated with a higher proviral load in those patients. CONCLUSIONS: This is the first report on the presence of flower cells in HTLV-1-infected children and adolescents. Furthermore, these cells have not previously been reported in IDH patients. The cases with flower cells probably represent precursory ATL cases, these patients being at a greater risk of developing ATL.",['Copyright 2010 Elsevier B.V. All rights reserved.'],"['de Oliveira, Maria de Fatima Paim', 'Vieira, Maria das Gracas', 'Primo, Janeusa', 'Siqueira, Isadora C', 'Carvalho, Edgar M', 'Farre, Lourdes', 'Fatal, Priscila Lima', 'Bittencourt, Achilea L']","['de Oliveira Mde F', 'Vieira Md', 'Primo J', 'Siqueira IC', 'Carvalho EM', 'Farre L', 'Fatal PL', 'Bittencourt AL']","['Department of Dermatology, Professor Edgar Santos Teaching Hospital, Federal University of Bahia, Salvador, Bahia, Brazil.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20100611,Netherlands,J Clin Virol,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,9815671,,IM,"['Adolescent', 'Blood/virology', 'Child', 'Child, Preschool', 'Cytological Techniques', 'Dermatitis/*virology', 'Female', 'HTLV-I Infections/*diagnosis/virology', 'Human T-lymphotropic virus 1/genetics/*isolation & purification', 'Humans', 'Lymphocytes/*pathology', 'Male', 'Polymerase Chain Reaction', 'Proviruses/genetics/isolation & purification', 'Skin Diseases, Viral/*diagnosis/virology']",2010/06/15 06:00,2010/10/15 06:00,['2010/06/15 06:00'],"['2010/03/22 00:00 [received]', '2010/05/11 00:00 [revised]', '2010/05/15 00:00 [accepted]', '2010/06/15 06:00 [entrez]', '2010/06/15 06:00 [pubmed]', '2010/10/15 06:00 [medline]']","['S1386-6532(10)00200-3 [pii]', '10.1016/j.jcv.2010.05.005 [doi]']",ppublish,J Clin Virol. 2010 Aug;48(4):288-90. doi: 10.1016/j.jcv.2010.05.005. Epub 2010 Jun 11.,,,,,,,,,,,,,,,,,
