PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CON,GR,DEP,PMC,MID,OID,CIN,SI,CI,TT,RPF,EIN,IR,FIR,OTO,OT,GN,EFR,ROF,RIN,DA,DRDT,CTDT,PB,BTI,FED,ED,CDAT
20425354,NLM,MEDLINE,20100806,20211020,1558-822X (Electronic) 1558-8211 (Linking),2,2,2007 May,BCR-ABL-negative chronic myeloid leukemia.,75-82,10.1007/s11899-007-0011-5 [doi],"Constitutive activation of protein tyrosine kinases plays a central role in the pathogenesis of myeloproliferative disorders, including BCR-ABL-negative chronic myeloid leukemia. Current research is focused on elucidating the full spectrum of causative mutations in this rare, heterogeneous disease. Activated tyrosine kinases are excellent targets for signal transduction therapy, and an accurate diagnosis including morphology, karyotyping, and molecular genetics will become increasingly important to direct individualized treatment. In addition, new molecular findings need to be incorporated into disease classification systems.","['Burgstaller, Sonja', 'Reiter, Andreas', 'Cross, Nicholas C P']","['Burgstaller S', 'Reiter A', 'Cross NC']","['Wessex Regional Genetics Laboratory, University of Southampton,Salisbury NHS Foundation Trust, Salisbury SP2 8BJ, UK.']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Oncogene Proteins, Fusion)', 'EC 2.7.- (Protein Kinases)']",IM,"['Aged', 'Aneuploidy', 'Enzyme Activation', 'Humans', '*Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/classification/diagnosis/enzymology/genetics/pathology', 'Middle Aged', 'Mutation', 'Oncogene Proteins, Fusion/genetics/physiology', 'Protein Kinases/genetics/physiology', 'Risk Factors', 'Signal Transduction/genetics', 'Translocation, Genetic']",49,2007/05/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2007/05/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-007-0011-5 [doi]'],ppublish,Curr Hematol Malig Rep. 2007 May;2(2):75-82. doi: 10.1007/s11899-007-0011-5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425353,NLM,MEDLINE,20100806,20211020,1558-822X (Electronic) 1558-8211 (Linking),2,2,2007 May,Genomic instability: The cause and effect of BCR/ABL tyrosine kinase.,69-74,10.1007/s11899-007-0010-6 [doi],"Genes encoding c-ABL kinase and BCR protein are targeted by yet-unknown mechanisms causing DNA double-strand breaks resulting in the generation of a chimeric gene encoding BCR/ABL fusion tyrosine kinase. BCR/ABL kinase displays transforming activity because of its constitutive kinase activity causing deregulated proliferation, apoptosis, differentiation, and adhesion. Moreover, BCR/ABL kinase is able to facilitate DNA repair, prolong activation of G2/M and S cell cycle checkpoints, and elevate expression of the antiapoptotic protein Bcl-X(L), making malignant cells less responsive to antitumor treatment. BCR/ABL may also stimulate generation of reactive oxygen species and enhance spontaneous DNA damage in tumor cells. Unfortunately, BCR/ABL kinase compromises the fidelity of DNA repair mechanisms, thus contributing to the accumulation of additional genetic abnormalities that lead to resistance to inhibitors such as imatinib mesylate and to malignant progression of the disease. Therefore, chronic myelogenous leukemia cells display mutator phenotype.","['Skorski, Tomasz']",['Skorski T'],"['Department of Microbiology and Immunology, School of Medicine, Temple University, MRB 548A, 3400 N. Broad Street, Philadelphia, PA 19140, USA. tskorski@temple.edu']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Reactive Oxygen Species)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Apoptosis/genetics', 'Benzamides', 'Cell Differentiation/genetics', 'DNA Repair/genetics', 'Disease Progression', 'Drug Resistance, Neoplasm/genetics', 'Enzyme Activation', 'Fusion Proteins, bcr-abl/genetics/*physiology', 'Genomic Instability/*genetics', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/enzymology/genetics', 'Models, Genetic', 'Mutation', 'Philadelphia Chromosome', 'Piperazines/pharmacology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/enzymology/genetics', 'Protein Kinase Inhibitors/pharmacology', 'Pyrimidines/pharmacology', 'Reactive Oxygen Species']",50,2007/05/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2007/05/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-007-0010-6 [doi]'],ppublish,Curr Hematol Malig Rep. 2007 May;2(2):69-74. doi: 10.1007/s11899-007-0010-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425350,NLM,MEDLINE,20100806,20211203,1558-822X (Electronic) 1558-8211 (Linking),1,3,2006 Sep,The role of parenteral nutrition in acute leukemia.,188-94,10.1007/s11899-996-0007-6 [doi],"Patients with acute leukemia who undergo hematopoietic stem cell transplantation (HSCT) are susceptible to malnutrition caused by several factors including intensive cytotoxic therapy. This paper discusses the significance of malnutrition in these patients and provides an overview of nutrition therapy by the oral, enteral, and parenteral routes. The goal is to investigate whether the use of parenteral nutrition (PN) produces improved clinical outcomes in patients with acute leukemia and to identify criteria for the selection of patients most likely to benefit from this therapy. Although PN may be appropriate for patients suffering from complications such as graft-versus-host disease (GVHD) and mucositis, the data available at this time do not support PN as first-line therapy for all recipients of HSCT.","['Jacobson, Nicole B', 'Parekh, Neha', 'Kalaycio, Matt']","['Jacobson NB', 'Parekh N', 'Kalaycio M']","['Cleveland Clinic Foundation, 9500 Euclid Avenue, Cleveland, OH 44195, USA.']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Adrenal Cortex Hormones)', '0 (Antineoplastic Agents)']",IM,"['Acute Disease', 'Adrenal Cortex Hormones/adverse effects/therapeutic use', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Combined Modality Therapy', 'Enteral Nutrition', 'Fatty Liver/etiology', 'Feeding and Eating Disorders/complications', 'Gastrointestinal Diseases/complications', 'Graft vs Host Disease/complications', 'Hematopoietic Stem Cell Transplantation/adverse effects', 'Humans', 'Hyperglycemia/etiology', 'Immunosuppression Therapy/adverse effects', 'Infections/complications', 'Leukemia/*complications/therapy', 'Malnutrition/diagnosis/etiology/*therapy', 'Mucositis/complications', 'Nutritional Requirements', '*Parenteral Nutrition/adverse effects', 'Radiotherapy/adverse effects', 'Risk Factors']",58,2006/09/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/09/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-996-0007-6 [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Sep;1(3):188-94. doi: 10.1007/s11899-996-0007-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425349,NLM,MEDLINE,20100806,20211020,1558-822X (Electronic) 1558-8211 (Linking),1,3,2006 Sep,Treatment of Philadelphia-chromosome-positive acute lymphoblastic leukemia with imatinib in combination with chemotherapy.,180-7,10.1007/s11899-996-0006-7 [doi],"The presence of the Philadelphia chromosome (Ph) is associated with a very poor prognosis in acute lymphoblastic leukemia (ALL). Although hematologic complete remission (CR) is achieved in 50% to 80% of adult patients by intensive chemotherapy in multicenter studies, long-term outcome is dismal, with overall survival of approximately 10%. Currently, allogeneic hematopoietic stem cell transplantation (allo-SCT) is thought to be the only curative therapeutic modality for this leukemia in adults, but the long-term survival rates are about 40% or less, far from satisfactory. Imatinib mesylate, a recently introduced specific tyrosine kinase inhibitor of BCR-ABL, in combination with chemotherapy, resulted in more than 90% hematologic CR in adult Ph-positive ALL, including molecular CR in more than 50% of patients. The higher CR rate and less frequent relapse gave more patients a chance to receive SCT. Patients who did not qualify for allo-SCT because of the lack of a suitable donor, advanced age, or underlying medical conditions apparently showed better survival than historical control patients treated with chemotherapy alone. Although longer follow-up is required to determine the effect on survival, imatinib in combination with chemotherapy clearly has a major potential to improve the treatment of Ph-positive ALL and may cure a substantial proportion of patients without SCT.","['Ohno, Ryuzo']",['Ohno R'],"['Aichi Cancer Center and Aichi Syukutoku University, Chikusaku, Nagoya, Japan. ohnoryu@aichi-cc.jp']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '04079A1RDZ (Cytarabine)', '5J49Q6B70F (Vincristine)', '7S5I7G3JQL (Dexamethasone)', '80168379AG (Doxorubicin)', '8A1O1M485B (Imatinib Mesylate)', '8N3DW7272P (Cyclophosphamide)', '9PHQ9Y1OLM (Prednisolone)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)', 'CVAD protocol']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Benzamides', 'Clinical Trials as Topic/statistics & numerical data', 'Cyclophosphamide/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Dexamethasone/administration & dosage', 'Doxorubicin/administration & dosage', 'Fusion Proteins, bcr-abl/*antagonists & inhibitors', 'Humans', 'Imatinib Mesylate', 'Kaplan-Meier Estimate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/surgery', 'Methotrexate/administration & dosage', 'Multicenter Studies as Topic/statistics & numerical data', 'Piperazines/administration & dosage', 'Prednisolone/administration & dosage', 'Protein Kinase Inhibitors/administration & dosage', 'Pyrimidines/administration & dosage', 'Remission Induction', 'Survival Rate', 'Vincristine/administration & dosage']",37,2006/09/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/09/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-996-0006-7 [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Sep;1(3):180-7. doi: 10.1007/s11899-996-0006-7.,['Japan Adult Leukemia Study Group'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425348,NLM,MEDLINE,20100806,20211020,1558-822X (Electronic) 1558-8211 (Linking),1,3,2006 Sep,Clinical manifestations and treatment of newly diagnosed acute lymphoblastic leukemia in adults.,171-9,10.1007/s11899-996-0005-8 [doi],"Adult acute lymphoblastic leukemia (ALL) is a heterogeneous disease with distinct biologic and prognostic subgroups. The treatment of adults with ALL has evolved largely from the therapy developed for childhood ALL and, despite differences across regimens, can be broadly classified as including induction, consolidation, maintenance, and central nervous system prophylaxis. Although there has been marked improvement in the outcomes for pediatric patients with ALL, the same success has not yet been realized for adult patients. Some of this difference can be attributed to a greater incidence of unfavorable cytogenetic subtypes in adults than in children. In addition, the ability to tolerate intensive regimens likely plays a role. This article reviews the classification, prognostic features, current treatment programs, and new advances as applied to adult patients with newly diagnosed ALL.","['Landau, Heather', 'Lamanna, Nicole']","['Landau H', 'Lamanna N']","['Memorial Sloan-Kettering Cancer Center, Leukemia Service, 1275 York Avenue, New York, NY 10021, USA.']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Burkitt Lymphoma/classification/therapy', 'Central Nervous System/pathology', 'Child', 'Clinical Trials as Topic', 'Cranial Irradiation', 'Eye/pathology', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Immunophenotyping', 'Incidence', 'Leukemic Infiltration/drug therapy/prevention & control/radiotherapy', 'Lymphocyte Subsets/pathology', 'Male', 'Neoplasm, Residual', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/classification/complications/diagnosis/epidemiology/genetics/*t herapy', 'Prognosis', 'Remission Induction', 'Testis/pathology', 'Translocation, Genetic']",60,2006/09/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/09/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-996-0005-8 [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Sep;1(3):171-9. doi: 10.1007/s11899-996-0005-8.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425347,NLM,MEDLINE,20100806,20211020,1558-822X (Electronic) 1558-8211 (Linking),1,3,2006 Sep,The role of allogeneic stem cell transplantation for CML in the tyrosine kinase inhibitor era.,160-7,10.1007/s11899-996-0004-9 [doi],"Allogeneic stem cell transplantation is an accepted standard therapy for chronic myeloid leukemia (CML). In recent years, however, the use of transplantation has diminished, largely because of the introduction of the novel tyrosine kinase inhibitor, imatinib mesylate. Despite the introduction of imatinib and the other new tyrosine kinase inhibitors, a rational role for transplantation remains. This review focuses on the indications for transplantation in the tyrosine kinase inhibitor era.","['Cutler, Corey', 'Antin, Joseph H']","['Cutler C', 'Antin JH']","['Harvard Medical School, Dana-Farber Cancer Institute, 44 Binney St., Boston, MA 02115, USA. corey_cutler@dfci.harvard.edu']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Antineoplastic Agents/pharmacology/*therapeutic use', 'Benzamides', 'Combined Modality Therapy', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/blood/genetics', '*Hematopoietic Stem Cell Transplantation/statistics & numerical data/trends', 'Histocompatibility', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy/*surgery', 'Living Donors', 'Middle Aged', 'Piperazines/pharmacology/therapeutic use', 'Protein Kinase Inhibitors/pharmacology/*therapeutic use', 'Pyrimidines/pharmacology/therapeutic use', 'Randomized Controlled Trials as Topic', 'Siblings', 'Time Factors', 'Transplantation Conditioning/adverse effects/methods', 'Transplantation, Homologous', 'Treatment Outcome']",44,2006/09/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/09/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-996-0004-9 [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Sep;1(3):160-7. doi: 10.1007/s11899-996-0004-9.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425346,NLM,MEDLINE,20100806,20211020,1558-822X (Electronic) 1558-8211 (Linking),1,3,2006 Sep,Monitoring BCR-ABL in the treatment of chronic myeloid leukemia by polymerase chain reaction.,152-9,10.1007/s11899-996-0003-x [doi],"The sensitive detection of minimal residual disease by the polymerase chain reaction (PCR) has revolutionized our ability to follow treatment response and predict relapse. Examples of how the detection of minimal residual disease can drive clinical research are best found in chronic myeloid leukemia (CML). The use of PCR to detect the BCR-ABL chimeric transcript in CML has been found to predict relapse in the transplant setting, and more recently, has been found in trials of imatinib to be a strong measure in predicting progression-free survival. In addition, clinical trials are now under way using the quantitative assessment of BCR-ABL as a surrogate outcome marker, potentially reducing the time and cost of clinical trials.","['Oehler, Vivian G', 'Radich, Jerald P']","['Oehler VG', 'Radich JP']","['Clinical Research Division, Program in Genetics and Genomics, Fred Hutchinson Cancer Research Center, 1100 Fairview Ave., North Seattle, WA 98109, USA.']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Biomarkers, Tumor)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Benzamides', 'Biomarkers, Tumor/*blood', 'Bone Marrow Transplantation/methods', 'Child', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Disease-Free Survival', 'Drug Monitoring', 'Drug Resistance, Neoplasm/genetics', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/*blood/genetics', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/drug therapy/genetics/*pathology/surgery', 'Multicenter Studies as Topic', 'Neoplasm, Residual', 'Piperazines/administration & dosage/therapeutic use', 'Polymerase Chain Reaction/*methods', 'Protein Kinase Inhibitors/administration & dosage/therapeutic use', 'Pyrimidines/administration & dosage/therapeutic use', 'Recurrence', 'Sensitivity and Specificity']",56,2006/09/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/09/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-996-0003-x [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Sep;1(3):152-9. doi: 10.1007/s11899-996-0003-x.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425345,NLM,MEDLINE,20100806,20220114,1558-822X (Electronic) 1558-8211 (Linking),1,3,2006 Sep,Update on practical aspects of the treatment of chronic myeloid leukemia with imatinib mesylate.,141-51,10.1007/s11899-996-0002-y [doi],"Imatinib (imatinib mesylate, Gleevec(R) [formerly known as STI571], Novartis Pharmaceuticals, Basel, Switzerland) is a protein tyrosine kinase inhibitor that is approved by the US Food and Drug Administration for patients with all phases of chronic myeloid leukemia (CML). Imatinib is remarkably effective as treatment for CML in the chronic phase (at a dosage of 400 mg/d) and the accelerated phase (at 600 mg/d). At this time, it remains to be seen whether the chronic phase of CML can be extended sufficiently in some patients so that they are functionally ""cured,"" and also whether the increased rate of major molecular response induced by doses of imatinib higher than 400 mg/d will further improve overall survival of patients with CML in the chronic phase. The value of molecular monitoring of response in patients with CML in the chronic phase is examined. Although imatinib 800 mg/d can induce dramatic responses in patients with myeloid blast crisis, lymphoid blast crisis, and Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL), the responses are usually incomplete and of short duration. We discuss the role of imatinib in relation to allogeneic stem cell transplantation (particularly in younger patients), recognizing that the data upon which any decisions can be made are relatively immature. Finally, recent data on new tyrosine kinase inhibitors capable of overcoming primary or acquired resistance to imatinib are reviewed.","['Zonder, Jeffrey A', 'Schiffer, Charles A']","['Zonder JA', 'Schiffer CA']","['Division of Hematology/Oncology, Karmanos Cancer Institute, Wayne State University School of Medicine, 4100 John R., Detroit, MI 48201, USA. zonderj@karmanos.org']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Thiazoles)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'F41401512X (nilotinib)', 'RBZ1571X5H (Dasatinib)']",IM,"['Algorithms', 'Antineoplastic Agents/adverse effects/pharmacokinetics/*therapeutic use', 'Benzamides', 'Blast Crisis/drug therapy', 'Chemical and Drug Induced Liver Injury/etiology', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Dasatinib', 'Drug Eruptions/etiology', 'Drug Interactions', 'Edema/chemically induced', 'Fusion Proteins, bcr-abl/*antagonists & inhibitors', 'Gastrointestinal Diseases/chemically induced', 'Hematologic Diseases/chemically induced', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/surgery', 'Piperazines/adverse effects/pharmacokinetics/*therapeutic use', 'Protein Kinase Inhibitors/adverse effects/pharmacokinetics/*therapeutic use', 'Pyrimidines/adverse effects/pharmacokinetics/*therapeutic use', 'Salvage Therapy', 'Thiazoles/therapeutic use']",68,2006/09/01 00:00,2010/08/07 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/09/01 00:00 [pubmed]', '2010/08/07 06:00 [medline]']",['10.1007/s11899-996-0002-y [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Sep;1(3):141-51. doi: 10.1007/s11899-996-0002-y.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425342,NLM,MEDLINE,20100728,20211020,1558-822X (Electronic) 1558-8211 (Linking),1,2,2006 Jun,Is cytarabine required in the treatment of acute promyelocytic leukemia?,122-5,10.1007/s11899-006-0023-6 [doi],"Until the late 1980s, chemotherapy with anthracyclines and cytarabine (AraC) was the only treatment approach for acute promyelocytic leukemia (APL), as for other types of acute myeloid leukemia. Many studies have shown that treatment with all-trans retinoic acid (ATRA), followed by anthracycline-AraC chemotherapy, significantly decreases the incidence of relapse and improves survival in newly diagnosed APL, compared with this chemotherapy alone. This approach was associated with consistent morbidity and mortality during consolidation and maintenance treatment, however, mainly resulting from myelosuppression induced by anthracycline-AraC courses. Several groups have reported high rates of complete remission and low rates of relapse with ATRA and chemotherapy using anthracyclines alone, suggesting that AraC could be avoided in the chemotherapy of APL, reducing toxicity. These results were not confirmed in other studies, however, raising the issue of the role of AraC in treatment of patients with newly diagnosed APL.","['Ades, Lionel', 'Fenaux, Pierre']","['Ades L', 'Fenaux P']","['Hopital Avicenne-Universite Paris, Bobigny, France. pierre.fenaux@avc.aphp.fr <pierre.fenaux@avc.aphp.fr>']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,"['0 (Anthracyclines)', '0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', '5688UTC01R (Tretinoin)']",IM,"['Adult', 'Anthracyclines/administration & dosage/adverse effects', 'Antimetabolites, Antineoplastic/administration & dosage/adverse effects/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cytarabine/administration & dosage/adverse effects/*therapeutic use', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Middle Aged', 'Multicenter Studies as Topic', 'Randomized Controlled Trials as Topic', 'Remission Induction', 'Treatment Outcome', 'Tretinoin/administration & dosage/adverse effects']",26,2006/06/01 00:00,2010/07/29 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/06/01 00:00 [pubmed]', '2010/07/29 06:00 [medline]']",['10.1007/s11899-006-0023-6 [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Jun;1(2):122-5. doi: 10.1007/s11899-006-0023-6.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20425341,NLM,MEDLINE,20100728,20211020,1558-822X (Electronic) 1558-8211 (Linking),1,2,2006 Jun,Clinical implications of gene expression profiling of acute myeloid leukemia.,114-21,10.1007/s11899-006-0022-7 [doi],"Since the first demonstration in 1999 that gene expression profiling could distinguish between different variants of acute leukemia, several studies have analyzed patients with acute myeloid leukemia on the basis of cytogenetics, morphologic subgroups, secondary mutations such as FLT3, prognosis, and therapeutic response. This review examines some of these data and attempts to discuss whether these analyses will have clinical applications in diagnosis, prediction of prognosis and response to therapy, disease classification, or individually targeted therapy. It is probable that all these areas will reach the clinical environment eventually, but in the short to medium term, microarrays will be involved only in diagnosis.","['Mills, Kenneth I', 'Gilkes, Amanda F']","['Mills KI', 'Gilkes AF']","['Department of Haematology, Cardiff University, Heath Park, Wales, UK. millski@cardiff.ac.uk']",['eng'],"['Journal Article', 'Review']",United States,Curr Hematol Malig Rep,Current hematologic malignancy reports,101262565,['0 (Neoplasm Proteins)'],IM,"['Adult', 'Child', 'Drug Resistance, Neoplasm/genetics', '*Gene Expression Profiling', 'Gene Expression Regulation, Leukemic', 'Humans', 'Leukemia, Myeloid, Acute/classification/diagnosis/drug therapy/*genetics', 'Mutation', 'Neoplasm Proteins/genetics', 'Patient Selection', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Prognosis', 'Translocation, Genetic', 'Treatment Outcome']",39,2006/06/01 00:00,2010/07/29 06:00,['2010/04/29 06:00'],"['2010/04/29 06:00 [entrez]', '2006/06/01 00:00 [pubmed]', '2010/07/29 06:00 [medline]']",['10.1007/s11899-006-0022-7 [doi]'],ppublish,Curr Hematol Malig Rep. 2006 Jun;1(2):114-21. doi: 10.1007/s11899-006-0022-7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
