PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,LID,PMC,AB,AD,DEP,UIN,UOF,RF,GR,MID,CIN,CON,CI,COIS,CN,IR,FIR,EIN,SI,PS,FPS,RIN
20291420,NLM,MEDLINE,20100318,20201005,0018-0203 (Print) 0018-0203 (Linking),13,3-4,1946 Jul,Promyelocyte leukemia,418,"['MICHAUD, L']",['MICHAUD L'],['fre'],['Journal Article'],Leucemie a promyelocytes.,Switzerland,Helv Med Acta,Helvetica medica acta,0401174,OM,"['Humans', '*Leukemia, Myeloid']",['CLML: 4712:889j'],['NLM'],['*LEUKEMIA/myeloid'],1946/07/01 00:00,2011/04/13 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/07/01 00:00 [pubmed]', '2011/04/13 06:00 [medline]']",ppublish,Helv Med Acta. 1946 Jul;13(3-4):418.,,,,,,,,,,,,,,,,,,,,,,,,
20291299,NLM,MEDLINE,20100329,20181201,,4,2,1946 Oct,[Myelogenous leukemia].,105-18,"['MAYNARD, E P Jr', 'VANDERLINDE, J W']","['MAYNARD EP Jr', 'VANDERLINDE JW', 'et al.']",['eng'],['Journal Article'],,United States,Brooklyn Hosp J,The Brooklyn Hospital journal,15740450R,OM,"['Humans', '*Leukemia, Myeloid']",['CLML: 4712:884d1'],['NLM'],['*LEUKEMIA/myelogenous'],1946/10/01 00:00,2011/04/13 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/10/01 00:00 [pubmed]', '2011/04/13 06:00 [medline]']",ppublish,Brooklyn Hosp J. 1946 Oct;4(2):105-18.,,,,,,,,,,,,,,,,,,,,,,,,
20290910,NLM,MEDLINE,20100329,20181201,0003-276X (Print) 0003-276X (Linking),97,3,1947 Mar,The Golgi element in primitive erythroblasts of the 11-day rat embryo.,393,"['JONES, O P']",['JONES OP'],['eng'],['Journal Article'],,United States,Anat Rec,The Anatomical record,0370540,OM,"['Animals', 'Blood/*biosynthesis', '*Erythroblasts', '*Erythrocytes', '*Golgi Apparatus', '*Leukemia, Myeloid', 'Rats']",['CLML: 4712:864f'],['NLM'],"['*BLOOD/formation', '*ERYTHROCYTES', '*GOLGI APPARATUS', '*LEUKEMIA/myeloid']",1947/03/01 00:00,1947/03/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/03/01 00:00 [pubmed]', '1947/03/01 00:01 [medline]']",ppublish,Anat Rec. 1947 Mar;97(3):393.,,,,,,,,,,,,,,,,,,,,,,,,
20290874,NLM,MEDLINE,20100318,20181201,,28,4,1947 Apr,Leukemia in two dogs belonging to the same owner.,232-4,"['KONDE, W N']",['KONDE WN'],['eng'],['Journal Article'],,United States,North Am Vet,The North American veterinarian,18750060R,OM,"['Animals', 'Dogs', 'Humans', '*Leukemia']",['CLML: 4712:862d'],['NLM'],['*LEUKEMIA/in animals'],1947/04/01 00:00,2014/08/13 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/04/01 00:00 [pubmed]', '2014/08/13 06:00 [medline]']",ppublish,North Am Vet. 1947 Apr;28(4):232-4.,,,,,,,,,,,,,,,,,,,,,,,,
20290762,NLM,MEDLINE,20100329,20181201,0096-6878 (Print) 0096-6878 (Linking),51,1,1947 Jan,The mechanism of the cutaneous manifestations of acute leukemia.,46-9,"['BARNARD, R D']",['BARNARD RD'],['eng'],['Journal Article'],,United States,Urol Cutaneous Rev,The Urologic and cutaneous review,0102777,OM,"['*Acute Disease', '*Administration, Cutaneous', 'Humans', '*Leukemia', '*Skin Diseases']",['CLML: 4712:857a1'],['NLM'],"['*LEUKEMIA/cutaneous', '*SKIN/diseases']",1947/01/01 00:00,1947/01/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '1947/01/01 00:01 [medline]']",ppublish,Urol Cutaneous Rev. 1947 Jan;51(1):46-9.,,,,,,,,,,,,,,,,,,,,,,,,
20290564,NLM,MEDLINE,20100318,20181201,0042-4676 (Print) 0042-4676 (Linking),26,4,1946,[Lesions of the skeleton in leukemia].,81-4,"['KENIG, P P', 'SLOBODSKAIA, V J']","['KENIG PP', 'SLOBODSKAIA VJ']",['und'],['Journal Article'],Porazhenie skeleta pri leikemii.,Russia (Federation),Vestn Rentgenol Radiol,Vestnik rentgenologii i radiologii,0424741,OM,"['Bone and Bones/*pathology', 'Humans', 'Leukemia/*pathology', '*Radiopharmaceuticals']",['CLML: 4712:848o'],['NLM'],"['*BONES/pathology', '*LEUKEMIA/pathology']",1946/01/01 00:00,2011/01/06 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/01/01 00:00 [pubmed]', '2011/01/06 06:00 [medline]']",ppublish,Vestn Rentgenol Radiol. 1946;26(4):81-4.,['0 (Radiopharmaceuticals)'],,,,,,,,,,,,,,,,,,,,,,,
20290338,NLM,MEDLINE,20100318,20201005,0018-022X (Print) 0018-022X (Linking),1,6,1946 Oct,Bone changes in childhood leukemia; About rheumatoid forms of leukemia.,461-74,"['LANDOLT, R F']",['LANDOLT RF'],['ger'],['Journal Article'],Knochenveranderungen bei kindlicher Leukamie; uber rheumatoide Leukamieformen.,Switzerland,Helv Paediatr Acta,Helvetica paediatrica acta,0373005,OM,"['Bone and Bones/*pathology', 'Child', 'Humans', 'Infant', '*Leukemia']",['CLML: 4712:835g'],['NLM'],"['*BONES/pathology', '*LEUKEMIA/in infants and children', '*LEUKEMIA/rheumatoid']",1946/10/01 00:00,1946/10/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/10/01 00:00 [pubmed]', '1946/10/01 00:01 [medline]']",ppublish,Helv Paediatr Acta. 1946 Oct;1(6):461-74.,,,,,,,,,,,,,,,,,,,,,,,,
20290326,NLM,MEDLINE,20100318,20201005,0018-022X (Print) 0018-022X (Linking),1,4,1946 May,Three cases of chronic myeloid childhood leukemia with special attention to the effects of X-rays and splenectomy on blood count and bone marrow.,299-334,"['GASSER, C']",['GASSER C'],['ger'],['Journal Article'],Drei Falle von chronischer myeloischer Leukamie im Kindesalter mit besonderer Berucksichtigung der Wirkung von Rontgenbestrahlung und Splenektomie auf Blutbild und Knochenmark.,Switzerland,Helv Paediatr Acta,Helvetica paediatrica acta,0373005,OM,"['*Bone Marrow', 'Humans', '*Leukemia, Myeloid', '*Splenectomy', 'X-Rays']",['CLML: 4712:834p'],['NLM'],"['*BONES/marrow', '*LEUKEMIA/myeloid', '*ROENTGEN RAYS/effects', '*SPLENECTOMY']",1946/05/01 00:00,1946/05/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/05/01 00:00 [pubmed]', '1946/05/01 00:01 [medline]']",ppublish,Helv Paediatr Acta. 1946 May;1(4):299-334.,,,,,,,,,,,,,,,,,,,,,,,,
20289699,NLM,MEDLINE,20100329,20201005,0012-0472 (Print) 0012-0472 (Linking),71,21-24,1946 Oct 18,Lymphosarcomatosis and concept of leukemia.,220-4,"['TISCHENDORF, W']",['TISCHENDORF W'],['ger'],['Journal Article'],Lymphosarkomatose und Leukamiebegriff.,Germany,Dtsch Med Wochenschr,Deutsche medizinische Wochenschrift (1946),0006723,OM,"['Humans', '*Leukemia', '*Neoplasms', '*Sarcoma']",['CLML: 4712:803d'],['NLM'],"['*LEUKEMIA', '*SARCOMA/lympho-']",1946/10/18 00:00,1946/10/18 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/10/18 00:00 [pubmed]', '1946/10/18 00:01 [medline]']",ppublish,Dtsch Med Wochenschr. 1946 Oct 18;71(21-24):220-4. doi: 10.1055/s-0028-1118584.,,['10.1055/s-0028-1118584 [doi]'],,,,,,,,,,,,,,,,,,,,,,
20288700,NLM,MEDLINE,20100318,20181201,0009-4129 (Print) 0009-4129 (Linking),3,3,1947 Feb,Leukemia with an associated septicemia.,67-71,"['STILLER, R']",['STILLER R'],['eng'],['Journal Article'],,United States,Clin Proc Child Hosp Dist Columbia,Clinical proceedings - Children's Hospital of the District of Columbia,7503483,OM,"['Humans', '*Leukemia', '*Sepsis']",['CLML: 4712:754j1'],['NLM'],"['*LEUKEMIA', '*SEPTICEMIA']",1947/02/01 00:00,2011/01/06 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/02/01 00:00 [pubmed]', '2011/01/06 06:00 [medline]']",ppublish,Clin Proc Child Hosp Dist Columbia. 1947 Feb;3(3):67-71.,,,,,,,,,,,,,,,,,,,,,,,,
20286519,NLM,MEDLINE,20100329,20191111,0366-2845 (Print) 0366-2845 (Linking),59,2,1947 Feb,Cutaneous Neukaemic deposits supervening on herpes zoster in a case of chronic lymphatic leukaemia.,57-9,"['WILKINSON, J F']",['WILKINSON JF'],['eng'],['Journal Article'],,England,Br J Dermatol Syph,The British journal of dermatology and syphilis,9716393,OM,"['*Herpes Zoster', '*Herpesvirus 3, Human', 'Humans', '*Leukemia', '*Leukemia, Lymphocytic, Chronic, B-Cell', '*Leukemia, Lymphoid', 'Skin/*pathology']",['CLML: 4712:653s'],['NLM'],"['*HERPES/zoster', '*LEUKEMIA/lymphatic', '*SKIN/pathology']",1947/02/01 00:00,1947/02/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/02/01 00:00 [pubmed]', '1947/02/01 00:01 [medline]']",ppublish,Br J Dermatol Syph. 1947 Feb;59(2):57-9. doi: 10.1111/j.1365-2133.1947.tb11264.x.,,['10.1111/j.1365-2133.1947.tb11264.x [doi]'],,,,,,,,,,,,,,,,,,,,,,
20285490,NLM,MEDLINE,20100318,20191111,0033-5622 (Print) 0033-5622 (Linking),15,4,1946 Oct,The aetiology of chloroma and the nature of the green pigment; a report of three cases.,299-312,"['HUMBLE, J G']",['HUMBLE JG'],['eng'],['Journal Article'],,England,Q J Med,The Quarterly journal of medicine,0401027,OM,"['*Biological Products', 'Humans', '*Neoplasms', '*Pigments, Biological', '*Sarcoma, Myeloid']",['CLML: 4712:603b'],['NLM'],"['*PIGMENTS', '*TUMORS/chloroma']",1946/10/01 00:00,2014/08/13 06:00,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1946/10/01 00:00 [pubmed]', '2014/08/13 06:00 [medline]']",ppublish,Q J Med. 1946 Oct;15(4):299-312. doi: 10.1093/qjmed/15.60.299.,"['0 (Biological Products)', '0 (Pigments, Biological)']",['10.1093/qjmed/15.60.299 [doi]'],,,,,,,,,,,,,,,,,,,,,,
20284870,NLM,MEDLINE,20100318,20181201,0002-9645 (Print) 0002-9645 (Linking),8,26,1947 Jan,Immunity and cross immunity reactions obtained with several avian lymphoid tumor strains.,128-33,"['BURMESTER, B R', 'BELDING, T C']","['BURMESTER BR', 'BELDING TC']",['eng'],['Journal Article'],,United States,Am J Vet Res,American journal of veterinary research,0375011,OM,"['Animals', '*Avian Leukosis', '*Lymphoma', '*Neoplasms']",['CLML: 4712:573c'],['NLM'],"['*LEUKOSIS/avian', '*TUMORS/in animals', '*TUMORS/lymphoid avian']",1947/01/01 00:00,1947/01/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '1947/01/01 00:01 [medline]']",ppublish,Am J Vet Res. 1947 Jan;8(26):128-33.,,,,,,,,,,,,,,,,,,,,,,,,
20284869,NLM,MEDLINE,20100318,20181201,0002-9645 (Print) 0002-9645 (Linking),8,26,1947 Jan,Adsorbate Newcastle disease (avian pest) vaccine.,120-7,"['CORONEL, A B']",['CORONEL AB'],['eng'],['Journal Article'],,United States,Am J Vet Res,American journal of veterinary research,0375011,OM,"['Animals', '*Avian Leukosis', 'Biopsy/*veterinary', '*Lymphoma', '*Neoplasms', '*Newcastle Disease', '*Vaccines']",['CLML: 4712:573b'],['NLM'],"['*BIOPSIES/veterinary', '*LEUKOSIS/avian', '*NEWCASTLE DISEASE/vaccine', '*TUMORS/in animals', '*TUMORS/lymphoid avian']",1947/01/01 00:00,1947/01/01 00:01,['2010/03/19 06:00'],"['2010/03/19 06:00 [entrez]', '1947/01/01 00:00 [pubmed]', '1947/01/01 00:01 [medline]']",ppublish,Am J Vet Res. 1947 Jan;8(26):120-7.,['0 (Vaccines)'],,,,,,,,,,,,,,,,,,,,,,,
