PMID,OWN,STAT,DCOM,LR,IS,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,VI,GR,CIN,PMC,MID,RF,EIN,CI,OTO,OT,CON,CN,SI,TT,IR,FIR,OID,RIN,PS,FPS,COIS
20023915,NLM,MEDLINE,20100302,20131121,1477-9234 (Electronic) 1477-9226 (Linking),48,2009 Dec 28,"DNA cleavage and antitumour activity of platinum(II) and copper(II) compounds derived from 4-methyl-2-N-(2-pyridylmethyl)aminophenol: spectroscopic, electrochemical and biological investigation.",10846-60,10.1039/b911542k [doi],"The reaction of the redox-active ligand, Hpyramol (4-methyl-2-N-(2-pyridylmethyl)aminophenol) with K(2)PtCl(4) yields monofunctional square-planar [Pt(pyrimol)Cl], PtL-Cl, which was structurally characterised by single-crystal X-ray diffraction and NMR spectroscopy. This compound unexpectedly cleaves supercoiled double-stranded DNA stoichiometrically and oxidatively, in a non-specific manner without any external reductant added, under physiological conditions. Spectro-electrochemical investigations of PtL-Cl were carried out in comparison with the analogue CuL-Cl as a reference compound. The results support a phenolate oxidation, generating a phenoxyl radical responsible for the ligand-based DNA cleavage property of the title compounds. Time-dependent in vitro cytotoxicity assays were performed with both PtL-Cl and CuL-Cl in various cancer cell lines. The compound CuL-Cl overcomes cisplatin-resistance in ovarian carcinoma and mouse leukaemia cell lines, with additional activity in some other cells. The platinum analogue, PtL-Cl also inhibits cell-proliferation selectively. Additionally, cellular-uptake studies performed for both compounds in ovarian carcinoma cell lines showed that significant amounts of Pt and Cu were accumulated in the A2780 and A2780R cancer cells. The conformational and structural changes induced by PtL-Cl and CuL-Cl on calf thymus DNA and phiX174 supercoiled phage DNA at ambient conditions were followed by electrophoretic mobility assay and circular dichroism spectroscopy. The compounds induce extensive DNA degradation and unwinding, along with formation of a monoadduct at the DNA minor groove. Thus, hybrid effects of metal-centre variation, multiple DNA-binding modes and ligand-based redox activity towards cancer cell-growth inhibition have been demonstrated. Finally, reactions of PtL-Cl with DNA model bases (9-Ethylguanine and 5'-GMP) followed by NMR and MS showed slow binding at Guanine-N7 and for the double stranded self complimentary oligonucleotide d(GTCGAC)(2) in the minor groove.","['Roy, Sudeshna', 'Maheswari, Palanisamy Uma', 'Lutz, Martin', 'Spek, Anthony L', 'den Dulk, Hans', 'Barends, Sharief', 'van Wezel, Gilles P', 'Hartl, Frantisek', 'Reedijk, Jan']","['Roy S', 'Maheswari PU', 'Lutz M', 'Spek AL', 'den Dulk H', 'Barends S', 'van Wezel GP', 'Hartl F', 'Reedijk J']","['Leiden Institute of Chemistry, Gorlaeus Laboratories, Leiden University, P.O. Box 9502, 2300 RA, Leiden, The Netherlands.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20091013,England,Dalton Trans,"Dalton transactions (Cambridge, England : 2003)",101176026,"['0 (Aminophenols)', '0 (Antineoplastic Agents)', '0 (Coordination Complexes)', '49DFR088MY (Platinum)', '5Z93L87A1R (Guanine)', '789U1901C5 (Copper)', '85-32-5 (Guanosine Monophosphate)', '879-08-3 (9-ethylguanine)', '9007-49-2 (DNA)', '91080-16-9 (calf thymus DNA)']",IM,"['Aminophenols/*chemistry', 'Animals', 'Antineoplastic Agents/chemical synthesis/*chemistry/toxicity', 'Cattle', 'Cell Line, Tumor', 'Circular Dichroism', 'Coordination Complexes/chemical synthesis/*chemistry/toxicity', 'Copper/*chemistry', 'Crystallography, X-Ray', 'DNA/chemistry/metabolism', '*DNA Cleavage', 'Drug Screening Assays, Antitumor', 'Electrochemical Techniques', 'Guanine/analogs & derivatives/chemistry', 'Guanosine Monophosphate/chemistry', 'Humans', 'Mice', 'Molecular Conformation', 'Platinum/*chemistry', 'Spectrophotometry, Ultraviolet']",2009/12/22 06:00,2010/03/03 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/03/03 06:00 [medline]']",['10.1039/b911542k [doi]'],ppublish,Dalton Trans. 2009 Dec 28;(48):10846-60. doi: 10.1039/b911542k. Epub 2009 Oct 13.,,,,,,,,,,,,,,,,,,,,,
20023795,NLM,MEDLINE,20100310,20091221,1757-9708 (Electronic) 1757-9694 (Linking),1,2009 Jan,Real-time detection of the early event of cytotoxicity of herbal ingredients on single leukemia cells studied in a microfluidic biochip.,90-8,10.1039/b812987h [doi],"A microfluidic approach has been developed for the real-time detection of drug effects, based on the quantitative measurement of calibrated cytosolic calcium ([Ca(2+)](i)) on single cancer cells. This microfluidic method is rapid by detecting the early event of cytotoxicity of drug candidates on cancer cells, without waiting for a couple of days needed for cell seeding and drug treatment by conventional assays. The miniaturized biochip consists of a V-shaped structure for the single-cell selection and retention. Various test reagents such as the chemotherapy drug (daunorubicin), an ionophore (ionomycin), and herbal ingredients from licorice (isoliquiritigenin or IQ) were investigated for their abilities to stimulate sustained cellular [Ca(2+)](i) elevations. The microfluidic results obtained in hours have been confirmed by conventional cytotoxicity assays which take days to complete. Moreover, any color or chemical interference problems found in the conventional assays of herbal compounds could be resolved. Using the microfluidic approach, IQ (50 microM) has been found to cause a sustained [Ca(2+)](i) elevation and cytotoxic effects on leukemia cells. The microfluidic single-cell analysis not only reduces reagent cost, and demands less cells, but also reveals some phenomena due to cellular heterogeneity that cannot be observed in bulk analysis.","['Li, XiuJun', 'Xue, Xiaoyan', 'Li, Paul C H']","['Li X', 'Xue X', 'Li PC']","['Department of Chemistry, Simon Fraser University, Burnaby, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20081112,England,Integr Biol (Camb),Integrative biology : quantitative biosciences from nano to macro,101478378,,IM,"['Animals', 'Biological Assay/*instrumentation', 'Cell Line', 'Cell Survival/drug effects', 'Computer Systems', 'Equipment Design', 'Equipment Failure Analysis', 'Flow Cytometry/*instrumentation', 'Macrophages/*drug effects/*physiology', 'Mice', 'Microfluidic Analytical Techniques/*instrumentation', 'Plants, Medicinal/*toxicity', 'Toxicity Tests/*instrumentation']",2009/12/22 06:00,2010/03/11 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/03/11 06:00 [medline]']",['10.1039/b812987h [doi]'],ppublish,Integr Biol (Camb). 2009 Jan;1(1):90-8. doi: 10.1039/b812987h. Epub 2008 Nov 12.,1,,,,,,,,,,,,,,,,,,,,
20023710,NLM,MEDLINE,20110301,20151119,1476-5365 (Electronic) 0268-3369 (Linking),8,2010 Aug,Allo-SCT in a rare t(8;21) evolution of CML.,1365-6,10.1038/bmt.2009.340 [doi],,"['Hsiao, H H', 'Tsai, H J', 'Liu, Y C', 'Lee, C P', 'Lin, S F']","['Hsiao HH', 'Tsai HJ', 'Liu YC', 'Lee CP', 'Lin SF']",,['eng'],"['Case Reports', 'Letter']",20091221,England,Bone Marrow Transplant,Bone marrow transplantation,8702459,"['0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adult', 'Benzamides', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 8', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/pathology/*therapy', 'Male', 'Piperazines/pharmacology/therapeutic use', 'Pyrimidines/pharmacology/therapeutic use', '*Translocation, Genetic', 'Transplantation, Homologous']",2009/12/22 06:00,2011/03/02 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2011/03/02 06:00 [medline]']","['bmt2009340 [pii]', '10.1038/bmt.2009.340 [doi]']",ppublish,Bone Marrow Transplant. 2010 Aug;45(8):1365-6. doi: 10.1038/bmt.2009.340. Epub 2009 Dec 21.,45,,,,,,,,,,,,,,,,,,,,
20023702,NLM,MEDLINE,20100423,20151119,1476-5594 (Electronic) 0950-9232 (Linking),13,2010 Apr 1,OGG1 is a novel prognostic indicator in acute myeloid leukaemia.,2005-12,10.1038/onc.2009.462 [doi],"OGG1 (8-oxoguanine DNA glycosylase) constitutes a key component of the DNA base excision repair pathway, catalysing the removal of 8-oxoguanine nucleotides from DNA, thereby suppressing mutagenesis and cell death. We found that OGG1 expression was significantly downregulated by the RUNX1-ETO fusion protein product of the t(8;21) chromosome translocation in normal haematopoietic progenitor cells and in patients with acute myeloid leukaemia (AML). Further examination of OGG1 expression in 174 AML trial patients using Affymetrix microarrays showed that the prevalence rate of OGG1 expression was 33% and correlated strongly with adverse cytogenetics. OGG1-expressing patients had a worse relapse-free survival and overall survival and an increased risk of relapse at 5-years of follow-up. There remained a trend towards increased relapse rate among OGG1-expressing patients, even after adjusting for other known risk factors in comprehensive stratified analyses. We also determined a trend for OGG1 expression to have a more adverse impact on disease outcome in the context of the FLT3-ITD mutation. This study highlights OGG1 as a valuable prognostic marker that could be used to sub-stratify AML patients to predict those likely to fail conventional chemotherapies but those likely to benefit from novel therapeutic approaches that modulate DNA repair activity.","['Liddiard, K', 'Hills, R', 'Burnett, A K', 'Darley, R L', 'Tonks, A']","['Liddiard K', 'Hills R', 'Burnett AK', 'Darley RL', 'Tonks A']","['Department of Haematology, School of Medicine, Cardiff University, Cardiff, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20091221,England,Oncogene,Oncogene,8711562,"['0 (Biomarkers, Tumor)', '5614-64-2 (8-hydroxyguanine)', '5Z93L87A1R (Guanine)', 'EC 3.2.2.- (DNA Glycosylases)', 'EC 3.2.2.- (oxoguanine glycosylase 1, human)']",IM,"['Biomarkers, Tumor/genetics/*metabolism', 'DNA Glycosylases/genetics/*metabolism', 'Follow-Up Studies', 'Guanine/*analogs & derivatives/metabolism', 'Humans', 'Leukemia, Myeloid, Acute/*diagnosis/enzymology/metabolism', 'Mutation', '*Prognosis']",2009/12/22 06:00,2010/04/24 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/04/24 06:00 [medline]']","['onc2009462 [pii]', '10.1038/onc.2009.462 [doi]']",ppublish,Oncogene. 2010 Apr 1;29(13):2005-12. doi: 10.1038/onc.2009.462. Epub 2009 Dec 21.,29,['Medical Research Council/United Kingdom'],,,,,,,,,,,,,,,,,,,
20023636,NLM,MEDLINE,20100125,20211020,1546-170X (Electronic) 1078-8956 (Linking),1,2010 Jan,Biofilm-like extracellular viral assemblies mediate HTLV-1 cell-to-cell transmission at virological synapses.,83-9,10.1038/nm.2065 [doi],"Human T cell leukemia virus type 1 (HTLV-1) is a lymphotropic retrovirus whose cell-to-cell transmission requires cell contacts. HTLV-1-infected T lymphocytes form 'virological synapses', but the mechanism of HTLV-1 transmission remains poorly understood. We show here that HTLV-1-infected T lymphocytes transiently store viral particles as carbohydrate-rich extracellular assemblies that are held together and attached to the cell surface by virally-induced extracellular matrix components, including collagen and agrin, and cellular linker proteins, such as tetherin and galectin-3. Extracellular viral assemblies rapidly adhere to other cells upon cell contact, allowing virus spread and infection of target cells. Their removal strongly reduces the ability of HTLV-1-producing cells to infect target cells. Our findings unveil a novel virus transmission mechanism based on the generation of extracellular viral particle assemblies whose structure, composition and function resemble those of bacterial biofilms. HTLV-1 biofilm-like structures represent a major route for virus transmission from cell to cell.","['Pais-Correia, Ana-Monica', 'Sachse, Martin', 'Guadagnini, Stephanie', 'Robbiati, Valentina', 'Lasserre, Remi', 'Gessain, Antoine', 'Gout, Olivier', 'Alcover, Andres', 'Thoulouze, Maria-Isabel']","['Pais-Correia AM', 'Sachse M', 'Guadagnini S', 'Robbiati V', 'Lasserre R', 'Gessain A', 'Gout O', 'Alcover A', 'Thoulouze MI']","['Institut Pasteur, Unite de Biologie Cellulaire des Lymphocytes, Centre National de Recherche Scientifique (CNRS), Unite de Recherche Associee 1961, Paris, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20091220,United States,Nat Med,Nature medicine,9502015,"['0 (Gene Products, env)', '11028-71-0 (Concanavalin A)']",IM,"['Biofilms', 'CD4-Positive T-Lymphocytes/*virology', 'Concanavalin A', 'Extracellular Matrix/*virology', 'Gene Products, env/metabolism', 'HTLV-I Infections/*transmission/virology', 'Human T-lymphotropic virus 1/pathogenicity/*physiology', 'Humans', 'Microscopy, Electron, Transmission', 'Virus Assembly/physiology', 'Virus Attachment', 'Virus Internalization']",2009/12/22 06:00,2010/01/26 06:00,['2009/12/22 06:00'],"['2009/08/03 00:00 [received]', '2009/10/30 00:00 [accepted]', '2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/01/26 06:00 [medline]']","['nm.2065 [pii]', '10.1038/nm.2065 [doi]']",ppublish,Nat Med. 2010 Jan;16(1):83-9. doi: 10.1038/nm.2065. Epub 2009 Dec 20.,16,,['Nat Med. 2010 Jan;16(1):25-7. PMID: 20057417'],,,,,,,,,,,,,,,,,,
20023629,NLM,MEDLINE,20100212,20211020,1476-4687 (Electronic) 0028-0836 (Linking),7277,2010 Jan 7,Deubiquitinase USP9X stabilizes MCL1 and promotes tumour cell survival.,103-7,10.1038/nature08646 [doi],"MCL1 is essential for the survival of stem and progenitor cells of multiple lineages, and is unique among pro-survival BCL2 family members in that it is rapidly turned over through the action of ubiquitin ligases. B- and mantle-cell lymphomas, chronic myeloid leukaemia, and multiple myeloma, however, express abnormally high levels of MCL1, contributing to chemoresistance and disease relapse. The mechanism of MCL1 overexpression in cancer is not well understood. Here we show that the deubiquitinase USP9X stabilizes MCL1 and thereby promotes cell survival. USP9X binds MCL1 and removes the Lys 48-linked polyubiquitin chains that normally mark MCL1 for proteasomal degradation. Increased USP9X expression correlates with increased MCL1 protein in human follicular lymphomas and diffuse large B-cell lymphomas. Moreover, patients with multiple myeloma overexpressing USP9X have a poor prognosis. Knockdown of USP9X increases MCL1 polyubiquitination, which enhances MCL1 turnover and cell killing by the BH3 mimetic ABT-737. These results identify USP9X as a prognostic and therapeutic target, and they show that deubiquitinases may stabilize labile oncoproteins in human malignancies.","['Schwickart, Martin', 'Huang, Xiaodong', 'Lill, Jennie R', 'Liu, Jinfeng', 'Ferrando, Ronald', 'French, Dorothy M', 'Maecker, Heather', ""O'Rourke, Karen"", 'Bazan, Fernando', 'Eastham-Anderson, Jeffrey', 'Yue, Peng', 'Dornan, David', 'Huang, David C S', 'Dixit, Vishva M']","['Schwickart M', 'Huang X', 'Lill JR', 'Liu J', 'Ferrando R', 'French DM', 'Maecker H', ""O'Rourke K"", 'Bazan F', 'Eastham-Anderson J', 'Yue P', 'Dornan D', 'Huang DC', 'Dixit VM']","['Department of Physiological Chemistry, Genentech, Inc., 1 DNA Way, South San Francisco, California 94080, USA.']",['eng'],['Journal Article'],20091220,England,Nature,Nature,0410462,"['0 (ABT-737)', '0 (Biphenyl Compounds)', '0 (Mcl1 protein, mouse)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Nitrophenols)', '0 (Piperazines)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Sulfonamides)', '0 (Taxoids)', '0 (USP9X protein, human)', '120904-94-1 (Polyubiquitin)', '15H5577CQD (Docetaxel)', '6PLQ3CP4P3 (Etoposide)', 'EC 3.4.19.12 (Ubiquitin Thiolesterase)', 'K3Z4F929H6 (Lysine)']",IM,"['Animals', 'Apoptosis/drug effects', 'Biphenyl Compounds/pharmacology', 'Cell Line', 'Cell Line, Tumor', 'Cell Survival', 'DNA Damage', 'Docetaxel', 'Etoposide/pharmacology', 'Female', 'Gene Expression Regulation, Neoplastic', 'Gene Knockdown Techniques', 'Half-Life', 'Humans', 'Lysine/metabolism', 'Mice', 'Mice, SCID', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasms/diagnosis/*metabolism/*pathology', 'Nitrophenols/pharmacology', 'Phosphorylation/radiation effects', 'Piperazines/pharmacology', 'Polyubiquitin/*metabolism', 'Prognosis', 'Protein Binding/radiation effects', 'Protein Stability', 'Proto-Oncogene Proteins c-bcl-2/genetics/*metabolism', 'RNA Interference', 'Sulfonamides/pharmacology', 'Taxoids/pharmacology', 'Ubiquitin Thiolesterase/deficiency/genetics/*metabolism', 'Ubiquitination', 'Ultraviolet Rays', 'Xenograft Model Antitumor Assays']",2009/12/22 06:00,2010/02/13 06:00,['2009/12/22 06:00'],"['2008/12/17 00:00 [received]', '2009/11/05 00:00 [accepted]', '2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/02/13 06:00 [medline]']","['nature08646 [pii]', '10.1038/nature08646 [doi]']",ppublish,Nature. 2010 Jan 7;463(7277):103-7. doi: 10.1038/nature08646. Epub 2009 Dec 20.,463,,,,,,,,,,,,,,,,,,,,
20023398,NLM,MEDLINE,20100408,20200930,1551-4005 (Electronic) 1551-4005 (Linking),2,2010 Jan 15,Hes1 oscillation: making variable choices for stem cell differentiation.,207-8,,,"['Kobayashi, Taeko', 'Kageyama, Ryoichiro']","['Kobayashi T', 'Kageyama R']",,['eng'],['Editorial'],20100130,United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,"['0 (Basic Helix-Loop-Helix Transcription Factors)', '0 (Calcium-Binding Proteins)', '0 (Dlk1 protein, mouse)', '0 (Hes1 protein, mouse)', '0 (Homeodomain Proteins)', '0 (Intercellular Signaling Peptides and Proteins)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Transcription Factor HES-1)']",IM,"['Animals', 'Basic Helix-Loop-Helix Transcription Factors/*metabolism', 'Calcium-Binding Proteins', 'Cell Differentiation', 'Embryonic Stem Cells/*cytology', 'Homeodomain Proteins/*metabolism', 'Intercellular Signaling Peptides and Proteins/metabolism', 'Leukemia Inhibitory Factor/metabolism', 'Mice', 'Transcription Factor HES-1']",2009/12/22 06:00,2010/04/09 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/04/09 06:00 [medline]']","['10478 [pii]', '10.4161/cc.9.2.10478 [doi]']",ppublish,Cell Cycle. 2010 Jan 15;9(2):207-8. doi: 10.4161/cc.9.2.10478. Epub 2010 Jan 30.,9,,,,,,,,,,,,,,,,,,,,
20023263,NLM,MEDLINE,20100112,20211020,1943-7722 (Electronic) 0002-9173 (Linking),1,2010 Jan,Diagnosis of myelodysplastic syndrome among a cohort of 119 patients with fanconi anemia: morphologic and cytogenetic characteristics.,92-100,10.1309/AJCP7W9VMJENZOVG [doi],"Predisposition to myelodysplastic syndrome (MDS) and acute leukemia is a hallmark of Fanconi anemia (FA). Morphologic criteria for MDS in FA are not well established, nor is the significance of clonal chromosomal abnormalities. We reviewed bone marrow samples of 119 FA patients: 23 had MDS, with the most common subtype refractory cytopenia with multilineage dysplasia. The presence of MDS was highly correlated with the presence of clonal abnormalities. Neutrophil dysplasia and increased blasts were always associated with the presence of a clone, in contrast with dyserythropoiesis. The most frequent clones had gains of 1q and 3q and/or loss of 7. Karyotype complexity also correlated with MDS. One third of patients with 3q as a sole abnormality had no MDS; patients with 3q and an additional abnormality all had MDS. The data provide a rationale for integrating cytogenetic findings with independently evaluated morphologic findings for monitoring bone marrow status in FA.","['Cioc, Adina M', 'Wagner, John E', 'MacMillan, Margaret L', 'DeFor, Todd', 'Hirsch, Betsy']","['Cioc AM', 'Wagner JE', 'MacMillan ML', 'DeFor T', 'Hirsch B']","['Department of Laboratory Medicine and Pathology, University of Minnesota Masonic Cancer Center, University of Minnesota Medical School, Minneapolis 55455, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adolescent', 'Adult', 'Aneuploidy', 'Bone Marrow Cells/pathology', 'Child', 'Child, Preschool', 'Chromosome Aberrations', 'Chromosome Deletion', 'Chromosomes, Human, 1-3', 'Chromosomes, Human, Pair 7', 'Clone Cells', 'Cohort Studies', 'Fanconi Anemia/complications/*diagnosis/genetics', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Male', 'Myelodysplastic Syndromes/complications/*diagnosis/genetics', 'Young Adult']",2009/12/22 06:00,2010/01/13 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/01/13 06:00 [medline]']","['133/1/92 [pii]', '10.1309/AJCP7W9VMJENZOVG [doi]']",ppublish,Am J Clin Pathol. 2010 Jan;133(1):92-100. doi: 10.1309/AJCP7W9VMJENZOVG.,133,"['P30 CA077598/CA/NCI NIH HHS/United States', 'P30CA077598-09/CA/NCI NIH HHS/United States']",,PMC5467447,['NIHMS860539'],,,,,,,,,,,,,,,,
20023261,NLM,MEDLINE,20100112,20091221,1943-7722 (Electronic) 0002-9173 (Linking),1,2010 Jan,Therapy-related acute lymphoblastic leukemia without 11q23 abnormality: report of six cases and a literature review.,75-82,10.1309/AJCPYWC6AQC7BAVJ [doi],"Therapy-related acute lymphoblastic leukemia (t-ALL) is a rare secondary leukemia following chemotherapy and/or radiotherapy for primary malignancies. Chromosomal 11q23 abnormality, frequently detected in therapy-related acute myeloid leukemia, is the most common cytogenetic alteration in t-ALL. However, t-ALL cases without 11q23 abnormality have been rarely described. We describe 6 adults with secondary t-ALL without 11q23 abnormalities following various treatment regimens for primary malignancies. We also reviewed 48 t-ALL cases, with complete chromosomal karyotyping, reported in the literature from 1992 to 2007. In the 48 cases, an 11q23 abnormality involving the MLL gene locus was the predominant chromosomal aberration (32 [67%]), followed by t(9;22) (6 [13%]) and a normal karyotype (4 [8%]). Compared with t-ALL cases with an 11q23 abnormality, cases without an 11q23 abnormality had a relatively longer latency period (median, 36 vs 19 months) and a different primary malignancy spectrum. No major difference was observed between groups in regard to age, sex, or receipt of a topoisomerase II inhibitor. The t(8;14)(q11.2;q32), a rare, nonrandom, balanced chromosomal translocation differing from the more common translocation involving c-MYC on chromosome 8q24, was seen in 1 adult t-ALL case, which may suggest another possible pathogenesis of this disease.","['Chen, Wei', 'Wang, Endi', 'Lu, Ying', 'Gaal, Karl K', 'Huang, Qin']","['Chen W', 'Wang E', 'Lu Y', 'Gaal KK', 'Huang Q']","['Division of Pathology, Departments of Pathology, City of Hope National Medical Center, Duarte, CA 91010, USA.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,,IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', '*Chromosomes, Human, Pair 11', 'Combined Modality Therapy/*adverse effects', 'Female', 'Humans', 'Karyotyping', 'Male', 'Middle Aged', 'Neoplasms/*therapy', 'Neoplasms, Second Primary/*etiology/genetics/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*etiology/genetics/pathology', 'Radiotherapy/adverse effects']",2009/12/22 06:00,2010/01/13 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/01/13 06:00 [medline]']","['133/1/75 [pii]', '10.1309/AJCPYWC6AQC7BAVJ [doi]']",ppublish,Am J Clin Pathol. 2010 Jan;133(1):75-82. doi: 10.1309/AJCPYWC6AQC7BAVJ.,133,,,,,42,,,,,,,,,,,,,,,
20023260,NLM,MEDLINE,20100112,20110105,1943-7722 (Electronic) 0002-9173 (Linking),1,2010 Jan,Aberrant nuclear p53 expression predicts hemizygous 17p (TP53) deletion in chronic lymphocytic leukemia.,70-4,10.1309/AJCPEPX1C7HHFELK [doi],"Hemizygous TP53 gene deletion is the most important adverse risk factor in chronic lymphocytic leukemia (CLL), but its relationship with p53 protein expression is unclear. We investigated 110 CLL cases and correlated nuclear p53 protein immunoreactivity with TP53 gene deletion status and other CLL-associated genetic risk factors. Fluorescence in situ hybridization detected hemizygous TP53 deletions in 15 cases (13.6%), whereas immunohistochemical analysis detected nuclear p53 protein expression in 14 (12.7%). All cases expressing nuclear p53 protein had hemizygous TP53 deletions. Hemizygous TP53 gene deletion and p53 protein expression were strongly correlated (P < .001). There was no association between p53 expression and del(13q), del(11q) or trisomy 12 in CLL cases. Our data indicate that nuclear p53 protein expression, detected by a widely available immunohistochemical method, is strongly associated with TP53 deletion and that p53 immunohistochemical analysis may be adopted as a rapid, robust diagnostic tool for risk stratification of CLL.","['Chang, Hong', 'Jiang, Allan M', 'Qi, Connie X Y']","['Chang H', 'Jiang AM', 'Qi CX']","['Departments of 1Laboratory Hematology, Toronto General Hospital, University Health Network, Toronto, Canada.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Am J Clin Pathol,American journal of clinical pathology,0370470,['0 (Tumor Suppressor Protein p53)'],IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Bone Marrow Cells/pathology', 'Cell Nucleus/*genetics/pathology', '*Chromosome Deletion', '*Chromosomes, Human, Pair 17', 'Female', 'Fluorescent Antibody Technique, Direct', 'Heterozygote', 'Humans', 'Immunoenzyme Techniques', 'In Situ Hybridization, Fluorescence', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/metabolism/pathology', 'Male', 'Middle Aged', 'Neoplasm Staging', 'Tumor Suppressor Protein p53/*genetics/metabolism']",2009/12/22 06:00,2010/01/13 06:00,['2009/12/22 06:00'],"['2009/12/22 06:00 [entrez]', '2009/12/22 06:00 [pubmed]', '2010/01/13 06:00 [medline]']","['133/1/70 [pii]', '10.1309/AJCPEPX1C7HHFELK [doi]']",ppublish,Am J Clin Pathol. 2010 Jan;133(1):70-4. doi: 10.1309/AJCPEPX1C7HHFELK.,133,,['Am J Clin Pathol. 2011 Jan;135(1):173-4. PMID: 21173142'],,,,,,,,,,,,,,,,,,
