PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,IP,SB,MH,RF,RN,CI,TT,GR,CIN,EIN,MID,SI,OTO,OT,OID,CON,CN,COIS,RIN,PS,FPS
19900270,NLM,PubMed-not-MEDLINE,20110714,20211020,1755-8166 (Electronic) 1755-8166 (Linking),2,2009 Nov 9,Novel complex translocation involving 5 different chromosomes in a chronic myeloid leukemia with Philadelphia chromosome: a case report.,21,10.1186/1755-8166-2-21 [doi],"BACKGROUND: The well-known typical fusion gene BCR/ABL can be observed in connection with a complex translocation event in only 2-10% of cases with chronic myeloid leukemia (CML). As currently most CML cases are treated with Imatinib, variant rearrangements have in general no specific prognostic significance, though the emergence of therapy resistance remains to be studied. RESULTS: Here we report an exceptional CML case with complex chromosomal aberrations not observed before, involving a 5 chromosome translocation implying chromosomal regions such as 1q42, 4p14 and 5q31 besides 9q34 and 22q11.2. CONCLUSION: The reported rearrangement developed most probably in one initial step and had no influence on a good response during Imatinib treatment.","['Al Achkar, Walid', 'Wafa, Abdulsamad', 'Mkrtchyan, Hasmik', 'Moassass, Faten', 'Liehr, Thomas']","['Al Achkar W', 'Wafa A', 'Mkrtchyan H', 'Moassass F', 'Liehr T']","['Molecular Biology and Biotechnology Department, Human Genetics Div,, Atomic Energy Commission of Syria, P,O, Box 6091, Damascus, Syria. scientific@aec.org.sy.']",['eng'],['Journal Article'],20091109,England,Mol Cytogenet,Molecular cytogenetics,101317942,PMC2777175,2009/11/11 06:00,2009/11/11 06:01,['2009/11/11 06:00'],"['2009/09/14 00:00 [received]', '2009/11/09 00:00 [accepted]', '2009/11/11 06:00 [entrez]', '2009/11/11 06:00 [pubmed]', '2009/11/11 06:01 [medline]']","['1755-8166-2-21 [pii]', '10.1186/1755-8166-2-21 [doi]']",epublish,Mol Cytogenet. 2009 Nov 9;2:21. doi: 10.1186/1755-8166-2-21.,,,,,,,,,,,,,,,,,,,,,
19900207,NLM,MEDLINE,20100806,20100615,1755-3768 (Electronic) 1755-375X (Linking),88,2010 May,Regional immunity of the eye.,292-9,10.1111/j.1755-3768.2009.01757.x [doi],"This article reviews molecular mechanism of intraocular inflammation in animal models and in humans, and the immunological defence system of the eye with particular attention to ocular pigment epithelium. In experimental autoimmune uveitis (EAU), T lymphocytes, particularly CD4(+) T lymphocytes, play a central role in its immunopathogenic mechanisms. In humans, activated CD4(+) T cells also play a central role in the immunopathogenic mechanisms. This notion is demonstrated in two human diseases: one is Vogt-Koyanagi-Harada disease, and the other is human T-cell leukemia virus type 1 (HTLV-1) uveitis. Activated CD4(+) T cells infiltrating the eye are harmful to vision-related cells and tissues in the eye and cause sight-threatening conditions. However, the eye has regional defence systems to protect itself from these harmful activated T cells. We focus on ocular pigment epithelium (PE) and demonstrate immunoregulatory activity of iris PE and retinal PE. Iris PE suppresses activated CD4(+) T cells by cell-to-cell contact with a crucial role played by B7-2 molecule on iris PE and CTLA4 on T cells. The actual immunosuppressive factor being membrane bound TGF-beta. In contrast, retinal PE suppresses activated CD4(+) T cells by soluble factors, such as soluble TGF-beta and thrombospondin 1. In addition to the direct T-cell suppression by ocular PE, ocular PE has the capacity to promote activated T cells to regulatory T cells and use them as a tool to amplify the immune down regulation in the eye. The molecular mechanisms of generation of T regulatory cells by iris PE and retinal PE is also discussed.","['Mochizuki, Manabu']",['Mochizuki M'],"['Department of Ophthalmology & Visual Science, Tokyo Medical and Dental University Graduate School of Medical and Dental Sciences, Yushima, Bunkyoku, Japan. m.manabu.oph@tmd.ac.jp <m.manabu.oph@tmd.ac.jp>']",['eng'],"['Journal Article', 'Review']",20091107,England,Acta Ophthalmol,Acta ophthalmologica,101468102,,2009/11/11 06:00,2010/08/07 06:00,['2009/11/11 06:00'],"['2009/11/11 06:00 [entrez]', '2009/11/11 06:00 [pubmed]', '2010/08/07 06:00 [medline]']","['AOS1757 [pii]', '10.1111/j.1755-3768.2009.01757.x [doi]']",ppublish,Acta Ophthalmol. 2010 May;88(3):292-9. doi: 10.1111/j.1755-3768.2009.01757.x. Epub 2009 Nov 7.,3,IM,"['Animals', 'Autoimmune Diseases/immunology', 'CD4-Positive T-Lymphocytes/immunology', 'Eye/*immunology', 'HTLV-I Infections/immunology', 'Humans', 'Immune System/*physiology', 'Immunity, Innate/*physiology', 'Lymphocyte Activation/physiology', 'T-Lymphocytes, Cytotoxic/immunology', 'Uveitis/immunology', 'Uveomeningoencephalitic Syndrome/immunology']",67,,,,,,,,,,,,,,,,,
19900093,NLM,MEDLINE,20100122,20201130,1465-3931 (Electronic) 0031-3025 (Linking),41,2009,"Declining tendency of human T-cell leukaemia virus type I carrier rates among blood donors in Mashhad, Iran.",498-9,,,"['Tarhini, Mahdi', 'Kchour, Ghada', 'Zanjani, Delaram Sayadpour', 'Rafatpanah, Houshang', 'Otrock, Zaher K', 'Bazarbachi, Ali', 'Farid, Reza']","['Tarhini M', 'Kchour G', 'Zanjani DS', 'Rafatpanah H', 'Otrock ZK', 'Bazarbachi A', 'Farid R']",,['eng'],['Letter'],,England,Pathology,Pathology,0175411,,2009/11/11 06:00,2010/01/23 06:00,['2009/11/11 06:00'],"['2009/11/11 06:00 [entrez]', '2009/11/11 06:00 [pubmed]', '2010/01/23 06:00 [medline]']","['S0031-3025(16)31985-7 [pii]', '10.1080/00313020903041010 [doi]']",ppublish,Pathology. 2009;41(5):498-9. doi: 10.1080/00313020903041010.,5,IM,"['Adolescent', 'Adult', 'Aged', 'Blood Donors/*statistics & numerical data', 'Carrier State/*epidemiology', 'Female', 'HTLV-I Infections/*epidemiology', 'Human T-lymphotropic virus 1', 'Humans', 'Iran/epidemiology', 'Male', 'Middle Aged', 'Prevalence']",,,,,,,,,,,,,,,,,,
19900092,NLM,MEDLINE,20100122,20201130,1465-3931 (Electronic) 0031-3025 (Linking),41,2009,"Precursor B-cell acute lymphoblastic leukaemia with FAB L3 (i.e., Burkitt's leukaemia/lymphoma) morphology and co-expression of monoclonal surface light chains and Tdt: report of a unique case and review of the literature.",495-8,,,"['Higa, Bryce', 'Alkan, Serhan', 'Barton, Kevin', 'Velankar, Milind']","['Higa B', 'Alkan S', 'Barton K', 'Velankar M']",,['eng'],"['Case Reports', 'Letter', 'Review']",,England,Pathology,Pathology,0175411,,2009/11/11 06:00,2010/01/23 06:00,['2009/11/11 06:00'],"['2009/11/11 06:00 [entrez]', '2009/11/11 06:00 [pubmed]', '2010/01/23 06:00 [medline]']","['S0031-3025(16)31984-5 [pii]', '10.1080/00313020903040988 [doi]']",ppublish,Pathology. 2009;41(5):495-8. doi: 10.1080/00313020903040988.,5,IM,"['Antibodies, Monoclonal/*biosynthesis/immunology', 'Burkitt Lymphoma/pathology', 'DNA Nucleotidylexotransferase/*biosynthesis/immunology', 'Diagnosis, Differential', 'Female', 'Flow Cytometry', 'Humans', 'Immunoglobulin Light Chains/*biosynthesis/immunology', 'In Situ Hybridization, Fluorescence', 'Middle Aged', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/genetics/immunology/*pathology']",6,"['0 (Antibodies, Monoclonal)', '0 (Immunoglobulin Light Chains)', 'EC 2.7.7.31 (DNA Nucleotidylexotransferase)']",,,,,,,,,,,,,,,,
19900088,NLM,MEDLINE,20100122,20201130,1465-3931 (Electronic) 0031-3025 (Linking),41,2009,Mutational analysis of CASP10 gene in acute leukaemias and multiple myelomas.,484-7,,"AIMS: Deregulation of apoptosis is one of the hallmarks of cancers. Inactivation of cancer cell apoptosis by somatic mutations has been reported in several cancers. Caspase-10 activation is important in the initiation phase of apoptosis. The aim of this study was to explore whether CASP10 gene that encodes caspase-10 is somatically mutated in acute adulthood leukaemias and multiple myelomas (MMs). METHODS: We analysed the entire coding region and all splice sites of CASP10 gene for the detection of somatic mutations in 60 acute leukaemias (25 acute myelogenous leukaemias, 35 acute lymphoblastic leukaemias) and 22 multiple myelomas by a single-strand conformation polymorphism assay. RESULTS: Overall, we found two CASP10 mutations in the cancers (2/82; 2.4%). One mutation [c.854T>C (pLeu285Pro)] was detected in a T-acute lymphoblastic leukaemia (T-ALL) (1/13 T-ALL; 7.7%). The other mutation [c.61C>T (p.Arg21Cys)] was found in an MM (1/22 MM; 4.5%). The mutations were identified in the coding regions of the death effector domain (p.Arg21Cys) and the p17 large protease subunit (pLeu285Pro). We observed both of the T-ALL and the MM with the CASP10 mutations well expressed the mutant CAS10 at mRNA level. CONCLUSION: Although our data indicate that somatic mutation of CASP10 is not common in T-ALL and MM, the data suggest a possibility that CASP10 mutation might contribute to the pathogenesis of factions of T-ALL and MM.","['Kim, Min Sung', 'Oh, Ji Eun', 'Min, Chang Ki', 'Lee, Seok', 'Chung, Nak Gyun', 'Yoo, Nam Jin', 'Lee, Sug Hyung']","['Kim MS', 'Oh JE', 'Min CK', 'Lee S', 'Chung NG', 'Yoo NJ', 'Lee SH']","['Department of Pathology, College of Medicine, The Catholic University of Korea, Seoul, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Pathology,Pathology,0175411,,2009/11/11 06:00,2010/01/23 06:00,['2009/11/11 06:00'],"['2009/11/11 06:00 [entrez]', '2009/11/11 06:00 [pubmed]', '2010/01/23 06:00 [medline]']","['S0031-3025(16)31980-8 [pii]', '10.1080/00313020903041143 [doi]']",ppublish,Pathology. 2009;41(5):484-7. doi: 10.1080/00313020903041143.,5,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Apoptosis/genetics', 'Caspase 10/*genetics', 'DNA Mutational Analysis', 'Humans', 'Leukemia/*genetics', 'Middle Aged', 'Multiple Myeloma/*genetics', 'Mutation', 'Polymorphism, Single-Stranded Conformational', 'Reverse Transcriptase Polymerase Chain Reaction', 'Young Adult']",,"['EC 3.4.22.- (Caspase 10)', 'EC 3.4.22.63 (CASP10 protein, human)']",,,,,,,,,,,,,,,,
19899317,NLM,MEDLINE,20100930,20131121,1088-6222 (Print) 1088-6222 (Linking),102,2009 Oct,Tumor lysis syndrome following chlorambucil therapy for chronic lymphocytic leukemia: case report and review of the literature.,33-6,,,"['Kosseifi, Semaan G', 'Vyas, Bavna', 'Vyas, Harsha', 'Krishnaswamy, Guha', 'Smith, Steven']","['Kosseifi SG', 'Vyas B', 'Vyas H', 'Krishnaswamy G', 'Smith S']","['Division of Hematology/Medical Oncology, Department of Internal Medicine, East Tennessee State University, Johnson City, USA. semaankosseifi@yahoo.com']",['eng'],"['Case Reports', 'Journal Article', 'Review']",,United States,Tenn Med,Tennessee medicine : journal of the Tennessee Medical Association,9609310,,2009/11/11 06:00,2010/10/01 06:00,['2009/11/11 06:00'],"['2009/11/11 06:00 [entrez]', '2009/11/11 06:00 [pubmed]', '2010/10/01 06:00 [medline]']",,ppublish,Tenn Med. 2009 Oct;102(10):33-6.,10,IM,"['Aged, 80 and over', 'Antineoplastic Agents/adverse effects', 'Antineoplastic Agents, Alkylating/*adverse effects', 'Chlorambucil/*adverse effects', 'Glucocorticoids/adverse effects', 'Humans', '*Leukemia, Lymphocytic, Chronic, B-Cell', 'Male', 'Risk Factors', 'Tumor Lysis Syndrome/*etiology', 'Vidarabine/adverse effects/analogs & derivatives']",15,"['0 (Antineoplastic Agents)', '0 (Antineoplastic Agents, Alkylating)', '0 (Glucocorticoids)', '18D0SL7309 (Chlorambucil)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,,,,,,,,,,,,,,,
19899134,NLM,MEDLINE,20091204,20091130,1096-8652 (Electronic) 0361-8609 (Linking),84,2009 Dec,Outcome of 93 patients with relapse or progression following allogeneic hematopoietic cell transplantation.,815-20,10.1002/ajh.21555 [doi],"Relapse/progression after allogeneic hematopoietic cell transplantation (allo-HCT) remains the major cause of treatment failure. In this study, the subsequent clinical outcome was overviewed in 292 patients with leukemia/myelodysplastic syndrome who received allo-HCT. Among them, 93 (32%) showed relapse/progression. Cohort 1 was chosen to receive no interventions with curative intent (n = 25). Cohort 2 received reinduction chemotherapy and/or donor lymphocyte infusion (n = 48), and Cohort 3 underwent a second allo-HCT (n = 20). Sixty-three patients received reinduction chemotherapy, and 27 (43%) achieved subsequent complete remission (CR). The incidence of nonrelapse mortality (NRM) was similar among the three cohorts (4, 15, and 5%). The 1-year overall survival (OS) after relapse was significantly better in patients with a second HCT (58%) than in others (14%, Cohorts 1 and 2; P <.001). However, the 2-year OS did not differ between the two groups, which suggests that it is difficult to maintain CR after the second HCT. Multivariate analysis showed that reinduction chemotherapy, CR after intervention, second HCT, and longer time to post-transplant relapse were associated with improved survival. In conclusion, for patients with relapse after allo-HCT, successful reinduction chemotherapy and a second HCT may be effective for prolonging survival without excessive NRM. However, effective measures to prevent disease progression after a second HCT clearly need to be developed.","['Kurosawa, Saiko', 'Fukuda, Takahiro', 'Tajima, Kinuko', 'Saito, Bungo', 'Fuji, Shigeo', 'Yokoyama, Hiroki', 'Kim, Sung-Won', 'Mori, Shin-Ichiro', 'Tanosaki, Ryuji', 'Heike, Yuji', 'Takaue, Yoichi']","['Kurosawa S', 'Fukuda T', 'Tajima K', 'Saito B', 'Fuji S', 'Yokoyama H', 'Kim SW', 'Mori S', 'Tanosaki R', 'Heike Y', 'Takaue Y']","['Department of Stem Cell Transplantation, National Cancer Center Hospital, Chuo-ku, Tokyo, Japan.']",['eng'],"['Comparative Study', 'Journal Article']",,United States,Am J Hematol,American journal of hematology,7610369,,2009/11/10 06:00,2009/12/16 06:00,['2009/11/10 06:00'],"['2009/11/10 06:00 [entrez]', '2009/11/10 06:00 [pubmed]', '2009/12/16 06:00 [medline]']",['10.1002/ajh.21555 [doi]'],ppublish,Am J Hematol. 2009 Dec;84(12):815-20. doi: 10.1002/ajh.21555.,12,IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Cohort Studies', 'Combined Modality Therapy', 'Disease Progression', 'Female', 'Hematopoietic Stem Cell Transplantation/*statistics & numerical data', 'Humans', 'Leukemia/drug therapy/mortality/*surgery', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/drug therapy/mortality/*surgery', 'Recurrence', 'Reoperation', 'Retrospective Studies', 'Salvage Therapy', 'Survival Rate', 'Transplantation, Homologous/statistics & numerical data', 'Treatment Outcome', 'Young Adult']",,,"['(c) 2009 Wiley-Liss, Inc.']",,,,,,,,,,,,,,,
19899009,NLM,MEDLINE,20091130,20211020,1439-099X (Electronic) 0179-7158 (Linking),185,2009 Nov,Long-term renal toxicity in children following fractionated total-body irradiation (TBI) before allogeneic stem cell transplantation (SCT).,751-5,10.1007/s00066-009-2022-8 [doi],"PURPOSE: To retrospectively assess the incidence and time course of renal dysfunction in children (< or = 16 years) following total- body irradiation (TBI) before allogeneic stem cell transplantation (SCT). PATIENTS AND METHODS: Between 1986 and 2003, 92 children (median age, 11 years; range, 3-16 years) underwent TBI before allogeneic SCT. 43 of them had a minimum follow-up of 12 months (median, 51 months; range, 12-186 months) and were included into this analysis. Conditioning regimen included chemotherapy and fractionated TBI with 12 Gy (n = 26) or 11.1 Gy (n = 17). In one patient, renal dose was limited to 10 Gy by customized renal shielding due to known nephropathy prior to SCT. Renal dysfunction was defined as an increase of serum creatinine > 1.25 times the upper limit of age-dependent normal. RESULTS: Twelve children (28%) experienced an episode of renal dysfunction after a median of 2 months (range, 1-10 months) following SCT. In all but one patient renal dysfunction was transient and resolved after a median of 8 months (range, 3-16 months). One single patient developed persistent renal dysfunction with onset at 10 months after SCT. None of these patients required dialysis. The actuarial 3-year freedom from persistent renal toxicity for children surviving > 12 months after SCT was 97.3%. CONCLUSION: The incidence of persistent renal dysfunction after fractionated TBI with total doses < or = 12 Gy was very low in this analysis.","['Gerstein, Johanna', 'Meyer, Andreas', 'Sykora, Karl-Walter', 'Fruhauf, Jorg', 'Karstens, Johann H', 'Bremer, Michael']","['Gerstein J', 'Meyer A', 'Sykora KW', 'Fruhauf J', 'Karstens JH', 'Bremer M']","['Department of Radiation Oncology, Medical School Hannover, Hannover, Germany. Johanna.Gerstein@kgu.de']",['eng'],['Journal Article'],20091110,Germany,Strahlenther Onkol,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],8603469,,2009/11/10 06:00,2009/12/16 06:00,['2009/11/10 06:00'],"['2009/03/30 00:00 [received]', '2009/07/24 00:00 [accepted]', '2009/11/10 06:00 [entrez]', '2009/11/10 06:00 [pubmed]', '2009/12/16 06:00 [medline]']",['10.1007/s00066-009-2022-8 [doi]'],ppublish,Strahlenther Onkol. 2009 Nov;185(11):751-5. doi: 10.1007/s00066-009-2022-8. Epub 2009 Nov 10.,11,IM,"['Actuarial Analysis', 'Adolescent', 'Child', 'Child, Preschool', 'Creatinine/blood', '*Dose Fractionation, Radiation', 'Female', 'Follow-Up Studies', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Kidney/*radiation effects', 'Kidney Function Tests', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Radiation Dosage', 'Radiation Injuries/*etiology', 'Remission Induction', '*Transplantation Conditioning', '*Whole-Body Irradiation']",,['AYI8EX34EU (Creatinine)'],,,,,,,,,,,,,,,,
19898925,NLM,MEDLINE,20100524,20211020,1573-3572 (Electronic) 1068-9583 (Linking),17,2010 Mar,"Effects of illness representation, perceived quality of information provided by the health-care professional, and perceived social support on depressive symptoms of the caregivers of children with leukemia.",23-30,10.1007/s10880-009-9177-4 [doi],"The present study examined the effects of illness representation, perceived quality of information provided by the health-care professional, and perceived social support on the depressive symptoms of the caregivers of children with leukemia. The sample was composed of 71 caregivers of children with leukemia living in Turkey. The obtained data were analyzed by path analysis. The results show that caregivers of children with leukemia experience higher levels of depressive symptoms when they have negative illness representation and lower levels of depressive symptoms when they perceive higher levels of social support. Moreover, they perceive higher social support when they perceive high quality of information provided by health-care professionals. It can be suggested that intervention programs which aim to increase caregivers' social support and change their illness representation in a positive way would be helpful for the caregivers showing depressive symptoms.","['Bozo, Ozlem', 'Anahar, Selin', 'Ates, Gizem', 'Etel, Evren']","['Bozo O', 'Anahar S', 'Ates G', 'Etel E']","['Department of Psychology, Middle East Technical University, Ankara, 06531, Turkey. bozo@metu.edu.tr']",['eng'],['Journal Article'],,United States,J Clin Psychol Med Settings,Journal of clinical psychology in medical settings,9435680,,2009/11/10 06:00,2010/05/25 06:00,['2009/11/10 06:00'],"['2009/11/10 06:00 [entrez]', '2009/11/10 06:00 [pubmed]', '2010/05/25 06:00 [medline]']",['10.1007/s10880-009-9177-4 [doi]'],ppublish,J Clin Psychol Med Settings. 2010 Mar;17(1):23-30. doi: 10.1007/s10880-009-9177-4.,1,IM,"['Adolescent', 'Adult', '*Attitude to Health', 'Caregivers/*psychology/*statistics & numerical data', 'Child', 'Depressive Disorder/*epidemiology/*psychology', '*Disclosure', 'Female', '*Health Personnel', 'Humans', 'Leukemia/*epidemiology/*psychology', 'Male', 'Middle Aged', '*Professional-Patient Relations', '*Social Support', 'Surveys and Questionnaires', 'Young Adult']",,,,,,,,,,,,,,,,,,
19898892,NLM,MEDLINE,20100323,20211020,1432-1424 (Electronic) 0022-2631 (Linking),232,2009 Dec,Selenium modulates oxidative stress-induced cell apoptosis in human myeloid HL-60 cells through regulation of calcium release and caspase-3 and -9 activities.,15-23,10.1007/s00232-009-9212-2 [doi],"Selenium is an essential chemopreventive antioxidant element to oxidative stress, although high concentrations of selenium induce toxic and oxidative effects on the human body. However, the mechanisms behind these effects remain elusive. We investigated toxic effects of different selenium concentrations in human promyelocytic leukemia HL-60 cells by evaluating Ca(2+) mobilization, cell viability and caspase-3 and -9 activities at different sample times. We found the toxic concentration and toxic time of H(2)O(2) as 100 microM: and 10 h on cell viability in the cells using four different concentrations of H(2)O(2) (1 microM: -1 mM: ) and six different incubation times (30 min, 1, 2, 5, 10, 24 h). Then, we found the therapeutic concentration of selenium to be 200 nM: by cells incubated in eight different concentrations of selenium (10 nM: -1 mM: ) for 1 h. We measured Ca(2+) release, cell viability and caspase-3 and -9 activities in cells incubated with high and low selenium concentrations at 30 min and 1, 2, 5, 10 and 24 h. Selenium (200 nM: ) elicited mild endoplasmic reticulum stress and mediated cell survival by modulating Ca(2+) release, the caspases and cell apoptosis, whereas selenium concentrations as high as 1 mM: induced severe endoplasmic reticulum stress and caused cell death by activating modulating Ca(2+) release, the caspases and cell apoptosis. In conclusion, these results explained the molecular mechanisms of the chemoprotective effect of different concentrations of selenium on oxidative stress-induced apoptosis.","['Uguz, Abdulhadi Cihangir', 'Naziroglu, Mustafa', 'Espino, Javier', 'Bejarano, Ignacio', 'Gonzalez, David', 'Rodriguez, Ana Beatriz', 'Pariente, Jose Antonio']","['Uguz AC', 'Naziroglu M', 'Espino J', 'Bejarano I', 'Gonzalez D', 'Rodriguez AB', 'Pariente JA']","['Department of Physiology, University of Extremadura, Badajoz, Spain.']",['eng'],['Journal Article'],20091107,United States,J Membr Biol,The Journal of membrane biology,0211301,,2009/11/10 06:00,2010/03/24 06:00,['2009/11/10 06:00'],"['2009/08/18 00:00 [received]', '2009/10/08 00:00 [accepted]', '2009/11/10 06:00 [entrez]', '2009/11/10 06:00 [pubmed]', '2010/03/24 06:00 [medline]']",['10.1007/s00232-009-9212-2 [doi]'],ppublish,J Membr Biol. 2009 Dec;232(1-3):15-23. doi: 10.1007/s00232-009-9212-2. Epub 2009 Nov 7.,1-3,IM,"['Apoptosis/*drug effects', 'Calcium/metabolism', 'Caspase 3/*metabolism', 'Caspase 9/*metabolism', 'Cell Survival/drug effects', 'Endoplasmic Reticulum/drug effects', 'HL-60 Cells', 'Humans', 'Hydrogen Peroxide/toxicity', 'Oxidative Stress/*physiology', 'Selenium/*pharmacology']",,"['BBX060AN9V (Hydrogen Peroxide)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspase 9)', 'H6241UJ22B (Selenium)', 'SY7Q814VUP (Calcium)']",,,,,,,,,,,,,,,,
