PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SB,MH,OTO,OT,GR,MID,RF,CIN,SI,CN,IR,FIR,EIN,CI,CON,TT,COIS,RIN,OID,GN
19669213,NLM,PubMed-not-MEDLINE,20110714,20211020,1868-9256 (Print) 1865-5785 (Linking),1,2,2008 Sep,The gammadelta variant of T cell large granular lymphocyte leukemia is very similar to the common alphabeta type: report of two cases.,139-43,10.1007/s12308-008-0016-6 [doi],"The vast majority of cases of T cell large granular lymphocyte (T-LGL) leukemia have a CD3+, CD4-, CD8+ phenotype and express the alphabeta T cell receptor. Whether the rare gammadelta variant should be included in the same diagnostic category is currently unclear. Two well-characterized cases of gammadelta T-LGL leukemia were identified by our laboratory in 2007. These two cases and other reports of gammadelta T-LGL leukemia were compared with the common alphabeta variant. Other than more often being negative for both CD4 and CD8 (in about 35% to 40% of cases), the gammadelta variant of T-LGL leukemia is similar to the common alphabeta type in virtually all respects and should be included in the general category of T-LGL leukemia. However, it is important to exclude other more aggressive gammadelta T cell lymphoproliferative disorders.","['Shaw, Gene R', 'Naik, Vinay S']","['Shaw GR', 'Naik VS']","['Department of Pathology, Marshfield Clinic, 1000 North Oak Avenue, Marshfield, WI, 54449, USA, shaw.gene@marshfieldclinic.org.']",['eng'],['Journal Article'],20080823,Germany,J Hematop,Journal of hematopathology,101491976,PMC2713487,2009/08/12 09:00,2009/08/12 09:01,['2009/08/12 09:00'],"['2008/04/25 00:00 [received]', '2008/07/28 00:00 [accepted]', '2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2009/08/12 09:01 [medline]']",['10.1007/s12308-008-0016-6 [doi]'],ppublish,J Hematop. 2008 Sep;1(2):139-43. doi: 10.1007/s12308-008-0016-6. Epub 2008 Aug 23.,,,,,,,,,,,,,,,,,,,,,
19669201,NLM,PubMed-not-MEDLINE,20110714,20211020,1868-9256 (Print) 1865-5785 (Linking),1,1,2008 Jul,Differential diagnostic challenge of chronic neutrophilic leukemia in a patient with prolonged leukocytosis.,23-7,10.1007/s12308-008-0004-x [doi],Our interesting case deals with the clinical and morphological aspects of a chronic neutrophilic leukemia and the critical evaluation of differential diagnosis of leukemoid reaction in bone marrow biopsies.,"['Neureiter, Daniel', 'Kemmerling, Ralf', 'Ocker, Matthias', 'Seidlhofer, Christoph', 'Faber, Viktoria', 'Stocher, Markus', 'Greil, Richard', 'Dietze, Otto']","['Neureiter D', 'Kemmerling R', 'Ocker M', 'Seidlhofer C', 'Faber V', 'Stocher M', 'Greil R', 'Dietze O']","['Institute of Pathology, Paracelsus Private Medical University, Salzburger Landeskliniken, Salzburg, Austria, d.neureiter@salk.at.']",['eng'],['Journal Article'],20080419,Germany,J Hematop,Journal of hematopathology,101491976,PMC2712326,2009/08/12 09:00,2009/08/12 09:01,['2009/08/12 09:00'],"['2008/03/20 00:00 [received]', '2008/03/26 00:00 [accepted]', '2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2009/08/12 09:01 [medline]']",['10.1007/s12308-008-0004-x [doi]'],ppublish,J Hematop. 2008 Jul;1(1):23-7. doi: 10.1007/s12308-008-0004-x. Epub 2008 Apr 19.,,,,,,,,,,,,,,,,,,,,,
19669189,NLM,PubMed-not-MEDLINE,20120827,20211020,1868-9256 (Print) 1865-5785 (Linking),2,2,2009 Jul,Commentary on the WHO classification of tumors of lymphoid tissues (2008): indolent B cell lymphomas.,77-81,10.1007/s12308-009-0037-9 [doi],"The 4th edition of the World Health Organization classification of tumors of hematopoietic and lymphoid tissues introduces many new items to the classification scheme of the so-called indolent B cell lymphomas. New proposed entities, such as splenic B cell lymphoma/leukemia, unclassifiable, splenic diffuse red pulp small B cell lymphoma, hairy cell leukemia variant, pediatric follicular lymphoma, and pediatric marginal zone lymphoma have been coined, and some definitions of established diseases, such as chronic lymphocytic leukemia or Waldenstrom's macroglobulinemia have been revised. One aspect of major importance is the recent description of small clonal B cell populations, in part with a CLL phenotype, and their relationship to B-CLL. Some new subtypes or variants of follicular lymphoma with distinct clinicopathologic and/or molecular genetic characteristics have been described, including primary follicular lymphomas of the duodenum and pediatric follicular lymphomas. Furthermore, the impact of some probably early, or precursor lesions, such as follicular lymphoma in situ is discussed. Overall, we succinctly discuss the essential elements of the revisions made in the updated classification, and we identify potential opportunities for refinement of new or provisional categories in subsequent classifications.","['Ott, German', 'Balague-Ponz, Olga', 'de Leval, Laurence', 'de Jong, Daphne', 'Hasserjian, Robert P', 'Elenitoba-Johnson, Kojo S J']","['Ott G', 'Balague-Ponz O', 'de Leval L', 'de Jong D', 'Hasserjian RP', 'Elenitoba-Johnson KS']",,['eng'],['Journal Article'],20090625,Germany,J Hematop,Journal of hematopathology,101491976,PMC2725287,2009/08/12 09:00,2009/08/12 09:01,['2009/08/12 09:00'],"['2009/05/17 00:00 [received]', '2009/05/19 00:00 [accepted]', '2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2009/08/12 09:01 [medline]']","['10.1007/s12308-009-0037-9 [doi]', '37 [pii]']",ppublish,J Hematop. 2009 Jul;2(2):77-81. doi: 10.1007/s12308-009-0037-9. Epub 2009 Jun 25.,,,,,,,,,,,,,,,,,,,,,
19669085,NLM,MEDLINE,20100317,20211020,1439-0973 (Electronic) 0300-8126 (Linking),37,6,2009 Dec,Outcomes of invasive infection due to vancomycin-resistant Enterococcus faecium during a recent outbreak.,540-3,10.1007/s15010-009-9023-5 [doi],"BACKGROUND: Earlier reports have shown a high mortality of invasive infection due to vancomycin-resistant Enterococcus faecium (VREF). Most of these studies have been conducted in US hospitals prior to the advent of newer VREF-active antimicrobials, and the reported poor outcomes have been explained by the limited choices for effective antimicrobial therapy. PATIENTS AND METHODS: A total of 25 cases of invasive VREF infection were seen during an outbreak in a tertiary care hospital. Patient characteristics and outcomes were evaluated by a structured retrospective chart review and descriptive analysis. RESULTS: Severe underlying diseases such as leukemia not in remission (86%) were highly prevalent among patients with invasive VREF infection. Fifty-two percent of underlying diseases and/or comorbidities were considered according to the McCabe classification as rapidly fatal. Most patients had received high-dose cytotoxic chemotherapy, and many were neutropenic at the onset of VREF infection. Concomitant infection due to other organisms was found in 48% of the patients. All patients had received extensive antibiotic treatment prior to the onset of VREF infection. Resistance to linezolid was observed in four cases. Overall survival at day 30 was 48%. Four deaths were considered to be directly related to VREF infection. CONCLUSION: Invasive VREF infection during this outbreak was confined to patients with severe underlying comorbidity. The mortality of VREF infection remained high, despite treatment with newer VREF-active antibiotics such as linezolid and quinupristin-dalfopristin.","['Theilacker, C', 'Jonas, D', 'Huebner, J', 'Bertz, H', 'Kern, W V']","['Theilacker C', 'Jonas D', 'Huebner J', 'Bertz H', 'Kern WV']","['Center for Infectious Diseases and Travel Medicine, Dept. of Medicine, University Hospital, Freiburg, Germany. christian.theilacker@uniklinik-freiburg.de']",['eng'],['Journal Article'],,Germany,Infection,Infection,0365307,,2009/08/12 09:00,2010/03/18 06:00,['2009/08/12 09:00'],"['2009/01/08 00:00 [received]', '2009/04/21 00:00 [accepted]', '2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2010/03/18 06:00 [medline]']",['10.1007/s15010-009-9023-5 [doi]'],ppublish,Infection. 2009 Dec;37(6):540-3. doi: 10.1007/s15010-009-9023-5.,"['0 (Acetamides)', '0 (Anti-Bacterial Agents)', '0 (Oxazolidinones)', '11006-76-1 (Virginiamycin)', '126602-89-9 (quinupristin-dalfopristin)', 'ISQ9I6J12J (Linezolid)']",IM,"['Acetamides/therapeutic use', 'Adult', 'Aged', 'Anti-Bacterial Agents/therapeutic use', 'Comorbidity', '*Disease Outbreaks', 'Enterococcus faecium/*drug effects/isolation & purification', 'Female', 'Gram-Positive Bacterial Infections/*epidemiology/*microbiology/mortality', 'Hospitals', 'Humans', 'Linezolid', 'Male', 'Middle Aged', 'Oxazolidinones/therapeutic use', 'Retrospective Studies', 'Treatment Outcome', 'United States', 'Vancomycin Resistance', 'Virginiamycin/therapeutic use']",,,,,,,,,,,,,,,,,,
19668737,NLM,PubMed-not-MEDLINE,20110714,20211020,1177-5467 (Print) 1177-5467 (Linking),2,2,2008 Jun,Bilateral herpes simplex keratitis in a patient with chronic graft-versus-host disease.,457-9,,"PURPOSE: To describe a case of bilateral herpes simplex keratitis accompanying chronic graft-versus-host disease (GVHD). DESIGN: Observational case report. CASE REPORT: An 11-year-old boy with myelocytic leukemia underwent allogeneic bone marrow transplantation. He developed symptoms of the skin, eyes, and mouth, and lip biopsy indicated chronic GVHD. Persistent keratitis with corneal filaments and neovascularization was noted in both eyes. Sodium hyaluronate, autoserum, and 0.1% fluorometholone eyedrops were instilled for approximately 2 years to treat this keratitis, and there were no other ocular changes. Bilateral herpes simplex keratitis developed with geographic ulcers after topical betamethasone therapy, but responded to acyclovir ointment. CONCLUSIONS: Herpes keratitis should be considered in the differential diagnosis of bilateral keratitis in patients with reduced immunocompetence. During the course of chronic GVHD, corneal herpes may occur, so ocular treatment with topical corticosteroids should be managed by an ophthalmologist to monitor sight-threatening conditions such as corneal herpes.","['Hayashi, Takahiko', 'Ishioka, Misaki', 'Ito, Norihiko', 'Kato, Yoko', 'Nakagawa, Hisashi', 'Hatano, Hiroshi', 'Mizuki, Nobuhisa']","['Hayashi T', 'Ishioka M', 'Ito N', 'Kato Y', 'Nakagawa H', 'Hatano H', 'Mizuki N']","['Department of Ophthalmology, Yokohama City University School of Medicine, Yokohama, Kanagawa, Japan. amg-igf@goo.jp']",['eng'],['Case Reports'],,New Zealand,Clin Ophthalmol,"Clinical ophthalmology (Auckland, N.Z.)",101321512,PMC2693989,2008/06/01 00:00,2008/06/01 00:01,['2009/08/12 09:00'],"['2009/08/12 09:00 [entrez]', '2008/06/01 00:00 [pubmed]', '2008/06/01 00:01 [medline]']",['10.2147/opth.s1858 [doi]'],ppublish,Clin Ophthalmol. 2008 Jun;2(2):457-9. doi: 10.2147/opth.s1858.,,,,['NOTNLM'],"['bilateral herpes simplex keratitis', 'bone marrow transplant', 'chronic graft-versus-host disease', 'corneal herpes', 'dry eyes']",,,,,,,,,,,,,,,,
19668332,NLM,MEDLINE,20100119,20211020,1932-6203 (Electronic) 1932-6203 (Linking),4,8,2009 Aug 10,The TCL1A oncoprotein interacts directly with the NF-kappaB inhibitor IkappaB.,e6567,10.1371/journal.pone.0006567 [doi],"The T cell leukaemia/lymphoma 1A (TCL1A) oncoprotein plays key roles in several B and T cell malignancies. Lacking enzymatic activity, TCL1A's transforming action was linked to its capacity to co-activate the protein kinase AKT via binding to its pleckstrin homology (PH) domain. However, perturbation of AKT signalling alone was recently shown insufficient to explain TCL1A oncogenesis, suggesting that TCL1A has additional cellular partners. Searching for such additional targets, we found that TCL1A binds specifically and directly to the ankyrin domain of IkappaB, the inhibitor of the NF-kappaB transcription factors. Through binding assays and a structural analysis by small angle X-ray scattering, we show that TCL1A and IkappaB interact in yeast-two-hybrid systems, when transiently overexpressed in 293 cells, and as recombinant proteins in vitro. We further establish that the association between TCL1A and IkappaB is compatible with AKT binding to TCL1A, but incompatible with IkappaB binding to NF-kappaB. By interfering with the inhibition of NF-kappaB by IkappaB, TCL1A may increase the concentration of free NF-kappaB molecules sufficiently to trigger expression of anti-apoptotic genes. Thus our data suggest an additional route by which TCL1A might cause cancer.","['Ropars, Virginie', 'Despouy, Gilles', 'Stern, Marc-Henri', 'Benichou, Serge', 'Roumestand, Christian', 'Arold, Stefan T']","['Ropars V', 'Despouy G', 'Stern MH', 'Benichou S', 'Roumestand C', 'Arold ST']","['CNRS, UMR5048, Centre de Biochimie Structurale, Montpellier, France.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090810,United States,PLoS One,PloS one,101285081,PMC2718698,2009/08/12 09:00,2010/01/20 06:00,['2009/08/12 09:00'],"['2009/04/11 00:00 [received]', '2009/07/01 00:00 [accepted]', '2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2010/01/20 06:00 [medline]']",['10.1371/journal.pone.0006567 [doi]'],epublish,PLoS One. 2009 Aug 10;4(8):e6567. doi: 10.1371/journal.pone.0006567.,"['0 (Proto-Oncogene Proteins)', '0 (TCL1A protein, human)', 'EC 2.7.11.10 (I-kappa B Kinase)']",IM,"['Humans', 'I-kappa B Kinase/*metabolism', 'Protein Binding', 'Proto-Oncogene Proteins/*metabolism', 'Scattering, Radiation']",,,,,,,,,,,,,,,,,,
19668242,NLM,MEDLINE,20091027,20090928,1530-0307 (Electronic) 0023-6837 (Linking),89,10,2009 Oct,IGH and IGK gene rearrangements as PCR targets for pediatric Burkitt's lymphoma and mature B-ALL MRD analysis.,1182-6,10.1038/labinvest.2009.81 [doi],"We recently reported that minimal residual disease (MRD) and minimal disseminated disease (MDD), assessed by long-distance PCR (LD-PCR) for t(8;14), are negative prognostic factors in mature B-cell acute lymphoblastic leukemia (B-ALL) and in Burkitt's lymphoma (BL). However, t(8;14) is detectable in only about 70% of patients, thus preventing MRD studies by this approach in the remaining patients. At present, no molecular assays have been reported for MRD and MDD analysis in t(8;14)-negative patients. The aim of our study was to evaluate the characteristics of patient-specific immunoglobulin (Ig) gene rearrangements as RQ-PCR targets for MRD analysis, in order to extend MRD studies to those patients who are not eligible for the LD-PCR assay. The study was performed according to the guidelines of the European Study Group on MRD detection in ALL (ESG-MRD-ALL). Overall, 36 B-ALL and 19 BL cases were analyzed. Multiple PCR reactions were performed for each sample to identify heavy and kappa light-chain rearrangements. A total of 97 RQ-PCR targets (62 for B-ALL, 35 for BL) were analyzed for sensitivity. The rearrangement pattern identified was similar to that reported for normal peripheral blood lymphocytes. In 88% of the targets, a sensitivity of at least 10(-4) was achieved. In 87% of patients (84% of B-ALLs, 95% of BLs) at least one sensitive target was available. All PCR targets identified at diagnosis were preserved at relapse. Our results suggest that MDD and MRD can be successfully studied using a single sensitive Ig target in the great majority of B-ALL and BL cases. The combination of LD-PCR and Ig-based assays will allow MRD analysis in virtually all of the patients.","['Lovisa, Federica', 'Mussolin, Lara', 'Corral, Lilia', 'Pillon, Marta', 'Cazzaniga, Giovanni', 'Biondi, Andrea', 'Rosolen, Angelo']","['Lovisa F', 'Mussolin L', 'Corral L', 'Pillon M', 'Cazzaniga G', 'Biondi A', 'Rosolen A']","['Clinica di Oncoematologia Pediatrica, Azienda Ospedaliera-Universita di Padova, Padua, Italy.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20090810,United States,Lab Invest,Laboratory investigation; a journal of technical methods and pathology,0376617,,2009/08/12 09:00,2009/10/29 06:00,['2009/08/12 09:00'],"['2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2009/10/29 06:00 [medline]']","['labinvest200981 [pii]', '10.1038/labinvest.2009.81 [doi]']",ppublish,Lab Invest. 2009 Oct;89(10):1182-6. doi: 10.1038/labinvest.2009.81. Epub 2009 Aug 10.,"['0 (Immunoglobulin Heavy Chains)', '0 (Immunoglobulin kappa-Chains)']",IM,"['Burkitt Lymphoma/*genetics', 'Child', '*Gene Rearrangement, B-Lymphocyte, Heavy Chain', '*Gene Rearrangement, B-Lymphocyte, Light Chain', 'Humans', 'Immunoglobulin Heavy Chains/*genetics', 'Immunoglobulin kappa-Chains/*genetics', 'Leukemia, B-Cell/*genetics', 'Neoplasm, Residual', 'Polymerase Chain Reaction']",,,,,,,,,,,,,,,,,,
19668237,NLM,MEDLINE,20100603,20211020,1476-5365 (Electronic) 0268-3369 (Linking),45,3,2010 Mar,"Reduced-intensity conditioning using fludarabine, melphalan and thiotepa for adult patients undergoing haploidentical SCT.",429-36,10.1038/bmt.2009.189 [doi],"Haploidentical SCT (HaploSCT) has been most commonly performed using a myeloablative, TBI-based preparative regimen; however, the toxicity with this approach remains very high. We studied the feasibility of a reduced-intensity conditioning regimen in a phase II clinical trial using fludarabine, melphalan and thiotepa and antithymocyte globulin (ATG) for patients with advanced hematological malignancies undergoing T-cell depleted HaploSCT. Twenty-eight patients were entered in the study. Engraftment with donor-derived hematopoiesis was achieved in 78% of patients after a median of 13 days. Six patients experienced primary graft failure, three out of four tested patients had donor-specific anti-HLA antibodies (DSA) (P=0.001). Toxicity included mostly infections. A total of 21 out of 22 patients with AML/myelodysplastic syndrome (MDS) achieved remission after transplant (16 with relapsed/refractory AML). Five out of the 12 patients (42%) with AML/MDS with <15% BM blasts survived long term as compared with none with more advanced disease (P=0.03). HaploSCT with this fludarabine, melphalan and thiotepa and ATG RIC is an effective, well-tolerated conditioning regimen for patients with AML/MDS with low disease burden at the time of transplant and allowed a high rate of engraftment in patients without DSA. Patients with overt relapse fared poorly and require novel treatment strategies.","['Ciurea, S O', 'Saliba, R', 'Rondon, G', 'Pesoa, S', 'Cano, P', 'Fernandez-Vina, M', 'Qureshi, S', 'Worth, L L', 'McMannis, J', 'Kebriaei, P', 'Jones, R B', 'Korbling, M', 'Qazilbash, M', 'Shpall, E J', 'Giralt, S', 'de Lima, M', 'Champlin, R E', 'Gajewski, J']","['Ciurea SO', 'Saliba R', 'Rondon G', 'Pesoa S', 'Cano P', 'Fernandez-Vina M', 'Qureshi S', 'Worth LL', 'McMannis J', 'Kebriaei P', 'Jones RB', 'Korbling M', 'Qazilbash M', 'Shpall EJ', 'Giralt S', 'de Lima M', 'Champlin RE', 'Gajewski J']","['Department of Stem Cell Transplantation and Cellular Therapy, University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA. sciurea@mdanderson.org']",['eng'],"['Clinical Trial, Phase II', 'Journal Article']",20090810,England,Bone Marrow Transplant,Bone marrow transplantation,8702459,PMC4080627,2009/08/12 09:00,2010/06/04 06:00,['2009/08/12 09:00'],"['2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2010/06/04 06:00 [medline]']","['bmt2009189 [pii]', '10.1038/bmt.2009.189 [doi]']",ppublish,Bone Marrow Transplant. 2010 Mar;45(3):429-36. doi: 10.1038/bmt.2009.189. Epub 2009 Aug 10.,"['0 (Antilymphocyte Serum)', '0 (Myeloablative Agonists)', '905Z5W3GKH (Thiotepa)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)', 'Q41OR9510P (Melphalan)']",IM,"['Adolescent', 'Adult', 'Antilymphocyte Serum/administration & dosage', 'Child', 'Female', 'Hematologic Neoplasms/therapy', '*Hematopoietic Stem Cell Transplantation/adverse effects', 'Humans', 'Infections/etiology', 'Leukemia, Myeloid, Acute/therapy', 'Male', 'Melphalan/administration & dosage', 'Middle Aged', 'Myeloablative Agonists/*administration & dosage', 'Myelodysplastic Syndromes/therapy', 'Survival Rate', 'T-Lymphocytes/immunology', 'Thiotepa/administration & dosage', 'Transplantation Conditioning/*methods', 'Transplantation, Homologous', 'Treatment Outcome', 'Vidarabine/administration & dosage/analogs & derivatives', 'Young Adult']",,,['P01 CA055164/CA/NCI NIH HHS/United States'],['NIHMS598753'],,,,,,,,,,,,,,
19668236,NLM,MEDLINE,20100603,20100310,1476-5365 (Electronic) 0268-3369 (Linking),45,3,2010 Mar,Allogeneic hematopoietic cell transplantation for myelodysplastic syndrome: prognostic significance of pre-transplant IPSS score and comorbidity.,450-7,10.1038/bmt.2009.190 [doi],"We analyzed the clinical significance of pre-transplant International Prognostic Scoring System (IPSS) score and comorbidity in 68 patients who underwent allogeneic hematopoietic cell transplantation (HCT) for myelodysplastic syndrome (MDS) (n=48) or acute myeloid leukemia evolved from MDS (n=20) between December 1995 and January 2008 in a single institute. During a median follow-up period of 41.0 months (range, 3.2-132.0 months), 27 patients died, and 7 relapsed. The 5-year probabilities of overall survival (OS) and event-free survival (EFS) were 60.0 and 57.4%, respectively, and the 5-year cumulative incidences of non-relapse mortality (CINRM) and relapse were 32.7 and 9.9%, respectively. OS, EFS, and CINRM were significantly different according to pre-transplant IPSS score and presence of pre-transplant comorbidity, which were independent risk factors along with Karnofsky performance score in multivariate analyses. In conclusion, pre-transplant IPSS score and comorbidity may stratify the risk of post transplant outcomes in MDS.","['Lee, J-H', 'Lee, J-H', 'Lim, S-N', 'Kim, D-Y', 'Kim, S H', 'Lee, Y-S', 'Kang, Y-A', 'Kang, S-I', 'Jeon, M J', 'Seol, M', 'Seo, E-J', 'Chi, H S', 'Park, C J', 'Jang, S', 'Yun, S-C', 'Lee, K-H']","['Lee JH', 'Lee JH', 'Lim SN', 'Kim DY', 'Kim SH', 'Lee YS', 'Kang YA', 'Kang SI', 'Jeon MJ', 'Seol M', 'Seo EJ', 'Chi HS', 'Park CJ', 'Jang S', 'Yun SC', 'Lee KH']","['Department of Internal Medicine, Asan Medical Center, University of Ulsan College of Medicine, Seoul, Korea. jhlee3@amc.seoul.kr']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090810,England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,2009/08/12 09:00,2010/06/04 06:00,['2009/08/12 09:00'],"['2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2010/06/04 06:00 [medline]']","['bmt2009190 [pii]', '10.1038/bmt.2009.190 [doi]']",ppublish,Bone Marrow Transplant. 2010 Mar;45(3):450-7. doi: 10.1038/bmt.2009.190. Epub 2009 Aug 10.,,IM,"['Adult', 'Comorbidity', 'Disease-Free Survival', 'Female', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/epidemiology/*therapy', 'Prognosis', 'Retrospective Studies', 'Risk Factors', 'Survival Rate', 'Transplantation, Homologous', 'Treatment Outcome', 'Young Adult']",,,,,,,,,,,,,,,,,,
19668234,NLM,MEDLINE,20100603,20100310,1476-5365 (Electronic) 0268-3369 (Linking),45,3,2010 Mar,Munchausen's syndrome in the allogeneic stem cell transplantation setting: a rare but potentially devastating condition.,600-1,10.1038/bmt.2009.192 [doi],,"['Archambault-Grenier, M-A', 'Roy, J', 'Beauchemin, N', 'Cohen, S', 'Lachance, S', 'Kiss, T']","['Archambault-Grenier MA', 'Roy J', 'Beauchemin N', 'Cohen S', 'Lachance S', 'Kiss T']",,['eng'],"['Case Reports', 'Letter']",20090810,England,Bone Marrow Transplant,Bone marrow transplantation,8702459,,2009/08/12 09:00,2010/06/04 06:00,['2009/08/12 09:00'],"['2009/08/12 09:00 [entrez]', '2009/08/12 09:00 [pubmed]', '2010/06/04 06:00 [medline]']","['bmt2009192 [pii]', '10.1038/bmt.2009.192 [doi]']",ppublish,Bone Marrow Transplant. 2010 Mar;45(3):600-1. doi: 10.1038/bmt.2009.192. Epub 2009 Aug 10.,,IM,"['Female', 'Humans', 'Munchausen Syndrome/*diagnosis/*psychology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/psychology/therapy', 'Stem Cell Transplantation/*psychology', 'Transplantation, Homologous', 'Young Adult']",,,,,,,,,,,,,,,,,,
