PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,CN,LA,GR,PT,DEP,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,SI,CON,RF,PMC,MID,CIN,CI,OID,IR,FIR,TT,EIN,PS,FPS,OTO,OT,ROF
19427780,NLM,MEDLINE,20090811,20090622,1879-0852 (Electronic) 0959-8049 (Linking),45,10,2009 Jul,"Relapsed intracranial ependymoma in children in the UK: patterns of relapse, survival and therapeutic outcome.",1815-23,10.1016/j.ejca.2009.03.018 [doi],"Relapsed ependymoma in children poses difficult dilemmas in management. Clinico-pathological and treatment data of 108 children with relapsed ependymoma in the United Kingdom (UK) treated between 1985 and 2002 were reviewed to identify prognostic factors affecting survival. The primary site was the most common site of relapse (84%). Overall 25% had metastatic relapse. Surgery at relapse was attempted in only 55%. Radiotherapy was delivered at relapse in 66% infants and 50% of older children were re-irradiated. Overall 5-year survival was 24% and 27% for children less than 3 years of age at initial diagnosis and older children, respectively. Multivariate analysis showed that, for infants, surgery (p=0.01) and radiotherapy (p=0.001) at relapse were independent predictors of survival. For older children regardless of the previous radiotherapy, repeat irradiation was associated with better outcome (p=0.05). Relapse was associated with poor outcome in both age groups. A survival advantage conferred by both radiotherapy and surgery at relapse is independently significant.","['Messahel, B', 'Ashley, S', 'Saran, F', 'Ellison, D', 'Ironside, J', 'Phipps, K', 'Cox, T', 'Chong, W K', 'Robinson, K', 'Picton, S', 'Pinkerton, C R', 'Mallucci, C', 'Macarthur, D', 'Jaspan, T', 'Michalski, A', 'Grundy, R G']","['Messahel B', 'Ashley S', 'Saran F', 'Ellison D', 'Ironside J', 'Phipps K', 'Cox T', 'Chong WK', 'Robinson K', 'Picton S', 'Pinkerton CR', 'Mallucci C', 'Macarthur D', 'Jaspan T', 'Michalski A', 'Grundy RG']","['Department of Paediatrics, Royal Marsden Hospital, Sutton, Surrey, UK.']","[""Children's Cancer Leukaemia Group Brain Tumour Committee""]",['eng'],['Cancer Research UK/United Kingdom'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090507,England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,IM,"['Adolescent', 'Age Factors', 'Brain Neoplasms/pathology/*therapy', 'Child', 'Child, Preschool', 'Combined Modality Therapy', 'Ependymoma/pathology/secondary/*therapy', 'Female', 'Humans', 'Infant', 'Male', 'Neoplasm Recurrence, Local/pathology/*therapy', 'Prognosis', 'Prospective Studies', 'Survival Analysis', 'Treatment Outcome']",2009/05/12 09:00,2009/08/12 09:00,['2009/05/12 09:00'],"['2008/11/21 00:00 [received]', '2009/03/08 00:00 [revised]', '2009/03/17 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/08/12 09:00 [medline]']","['S0959-8049(09)00216-0 [pii]', '10.1016/j.ejca.2009.03.018 [doi]']",ppublish,Eur J Cancer. 2009 Jul;45(10):1815-23. doi: 10.1016/j.ejca.2009.03.018. Epub 2009 May 7.,,,,,,,,,,,,,,,,,,
19427714,NLM,MEDLINE,20091014,20121115,1768-3254 (Electronic) 0223-5234 (Linking),44,10,2009 Oct,"Synthesis and antitumoral activity of novel thiazolobenzotriazole, thiazoloindolo[3,2-c]quinoline and quinolinoquinoline derivatives.",3858-65,10.1016/j.ejmech.2009.04.012 [doi],"The biological evaluation of some novel thiazoloindolo[3,2-c]quinoline, 8-substituted-11H-indolo[3,2-c]quinolines is described. These compounds were obtained via Graebe-Ullmann thermal cyclization from appropriated N-arylated benzotriazoles. 7H-4,7-Diaza-benzo[de]anthracene, a reaction by-product structurally closed to the pyridoacridine skeleton was also identified. All thiazolobenzotriazole intermediates were tested in vitro for their capacity to inhibit the growth of two breast cancer cell lines, MCF-7 and MDA-MB-231. In parallel, the newly synthesized skeletons were evaluated for DNA interaction, topoisomerases' inhibition, and cytotoxicity against HL60 and HL60/MX2 human leukemia cells. Most compounds showed a potent growth inhibitory effect on all the tested cell lines, with IC(50) in the muM range.","['Beauchard, Anne', 'Jaunet, Alexis', 'Murillo, Laurence', 'Baldeyrou, Brigitte', 'Lansiaux, Amelie', 'Cherouvrier, Jean-Rene', 'Domon, Lisianne', 'Picot, Laurent', 'Bailly, Christian', 'Besson, Thierry', 'Thiery, Valerie']","['Beauchard A', 'Jaunet A', 'Murillo L', 'Baldeyrou B', 'Lansiaux A', 'Cherouvrier JR', 'Domon L', 'Picot L', 'Bailly C', 'Besson T', 'Thiery V']","['Universite de La Rochelle, UMR CNRS 6250 LIENSs, Equipe Molecules a Activites Biologiques, Avenue Michel Crepeau, 17042 La Rochelle, France.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090414,France,Eur J Med Chem,European journal of medicinal chemistry,0420510,IM,"['Animals', 'Antineoplastic Agents/chemical synthesis/*chemistry/*pharmacology/toxicity', 'Breast Neoplasms/drug therapy', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'DNA/metabolism', 'DNA Topoisomerases, Type I/metabolism', 'Female', 'Humans', 'Indoles/chemistry', 'Leukemia/drug therapy', 'Quinolines/chemical synthesis/*chemistry/*pharmacology/toxicity', 'Thiazoles/chemistry', 'Topoisomerase I Inhibitors', 'Triazoles/chemical synthesis/*chemistry/*pharmacology/toxicity']",2009/05/12 09:00,2009/10/15 06:00,['2009/05/12 09:00'],"['2009/02/02 00:00 [received]', '2009/03/25 00:00 [revised]', '2009/04/02 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/10/15 06:00 [medline]']","['S0223-5234(09)00208-6 [pii]', '10.1016/j.ejmech.2009.04.012 [doi]']",ppublish,Eur J Med Chem. 2009 Oct;44(10):3858-65. doi: 10.1016/j.ejmech.2009.04.012. Epub 2009 Apr 14.,"['0 (Antineoplastic Agents)', '0 (Indoles)', '0 (Quinolines)', '0 (Thiazoles)', '0 (Topoisomerase I Inhibitors)', '0 (Triazoles)', '86110UXM5Y (benzotriazole)', '9007-49-2 (DNA)', '91080-16-9 (calf thymus DNA)', 'EC 5.99.1.2 (DNA Topoisomerases, Type I)']",,,,,,,,,,,,,,,,,
19427400,NLM,MEDLINE,20100113,20161125,1878-5875 (Electronic) 1357-2725 (Linking),41,11,2009 Nov,Cloning and characterization of a novel intracellular protein p48.2 that negatively regulates cell cycle progression.,2240-50,10.1016/j.biocel.2009.04.022 [doi],"Neurofibromatosis type 1 (NF1) microdeletion is a large genomic deletion that embraces at least 11 continuous genes at human chromosome 17q11.2. To date, most of these genes' functions still remain undefined. In this study, we report an unknown cytokine receptor like molecule (p48.2) that is frequently deleted in patients with type-1 and type-2 NF1 microdeletions in the neurofibromin locus. The cloned gene has 1317 base pair long that encodes a 438aa intracellular protein. The gene was subsequently named p48.2 based on its predicted molecular weight. A typical fibronectin type III (FNIII) domain was identified in p48.2 between Arg(176) and Pro(261) in which a palindromic Arg-Gly-Asp (RGD) repeat plus a putative Trp-Ser-X-Trp-Ser (WSXWS) motif were found at the domain's C-terminus. p48.2 mRNAs were abundant in many tumor cell lines and normal human tissues and up-regulated in some freshly isolated lung cancer and leukemia cells. Interestingly, over-expression of p48.2 in human embryo kidney 293T cells could significantly cause G0/G1 arrest and prevented S phase entry. In contrast, repressing endogenous p48.2 gene expression by specific siRNA markedly reduced G0/G1 population. Importantly, over-expression of p48.2 could significantly up-regulate rather than down-regulate cyclin D1 and cyclin D3 expressions. We further showed that the induction of cyclin D1 expression was directly due to the activation of signal transducers and activators of transcription 3 (STAT3), but was independent of RAS/mitogen-activated protein kinase (RAS/MAPK) signaling pathway. Thus, p48.2 may represent a novel type of intracellular protein functioning as a negative regulator at the G0/G1 phase.","['Yang, Fan', 'Xu, Yu-Ping', 'Li, Jian', 'Duan, Su-Su', 'Fu, Ying-Jie', 'Zhang, Yun', 'Zhao, Yan', 'Qiao, Wen-Tao', 'Chen, Qi-Min', 'Geng, Yun-Qi', 'Che, Chang-Yan', 'Cao, Ying-Li', 'Wang, Ying', 'Zhang, Lei', 'Long, Lin', 'He, Jie', 'Cui, Quan-Cai', 'Chen, Shu-Chang', 'Wang, Shu-Hui', 'Liu, Li']","['Yang F', 'Xu YP', 'Li J', 'Duan SS', 'Fu YJ', 'Zhang Y', 'Zhao Y', 'Qiao WT', 'Chen QM', 'Geng YQ', 'Che CY', 'Cao YL', 'Wang Y', 'Zhang L', 'Long L', 'He J', 'Cui QC', 'Chen SC', 'Wang SH', 'Liu L']","['Department of Microbiology, Institute of Basic Medical Sciences, Peking Union Medical College, Chinese Academy of Medical Sciences, Beijing 100005, China.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090507,Netherlands,Int J Biochem Cell Biol,The international journal of biochemistry & cell biology,9508482,IM,"['Amino Acid Sequence', 'Animals', 'Base Sequence', '*Cell Cycle/genetics', 'Cell Cycle Proteins/chemistry/*genetics/metabolism', 'Cell Line', 'Cloning, Molecular', 'Computational Biology', 'Cyclin D1/genetics/metabolism', 'Cyclin D3/genetics/metabolism', 'Down-Regulation/genetics', 'G1 Phase', 'Gene Expression Profiling', 'Gene Expression Regulation', 'Genome, Human/genetics', 'Humans', 'Intracellular Space/*metabolism', 'Mice', 'Molecular Sequence Data', 'Promoter Regions, Genetic/genetics', 'RNA, Small Interfering', 'Receptors, Cytokine/chemistry/*genetics/metabolism', 'Resting Phase, Cell Cycle', 'STAT3 Transcription Factor/metabolism', 'Sequence Homology, Amino Acid', 'Signal Transduction']",2009/05/12 09:00,2010/01/14 06:00,['2009/05/12 09:00'],"['2007/10/09 00:00 [received]', '2009/04/22 00:00 [revised]', '2009/04/29 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2010/01/14 06:00 [medline]']","['S1357-2725(09)00155-1 [pii]', '10.1016/j.biocel.2009.04.022 [doi]']",ppublish,Int J Biochem Cell Biol. 2009 Nov;41(11):2240-50. doi: 10.1016/j.biocel.2009.04.022. Epub 2009 May 7.,"['0 (Cell Cycle Proteins)', '0 (Cyclin D3)', '0 (RNA, Small Interfering)', '0 (Receptors, Cytokine)', '0 (STAT3 Transcription Factor)', '0 (p48.2 protein, human)', '136601-57-5 (Cyclin D1)']",['GENBANK/DQ298450'],,,,,,,,,,,,,,,,
19427035,NLM,MEDLINE,20090715,20121115,1873-5835 (Electronic) 0145-2126 (Linking),33,9,2009 Sep,JAK2 mutation and atypical chronic myeloid leukemia.,e166-7,10.1016/j.leukres.2009.03.045 [doi],,"['Campiotti, Leonardo', 'Uccella, Silvia', 'Appio, Lorena', 'Pallotti, Francesco', 'La Rosa, Stefano', 'Capella, Carlo', 'Venco, Achille']","['Campiotti L', 'Uccella S', 'Appio L', 'Pallotti F', 'La Rosa S', 'Capella C', 'Venco A']",,,['eng'],,"['Case Reports', 'Comment', 'Letter']",20090507,England,Leuk Res,Leukemia research,7706787,IM,"['Aged', 'Humans', 'Janus Kinase 2/*genetics', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/pathology', 'Male', '*Mutation', 'Reverse Transcriptase Polymerase Chain Reaction']",2009/05/12 09:00,2009/07/16 09:00,['2009/05/12 09:00'],"['2009/03/23 00:00 [received]', '2009/03/30 00:00 [revised]', '2009/03/31 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/07/16 09:00 [medline]']","['S0145-2126(09)00176-3 [pii]', '10.1016/j.leukres.2009.03.045 [doi]']",ppublish,Leuk Res. 2009 Sep;33(9):e166-7. doi: 10.1016/j.leukres.2009.03.045. Epub 2009 May 7.,"['EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",,['Leuk Res. 2008 Dec;32(12):1931-5. PMID: 18555525'],,,,,,,,,,,,,,,
19427034,NLM,MEDLINE,20091123,20090923,1873-5835 (Electronic) 0145-2126 (Linking),33,12,2009 Dec,WT1 monitoring in core binding factor AML: comparison with specific chimeric products.,1643-9,10.1016/j.leukres.2009.03.046 [doi],"Minimal residual disease may help to establish clinical decisions in patients with AML. WT1 offers the possibility to analyze those cases without currently known underlying genetic abnormalities. To compare the value of chimeric specific quantitative PCR with WT1 PCR in CBF acute leukemia, 445 samples from 96 AML (49 AML1-ETO+ and 47 CBFB-MYH11+) cases were included in the study. For each sample AML1-ETO or CBFB-MYH11 levels obtained using the conditions of the BIOMED group were compared with the results of WT1 levels using sensitive primers and conditions. Simultaneously, normal range expression of WT1 was established using RNA obtained from eight healthy donors. WT1 mutations were also investigated both at RNA and at the genomic level. The majority of CBF samples showed rises in WT1 levels (88.7%) at diagnosis. However, 18% of AML1-ETO showed WT1 levels below 250 copies in contrast with 5% CBFB-MYH11 cases. WT1 mutation was not detected in any case (70 diagnostic samples). We found correlation between WT1 levels at diagnosis and the CD34 blast population estimated by flow cytometry in CBFB-MYH11+ cases. We found no association between WT1 levels and clinical outcome. There was a high concordance between chimeric transcript analysis and WT1 levels in CR patients. Concordance was also high in relapsed patients (78% in AML1-ETO and 98% in CBFB-MYH11+ cases). Both WT1 and specific chimeric transcript identified and rescued false negative results of the other test. Additional studies are needed to determine whether the rare discrepancies are a reflection of the cooperative nature of WT1 overexpression or a consequence of the uneven distribution in the leukemic population. WT1 is a powerful MRD tool even in cases with currently available molecular targets.","['Lasa, Adriana', 'Carricondo, Maite', 'Estivill, Camino', 'Bussaglia, Elena', 'Gich, Ignasi', 'Brunet, Salut', 'Aventin, Anna', 'Sierra, Jorge', 'Nomdedeu, Josep F']","['Lasa A', 'Carricondo M', 'Estivill C', 'Bussaglia E', 'Gich I', 'Brunet S', 'Aventin A', 'Sierra J', 'Nomdedeu JF']","['Laboratori dHematologia, Hospital de la Santa Creu I Sant Pau, Avda Sant Antoni M. Claret, 167, 08025 Barcelona, Spain.']",,['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",20090507,England,Leuk Res,Leukemia research,7706787,IM,"['Adolescent', 'Adult', 'Aged', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Female', '*Genes, Wilms Tumor', 'Humans', 'Leukemia, Myeloid, Acute/*genetics', 'Male', 'Middle Aged', '*Monitoring, Physiologic', 'Mutation', 'RNA/genetics', 'Recombinant Fusion Proteins/blood', 'Young Adult']",2009/05/12 09:00,2009/12/16 06:00,['2009/05/12 09:00'],"['2009/01/29 00:00 [received]', '2009/03/27 00:00 [revised]', '2009/03/30 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/12/16 06:00 [medline]']","['S0145-2126(09)00173-8 [pii]', '10.1016/j.leukres.2009.03.046 [doi]']",ppublish,Leuk Res. 2009 Dec;33(12):1643-9. doi: 10.1016/j.leukres.2009.03.046. Epub 2009 May 7.,"['0 (Recombinant Fusion Proteins)', '63231-63-0 (RNA)']",,,,,,,,,,,,,,,,,
19427022,NLM,MEDLINE,20090804,20090720,1532-8392 (Electronic) 0046-8177 (Linking),40,8,2009 Aug,Chronic basophilic leukemia: a rare form of chronic myeloproliferative neoplasm.,1194-9,10.1016/j.humpath.2009.02.011 [doi],"Chronic basophilic leukemia is a rare and poorly characterized entity. Only a limited number of cases have been described. Herein, we report a patient who presented with fatigue, weight loss, leukocytosis, persistent prominent basophilia, and mild eosinophilia. The bone marrow showed features characteristic of a myeloproliferative neoplasm with a marked increase in maturing basophils. The basophils exhibited nuclear hypersegmentation, abnormal granulation, and abnormally low CD38 expression. Conventional karyotyping revealed a t(5;12)(q31;p13). ETV6 but not PDGFRB rearrangement was detected by fluorescence in situ hybridization.","['Tang, Guilin', 'Woods, Lesley J', 'Wang, Sa A', 'Brettler, Doreen', 'Andersen, Mary', 'Miron, Patricia M', 'Pechet, Liberto', 'Woda, Bruce A', 'Hao, Suyang']","['Tang G', 'Woods LJ', 'Wang SA', 'Brettler D', 'Andersen M', 'Miron PM', 'Pechet L', 'Woda BA', 'Hao S']","['Department of Pathology, University of Massachusetts Medical Center, Worcester, MA 01605, USA.']",,['eng'],,"['Case Reports', 'Journal Article']",20090508,United States,Hum Pathol,Human pathology,9421547,IM,"['Aged, 80 and over', 'Basophils/*pathology', 'Bone Marrow Cells/pathology', 'Cell Nucleus/pathology', 'Chromosomes, Human, Pair 12', 'Chromosomes, Human, Pair 5', 'Flow Cytometry', 'Gene Rearrangement', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid, Chronic-Phase/genetics/*pathology', 'Male', 'Proto-Oncogene Proteins c-ets/genetics', 'Repressor Proteins/genetics', 'Translocation, Genetic/genetics']",2009/05/12 09:00,2009/08/06 09:00,['2009/05/12 09:00'],"['2008/11/17 00:00 [received]', '2009/02/18 00:00 [revised]', '2009/02/24 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/08/06 09:00 [medline]']","['S0046-8177(09)00069-0 [pii]', '10.1016/j.humpath.2009.02.011 [doi]']",ppublish,Hum Pathol. 2009 Aug;40(8):1194-9. doi: 10.1016/j.humpath.2009.02.011. Epub 2009 May 8.,"['0 (ETS translocation variant 6 protein)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Repressor Proteins)']",,,,,,,,,,,,,,,,,
19427018,NLM,MEDLINE,20090625,20090615,1532-8392 (Electronic) 0046-8177 (Linking),40,7,2009 Jul,Human immunodeficiency virus-associated precursor T-lymphoblastic leukemia/lymphoblastic lymphoma: report of a case and review of the literature.,1045-9,10.1016/j.humpath.2008.12.021 [doi],"We describe a case of human immunodeficiency virus-associated T-lymphoblastic leukemia/lymphoblastic lymphoma in a 43-year-old Italian man with a history of human immunodeficiency virus infection lasting 9 years. Immunoperoxidase stains showed that neoplastic cells were positive for CD3, TdT, CD45, CD10, CD1a, CD2, CD7, CD5, and CD43 (focal). The proliferation rate was approximately 70%, assessed by Ki-67/MIB-1 staining. Flow cytometry of the marrow aspirate revealed an intermediate/cortical T-lymphoblastic phenotype: negative for surface CD3 and positive for cytoplasmic CD3, CD1a, TdT, CD2, CD7, CD5, and CD8, with partial coexpression of dimCD4. Analysis of T-cell receptor gamma polymerase chain reaction products showed clonality. T-lymphoblastic leukemia/lymphoblastic lymphoma is a very rare occurrence in the clinical setting of human immunodeficiency virus infection. It is not listed in the World Health Organization classification of lymphomas associated with human immunodeficiency virus infection. Only 4 cases of human immunodeficiency virus-associated T-lymphoblastic leukemia/lymphoblastic lymphoma are reported in the current medical literature.","['Lorenzon, Debora', 'Perin, Tiziana', 'Bulian, Pietro', 'De Re, Valli', 'Caggiari, Laura', 'Michieli, Mariagrazia', 'Manuele, Rosa', 'Spina, Michele', 'Gattei, Valter', 'Fasan, Marco', 'Tirelli, Umberto', 'Canzonieri, Vincenzo']","['Lorenzon D', 'Perin T', 'Bulian P', 'De Re V', 'Caggiari L', 'Michieli M', 'Manuele R', 'Spina M', 'Gattei V', 'Fasan M', 'Tirelli U', 'Canzonieri V']","['Servizio di Onco-Ematologia Clinico-Sperimentale, Centro di Riferimento Oncologico, Istituto Nazionale Tumori, IRCCS, 33081 Aviano, Italy.']",,['eng'],,"['Case Reports', 'Journal Article', 'Review']",20090507,United States,Hum Pathol,Human pathology,9421547,IM,"['Adult', 'Base Sequence', 'Fatal Outcome', 'Gene Rearrangement, gamma-Chain T-Cell Antigen Receptor', 'HIV Infections/*pathology', 'Humans', 'Leukemia, Lymphoid/*pathology/*virology', 'Male', 'Molecular Sequence Data', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*pathology/*virology']",2009/05/12 09:00,2009/06/26 09:00,['2009/05/12 09:00'],"['2008/11/26 00:00 [received]', '2008/12/16 00:00 [revised]', '2008/12/22 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/06/26 09:00 [medline]']","['S0046-8177(09)00061-6 [pii]', '10.1016/j.humpath.2008.12.021 [doi]']",ppublish,Hum Pathol. 2009 Jul;40(7):1045-9. doi: 10.1016/j.humpath.2008.12.021. Epub 2009 May 7.,,,,15,,,,,,,,,,,,,,
19427003,NLM,MEDLINE,20090929,20211020,0027-5107 (Print) 0027-5107 (Linking),668,1-2,2009 Jul 31,Mouse models of Fanconi anemia.,133-40,10.1016/j.mrfmmm.2009.03.015 [doi],"Fanconi anemia is a rare inherited disease characterized by congenital anomalies, growth retardation, aplastic anemia and an increased risk of acute myeloid leukemia and squamous cell carcinomas. The disease is caused by mutation in genes encoding proteins required for the Fanconi anemia pathway, a response mechanism to replicative stress, including that caused by genotoxins that cause DNA interstrand crosslinks. Defects in the Fanconi anemia pathway lead to genomic instability and apoptosis of proliferating cells. To date, 13 complementation groups of Fanconi anemia were identified. Five of these genes have been deleted or mutated in the mouse, as well as a sixth key regulatory gene, to create mouse models of Fanconi anemia. This review summarizes the phenotype of each of the Fanconi anemia mouse models and highlights how genetic and interventional studies using the strains have yielded novel insight into therapeutic strategies for Fanconi anemia and into how the Fanconi anemia pathway protects against genomic instability.","['Parmar, Kalindi', ""D'Andrea, Alan"", 'Niedernhofer, Laura J']","['Parmar K', ""D'Andrea A"", 'Niedernhofer LJ']","['Department of Radiation Oncology, Dana-Farber Cancer Institute, Harvard Medical School, 44 Binney Street, Boston, MA 02115, USA.']",,['eng'],"['U19 AI067751-040001/AI/NIAID NIH HHS/United States', 'U19AI067751/AI/NIAID NIH HHS/United States', 'U19 AI067751/AI/NIAID NIH HHS/United States', 'R01 ES016114-03/ES/NIEHS NIH HHS/United States', 'R01 ES016114/ES/NIEHS NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",20090410,Netherlands,Mutat Res,Mutation research,0400763,IM,"['Animals', 'DNA Repair', '*Disease Models, Animal', 'Fanconi Anemia/*genetics', 'Genomic Instability', 'Mice/*genetics', 'Mice, Mutant Strains']",2009/05/12 09:00,2009/09/30 06:00,['2009/05/12 09:00'],"['2009/01/30 00:00 [received]', '2009/03/18 00:00 [revised]', '2009/03/30 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/09/30 06:00 [medline]']","['S0027-5107(09)00117-1 [pii]', '10.1016/j.mrfmmm.2009.03.015 [doi]']",ppublish,Mutat Res. 2009 Jul 31;668(1-2):133-40. doi: 10.1016/j.mrfmmm.2009.03.015. Epub 2009 Apr 10.,,,,91,PMC2778466,['NIHMS137426'],,,,,,,,,,,,
19426901,NLM,MEDLINE,20090803,20090511,1528-395X (Electronic) 1079-2104 (Linking),107,5,2009 May,Relapse of acute lymphoblastic leukemia in the jaw.,e14-6,10.1016/j.tripleo.2009.01.029 [doi],"This case report describes the clinical case of relapse of precursor B-cell acute lymphoblastic leukemia in the jaw of a 19-year-old female patient who presented with facial swelling, sensory disturbances of the face, and teeth mobility 10 months after a successful allogenic bone marrow transplant. The oral and dental presentations were the only features indicating leukemic relapse in this patient.","['Bakathir, Abdulaziz A', 'Al-Hamdani, Aisha S']","['Bakathir AA', 'Al-Hamdani AS']","['Oral Health Department, Sultan Qaboos University Hospital, Sultan Qaboos University, Muscat, Oman. abakathir@squ.edu.om']",,['eng'],,"['Case Reports', 'Journal Article']",,United States,Oral Surg Oral Med Oral Pathol Oral Radiol Endod,"Oral surgery, oral medicine, oral pathology, oral radiology, and endodontics",9508562,IM,"['Bone Marrow Transplantation', 'Female', 'Humans', 'Leukemic Infiltration', 'Mandibular Neoplasms/*pathology', 'Neoplasm Recurrence, Local/*pathology', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/*pathology/surgery', 'Young Adult']",2009/05/12 09:00,2009/08/04 09:00,['2009/05/12 09:00'],"['2008/12/27 00:00 [received]', '2009/01/21 00:00 [revised]', '2009/01/21 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/08/04 09:00 [medline]']","['S1079-2104(09)00065-1 [pii]', '10.1016/j.tripleo.2009.01.029 [doi]']",ppublish,Oral Surg Oral Med Oral Pathol Oral Radiol Endod. 2009 May;107(5):e14-6. doi: 10.1016/j.tripleo.2009.01.029.,,,,,,,,,,,,,,,,,,
19426847,NLM,MEDLINE,20090714,20151119,1873-2399 (Electronic) 0301-472X (Linking),37,7,2009 Jul,Different mutants of PSMB5 confer varying bortezomib resistance in T lymphoblastic lymphoma/leukemia cells derived from the Jurkat cell line.,831-7,10.1016/j.exphem.2009.04.001 [doi],"OBJECTIVE: To investigate the relationship between bortezomib resistance and mutations in the proteasome beta5 subunit (PSMB5) gene. MATERIALS AND METHODS: Various bortezomib-resistant lymphoblastic lymphoma/leukemia lines were established by repeated cycles of bortezomib selection. Mutations were detected by sequencing the complementary DNA of the PSMB5 gene. Mutated clones were selected by limited dilution and cultured without bortezomib. Messenger RNA expression levels of PSMB5 in these mutated clones were measured by quantitative reverse transcription polymerase chain reaction. The degree of resistance was determined by cytotoxicity at various bortezomib concentrations. The chymotrypsin-like activities were assayed by measuring the release of the fluorescent 7-amido-4-methylcoumarin from the substrate N-succinyl-Leu-Leu-Val-Tyr-7-amido-4-methylcoumarin. RESULTS: In addition to the previously reported PSMB5 G322A mutant (Ala49Thr), a C323T mutant (Ala49Val), and G322A, C326T conjoined mutant (Ala49Thr and Ala50Val) were selected and clones containing these mutations (JurkatB-G322A, JurkatB-C323T, and JurkatB-G322A/C326T) were obtained. After being cultured without bortezomib for >2 months, no significant difference in PSMB5 messenger RNA levels was detected between these JurkatB cells and parental Jurkat cells. JurkatB-G322A, JurkatB-C323T, and JurkatB-G322A/C326T clones displayed 22.0-fold, 39.4-fold, and 66.7-fold resistance, respectively, to bortezomib compared to Jurkat cells. There were no significant differences between the chymotrypsin-like activities of these mutants and Jurkat cells. The inhibitory effect of bortezomib on chymotrypsin-like activity was the weakest in JurkatB-G322A/C326T cells, and the strongest in JurkatB-G322A cells, with JurkatB-C323T cells falling in between. CONCLUSION: Mutations of the PSMB5 gene resulting in substitutions of Ala49 and Ala50 of PSMB5 protein can confer varying bortezomib resistance.","['Lu, Shuqing', 'Yang, Jianmin', 'Chen, Zhilong', 'Gong, Shenglan', 'Zhou, Hong', 'Xu, Xiaoqian', 'Wang, Jianmin']","['Lu S', 'Yang J', 'Chen Z', 'Gong S', 'Zhou H', 'Xu X', 'Wang J']","['Department of Hematology, Changhai Hospital, Second Military Medical University, Shanghai, China.']",,['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20090506,Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Antineoplastic Agents/*pharmacology', 'Base Sequence', 'Boronic Acids/*pharmacology', 'Bortezomib', 'DNA Primers', 'Drug Resistance, Neoplasm/*genetics', 'Humans', 'Jurkat Cells', 'Leukemia-Lymphoma, Adult T-Cell/*genetics/pathology', '*Mutation', 'Proteasome Endopeptidase Complex/*genetics', 'Pyrazines/*pharmacology', 'Reverse Transcriptase Polymerase Chain Reaction']",2009/05/12 09:00,2009/07/15 09:00,['2009/05/12 09:00'],"['2009/01/04 00:00 [received]', '2009/03/16 00:00 [revised]', '2009/04/06 00:00 [accepted]', '2009/05/12 09:00 [entrez]', '2009/05/12 09:00 [pubmed]', '2009/07/15 09:00 [medline]']","['S0301-472X(09)00128-3 [pii]', '10.1016/j.exphem.2009.04.001 [doi]']",ppublish,Exp Hematol. 2009 Jul;37(7):831-7. doi: 10.1016/j.exphem.2009.04.001. Epub 2009 May 6.,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (DNA Primers)', '0 (Pyrazines)', '69G8BD63PP (Bortezomib)', 'EC 3.4.25.1 (PSMB5 protein, human)', 'EC 3.4.25.1 (Proteasome Endopeptidase Complex)']",,,,,,,,,,,,,,,,,
