PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,LID,DEP,GR,PMC,CIN,EIN,CON,RF,MID,TT,CN,SI,CI,OTO,OT,UIN,IR,FIR,RIN,OID,PS,FPS
19182410,NLM,MEDLINE,20090320,20190706,0009-2363 (Print) 0009-2363 (Linking),57,2,2009 Feb,Structure-activity relationship of bis-galloyl derivatives related to (-)-epigallocatechin gallate.,190-4,"Green tea and (-)-epigallocatechin gallate (EGCG: one of main components of green tea) are well known to have preventive activities against human cancers. Previously, using a galloyl group as a core structure derived from EGCG, we developed alkyl gallate and gallamide derivatives, which showed strong antiproliferative activity towards human leukemia HL-60 cells by inducing apoptosis. Here, as a further structural development study, we planned to introduce an additional galloyl group into alkyl gallates and gallamides. According to this strategy, various bisgallate and bisgallamide derivatives were synthesized and tested for antiproliferative activity towards HL-60 cells. In gallamide derivatives having a short alkyl chain, the additional galloyl group enhanced the antiproliferative activity. In contrast, in the gallate derivatives, the additional galloyl group had no effect on the antiproliferative activity.","['Dodo, Kosuke', 'Minato, Taro', 'Hashimoto, Yuichi']","['Dodo K', 'Minato T', 'Hashimoto Y']","['Institute of Molecular and Cellular Biosciences, University of Tokyo, Bunkyo-ku, Japan. dodo@iam.u-tokyo.ac.jp']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Japan,Chem Pharm Bull (Tokyo),Chemical & pharmaceutical bulletin,0377775,"['0 (Anticarcinogenic Agents)', '0 (Indicators and Reagents)', '0 (Tea)', '8R1V1STN48 (Catechin)', 'BQM438CTEL (epigallocatechin gallate)', 'EC 3.4.22.- (Caspase 3)']",IM,"['Anticarcinogenic Agents/*chemistry/pharmacology', 'Caspase 3/metabolism', 'Catechin/*analogs & derivatives/chemistry/pharmacology', 'Cell Proliferation/drug effects', 'Cell Survival/drug effects', 'Chromatography, Thin Layer', 'Enzyme Activation/drug effects', 'HL-60 Cells', 'Humans', 'Indicators and Reagents', 'Magnetic Resonance Spectroscopy', 'Structure-Activity Relationship', 'Tea/chemistry']",2009/02/03 09:00,2009/03/21 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/03/21 09:00 [medline]']","['JST.JSTAGE/cpb/57.190 [pii]', '10.1248/cpb.57.190 [doi]']",ppublish,Chem Pharm Bull (Tokyo). 2009 Feb;57(2):190-4. doi: 10.1248/cpb.57.190.,,,,,,,,,,,,,,,,,,,,,,
19182210,NLM,MEDLINE,20090508,20210206,1528-0020 (Electronic) 0006-4971 (Linking),113,14,2009 Apr 2,"Functional involvement of RINF, retinoid-inducible nuclear factor (CXXC5), in normal and tumoral human myelopoiesis.",3172-81,"Retinoids triggers differentiation of acute promyelocytic leukemia (APL) blasts by transcriptional regulation of myeloid regulatory genes. Using a microarray approach, we have identified a novel retinoid-responsive gene (CXXC5) encoding a nuclear factor, retinoid-inducible nuclear factor (RINF), that contains a CXXC-type zinc-finger motif. RINF expression correlates with retinoid-induced differentiation of leukemic cells and with cytokine-induced myelopoiesis of normal CD34(+) progenitors. Furthermore, short hairpin RNA (shRNA) interference suggests for this gene a regulatory function in both normal and tumoral myelopoiesis. Interestingly, RINF localizes to 5q31.3, a small region often deleted in myeloid leukemia (acute myeloid leukemia [AML]/myelodysplasia [MDS]) and suspected to harbor one or several tumor suppressor gene.","['Pendino, Frederic', 'Nguyen, Eric', 'Jonassen, Inge', 'Dysvik, Bjarte', 'Azouz, Abdulkader', 'Lanotte, Michel', 'Segal-Bendirdjian, Evelyne', 'Lillehaug, Johan R']","['Pendino F', 'Nguyen E', 'Jonassen I', 'Dysvik B', 'Azouz A', 'Lanotte M', 'Segal-Bendirdjian E', 'Lillehaug JR']","['Department of Molecular Biology, University of Bergen, Bergen, Norway.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Validation Study']",United States,Blood,Blood,7603509,"['0 (CXXC5 protein, human)', '0 (Carrier Proteins)', '0 (DNA-Binding Proteins)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Transcription Factors)', '5688UTC01R (Tretinoin)']",IM,"['Amino Acid Sequence', 'Carrier Proteins/genetics/*physiology', 'DNA-Binding Proteins', 'Gene Expression Profiling', 'Gene Expression Regulation/drug effects', 'Granulocyte Precursor Cells/drug effects/physiology', 'HL-60 Cells', 'Hematologic Neoplasms/*genetics', 'Humans', 'Intracellular Signaling Peptides and Proteins/genetics/*physiology', 'K562 Cells', 'Models, Biological', 'Molecular Sequence Data', 'Myelopoiesis/drug effects/*genetics', 'Oligonucleotide Array Sequence Analysis', 'Sequence Homology, Amino Acid', 'Transcription Factors', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured']",2009/02/03 09:00,2009/05/09 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/05/09 09:00 [medline]']","['S0006-4971(20)39376-9 [pii]', '10.1182/blood-2008-07-170035 [doi]']",ppublish,Blood. 2009 Apr 2;113(14):3172-81. doi: 10.1182/blood-2008-07-170035. Epub 2009 Jan 30.,10.1182/blood-2008-07-170035 [doi],20090130,,,,,,,,,,,,,,,,,,,,
19182209,NLM,MEDLINE,20090602,20211020,1528-0020 (Electronic) 0006-4971 (Linking),113,18,2009 Apr 30,"Caspase-8 dependent histone acetylation by a novel proteasome inhibitor, NPI-0052: a mechanism for synergy in leukemia cells.",4289-99,"Combination studies of histone deacetylase inhibitors (HDACi) and proteasome inhibitors are providing preclinical framework to build better strategies against hematologic malignancies. Our previous work found that a novel proteasome inhibitor, NPI-0052, and HDACi synergistically induce apoptosis in leukemia cells in a caspase-8- and oxidant-dependent manner. Here we extend those observations to primary leukemia cells and identify novel mechanisms of synergy. Because the proximal targets of NPI-0052 and HDACi are inhibition of proteasome activity and histone acetylation, we initially examined those biochemical events. Increased acetylation of histone-H3 was detected in Jurkat and CLL primary cells treated with NPI-0052, alone or in combination with various HDACi (MS/SNDX-275 or vorinostat). Hyperacetylation by NPI-0052 occurred to a lesser extent in caspase-8-deficient cells and in cells treated with an antioxidant. These results indicate that NPI-0052 is eliciting caspase-8 and oxidative stress-dependent epigenetic alterations. In addition, real-time PCR revealed that MS/SNDX-275 repressed expression of the proteasomal beta5, beta2, and beta1 subunits, consequently inhibiting respective enzymatic activities. Overall, our results suggest that crosstalk by NPI-0052 and HDACi are contributing, along with caspase-8 activation and oxidative stress, to their synergistic cytotoxic effects in leukemia cells, reinforcing the potential clinical utility of combining these 2 agents.","['Miller, Claudia P', 'Rudra, Sharmistha', 'Keating, Michael J', 'Wierda, William G', 'Palladino, Michael', 'Chandra, Joya']","['Miller CP', 'Rudra S', 'Keating MJ', 'Wierda WG', 'Palladino M', 'Chandra J']","['Department of Pediatrics Research, University of Texas M D Anderson Cancer Center, Houston, TX, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",United States,Blood,Blood,7603509,"['0 (Antioxidants)', '0 (Boronic Acids)', '0 (Histone Deacetylase Inhibitors)', '0 (Hydroxamic Acids)', '0 (Lactones)', '0 (Protease Inhibitors)', '0 (Proteasome Inhibitors)', '0 (Pyrazines)', '0 (Pyrroles)', '0 (RNA, Messenger)', '11062-77-4 (Superoxides)', '58IFB293JI (Vorinostat)', '69G8BD63PP (Bortezomib)', '703P9YDP7F (marizomib)', 'EC 3.4.22.- (Caspase 8)', 'EC 3.5.1.98 (Histone Deacetylases)']",IM,"['Acetylation', 'Antioxidants/pharmacology', 'Apoptosis/drug effects', 'Boronic Acids/pharmacology', 'Bortezomib', 'Caspase 8/*metabolism', 'Drug Synergism', 'Drug Therapy, Combination', '*Histone Deacetylase Inhibitors', 'Histone Deacetylases/metabolism', 'Humans', 'Hydroxamic Acids/pharmacology', 'Immunoblotting', 'Immunoprecipitation', 'Lactones/*pharmacology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/metabolism/pathology', 'Leukemia, Myeloid, Acute/*drug therapy/metabolism/pathology', 'Oxidative Stress', 'Protease Inhibitors/*pharmacology', '*Proteasome Inhibitors', 'Protein Processing, Post-Translational/drug effects', 'Pyrazines/pharmacology', 'Pyrroles/*pharmacology', 'RNA, Messenger/genetics/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Superoxides/metabolism', 'Tumor Cells, Cultured', 'Vorinostat']",2009/02/03 09:00,2009/06/03 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/06/03 09:00 [medline]']","['S0006-4971(20)39239-9 [pii]', '10.1182/blood-2008-08-174797 [doi]']",ppublish,Blood. 2009 Apr 30;113(18):4289-99. doi: 10.1182/blood-2008-08-174797. Epub 2009 Jan 30.,10.1182/blood-2008-08-174797 [doi],20090130,"['F31 CA123645/CA/NCI NIH HHS/United States', 'R01 CA115811/CA/NCI NIH HHS/United States']",PMC2676087,,,,,,,,,,,,,,,,,,
19182207,NLM,MEDLINE,20090602,20211020,1528-0020 (Electronic) 0006-4971 (Linking),113,18,2009 Apr 30,Donor T cells primed on leukemia lysate-pulsed recipient APCs mediate strong graft-versus-leukemia effects across MHC barriers in full chimeras.,4440-8,"Antigen-presenting cells (APCs) of host origin drive graft-versus-leukemia (GVL) effects but can also trigger life-threatening graft-versus-host disease (GVHD) after hematopoietic cell transplantation (HCT) across major histocompatibility complex (MHC) barriers. We show that in vitro priming of donor lymphocytes can circumvent the need of recipient-derived APCs in vivo for mediating robust GVL effects and significantly diminishes the risk of severe GVHD. In vitro, generated and expanded T cells (ETCs) mediate anti-leukemia effects only when primed on recipient-derived APCs. Loading of APCs in vitro with leukemia cell lysate, chimerism status of the recipient, and timing of adoptive transfer after HCT are important factors determining the outcome. Delayed transfer of ETCs resulted in strong GVL effects in leukemia-bearing full chimera (FC) and mixed chimera (MC) recipients, which were comparable with the GVL/GVHD rates observed after the transfer of naive donor lymphocyte infusion (DLI). Upon early transfer, GVL effects were more pronounced with ETCs but at the expense of significant GVHD. The degree of GVHD was most severe in MCs after transfer of ETCs that had been in vitro primed either on nonpulsed recipient-derived APCs or with donor-derived APCs.","['Ghosh, Arnab', 'Koestner, Wolfgang', 'Hapke, Martin', 'Schlaphoff, Verena', 'Langer, Florian', 'Baumann, Rolf', 'Koenecke, Christian', 'Cornberg, Markus', 'Welte, Karl', 'Blazar, Bruce R', 'Sauer, Martin G']","['Ghosh A', 'Koestner W', 'Hapke M', 'Schlaphoff V', 'Langer F', 'Baumann R', 'Koenecke C', 'Cornberg M', 'Welte K', 'Blazar BR', 'Sauer MG']","['Transplantation Research Center, Medizinische Hochschule Hannover, Hannover, Germany.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Receptors, Antigen, T-Cell)']",IM,"['Animals', 'Antigen-Presenting Cells/*immunology', 'Female', 'Flow Cytometry', 'Graft vs Host Disease/*immunology/prevention & control', 'Graft vs Leukemia Effect/*immunology', 'Hematopoietic Stem Cell Transplantation', 'Leukemia/*immunology', '*Major Histocompatibility Complex', 'Mice', 'Mice, Inbred C57BL', 'Receptors, Antigen, T-Cell/metabolism', 'Survival Rate', 'T-Lymphocytes/*immunology', 'Tissue Donors', 'Transplantation Chimera/*immunology']",2009/02/03 09:00,2009/06/03 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/06/03 09:00 [medline]']","['S0006-4971(20)39254-5 [pii]', '10.1182/blood-2008-09-181677 [doi]']",ppublish,Blood. 2009 Apr 30;113(18):4440-8. doi: 10.1182/blood-2008-09-181677. Epub 2009 Jan 30.,10.1182/blood-2008-09-181677 [doi],20090130,"['R01 HL056067/HL/NHLBI NIH HHS/United States', 'R01 CA73 669/CA/NCI NIH HHS/United States']",PMC2676097,,,,,,,,,,,,,,,,,,
19182202,NLM,MEDLINE,20090810,20211020,1528-0020 (Electronic) 0006-4971 (Linking),114,4,2009 Jul 23,Risk of plasma cell and lymphoproliferative disorders among 14621 first-degree relatives of 4458 patients with monoclonal gammopathy of undetermined significance in Sweden.,791-5,"Familial clustering of the precursor condition, monoclonal gammopathy of undetermined significance (MGUS) has been observed in case reports and in smaller studies. Using population-based data from Sweden, we identified 4458 MGUS patients, 17505 population-based controls, and first-degree relatives of patients (n = 14621) and controls (n = 58387) with the aim to assess risk of MGUS and lymphoproliferative malignancies among first-degree relatives of MGUS patients. Compared with relatives of controls, relatives of MGUS patients had increased risk of MGUS (relative risk [RR] = 2.8; 1.4-5.6), multiple myeloma (MM; RR = 2.9; 1.9-4.3), lymphoplasmacytic lymphoma/Waldenstrom macroglobulinemia (LPL/WM; RR = 4.0; 1.5-11), and chronic lymphocytic leukemia (CLL; RR = 2.0; 1.2-2.3). Relatives of patients with IgG/IgA MGUS had a 4.0-fold (1.7-9.2), 2.9-fold (1.7-4.9), and 20-fold (2.3-170) elevated risk of developing MGUS, MM, and LPL/WM, respectively. Relatives of IgM MGUS patients had 5.0-fold (1.1-23) increased CLL risk and nonsignificant excess MM and LPL/WM risks. The results were very similar when we assessed risk by type of first-degree relative, age at MGUS (above/below 65 years), or sex. Risk of non-Hodgkin lymphoma or Hodgkin lymphoma was not increased among MGUS relatives. Among first-degree relatives of a nationwide MGUS cohort, we found elevated risks of MGUS, MM, LPL/WM, and CLL, supporting a role for germline susceptibility genes, shared environmental influences, or an interaction between both.","['Landgren, Ola', 'Kristinsson, Sigurdur Y', 'Goldin, Lynn R', 'Caporaso, Neil E', 'Blimark, Cecilie', 'Mellqvist, Ulf-Henrik', 'Wahlin, Anders', 'Bjorkholm, Magnus', 'Turesson, Ingemar']","['Landgren O', 'Kristinsson SY', 'Goldin LR', 'Caporaso NE', 'Blimark C', 'Mellqvist UH', 'Wahlin A', 'Bjorkholm M', 'Turesson I']","['Division of Cancer Epidemiology and Genetics, and Center for Cancer Research, Medical Oncology Branch, National Cancer Institute, National Institutes of Health, 10 Center Drive, Bethesda, MD 20892, USA. landgreo@mail.nih.gov']",['eng'],"['Journal Article', 'Multicenter Study', 'Research Support, N.I.H., Extramural', 'Research Support, N.I.H., Intramural', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Case-Control Studies', '*Family', 'Female', 'Humans', 'Lymphoproliferative Disorders/epidemiology/*etiology', 'Male', 'Middle Aged', 'Neoplasms, Plasma Cell/epidemiology/*etiology', '*Paraproteinemias/epidemiology', 'Risk Factors', 'Sweden/epidemiology']",2009/02/03 09:00,2009/08/11 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/08/11 09:00 [medline]']","['S0006-4971(20)37508-X [pii]', '10.1182/blood-2008-12-191676 [doi]']",ppublish,Blood. 2009 Jul 23;114(4):791-5. doi: 10.1182/blood-2008-12-191676. Epub 2009 Jan 30.,10.1182/blood-2008-12-191676 [doi],20090130,['Intramural NIH HHS/United States'],PMC2716021,['Blood. 2009 Jul 23;114(4):749-50. PMID: 19628711'],,,,,,,,,,,,,,,,,
19182153,NLM,MEDLINE,20090519,20131121,1708-8283 (Electronic) 0883-0738 (Linking),24,2,2009 Feb,Recovery of vision after adjuvant thalidomide in a child with tuberculous meningitis and acute lymphoblastic leukemia.,166-9,"A 7-year-old child, on maintenance chemotherapy for acute lymphoblastic leukemia, developed tuberculous meningitis complicated by progressive basal meningeal inflammation and abscess formation, in spite of adequate tuberculosis treatment and adjunctive corticosteriod therapy. The child became blind as a result of involvement of the optic chiasm. After 2 months of adjunctive thalidomide therapy, the child regained vision and cranial magnetic resonance imaging showed marked reduction of the inflammatory changes previously demonstrated. Progression of intracranial tuberculous infection, in spite of a treatment that is generally considered to be adequate, is well recognized. Previous reports of a possible beneficiary role of thalidomide in these cases support an immunological basis. The present case suggests a role for thalidomide in the treatment of blindness due to involvement of the optic chiasm in progressive basal tuberculous meningitis.","['Stefan, Daniela Cristina', 'Andronikou, Savvas', 'Freeman, Nicola', 'Schoeman, Johan']","['Stefan DC', 'Andronikou S', 'Freeman N', 'Schoeman J']","[""Department of Paediatrics and Child Health, Faculty of Health Sciences, Stellenbosch University, Tygerberg Children's Hospital, Cape Town, South Africa. cs@sun.ac.za""]",['eng'],"['Case Reports', 'Journal Article']",United States,J Child Neurol,Journal of child neurology,8606714,"['0 (Adrenal Cortex Hormones)', '0 (Immunosuppressive Agents)', '4Z8R6ORS6L (Thalidomide)']",IM,"['Adrenal Cortex Hormones/therapeutic use', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Blindness/*drug therapy/etiology', 'Brain/drug effects/pathology', 'Chemotherapy, Adjuvant', 'Child', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Magnetic Resonance Imaging', 'Male', 'Optic Chiasm/drug effects/physiopathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/drug therapy/physiopathology', 'Recovery of Function/drug effects', 'Thalidomide/*therapeutic use', 'Tuberculosis, Meningeal/*complications/pathology/physiopathology', 'Vision, Ocular/*drug effects']",2009/02/03 09:00,2009/05/20 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/05/20 09:00 [medline]']","['24/2/166 [pii]', '10.1177/0883073808322329 [doi]']",ppublish,J Child Neurol. 2009 Feb;24(2):166-9. doi: 10.1177/0883073808322329.,10.1177/0883073808322329 [doi],,,,,,,,,,,,,,,,,,,,,
19181793,NLM,MEDLINE,20090508,20211203,1592-8721 (Electronic) 0390-6078 (Linking),94,2,2009 Feb,Late relapse of acute myeloid leukemia with mutated NPM1 after eight years: evidence of NPM1 mutation stability.,298-300,,"['Meloni, Giovanna', 'Mancini, Marco', 'Gianfelici, Valentina', 'Martelli, Maria Paola', 'Foa, Robin', 'Falini, Brunangelo']","['Meloni G', 'Mancini M', 'Gianfelici V', 'Martelli MP', 'Foa R', 'Falini B']",,['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['0 (Mutant Proteins)', '0 (NPM1 protein, human)', '0 (Nuclear Proteins)', '117896-08-9 (Nucleophosmin)']",IM,"['Female', 'Humans', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Mutant Proteins', '*Mutation', 'Nuclear Proteins/*genetics', 'Nucleophosmin', 'Protein Stability', 'Recurrence', 'Young Adult']",2009/02/03 09:00,2009/05/09 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/05/09 09:00 [medline]']","['94/2/298 [pii]', '10.3324/haematol.2008.000059 [doi]']",ppublish,Haematologica. 2009 Feb;94(2):298-300. doi: 10.3324/haematol.2008.000059.,10.3324/haematol.2008.000059 [doi],,,PMC2635402,,['Haematologica. 2009 Aug;94(8):1182'],,,,,,,,,,,,,,,,
19181792,NLM,MEDLINE,20090508,20211020,1592-8721 (Electronic) 0390-6078 (Linking),94,2,2009 Feb,Cryptochrome-1 expression: a new prognostic marker in B-cell chronic lymphocytic leukemia.,280-4,"Chronic lymphocytic leukemia is an adult-onset leukemia with a heterogeneous clinical behavior. When chronic lymphocytic leukemia cases were divided on the basis of IgV(H) mutational status, widely differing clinical courses were revealed. Since IgV(H) sequencing is difficult to perform in a routine diagnostic laboratory, finding a surrogate for IgV(H) mutational status seems an important priority. In the present study, we proposed the use of Cryptochrome-1 as a new prognostic marker in early-stage chronic lymphocytic leukemia. Seventy patients (Binet stage A, without treatment) were included in the study. We correlated Cryptochrome-1 mRNA with well established prognostic markers such as IgV(H) mutations, ZAP70, LPL or CD38 expression and chromosomal abnormalities. High Cryptochrome-1 expression correlated with IgV(H) unmutated samples. In addition, Cryptochrome-1 was a valuable predictor of disease progression in early-stage chronic lymphocytic leukemia, therefore it can be introduced in clinical practice with the advantage of a simplified method of quantification.","['Lewintre, Eloisa Jantus', 'Martin, Cristina Reinoso', 'Ballesteros, Carlos Garcia', 'Montaner, David', 'Rivera, Rosa Farras', 'Mayans, Jose Ramon', 'Garcia-Conde, Javier']","['Lewintre EJ', 'Martin CR', 'Ballesteros CG', 'Montaner D', 'Rivera RF', 'Mayans JR', 'Garcia-Conde J']","['Molecular Haematology Laboratory, Prince Felipe Research Centre, Valencia, Spain. ejantus@cipf.es']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Validation Study']",Italy,Haematologica,Haematologica,0417435,"['0 (Biomarkers)', '0 (Cryptochromes)', '0 (Flavoproteins)', '0 (RNA, Messenger)']",IM,"['Biomarkers', 'Cryptochromes', 'Flavoproteins/*genetics', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis', '*Predictive Value of Tests', 'Prognosis', 'RNA, Messenger/*analysis']",2009/02/03 09:00,2009/05/09 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/05/09 09:00 [medline]']","['haematol.13052 [pii]', '10.3324/haematol.13052 [doi]']",ppublish,Haematologica. 2009 Feb;94(2):280-4. doi: 10.3324/haematol.13052.,10.3324/haematol.13052 [doi],,,PMC2635393,,,,,,,,,,,,,,,,,,
19181788,NLM,MEDLINE,20090508,20211020,1592-8721 (Electronic) 0390-6078 (Linking),94,2,2009 Feb,T-cell acute lymphoblastic leukemia.,160-2,,"['Chiaretti, Sabina', 'Foa, Robin']","['Chiaretti S', 'Foa R']",,['eng'],"['Comment', 'Editorial', ""Research Support, Non-U.S. Gov't"", 'Review']",Italy,Haematologica,Haematologica,0417435,['0 (Mutant Proteins)'],IM,"['Chromosome Aberrations', 'Drug Delivery Systems', 'Gene Rearrangement, T-Lymphocyte', 'Humans', 'Mutant Proteins', 'Precursor T-Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*genetics']",2009/02/03 09:00,2009/05/09 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/05/09 09:00 [medline]']","['94/2/160 [pii]', '10.3324/haematol.2008.004150 [doi]']",ppublish,Haematologica. 2009 Feb;94(2):160-2. doi: 10.3324/haematol.2008.004150.,10.3324/haematol.2008.004150 [doi],,,PMC2635412,,,['Haematologica. 2009 Feb;94(2):224-9. PMID: 19109214'],21,,,,,,,,,,,,,,
19181784,NLM,MEDLINE,20090622,20211020,1592-8721 (Electronic) 0390-6078 (Linking),94,3,2009 Mar,A JAK2-V617F activating mutation in addition to KIT and FLT3 mutations is associated with clinical outcome in patients with t(8;21)(q22;q22) acute myeloid leukemia.,433-5,,"['Iwanaga, Eisaku', 'Nanri, Tomoko', 'Matsuno, Naofumi', 'Kawakita, Toshiro', 'Mitsuya, Hiroaki', 'Asou, Norio']","['Iwanaga E', 'Nanri T', 'Matsuno N', 'Kawakita T', 'Mitsuya H', 'Asou N']",,['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Amino Acid Substitution', 'Chromosomes, Human, Pair 21/genetics', 'Chromosomes, Human, Pair 8/genetics', 'Female', 'Humans', 'Janus Kinase 2/*genetics', 'Kaplan-Meier Estimate', 'Leukemia, Myeloid/*genetics/pathology', 'Male', 'Mutation', 'Proto-Oncogene Proteins c-kit/*genetics', '*Translocation, Genetic', 'fms-Like Tyrosine Kinase 3/*genetics']",2009/02/03 09:00,2009/06/23 09:00,['2009/02/03 09:00'],"['2009/02/03 09:00 [entrez]', '2009/02/03 09:00 [pubmed]', '2009/06/23 09:00 [medline]']","['haematol.13283 [pii]', '10.3324/haematol.13283 [doi]']",ppublish,Haematologica. 2009 Mar;94(3):433-5. doi: 10.3324/haematol.13283. Epub 2009 Jan 30.,10.3324/haematol.13283 [doi],20090130,,PMC2649368,,,,,,,,,,,,,,,,,,
