PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RN,LID,AB,AD,AID,DEP,GR,PMC,MID,CIN,RF,EIN,CN,CON,OID,TT,IR,FIR,CI,SI,OTO,OT,RIN,COIS,ECI,PS,FPS
19069469,NLM,MEDLINE,20090112,20081215,0507-3758 (Print) 0507-3758 (Linking),54,5,2008,[Trends in rates of cumulative 5- and 10-year infantile survival (age 0-14) in St. Petersburg (a population survey)].,573-81,"['Merabishvili, V M']",['Merabishvili VM'],['rus'],['Journal Article'],Russia (Federation),Vopr Onkol,Voprosy onkologii,0413775,IM,"['Adolescent', 'Brain Neoplasms/mortality', 'Child', 'Child Mortality/trends', 'Child, Preschool', 'Female', 'Humans', 'Infant', 'Infant Mortality/trends', 'Infant, Newborn', 'Kidney Neoplasms/mortality', 'Leukemia/mortality', 'Lymphoma/mortality', 'Male', 'Neoplasms/*mortality', 'Population Surveillance', 'Russia/epidemiology', 'Sex Distribution', 'Survival Rate/trends']",2008/12/17 09:00,2009/01/13 09:00,['2008/12/17 09:00'],"['2008/12/17 09:00 [entrez]', '2008/12/17 09:00 [pubmed]', '2009/01/13 09:00 [medline]']",ppublish,Vopr Onkol. 2008;54(5):573-81.,,,,,,,,,,,,,,,,,,,,,,,,,,,
19069446,NLM,MEDLINE,20090113,20190816,0869-2084 (Print) 0869-2084 (Linking),,10,2008 Oct,[Possibilities of estimating the density of lymphocytic surface receptors from the mean fluorescence strength by flow cytofluorometry. Standardization of analytical conditions].,43-8,"['Naumova, E V', ""Pochtar', M E"", 'Luzin, M N']","['Naumova EV', ""Pochtar' ME"", 'Luzin MN']",['rus'],"['Comparative Study', 'Journal Article']",Russia (Federation),Klin Lab Diagn,Klinicheskaia laboratornaia diagnostika,9432021,IM,"['B-Lymphocytes/cytology/*metabolism', 'Calibration', '*Flow Cytometry/methods/standards', 'Fluorescent Dyes/analysis', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood', 'Lymphocyte Count', 'Male', 'Middle Aged', 'Receptors, Cell Surface/*metabolism', 'Reproducibility of Results', 'Sensitivity and Specificity']",2008/12/17 09:00,2009/01/14 09:00,['2008/12/17 09:00'],"['2008/12/17 09:00 [entrez]', '2008/12/17 09:00 [pubmed]', '2009/01/14 09:00 [medline]']",ppublish,Klin Lab Diagn. 2008 Oct;(10):43-8.,"['0 (Fluorescent Dyes)', '0 (Receptors, Cell Surface)']",,,,,,,,,,,,,,,,,,,,,,,,,,
19068252,NLM,MEDLINE,20090401,20151119,0887-8994 (Print) 0887-8994 (Linking),40,1,2009 Jan,Folate homeostasis in cerebrospinal fluid during therapy for acute lymphoblastic leukemia.,34-41,"['Cole, Peter D', 'Beckwith, Katherine A', 'Vijayanathan, Veena', 'Roychowdhury, Sudipta', 'Smith, Angela K', 'Kamen, Barton A']","['Cole PD', 'Beckwith KA', 'Vijayanathan V', 'Roychowdhury S', 'Smith AK', 'Kamen BA']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Pediatr Neurol,Pediatric neurology,8508183,IM,"['Administration, Oral', 'Adolescent', 'Aminopterin/adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*adverse effects', 'Biomarkers, Tumor/blood/*cerebrospinal fluid', 'Brain/pathology', 'Child', 'Child, Preschool', 'Chromatography, High Pressure Liquid', 'Cognition/*drug effects', 'Dementia, Vascular/etiology/pathology/physiopathology', 'Folic Acid/blood/*cerebrospinal fluid', 'Folic Acid Antagonists/adverse effects', '*Homeostasis', 'Homocysteine/cerebrospinal fluid', 'Humans', 'Infant', 'Magnetic Resonance Imaging', 'Methotrexate/adverse effects', 'Neurotoxicity Syndromes/etiology/pathology/physiopathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*cerebrospinal fluid/*drug therapy', 'Retrospective Studies', 'Young Adult', 'tau Proteins/cerebrospinal fluid']",2008/12/11 09:00,2009/04/02 09:00,['2008/12/11 09:00'],"['2008/07/14 00:00 [received]', '2008/08/25 00:00 [revised]', '2008/09/03 00:00 [accepted]', '2008/12/11 09:00 [pubmed]', '2009/04/02 09:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Pediatr Neurol. 2009 Jan;40(1):34-41. doi: 10.1016/j.pediatrneurol.2008.09.005.,"['0 (Biomarkers, Tumor)', '0 (Folic Acid Antagonists)', '0 (tau Proteins)', '0LVT1QZ0BA (Homocysteine)', '935E97BOY8 (Folic Acid)', 'JYB41CTM2Q (Aminopterin)', 'YL5FZ2Y5U1 (Methotrexate)']",10.1016/j.pediatrneurol.2008.09.005 [doi],"The neurotoxic effects of therapy for childhood acute lymphoblastic leukemia can result in leukoencephalopathy or measurable deficits in cognitive function. However, there are no validated biomarkers that allow the identification of those patients at greatest risk. With the objective of identifying such predictors, cerebrospinal fluid collected from 53 patients over 2.5 years of therapy for childhood acute lymphoblastic leukemia was retrospectively studied. Cerebrospinal fluid folate, concentrated relative to serum folate prior to therapy, dropped during the first month of therapy and remained below baseline throughout treatment. Cerebrospinal fluid homocysteine was inversely related to cognitive function prior to treatment. Oral methotrexate was associated with decreased cerebrospinal fluid folate and increased cerebrospinal fluid homocysteine, but these changes were not seen with oral aminopterin. Of 36 patients who had imaging after completion of therapy, 9 had periventricular or subcortical white matter abnormalities consistent with leukoencephalopathy. Peak cerebrospinal fluid tau concentrations during therapy were higher among patients who had leukoencephalopathy after completion of therapy than among those with normal imaging studies at the end of therapy. If confirmed prospectively, these markers may allow the identification of those patients at greatest risk of developing treatment-induced neurocognitive dysfunction, thus guiding preventive interventions.","['Department of Pediatrics, Albert Einstein College of Medicine, Bronx, New York 10461, USA. pcole@aecom.yu.edu']","['S0887-8994(08)00428-1 [pii]', '10.1016/j.pediatrneurol.2008.09.005 [doi]']",,,,,,,,,,,,,,,,,,,,,,
19068089,NLM,MEDLINE,20110426,20151119,1349-7006 (Electronic) 1347-9032 (Linking),100,2,2009 Feb,Bortezomib-induced apoptosis in mature T-cell lymphoma cells partially depends on upregulation of Noxa and functional repression of Mcl-1.,341-8,"['Ri, Masaki', 'Iida, Shinsuke', 'Ishida, Takashi', 'Ito, Asahi', 'Yano, Hiroki', 'Inagaki, Atsushi', 'Ding, Jianmin', 'Kusumoto, Shigeru', 'Komatsu, Hirokazu', 'Utsunomiya, Atae', 'Ueda, Ryuzo']","['Ri M', 'Iida S', 'Ishida T', 'Ito A', 'Yano H', 'Inagaki A', 'Ding J', 'Kusumoto S', 'Komatsu H', 'Utsunomiya A', 'Ueda R']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cancer Sci,Cancer science,101168776,IM,"['Adult', 'Antineoplastic Agents/*pharmacology', 'Apoptosis/*drug effects', 'Blotting, Western', 'Boronic Acids/*pharmacology', 'Bortezomib', 'Cell Proliferation/drug effects', 'Humans', 'Immunoprecipitation', 'Leukemia-Lymphoma, Adult T-Cell', 'Lymphoma, T-Cell, Cutaneous/drug therapy/*metabolism/pathology', 'Membrane Potential, Mitochondrial/drug effects', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Proto-Oncogene Proteins c-bcl-2/genetics/*metabolism', 'Pyrazines/*pharmacology', 'RNA, Messenger/genetics', 'Reverse Transcriptase Polymerase Chain Reaction', 'Tumor Cells, Cultured', 'Up-Regulation']",2008/12/11 09:00,2011/04/27 06:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [pubmed]', '2011/04/27 06:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Cancer Sci. 2009 Feb;100(2):341-8. doi: 10.1111/j.1349-7006.2008.01038.x.,"['0 (Antineoplastic Agents)', '0 (Boronic Acids)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (PMAIP1 protein, human)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Pyrazines)', '0 (RNA, Messenger)', '69G8BD63PP (Bortezomib)']",10.1111/j.1349-7006.2008.01038.x [doi],"Bortezomib, a proteasome inhibitor that was originally developed as an inhibitor of nuclear factor-kappaB pathways, is currently used for the treatment of multiple myeloma (MM) and mantle cell lymphoma (MCL). The mechanisms of action of this antitumor agent have been studied by several investigators. Here, we explore the underlying mechanisms of bortezomib-induced apoptosis in cutaneous T-cell lymphoma (CTCL) and adult T-cell leukemia/lymphoma (ATLL) at the level of mitochondrial membrane injury. In all cell lines including (KMS-12-PE [MM], HUT78 [CTCL], ATN1 [ATLL], and MT4 [ATLL]), antiapoptotic factors such as c-Flip and XIAP were downregulated after exposure to bortezomib, probably via inhibition of nuclear factor-kappaB signaling. In addition, among the members of the BH3-only family, upregulation of Noxa was consistently seen at both the transcriptional and protein levels in a p53-independent manner after exposure to bortezomib. Repression of Noxa by small interfering RNA partially rescued CTCL and ATLL cells from bortezomib-induced apoptosis. Immunoprecipitation assays indicated time-dependent binding of Noxa and Mcl-1 in all cell types, suggesting that functional repression of Mcl-1 led to the loss of mitochondrial outer membrane potential. Similar results were also obtained in primary tumor cells from patients with ATLL. Taken together, we conclude that bortezomib-induced apoptosis in ATLL and CTCL cells at least partly depends on the upregulation of Noxa and functional repression of Mcl-1, as is also the case in MM and malignant melanoma.","['Department of Medical Oncology and Immunology, Nagoya City University Graduate School of Medical Sciences, 1 Kawasumi, Mizuho-chou, Mizuho-ku, Nagoya, Aichi, Japan.']","['CAS1038 [pii]', '10.1111/j.1349-7006.2008.01038.x [doi]']",,,,,,,,,,,,,,,,,,,,,,
19067929,NLM,MEDLINE,20091214,20090820,1399-3046 (Electronic) 1397-3142 (Linking),13,6,2009 Sep,Continued complete remission without systemic therapy for isolated testicular relapse after bone marrow transplantation in a boy with acute lymphoblastic leukemia.,769-72,"['Kodama, Yuichi', 'Okamoto, Yasuhiro', 'Ijichi, Osamu', 'Shinkoda, Yuichi', 'Nishikawa, Takuro', 'Tanabe, Takayuki', 'Yoshioka, Takako', 'Tashiro, Yukie', 'Mougi, Hiroyuki', 'Kawano, Yoshifumi']","['Kodama Y', 'Okamoto Y', 'Ijichi O', 'Shinkoda Y', 'Nishikawa T', 'Tanabe T', 'Yoshioka T', 'Tashiro Y', 'Mougi H', 'Kawano Y']",['eng'],"['Case Reports', 'Journal Article']",Denmark,Pediatr Transplant,Pediatric transplantation,9802574,IM,"['Bone Marrow Transplantation/*methods', 'Child', 'Humans', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Recurrence', 'Remission Induction', 'Testicular Neoplasms/*diagnosis/secondary', 'Testis/surgery', 'Treatment Outcome']",2008/12/11 09:00,2009/12/16 06:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [pubmed]', '2009/12/16 06:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Pediatr Transplant. 2009 Sep;13(6):769-72. doi: 10.1111/j.1399-3046.2008.01023.x. Epub 2009 Nov 26.,,10.1111/j.1399-3046.2008.01023.x [doi],"ITR after BMT in cases of acute lymphoblastic leukemia is relatively rare. Treatment for ITR after BMT generally consists of a combination of local irradiation, orchiectomy, and systemic chemotherapy. However, the effectiveness of these modalities has not been established. Both irradiation and systemic chemotherapy including a second transplantation would result in additional toxicity. In this report we describe a boy with ITR 91 months after BMT who has remained in complete remission more than two yr after a unilateral orchiectomy. We did not treat this patient with systemic chemotherapy, as his ITR developed very late. Our experience suggests that orchiectomy alone is a reasonable option for very late ITR after BMT.","['Department of Pediatrics, Kagoshima University Graduate School of Medical and Dental Sciences, Kagoshima, Japan. yuichik@m.kufm.kagoshima-u.ac.jp']","['PTR1023 [pii]', '10.1111/j.1399-3046.2008.01023.x [doi]']",20091126,,,,,,,,,,,,,,,,,,,,,
19067914,NLM,MEDLINE,20100121,20211020,1399-3046 (Electronic) 1397-3142 (Linking),13,7,2009 Nov,BK nephropathy in pediatric hematopoietic stem cell transplant recipients.,913-8,"['Verghese, Priya S', 'Finn, Laura S', 'Englund, Janet A', 'Sanders, Jean E', 'Hingorani, Sangeeta R']","['Verghese PS', 'Finn LS', 'Englund JA', 'Sanders JE', 'Hingorani SR']",['eng'],"['Case Reports', 'Journal Article', 'Research Support, N.I.H., Extramural']",Denmark,Pediatr Transplant,Pediatric transplantation,9802574,IM,"['Adolescent', 'BK Virus/*metabolism', 'Biopsy', 'Child', 'Disease Progression', 'Fanconi Anemia/complications/therapy', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Immunosuppressive Agents/therapeutic use', 'Kidney/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/complications/therapy', 'Male', 'Polyomavirus Infections/complications/*etiology', 'Treatment Outcome', 'Tumor Virus Infections/complications/*etiology']",2008/12/11 09:00,2010/01/22 06:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [pubmed]', '2010/01/22 06:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Pediatr Transplant. 2009 Nov;13(7):913-8. doi: 10.1111/j.1399-3046.2008.01069.x. Epub 2008 Nov 1.,['0 (Immunosuppressive Agents)'],10.1111/j.1399-3046.2008.01069.x [doi],"BK nephropathy is a known cause of renal insufficiency in kidney transplant recipients. Activation of the polyoma virus may also occur in the native kidneys of non-renal allograft recipients. BK nephropathy has only been reported in a few patients after HCT, most being adult patients, and the single reported pediatric case had evidence of hemorrhagic cystitis. The response to antiviral therapy also seems to differ widely. Here, we describe two cases of BK nephropathy in the native kidneys of HCT recipients exposed to high levels of immunosuppression because of GVHD. Neither of our patients had any evidence of hemorrhagic cystitis. We present definitive renal pathology and detailed chronological evidence of the rising serum creatinine with simultaneous serum and urine BK PCR titers. In one of our cases, antiviral therapy did not seem beneficial as documented by continued renal dysfunction and elevated serum/urine BK PCR titers. Based on our report, intense immunosuppression in pediatric HCT recipients seems to be involved in the activation of BK virus and BK nephropathy should be suspected even in the absence of hematuria in HCT recipients with unexplained renal dysfunction.","[""Department of Pediatrics, University of Washington and Seattle Children's Hospital, Seattle, WA 98105, USA. priya.verghese@seattlechildrens.org""]","['PTR1069 [pii]', '10.1111/j.1399-3046.2008.01069.x [doi]']",20081101,"['K23 DK063038/DK/NIDDK NIH HHS/United States', 'P01 CA018029/CA/NCI NIH HHS/United States', 'HL 36444/HL/NHLBI NIH HHS/United States', 'K23 DK063038-05/DK/NIDDK NIH HHS/United States', 'P01 HL036444/HL/NHLBI NIH HHS/United States', 'K23 DK 63038/DK/NIDDK NIH HHS/United States', 'CA 18029/CA/NCI NIH HHS/United States']",PMC2802860,['NIHMS156009'],,,,,,,,,,,,,,,,,,
19067913,NLM,MEDLINE,20100121,20181201,1399-3046 (Electronic) 1397-3142 (Linking),13,7,2009 Nov,Cytomegalovirus encephalitis/retinitis in allogeneic haematopoietic stem cell transplant recipient treated successfully with combination of cidofovir and foscarnet.,919-22,"['Hubacek, Petr', 'Keslova, Petra', 'Formankova, Renata', 'Pochop, Pavel', 'Cinek, Ondrej', 'Zajac, Miroslav', 'Lochmanova, Jana', 'Stary, Jan', 'Sedlacek, Petr']","['Hubacek P', 'Keslova P', 'Formankova R', 'Pochop P', 'Cinek O', 'Zajac M', 'Lochmanova J', 'Stary J', 'Sedlacek P']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Denmark,Pediatr Transplant,Pediatric transplantation,9802574,IM,"['Adolescent', 'Antiviral Agents/*therapeutic use', 'Cidofovir', 'Cytomegalovirus Infections/complications/*drug therapy/*etiology', 'Cytosine/*analogs & derivatives/therapeutic use', 'Encephalitis, Viral/complications/*drug therapy/*etiology', 'Female', 'Foscarnet/*therapeutic use', 'Hematopoietic Stem Cell Transplantation/*adverse effects/methods', 'Humans', 'Leukemia, Myeloid, Acute/complications/therapy', 'Organophosphonates/*therapeutic use', 'Retinitis/complications/*drug therapy/*etiology', 'Treatment Outcome']",2008/12/11 09:00,2010/01/22 06:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [pubmed]', '2010/01/22 06:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Pediatr Transplant. 2009 Nov;13(7):919-22. doi: 10.1111/j.1399-3046.2008.01070.x. Epub 2008 Nov 1.,"['0 (Antiviral Agents)', '0 (Organophosphonates)', '364P9RVW4X (Foscarnet)', '8J337D1HZY (Cytosine)', 'JIL713Q00N (Cidofovir)']",10.1111/j.1399-3046.2008.01070.x [doi],"We report an 18-yr-old female patient with repeated CMV reactivations after HSCT treated by several pre-emptive courses of virostatic therapy. Seven months after HSCT, she developed CMV encephalitis/retinitis. Initial therapy with GCV and hyperimmune globulin failed, and later on GCV-resistant strain was detected. Continual increase of CMV DNA in peripheral blood led us to combined therapy with CDV and FCV, which was successful and free of severe renal toxicity. To our best knowledge, this is the first reported case of successful CMV treatment with a combination of CDV and FCV.","['Motol University Hospital, Prague, Czech Republic. petr.hubacek@lfmotol.cuni.cz']","['PTR1070 [pii]', '10.1111/j.1399-3046.2008.01070.x [doi]']",20081101,,,,,,,,,,,,,,,,,,,,,
19067904,NLM,MEDLINE,20090305,20160511,1442-200X (Electronic) 1328-8067 (Linking),50,6,2008 Dec,Secondary leukemia in a child conceived using in vitro fertilization.,831-2,"['Kim, Young Dae', 'Kim, Ki Joong', 'Lee, Young Ho']","['Kim YD', 'Kim KJ', 'Lee YH']",['eng'],"['Case Reports', 'Journal Article']",Australia,Pediatr Int,Pediatrics international : official journal of the Japan Pediatric Society,100886002,IM,"['Antineoplastic Combined Chemotherapy Protocols/*adverse effects/therapeutic use', 'Cerebellar Neoplasms/complications/diagnosis/*drug therapy/therapy', 'Chemotherapy, Adjuvant', 'Child, Preschool', 'Cyclophosphamide/administration & dosage', 'Dactinomycin/administration & dosage', 'Etoposide/administration & dosage', '*Fertilization in Vitro', 'Humans', 'Ifosfamide/administration & dosage', 'Leukemia, Myeloid, Acute/*chemically induced/diagnosis/therapy', 'Male', 'Neoplasms, Second Primary/*chemically induced/diagnosis/therapy', 'Radiotherapy, Adjuvant', 'Rhabdomyosarcoma/complications/diagnosis/*drug therapy/therapy', 'Vincristine/administration & dosage']",2008/12/11 09:00,2009/03/06 09:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [pubmed]', '2009/03/06 09:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Pediatr Int. 2008 Dec;50(6):831-2. doi: 10.1111/j.1442-200X.2008.02754.x.,"['1CC1JFE158 (Dactinomycin)', '5J49Q6B70F (Vincristine)', '6PLQ3CP4P3 (Etoposide)', '8N3DW7272P (Cyclophosphamide)', 'UM20QQM95Y (Ifosfamide)']",10.1111/j.1442-200X.2008.02754.x [doi],,"['Department of Pediatrics, Inje University, Seoul, Korea. kmsc29@hanmail.net']","['PED2754 [pii]', '10.1111/j.1442-200X.2008.02754.x [doi]']",,,,,,,,,,,,,,,,,,,,,,
19067867,NLM,MEDLINE,20090406,20131121,1525-1470 (Electronic) 0736-8046 (Linking),25,6,2008 Nov-Dec,Pyoderma gangrenosum in association with autoimmune neutropenia of infancy.,620-2,"['Mehta, Anisha J', 'Charman, Carolyn R']","['Mehta AJ', 'Charman CR']",['eng'],"['Case Reports', 'Journal Article']",United States,Pediatr Dermatol,Pediatric dermatology,8406799,IM,"['Administration, Topical', 'Antibody Specificity', 'Autoantibodies/blood', 'Autoimmune Diseases/*complications/immunology', 'Buttocks', 'Clobetasol/administration & dosage', 'Female', 'Granulocytes/immunology', 'Humans', 'Immunoglobulin G/blood', 'Infant', 'Isoantigens/immunology', 'Neutropenia/*complications/immunology', 'Neutrophils/immunology', 'Pyoderma Gangrenosum/*complications/drug therapy', 'Recurrence', 'Steroids/administration & dosage']",2008/12/11 09:00,2009/04/07 09:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [pubmed]', '2009/04/07 09:00 [medline]', '2008/12/11 09:00 [entrez]']",ppublish,Pediatr Dermatol. 2008 Nov-Dec;25(6):620-2. doi: 10.1111/j.1525-1470.2008.00784.x.,"['0 (Autoantibodies)', '0 (Immunoglobulin G)', '0 (Isoantigens)', '0 (Steroids)', '0 (neutrophil-specific antigen NA1, human)', 'ADN79D536H (Clobetasol)']",10.1111/j.1525-1470.2008.00784.x [doi],"We report the case of a 10-month-old girl who presented with a spontaneous ulcer on the left buttock which failed to heal despite antibiotic therapy. Histology showed changes consistent with pyoderma gangrenosum and the ulcer resolved rapidly with super-potent topical steroids under occlusion. Blood tests revealed a persistent neutropenia. Immunoglobulin G (IgG) antineutrophil antibodies were detected in the serum, directed against human neutrophil antigen (HNA)-1a. Bone marrow studies showed normocellular marrow with no evidence of dysplasia. T and B cell subsets and karyotype analysis were normal. Autoimmune neutropenia is an uncommon self-limiting condition in young children. Pyoderma gangrenosum is rare in infants, although the buttocks are a common site of involvement in this age group. Pyoderma gangrenosum in infancy can be associated with systemic disease as in adults, particularly myelodysplasia and leukemia, arthritis and inflammatory bowel disease. However, the association of pyoderma gangrenosum and autoimmune neutropenia of infancy has not previously been reported.","['Royal Devon and Exeter Hospital, Exeter, United Kingdom. anisha_mehta1@hotmail.com']","['PDE784 [pii]', '10.1111/j.1525-1470.2008.00784.x [doi]']",,,,,,,,,,,,,,,,,,,,,,
19067745,NLM,MEDLINE,20090112,20081217,1600-0609 (Electronic) 0902-4441 (Linking),82,1,2009 Jan,B-cell precursor t(8;14)(q11;q32)-positive acute lymphoblastic leukemia in children is strongly associated with Down syndrome or with a concomitant Philadelphia chromosome.,46-53,"['Lundin, Catarina', 'Heldrup, Jesper', 'Ahlgren, Tomas', 'Olofsson, Tor', 'Johansson, Bertil']","['Lundin C', 'Heldrup J', 'Ahlgren T', 'Olofsson T', 'Johansson B']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Eur J Haematol,European journal of haematology,8703985,IM,"['Adolescent', 'Adult', 'B-Lymphocytes/*cytology/*metabolism', 'Cell Differentiation', 'Child, Preschool', 'Chromosomes, Human, Pair 14/*genetics', 'Chromosomes, Human, Pair 8/*genetics', 'Down Syndrome/complications/*genetics', 'Humans', 'Male', '*Philadelphia Chromosome', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/complications/*genetics']",2008/12/11 09:00,2009/01/13 09:00,['2008/12/11 09:00'],"['2008/12/11 09:00 [entrez]', '2008/12/11 09:00 [pubmed]', '2009/01/13 09:00 [medline]']",ppublish,Eur J Haematol. 2009 Jan;82(1):46-53. doi: 10.1111/j.1600-0609.2008.01166.x. Epub 2008 Nov 10.,,10.1111/j.1600-0609.2008.01166.x [doi],"We review the clinical and cytogenetic features of 44 acute lymphoblastic leukemias (ALLs) with t(8;14)(q11;q32), including three from our department and 41 ascertained in the literature, focusing on age and gender distribution, peripheral blood values, immunophenotypic data, survival and additional chromosomal changes. Most patients are children or young adults, with a median age of 10 yr for children and 28 for adults. There is a male preponderance, particularly in patients with Down syndrome (DS) or in children with concomitant t(9;22)(q34;q11). The median blood values are hemoglobin 72 g/L, platelets 17 x 10(9)/L and white blood cell count 9 x 10(9)/L, with hyperleukocytosis >50 x 10(9)/L having been reported in only approximately 10%. All reported cases have had a B-cell precursor immunophenotype, typically characterized by CD10+, CD19+, CD20+/-, CD22+, CD24+, CD34+, CD45dim/-, CD66c+/- and CD123+. At the time of reporting, 75% of the patients have been alive. The t(8;14) is the sole acquired change in 30%. The most common additional aberrations are t(9;22)(q34;q11), der(14)t(8;14), +21, +X and +14, the presence of which does not seem to confer a prognostic impact. A substantial proportion of the patients have DS (27%) or t(9;22) (16%). All patients with both t(8;14) and t(9;22) have been children without DS; the frequency of t(9;22) in that cohort is 30%. As t(9;22), or its molecular genetic correlate, may escape detection by conventional banding analysis we would strongly suggest that this aberration is actively looked for in pediatric ALL with t(8;14).","['Department of Clinical Genetics, Lund University Hospital, Lund, Sweden. catarina.lundin@med.lu.se']","['EJH1166 [pii]', '10.1111/j.1600-0609.2008.01166.x [doi]']",20081110,,,,,,,,,,,,,,,,,,,,,
