PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,FAU,AU,AD,LA,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,EIN,RF,MID,TT,OID,OTO,OT,CON,CI,SI,CN,COIS,IR,FIR,UOF,RIN
18945962,NLM,MEDLINE,20090217,20210206,1528-0020 (Electronic) 0006-4971 (Linking),113,3,2009 Jan 15,Donors with group B KIR haplotypes improve relapse-free survival after unrelated hematopoietic cell transplantation for acute myelogenous leukemia.,726-32,10.1182/blood-2008-07-171926 [doi],"Survival for patients with acute myeloid leukemia (AML) is limited by treatment-related mortality (TRM) and relapse after unrelated donor (URD) hematopoietic cell transplantation (HCT). Natural killer (NK)-cell alloreactivity, determined by donor killer-cell immunoglobulin-like receptors (KIRs) and recipient HLA, correlates with successful HCT for AML. Hypothesizing that donor KIR genotype (A/A: 2 A KIR haplotypes; B/x: at least 1 B haplotype) would affect outcomes, we genotyped donors and recipients from 209 HLA-matched and 239 mismatched T-replete URD transplantations for AML. Three-year overall survival was significantly higher after transplantation from a KIR B/x donor (31% [95% CI: 26-36] vs 20% [95% CI: 13-27]; P = .007). Multivariate analysis demonstrated a 30% improvement in the relative risk of relapse-free survival with B/x donors compared with A/A donors (RR: 0.70 [95% CI: 0.55-0.88]; P = .002). B/x donors were associated with a higher incidence of chronic graft-versus-host disease (GVHD; RR: 1.51 [95% CI: 1.01-2.18]; P = .03), but not of acute GVHD, relapse, or TRM. This analysis demonstrates that unrelated donors with KIR B haplotypes confer significant survival benefit to patients undergoing T-replete HCT for AML. KIR genotyping of prospective donors, in addition to HLA typing, should be performed to identify HLA-matched donors with B KIR haplotypes.","['Cooley, Sarah', 'Trachtenberg, Elizabeth', 'Bergemann, Tracy L', 'Saeteurn, Koy', 'Klein, John', 'Le, Chap T', 'Marsh, Steven G E', 'Guethlein, Lisbeth A', 'Parham, Peter', 'Miller, Jeffrey S', 'Weisdorf, Daniel J']","['Cooley S', 'Trachtenberg E', 'Bergemann TL', 'Saeteurn K', 'Klein J', 'Le CT', 'Marsh SG', 'Guethlein LA', 'Parham P', 'Miller JS', 'Weisdorf DJ']","['University of Minnesota, Minneapolis, USA. cool0023@umn.edu']",['eng'],"['U24 CA076518/CA/NCI NIH HHS/United States', 'P01 111412/PHS HHS/United States', 'U24-CA76518/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S."", ""Research Support, U.S. Gov't, P.H.S.""]",20081022,United States,Blood,Blood,7603509,"['0 (HLA Antigens)', '0 (Receptors, KIR)']",IM,"['Adolescent', 'Adult', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Genotype', 'Graft vs Host Disease/epidemiology', 'HLA Antigens/*genetics/immunology', 'Haplotypes', 'Hematopoietic Stem Cell Transplantation/*methods', 'Histocompatibility Testing', 'Humans', 'Infant', 'Kaplan-Meier Estimate', 'Leukemia, Myeloid, Acute/mortality/*therapy', 'Middle Aged', 'Receptors, KIR/*genetics/immunology', 'Risk Factors', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Tissue Donors']",PMC2628378,2008/10/24 09:00,2009/02/20 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/02/20 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['S0006-4971(20)37865-4 [pii]', '10.1182/blood-2008-07-171926 [doi]']",ppublish,Blood. 2009 Jan 15;113(3):726-32. doi: 10.1182/blood-2008-07-171926. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945813,NLM,MEDLINE,20090306,20181113,0888-8809 (Print) 0888-8809 (Linking),22,12,2008 Dec,A conserved molecular mechanism is responsible for the auto-up-regulation of glucocorticoid receptor gene promoters.,2624-42,10.1210/me.2008-0157 [doi],"Glucocorticoid (GC) hormones are widely used in the treatment of acute lymphoblastic leukemia (ALL). Whereas a high level of GC receptor (GR) protein is associated with the sensitivity of ALL cells to steroid-mediated apoptosis, the auto-up-regulation of human (h)GR mRNA and protein is also found in hormone-sensitive ALL cell lines. We have characterized the hGR gene-proximal promoters for DNA sequences and transcription factors required for hormone responsiveness in T lymphoblasts. Sequences at -4559/-4525 and -2956/-2916, relative to the translation start site, function as strong composite GC response units (GRUs). Both GRUs include adjacent protein recognition sequences for the c-Myb transcription factor and the GR as a DNA cassette. An Ets-binding sequence overlaps the GR-binding site in the -4559/-4525 GRU, whereas an Ets-binding site present in the -2956/-2916 GRU does not overlap the GR/c-Myb-binding cassette. The Ets protein family member, PU.1, blocks hormonal activation of the -4559/-4525 GR/c-Myb-binding cassette but does not interfere with the responsiveness of the -2956/-2916 GRU. Thus, the hGR 1A GRU (described previously), the -4559/-4525 GRU, and the -2956/-2916 GRU have a similar structure and can mediate cell type-specific hormonal auto-up-regulation of hGR promoter activity in steroid-sensitive ALL cells. However, subtle differences in the GRU architecture result in differential sensitivity of the promoters to Ets family members such as PU.1. The architecture of the GRU and the spectrum of specific transcription factors present in different types of ALL might allow the development of a tailored therapy to enhance steroid sensitivity in ALL patients.","['Geng, Chuan-dong', 'Schwartz, Jason R', 'Vedeckis, Wayne V']","['Geng CD', 'Schwartz JR', 'Vedeckis WV']","['Department of Biochemistry and Molecular Biology, Stanley S. Scott Cancer Center, Louisiana State University Health Sciences Center, New Orleans, Louisiana 70112, USA.']",['eng'],"['R01 CA116042/CA/NCI NIH HHS/United States', 'CA116042/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20081022,United States,Mol Endocrinol,"Molecular endocrinology (Baltimore, Md.)",8801431,"['0 (Proto-Oncogene Proteins c-myb)', '0 (Receptors, Glucocorticoid)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Base Sequence', 'Binding Sites', 'Conserved Sequence', 'Dexamethasone/pharmacology', 'Evolution, Molecular', 'Feedback, Physiological/drug effects/*genetics', 'Homeostasis/drug effects/*genetics', 'Humans', 'Jurkat Cells', 'Models, Biological', 'Organ Specificity/drug effects/genetics', '*Promoter Regions, Genetic/drug effects', 'Proto-Oncogene Proteins c-myb/metabolism', 'Receptors, Glucocorticoid/*genetics/metabolism', 'Signal Transduction/drug effects/genetics', 'Tumor Cells, Cultured', 'Up-Regulation/drug effects/genetics']",PMC2626199,2008/10/24 09:00,2009/03/07 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/03/07 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['me.2008-0157 [pii]', '10.1210/me.2008-0157 [doi]']",ppublish,Mol Endocrinol. 2008 Dec;22(12):2624-42. doi: 10.1210/me.2008-0157. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945770,NLM,MEDLINE,20090108,20191210,1098-5514 (Electronic) 0022-538X (Linking),83,1,2009 Jan,"The two functions of herpes simplex virus 1 ICP0, inhibition of silencing by the CoREST/REST/HDAC complex and degradation of PML, are executed in tandem.",181-7,10.1128/JVI.01940-08 [doi],"ICP0, an alpha (immediate-early) protein of herpes simplex virus 1, performs at least two key functions. It blocks inhibition of viral-gene expression by interferon, a function dependent on the degradation of the ND10 components PML and SP100 by the ubiquitin ligase expressed by the RING finger (RF), and it blocks silencing of viral DNA mediated by the HDAC1/2-CoREST-REST complex. In the latter case, a mutant CoREST lacking the HDAC1 binding site compensates totally or in part for the absence of ICP0 in a cell-type-dependent manner. Here, we compare the phenotypes of an ICP0 mutant containing disabling amino acid substitutions in the RF with those of a mutant with substitutions in the CoREST binding site (R8507). We report the following: (i) the onset of replication of both mutants was delayed, but the RF mutant yields did not reach wild-type virus levels even as late as 48 h after infection, and (ii) in infected cells, PML is rapidly degraded by wild-type virus, with some delay by the R8507 mutant, and is spared by the RF mutant. The translocation of ICP0 to the cytoplasm is impaired in cells infected with the RF mutant or delayed in cells infected with the R8507 mutant. Finally, in contrast to wild-type viruses, both mutants are inhibited by alpha or gamma interferon. The results indicate that both sets of events, the degradation of PML and the blocking of silencing, are interdependent and in large measure dependent on events in the ND10 nuclear bodies.","['Gu, Haidong', 'Roizman, Bernard']","['Gu H', 'Roizman B']","['The Marjorie B. Kovler Viral Oncology Laboratories, University of Chicago, 910 East 58th Street, Chicago, IL 60637, USA.']",['eng'],"['R01 CA078766/CA/NCI NIH HHS/United States', 'R37 CA078766/CA/NCI NIH HHS/United States', 'CA78766/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural']",20081022,United States,J Virol,Journal of virology,0113724,"['0 (Co-Repressor Proteins)', '0 (DNA-Binding Proteins)', '0 (Histone Deacetylase Inhibitors)', '0 (Immediate-Early Proteins)', '0 (Mutant Proteins)', '0 (Nerve Tissue Proteins)', '0 (Nuclear Proteins)', '0 (Promyelocytic Leukemia Protein)', '0 (RCOR1 protein, human)', '0 (RE1-silencing transcription factor)', '0 (Repressor Proteins)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)', '143220-95-5 (PML protein, human)', 'EC 2.3.2.27 (Ubiquitin-Protein Ligases)', 'EC 2.3.2.27 (Vmw110 protein, Human herpesvirus 1)']",IM,"['Amino Acid Substitution', 'Animals', 'Chlorocebus aethiops', 'Co-Repressor Proteins', 'DNA-Binding Proteins/*antagonists & inhibitors', 'HeLa Cells', 'Herpesvirus 1, Human/*physiology', '*Histone Deacetylase Inhibitors', 'Humans', 'Immediate-Early Proteins/genetics/*metabolism', 'Mutagenesis, Site-Directed', 'Mutant Proteins/genetics/metabolism', 'Mutation, Missense', 'Nerve Tissue Proteins/*antagonists & inhibitors', 'Nuclear Proteins/*antagonists & inhibitors/metabolism', 'Promyelocytic Leukemia Protein', 'Repressor Proteins/*antagonists & inhibitors', 'Transcription Factors/*antagonists & inhibitors/metabolism', 'Tumor Suppressor Proteins/*antagonists & inhibitors/metabolism', 'Ubiquitin-Protein Ligases/genetics/*metabolism', 'Vero Cells', '*Virus Replication']",PMC2612314,2008/10/24 09:00,2009/01/09 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/01/09 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['JVI.01940-08 [pii]', '10.1128/JVI.01940-08 [doi]']",ppublish,J Virol. 2009 Jan;83(1):181-7. doi: 10.1128/JVI.01940-08. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945767,NLM,MEDLINE,20090108,20181113,1098-5514 (Electronic) 0022-538X (Linking),83,1,2009 Jan,Control of pathogenicity and disease specificity of a T-lymphomagenic gammaretrovirus by E-box motifs but not by an overlapping glucocorticoid response element.,336-46,10.1128/JVI.01368-08 [doi],"Although transcription factors of the basic helix-loop-helix family have been shown to regulate enhancers of lymphomagenic gammaretroviruses through E-box motifs, the overlap of an E-box motif (Egre) with the glucocorticoid response element (GRE) has obscured their function in vivo. We report here that Egre, but not the GRE, affects disease induction by the murine T-lymphomagenic SL3-3 virus. Mutating all three copies of Egre prolonged the tumor latency period from 60 to 109 days. Further mutating an E-box motif (Ea/s) outside the enhancer prolonged the latency period to 180 days, suggesting that Ea/s works as a backup site for Egre. While wild-type SL3-3 and GRE and Ea/s mutants exclusively induced T-cell lymphomas with wild-type latencies mainly of the CD4(+) CD8(-) phenotype, Egre as well as the Egre and Ea/s mutants induced B-cell lymphomas and myeloid leukemia in addition to T-cell lymphomas. T-cell lymphomas induced by the two Egre mutants had the same phenotype as those induced by wild-type SL3-3, indicating the incomplete disruption of T-cell lymphomagenesis, which is in contrast to previous findings for a Runx site mutant of SL3-3. Mutating the Egre site or Egre and Ea/s triggered several tumor phenotype-associated secondary enhancer changes encompassing neighboring sites, none of which led to the regeneration of an E-box motif. Taken together, our results demonstrate a role for the E-box but not the GRE in T lymphomagenesis by SL3-3, unveil an inherent broader disease specificity of the virus, and strengthen the notion of selection for more potent enhancer variants of mutated viruses during tumor development.","['Ejegod, Ditte', 'Sorensen, Karina Dalsgaard', 'Mossbrugger, Ilona', 'Quintanilla-Martinez, Leticia', 'Schmidt, Jorg', 'Pedersen, Finn Skou']","['Ejegod D', 'Sorensen KD', 'Mossbrugger I', 'Quintanilla-Martinez L', 'Schmidt J', 'Pedersen FS']","['Department of Molecular Biology, University of Aarhus, C. F. Mollers Alle, bldg. 130, DK-8000 Aarhus, Denmark.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20081022,United States,J Virol,Journal of virology,0113724,"['0 (DNA, Viral)']",IM,"['Animals', 'DNA, Viral/genetics', 'Gammaretrovirus/*genetics/*pathogenicity', 'Incidence', 'Lymphoma/*virology', 'Mice', 'Mutation', '*Response Elements']",PMC2612299,2008/10/24 09:00,2009/01/09 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/01/09 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['JVI.01368-08 [pii]', '10.1128/JVI.01368-08 [doi]']",ppublish,J Virol. 2009 Jan;83(1):336-46. doi: 10.1128/JVI.01368-08. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945750,NLM,MEDLINE,20090227,20201209,1592-8721 (Electronic) 0390-6078 (Linking),93,12,2008 Dec,Identification of TIGAR in the equilibrative nucleoside transporter 2-mediated response to fludarabine in chronic lymphocytic leukemia cells.,1843-51,10.3324/haematol.13186 [doi],"BACKGROUND: The nucleoside analogue fludarabine is used in the treatment of chronic lymphocytic leukemia. It triggers p53-mediated apoptosis, although the mutational status of p53 does not fully account for heterogeneity in responsiveness to treatment. The aim of this study was to identify new genes implicated in fludarabine action as well as to determine the role of equilibrative nucleoside transporters (ENT) in the transcriptomic response triggered by this drug in chronic lymphocytic leukemia cells bearing wild type p53. DESIGN AND METHODS: We performed gene expression profiling in cells from two fludarabine-sensitive and two fludarabine-resistant cases of chronic lymphocytic leukemia treated with fludarabine either in the presence or the absence of nitrobenzylthioinosine, a hENT1-specific blocker. Twenty selected fludarabine-inducible genes were validated using Taqman low-density arrays in cells from 20 chronic lymphocytic leukemia patients with the same experimental design. RESULTS: Sixteen of the twenty genes (DDB2, GADD45A, TYMS, BAX, TIGAR, FAS, TNFSF7, TNFSF9, CCNG1, CDKN1A, MDM2, SESN1, MAP4K4, PPM1D, OSBPL3 and WIG1) correlated with the ex vivo sensitivity of chronic lymphocytic leukemia cells to fludarabine, TIGAR (TP53-induced glycolysis and apoptosis regulator) being the gene that showed the strongest correlation (p<0.0001; r2= 0.6022).We observed that the transcriptomic response was weakly sensitive to the hENT1 blocker nitrobenzylthioinosine. Interestingly, we also found a correlation between hENT2 expression and induction of TIGAR after fludarabine treatment. CONCLUSIONS: We demonstrate a correlation between the recently described p53-inducible apoptosis gene TIGAR and both sensitivity to fludarabine and hENT2 expression in chronic lymphocytic leukemia cells. These results, as well as the variability in fludarabine response among chronic lymphocytic leukemia patients with wild type p53, support the major role of hENT2 in the uptake of fludarabine into chronic lymphocytic leukemia cells.","['Lopez-Guerra, Monica', 'Trigueros-Motos, Laia', 'Molina-Arcas, Miriam', 'Villamor, Neus', 'Casado, F Javier', 'Montserrat, Emili', 'Campo, Elias', 'Colomer, Dolors', 'Pastor-Anglada, Marcal']","['Lopez-Guerra M', 'Trigueros-Motos L', 'Molina-Arcas M', 'Villamor N', 'Casado FJ', 'Montserrat E', 'Campo E', 'Colomer D', 'Pastor-Anglada M']","[""Unitat d'Hematopatologia, Hospital Clinic, Institut d'Investigacions Biomediques August Pi i Sunyer, Universitat de Barcelona, Barcelona, Spain.""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20081022,Italy,Haematologica,Haematologica,0417435,"['0 (Apoptosis Regulatory Proteins)', '0 (Equilibrative-Nucleoside Transporter 2)', '0 (Intracellular Signaling Peptides and Proteins)', 'EC 3.1.3.2 (Phosphoric Monoester Hydrolases)', 'EC 3.1.3.2 (TIGAR protein, human)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Apoptosis Regulatory Proteins', 'Equilibrative-Nucleoside Transporter 2/*drug effects/metabolism', 'Female', 'Gene Expression Profiling', 'Humans', 'Intracellular Signaling Peptides and Proteins/*genetics', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/pathology', 'Male', 'Middle Aged', 'Phosphoric Monoester Hydrolases', 'Tumor Cells, Cultured', 'Vidarabine/*analogs & derivatives/pharmacokinetics/pharmacology']",,2008/10/24 09:00,2009/02/28 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/02/28 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['haematol.13186 [pii]', '10.3324/haematol.13186 [doi]']",ppublish,Haematologica. 2008 Dec;93(12):1843-51. doi: 10.3324/haematol.13186. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945746,NLM,MEDLINE,20090227,20131121,1592-8721 (Electronic) 0390-6078 (Linking),93,12,2008 Dec,Clinical and biological features of acute promyelocytic leukemia patients developing retinoic acid syndrome during induction treatment with all-trans retinoic acid and idarubicin.,1918-20,10.3324/haematol.13510 [doi],,"['Breccia, Massimo', 'Latagliata, Roberto', 'Carmosino, Ida', 'Cannella, Laura', 'Diverio, Daniela', 'Guarini, Anna', 'De Propris, Maria Stefania', 'Petti, Maria Concetta', 'Avvisati, Giuseppe', 'Cimino, Giuseppe', 'Mandelli, Franco', 'Lo-Coco, Francesco']","['Breccia M', 'Latagliata R', 'Carmosino I', 'Cannella L', 'Diverio D', 'Guarini A', 'De Propris MS', 'Petti MC', 'Avvisati G', 'Cimino G', 'Mandelli F', 'Lo-Coco F']",,['eng'],,['Letter'],20081022,Italy,Haematologica,Haematologica,0417435,"['5688UTC01R (Tretinoin)', 'ZRP63D75JW (Idarubicin)']",IM,"['Humans', 'Idarubicin/*therapeutic use', 'Leukemia, Promyelocytic, Acute/*complications/*drug therapy', 'Syndrome', 'Treatment Outcome', 'Tretinoin/*adverse effects/therapeutic use']",,2008/10/24 09:00,2009/02/28 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/02/28 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['haematol.13510 [pii]', '10.3324/haematol.13510 [doi]']",ppublish,Haematologica. 2008 Dec;93(12):1918-20. doi: 10.3324/haematol.13510. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945723,NLM,MEDLINE,20090501,20191210,0144-8420 (Print) 0144-8420 (Linking),132,2,2008,"Host, family and community proxies for infections potentially associated with leukaemia.",267-72,10.1093/rpd/ncn263 [doi],"Three hypotheses have proposed the involvement of infections in the aetiology of childhood leukaemia, suggesting either a specific leukaemogenic infection or a series of common infections that lead to a dysregulation of the immune system. Much of the evidence for the link with infections has been based on epidemiological observations, often using proxy measures of infection. Proxy measures include population mixing, parental occupation, age distribution of incidence, spatial and space-time clustering of cases, birth order and day care during infancy. This paper discusses the proxies used and examines to what extent a commonly used proxy measure, birth order, is a fair representation of either specific infections or general infectious load. It is clear that although leukaemia, and other diseases, may be linked with infections, one needs to (1) measure specific and general infections with more accuracy and (2) understand how proxy measures relate to real infections in the population.","['Law, Graham Richard']",['Law GR'],"['Biostatistics Unit, Centre for Epidemiology and Biostatistics, Room 8.01, Worsley Building, University of Leeds, Leeds LS2 9LN, UK. g.r.law@leeds.ac.uk']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20081022,England,Radiat Prot Dosimetry,Radiation protection dosimetry,8109958,,IM,"['California/epidemiology', 'Causality', 'Child', 'Child Day Care Centers/*statistics & numerical data', 'Comorbidity', 'Environmental Exposure/*statistics & numerical data', 'Humans', 'Incidence', 'Infections/*epidemiology', 'Leukemia/*epidemiology', 'Risk Assessment/methods', 'Risk Factors', 'Young Adult']",,2008/10/24 09:00,2009/05/02 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2009/05/02 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['ncn263 [pii]', '10.1093/rpd/ncn263 [doi]']",ppublish,Radiat Prot Dosimetry. 2008;132(2):267-72. doi: 10.1093/rpd/ncn263. Epub 2008 Oct 22.,,,,,,,,,,,,,,,,,
18945694,NLM,MEDLINE,20081222,20190816,1476-6256 (Electronic) 0002-9262 (Linking),168,11,2008 Dec 1,NQO1 polymorphisms and de novo childhood leukemia: a HuGE review and meta-analysis.,1221-32,10.1093/aje/kwn246 [doi],"Polymorphisms in NQO1, a gene coding for the phase II enzyme involved in the detoxification of quinone carcinogens, have been associated with childhood leukemia in some studies, although the observed direction and magnitude of effects have been inconsistent. Therefore, the authors systematically reviewed all published reports describing the effect of NQO1 in de novo childhood leukemia and conducted a meta-analysis of 7 case-control studies that examined the association between NQO1*2 and childhood leukemia. Although a family-based study previously demonstrated over-transmission of this allele among childhood acute lymphoblastic leukemia cases, the meta-analysis showed that the presence of a NQO1*2 variant allele, which reduces the activity of the enzyme NAD(P)H:quinone oxidoreductase 1 (NQO1), had no significant effect on childhood leukemia. However, there was an increased risk associated with having at least 1 copy of the NQO1*2 allele in a subset of cases with MLL translocations (summary odds ratio = 1.39, 95% confidence interval: 0.98, 1.97). Heterogeneity between studies may be due to differences in population exposures to NQO1 substrates and small sample sizes, as well as potential population stratification in non-family-based studies. Therefore, further research is warranted on the role of NQO1 polymorphisms in the etiology of childhood leukemia, especially among MLL-positive leukemias.","['Guha, Neela', 'Chang, Jeffrey S', 'Chokkalingam, Anand P', 'Wiemels, Joseph L', 'Smith, Martyn T', 'Buffler, Patricia A']","['Guha N', 'Chang JS', 'Chokkalingam AP', 'Wiemels JL', 'Smith MT', 'Buffler PA']","['Division of Epidemiology, School of Public Health, University of California, Berkeley, California 94704, USA. neela@berkeley.edu']",['eng'],"['R01 CA089032/CA/NCI NIH HHS/United States', 'CA89032/CA/NCI NIH HHS/United States', 'P42 ES004705/ES/NIEHS NIH HHS/United States', 'R25 CA112355/CA/NCI NIH HHS/United States', 'R01 ES09137/ES/NIEHS NIH HHS/United States', 'R25 CA 112355/CA/NCI NIH HHS/United States', 'P42ES04705/ES/NIEHS NIH HHS/United States', 'R01 ES009137/ES/NIEHS NIH HHS/United States']","['Journal Article', 'Meta-Analysis', 'Research Support, N.I.H., Extramural', 'Review']",20081022,United States,Am J Epidemiol,American journal of epidemiology,7910653,"['0 (KMT2A protein, human)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 1.6.5.2 (NAD(P)H Dehydrogenase (Quinone))', 'EC 1.6.5.2 (NQO1 protein, human)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Alleles', 'California/epidemiology', 'Case-Control Studies', 'Child', 'Confidence Intervals', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Leukemia, Myeloid, Acute/enzymology/epidemiology/*genetics', 'Myeloid-Lymphoid Leukemia Protein/genetics', 'NAD(P)H Dehydrogenase (Quinone)/*genetics', 'Odds Ratio', '*Polymorphism, Genetic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/enzymology/epidemiology/*genetics']",PMC2727266,2008/10/24 09:00,2008/12/23 09:00,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2008/12/23 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['kwn246 [pii]', '10.1093/aje/kwn246 [doi]']",ppublish,Am J Epidemiol. 2008 Dec 1;168(11):1221-32. doi: 10.1093/aje/kwn246. Epub 2008 Oct 22.,['Am J Epidemiol. 2009 May 15;169(10):1278-9; author reply 1279. PMID: 19332427'],['Am J Epidemiol. 2009 May 15;169(10):1280'],45,,,,,,,,,,,,,,
18945571,NLM,MEDLINE,20090211,20211203,0732-8893 (Print) 0732-8893 (Linking),62,4,2008 Dec,Galactomannan detection in Geotrichum capitatum invasive infections: report of 2 new cases and review of diagnostic options.,450-2,10.1016/j.diagmicrobio.2008.08.008 [doi],"We report 2 cases of Geotrichum capitatum infection in leukemia patients for which Aspergillus galactomannan (GM) assay was positive. The diagnostic options of G. capitatum infections in hematologic patients were reviewed. Although the pathogen was isolated from blood in 77% of cases, diagnostic difficulties remain and GM assay may have a role.","['Bonini, Alessandro', 'Capatti, Carlo', 'Parmeggiani, Maria', 'Gugliotta, Luigi', 'Micozzi, Alessandra', 'Gentile, Giuseppe', 'Capria, Saveria', 'Girmenia, Corrado']","['Bonini A', 'Capatti C', 'Parmeggiani M', 'Gugliotta L', 'Micozzi A', 'Gentile G', 'Capria S', 'Girmenia C']","['Division of Hematology AO S.Maria Nuova, 42100 Reggio Emilia, University ""La Sapienza"", 00161 Rome, Italy.']",['eng'],,"['Case Reports', 'Journal Article', 'Review']",20081021,United States,Diagn Microbiol Infect Dis,Diagnostic microbiology and infectious disease,8305899,"['0 (Mannans)', '11078-30-1 (galactomannan)', 'X2RN3Q8DNE (Galactose)']",IM,"['Adult', 'Child', 'Female', 'Galactose/analogs & derivatives', 'Geotrichosis/*diagnosis', 'Geotrichum/*isolation & purification/metabolism', 'Humans', 'Leukemia, Myeloid, Acute/complications', 'Male', 'Mannans/*isolation & purification/metabolism', 'Middle Aged']",,2008/10/24 09:00,2009/02/12 09:00,['2008/10/24 09:00'],"['2008/07/03 00:00 [received]', '2008/08/07 00:00 [revised]', '2008/08/12 00:00 [accepted]', '2008/10/24 09:00 [pubmed]', '2009/02/12 09:00 [medline]', '2008/10/24 09:00 [entrez]']","['S0732-8893(08)00357-X [pii]', '10.1016/j.diagmicrobio.2008.08.008 [doi]']",ppublish,Diagn Microbiol Infect Dis. 2008 Dec;62(4):450-2. doi: 10.1016/j.diagmicrobio.2008.08.008. Epub 2008 Oct 21.,,,15,,,,,,,,,,,,,,
18945386,NLM,PubMed-not-MEDLINE,20100602,20200929,1523-3847 (Print) 1523-3847 (Linking),10,6,2008 Nov,Early diagnosis and preemptive therapy of pulmonary mold infections in high-risk patients.,459-65,,"The management of pulmonary mold infections in at-risk patients is hampered by the difficulty in diagnosing these infections. Therefore, most practitioners rely on universal prophylaxis and on the early empirical use of antifungals, especially in neutropenic cancer patients and stem cell transplant recipients. However, a strategy of preemptive or diagnostic-driven antifungal therapy is being explored based on advances in imaging techniques and in fungal antigen detection methods. This article highlights the controversies surrounding the prevention and the early treatment of invasive mold infections in high-risk patients.","['Maertens, Johan', 'Huysmans, Griet', 'Theunissen, Koen']","['Maertens J', 'Huysmans G', 'Theunissen K']","['University Hospital Gasthuisberg, Department of Hematology, Acute Leukemia and Stem Cell Transplantation Unit, Herestraat 49, B-3000 Leuven, Belgium. johan.maertens@uz.kuleuven.ac.be']",['eng'],,['Journal Article'],,United States,Curr Infect Dis Rep,Current infectious disease reports,100888983,,,,,2008/10/24 09:00,2008/10/24 09:01,['2008/10/24 09:00'],"['2008/10/24 09:00 [pubmed]', '2008/10/24 09:01 [medline]', '2008/10/24 09:00 [entrez]']",['10.1007/s11908-008-0075-y [doi]'],ppublish,Curr Infect Dis Rep. 2008 Nov;10(6):459-65. doi: 10.1007/s11908-008-0075-y.,,,,,,,,,,,,,,,,,
