PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,MID,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,RF,CIN,TT,OTO,OT,CN,CON,SI,OID,EIN,RIN,IR,FIR,COIS,ROF
18792065,NLM,MEDLINE,20081118,20211020,0008-543X (Print) 0008-543X (Linking),113,8,2008 Oct 15,Serum interleukin-6 predicts the development of multiple symptoms at nadir of allogeneic hematopoietic stem cell transplantation.,2102-9,10.1002/cncr.23820 [doi],"BACKGROUND: During the time of lowest white blood cell count (nadir) of allogeneic hematopoietic stem cell transplantation (allo-HSCT), cancer patients suffer from tremendous symptom burden related to therapy that requires intensive patient care. However, the mechanism underlying the development of multiple symptoms has not been established. METHODS: To explore the role of inflammatory cytokines in the development of treatment-related symptoms, we studied dynamic changes in symptoms and in serum concentrations of inflammatory cytokines (interleukin [IL]-6, IL-8, soluble tumor necrosis factor receptor 1 [sTNF-R1], IL-1 receptor antagonist, and IL-12p40p70) from pretherapy throughout the first 30 days of allo-HSCT in 30 patients with acute myelogenous leukemia or myelodysplastic syndrome. We measured multiple symptoms repeatedly using the M. D. Anderson Symptom Inventory. Mixed-effects modeling was used to analyze longitudinal data. RESULTS: In response to conditioning and stem-cell infusion, serum levels of IL-6 and the severity of multiple symptoms increased rapidly and peaked at nadir. From baseline to nadir (approximately Day 8 post-transplantation), increase in IL-6 was significantly associated with worsening of the most severe symptoms (fatigue, poor appetite, pain, drowsiness, dry mouth, and disturbed sleep; P< .01). During the first 30 days after transplantation, increases in IL-6 (P< .001) and sTNF-R1 (P< .05) significantly predicted the increasing severity of these symptoms. CONCLUSIONS: These results suggest that release of systemic inflammatory cytokines, mainly IL-6, corresponds to an increase in treatment-related multiple-symptom burden during the nadir period of allo-HSCT.",['(c) 2008 American Cancer Society.'],"['Wang, Xin Shelley', 'Shi, Qiuling', 'Williams, Lori A', 'Cleeland, Charles S', 'Mobley, Gary M', 'Reuben, James M', 'Lee, Bang-Ning', 'Giralt, Sergio A']","['Wang XS', 'Shi Q', 'Williams LA', 'Cleeland CS', 'Mobley GM', 'Reuben JM', 'Lee BN', 'Giralt SA']","['Department of Symptom Research, The University of Texas M. D. Anderson Cancer Center, Houston, Texas 77030, USA. xswang@mdanderson.org']",['eng'],"['R01 CA026582/CA/NCI NIH HHS/United States', 'R01 CA026582-25/CA/NCI NIH HHS/United States', 'R21 CA132109/CA/NCI NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,"['0 (Biomarkers)', '0 (Cytokines)', '0 (Interleukin-6)']",IM,"['Biomarkers/blood', 'Cytokines/blood', 'Female', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Interleukin-6/*blood', 'Male', 'Middle Aged', 'Transplantation, Homologous']",PMC2633777,['NIHMS70711'],2008/09/16 09:00,2008/11/19 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2008/11/19 09:00 [medline]', '2008/09/16 09:00 [entrez]']",['10.1002/cncr.23820 [doi]'],ppublish,Cancer. 2008 Oct 15;113(8):2102-9. doi: 10.1002/cncr.23820.,,,,,,,,,,,,,,,,
18791944,NLM,MEDLINE,20081027,20191210,1369-1635 (Electronic) 0953-7104 (Linking),19,5,2008 Aug,Free oscillation rheometry detects changes in clot properties in pregnancy and thrombocytopenia.,373-8,10.1080/09537100802082264 [doi],"Improved methods are needed to identify patients at risk for thrombotic or bleeding events. Free oscillation rheometry (FOR) is a technique that offers information on coagulation, based on contributions of all blood components, by measurement of clotting time and changes in clot elasticity. This is the first study that evaluates FOR parameters in subjects likely to represent hypercoagulability (pregnant women) and hypocoagulability (thrombocytopenic patients). Clotting time and blood clot elasticity were measured by FOR in blood samples obtained from women in different pregnancy trimesters (n = 58), in thrombocytopenic patients before and after a platelet transfusion (n = 20) and in healthy blood donors (n = 60). The clotting time was shorter and the clot elasticity higher in pregnant women compared to the non-pregnant female blood donors. The elasticity was higher in late pregnancy compared to early pregnancy. Compared to the blood donors, the thrombocytopenic patients had lower elasticity, which was increased by a platelet transfusion, but there was no difference in clotting time. The results suggest that FOR can provide new information on the haemostatic status of patients at risk of thrombotic or bleeding events as well as information on the haemostatic effect of a platelet transfusion.",,"['Tynngard, Nahreen', 'Lindahl, Tomas L', 'Ramstrom, Sofia', 'Raf, Tuulia', 'Rugarn, Olof', 'Berlin, Gosta']","['Tynngard N', 'Lindahl TL', 'Ramstrom S', 'Raf T', 'Rugarn O', 'Berlin G']","['Department of Clinical Immunology & Transfusion Medicine, University Hospital, Linkoping, Sweden.']",['eng'],,"['Evaluation Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Platelets,Platelets,9208117,,IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/therapeutic use', 'Blood Coagulation Tests/instrumentation/*methods', 'Blood Viscosity', 'Clot Retraction', 'Combined Modality Therapy', 'Elasticity', 'Female', 'Hematopoietic Stem Cell Transplantation', 'Hemorheology/instrumentation/*methods', 'Humans', 'Leukemia/blood/complications/drug therapy/surgery', 'Lymphoma/blood/complications/drug therapy/surgery', 'Male', 'Middle Aged', 'Platelet Transfusion', 'Pregnancy', 'Pregnancy Complications, Hematologic/*blood/therapy', 'Pregnancy Trimesters/blood', 'Risk', 'Thrombocytopenia/*blood/etiology/therapy', 'Thrombophilia/*blood']",,,2008/09/16 09:00,2008/10/28 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2008/10/28 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['902440756 [pii]', '10.1080/09537100802082264 [doi]']",ppublish,Platelets. 2008 Aug;19(5):373-8. doi: 10.1080/09537100802082264.,,,,,,,,,,,,,,,,
18791938,NLM,MEDLINE,20081027,20151119,1369-1635 (Electronic) 0953-7104 (Linking),19,5,2008 Aug,Change of platelet activation markers using flow cytometry in patients with hematology/oncology disorders after transfusion.,328-34,10.1080/09537100802129867 [doi],"In spite of the frequent need of platelet transfusions, there is limited information on the association of platelet activation markers, in transfused patients with hematology/oncology disorders, with platelet function using flow cytometry. The goal of this study was to evaluate the changes of PAC-1 binding and CD62P expression, with or without agonists in patients after transfusions. Twenty-eight whole blood samples were obtained from 24 patients admitted to the department of Hematology & Oncology and transfused with platelets; these samples were compared to 30 healthy controls. Whole blood samples, either with or without agonists, such as 20 microM adenosine diphosphate (ADP) or 100 microM thrombin receptor activating peptide (TRAP), were stained with the fluorescein conjugated monoclonal antibodies PAC-1 or CD62P. Then, the percent expression for each marker was analysed using flow cytometry. ADP and TRAP induced an increased percentage of CD62P expression and PAC-1 binding after platelet transfusions compared to the samples studied before transfusion, and these findings were lower than those of the healthy controls. However, the expression of platelets without the agonists was not significantly changed, despite the transfusions. Therefore, agonist-induced platelet activation markers, studied by flow cytometry, appear to be more useful for the evaluation of platelet function after transfusions than platelet activation markers without agonists.",,"['Lim, Young Ae', 'Cho, Sung Ran', 'Lee, Wee Gyo', 'Park, Joon Seong', 'Kim, Sin Won']","['Lim YA', 'Cho SR', 'Lee WG', 'Park JS', 'Kim SW']","['Departments of Laboratory Medicine, Ajou University School of Medicine, Suwon, Korea. limyoung@ajou.ac.kr']",['eng'],,"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Platelets,Platelets,9208117,"['0 (Antineoplastic Agents)', '0 (Biomarkers)', '0 (P-Selectin)', '0 (Platelet Glycoprotein GPIIb-IIIa Complex)', '0 (Receptors, Fibrinogen)', '0 (Receptors, Thrombin)', '61D2G4IYVH (Adenosine Diphosphate)']",IM,"['Adenosine Diphosphate/pharmacology', 'Adolescent', 'Adult', 'Aged', 'Anemia, Aplastic/*blood/complications', 'Antineoplastic Agents/adverse effects/therapeutic use', 'Biomarkers', 'Female', 'Flow Cytometry/*methods', 'Humans', 'Leukemia/*blood/complications/drug therapy', 'Male', 'Middle Aged', 'P-Selectin/analysis', '*Platelet Activation/drug effects', 'Platelet Glycoprotein GPIIb-IIIa Complex/analysis', '*Platelet Transfusion', 'Receptors, Fibrinogen/analysis', 'Receptors, Thrombin', 'Thrombocytopenia/*blood/chemically induced/etiology/therapy']",,,2008/09/16 09:00,2008/10/28 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2008/10/28 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['902440797 [pii]', '10.1080/09537100802129867 [doi]']",ppublish,Platelets. 2008 Aug;19(5):328-34. doi: 10.1080/09537100802129867.,,,,,,,,,,,,,,,,
18791906,NLM,MEDLINE,20110518,20131121,1464-5246 (Electronic) 0265-2048 (Linking),26,4,2009 Jun,Exploring dendrimer towards dual drug delivery: pH responsive simultaneous drug-release kinetics.,287-96,10.1080/02652040802312572 [doi],"A major problem associated with conventional leukaemia chemotherapy is the development of resistance that can be surmounted well by combination chemotherapy. The objective of the present investigation is to report a novel technology to load two anti-leukaemic drugs of choice simultaneously inside the PAMAM dendrimer. Under optimized conditions of pH and dialysis time, one molecule of PAMAM dendrimer was found to be capable of entrapping 27.02 +/- 0.51 and 8.00 +/- 0.46 molecules of Methotrexate and all-trans Retinoic acid (ATRA), respectively. The simultaneous in-vitro release profiling of the loaded drugs was studied at pH 4, 7.4 and 10. The release kinetics was found to be governed by degree of dendrimer protonation, with more sustained and controlled behaviour at pH 7.4. Terminal loading of dendrimer with less haemolytic bioactive (ATRA) reduced the haemolytic toxicity of the dendrimer formulation. A cytotoxicity study was performed on HeLa cell lines by MTT assay, wherein after 72 h, the dual-drug loaded dendrimer was found to be more efficient (IC(50) 0.5 microM) as compared to that of the free drug combination (IC(50) 0.75 microM).",,"['Tekade, Rakesh Kumar', 'Dutta, Tathagata', 'Gajbhiye, Virendra', 'Jain, Narendra Kumar']","['Tekade RK', 'Dutta T', 'Gajbhiye V', 'Jain NK']","['Pharmaceutics Research Laboratory, Department of Pharmaceutical Sciences, Dr Hari Singh Gour University, Sagar, India.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,J Microencapsul,Journal of microencapsulation,8500513,"['0 (Antineoplastic Agents)', '0 (Dendrimers)', '0 (Drug Carriers)', '0 (PAMAM Starburst)', '5688UTC01R (Tretinoin)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antineoplastic Agents/*administration & dosage/pharmacology', 'Cell Survival/drug effects', 'Dendrimers/*chemistry', 'Drug Carriers/*chemistry', 'HeLa Cells', 'Humans', 'Hydrogen-Ion Concentration', 'Kinetics', 'Methotrexate/*administration & dosage/pharmacology', 'Tretinoin/*administration & dosage/pharmacology']",,,2008/09/16 09:00,2011/05/19 06:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2011/05/19 06:00 [medline]', '2008/09/16 09:00 [entrez]']","['902427985 [pii]', '10.1080/02652040802312572 [doi]']",ppublish,J Microencapsul. 2009 Jun;26(4):287-96. doi: 10.1080/02652040802312572.,,,,,,,,,,,,,,,,
18791329,NLM,MEDLINE,20081118,20081030,1423-0232 (Electronic) 0030-2414 (Linking),75,3-4,2008,Severe eosinophilia as a manifestation of acute graft-versus-host disease.,134-6,10.1159/000155224 [doi],"Significant peripheral eosinophilia in association with acute graft-versus-host disease (GVHD) is rare. Here we report a case of eosinophilia in a 30-year-old woman with relapsed acute myelogenous leukemia after an allogeneic bone marrow transplant who was treated with donor lymphocyte infusion (DLI). A month after the DLI, she developed a pruritic erythematous rash, hepatic enzyme elevations and eosinophilia that peaked at 23,300 cells/mm(3). A diagnosis of acute GVHD was made and the patient was treated with corticosteroids with a resolution of all of the aforementioned findings. The authors suggest that eosinophilia in a bone marrow transplantation patient should raise suspicion of GVHD.","['Copyright 2008 S. Karger AG, Basel.']","['Paralkar, Vikram R', 'Goradia, Ami', 'Luger, Selina M', 'Loren, Alison W']","['Paralkar VR', 'Goradia A', 'Luger SM', 'Loren AW']","['Department of Internal Medicine, Temple University Hospital, Philadelphia, PA 19140, USA. vikram.paralkar@tuhs.temple.edu']",['eng'],,"['Case Reports', 'Journal Article']",Switzerland,Oncology,Oncology,0135054,['0 (Glucocorticoids)'],IM,"['Adult', 'Bone Marrow Transplantation', 'Eosinophilia/*diagnosis/drug therapy', 'Female', 'Glucocorticoids/therapeutic use', 'Graft vs Host Disease/*diagnosis/drug therapy', 'Graft vs Leukemia Effect', 'Humans', 'Leukemia, Myeloid, Acute/pathology/*therapy', 'Lymphocyte Transfusion', 'Neoplasm Recurrence, Local/diagnosis', 'Salvage Therapy']",,,2008/09/16 09:00,2008/11/19 09:00,['2008/09/16 09:00'],"['2008/03/26 00:00 [received]', '2008/06/02 00:00 [accepted]', '2008/09/16 09:00 [pubmed]', '2008/11/19 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['000155224 [pii]', '10.1159/000155224 [doi]']",ppublish,Oncology. 2008;75(3-4):134-6. doi: 10.1159/000155224. Epub 2008 Sep 15.,20080915,,,,,,,,,,,,,,,
18791165,NLM,MEDLINE,20090112,20211020,1528-0020 (Electronic) 0006-4971 (Linking),112,12,2008 Dec 1,Clinical improvement by farnesyltransferase inhibition in NK large granular lymphocyte leukemia associated with imbalanced NK receptor signaling.,4694-8,10.1182/blood-2008-02-136382 [doi],"Large granular lymphocyte (LGL) leukemia is commonly associated with poor hematopoiesis. The first case of pulmonary artery hypertension (PAH) was observed in a 57-year-old woman with natural killer (NK)-LGL leukemia and transfusion-dependent anemia. Using a genetic approach, we demonstrated that killing of pulmonary endothelial cells by patient NK cells was mediated by dysregulated balance in activating and inhibitory NK-receptor signaling. Elevated pulmonary artery pressure and erythroid differentiation improved after disrupting the NK-receptor signaling pathway with 4 courses of a farnesyltransferase inhibitor, tipifarnib. Coincidental association between PAH and LGL leukemia suggest a causal relationship between the expanded lymphocyte population and these clinical manifestations. This trial is registered at www.ClinicalTrials.gov as NCI 6823.",,"['Epling-Burnette, P K', 'Sokol, Lubomir', 'Chen, Xianhong', 'Bai, Fanqi', 'Zhou, Junmin', 'Blaskovich, Michelle A', 'Zou, JianXiang', 'Painter, Jeffrey S', 'Edwards, Todd D', 'Moscinski, Lynn', 'Yoder, Jeffrey A', 'Djeu, Julie Y', 'Sebti, Said', 'Loughran, Thomas P Jr', 'Wei, Sheng']","['Epling-Burnette PK', 'Sokol L', 'Chen X', 'Bai F', 'Zhou J', 'Blaskovich MA', 'Zou J', 'Painter JS', 'Edwards TD', 'Moscinski L', 'Yoder JA', 'Djeu JY', 'Sebti S', 'Loughran TP Jr', 'Wei S']","['Department of Interdisciplinary Oncology, H Lee Moffitt Cancer Center and Research Institute Immunology Program, James A Haley Veterans Administration Hospital, University of South Florida, Tampa, FL 33612, USA. Pearlie.Burnette@moffitt.org']",['eng'],"['R01 CA098472/CA/NCI NIH HHS/United States', 'U54 RR019397/RR/NCRR NIH HHS/United States', 'U54RR019397-05/RR/NCRR NIH HHS/United States', 'CA11211201/CA/NCI NIH HHS/United States', 'R01 AI056213/AI/NIAID NIH HHS/United States', 'AI056213/AI/NIAID NIH HHS/United States', 'CA94872/CA/NCI NIH HHS/United States']","['Case Reports', 'Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', '0 (Quinolones)', '0 (Receptors, Natural Killer Cell)', 'EC 2.5.1.29 (Farnesyltranstransferase)', 'MAT637500A (tipifarnib)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Cells, Cultured', 'Enzyme Inhibitors/therapeutic use', 'Farnesyltranstransferase/*antagonists & inhibitors', 'Female', 'Humans', 'Hypertension, Pulmonary/drug therapy/etiology', 'K562 Cells', 'Leukemia, Large Granular Lymphocytic/complications/*drug therapy/genetics', 'Middle Aged', 'Quinolones/therapeutic use', 'Receptors, Natural Killer Cell/*genetics', 'Signal Transduction/genetics', 'Treatment Outcome']",PMC2597136,,2008/09/16 09:00,2009/01/13 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2009/01/13 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['S0006-4971(20)51820-X [pii]', '10.1182/blood-2008-02-136382 [doi]']",ppublish,Blood. 2008 Dec 1;112(12):4694-8. doi: 10.1182/blood-2008-02-136382. Epub 2008 Sep 12.,20080912,,,,,,,,,,,,,,,
18791162,NLM,MEDLINE,20090515,20211020,1528-0020 (Electronic) 0006-4971 (Linking),113,16,2009 Apr 16,In vivo genetic mutations define predominant functions of the human T-cell leukemia/lymphoma virus p12I protein.,3726-34,10.1182/blood-2008-04-146928 [doi],"The human T-cell leukemia/lymphoma virus type 1 (HTLV-1) ORF-I encodes a 99-amino acid hydrophobic membrane protein, p12(I), that affects receptors in different cellular compartments. We report here that proteolytic cleavage dictates different cellular localization and functions of p12(I). The removal of a noncanonical endoplasmic reticulum (ER) retention/retrieval signal within the amino terminus of p12(I) is necessary for trafficking to the Golgi apparatus and generation of a completely cleaved 8-kDa protein. The 8-kDa protein in turn traffics to the cell surface, is recruited to the immunologic synapse following T-cell receptor (TCR) ligation, and down-regulates TCR proximal signaling. The uncleaved 12-kDa form of p12(I) resides in the ER and interacts with the beta and gamma(c) chains of the interleukin-2 receptor (IL-2R), the heavy chain of the major histocompatibility complex (MHC) class I, as well as calreticulin and calnexin. Genetic analysis of ORF-I from ex vivo samples of HTLV-1-infected patients reveals predominant amino acid substitutions within ORF-I that affect proteolytic cleavage, suggesting that ER-associated functions of p12(I) may contribute to the survival and proliferation of the infected T cells in the host.",,"['Fukumoto, Risaku', 'Andresen, Vibeke', 'Bialuk, Izabela', 'Cecchinato, Valentina', 'Walser, Jean-Claude', 'Valeri, Valerio W', 'Nauroth, Julie M', 'Gessain, Antoine', 'Nicot, Christophe', 'Franchini, Genoveffa']","['Fukumoto R', 'Andresen V', 'Bialuk I', 'Cecchinato V', 'Walser JC', 'Valeri VW', 'Nauroth JM', 'Gessain A', 'Nicot C', 'Franchini G']","['Animal Models and Retroviral Vaccines Section, National Cancer Institute, Bethesda, MD, USA.']",['eng'],"['R01 CA115398/CA/NCI NIH HHS/United States', 'ImNIH/Intramural NIH HHS/United States']","['Journal Article', 'Research Support, N.I.H., Intramural', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Calreticulin)', '0 (Histocompatibility Antigens Class I)', '0 (IL2RB protein, human)', '0 (IL2RG protein, human)', '0 (Interleukin Receptor Common gamma Subunit)', '0 (Interleukin-2 Receptor beta Subunit)', '0 (Membrane Proteins)', '0 (Protein Sorting Signals)', '0 (Receptors, Antigen, T-Cell)', '0 (Viral Regulatory and Accessory Proteins)', '0 (p12I protein, Human T-lymphotropic virus 1)', '139873-08-8 (Calnexin)']",IM,"['Animals', 'COS Cells', 'Calnexin/genetics/metabolism', 'Calreticulin/genetics/metabolism', 'Cell Proliferation', 'Cell Survival/genetics', 'Chlorocebus aethiops', 'Golgi Apparatus/genetics/metabolism', 'HTLV-I Infections/genetics/*metabolism', 'HeLa Cells', 'Histocompatibility Antigens Class I/genetics/metabolism', 'Human T-lymphotropic virus 1/genetics/*metabolism', 'Humans', 'Hydrophobic and Hydrophilic Interactions', 'Immunologic Capping/genetics', 'Immunological Synapses/genetics/metabolism', 'Interleukin Receptor Common gamma Subunit/genetics/metabolism', 'Interleukin-2 Receptor beta Subunit/genetics/metabolism', 'Jurkat Cells', 'Membrane Proteins/genetics/*metabolism', '*Mutation', 'Protein Binding/genetics', 'Protein Sorting Signals/genetics', 'Protein Transport/genetics', 'Receptors, Antigen, T-Cell', 'Viral Regulatory and Accessory Proteins/genetics/*metabolism']",PMC2670790,,2008/09/16 09:00,2009/05/16 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2009/05/16 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['S0006-4971(20)39312-5 [pii]', '10.1182/blood-2008-04-146928 [doi]']",ppublish,Blood. 2009 Apr 16;113(16):3726-34. doi: 10.1182/blood-2008-04-146928. Epub 2008 Sep 12.,20080912,,,,,,,,,,,,,,,
18790975,NLM,MEDLINE,20081009,20200203,1569-8041 (Electronic) 0923-7534 (Linking),19 Suppl 7,,2008 Sep,Chronic lymphocytic leukaemia: a short overview.,vii320-5,10.1093/annonc/mdn460 [doi],,,"['Montserrat, E', 'Moreno, C']","['Montserrat E', 'Moreno C']","['Institute of Hematology and Oncology, Department of Hematology, Hospital Clinic, IDIBAPS, University of Barcelona, Barcelona, Spain.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Ann Oncol,Annals of oncology : official journal of the European Society for Medical Oncology,9007735,,IM,"['Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*diagnosis/genetics/pathology/*therapy']",,,2008/09/20 09:00,2008/10/10 09:00,['2008/09/20 09:00'],"['2008/09/20 09:00 [pubmed]', '2008/10/10 09:00 [medline]', '2008/09/20 09:00 [entrez]']","['S0923-7534(19)40763-1 [pii]', '10.1093/annonc/mdn460 [doi]']",ppublish,Ann Oncol. 2008 Sep;19 Suppl 7:vii320-5. doi: 10.1093/annonc/mdn460.,,89,,,,,,,,,,,,,,
18790800,NLM,MEDLINE,20081118,20171116,1592-8721 (Electronic) 0390-6078 (Linking),93,11,2008 Nov,Monitoring for cytomegalovirus and Epstein-Barr virus infection in chronic lymphocytic leukemia patients receiving i.v. fludarabine-cyclophosphamide combination and alemtuzumab as consolidation therapy.,1758-60,10.3324/haematol.13265 [doi],,,"['Orlandi, Ester M', 'Baldanti, Fausto', 'Citro, Annalisa', 'Pochintesta, Lara', 'Gatti, Marta', 'Lazzarino, Mario']","['Orlandi EM', 'Baldanti F', 'Citro A', 'Pochintesta L', 'Gatti M', 'Lazzarino M']",,['eng'],,['Letter'],Italy,Haematologica,Haematologica,0417435,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antibodies, Neoplasm)', '3A189DH42V (Alemtuzumab)', '8N3DW7272P (Cyclophosphamide)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Alemtuzumab', 'Antibodies, Monoclonal/*administration & dosage', 'Antibodies, Monoclonal, Humanized', 'Antibodies, Neoplasm/*administration & dosage', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Cyclophosphamide/administration & dosage', 'Cytomegalovirus Infections/complications/*diagnosis', 'Diagnosis, Differential', 'Disease Progression', 'Epstein-Barr Virus Infections/complications/*diagnosis', 'Female', 'Genome, Viral', 'Herpesvirus 4, Human/genetics', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/complications/*drug therapy', 'Male', 'Middle Aged', 'Monitoring, Physiologic/methods', 'Vidarabine/administration & dosage/analogs & derivatives']",,,2008/09/16 09:00,2008/11/19 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2008/11/19 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['haematol.13265 [pii]', '10.3324/haematol.13265 [doi]']",ppublish,Haematologica. 2008 Nov;93(11):1758-60. doi: 10.3324/haematol.13265. Epub 2008 Sep 11.,20080911,,,,,,,,,,,,,,,
18790799,NLM,MEDLINE,20081118,20121115,1592-8721 (Electronic) 0390-6078 (Linking),93,11,2008 Nov,"Prognostic factors for thrombosis, myelofibrosis, and leukemia in essential thrombocythemia: a study of 605 patients.",1645-51,10.3324/haematol.13346 [doi],"BACKGROUND: Essential thrombocythemia is a chronic myeloproliferative disorder; patients with this disorder have a propensity to develop thrombosis, myelofibrosis, and leukemia. DESIGN AND METHODS: We studied 605 patients with essential thrombocythemia (follow-up 4596 person-years) with the aim of defining prognostic factors for thrombosis, myelofibrosis, and leukemia during follow-up. RESULTS: Sixty-six patients (11%) developed thrombosis with a 10-year risk of 14%. Age >60 years (p<0.001) and a history of thrombosis (p=0.03) were independent risk factors for thrombosis. Progression to myelofibrosis occurred in 17 patients (2.8%) with a 10-year risk of 3.9%. Anemia at diagnosis of essential thrombocythemia was significantly correlated (p<0.001) with progression to myelofibrosis. Leukemia occurred in 14 patients (2.3%) at a median time of 11 years after the diagnosis of essential thrombocythemia; the risk was 2.6% at 10 years. Age >60 years (p=0.02) was significantly correlated with the development of leukemia. Cytotoxic treatment did not imply a higher risk of leukemia. At the time of the analysis, 64 of the 605 patients (10.6%) had died. The 10-year probability of survival was 88%, with a median survival of 22.3 years. Age >60 years (p<0.001) and history of thrombosis (p=0.001) were independent risk factors for survival. CONCLUSIONS: The findings from this study on a large series of patients treated according to current clinical practice provide reassurance that essential thrombocythemia is an indolent disorder and affected patients have a long survival. The main risk is thrombosis, while myelofibrosis and leukemia are rare and late complications.",,"['Passamonti, Francesco', 'Rumi, Elisa', 'Arcaini, Luca', 'Boveri, Emanuela', 'Elena, Chiara', 'Pietra, Daniela', 'Boggi, Sabrina', 'Astori, Cesare', 'Bernasconi, Paolo', 'Varettoni, Marzia', 'Brusamolino, Ercole', 'Pascutto, Cristiana', 'Lazzarino, Mario']","['Passamonti F', 'Rumi E', 'Arcaini L', 'Boveri E', 'Elena C', 'Pietra D', 'Boggi S', 'Astori C', 'Bernasconi P', 'Varettoni M', 'Brusamolino E', 'Pascutto C', 'Lazzarino M']","['M.D., Division of Hematology, University of Pavia, Fondazione IRCCS Policlinico San Matteo, viale Golgi 19, 27100 Pavia, Italy. f.passamonti@smatteo.pv.it']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Italy,Haematologica,Haematologica,0417435,"['EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Aged', 'Disease Progression', 'Follow-Up Studies', 'Humans', 'Janus Kinase 2/genetics', 'Leukemia/epidemiology/etiology/*physiopathology', 'Middle Aged', 'Mutation', 'Myeloproliferative Disorders/*genetics', 'Primary Myelofibrosis/epidemiology/etiology/*physiopathology', 'Prognosis', 'Risk Factors', 'Thrombocythemia, Essential/*complications', 'Thrombosis/epidemiology/etiology/*physiopathology', 'Time Factors']",,,2008/09/16 09:00,2008/11/19 09:00,['2008/09/16 09:00'],"['2008/09/16 09:00 [pubmed]', '2008/11/19 09:00 [medline]', '2008/09/16 09:00 [entrez]']","['haematol.13346 [pii]', '10.3324/haematol.13346 [doi]']",ppublish,Haematologica. 2008 Nov;93(11):1645-51. doi: 10.3324/haematol.13346. Epub 2008 Sep 11.,20080911,,['Haematologica. 2009 Mar;94(3):431-3; author reply 433. PMID: 19181785'],,,,,,,,,,,,,
