PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RF,TT,LID,PMC,CN,IR,FIR,CI,GR,MID,CIN,EIN,CON,RIN,SI,OTO,OT,OID
18432182,NLM,MEDLINE,20080919,20121115,1824-4785 (Print) 1824-4785 (Linking),52,3,2008 Sep,"Biodistribution, cellular uptake and DNA-incorporation of the 2'-fluoro stabilized 5-iodo-2'-deoxyuridine analog 5-iodo-(2-deoxy-2-fluoro-beta-D-arabinofuranosyl)uracil (FIAU).",305-16,"AIM: 5-Iodo-(2-deoxy-2-fluoro-beta-D-arabinofuranosyl) uracil (FIAU) has been used for non-invasive monitoring of gene therapy and as an antiviral agent experimentally and in patients. However, FIAU metabolism in tumor cells is largely unknown. Here, the biological characteristics of FIAU in human leukemia and lymphoma cells in vitro and in a xenotransplant severe combined immunodeficient (SCID)-mouse model were investigated. METHODS: The susceptibility of FIAU to glycosidic bond cleavage by thymidine phosphorylase (TP) and its phosphorylation by human thymidine kinase 1 (hTK1) were examined. Cellular uptake and DNA-incorporation were determined in the leukemia cell line HL60 and the lymphoma cell line DoHH2. Biodistribution, in vivo stability of FIAU and expression of proliferation marker(67)Ki and thymidylate synthase were assessed in SCID-mice bearing HL60 xenotransplants. Cellular distribution of FIAU was imaged by microautoradiography. RESULTS: FIAU proved to be stable against degradation by TP and was phosphorylated by hTK1. Significant cellular uptake in DoHH2 and in HL60 cells was observed. The majority of intracellular [(131)I]FIAU was DNA incorporated. In vivo, moderate dehalogenation of [(131)I]FIAU was observed. Biodistribution studies showed a tumor uptake of 1.8+/-0.4% ID/g after 30 min. The half-life of [(131)I]FIAU in blood was 43+/-2 min. Microautoradiography showed a modest accumulation of [(125)I]FIAU in proliferating cells of small intestine, spleen and tumor. CONCLUSION: Despite phosphorylation by the hTK, efficient incorporation into the DNA and high in vivo stability, FIAU accumulates only moderately and transiently in proliferating cells, suggesting that FIAU is probably not appropriate for imaging of proliferation.","['Morgenroth, A', 'Deisenhofer, S', 'Neininger, M', 'Vogg, A T J', 'Glatting, G', 'Kull, T', 'Reske, S N']","['Morgenroth A', 'Deisenhofer S', 'Neininger M', 'Vogg AT', 'Glatting G', 'Kull T', 'Reske SN']","['Unit of Nuclear Medicine, University of Ulm, Ulm, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20080425,Italy,Q J Nucl Med Mol Imaging,"The quarterly journal of nuclear medicine and molecular imaging : official publication of the Italian Association of Nuclear Medicine (AIMN) [and] the International Association of Radiopharmacology (IAR), [and] Section of the Society of...",101213861,"['0 (Antiviral Agents)', '3083-77-0 (Arabinofuranosyluracil)', '53T7IN77LC (fialuridine)', '9007-49-2 (DNA)', 'EC 2.4.2.4 (Thymidine Phosphorylase)', 'EC 2.7.1.21 (Thymidine Kinase)']",IM,"['Animals', 'Antiviral Agents/*chemistry/pharmacokinetics', 'Arabinofuranosyluracil/*analogs & derivatives/chemistry/pharmacokinetics', 'Cell Line, Tumor', 'Chemistry, Pharmaceutical/methods', 'DNA/*chemistry', 'HL-60 Cells', 'Humans', 'Mice', 'Mice, SCID', 'Neoplasm Transplantation', 'Phosphorylation', 'Thymidine Kinase/metabolism', 'Thymidine Phosphorylase/metabolism', 'Tissue Distribution']",2008/04/25 09:00,2008/09/20 09:00,['2008/04/25 09:00'],"['2008/04/25 09:00 [pubmed]', '2008/09/20 09:00 [medline]', '2008/04/25 09:00 [entrez]']",['R39082074 [pii]'],ppublish,Q J Nucl Med Mol Imaging. 2008 Sep;52(3):305-16. Epub 2008 Apr 25.,,,,,,,,,,,,,,,,,,
18432087,NLM,MEDLINE,20080603,20080424,1935-1623 (Print) 1935-1623 (Linking),23,3,2008 Mar,Recognize hepatic sinusoidal obstruction syndrome in patients with cancer.,22-3,,"['Oestreicher, Pamela']",['Oestreicher P'],,['eng'],"['Journal Article', 'Review']",,United States,ONS Connect,ONS connect,101300056,,,"['Adult', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Hepatic Veno-Occlusive Disease/*diagnosis/etiology/nursing', 'Humans', 'Leukemia, Myeloid, Acute/complications/therapy', 'Male', 'Neoplasms/*complications/surgery', 'Risk Factors']",2008/04/25 09:00,2008/06/05 09:00,['2008/04/25 09:00'],"['2008/04/25 09:00 [pubmed]', '2008/06/05 09:00 [medline]', '2008/04/25 09:00 [entrez]']",,ppublish,ONS Connect. 2008 Mar;23(3):22-3.,1,,,,,,,,,,,,,,,,,
18432012,NLM,MEDLINE,20080626,20080424,0037-9085 (Print) 0037-9085 (Linking),101,1,2008 Feb,[Three new cases of visceral leishmaniasis in Cote d'Ivoire].,60-1,"The objective of this work is to report three cases of visceral leishmaniasis in non-HIV infected native patients in Cote d'Ivoire. The three observations concerned adults aged of 31 and 65 and a five years old child without particular medical or surgery histories. Factors associated with visceral leishmaniasis regarding the younger and the older adults were respectively young age, chronic lymphoid leukaemia and Burkitt lymphoma. Clinical features in the three cases were chronic fever a myeloproliferative syndrome with wasting syndrome and pancytopenia. The diagnosis was confirmed by the existence of Leishmania in bone marrow, ganglionic juice and splenic samples. The species of Leishmania was not identified. Specific treatment was based on intravenous amphotericin B (Fungizone) relayed by Glucantim in one case because of side effects; however the treatment has been unsuccessful. These three new cases show that visceral leishmaniasis is a reality in Cote d'Ivoire therefore an epidemiological survey is requested in order to identify Leishmania species, reservoirs and vectors.","['Eholie, S P', 'Tanon, A K', 'Folquet-Amorissani, M', 'Doukoure, B', 'Adoubryn, K D', 'Yattara, A', 'Bissagnene, E']","['Eholie SP', 'Tanon AK', 'Folquet-Amorissani M', 'Doukoure B', 'Adoubryn KD', 'Yattara A', 'Bissagnene E']","[""Service des maladies infectieuses et tropicales, BP V 3, CHU Treichville, Abidjan, Cote d'Ivoire.""]",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",,France,Bull Soc Pathol Exot,Bulletin de la Societe de pathologie exotique (1990),9212564,,IM,"['Adult', 'Aged', 'Burkitt Lymphoma/complications', 'Child, Preschool', ""Cote d'Ivoire"", 'Fatal Outcome', 'Female', 'Fever/parasitology', 'Humans', 'Immunocompromised Host', 'Leishmaniasis, Visceral/*diagnosis', 'Leukemia, Lymphoid/complications', 'Male', 'Malnutrition/complications', 'Myeloproliferative Disorders/parasitology', 'Pancytopenia/parasitology', 'Wasting Syndrome/parasitology']",2008/04/25 09:00,2008/06/27 09:00,['2008/04/25 09:00'],"['2008/04/25 09:00 [pubmed]', '2008/06/27 09:00 [medline]', '2008/04/25 09:00 [entrez]']",,ppublish,Bull Soc Pathol Exot. 2008 Feb;101(1):60-1.,,Trois nouveaux cas de leishmaniose viscerale autochtone en Cote d'Ivoire.,,,,,,,,,,,,,,,,
18431797,NLM,MEDLINE,20080910,20171116,1552-4957 (Electronic) 1552-4949 (Linking),74,4,2008 Jul,Immunophenotypic features distinguishing familial chronic lymphocytic leukemia from sporadic chronic lymphocytic leukemia.,221-6,"BACKGROUND: Familial chronic lymphocytic leukemia (CLL) has the most frequent familial aggregation among hematological malignancies. Familial CLL families have been studied to identify susceptibility genes and other factors that contribute in the etiology of CLL. To date no study has been conducted to evaluate and compare patterns of cell surface antigen expression in familial CLL and sporadic CLL. METHODS: The pattern of cell surface antigen expression was studied in familial and sporadic CLL to determine if unique identifiers of familial CLL could be detected. Survival in familial CLL verses sporadic CLL was compared and the association between prognosis and CD38 expression studied. RESULTS: Familial and sporadic CLL demonstrated the same characteristic immunophenotype (positive for surface immunoglobulin, CD5, CD19, and CD23 with dim CD20, and CD22). CD2 and CD13 expression, however, were more frequent (30% of cases) in familial CLL (P = 0.0003 for CD2, P = 0.006 for CD13) than in sporadic CLL (2-6%). There was no significant difference in survival in the two groups studied. Although the incidence of CD38 expression was similar in familial and sporadic CLL (47% and 44% respectively) the association with prognosis differed. There was a trend to decreased survival in CD38 positive sporadic (P = 0.06) but not familial CLL patients. CONCLUSIONS: We conclude that detection of CD2 or CD13 expression in CLL suggests familial CLL and examination of family history for additional affected members is warranted. Furthermore, CD38 expression does not carry the negative prognosis observed in sporadic CLL.","['Ahmad, Ejaz', 'Steinberg, Seth M', 'Goldin, Lynn', 'Hess, Christopher J', 'Caporaso, Neil', 'Kreitman, Robert J', 'Wiestner, Adrian', 'Wilson, Wyndham', 'White, Therese', 'Marti, Gerald', 'Stetler-Stevenson, Maryalice']","['Ahmad E', 'Steinberg SM', 'Goldin L', 'Hess CJ', 'Caporaso N', 'Kreitman RJ', 'Wiestner A', 'Wilson W', 'White T', 'Marti G', 'Stetler-Stevenson M']","['Good Samaritan Hospital, Dayton, Ohio, USA.']",['eng'],['Journal Article'],,United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,"['0 (CD2 Antigens)', '0 (Membrane Glycoproteins)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)', 'EC 3.4.11.2 (CD13 Antigens)']",IM,"['ADP-ribosyl Cyclase 1/*immunology', 'Aged', 'CD13 Antigens/*immunology', 'CD2 Antigens/*immunology', 'Female', 'Humans', '*Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*genetics/*immunology', 'Male', 'Membrane Glycoproteins/*immunology', 'Middle Aged', 'Prognosis', 'Survival Rate']",2008/04/24 09:00,2008/09/11 09:00,['2008/04/24 09:00'],"['2008/04/24 09:00 [pubmed]', '2008/09/11 09:00 [medline]', '2008/04/24 09:00 [entrez]']",['10.1002/cyto.b.20423 [doi]'],ppublish,Cytometry B Clin Cytom. 2008 Jul;74(4):221-6. doi: 10.1002/cyto.b.20423.,,,10.1002/cyto.b.20423 [doi],,,,,,,,,,,,,,,
18431695,NLM,MEDLINE,20090325,20211020,1219-4956 (Print) 1219-4956 (Linking),14,2,2008 Jun,Orbital tumour as initial manifestation of acute myeloid leukemia: granulocytic sarcoma: case report.,209-11,"We report orbital involvement as an initial manifestation of acute myeloid leukemia in a 57-year-old woman. The patient presented with painful proptosis and limited ocular motility. Orbital computed tomography revealed bilateral homogeneous masses. Orbital biopsy was performed on the right side; and histopathology disclosed a myelocytic tumour. Despite treatment using irradiation and chemotherapy, the patient died eleven months after presentation. There appear to be only a few previous reports of acute myeloid leukemia cases presenting with orbital involvement, and most cases occurred in children. This very rare condition has a poor survival prognosis, even with radiation treatment and chemotherapy.","['Maka, Erika', 'Lukats, Olga', 'Toth, Jeannette', 'Fekete, Sandor']","['Maka E', 'Lukats O', 'Toth J', 'Fekete S']","['Department of Ophthalmology, Faculty of Medicine, Semmelweis University, Tomo utca 25-29, 1083, Budapest, Hungary. maker@szem1.sote.hu']",['eng'],"['Case Reports', 'Journal Article']",20080423,Switzerland,Pathol Oncol Res,Pathology oncology research : POR,9706087,,IM,"['Acute Disease', 'Diagnosis, Differential', 'Exophthalmos/etiology', 'Fatal Outcome', 'Female', 'Humans', 'Immunohistochemistry', 'Leukemia, Myeloid, Acute/complications/*diagnosis/therapy', 'Middle Aged', 'Orbital Neoplasms/*diagnosis/therapy', 'Prognosis', 'Sarcoma, Myeloid/*diagnosis/therapy', 'Tomography, X-Ray Computed']",2008/04/24 09:00,2009/03/26 09:00,['2008/04/24 09:00'],"['2008/02/24 00:00 [received]', '2008/03/05 00:00 [accepted]', '2008/04/24 09:00 [pubmed]', '2009/03/26 09:00 [medline]', '2008/04/24 09:00 [entrez]']",['10.1007/s12253-008-9028-x [doi]'],ppublish,Pathol Oncol Res. 2008 Jun;14(2):209-11. doi: 10.1007/s12253-008-9028-x. Epub 2008 Apr 23.,,,10.1007/s12253-008-9028-x [doi],,,,,,,,,,,,,,,
18431559,NLM,MEDLINE,20080923,20211020,0020-9554 (Print) 0020-9554 (Linking),49,7,2008 Jul,"[A 68-year-old patient with atrial flutter/fibrillation, inadequate anticoagulation, subacute amaurosis, normal ESR, and lymphadenopathy].",873-6,"We present a rare manifestation of chronic lymphatic leukemia with progressive bilateral visual loss and the typical fundoscopic picture of anterior ischemic optic nerve neuropathy (AION). Clinical symptoms were due to meningeal metastases and tumor cell infiltration of the optic nerve. The diagnostic clue was provided by lumbar puncture with pressure measurement, which made it possible to differentiate AION from papillitis and papilledema. In this case the patient was able to regain his initial visual activity after intrathecal and systemic polychemotherapy.","['Abahji, T N', 'Kastenbauer, S', 'Scherwat, J', 'Schmieder, S', 'Anders, H J']","['Abahji TN', 'Kastenbauer S', 'Scherwat J', 'Schmieder S', 'Anders HJ']","['Medizinische Poliklinik, Ludwig-Maximilians-Universitat Munchen, Pettenkoferstrasse 8a, 80336 Munchen, Deutschland. tabahji@med.uni-muenchen.de']",['ger'],"['Case Reports', 'English Abstract', 'Journal Article']",,Germany,Internist (Berl),Der Internist,0264620,['0 (Anticoagulants)'],IM,"['Anticoagulants/*administration & dosage', 'Atrial Fibrillation/*drug therapy/*etiology', 'Atrial Flutter/*drug therapy/*etiology', 'Blindness/*etiology', 'Humans', 'Lymphatic Diseases/*complications', 'Male', 'Rare Diseases']",2008/04/24 09:00,2008/09/24 09:00,['2008/04/24 09:00'],"['2008/04/24 09:00 [pubmed]', '2008/09/24 09:00 [medline]', '2008/04/24 09:00 [entrez]']",['10.1007/s00108-008-2121-0 [doi]'],ppublish,Internist (Berl). 2008 Jul;49(7):873-6. doi: 10.1007/s00108-008-2121-0.,,"68-jahriger Patient mit Vorhofflattern/Vorhofflimmern, inadaquater Antikoagulation, subakuter Amaurosis, normaler BSG und Lymphadenopathie.",10.1007/s00108-008-2121-0 [doi],,,,,,,,,,,,,,,
18431449,NLM,PubMed-not-MEDLINE,20110714,20211020,0793-0291 (Print) 0793-0291 (Linking),2008,,2008,Arsenic-based antineoplastic drugs and their mechanisms of action.,260146,Arsenic-based compounds have become accepted agents for cancer therapy providing high rates of remission of some cancers such as acute promyelocytic leukemia (APL). The mechanisms by which arsenic-containing compounds kill cells and reasons for selective killing of only certain types of cancer cells such as APLs have recently been delineated. This knowledge was gained in parallel with increasing understanding and awareness of the importance of intracellular redox systems and regulation of the production of reactive oxygen species (ROS) by controlling mitochondrial function. Many of the targets for the arsenic-containing compounds are mitochondrial proteins involved in regulating the production of ROS. Inhibition of these proteins by disulfide linkage of vicinal thiol groups often leads to increased production of ROS and induction of apoptotic signalling pathways. Sensitivity or resistance to the actions of arsenic-containing compounds on cancer cells and normal cells depends on the levels of transport systems for their uptake or efflux from the cells as well as their redox defence mechanisms. The exact mechanisms of arsenic toxicity as well as its anticancer properties are likely to be related and these aspects of arsenic metabolism are covered in this review. Greater understanding of the mechanisms of action of arsenic will help determine the risks of human exposure to this chemical. Novel organic arsenic-containing compounds and the lessons learned from studying their selective sensitivity in targeting dividing endothelial cells to inhibit angiogenesis raise the future possibility for designing better targeted antineoplastic arsenic-containing compounds with less toxicity to normal cells.,"['Ralph, Stephen John']",['Ralph SJ'],"['School of Medical Sciences, Griffith University, Parklands Drive, Southport, Queensland 4215, Australia.']",['eng'],['Journal Article'],,United States,Met Based Drugs,Metal-based drugs,9505939,,,,2008/04/24 09:00,2008/04/24 09:01,['2008/04/24 09:00'],"['2007/04/01 00:00 [received]', '2007/07/03 00:00 [revised]', '2007/08/17 00:00 [accepted]', '2008/04/24 09:00 [pubmed]', '2008/04/24 09:01 [medline]', '2008/04/24 09:00 [entrez]']",['10.1155/2008/260146 [doi]'],ppublish,Met Based Drugs. 2008;2008:260146. doi: 10.1155/2008/260146.,,,10.1155/2008/260146 [doi],PMC2292810,,,,,,,,,,,,,,
18431100,NLM,MEDLINE,20080603,20091119,1536-7355 (Electronic) 1076-1608 (Linking),14,1,2008 Feb,Basic science for the clinician 48: tyrosine kinases in disease: the potential for inhibitors in the treatment of immunologic diseases.,45-8,"The magic bullet--a compound that will stop a disease dead in its tracks by specifically targeting the underlying pathogenic principle of that disease--is what every designer/developer of drugs wants. As cellular and molecular biology research delves deeper into how cells are activated by their ligands, the intracellular pathways of activation of individual cellular processes become better known and more attractive therapeutic targets. The receptors for transforming growth factor beta (TGFbeta) and platelet-derived growth factor (PDGF) activate a variety of cells via a series of tyrosine kinases; inhibition of specific tyrosine kinases has until recently been within the domain of oncologists, treating leukemia, and certain gastrointestinal tumors, but now there is mounting evidence that these agents might be of value in rheumatologic and autoimmune diseases. This is another example of ""Better living (and curing!) through chemistry"" that we as clinicians need to master to render optimal care.","['Sigal, Leonard H']",['Sigal LH'],"['Research and Development/Bristol-Myers Squibb, J.3100, PO Box 4000, Princeton, NJ 08543-4000, USA. leonard.sigal@bms.com']",['eng'],"['Journal Article', 'Review']",,United States,J Clin Rheumatol,Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases,9518034,"['0 (Antibodies, Monoclonal)', '0 (Antirheumatic Agents)', '0 (Enzyme Inhibitors)', '0 (Immunologic Factors)', '0 (Proteome)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Antibodies, Monoclonal/pharmacology', 'Antirheumatic Agents/pharmacology', 'Enzyme Inhibitors/*pharmacology', 'Humans', 'Immunologic Factors/*pharmacology', 'MAP Kinase Signaling System/drug effects', 'Philadelphia Chromosome', 'Protein-Tyrosine Kinases/*antagonists & inhibitors/drug effects', 'Proteome', 'Rheumatic Diseases/*drug therapy/enzymology']",2008/04/24 09:00,2008/06/05 09:00,['2008/04/24 09:00'],"['2008/04/24 09:00 [pubmed]', '2008/06/05 09:00 [medline]', '2008/04/24 09:00 [entrez]']","['10.1097/RHU.0b013e3181637404 [doi]', '00124743-200802000-00012 [pii]']",ppublish,J Clin Rheumatol. 2008 Feb;14(1):45-8. doi: 10.1097/RHU.0b013e3181637404.,17,,10.1097/RHU.0b013e3181637404 [doi],,,,,,,,,,,,,,,
18430789,NLM,MEDLINE,20080725,20181201,1521-0111 (Electronic) 0026-895X (Linking),74,1,2008 Jul,Carmustine-resistant cancer cells are sensitized to temozolomide as a result of enhanced mismatch repair during the development of carmustine resistance.,82-91,"The cytotoxicity of the monofunctional alkylator temozolomide (TMZ) is mediated by mismatch repair (MMR) triggered by O(6)-alkylguanine, whereas MMR protects cells against bifunctional alkylators, including carmustine (BCNU). Therefore, TMZ may be cytotoxic to BCNU-resistant cancer cells because MMR affects sensitivity to TMZ and BCNU in a converse way. We evaluated TMZ cytotoxicity on BCNU-resistant variant (CEM-R) compared with the parental CCRF-CEM cell line (CEM-S). The mechanisms of its BCNU-resistance involved DNA repairs including nucleotide excision repair, base excision repair, alkylguanine alkyltransferase, MMR, and apoptotic and survival pathways. In particular, transcript levels of MMR-related hMLH1 and hMSH2 were enhanced in CEM-R cells. CEM-R cells were 8-fold more BCNU-resistant but surprisingly 9-fold more TMZ-sensitive than were CEM-S cells. Although TMZ-induced adducts include N-alkylated purines and O(6)-alkylguaine, DNA excision repair was enhanced in CEM-R cells, suggesting the efficient repair of N-alkylation adducts. Cotreatment with methoxyamine, a base excision repair inhibitor, did not sensitize CEM-R cells to TMZ, suggesting little or no contribution of N-alkylation to TMZ-induced cytotoxicity. Cotreatment with O(6)-benzylguanine, an alkylguanine alkyltransferase inhibitor, further sensitized CEM-R cells to TMZ, confirming the cytotoxic impact of O(6)-alkylguanine. Cotreatment with cadmium chloride, an MMR inhibitor, disrupted the sensitivity of CEM-R cells to TMZ. The sensitivity to TMZ was reversed in the CEM-R variant clone that had been established by transfecting CEM-R cells with short hairpin hRNA against hMLH1, suggesting the critical role of MMR on sensitization to TMZ. In conclusion, BCNU-resistant CEM-R cells were sensitized to TMZ as a result of enhanced MMR during the development of BCNU resistance.","['Yamauchi, Takahiro', 'Ogawa, Masami', 'Ueda, Takanori']","['Yamauchi T', 'Ogawa M', 'Ueda T']","['Department of Hematology and Oncology, University of Fukui, 23 Shimoaizuki, Matsuoka, Eiheiji, Fukui 910-1193, Japan. tyamauch@u-fukui.ac.jp']",['eng'],['Journal Article'],20080422,United States,Mol Pharmacol,Molecular pharmacology,0035623,"['0 (Antineoplastic Agents, Alkylating)', '0 (Hydroxylamines)', '01KC87F8FE (O(6)-benzylguanine)', '0S726V972K (Nimustine)', '5Z93L87A1R (Guanine)', '7GR28W0FJI (Dacarbazine)', '9TZH4WY30J (methoxyamine)', 'J6K4F9V3BA (Cadmium Chloride)', 'U68WG3173Y (Carmustine)', 'YF1K15M17Y (Temozolomide)']",IM,"['Antineoplastic Agents, Alkylating/administration & dosage/*pharmacology', 'Antineoplastic Combined Chemotherapy Protocols/*pharmacology', 'Apoptosis/drug effects', 'Cadmium Chloride/administration & dosage', 'Carmustine/pharmacology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Comet Assay', 'DNA Mismatch Repair/*drug effects', 'Dacarbazine/*analogs & derivatives/pharmacology', 'Dose-Response Relationship, Drug', 'Drug Resistance, Neoplasm/physiology', 'Guanine/administration & dosage/analogs & derivatives', 'Humans', 'Hydroxylamines/administration & dosage', 'Nimustine/administration & dosage', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/genetics/metabolism/pathology', 'Temozolomide']",2008/04/24 09:00,2008/07/26 09:00,['2008/04/24 09:00'],"['2008/04/24 09:00 [pubmed]', '2008/07/26 09:00 [medline]', '2008/04/24 09:00 [entrez]']","['mol.107.041988 [pii]', '10.1124/mol.107.041988 [doi]']",ppublish,Mol Pharmacol. 2008 Jul;74(1):82-91. doi: 10.1124/mol.107.041988. Epub 2008 Apr 22.,,,10.1124/mol.107.041988 [doi],,,,,,,,,,,,,,,
18430575,NLM,MEDLINE,20080818,20131121,1464-3391 (Electronic) 0968-0896 (Linking),16,10,2008 May 15,"Petiolins A-C, phloroglucinol derivatives from Hypericum pseudopetiolatum var. kiusianum.",5619-23,"Two new phloroglucinol derivatives possessing chromane skeleton, petiolins A (1) and B (2), and a new phloroglucinol derivative containing a dihydrofuran ring, petiolin C (3), were isolated from aerial parts of Hypericum pseudopetiolatum var. kiusianum. The gross structures of 1-3 were elucidated by spectroscopic data, and the relative stereochemistry of 3 was elucidated by NOESY data. Petiolins A-C (1-3) showed modest cytotoxicity, while petiolin C (3) exhibited antifungal activity.","['Tanaka, Naonobu', 'Kubota, Takaaki', 'Ishiyama, Haruaki', 'Araki, Atsushi', 'Kashiwada, Yoshiki', 'Takaishi, Yoshihisa', 'Mikami, Yuzuru', ""Kobayashi, Jun'ichi""]","['Tanaka N', 'Kubota T', 'Ishiyama H', 'Araki A', 'Kashiwada Y', 'Takaishi Y', 'Mikami Y', 'Kobayashi J']","['Graduate School of Pharmaceutical Sciences, Hokkaido University, Kita-12, Nishi-6, Kita-ku, Sapporo 060-0812, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20080406,England,Bioorg Med Chem,Bioorganic & medicinal chemistry,9413298,"['0 (Antifungal Agents)', '0 (petiolin A)', '0 (petiolin B)', '0 (petiolin C)', 'DHD7FFG6YS (Phloroglucinol)']",IM,"['Animals', 'Antifungal Agents/*chemistry/isolation & purification/*pharmacology', 'Cell Line, Tumor', 'Cell Proliferation/drug effects', 'Drug Screening Assays, Antitumor', 'Humans', 'Hypericum/*chemistry', 'Leukemia L1210/*drug therapy/pathology', 'Magnetic Resonance Spectroscopy/methods', 'Mice', 'Microbial Sensitivity Tests', 'Models, Molecular', 'Molecular Structure', 'Phloroglucinol/*analogs & derivatives/*chemistry/isolation & purification/*pharmacology', 'Stereoisomerism', 'Trichophyton/*drug effects']",2008/04/24 09:00,2008/08/19 09:00,['2008/04/24 09:00'],"['2008/02/16 00:00 [received]', '2008/03/27 00:00 [revised]', '2008/03/28 00:00 [accepted]', '2008/04/24 09:00 [pubmed]', '2008/08/19 09:00 [medline]', '2008/04/24 09:00 [entrez]']","['S0968-0896(08)00310-6 [pii]', '10.1016/j.bmc.2008.03.076 [doi]']",ppublish,Bioorg Med Chem. 2008 May 15;16(10):5619-23. doi: 10.1016/j.bmc.2008.03.076. Epub 2008 Apr 6.,,,10.1016/j.bmc.2008.03.076 [doi],,,,,,,,,,,,,,,
