PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,GR,CIN,EIN,PMC,MID,OID,RF,CN,CI,CON,SI,LID,IR,FIR,OTO,OT,CRF,GN,PS,FPS,COIS
18060475,NLM,MEDLINE,20080620,20211020,0300-8177 (Print) 0300-8177 (Linking),310,1-2,2008 Mar,Caffeic acid phenethyl ester induces mitochondria-mediated apoptosis in human myeloid leukemia U937 cells.,43-8,"Caffeic acid phenyl ester (CAPE), a biologically active ingredient of propolis, has several interesting biological properties including antioxidant, anti-inflammatory, antiviral, immunostimulatory, anti-angiogenic, anti-invasive, anti-metastatic and carcinostatic activities. Recently, several groups have reported that CAPE is cytotoxic to tumor cells but not to normal cells. In this study, we investigated the mechanism of CAPE-induced apoptosis in human myeloid leukemia U937 cells. Treatment of U937 cells with CAPE decreased cell viability in a dose-dependent and time-dependent manner. DNA fragmentation assay revealed the typical ladder profile of oligonucleosomal fragments in CAPE-treated U937 cells. In addition, as evidenced by the nuclear DAPI staining experiment, we observed that the nuclear condensation, a typical phenotype of apoptosis, was found in U937 cells treated with 5 microg/ml of CAPE. Therefore, it was suggested that CAPE is a potent agent inducing apoptosis in U937 cells. Apoptotic action of the CAPE was accompanied by release of cytochrome C, reduction of Bcl-2 expression, increase of Bax expression, activation/cleavage of caspase-3 and activation/cleavage of PARP in U937 cells, but not by Fas protein, an initial mediator in the death signaling, or by phospho-eIF2 alpha and CHOP, crucial mediators in ER-mediated apoptosis. From the results, it was concluded that CAPE induces the mitochondria-mediated apoptosis but not death receptors- or ER-mediated apoptosis in U937 cells.","['Jin, Un-Ho', 'Song, Kwon-Ho', 'Motomura, Muneo', 'Suzuki, Ikukatsu', 'Gu, Yeun-Hwa', 'Kang, Yun-Jeong', 'Moon, Tae-Chul', 'Kim, Cheorl-Ho']","['Jin UH', 'Song KH', 'Motomura M', 'Suzuki I', 'Gu YH', 'Kang YJ', 'Moon TC', 'Kim CH']","['Department of Biological Sciences, Molecular and Cellular Glycobiology Unit, Sungkyunkwan University, 300 Chunchun-Dong, Jangan-Gu, Suwon City, Kyunggi-Do 440-746, Korea.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20071130,Netherlands,Mol Cell Biochem,Molecular and cellular biochemistry,0364456,"['0 (Caffeic Acids)', '0 (Chromatin)', '0 (Eukaryotic Initiation Factor-2)', '0 (FAS protein, human)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Receptors, Death Domain)', '0 (fas Receptor)', '147336-12-7 (Transcription Factor CHOP)', '9007-43-6 (Cytochromes c)', 'EC 2.4.2.30 (Poly(ADP-ribose) Polymerases)', 'EC 3.4.22.- (Caspase 3)', 'G960R9S5SK (caffeic acid phenethyl ester)', 'ML9LGA7468 (Phenylethyl Alcohol)']",IM,"['Apoptosis/*drug effects', 'Caffeic Acids/*pharmacology', 'Caspase 3/metabolism', 'Cell Line, Tumor', 'Chromatin/metabolism', 'Cytochromes c/metabolism', 'DNA Fragmentation/drug effects', 'Endoplasmic Reticulum/drug effects/pathology', 'Eukaryotic Initiation Factor-2/metabolism', 'Humans', 'Leukemia, Myeloid/*pathology', 'Mitochondria/*drug effects/enzymology/*metabolism', 'Phenylethyl Alcohol/*analogs & derivatives/pharmacology', 'Poly(ADP-ribose) Polymerases/metabolism', 'Proto-Oncogene Proteins c-bcl-2/metabolism', 'Receptors, Death Domain/metabolism', 'Transcription Factor CHOP/metabolism', 'U937 Cells', 'fas Receptor/metabolism']",2007/12/07 09:00,2008/06/21 09:00,['2007/12/07 09:00'],"['2007/08/22 00:00 [received]', '2007/11/14 00:00 [accepted]', '2007/12/07 09:00 [pubmed]', '2008/06/21 09:00 [medline]', '2007/12/07 09:00 [entrez]']",['10.1007/s11010-007-9663-7 [doi]'],ppublish,Mol Cell Biochem. 2008 Mar;310(1-2):43-8. doi: 10.1007/s11010-007-9663-7. Epub 2007 Nov 30.,,,,,,,,,,,,,,,,,,,,,,
18060460,NLM,MEDLINE,20080624,20151119,0092-8240 (Print) 0092-8240 (Linking),70,3,2008 Apr,Modeling imatinib-treated chronic myelogenous leukemia: reducing the complexity of agent-based models.,728-44,"We develop a model for describing the dynamics of imatinib-treated chronic myelogenous leukemia. Our model is based on replacing the recent agent-based model of Roeder et al. (Nat. Med. 12(10):1181-1184, 2006) by a system of deterministic difference equations. These difference equations describe the time-evolution of clusters of individual agents that are grouped by discretizing the state space. Hence, unlike standard agent-base models, the complexity of our model is independent of the number of agents, which allows to conduct simulation studies with a realistic number of cells. This approach also allows to directly evaluate the expected steady states of the system. The results of our numerical simulations show that our model replicates the averaged behavior of the original Roeder model with a significantly reduced computational cost. Our general approach can be used to simplify other similar agent-based models. In particular, due to the reduced computational complexity of our technique, one can use it to conduct sensitivity studies of the parameters in large agent-based systems.","['Kim, Peter S', 'Lee, Peter P', 'Levy, Doron']","['Kim PS', 'Lee PP', 'Levy D']","['Department of Mathematics, Stanford University, Stanford, CA 94305-2125, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",20071201,United States,Bull Math Biol,Bulletin of mathematical biology,0401404,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Computer Simulation', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/genetics', '*Models, Biological', 'Philadelphia Chromosome', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use']",2007/12/07 09:00,2008/06/25 09:00,['2007/12/07 09:00'],"['2007/04/05 00:00 [received]', '2007/09/04 00:00 [accepted]', '2007/12/07 09:00 [pubmed]', '2008/06/25 09:00 [medline]', '2007/12/07 09:00 [entrez]']",['10.1007/s11538-007-9276-z [doi]'],ppublish,Bull Math Biol. 2008 Apr;70(3):728-44. doi: 10.1007/s11538-007-9276-z. Epub 2007 Dec 1.,,,,,,,,,,,,,,,,,,,,,,
18060403,NLM,MEDLINE,20080902,20210103,0340-7004 (Print) 0340-7004 (Linking),57,7,2008 Jul,Immune modulation by melanoma and ovarian tumor cells through expression of the immunosuppressive molecule CD200.,987-96,"BACKGROUND AND OBJECTIVE: Immune escape by tumors can occur by multiple mechanisms, each a significant barrier to immunotherapy. We previously demonstrated that upregulation of the immunosuppressive molecule CD200 on chronic lymphocytic leukemia cells inhibits Th1 cytokine production required for an effective cytotoxic T cell response. CD200 expression on human tumor cells in animal models prevents human lymphocytes from rejecting the tumor; treatment with an antagonistic anti-CD200 antibody restored lymphocyte-mediated tumor growth inhibition. The current study evaluated CD200 expression on solid cancers, and its effect on immune response in vitro. METHODS AND RESULTS: CD200 protein was expressed on the surface of 5/8 ovarian cancer, 2/4 melanoma, 2/2 neuroblastoma and 2/3 renal carcinoma cell lines tested, but CD200 was absent on prostate, lung, breast, astrocytoma, or glioblastoma cell lines. Evaluation of patient samples by immunohistochemistry showed strong, membrane-associated CD200 staining on malignant cells of melanoma (4/4), ovarian cancer (3/3) and clear cell renal cell carcinoma (ccRCC) (2/3), but also on normal ovary and kidney. CD200 expression on melanoma metastases was determined by RT-QPCR, and was found to be significantly higher in jejunum metastases (2/2) and lung metastases (2/6) than in normal samples. Addition of CD200-expressing, but not CD200-negative solid tumor cell lines to mixed lymphocyte reactions downregulated the production of Th1 cytokines. Inclusion of antagonistic anti-CD200 antibody restored Th1 cytokine responses. CONCLUSION: These data suggest that melanoma, ccRCC and ovarian tumor cells can express CD200, thereby potentially suppressing anti-tumor immune responses. CD200 blockade with an antagonistic antibody may permit an effective anti-tumor immune response in these solid tumor types.","['Siva, A', 'Xin, H', 'Qin, F', 'Oltean, D', 'Bowdish, K S', 'Kretz-Rommel, A']","['Siva A', 'Xin H', 'Qin F', 'Oltean D', 'Bowdish KS', 'Kretz-Rommel A']","['Alexion Antibody Technologies, Inc., 3985 Sorrento Valley Blvd, Ste A, San Diego, CA 92121, USA.']",['eng'],['Journal Article'],,Germany,Cancer Immunol Immunother,"Cancer immunology, immunotherapy : CII",8605732,"['0 (Antigens, CD)', 'UQ4V77A8VA (antigens, CD200)']",IM,"['Antigens, CD/*biosynthesis/immunology', 'Carcinoma, Renal Cell/immunology/*metabolism', 'Cell Line, Tumor', 'Female', 'Humans', 'Immunohistochemistry', 'Kidney Neoplasms/immunology/*metabolism', 'Lymphocyte Culture Test, Mixed', 'Melanoma/immunology/*metabolism', 'Ovarian Neoplasms/immunology/*metabolism']",2007/12/07 09:00,2008/09/03 09:00,['2007/12/07 09:00'],"['2007/08/29 00:00 [received]', '2007/11/13 00:00 [accepted]', '2007/12/07 09:00 [pubmed]', '2008/09/03 09:00 [medline]', '2007/12/07 09:00 [entrez]']",['10.1007/s00262-007-0429-6 [doi]'],ppublish,Cancer Immunol Immunother. 2008 Jul;57(7):987-96. doi: 10.1007/s00262-007-0429-6.,,,,,,,,,,,,,,,,,,,,,,
18060332,NLM,MEDLINE,20090401,20211203,1432-1289 (Electronic) 0020-9554 (Linking),49,1,2008 Jan,[Female patient with organic psychosyndrome and neurological focal signs after immunosuppressant therapy].,101-5,"Cerebral toxoplasmosis nearly exclusively affects immunodeficient or immunocompromised patients. Mostly, it is a reactivation of latent toxoplasmosis. The pathogens, persisting in the reticuloendothelial system of heart and skeletal muscle cells, are causing a multifocal necrotizing encephalitis. The characteristic clinical features are organic psychosyndrome and focal neurological signs such as monoparesis, hemiparesis, aphasia, or seizures. Here we describe a 56-years-old patient who developed cerebral toxoplasmosis after receiving stem-cell transplantation treatment for acute myeloic leukemia, and we discuss the clinical features, differential diagnoses and therapeutic strategies.","['Kuhnlein, P', 'Ringhoffer, M', 'Tumani, H', 'Gdynia, H J']","['Kuhnlein P', 'Ringhoffer M', 'Tumani H', 'Gdynia HJ']","['Neurologische Klinik der Universitat Ulm, Rehabilitationskrankenhaus Ulm, Am Oberen Eselsberg 45, 89081, Ulm, Deutschland. peter.kuehnlein@uni-ulm.de']",['ger'],"['Case Reports', 'Journal Article']",,Germany,Internist (Berl),Der Internist,0264620,,IM,"['Female', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Immunosuppression Therapy/*adverse effects', 'Middle Aged', 'Psychophysiologic Disorders/*diagnosis/*etiology/therapy', 'Toxoplasmosis, Cerebral/*diagnosis/*etiology/therapy', 'Treatment Outcome']",2007/12/07 09:00,2009/04/02 09:00,['2007/12/07 09:00'],"['2007/12/07 09:00 [pubmed]', '2009/04/02 09:00 [medline]', '2007/12/07 09:00 [entrez]']",['10.1007/s00108-007-1983-x [doi]'],ppublish,Internist (Berl). 2008 Jan;49(1):101-5. doi: 10.1007/s00108-007-1983-x.,Patientin mit organischem Psychosyndrom und neurologischen Herdzeichen unter Immunsuppression.,,,,,,,,,,,,,,,,,,,,,
18060235,NLM,MEDLINE,20080327,20080623,0379-5284 (Print) 0379-5284 (Linking),28,12,2007 Dec,Beaus lines.,1922-3,,"['Yassin, Mohammed A', 'Alhijji, Ibrahim A', 'Elayoubi, Hanadi R', 'Abbodi, Kamal R']","['Yassin MA', 'Alhijji IA', 'Elayoubi HR', 'Abbodi KR']","['Division of Hematology Al-Amal Hospital, PO Box 3050, Doha, Qatar. yassin160@yahoo.co.uk']",['eng'],"['Case Reports', 'Journal Article']",,Saudi Arabia,Saudi Med J,Saudi medical journal,7909441,['0 (Antineoplastic Agents)'],IM,"['Adult', 'Antineoplastic Agents/*adverse effects', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Nail Diseases/*chemically induced/*pathology']",2007/12/07 09:00,2008/03/28 09:00,['2007/12/07 09:00'],"['2007/12/07 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/12/07 09:00 [entrez]']","[""20070200' [pii]""]",ppublish,Saudi Med J. 2007 Dec;28(12):1922-3.,,,,,,,,,,,,,,,,,,,,,,
18060038,NLM,MEDLINE,20080212,20211020,0021-9738 (Print) 0021-9738 (Linking),117,12,2007 Dec,An anticancer C-Kit kinase inhibitor is reengineered to make it more active and less cardiotoxic.,4044-54,"Targeting kinases is central to drug-based cancer therapy but remains challenging because the drugs often lack specificity, which may cause toxic side effects. Modulating side effects is difficult because kinases are evolutionarily and hence structurally related. The lack of specificity of the anticancer drug imatinib enables it to be used to treat chronic myeloid leukemia, where its target is the Bcr-Abl kinase, as well as a proportion of gastrointestinal stromal tumors (GISTs), where its target is the C-Kit kinase. However, imatinib also has cardiotoxic effects traceable to its impact on the C-Abl kinase. Motivated by this finding, we made a modification to imatinib that hampers Bcr-Abl inhibition; refocuses the impact on the C-Kit kinase; and promotes inhibition of an additional target, JNK, a change that is required to reinforce prevention of cardiotoxicity. We established the molecular blueprint for target discrimination in vitro using spectrophotometric and colorimetric assays and through a phage-displayed kinase screening library. We demonstrated controlled inhibitory impact on C-Kit kinase in human cell lines and established the therapeutic impact of the engineered compound in a novel GIST mouse model, revealing a marked reduction of cardiotoxicity. These findings identify the reengineered imatinib as an agent to treat GISTs with curbed side effects and reveal a bottom-up approach to control drug specificity.","['Fernandez, Ariel', 'Sanguino, Angela', 'Peng, Zhenghong', 'Ozturk, Eylem', 'Chen, Jianping', 'Crespo, Alejandro', 'Wulf, Sarah', 'Shavrin, Aleksander', 'Qin, Chaoping', 'Ma, Jianpeng', 'Trent, Jonathan', 'Lin, Yvonne', 'Han, Hee-Dong', 'Mangala, Lingegowda S', 'Bankson, James A', 'Gelovani, Juri', 'Samarel, Allen', 'Bornmann, William', 'Sood, Anil K', 'Lopez-Berestein, Gabriel']","['Fernandez A', 'Sanguino A', 'Peng Z', 'Ozturk E', 'Chen J', 'Crespo A', 'Wulf S', 'Shavrin A', 'Qin C', 'Ma J', 'Trent J', 'Lin Y', 'Han HD', 'Mangala LS', 'Bankson JA', 'Gelovani J', 'Samarel A', 'Bornmann W', 'Sood AK', 'Lopez-Berestein G']","['Department of Bioengineering and Applied Physics Division, Rice Quantum Institute, Rice University, Houston, Texas 77005, USA. arifer@rice.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",,United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Benzamides)', '0 (Cardiotoxins)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.12.2 (MAP Kinase Kinase 4)']",IM,"['Animals', 'Benzamides', 'Cardiotoxins/chemistry/pharmacology', 'Drug Screening Assays, Antitumor', 'Fusion Proteins, bcr-abl', 'Gastrointestinal Stromal Tumors/*drug therapy/*enzymology', 'Heart Diseases/chemically induced/enzymology', 'Humans', 'Imatinib Mesylate', 'K562 Cells', 'MAP Kinase Kinase 4/*antagonists & inhibitors/metabolism', 'Neoplasms, Experimental/drug therapy/enzymology', 'Piperazines/adverse effects/chemistry/*pharmacology', 'Protein Kinase Inhibitors/adverse effects/chemistry/*pharmacology', 'Protein-Tyrosine Kinases/antagonists & inhibitors/metabolism', '*Proto-Oncogene Proteins c-kit/metabolism', 'Pyrimidines/adverse effects/chemistry/*pharmacology', 'Rats', 'Rats, Sprague-Dawley']",2007/12/07 09:00,2008/02/13 09:00,['2007/12/07 09:00'],"['2007/04/11 00:00 [received]', '2007/09/05 00:00 [accepted]', '2007/12/07 09:00 [pubmed]', '2008/02/13 09:00 [medline]', '2007/12/07 09:00 [entrez]']",['10.1172/JCI32373 [doi]'],ppublish,J Clin Invest. 2007 Dec;117(12):4044-54. doi: 10.1172/JCI32373.,,"['P50 CA083639/CA/NCI NIH HHS/United States', 'R01 GM072614/GM/NIGMS NIH HHS/United States', 'P50CA83639/CA/NCI NIH HHS/United States']",['J Clin Invest. 2007 Dec;117(12):3650-3. PMID: 18060025'],['J Clin Invest. 2013 Nov;123(11):4980'],PMC2104494,,,,,,,,,,,,,,,,,
18059532,NLM,MEDLINE,20080307,20181201,0829-8211 (Print) 0829-8211 (Linking),85,6,2007 Dec,"A new apoptosis inhibitor, CIAPIN1 (cytokine-induced apoptosis inhibitor 1), mediates multidrug resistance in leukemia cells by regulating MDR-1, Bcl-2, and Bax.",741-50,"We investigated the role of cytokine-induced apoptosis inhibitor 1 (CIAPIN1), a newly identified apoptosis inhibitor, in leukemia cell multidrug resistance (MDR) and its possible underlying mechanisms. CIAPIN1 was found to be overexpressed at the mRNA and protein levels in the vincristine-induced multidrug-resistant leukemia cell line HL-60/VCR, compared with HL-60, its parental cell line. In this study, we transfected HL-60 with a eukaryotic expression vector of CIAPIN1. In vitro drug sensitivity assays suggested that HL-60-CIAPIN1 cells conferred resistance to both P-glycoprotein (P-gp)-related and -unrelated drugs. Blocking CIAPIN1 expression in HL-60/VCR cells by CIAPIN1-specific small interfering RNA increased the cells' sensitivity to various chemotherapeutic drugs. Flow cytometry results suggested that CIAPIN1 expression could suppress adriamycin-induced apoptosis, accompanied by a decreased accumulation and increased release of adriamycin. Semiquantitative RT-PCR, Western blot analysis, and luciferase reporter assays suggested that CIAPIN1 could significantly upregulate the expression of MDR-1 and Bcl-2, the transcription of the MDR-1 gene, as well as downregulate the expression of Bax. Additionally, the inhibition of CIAPIN1 expression by RNA interference or P-gp inhibitor could partially reverse CIAPIN1-mediated MDR. Taken together, our findings suggest that downregulating CIAPIN1 could sensitize leukemia cells to chemotherapeutic drugs by downregulating MDR-1 and Bcl-2 and by upregulating Bax, yet not altering either glutathione-S-transferase activity or intracellular glutathione content in leukemia cells. Further study of CIAPIN1's function may reveal more of the mechanisms of leukemia MDR and result in the development of strategies to treat leukemia.","['Li, Xiaohua', 'Hong, Liu', 'Zhao, Yunping', 'Jin, Haifeng', 'Fan, Rui', 'Du, Rui', 'Xia, Lin', 'Luo, Guanhong', 'Fan, Daiming']","['Li X', 'Hong L', 'Zhao Y', 'Jin H', 'Fan R', 'Du R', 'Xia L', 'Luo G', 'Fan D']","[""State Key Laboratory of Cancer Biology & Institute of Digestive Diseases, Xijing Hospital, the Fourth Military Medical University, 17 Changle Western Road, Xi'an 710032, China.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Canada,Biochem Cell Biol,Biochemistry and cell biology = Biochimie et biologie cellulaire,8606068,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (CIAPIN1 protein, human)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (bcl-2-Associated X Protein)', '80168379AG (Doxorubicin)', 'CJ0O37KU29 (Verapamil)', 'EC 1.13.12.- (Luciferases)', 'EC 2.5.1.18 (Glutathione Transferase)', 'GAN16C9B8O (Glutathione)']",IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/genetics/*metabolism', 'Blotting, Western', 'Doxorubicin/pharmacology', '*Drug Resistance, Multiple/drug effects', '*Drug Resistance, Neoplasm/drug effects', 'Drug Screening Assays, Antitumor', 'Gene Expression Regulation, Neoplastic/drug effects', 'Glutathione/metabolism', 'Glutathione Transferase/metabolism', 'HL-60 Cells', 'Humans', 'Inhibitory Concentration 50', 'Intracellular Signaling Peptides and Proteins/genetics/*metabolism', 'Intracellular Space/drug effects/enzymology', 'Leukemia/enzymology/genetics/*metabolism', 'Luciferases/metabolism', 'Transcription, Genetic/drug effects', 'Transfection', 'Up-Regulation/drug effects', 'Verapamil/pharmacology', 'bcl-2-Associated X Protein/*metabolism']",2007/12/07 09:00,2008/03/08 09:00,['2007/12/07 09:00'],"['2007/12/07 09:00 [pubmed]', '2008/03/08 09:00 [medline]', '2007/12/07 09:00 [entrez]']","['o07-141 [pii]', '10.1139/o07-141 [doi]']",ppublish,Biochem Cell Biol. 2007 Dec;85(6):741-50. doi: 10.1139/o07-141.,,,,,,,,,,,,,,,,,,,,,,
18059485,NLM,MEDLINE,20080626,20211203,1476-5551 (Electronic) 0887-6924 (Linking),22,6,2008 Jun,"In human genome, generation of a nuclear export signal through duplication appears unique to nucleophosmin (NPM1) mutations and is restricted to AML.",1285-9,,"['Liso, A', 'Bogliolo, A', 'Freschi, V', 'Martelli, M P', 'Pileri, S A', 'Santodirocco, M', 'Bolli, N', 'Martelli, M F', 'Falini, B']","['Liso A', 'Bogliolo A', 'Freschi V', 'Martelli MP', 'Pileri SA', 'Santodirocco M', 'Bolli N', 'Martelli MF', 'Falini B']",,['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20071206,England,Leukemia,Leukemia,8704895,"['0 (NPM1 protein, human)', '0 (Nuclear Export Signals)', '0 (Nuclear Proteins)', '0 (Peptide Fragments)', '117896-08-9 (Nucleophosmin)']",IM,"['Computational Biology', 'Cytoplasm/metabolism', '*Gene Duplication', '*Genome, Human', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, Myeloid, Acute/*genetics/pathology', 'Mutation/*genetics', '*Nuclear Export Signals', 'Nuclear Proteins/*genetics', 'Nucleophosmin', 'Peptide Fragments/physiology']",2007/12/07 09:00,2008/06/27 09:00,['2007/12/07 09:00'],"['2007/12/07 09:00 [pubmed]', '2008/06/27 09:00 [medline]', '2007/12/07 09:00 [entrez]']","['2405045 [pii]', '10.1038/sj.leu.2405045 [doi]']",ppublish,Leukemia. 2008 Jun;22(6):1285-9. doi: 10.1038/sj.leu.2405045. Epub 2007 Dec 6.,,,,,,,,,,,,,,,,,,,,,,
18059484,NLM,MEDLINE,20080327,20130304,1476-5551 (Electronic) 0887-6924 (Linking),22,3,2008 Mar,HLA-G turns off erythropoietin receptor signaling through JAK2 and JAK2 V617F dephosphorylation: clinical relevance in polycythemia vera.,578-84,"HLA-G5 is secreted by erythroblasts in all hematopoietic organs, suggesting a role for this protein in erythropoiesis. To examine this, we analyzed whether HLA-G5 affects the proliferation of UT7/EPO and HEL erythroleukemia cells and characterized the mechanism by which HLA-G5 influences erythropoietin receptor (EPOR) signaling. We show that HLA-G5 inhibits the proliferation of UT7/EPO cells, the EPOR signaling of which is similar to that of normal erythroid progenitors. HLA-G5-mediated inhibition was associated with reduced phosphorylation of JAK2 kinase and that of the downstream signaling proteins STAT-5 and STAT-3. Involvement of JAK2 in erythroid cell proliferation has been highlighted by the role of JAK2 V617F mutation in polycythemia vera (PV), a myeloproliferative disorder characterized by erythroid lineage overproduction. We demonstrate that HLA-G5 downregulates EPOR constitutive signaling of JAK2 V617F-expressing HEL cells, leading to inhibition of cell proliferation through G1 cell cycle arrest. Combination of HLA-G5 with JAK inhibitor I further decreases HEL cell growth. Clinical relevance is provided by analysis of PV patients who carry JAK2 V617F mutation, showing that HLA-G5 inhibits the formation of erythropoietin-independent erythroid colonies. Such HLA-G5-mediated inhibition constitutes a new parameter to be considered in the design of future approaches aimed at treating JAK2 V617F-positive myeloproliferative disorders.","['Menier, C', 'Guillard, C', 'Cassinat, B', 'Carosella, E D', 'Rouas-Freiss, N']","['Menier C', 'Guillard C', 'Cassinat B', 'Carosella ED', 'Rouas-Freiss N']","['Service de Recherches en Hemato-Immunologie, CEA/DSV/I2BM-IUH, Hopital Saint Louis, Paris, France. Catherine.Menier@cea.fr']",['eng'],['Journal Article'],20071206,England,Leukemia,Leukemia,8704895,"['0 (HLA Antigens)', '0 (HLA-G Antigens)', '0 (Histocompatibility Antigens Class I)', '0 (Receptors, Erythropoietin)', '0 (Recombinant Fusion Proteins)', '0 (STAT3 Transcription Factor)', '0 (STAT3 protein, human)', '0 (STAT5 Transcription Factor)', '11096-26-7 (Erythropoietin)', 'EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Cell Division/drug effects', 'Cell Line, Tumor/drug effects/metabolism', 'Colony-Forming Units Assay', 'Erythroid Precursor Cells/drug effects', 'Erythropoiesis/drug effects/*physiology', 'Erythropoietin/physiology', 'G1 Phase/drug effects', 'HLA Antigens/blood/genetics/pharmacology/*physiology', 'HLA-G Antigens', 'Histocompatibility Antigens Class I/blood/genetics/pharmacology/*physiology', 'Humans', 'Janus Kinase 2/antagonists & inhibitors/genetics/metabolism', 'Leukemia, Erythroblastic, Acute/pathology', 'Microspheres', 'Mutation, Missense', 'Phosphorylation/drug effects', 'Point Mutation', 'Polycythemia Vera/*metabolism', 'Protein Processing, Post-Translational/drug effects', 'Receptors, Erythropoietin/*drug effects/physiology', 'Recombinant Fusion Proteins/pharmacology', 'STAT3 Transcription Factor/metabolism', 'STAT5 Transcription Factor/metabolism']",2007/12/07 09:00,2008/03/28 09:00,['2007/12/07 09:00'],"['2007/12/07 09:00 [pubmed]', '2008/03/28 09:00 [medline]', '2007/12/07 09:00 [entrez]']","['2405050 [pii]', '10.1038/sj.leu.2405050 [doi]']",ppublish,Leukemia. 2008 Mar;22(3):578-84. doi: 10.1038/sj.leu.2405050. Epub 2007 Dec 6.,,,,,,,,,,,,,,,,,,,,,,
18059483,NLM,MEDLINE,20080626,20211020,1476-5551 (Electronic) 0887-6924 (Linking),22,6,2008 Jun,Prognostic interaction between thrombocytosis and JAK2 V617F mutation in the WHO subcategories of myelodysplastic/myeloproliferative disease-unclassifiable and refractory anemia with ringed sideroblasts and marked thrombocytosis.,1295-8,,"['Atallah, E', 'Nussenzveig, R', 'Yin, C C', 'Bueso-Ramos, C', 'Tam, C', 'Manshouri, T', 'Pierce, S', 'Kantarjian, H', 'Verstovsek, S']","['Atallah E', 'Nussenzveig R', 'Yin CC', 'Bueso-Ramos C', 'Tam C', 'Manshouri T', 'Pierce S', 'Kantarjian H', 'Verstovsek S']",,['eng'],['Letter'],20071206,England,Leukemia,Leukemia,8704895,"['EC 2.7.10.2 (JAK2 protein, human)', 'EC 2.7.10.2 (Janus Kinase 2)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Anemia, Refractory/classification/enzymology/*genetics', 'Anemia, Sideroblastic/classification/enzymology/*genetics', 'Female', 'Humans', 'Janus Kinase 2/*genetics', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/classification/enzymology/*genetics', 'Myeloproliferative Disorders/classification/enzymology/*genetics', 'Point Mutation/*genetics', 'Prognosis', 'Survival Rate', 'Thrombocytosis/classification/enzymology/*genetics', 'World Health Organization']",2007/12/07 09:00,2008/06/27 09:00,['2007/12/07 09:00'],"['2007/12/07 09:00 [pubmed]', '2008/06/27 09:00 [medline]', '2007/12/07 09:00 [entrez]']","['2405054 [pii]', '10.1038/sj.leu.2405054 [doi]']",ppublish,Leukemia. 2008 Jun;22(6):1295-8. doi: 10.1038/sj.leu.2405054. Epub 2007 Dec 6.,,['P30 CA016672/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,,,,,,
