PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RF,PMC,COIS,GR,MID,CI,CON,CN,CIN,EIN,OTO,OT,PS,FPS,SI,OID,LID,RPF
17953956,NLM,MEDLINE,20081112,20131121,1556-5653 (Electronic) 0015-0282 (Linking),90,3,2008 Sep,When is elevated testosterone not testosterone? When it is an immunoassay interfering antibody.,886-8,A discrepancy between clinical findings and a markedly elevated testosterone (T) level stimulated search to explain this inconsistency. The cause of the falsely elevated T level was determined to be heterophile antibodies from a polyclonal gammopathy in a subject with acute myelogenous leukemia.,"['Ramaeker, Devon', 'Brannian, John', 'Egland, Kristi', 'McCaul, Kelly', 'Hansen, Keith']","['Ramaeker D', 'Brannian J', 'Egland K', 'McCaul K', 'Hansen K']","[""Department of Obstetrics and Gynecology, Magee-Women's Hospital, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.""]",['eng'],"['Case Reports', 'Journal Article']",20071022,United States,Fertil Steril,Fertility and sterility,0372772,['3XMK78S47O (Testosterone)'],IM,"['Adult', '*Artifacts', 'Diagnostic Errors/*prevention & control', 'False Positive Reactions', 'Female', 'Humans', 'Immunoassay/*methods', 'Infertility/*blood/*diagnosis', 'Testosterone/*blood']",2007/10/24 09:00,2008/11/13 09:00,['2007/10/24 09:00'],"['2007/06/29 00:00 [received]', '2007/10/24 09:00 [pubmed]', '2008/11/13 09:00 [medline]', '2007/10/24 09:00 [entrez]']","['S0015-0282(07)01534-8 [pii]', '10.1016/j.fertnstert.2007.07.1295 [doi]']",ppublish,Fertil Steril. 2008 Sep;90(3):886-8. doi: 10.1016/j.fertnstert.2007.07.1295. Epub 2007 Oct 22.,,,,,,,,,,,,,,,,,,,
17953870,NLM,MEDLINE,20071030,20071115,1603-6824 (Electronic) 0041-5782 (Linking),169,36,2007 Sep 3,[Pathogenesis of breast cancer].,2968-72,"A hallmark of cancer is tumour heterogeneity. This is generally attributed to genomic instability and phenotypic drifting of transformed cells. In recent years another source of tumour heterogeneity has emerged--the ""cancer initiating cells"" or ""cancer stem cells"". These are very rare cancer cells that are believed to fuel the bulk of the epithelial cells composing the tumour. Here we discuss the possible existence of normal and cancer stem cells in the human breast and in breast cancer and their potential role in the evolution of this disease.","['Petersen, Ole William', 'Celis, Julio E']","['Petersen OW', 'Celis JE']","['Kobenhavns Universitet, Institut for Cellulaer og Molekylaer Medicin, Panumbygningen, Det Sundhedsvidenskabelige Fakultet, Kobenhavn N. o.w.petersen@mai.ku.dk']",['dan'],"['Comparative Study', 'English Abstract', 'Journal Article', 'Review']",,Denmark,Ugeskr Laeger,Ugeskrift for laeger,0141730,,IM,"['Animals', 'Breast/cytology/pathology', 'Breast Neoplasms/*etiology/genetics/pathology/therapy', 'Female', 'Hematopoietic Stem Cells/pathology', 'Humans', 'Leukemia, Myeloid, Acute/pathology', 'Mice', 'Stem Cells/pathology']",2007/10/24 09:00,2007/10/31 09:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2007/10/31 09:00 [medline]', '2007/10/24 09:00 [entrez]']",['VP50026 [pii]'],ppublish,Ugeskr Laeger. 2007 Sep 3;169(36):2968-72.,Patogenese ved cancer mammae.,14,,,,,,,,,,,,,,,,,
17953823,NLM,MEDLINE,20101101,20160607,0578-1310 (Print) 0578-1310 (Linking),45,7,2007 Jul,[Iliac vein thrombosis during chemotherapy of a child with lymphoblastic leukemia: report of a case].,556-7,,"['Fan, Jun-jie', 'Chai, Yi-huan', 'He, Hai-long']","['Fan JJ', 'Chai YH', 'He HL']",,['chi'],"['Case Reports', 'Journal Article']",,China,Zhonghua Er Ke Za Zhi,Zhonghua er ke za zhi = Chinese journal of pediatrics,0417427,,IM,"['Child, Preschool', 'Heart Diseases/*physiopathology', 'Humans', 'Iliac Vein/*physiopathology', 'Leukemia, Lymphoid/*complications', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications', 'Thrombosis/*etiology/*physiopathology']",2007/10/24 09:00,2010/11/03 06:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2010/11/03 06:00 [medline]', '2007/10/24 09:00 [entrez]']",,ppublish,Zhonghua Er Ke Za Zhi. 2007 Jul;45(7):556-7.,,,,,,,,,,,,,,,,,,,
17953817,NLM,MEDLINE,20101101,20160607,0578-1310 (Print) 0578-1310 (Linking),45,7,2007 Jul,[Relationship between the CYP3A5 genetic polymorphism and susceptibility to and prognosis of childhood acute leukemia].,546-8,,"['Huang, Zhen', 'Chai, Yi-huan', 'Cen, Jian-nong']","['Huang Z', 'Chai YH', 'Cen JN']",,['chi'],['Journal Article'],,China,Zhonghua Er Ke Za Zhi,Zhonghua er ke za zhi = Chinese journal of pediatrics,0417427,"['EC 1.14.14.1 (CYP3A5 protein, human)', 'EC 1.14.14.1 (Cytochrome P-450 CYP3A)']",IM,"['Child', 'Cytochrome P-450 CYP3A/*genetics', 'Disease Susceptibility/*enzymology', 'Female', '*Genome-Wide Association Study', 'Humans', 'Male', 'Polymorphism, Genetic/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics']",2007/10/24 09:00,2010/11/03 06:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2010/11/03 06:00 [medline]', '2007/10/24 09:00 [entrez]']",,ppublish,Zhonghua Er Ke Za Zhi. 2007 Jul;45(7):546-8.,,,,,,,,,,,,,,,,,,,
17953487,NLM,MEDLINE,20071217,20211020,1553-7404 (Electronic) 1553-7390 (Linking),3,10,2007 Oct,ZIPK: a unique case of murine-specific divergence of a conserved vertebrate gene.,1884-93,"Zipper interacting protein kinase (ZIPK, also known as death-associated protein kinase 3 [DAPK3]) is a Ser/Thr kinase that functions in programmed cell death. Since its identification eight years ago, contradictory findings regarding its intracellular localization and molecular mode of action have been reported, which may be attributed to unpredicted differences among the human and rodent orthologs. By aligning the sequences of all available ZIPK orthologs, from fish to human, we discovered that rat and mouse sequences are more diverged from the human ortholog relative to other, more distant, vertebrates. To test experimentally the outcome of this sequence divergence, we compared rat ZIPK to human ZIPK in the same cellular settings. We found that while ectopically expressed human ZIPK localized to the cytoplasm and induced membrane blebbing, rat ZIPK localized exclusively within nuclei, mainly to promyelocytic leukemia oncogenic bodies, and induced significantly lower levels of membrane blebbing. Among the unique murine (rat and mouse) sequence features, we found that a highly conserved phosphorylation site, previously shown to have an effect on the cellular localization of human ZIPK, is absent in murines but not in earlier diverging organisms. Recreating this phosphorylation site in rat ZIPK led to a significant reduction in its promyelocytic leukemia oncogenic body localization, yet did not confer full cytoplasmic localization. Additionally, we found that while rat ZIPK interacts with PAR-4 (also known as PAWR) very efficiently, human ZIPK fails to do so. This interaction has clear functional implications, as coexpression of PAR-4 with rat ZIPK caused nuclear to cytoplasm translocation and induced strong membrane blebbing, thus providing the murine protein a possible adaptive mechanism to compensate for its sequence divergence. We have also cloned zebrafish ZIPK and found that, like the human and unlike the murine orthologs, it localizes to the cytoplasm, and fails to bind the highly conserved PAR-4 protein. This further supports the hypothesis that murine ZIPK underwent specific divergence from a conserved consensus. In conclusion, we present a case of species-specific divergence occurring in a specific branch of the evolutionary tree, accompanied by the acquisition of a unique protein-protein interaction that enables conservation of cellular function.","['Shoval, Yishay', 'Pietrokovski, Shmuel', 'Kimchi, Adi']","['Shoval Y', 'Pietrokovski S', 'Kimchi A']","['Department of Molecular Genetics, Weizmann Institute of Science, Rehovot, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20070907,United States,PLoS Genet,PLoS genetics,101239074,"['0 (Apoptosis Regulatory Proteins)', 'EC 2.7.11.1 (DAPK3 protein, human)', 'EC 2.7.11.1 (Dapk3 protein, mouse)', 'EC 2.7.11.1 (Dapk3 protein, rat)', 'EC 2.7.11.1 (Death-Associated Protein Kinases)', 'EC 2.7.11.17 (Calcium-Calmodulin-Dependent Protein Kinases)']",IM,"['Animals', 'Apoptosis', 'Apoptosis Regulatory Proteins/metabolism/*physiology', 'Calcium-Calmodulin-Dependent Protein Kinases/metabolism/*physiology', 'Conserved Sequence', 'Cytoplasm/metabolism', 'Death-Associated Protein Kinases', 'Evolution, Molecular', 'Humans', 'Mice', 'Mutation', 'Phosphorylation', 'Phylogeny', 'Rats', 'Species Specificity', 'Zebrafish']",2007/10/24 09:00,2007/12/18 09:00,['2007/10/24 09:00'],"['2007/05/10 00:00 [received]', '2007/09/06 00:00 [accepted]', '2007/10/24 09:00 [pubmed]', '2007/12/18 09:00 [medline]', '2007/10/24 09:00 [entrez]']","['07-PLGE-RA-0323 [pii]', '10.1371/journal.pgen.0030180 [doi]']",ppublish,PLoS Genet. 2007 Oct;3(10):1884-93. doi: 10.1371/journal.pgen.0030180. Epub 2007 Sep 7.,,,PMC2041995,['Competing interests. The authors have declared that no competing interests exist.'],,,,,,,,,,,,,,,
17953428,NLM,MEDLINE,20071203,20161020,0869-8031 (Print) 0869-8031 (Linking),47,4,2007 Jul-Aug,[The effects of low doses of low-level gamma-radiation and phenozan injection on structural characteristics of mice spleen DNA].,414-22,"It is well known that AKR mice with spontaneous leucosis are more sensitive to ionizing irradiation as compared to normal F1 (CBA x C57BL) mice. A study on changes of the structural characteristics of spleen DNA and level of protein p53 in the blood serum under the action of low-level gamma-irradiation in a dose of 1.2 cGy and injections of 10(-14) or 10(-4) mol/kg phenozan was performed. The changes in the structural characteristics of DNA (the adsorption on nitrocellulose filters and number of double-strand breaks) and p53 content were observed for each line of mice under gamma-irradiation and each phenozan concentration. Both factors showed long-time post-effects, and structural changes in AKR DNA were consistent with the life span of these mice. Phenozan in the above doses has abolished the induction of double-strand breaks in case of irradiation of F1 mice in a dose of 1.2 cGy and showed long-time post-irradiation effect. These facts suggest a radioprotection property of phenozan.","['Zhizhina, G P', 'Zavarykina, T M', ""Mil', E M"", 'Burlakova, E B']","['Zhizhina GP', 'Zavarykina TM', ""Mil' EM"", 'Burlakova EB']",,['rus'],"['English Abstract', 'Journal Article']",,Russia (Federation),Radiats Biol Radioecol,"Radiatsionnaia biologiia, radioecologiia",9317212,"['0 (Antioxidants)', '0 (Phenylpropionates)', '0 (Tumor Suppressor Protein p53)', '9007-49-2 (DNA)', 'X6G09G700F (fenozan)']",IM,"['Animals', 'Antioxidants/*administration & dosage', 'DNA/*drug effects/radiation effects', 'DNA Breaks, Double-Stranded', 'Female', 'Gamma Rays/*adverse effects', 'Leukemia, Radiation-Induced/*genetics/*prevention & control', 'Mice', 'Mice, Inbred Strains', 'Mice, Mutant Strains', 'Phenylpropionates/*administration & dosage', 'Spleen/drug effects/radiation effects', 'Tumor Suppressor Protein p53/blood']",2007/10/24 09:00,2007/12/06 09:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2007/10/24 09:00 [entrez]']",,ppublish,Radiats Biol Radioecol. 2007 Jul-Aug;47(4):414-22.,,,,,,,,,,,,,,,,,,,
17953384,NLM,MEDLINE,20100518,20071023,1672-173X (Print) 1672-173X (Linking),38,5,2007 Sep,[Methodological evaluation on PCR-DGGE technique in detecting DNA mutation and single nucleotide polymorphism].,882-4,"OBJECTIVE: To study the efficiency of polymerase chain reaction-denaturing gradient gel electrophoresis (PCR-DGGE) in detecting the DNA base mutation and single nucleotide polymorphism (SNP). METHODS: By DNA sequencing and PCR-DGGE respectively, mutations in the D-loop of the mitochondrial genome were detected in patients with acute leukemia in period of diagnosis and remission, which was regarded as constitutional DNA. The comparison of results was made for evaluating above two methods. Also, the wild type DNA and mutational DNA were mixed at different proportions to mimic the presence of DNA polymorphism. PCR-DGGE was done to study its sensitivity for SNP. RESULTS: The specificity and sensitivity of PCR-DGGE in detecting base mutation were 100% and 97.1% respectively. And PCR-DGGE could even detect the presence of polymorphism at rate of 0.5%. CONCLUSION: PCR-DGGE has high sensitivity and specificity and can be applied to detection of DNA mutation and SNP, which is better method for checking DNA mutations.","['Lu, Xiao-jun', 'Jia, Yong-qian', 'Fan, Hong', 'Zhang, Lei', 'Jia, Jin']","['Lu XJ', 'Jia YQ', 'Fan H', 'Zhang L', 'Jia J']","['Department of Laboratory Medicine, West China Hospital, Sichuan University, Chengdu 610041, China.']",['chi'],"['English Abstract', 'Journal Article']",,China,Sichuan Da Xue Xue Bao Yi Xue Ban,Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,101162609,,IM,"['DNA Mutational Analysis/*methods', 'Electrophoresis, Polyacrylamide Gel/*methods', 'Genome, Mitochondrial', 'Humans', 'Leukemia/genetics', 'Polymerase Chain Reaction/*methods', '*Polymorphism, Single Nucleotide', 'Sensitivity and Specificity']",2007/10/24 09:00,2010/05/19 06:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2010/05/19 06:00 [medline]', '2007/10/24 09:00 [entrez]']",,ppublish,Sichuan Da Xue Xue Bao Yi Xue Ban. 2007 Sep;38(5):882-4.,,,,,,,,,,,,,,,,,,,
17953374,NLM,MEDLINE,20100518,20161124,1672-173X (Print) 1672-173X (Linking),38,5,2007 Sep,[Expressions of cytoprotective proteins for human renal allografts].,843-6,"OBJECTIVE: To investigate the expression status and clinical significance of cytoprotective proteins to human renal allografts. METHODS: Expressions of cytoprotective proteins: antiapoptotic protein (A20), hemeoxygenase-1 (HO-1), and B-cell lymphoma/leukemia-X(L) (Bcl-X(L)) were analyzed by immunohistochemistry and compared in 30 renal allografts, including 10 grafts undergoing acute rejection (AR), 10 grafts undergoing chronic rejection (CR), and 10 nonrejecting (NR) grafts. RESULTS: Expressions of A20, HO-1 and Bcl-X(L) localized mainly in endothelial, smooth muscle, and infiltrating mononuclear cells. A20 expressed in grafts undergoing AR (5.04 +/- 0.71) and CR (3.20 +/- 0.64), not in NR grafts, and its expression in CR was weaker than that in AR ( P < 0.01). HO-1 expressed in AR (7.91 +/- 2.24), not in CR and NR. Bcl-X(L) was detected in all grafts (AR: 10.62 +/- 3.17; CR: 8.50 +/- 2.45; NR: 11.03 +/- 2.77), but had a decreased expression levels in CR. CONCLUSION: A20 and HO-1 may play protective role for AR, and A20 may be the essential protein having protective function for CR.","['Teng, Dong-hai', 'Lu, Yi-ping', 'Cao, Gui-hau', 'Zhang, Hong-ying', 'Li, Xiang', 'Wang, Li', 'Wang, Jia', 'Li, You-ping']","['Teng DH', 'Lu YP', 'Cao GH', 'Zhang HY', 'Li X', 'Wang L', 'Wang J', 'Li YP']","['Department of Urology, West China Hospital, Sichuan University, Chengdu 610041, China.']",['chi'],['Journal Article'],,China,Sichuan Da Xue Xue Bao Yi Xue Ban,Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,101162609,"['0 (BCL2L1 protein, human)', '0 (DNA-Binding Proteins)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Nuclear Proteins)', '0 (bcl-X Protein)', 'EC 1.14.14.18 (HMOX1 protein, human)', 'EC 1.14.14.18 (Heme Oxygenase-1)', 'EC 3.4.19.12 (TNFAIP3 protein, human)', 'EC 3.4.19.12 (Tumor Necrosis Factor alpha-Induced Protein 3)']",IM,"['DNA-Binding Proteins', 'Graft Rejection/metabolism', 'Heme Oxygenase-1/*metabolism', 'Humans', 'Intracellular Signaling Peptides and Proteins/*metabolism', '*Kidney Transplantation', 'Nuclear Proteins/*metabolism', 'Transplantation, Homologous', 'Tumor Necrosis Factor alpha-Induced Protein 3', 'bcl-X Protein/*metabolism']",2007/10/24 09:00,2010/05/19 06:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2010/05/19 06:00 [medline]', '2007/10/24 09:00 [entrez]']",,ppublish,Sichuan Da Xue Xue Bao Yi Xue Ban. 2007 Sep;38(5):843-6.,,,,,,,,,,,,,,,,,,,
17953087,NLM,MEDLINE,20071211,20211203,1080-6040 (Print) 1080-6040 (Linking),13,8,2007 Aug,"Infection with Scedosporium apiospermum and S. prolificans, Australia.",1170-7,"Scedosporium apiospermum and S. prolificans are fungi of increasing clinical importance, particularly in persons with underlying diseases. We reviewed the records of 59 patients in Australia from whom Scedosporium spp. were isolated from June 30, 1997, through December 31, 2003. S. apiospermum was isolated predominantly from the respiratory tracts of 28 of 31 patients with underlying lung diseases and resulted in 2 infections and 1 death. The annual number of S. apiospermum isolates remained constant. S. prolificans was isolated from 28 patients only after November 1999. Eight patients with acute myeloid leukemia or hematopoietic stem cell transplants had invasive infection; 4 had fungemia and 6 died from infection. S. prolificans caused locally invasive infection in 2 immunocompetent patients and was found in the respiratory tract of 18 patients with underlying respiratory disease but did not cause fungemia or deaths in these patients. Scedosporium spp. showed distinct clinical and epidemiologic features.","['Cooley, Louise', 'Spelman, Denis', 'Thursky, Karin', 'Slavin, Monica']","['Cooley L', 'Spelman D', 'Thursky K', 'Slavin M']","['Alfred Hospital, Prahran, Victoria, Australia.']",['eng'],['Journal Article'],,United States,Emerg Infect Dis,Emerging infectious diseases,9508155,,IM,"['Adult', 'Australia/epidemiology', 'Cohort Studies', 'Female', 'Humans', 'Immunosuppression Therapy', 'Male', 'Microbial Sensitivity Tests', 'Mycetoma/*epidemiology/immunology/microbiology', 'Retrospective Studies', 'Scedosporium/drug effects/*isolation & purification']",2007/10/24 09:00,2007/12/12 09:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2007/12/12 09:00 [medline]', '2007/10/24 09:00 [entrez]']",['10.3201/eid1308.060576 [doi]'],ppublish,Emerg Infect Dis. 2007 Aug;13(8):1170-7. doi: 10.3201/eid1308.060576.,,,PMC2828065,,,,,,,,,,,,,,,,
17952766,NLM,MEDLINE,20080103,20161124,0265-6736 (Print) 0265-6736 (Linking),23,6,2007 Sep,"Identification of genes responsive to paeoniflorin, a heat shock protein-inducing compound, in human leukemia U937 cells.",529-37,"PURPOSE AND BACKGROUND: Paeoniflorin (PF) isolated from peony root (Paeoniae radix) has been used as a herbal medicine in East Asia for its anti-allergic, anti-inflammatory, and immunoregulatory effects. PF is known to cause apoptosis and to be a chemical heat shock protein (HSP) inducer. With this information, the effects on the gene expression in human leukemia U937 cells treated with PF were investigated. METHODS: U937 cells, a human myelomonocytic cell line, were treated with PF at different concentrations (0-640 microg/ml). Expression level of Hsp70 was monitored by Western blotting. Gene expression was evaluated using high-density oligonucleotide microarrays and computational gene expression analysis tools and the results were verified by real-time quantitative PCR. RESULTS: Although cell viability was not affected after PF treatment at a high concentration of 640 microg/ml, PF treatment (80-640 microg/ml) significantly elevated Hsp70 expression in a concentration-dependent manner. When the cells were treated with PF (160 microg/ml; 30 min), 35 up-regulated and 29 down-regulated genes were identified. Among the differentially expressed genes, a significant genetic network containing CDC2, FOSL1 and EGR1 was associated with biological functions such as cell death, gene expression or cellular growth and proliferation. CONCLUSION: The present results indicate that PF affects the expression of many genes including Hsp70 and will provide a better understanding on the molecular mechanism of action of this compound in inducing HSPs in cells.","['Salunga, Thucydides L', 'Tabuchi, Yoshiaki', 'Takasaki, Ichiro', 'Feril, Loreto B Jr', 'Zhao, Qing-Li', 'Ohtsuka, Kenzo', 'Tsuneyama, Koichi', 'Kondo, Takashi']","['Salunga TL', 'Tabuchi Y', 'Takasaki I', 'Feril LB Jr', 'Zhao QL', 'Ohtsuka K', 'Tsuneyama K', 'Kondo T']","['Department of Diagnostic Pathology, Graduate School of Medicine and Pharmaceutical Sciences, University of Toyama, Toyama, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Int J Hyperthermia,"International journal of hyperthermia : the official journal of European Society for Hyperthermic Oncology, North American Hyperthermia Group",8508395,"['0 (Anti-Inflammatory Agents, Non-Steroidal)', '0 (Benzoates)', '0 (Bridged-Ring Compounds)', '0 (Glucosides)', '0 (HSP70 Heat-Shock Proteins)', '0 (Monoterpenes)', '21AIQ4EV64 (peoniflorin)']",IM,"['Anti-Inflammatory Agents, Non-Steroidal/*pharmacology', 'Apoptosis/drug effects', 'Benzoates/*pharmacology', 'Bridged-Ring Compounds/*pharmacology', 'Gene Expression Profiling', 'Gene Expression Regulation/*drug effects', 'Glucosides/*pharmacology', 'HSP70 Heat-Shock Proteins/drug effects/genetics/*metabolism', 'Humans', 'Monoterpenes', 'Oligonucleotide Array Sequence Analysis', 'U937 Cells', 'Up-Regulation']",2007/10/24 09:00,2008/01/04 09:00,['2007/10/24 09:00'],"['2007/10/24 09:00 [pubmed]', '2008/01/04 09:00 [medline]', '2007/10/24 09:00 [entrez]']","['783200751 [pii]', '10.1080/02656730701639499 [doi]']",ppublish,Int J Hyperthermia. 2007 Sep;23(6):529-37. doi: 10.1080/02656730701639499.,,,,,,,,,,,,,,,,,,,
