PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,RF,CN,GR,AID,TT,LID,DEP,CON,PMC,MID,CIN,CI,EIN,CRI,SI,GN,OID,RIN
17633453,NLM,MEDLINE,20100519,20190828,1000-503X (Print) 1000-503X (Linking),29,3,2007 Jun,[Identification of binding proteins to the PDZ domain of ERBIN].,307-11,"OBJECTIVE: To identify the binding proteins to PDZ domain of ERBIN. METHODS: Using PDZ domain of ERBIN as the bait, yeast two-hybrid technology was employed to screen the human lymphocyte leukemia cells MATCHMAKER cDNA library. The protein interaction was identified by immunoprecipitation. RESULTS: A PDZ-binding protein, TAX1, was identified. CONCLUSION: TAX1 is a novel binding protein to PDZ domain of ERBIN.","['Song, Chun-jiao', 'Zheng, De-xian', 'Liu, Yan-xin']","['Song CJ', 'Zheng DX', 'Liu YX']","['National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, CAMS and PUMC, Beijing 100005, China.']",['chi'],['Journal Article'],China,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,8006230,"['0 (Adaptor Proteins, Signal Transducing)', '0 (ERBIN protein, human)', '0 (Intracellular Signaling Peptides and Proteins)', '0 (Neoplasm Proteins)', '0 (TAX1BP1 protein, human)']",IM,"['Adaptor Proteins, Signal Transducing/*metabolism', 'Cell Line, Tumor', 'Humans', 'Immunoprecipitation', 'Intracellular Signaling Peptides and Proteins/*metabolism', 'Neoplasm Proteins/*metabolism', '*PDZ Domains', 'Protein Binding', 'Two-Hybrid System Techniques']",2007/07/19 09:00,2010/05/21 06:00,['2007/07/19 09:00'],"['2007/07/19 09:00 [pubmed]', '2010/05/21 06:00 [medline]', '2007/07/19 09:00 [entrez]']",ppublish,Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2007 Jun;29(3):307-11.,,,,,,,,,,,,,,,,,,
17633201,NLM,MEDLINE,20090629,20070717,0513-4870 (Print) 0513-4870 (Linking),42,4,2007 Apr,[Apoptosis induced by the C21 sterols in Baishouwu and its mechanism of action in hepatoma].,366-70,"This study is to investigate the effect of the C21 sterols on inducing apoptosis of hepatocellular cancer cells and its potential mechanism. The transplanted model of hepatoma substantiality (Heps) was established in mice, and the mice were divided into four groups: negative controls group and C21 sterols groups (10, 20, 40 mg x kg(-1)) , treated with drugs separately once a day for 9 days. Then the mice were sacrificed, the tumor growth inhibition rate (IR) was calculated and tumor tissue samples were taken and examined under electron microscope. The tumor cells were harvested and cell viability or apoptosis was analyzed by acridine orange and ethidium bromide (AO/EB) stain. B-cell lymphoma/leukemia-2 gene (bcl-2) in tumor cells was inspected by immunohistochemistry. After treatment with C21 sterols (10, 20, 40 mg x kg(-1)), inhibitory effect on the transplanted Heps was observed. The IR was 34.79%, 47.08% and 50.23%, respectively. Apoptosis induced by the C21 sterols was observed, low growth density and some apoptotic cells were observed in tumor under the electron microscope. The expression of bcl-2 gene on tumor cells decreased in the C21 sterols groups, but the percentage of positive area is higher in 40 mg x kg(-1) group than that in 20 mg x kg(-1) group, which differed from apoptosis results. Inhibiting the excessive expression of bcl-2 gene to promote apoptosis may be one of anti-tumor mechanisms for the C21 sterols in Baishouwu.","['Wang, Dong-yan', 'Zhang, Hong-quan', 'Li, Xin']","['Wang DY', 'Zhang HQ', 'Li X']","['Medical and Pharmacological Institute, Yangzhou University, Yangzhou 225001, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Yao Xue Xue Bao,Yao xue xue bao = Acta pharmaceutica Sinica,21710340R,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Sterols)']",IM,"['Animals', 'Antineoplastic Agents, Phytogenic/isolation & purification/pharmacology', 'Apoptosis/*drug effects', '*Cynanchum/chemistry', 'Female', 'Gene Expression Regulation, Neoplastic', 'Genes, bcl-2', 'Liver Neoplasms, Experimental/metabolism/*pathology/ultrastructure', 'Male', 'Mice', 'Mice, Inbred ICR', 'Neoplasm Transplantation', 'Plants, Medicinal/chemistry', 'Proto-Oncogene Proteins c-bcl-2/*metabolism', 'Random Allocation', 'Sterols/isolation & purification/*pharmacology', 'Tumor Burden/drug effects']",2007/07/18 09:00,2009/06/30 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2009/06/30 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Yao Xue Xue Bao. 2007 Apr;42(4):366-70.,,,,,,,,,,,,,,,,,,
17633103,NLM,MEDLINE,20070828,20151119,0485-1439 (Print) 0485-1439 (Linking),48,6,2007 Jun,[Reappearance of t(12;17)-positive primary myelofibrosis following Ph+ CML cell reduction by imatinib].,518-23,"A 67-years old woman was referred to our hospital in October 1992 with thrombocytopenia and splenomegaly. A bone marrow biopsy revealed decreased cellularity, with moderately increased reticulin fibrosis and discrete dysmorphic megakaryocytes but no signs of dysplasia in the erythroid or the myeloid lineages. The karyotype of the bone marrow cells was t(12;17) (q24;q11). She was diagnosed as having agnogenic myeloid metaplasia. The patient received only blood transfusions until November 1998 when leukocytosis with immature cells started to appear. The bone marrow aspiration analysis showed increased cellularity and chromosomal analysis demonstrated the presence of t(9;22) (q34;q11) without any t(12;17) (q24;q11) abnormality. Because IFN therapy and oral administration of hydroxyurea did not show any cytological effect, administration of imatinib mesylate was started from December 2001. The Ph-positive cells as demonstrated by the FISH method had decreased to 7% by April 2003. But the t(12;17)(q24;q11) positive clones, which were observed on the first admission, again appeared in the peripheral blood, whereas Ph clones were detected in only one out of 24 cells examined. During the course of treatment with imatinib mesylate for chronic myelogenous leukemia which developed from agnogenic myeloid metaplasia accompanied with t(12;17)(q24;q11) translocation, the co-existence of two clones derived from, possibly, stem cells was identified.","['Araki, Naoko', 'Takimoto, Rishu', 'Fujimi, Akihito', 'Murase, Kazuyuki', 'Araki, Hironobu', 'Takahira, Naoki', 'Matsunaga, Takuya', 'Terui, Takeshi', 'Kogawa, Katsuhisa', 'Hirayama, Yasuo', 'Kato, Junji', 'Niitsu, Yoshiro']","['Araki N', 'Takimoto R', 'Fujimi A', 'Murase K', 'Araki H', 'Takahira N', 'Matsunaga T', 'Terui T', 'Kogawa K', 'Hirayama Y', 'Kato J', 'Niitsu Y']","['Fourth Department of Internal Medicine, Sapporo Medical University School of Medicine.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Aged', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Benzamides', 'Chromosomes, Human, Pair 12/*genetics', 'Chromosomes, Human, Pair 17/*genetics', 'Female', 'Humans', 'Imatinib Mesylate', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*drug therapy', 'Piperazines/*adverse effects/therapeutic use', 'Primary Myelofibrosis/*etiology/genetics', 'Pyrimidines/*adverse effects/therapeutic use', 'Recurrence', '*Translocation, Genetic']",2007/07/18 09:00,2007/08/29 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Rinsho Ketsueki. 2007 Jun;48(6):518-23.,,,,,,,,,,,,,,,,,,
17633100,NLM,MEDLINE,20070828,20071115,0485-1439 (Print) 0485-1439 (Linking),48,6,2007 Jun,[Chronic eosinophilic leukemia with symptoms resembling Budd-Chiari syndrome due to liver infiltration].,505-9,"A 68-year-old woman was admitted to our hospital with severe ascites, hepatomegaly and hypereosinophilia. We initially suspected Budd-Chiari Syndrome (BCS), but that was ruled out after confirming the presence of no obstruction in the major veins. A molecular biologic examination proved the clonality of the eosinophils and she was therefore diagnosed as having chronic eosinophilic leukemia (CEL). The pathologic findings of a liver biopsy showed dilation of the sinusoids with infiltration of eosinophils, portal eosinophilic infiltrations with fibrosis, and biliary damage. These findings thus suggested infiltration of the liver by the CEL. A relationship between myeloproliferative disorders and BCS has been commonly reported, however there have so far been very few reports which describe the pathology of CEL liver infiltrates. As a result, the present case in which CEL occurred while demonstrating symptoms and findings similar to BCS is therefore considered to be extremely rare. Further accumulation of such cases should therefore be carried out in the future.","['Iriuchishima, Hirono', 'Ogawa, Yoshiyuki', 'Hoshino, Takumi', 'Yoshida, Takatomo', 'Sato, Ken', 'Takagi, Hitoshi', 'Toyama, Kotaro', 'Tsukamoto, Norifumi', 'Jinbo, Takahiro']","['Iriuchishima H', 'Ogawa Y', 'Hoshino T', 'Yoshida T', 'Sato K', 'Takagi H', 'Toyama K', 'Tsukamoto N', 'Jinbo T']","['Department of Internal Medicine, Fujioka Public Hospital.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Aged', 'Budd-Chiari Syndrome', 'Chronic Disease', 'Diagnosis, Differential', 'Female', 'Humans', 'Hypereosinophilic Syndrome/*diagnosis/*pathology', 'Liver/pathology', 'Liver Neoplasms/*diagnosis/*pathology', 'Neoplasm Invasiveness']",2007/07/18 09:00,2007/08/29 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Rinsho Ketsueki. 2007 Jun;48(6):505-9.,,,,,,,,,,,,,,,,,,
17633097,NLM,MEDLINE,20070828,20071115,0485-1439 (Print) 0485-1439 (Linking),48,6,2007 Jun,[Mucoepidermoid carcinoma of the parotid gland as a secondary malignancy developed ten years after chemotherapy for childhood acute lymphoblastic leukemia].,491-4,"We report on a case of mucoepidermoid carcinoma of the parotid gland following treatment of acute lymphoblastic leukemia (ALL) in childhood. The female patient was diagnosed as having T-cell ALL at the age of 13 years. Treatment included multidrug chemotherapy and prophylactic 18 Gy cranial irradiation. She developed low-grade mucoepidermoid carcinoma of the right parotid gland at the age of 24 years, the most probable cause of the secondary malignancy being radiation. In a literature review of mucoepidermoid carcinoma following ALL, 11 out of 14 cases received radiation therapy for the initial treatment of ALL, but 3 cases had no radiation therapy. The parotid gland carcinoma as a secondary malignancy following ALL in childhood is rare, but it highlights the need for concern about the secondary malignancy in patients with painless parotid swelling after chemoradiotherapy.","['Miyatima, Yuji', 'Ogawa, Akimasa', 'Kuno, Kuniyosi', 'Toda, Kosuke', 'Suzuki, Keisuke', 'Mituya, Akiharu']","['Miyatima Y', 'Ogawa A', 'Kuno K', 'Toda K', 'Suzuki K', 'Mituya A']","['Department of Pediatrics, Anjo Kosei Hospital.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,,IM,"['Adolescent', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols', 'Carcinoma, Mucoepidermoid/diagnosis/drug therapy/*etiology/radiotherapy', 'Combined Modality Therapy', 'Female', 'Humans', 'Neoplasms, Second Primary/diagnosis/drug therapy/*etiology/radiotherapy', 'Parotid Neoplasms/diagnosis/drug therapy/*etiology/radiotherapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*radiotherapy', 'Radiotherapy/adverse effects', 'T-Lymphocytes', 'Time Factors', 'Treatment Outcome']",2007/07/18 09:00,2007/08/29 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Rinsho Ketsueki. 2007 Jun;48(6):491-4.,17,,,,,,,,,,,,,,,,,
17633095,NLM,MEDLINE,20070828,20220114,0485-1439 (Print) 0485-1439 (Linking),48,6,2007 Jun,[Novel anti-CML agents beyond imatinib].,475-84,,"['Kimura, Shinya']",['Kimura S'],,['jpn'],"['Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Aniline Compounds)', '0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Benzene Derivatives)', '0 (Nitriles)', '0 (ON012380)', '0 (Piperazines)', '0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Quinolines)', '0 (Thiazoles)', '5018V4AEZ0 (bosutinib)', '639089-54-6 (VX680)', '8A1O1M485B (Imatinib Mesylate)', '8L70Q75FXE (Adenosine Triphosphate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'F41401512X (nilotinib)', 'NVW4Z03I9B (bafetinib)', 'RBZ1571X5H (Dasatinib)']",IM,"['Adenosine Triphosphate/metabolism', '*Aniline Compounds', '*Antineoplastic Agents/classification/metabolism', 'Benzamides', 'Benzene Derivatives', 'Binding Sites', 'Binding, Competitive', 'Dasatinib', '*Drug Design', 'Fusion Proteins, bcr-abl', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/etiology', '*Nitriles', '*Piperazines/metabolism', '*Protein Kinase Inhibitors/classification/metabolism', 'Protein-Tyrosine Kinases/antagonists & inhibitors/genetics', '*Pyrimidines/metabolism', '*Quinolines', '*Thiazoles']",2007/07/18 09:00,2007/08/29 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Rinsho Ketsueki. 2007 Jun;48(6):475-84.,52,,,,,,,,,,,,,,,,,
17633094,NLM,MEDLINE,20070828,20151119,0485-1439 (Print) 0485-1439 (Linking),48,6,2007 Jun,[Current status and future perspectives of the Glivec Registration System established by JSCH/JSH-TARGET].,468-74,,"['Kizaki, Masahiro']",['Kizaki M'],,['jpn'],['Journal Article'],Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', '*Databases, Factual', 'Female', 'Fusion Proteins, bcr-abl', '*Hematology', 'Humans', 'Imatinib Mesylate', 'Japan', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/genetics', 'Male', 'Piperazines/*therapeutic use', 'Prognosis', 'Protein-Tyrosine Kinases/genetics', 'Pyrimidines/*therapeutic use', 'Randomized Controlled Trials as Topic', '*Registries', '*Societies, Medical']",2007/07/18 09:00,2007/08/29 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Rinsho Ketsueki. 2007 Jun;48(6):468-74.,,['TARGET Investigators'],,,,,,,,,,,,,,,,
17633093,NLM,MEDLINE,20070828,20191210,0485-1439 (Print) 0485-1439 (Linking),48,6,2007 Jun,[Gemtuzumab ozogamicin as monotherapy and combination therapy for acute myelogenous leukemia].,458-67,,"['Usui, Noriko']",['Usui N'],,['jpn'],"['Journal Article', 'Review']",Japan,Rinsho Ketsueki,[Rinsho ketsueki] The Japanese journal of clinical hematology,2984782R,"['0 (Aminoglycosides)', '0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Humanized)', '0 (Antineoplastic Agents)', '83HN0GTJ6D (Cyclosporine)', '93NS566KF7 (Gemtuzumab)']",IM,"['Aminoglycosides/*administration & dosage/adverse effects', 'Antibodies, Monoclonal/*administration & dosage/adverse effects', 'Antibodies, Monoclonal, Humanized', 'Antineoplastic Agents/*administration & dosage/adverse effects', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Clinical Trials as Topic', 'Cyclosporine/administration & dosage', 'Drug Administration Schedule', 'Gemtuzumab', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid, Acute/*drug therapy', 'Treatment Outcome']",2007/07/18 09:00,2007/08/29 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/29 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Rinsho Ketsueki. 2007 Jun;48(6):458-67.,45,,,,,,,,,,,,,,,,,
17633027,NLM,MEDLINE,20070813,20210102,0065-2598 (Print) 0065-2598 (Linking),597,,2007,Targeting TRAfs for therapeutic intervention.,188-201,"TNF-receptor associated factors (TRAFs) are the molecules that upon engagement of the TNF-receptor (TNFR) by a TNF-family ligand come first in contact with the activated TNFR, initially acting as docking molecules for kinases and other effector proteins that are recruited to the activated receptor. TRAFs later regulate the subcellular relocalization of the receptor-ligand complex and finally they modulate the extent of the response by controlling the degradation of key proteins in the pathway. In this chapter, we review the involvement of different TRAF family members in the etiology of a variety of pathologies and address the question of whether the use of TNFR-mimic-peptides or small molecule modulators targeting TRAFs might be suitable for therapeutic intervention, discussing the advantages and disadvantages of this strategy.","['Zapata, Juan M', 'Lefebvre, Sophie', 'Reed, John C']","['Zapata JM', 'Lefebvre S', 'Reed JC']","['Burnham Institute for Medical Research, La Jolla, California 92037, USA. jzapata@burnham.org']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Review']",United States,Adv Exp Med Biol,Advances in experimental medicine and biology,0121103,['0 (Tumor Necrosis Factor Receptor-Associated Peptides and Proteins)'],IM,"['Animals', 'Communicable Diseases/drug therapy/*metabolism', '*Drug Delivery Systems', 'Humans', 'Leukemia/drug therapy/*metabolism', 'Lymphoma/drug therapy/*metabolism', 'Shock, Septic/drug therapy/*metabolism', 'Tumor Necrosis Factor Receptor-Associated Peptides and Proteins/*metabolism']",2007/07/18 09:00,2007/08/19 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/08/19 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Adv Exp Med Biol. 2007;597:188-201. doi: 10.1007/978-0-387-70630-6_15.,132,,"['CA 69381/CA/NCI NIH HHS/United States', 'DK67515/DK/NIDDK NIH HHS/United States', 'HD044803/HD/NICHD NIH HHS/United States']",['10.1007/978-0-387-70630-6_15 [doi]'],,,,,,,,,,,,,,
17632983,NLM,MEDLINE,20070918,20131121,0049-1101 (Print) 0049-1101 (Linking),51,2,2006,[Leg ulcer due to hydroxyurea. A case report].,89-91,"Hydroxyurea is an antineoplasic agent usually used in myeloproliferative syndromes, but also in other benign pathological circumstances. Several dermatological manifestations have been recognized as being secondary to its prolonged use, of which the leg ulcer. We report an observation. Mrs. L.D, 47 years, were hospitalized on July 14, 2004 for an ulcer of left ankle in a feverish context. She was followed since 2001 for a chronic myelogenous leukaemia, and took hydroxyurea at a rate of 1500 mg per day, with a good clinical and hematologic answer. She presented a painful ulcer compared to the left external malleolus, with purulent bottom, without signs of vascular attack. The hemogram showed a hyperleucocytosis with 24.000 white elements/mm3 with neutrophilic polynucleosis. Pus sample on the ulcer showed Pseudomonas aeruginosa, and the blood culture was negative. The cure was obtained two months after stopping hydroxyurea. The ulcer of leg related to hydroxyurea is a seldom described pathology. Its occurrence imposes the final stop of the treatment.","['Gning, S B', 'Debonne, J M', 'Diagne-Gueye, N M', 'Ndiaye, B', 'Fall, F', 'Mbaye, P S']","['Gning SB', 'Debonne JM', 'Diagne-Gueye NM', 'Ndiaye B', 'Fall F', 'Mbaye PS']","['Services medicaux. Hopital Principal de Dakar, BP 3006, Dakar, Senegal. saragning@yahoo.fr']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",Senegal,Dakar Med,Dakar medical,7907630,"['0 (Antineoplastic Agents)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Antineoplastic Agents/administration & dosage/*adverse effects', 'Female', 'Humans', 'Hydroxyurea/administration & dosage/*adverse effects', 'Leg Ulcer/*chemically induced', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/drug therapy', 'Middle Aged']",2007/07/18 09:00,2007/09/19 09:00,['2007/07/18 09:00'],"['2007/07/18 09:00 [pubmed]', '2007/09/19 09:00 [medline]', '2007/07/18 09:00 [entrez]']",ppublish,Dakar Med. 2006;51(2):89-91.,,,,,Ulcere de jambe lie a l'hydroxyuree. A propos d'une observation.,,,,,,,,,,,,,
