PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,AD,GR,CN,EIN,PMC,RF,CON,TT,CI,MID,CIN,SI,OID,LID,RIN,GN
17525727,NLM,MEDLINE,20071025,20130304,0887-6924 (Print) 0887-6924 (Linking),21,10,2007 Oct,Treatment outcome in adults with acute lymphoblastic leukemia: 50% long-term disease-free survival.,2203-4,"['Tjonnfjord, G E', 'Gedde-Dahl, T 3rd', 'Heldal, D', 'Brinch, L']","['Tjonnfjord GE', 'Gedde-Dahl T 3rd', 'Heldal D', 'Brinch L']",['eng'],['Letter'],20070524,England,Leukemia,Leukemia,8704895,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Antineoplastic Agents/therapeutic use', 'Cohort Studies', 'Disease-Free Survival', 'Female', 'Follow-Up Studies', 'Humans', 'Immunophenotyping', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*mortality/*therapy', 'Recurrence', 'Remission Induction', 'Treatment Outcome']",2007/05/26 09:00,2007/10/27 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/10/27 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404751 [pii]', '10.1038/sj.leu.2404751 [doi]']",ppublish,Leukemia. 2007 Oct;21(10):2203-4. doi: 10.1038/sj.leu.2404751. Epub 2007 May 24.,,,,,,,,,,,,,,,,,
17525726,NLM,MEDLINE,20070925,20130304,0887-6924 (Print) 0887-6924 (Linking),21,8,2007 Aug,The Wilms' tumor gene WT1-GFP knock-in mouse reveals the dynamic regulation of WT1 expression in normal and leukemic hematopoiesis.,1783-91,"['Hosen, N', 'Shirakata, T', 'Nishida, S', 'Yanagihara, M', 'Tsuboi, A', 'Kawakami, M', 'Oji, Y', 'Oka, Y', 'Okabe, M', 'Tan, B', 'Sugiyama, H', 'Weissman, I L']","['Hosen N', 'Shirakata T', 'Nishida S', 'Yanagihara M', 'Tsuboi A', 'Kawakami M', 'Oji Y', 'Oka Y', 'Okabe M', 'Tan B', 'Sugiyama H', 'Weissman IL']",['eng'],"['Comparative Study', 'Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",20070524,England,Leukemia,Leukemia,8704895,"['0 (WT1 Proteins)', '147336-22-9 (Green Fluorescent Proteins)']",IM,"['Animals', 'Bone Marrow', 'Cell Proliferation', 'Colony-Forming Units Assay', 'Disease Models, Animal', 'Female', '*Gene Expression Regulation, Neoplastic', 'Genes, Wilms Tumor', 'Green Fluorescent Proteins/genetics/*metabolism', '*Hematopoiesis', 'Hematopoietic Stem Cells/cytology/*metabolism/pathology', 'Humans', 'Immunophenotyping', 'Lentivirus', 'Leukemia, Experimental/genetics/*metabolism/pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/genetics/metabolism/*pathology', 'Male', 'Mice', 'Mice, Inbred C57BL', 'Neoplastic Stem Cells/pathology', 'Transfection', 'WT1 Proteins/genetics/*physiology']",2007/05/26 09:00,2007/09/26 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/09/26 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404752 [pii]', '10.1038/sj.leu.2404752 [doi]']",ppublish,Leukemia. 2007 Aug;21(8):1783-91. doi: 10.1038/sj.leu.2404752. Epub 2007 May 24.,"The Wilms' tumor gene WT1 is overexpressed in most of human leukemias regardless of disease subtypes. To characterize the expression pattern of WT1 during normal and neoplastic hematopoiesis, we generated a knock-in reporter green fluorescent protein (GFP) mouse (WT1(GFP/+)) and assayed for WT1 expression in normal and leukemic hematopoietic cells. In normal hematopoietic cells, WT1 was expressed in none of the long-term (LT) hematopoietic stem cells (HSC) and very few (<1%) of the multipotent progenitor cells. In contrast, in murine leukemias induced by acute myeloid leukemia 1 (AML1)/ETO+TEL/PDGFbetaR or BCR/ABL, WT1 was expressed in 40.5 or 38.9% of immature c-kit(+)lin(-)Sca-1(+) (KLS) cells, which contained a subset, but not all, of transplantable leukemic stem cells (LSCs). WT1 expression was minimal in normal fetal liver HSCs and mobilized HSCs, both of which are stimulated for proliferation. In addition, overexpression of WT1 in HSCs did not result in proliferation or expansion of HSCs and their progeny in vivo. Thus, the mechanism by which expansion of WT1-expressing cells occurs in leukemia remains unclear. Nevertheless, our results demonstrate that the WT1(GFP/+) mouse is a powerful tool for analyzing WT1-expressing cells, and they highlight the potential of WT1, as a specific therapeutic target that is expressed in LSCs but not in normal HSCs.","['Institute for Stem Cell Biology and Regenerative Medicine, Stanford University School of Medicine, Stanford, CA, USA. hnaoki@stanford.edu']","['CA55209/CA/NCI NIH HHS/United States', 'CA86017/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
17525725,NLM,MEDLINE,20070925,20201215,0887-6924 (Print) 0887-6924 (Linking),21,8,2007 Aug,Aberrant marker expression patterns on the CD34+CD38- stem cell compartment in acute myeloid leukemia allows to distinguish the malignant from the normal stem cell compartment both at diagnosis and in remission.,1700-7,"['van Rhenen, A', 'Moshaver, B', 'Kelder, A', 'Feller, N', 'Nieuwint, A W M', 'Zweegman, S', 'Ossenkoppele, G J', 'Schuurhuis, G J']","['van Rhenen A', 'Moshaver B', 'Kelder A', 'Feller N', 'Nieuwint AW', 'Zweegman S', 'Ossenkoppele GJ', 'Schuurhuis GJ']",['eng'],"['Comparative Study', 'Journal Article']",20070524,England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD34)', '0 (Biomarkers, Tumor)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase 1/*metabolism', 'Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antigens, CD34/*metabolism', 'Biomarkers, Tumor/*metabolism', 'Bone Marrow/metabolism/pathology', 'Female', 'Flow Cytometry', 'Hematopoietic Stem Cells/cytology/*metabolism', 'Humans', 'Immunophenotyping', 'In Situ Hybridization, Fluorescence', 'Leukemia, Myeloid/*diagnosis/metabolism', 'Male', 'Middle Aged', 'Neoplasm, Residual/*diagnosis/metabolism', 'Neoplastic Stem Cells/*metabolism/pathology', 'Prognosis', 'Remission Induction', 'Risk Factors', 'Survival Rate']",2007/05/26 09:00,2007/09/26 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/09/26 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404754 [pii]', '10.1038/sj.leu.2404754 [doi]']",ppublish,Leukemia. 2007 Aug;21(8):1700-7. doi: 10.1038/sj.leu.2404754. Epub 2007 May 24.,"Acute myeloid leukemia (AML) is generally regarded as a stem cell disease. In CD34-positive AML, the leukemic stem cell has been recognized as CD38 negative. This CD34+CD38- population survives chemotherapy and is most probable the cause of minimal residual disease (MRD). The outgrowth of MRD causes relapse and MRD can therefore serve as a prognostic marker. The key role of leukemogenic CD34+CD38- cells led us to investigate whether they can be detected under MRD conditions. Various markers were identified to be aberrantly expressed on the CD34+CD38- population in AML and high-risk MDS samples at diagnosis, including C-type lectin-like molecule-1 and several lineage markers/marker-combinations. Fluorescent in situ hybridization analysis revealed that marker-positive cells were indeed of malignant origin. The markers were neither expressed on normal CD34+CD38- cells in steady-state bone marrow (BM) nor in BM after chemotherapy. We found that these markers were indeed expressed in part of the patients on malignant CD34+CD38- cells in complete remission, indicating the presence of malignant CD34+CD38- cells. Thus, by identifying residual malignant CD34+CD38- cells after chemotherapy, MRD detection at the stem cell level turned out to be possible. This might facilitate characterization of these chemotherapy-resistant leukemogenic cells, thereby being of help to identify new targets for therapy.","['Department of Hematology, VU University Medical Center, Amsterdam, The Netherlands.']",,,,,,,,,,,,,,,
17525724,NLM,MEDLINE,20070925,20170922,0887-6924 (Print) 0887-6924 (Linking),21,8,2007 Aug,Apoptosis induced by histone deacetylase inhibitors in leukemic cells is mediated by Bim and Noxa.,1773-82,"['Inoue, S', 'Riley, J', 'Gant, T W', 'Dyer, M J S', 'Cohen, G M']","['Inoue S', 'Riley J', 'Gant TW', 'Dyer MJ', 'Cohen GM']",['eng'],['Journal Article'],20070524,England,Leukemia,Leukemia,8704895,"['0 (Adaptor Proteins, Signal Transducing)', '0 (Apoptosis Regulatory Proteins)', '0 (BAK1 protein, human)', '0 (BCL2L11 protein, human)', '0 (BMF protein, human)', '0 (Bcl-2-Like Protein 11)', '0 (Enzyme Inhibitors)', '0 (Histone Deacetylase Inhibitors)', '0 (Membrane Proteins)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (PMAIP1 protein, human)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (RNA, Messenger)', '0 (Reactive Oxygen Species)', '0 (Tumor Suppressor Protein p53)', '0 (bcl-2 Homologous Antagonist-Killer Protein)']",IM,"['Adaptor Proteins, Signal Transducing/antagonists & inhibitors/genetics/metabolism', 'Apoptosis/*drug effects', 'Apoptosis Regulatory Proteins/antagonists & inhibitors/genetics/*metabolism', 'Bcl-2-Like Protein 11', 'Blotting, Western', 'Cell Line', 'Cell Nucleus/metabolism', 'Enzyme Inhibitors/*pharmacology', '*Histone Deacetylase Inhibitors', 'Humans', 'Immunoprecipitation', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/metabolism/pathology', 'Membrane Proteins/antagonists & inhibitors/genetics/*metabolism', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/metabolism', 'Proto-Oncogene Proteins/antagonists & inhibitors/genetics/*metabolism', 'Proto-Oncogene Proteins c-bcl-2/antagonists & inhibitors/genetics/*metabolism', 'RNA Interference', 'RNA, Messenger/genetics/metabolism', 'Reactive Oxygen Species/metabolism', 'Transcriptional Activation', 'Tumor Cells, Cultured', 'Tumor Suppressor Protein p53/metabolism', 'bcl-2 Homologous Antagonist-Killer Protein/antagonists & inhibitors/genetics/metabolism']",2007/05/26 09:00,2007/09/26 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/09/26 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404760 [pii]', '10.1038/sj.leu.2404760 [doi]']",ppublish,Leukemia. 2007 Aug;21(8):1773-82. doi: 10.1038/sj.leu.2404760. Epub 2007 May 24.,"Several histone deacetylase inhibitors (HDACi), which have recently entered early clinical trials, exert their anticancer activity in part through the induction of apoptosis although the precise mechanism of this induction is not known. Induction of apoptosis by structurally diverse HDACi in primary cells from patients with chronic lymphocytic leukemia (CLL) and different leukemic cell lines was mediated by the Bcl-2 regulated intrinsic pathway and demonstrated a requirement for de novo protein synthesis. A marked time-dependent induction of the pro-apoptotic BH3-only proteins, Bim, Noxa and Bmf was observed, which preceded the induction of apoptosis. A key role for both Bim and Noxa was proposed in HDACi-mediated apoptosis based on our findings that siRNA for Bim and Noxa but not Bmf largely prevented the HDACi-induced loss in mitochondrial membrane potential, caspase processing and phosphatidylserine externalization. Noxa, induced by HDACi, in CLL cells and tumor cell lines, bound extensively to Mcl-1, a major anti-apoptotic Bcl-2 family member present in CLL cells. Our data strongly suggests that HDACi induce apoptosis primarily through inactivation of anti-apoptotic Bcl-2 family members by increases in Bim and Noxa and highlights these increases as a potential clinical target for CLL/lymphoma therapy.","['MRC Toxicology Unit, Hodgkin Building, University of Leicester, Leicester, UK.']","['MC_U132615750/Medical Research Council/United Kingdom', 'MC_U132670597/Medical Research Council/United Kingdom']",,,,,,,,,,,,,,
17525723,NLM,MEDLINE,20071025,20130304,0887-6924 (Print) 0887-6924 (Linking),21,10,2007 Oct,The T1790A BRAF mutation (L597Q) in childhood acute lymphoblastic leukemia is a functional oncogene.,2216-8,"['Hou, P', 'Liu, D', 'Xing, M']","['Hou P', 'Liu D', 'Xing M']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20070524,England,Leukemia,Leukemia,8704895,"['EC 2.7.11.1 (BRAF protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins B-raf)']",IM,"['Animals', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Mice', 'Mutagenesis, Site-Directed', '*Mutation', 'Mutation, Missense', 'NIH 3T3 Cells', 'Oncogenes/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/*genetics', 'Proto-Oncogene Proteins B-raf/*genetics/*physiology']",2007/05/26 09:00,2007/10/27 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/10/27 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404761 [pii]', '10.1038/sj.leu.2404761 [doi]']",ppublish,Leukemia. 2007 Oct;21(10):2216-8. doi: 10.1038/sj.leu.2404761. Epub 2007 May 24.,,,,,,,,,,,,,,,,,
17525722,NLM,MEDLINE,20070925,20171116,0887-6924 (Print) 0887-6924 (Linking),21,8,2007 Aug,Proinflammatory response of human leukemic cells to dsRNA transfection linked to activation of dendritic cells.,1691-9,"['Smits, E L J M', 'Ponsaerts, P', 'Van de Velde, A L R', 'Van Driessche, A', 'Cools, N', 'Lenjou, M', 'Nijs, G', 'Van Bockstaele, D R', 'Berneman, Z N', 'Van Tendeloo, V F I']","['Smits EL', 'Ponsaerts P', 'Van de Velde AL', 'Van Driessche A', 'Cools N', 'Lenjou M', 'Nijs G', 'Van Bockstaele DR', 'Berneman ZN', 'Van Tendeloo VF']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20070524,England,Leukemia,Leukemia,8704895,"['0 (Cytokines)', '0 (Interferon Type I)', '0 (RNA, Double-Stranded)', '0 (TLR3 protein, human)', '0 (Toll-Like Receptor 3)', '82115-62-6 (Interferon-gamma)', 'O84C90HH2L (Poly I-C)']",IM,"['Acute Disease', 'Cells, Cultured', 'Coculture Techniques', 'Cytokines/metabolism', 'Dendritic Cells/*immunology', 'Electroporation', 'Flow Cytometry', 'Humans', 'Interferon Type I/immunology', 'Interferon-gamma/immunology', 'Leukemia, Myeloid/*genetics/immunology/pathology', 'Lymphocyte Activation', 'Poly I-C/metabolism', 'RNA, Double-Stranded/*genetics', 'T-Lymphocytes/*immunology', 'Th1 Cells/immunology', 'Toll-Like Receptor 3/genetics/*metabolism', '*Transfection']",2007/05/26 09:00,2007/09/26 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/09/26 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404763 [pii]', '10.1038/sj.leu.2404763 [doi]']",ppublish,Leukemia. 2007 Aug;21(8):1691-9. doi: 10.1038/sj.leu.2404763. Epub 2007 May 24.,"Leukemic cells exert immunosuppressive effects that interfere with dendritic cell (DC) function and hamper effective antileukemic immune responses. Here, we sought to enhance the immunogenicity of leukemic cells by loading them with the double-stranded (ds) RNA Toll-like receptor 3 (TLR3) ligand polyriboinosinic polyribocytidylic acid (poly(I:C)), mimicking viral infection of the tumor cells. Given the responsiveness of DC to TLR ligands, we hypothesized that the uptake of poly(I:C)-loaded leukemic cells by immature DC (iDC) would lead to DC activation. Primary acute myeloid leukemia (AML) cells and AML cell lines markedly responded to poly(I:C) electroporation by apoptosis, upregulation of TLR3 expression, enhanced expression of major histocompatibility complex (MHC) and costimulatory molecules and by production of type I interferons (IFN). Upon phagocytosis of poly(I:C)-electroporated AML cells, DC maturation and activation were induced as judged by an increased expression of MHC and costimulatory molecules, production of proinflammatory cytokines and an increase of T helper 1 (T(H)1)-polarizing capacity. These immune effects were suboptimal when AML cells were passively pulsed with poly(I:C), indicating the superiority of poly(I:C) transfection over pulsing. Our results demonstrate that poly(I:C) electroporation is a promising strategy to increase the immunogenicity of AML cells and to convert iDC into activated mature DC following the phagocytosis of AML cells.","['Laboratory of Experimental Hematology, Faculty of Medicine, Antwerp University Hospital, University of Antwerp, Antwerp, Belgium.']",,,,,,,,,,,,,,,
17525721,NLM,MEDLINE,20071025,20130304,0887-6924 (Print) 0887-6924 (Linking),21,10,2007 Oct,N822 mutation of KIT gene was frequent in pediatric acute myeloid leukemia patients with t(8;21) in Japan: a study of the Japanese childhood AML cooperative study group.,2218-9,"['Shimada, A', 'Taki, T', 'Kubota, C', 'Itou, T', 'Tawa, A', 'Horibe, K', 'Tsuchida, M', 'Hanada, R', 'Tsukimoto, I', 'Hayashi, Y']","['Shimada A', 'Taki T', 'Kubota C', 'Itou T', 'Tawa A', 'Horibe K', 'Tsuchida M', 'Hanada R', 'Tsukimoto I', 'Hayashi Y']",['eng'],['Letter'],20070524,England,Leukemia,Leukemia,8704895,['EC 2.7.10.1 (Proto-Oncogene Proteins c-kit)'],IM,"['Bone Marrow Cells/metabolism', 'Child', '*Chromosomes, Human, Pair 21', '*Chromosomes, Human, Pair 8', 'Exons', 'Humans', 'Japan', 'Leukemia, Myeloid, Acute/ethnology/*genetics/*pathology', '*Mutation', 'Oncogenes', 'Protein Structure, Tertiary', 'Proto-Oncogene Proteins c-kit/*genetics/*physiology', 'Remission Induction', '*Translocation, Genetic']",2007/05/26 09:00,2007/10/27 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/10/27 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404766 [pii]', '10.1038/sj.leu.2404766 [doi]']",ppublish,Leukemia. 2007 Oct;21(10):2218-9. doi: 10.1038/sj.leu.2404766. Epub 2007 May 24.,,,,['Japanese childhood AML cooperative study group'],,,,,,,,,,,,,
17525720,NLM,MEDLINE,20071025,20131121,0887-6924 (Print) 0887-6924 (Linking),21,10,2007 Oct,"Fludarabine, mitoxantrone and dexamethasone as first-line treatment for T-cell large granular lymphocyte leukemia.",2225-6,"['Tse, E', 'Chan, J C W', 'Pang, A', 'Au, W-Y', 'Leung, A Y H', 'Lam, C C K', 'Kwong, Y-L']","['Tse E', 'Chan JC', 'Pang A', 'Au WY', 'Leung AY', 'Lam CC', 'Kwong YL']",['eng'],['Letter'],20070524,England,Leukemia,Leukemia,8704895,"['7S5I7G3JQL (Dexamethasone)', 'BZ114NVM5P (Mitoxantrone)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",IM,"['Adult', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Dexamethasone/*administration & dosage', 'Female', 'Humans', 'Leukemia, T-Cell/*drug therapy', 'Lymphoma, Large B-Cell, Diffuse/*drug therapy', 'Male', 'Medical Oncology/methods', 'Mitoxantrone/*administration & dosage', 'Treatment Outcome', 'Vidarabine/administration & dosage/*analogs & derivatives']",2007/05/26 09:00,2007/10/27 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/10/27 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404767 [pii]', '10.1038/sj.leu.2404767 [doi]']",ppublish,Leukemia. 2007 Oct;21(10):2225-6. doi: 10.1038/sj.leu.2404767. Epub 2007 May 24.,,,,,['Leukemia. 2007 Dec;21(12):2577'],,,,,,,,,,,,
17525719,NLM,MEDLINE,20071025,20130304,0887-6924 (Print) 0887-6924 (Linking),21,10,2007 Oct,Morphometry and mathematical modelling of the capillary-like patterns formed in vitro by bone marrow macrophages of patients with multiple myeloma.,2201-3,"['Guidolin, D', 'Nico, B', 'Belloni, A S', 'Nussdorfer, G G', 'Vacca, A', 'Ribatti, D']","['Guidolin D', 'Nico B', 'Belloni AS', 'Nussdorfer GG', 'Vacca A', 'Ribatti D']",['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",20070524,England,Leukemia,Leukemia,8704895,"['0 (Drug Combinations)', '0 (Laminin)', '0 (Proteoglycans)', '119978-18-6 (matrigel)', '9007-34-5 (Collagen)']",IM,"['Bone Marrow/metabolism', 'Bone Marrow Cells/*metabolism', 'Capillaries/*pathology', 'Cell Differentiation', 'Cells, Cultured', 'Collagen/chemistry', 'Computer Simulation', 'Disease Progression', 'Drug Combinations', 'Endothelial Cells/metabolism', 'Humans', 'Laminin/chemistry', 'Macrophages/*metabolism', 'Models, Biological', 'Models, Theoretical', 'Multiple Myeloma/*metabolism/pathology', 'Neovascularization, Pathologic', 'Proteoglycans/chemistry']",2007/05/26 09:00,2007/10/27 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/10/27 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404771 [pii]', '10.1038/sj.leu.2404771 [doi]']",ppublish,Leukemia. 2007 Oct;21(10):2201-3. doi: 10.1038/sj.leu.2404771. Epub 2007 May 24.,,,,,,,,,,,,,,,,,
17525718,NLM,MEDLINE,20070925,20201209,0887-6924 (Print) 0887-6924 (Linking),21,8,2007 Aug,MN1 overexpression is an important step in the development of inv(16) AML.,1679-90,"['Carella, C', 'Bonten, J', 'Sirma, S', 'Kranenburg, T A', 'Terranova, S', 'Klein-Geltink, R', 'Shurtleff, S', 'Downing, J R', 'Zwarthoff, E C', 'Liu, P P', 'Grosveld, G C']","['Carella C', 'Bonten J', 'Sirma S', 'Kranenburg TA', 'Terranova S', 'Klein-Geltink R', 'Shurtleff S', 'Downing JR', 'Zwarthoff EC', 'Liu PP', 'Grosveld GC']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', 'Research Support, N.I.H., Intramural', ""Research Support, Non-U.S. Gov't""]",20070524,England,Leukemia,Leukemia,8704895,"['0 (CBFbeta-MYH11 fusion protein)', '0 (Mn1 protein, mouse)', '0 (Oncogene Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Trans-Activators)', '0 (Tumor Suppressor Proteins)']",IM,"['Acute Disease', 'Animals', 'Bone Marrow Transplantation', 'Cells, Cultured', '*Chromosome Inversion', 'Chromosomes, Human, Pair 16/*genetics', 'Female', 'Flow Cytometry', 'Gene Expression Regulation, Neoplastic/*physiology', 'Humans', 'Leukemia, Myeloid/*etiology/metabolism/pathology', 'Mice', 'Mice, Transgenic', 'Myeloproliferative Disorders/etiology/metabolism/pathology', 'Oncogene Proteins/*genetics', 'Oncogene Proteins, Fusion/genetics/metabolism', 'Survival Rate', 'Trans-Activators', 'Translocation, Genetic/*genetics', 'Tumor Suppressor Proteins']",2007/05/26 09:00,2007/09/26 09:00,['2007/05/26 09:00'],"['2007/05/26 09:00 [pubmed]', '2007/09/26 09:00 [medline]', '2007/05/26 09:00 [entrez]']","['2404778 [pii]', '10.1038/sj.leu.2404778 [doi]']",ppublish,Leukemia. 2007 Aug;21(8):1679-90. doi: 10.1038/sj.leu.2404778. Epub 2007 May 24.,"The gene encoding the transcriptional co-activator MN1 is the target of the reciprocal chromosome translocation (12;22)(p13;q12) in some patients with acute myeloid leukemia (AML). In addition, expression array analysis showed that MN1 was overexpressed in AML specified by inv(16), in some AML overexpressing ecotropic viral integration 1 site (EVI1) and in some AML without karyotypic abnormalities. Here we describe that mice receiving transplants of bone marrow (BM) overexpressing MN1 rapidly developed myeloproliferative disease (MPD). This BM also generated myeloid cell lines in culture. By mimicking the situation in human inv(16) AML, forced coexpression of MN1 and Cbfbeta-SMMHC rapidly caused AML in mice. These findings identify MN1 as a highly effective hematopoietic oncogene and suggest that MN1 overexpression is an important cooperative event in human inv(16) AML.","[""Department of Genetics and Tumor Cell Biology, St Jude Children's Research Hospital, Memphis, TN 38105-0318, USA.""]","['CA021765/CA/NCI NIH HHS/United States', 'CA72999/CA/NCI NIH HHS/United States', 'Intramural NIH HHS/United States']",,,,,,,,,,,,,,
