PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,PMC,MID,CIN,CI,DEP,RF,SI,CN,CON,TT,LID,EIN,COIS,RIN,GN,OID,ROF
17315232,NLM,MEDLINE,20070521,20091119,0008-543X (Print) 0008-543X (Linking),109,6,2007 Mar 15,Overexpression of CXCR4 predicts adverse overall and event-free survival in patients with unmutated FLT3 acute myeloid leukemia with normal karyotype.,1152-6,"BACKGROUND: CXC chemokine receptor 4 (CXCR4) expression in acute myeloid leukemia (AML) is reported to correlate with FLT3 gene mutation and poorer prognosis. The prognostic significance of CXCR4 expression in patients with AML that have a normal karyotype and no evidence of FLT3 gene mutations was examined. METHODS: The prognostic significance of CXCR4 expression in 122 AML patients with normal karyotype and no evidence of FLT3 gene mutation treated at our institution between 1997 and 2003 was analyzed. All patients received intensive chemotherapy according to institutional protocols; 84% received cytarabine-containing regimens. Bone marrow biopsy or clot specimens obtained before treatment were immunostained for CXCR4. RESULTS: There were 70 men and 52 women with a median age of 62 years (range, 22-82 years). Median follow-up was 18 months (range, <1-97 months). Seventy-six patients achieved complete remission (CR); 39 had recurrence. Sixty-six patients died, including 9 with no evidence of disease. CXCR4 was positive in 70 and negative in 52 patients, with CR rates of 58% and 71%, respectively (P = .09). Multivariate analysis demonstrated that CXCR4 expression, presence of multilineage dysplasia, and high creatinine level predicted poorer overall (OS) and event-free (EFS) survival. CONCLUSIONS.: The results suggest that CXCR4 expression is associated with poor prognosis in AML patients with an unmutated FLT3 gene.","['Konoplev, Sergej', 'Rassidakis, Georgios Z', 'Estey, Elihu', 'Kantarjian, Hagop', 'Liakou, Chrysoula I', 'Huang, Xuelin', 'Xiao, Lianchun', 'Andreeff, Michael', 'Konopleva, Marina', 'Medeiros, L Jeffrey']","['Konoplev S', 'Rassidakis GZ', 'Estey E', 'Kantarjian H', 'Liakou CI', 'Huang X', 'Xiao L', 'Andreeff M', 'Konopleva M', 'Medeiros LJ']","['Department of Hematopathology, University of Texas M. D. Anderson Cancer Center, Houston, Texas, USA.']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Receptors, CXCR4)', 'EC 2.7.10.1 (FLT3 protein, human)', 'EC 2.7.10.1 (fms-Like Tyrosine Kinase 3)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Disease-Free Survival', 'Female', 'Humans', 'Immunohistochemistry', 'Karyotyping', 'Leukemia, Myeloid, Acute/*diagnosis/genetics/pathology', 'Male', 'Middle Aged', 'Mutation', 'Prognosis', 'Receptors, CXCR4/*analysis/*metabolism', 'fms-Like Tyrosine Kinase 3/genetics']",2007/02/23 09:00,2007/05/22 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/05/22 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/cncr.22510 [doi]'],ppublish,Cancer. 2007 Mar 15;109(6):1152-6. doi: 10.1002/cncr.22510.,,,,,,,,,,,,,,,,,,
17315216,NLM,MEDLINE,20070921,20161124,0361-8609 (Print) 0361-8609 (Linking),82,8,2007 Aug,The SOCS-1 gene methylation in chronic myeloid leukemia patients.,729-30,"SOCS-1, an important protein in the JAK/STAT pathway, has a role in the down stream of BCR-ABL protein kinase. We investigated 56 CML patients and 16 controls for the methylation status of SOCS-1 gene promoter and Exon 2 regions. Exon 2 was found to be methylated in 58.9% of the patients and 93.8% of the controls [P = 0.020, OR = 0.121(0.015-0.957)%95CI]. The promoter region was found unmethylated in all patient samples and controls. Although previous studies revealed a relation between SOCS1 gene Exon-2 hypermethylation and CML development or progression, the results of this study showed no such correlation. On the contrary, our results might be indicating hypomethylation in CML patients, this hypothesis need to be studied in larger study population.","['Hatirnaz, Ozden', 'Ure, Umit', 'Ar, Cem', 'Akyerli, Cemaliye', 'Soysal, Teoman', 'Ferhanoglu, Burhan', 'Ozcelik, Tayfun', 'Ozbek, Ugur']","['Hatirnaz O', 'Ure U', 'Ar C', 'Akyerli C', 'Soysal T', 'Ferhanoglu B', 'Ozcelik T', 'Ozbek U']","['Institute for Experimental Medical Research (DETAE), Genetics Department, Istanbul, Turkey.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,"['0 (SOCS1 protein, human)', '0 (Suppressor of Cytokine Signaling 1 Protein)', '0 (Suppressor of Cytokine Signaling Proteins)']",IM,"['Adult', '*DNA Methylation', 'Exons/genetics', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics/*metabolism/pathology', 'Male', 'Middle Aged', 'Suppressor of Cytokine Signaling 1 Protein', 'Suppressor of Cytokine Signaling Proteins/*genetics/*metabolism']",2007/02/23 09:00,2007/09/22 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/09/22 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/ajh.20886 [doi]'],ppublish,Am J Hematol. 2007 Aug;82(8):729-30. doi: 10.1002/ajh.20886.,,,,,,,,,,,,,,,,,,
17315214,NLM,MEDLINE,20070831,20071115,0361-8609 (Print) 0361-8609 (Linking),82,7,2007 Jul,Granulocytic sarcoma: an unusual cause of compressive myelopathy.,687-8,,"['Chauhan, S', 'Suri, V', 'Varma, S', 'Malhotra, P', 'Varma, N', 'Kaur, A', 'Chhabra, R']","['Chauhan S', 'Suri V', 'Varma S', 'Malhotra P', 'Varma N', 'Kaur A', 'Chhabra R']",,['eng'],"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/pathology', 'Middle Aged', 'Sarcoma, Myeloid/*complications/*pathology', 'Spinal Cord Compression/*etiology/*pathology']",2007/02/23 09:00,2007/09/01 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/09/01 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/ajh.20871 [doi]'],ppublish,Am J Hematol. 2007 Jul;82(7):687-8. doi: 10.1002/ajh.20871.,,,,,,,,,,,,,,,,,,
17315213,NLM,MEDLINE,20070921,20171116,0361-8609 (Print) 0361-8609 (Linking),82,8,2007 Aug,Igbeta(CD79b) mRNA expression in chronic lymphocytic leukaemia cells correlates with immunoglobulin heavy chain gene mutational status but does not serve as an independent predictor of clinical severity.,712-20,"The etiology of chronic lymphocytic leukemia (CLL) is poorly understood and its course is highly variable. Somatic hypermutation (SHM) of the immunoglobulin heavy chain (IgV(H)) gene and ZAP70 protein expression have been reported as prognostic indicators. However, these assays are not widely available and their concordance is imperfect. Thus a need exists to identify additional molecular determinants of CLL. The Igbeta (CD79b) subunit of the B cell antigen receptor is essential for B lymphocyte function. Defects in Igbeta expression are implicated in CLL pathogenesis. We have analyzed Igbeta mRNA expression in CLL cells in 40 consecutive patient samples. About 75% of the samples showed the expected decrease of Igbeta surface staining. Igbeta mRNA levels covered a wider range, did not correlate with Igbeta surface staining, but clearly distinguished the normal and CLL lymphocyte populations. Remarkably, Igbeta mRNA levels correlated strongly with SHM; Igbeta mRNA levels in CLL cells were significantly higher in patients with an unmutated IgV(H) gene when compared with those in whom IgV(H) was hypermutated (P = 0.008). In contrast, no correlation was observed between Igbeta mRNA levels and ZAP70 expression. Multiple parameters abstracted from chart reviews were used to estimate severity of CLL in each case. While severity correlated strongly with ZAP70 staining, and to a lesser extent with SHM status, there was no correlation with Igbeta mRNA levels. These data establish a strong linkage between Igbeta mRNA expression and SHM in CLL and highlight the complex relationships between biochemical parameters and clinical status in this disease.","['Cajiao, Isabela', 'Sargent, Rachel', 'Elstrom, Rebecca', 'Cooke, Nancy E', 'Bagg, Adam', 'Liebhaber, Stephen A']","['Cajiao I', 'Sargent R', 'Elstrom R', 'Cooke NE', 'Bagg A', 'Liebhaber SA']","['Department of Genetics, University of Pennsylvania School of Medicine, Philadelphia, PA 19104, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Am J Hematol,American journal of hematology,7610369,"['0 (CD79 Antigens)', '0 (CD79B protein, human)', '0 (Immunoglobulin Heavy Chains)', '0 (RNA, Messenger)', 'EC 2.7.10.2 (ZAP-70 Protein-Tyrosine Kinase)', 'EC 2.7.10.2 (ZAP70 protein, human)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Alternative Splicing/genetics', 'CD79 Antigens/*genetics/metabolism', 'Cell Line', 'Cell Membrane/metabolism', 'Exons/genetics', 'Female', 'Gene Expression Regulation, Neoplastic/*genetics', 'Humans', 'Immunoglobulin Heavy Chains/*genetics/immunology', 'Immunohistochemistry', 'Leukemia, Lymphocytic, Chronic, B-Cell/*genetics/immunology/*pathology', 'Lymphocytes/metabolism', 'Male', 'Middle Aged', 'Mutation/genetics', 'RNA, Messenger/genetics', 'ZAP-70 Protein-Tyrosine Kinase/metabolism']",2007/02/23 09:00,2007/09/22 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/09/22 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/ajh.20885 [doi]'],ppublish,Am J Hematol. 2007 Aug;82(8):712-20. doi: 10.1002/ajh.20885.,"['R01 HD025147/HD/NICHD NIH HHS/United States', 'HD25147/HD/NICHD NIH HHS/United States']",,,,,,,,,,,,,,,,,
17315159,NLM,MEDLINE,20070521,20151119,0008-543X (Print) 0008-543X (Linking),109,6,2007 Mar 15,Treatment of chronic myeloid leukemia in the imatinib era: perspective from a developing country.,1138-45,"BACKGROUND: There is paucity of data from developing countries on the efficacy and safety of imatinib mesylate in chronic myeloid leukemia (CML). The primary objective of this study was to document complete and partial cytogenetic responses to imatinib in all phases of CML. Secondary objectives included evaluations of complete hematologic response, safety, time to progression, and survival. METHODS: Two hundred seventy-five patients in all phases of CML who received treatment with imatinib from January 2001 to December 2005 were included in the study. All patients had on bone marrow or BCR-ABL positive in peripheral blood by polymerase chain reaction. RESULTS: After a median follow-up of 18 months, major cytogenetic responses (Ph <35%) in chronic phase (CP), accelerated phase (AP), and blastic phase (BP) were documented in 61%, 57%, and 28% of patients, respectively. A complete cytogenetic response was observed in 39.4%, 35.7%, and 14.3% of patients in CP, AP, and BP, respectively; and a complete hematologic response was observed in 90%, 86%, and 30%, respectively. The median time to progression at 18 months was 91% in CP and 68% in AP. The overall survivals in CP, AP, and BP at 18 months was 92%, 74%, and 38%, respectively. CONCLUSIONS: Impressive hematologic, cytogenetic, and molecular responses to imatinib were observed, similar to the responses reported in patients from Western countries. Patients had good compliance, toxicity was limited, and overall quality of life was improved markedly. The results indicated that the biology of CML is not different in patients from developing countries.","['Aziz, Zeba', 'Iqbal, Javaid', 'Akram, Mohammad', 'Saeed, Sarah']","['Aziz Z', 'Iqbal J', 'Akram M', 'Saeed S']","['Department of Oncology, Jinnah Hospital, Allama Iqbal Medical College, Lahore, Pakistan. azizzeba@gmail.com']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']",IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Child', 'Cytogenetic Analysis', 'Developing Countries', 'Female', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/*drug therapy/*mortality', 'Male', 'Middle Aged', 'Pakistan/epidemiology', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Quality of Life', 'Treatment Outcome']",2007/02/23 09:00,2007/05/22 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/05/22 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/cncr.22498 [doi]'],ppublish,Cancer. 2007 Mar 15;109(6):1138-45. doi: 10.1002/cncr.22498.,,,,,,,,,,,,,,,,,,
17315156,NLM,MEDLINE,20070521,20181201,0008-543X (Print) 0008-543X (Linking),109,6,2007 Mar 15,Survival advantage with decitabine versus intensive chemotherapy in patients with higher risk myelodysplastic syndrome: comparison with historical experience.,1133-7,"BACKGROUND: Decitabine, a hypomethylating agent, is active and has been approved for the treatment of myelodysplastic syndrome (MDS) and chronic myelomonocytic leukemia. Intensive chemotherapy is an accepted form of therapy for patients with higher risk MDS. The comparative efficacy of these 2 forms of treatment in MDS is unknown. The objective of the current study was to compare the efficacy and toxicity profiles of decitabine and intensive chemotherapy in MDS. METHODS: The authors compared lower intensity decitabine therapy (n = 115 patients) with intensive chemotherapy (as it is used in acute myeloid leukemia [AML]) in patients with higher risk MDS. Two comparisons were made with a cohort of 376 historic patients (from 1995 to 2005): The first comparison included a subcohort of 115 patients (Group A) who matched the 115 decitabine study patients according to age, International Prognostic Scoring System, and cytogenetics; and the second comparison included the whole cohort of 376 patients without matching (Group B). A multivariate analysis was performed for outcome. RESULTS: The complete remission (CR) rate according to AML criteria was 43% with decitabine, 46% with intensive chemotherapy in Group A, and 52% with intensive chemotherapy in Group B. Compared with Group A, mortality at 6 weeks was 3% with decitabine versus 13% with intensive chemotherapy (P = .006) and, at 3 months, 7% with decitabine versus 23% with intensive chemotherapy (P = .001). Survival was better with decitabine versus intensive chemotherapy in Group A (median survival: 22 months vs 12 months; P < .001). A multivariate analysis of survival in all 491 patients who received decitabine or intensive chemotherapy (Group B) selected decitabine as an independent, favorable prognostic factor for survival (P = .006; hazard ratio, 0.74) after accounting for the independent prognostic effect of pretreatment factors. CONCLUSIONS: In this analysis, decitabine was associated with a survival advantage compared with intensive chemotherapy in patients with higher risk MDS. Future studies should evaluate prospectively the results of decitabine versus intensive chemotherapy in this setting.","['Kantarjian, Hagop M', ""O'Brien, Susan"", 'Huang, Xuelin', 'Garcia-Manero, Guillermo', 'Ravandi, Farhad', 'Cortes, Jorge', 'Shan, Jianqin', 'Davisson, Jan', 'Bueso-Ramos, Carlos E', 'Issa, Jean-Pierre']","['Kantarjian HM', ""O'Brien S"", 'Huang X', 'Garcia-Manero G', 'Ravandi F', 'Cortes J', 'Shan J', 'Davisson J', 'Bueso-Ramos CE', 'Issa JP']","['Department of Leukemia, The University of Texas M. D. Anderson Cancer Center, Houston, Texas 77030, USA. hkantarj@mdanderson.org']",['eng'],"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial', 'Research Support, N.I.H., Extramural']",United States,Cancer,Cancer,0374236,"['0 (Enzyme Inhibitors)', '776B62CQ27 (Decitabine)', 'EC 2.1.1.- (DNA Modification Methylases)', 'M801H13NRU (Azacitidine)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Azacitidine/*analogs & derivatives/therapeutic use', 'Cohort Studies', 'DNA Modification Methylases/antagonists & inhibitors', 'Decitabine', 'Enzyme Inhibitors/*therapeutic use', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/drug therapy', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*drug therapy/*mortality', 'Prognosis', 'Risk', 'Treatment Outcome']",2007/02/23 09:00,2007/05/22 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/05/22 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/cncr.22508 [doi]'],ppublish,Cancer. 2007 Mar 15;109(6):1133-7. doi: 10.1002/cncr.22508.,"['P01 CA055164-17/CA/NCI NIH HHS/United States', 'P30 CA016672/CA/NCI NIH HHS/United States', 'P50 CA100632/CA/NCI NIH HHS/United States', '1 P50 CA 100632-04/CA/NCI NIH HHS/United States', 'P01 CA055164/CA/NCI NIH HHS/United States']",PMC2952542,['NIHMS233363'],,,,,,,,,,,,,,,
17315155,NLM,MEDLINE,20070521,20170922,0008-543X (Print) 0008-543X (Linking),109,6,2007 Mar 15,A comparison of low-dose cytarabine and hydroxyurea with or without all-trans retinoic acid for acute myeloid leukemia and high-risk myelodysplastic syndrome in patients not considered fit for intensive treatment.,1114-24,"BACKGROUND: The survival of older patients with acute myeloid leukemia has not improved. Few clinical trials have been available for older patients who are not considered fit for an intensive chemotherapy approach. METHODS: Between December 1998 and November 2003, as part of National Cancer Research Institute Acute Myeloid Leukemia 14 Trial, 217 patients, who were deemed unfit for intensive chemotherapy were randomized to receive low-dose cytarabine (Ara-C) (20 mg twice daily for 10 days) or hydroxyurea with or without all-trans retinoic acid (ATRA). RESULTS: Low-dose ara-C produced a better remission rate (18% vs 1%; odds ratio [OR], 0.15; 95% confidence interval [95% CI], 0.06-0.37; P = .00006) and better overall survival (OR, 0.60; 95% CI, 0.44-0.81; P = .0009), which was accounted for by the achievement of complete remission (CR) (duration of CR: 80 weeks vs 10 weeks for patients with no CR). Patients who had adverse cytogenetics did not benefit. ATRA had no effect. Toxicity scores or supportive care requirements did not differ between the treatment arms. CONCLUSIONS: Older, less fit patients have a poor outcome, and few trials have been conducted in this patient group. Low-dose ara-C treatment was superior to best supportive care and hydroxyurea because it had greater success in achieving CR, and it could represent standard care against which new treatments may be compared in this patient group.","['Burnett, Alan K', 'Milligan, Donald', 'Prentice, Archie G', 'Goldstone, Anthony H', 'McMullin, Mary F', 'Hills, Robert K', 'Wheatley, Keith']","['Burnett AK', 'Milligan D', 'Prentice AG', 'Goldstone AH', 'McMullin MF', 'Hills RK', 'Wheatley K']","['Department of Haematology, Wales School of Medicine, Cardiff University, Cardiff, United Kingdom.']",['eng'],"['Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",United States,Cancer,Cancer,0374236,"['04079A1RDZ (Cytarabine)', '5688UTC01R (Tretinoin)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Acute Disease', 'Aged', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects/*therapeutic use', 'Cytarabine/administration & dosage/adverse effects', 'Female', 'Humans', 'Hydroxyurea/administration & dosage/adverse effects', 'Leukemia, Myeloid/*drug therapy/mortality', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*drug therapy/mortality', 'Risk', 'Survival', 'Treatment Outcome', 'Tretinoin/administration & dosage/adverse effects']",2007/02/23 09:00,2007/05/22 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/05/22 09:00 [medline]', '2007/02/23 09:00 [entrez]']",['10.1002/cncr.22496 [doi]'],ppublish,Cancer. 2007 Mar 15;109(6):1114-24. doi: 10.1002/cncr.22496.,['G0300133/Medical Research Council/United Kingdom'],,,['Cancer. 2007 Mar 15;109(6):1007-10. PMID: 17279580'],,,,,,,,,,,,,,
17315048,NLM,MEDLINE,20070501,20170427,1699-3993 (Print) 1699-3993 (Linking),43,1,2007 Jan,Dasatinib.,5-12,"Dasatinib is an orally bioavailable potent inhibitor of multiple tyrosine kinases, including ABL and SRC. Preclinical studies have shown dasatinib to be a much more potent inhibitor of BCR-ABL than imatinib is, and to harbor efficacy against nearly all imatinib-resistant BCR-ABL mutants. Phase I clinical studies have been conducted in imatinib-resistant and -intolerant chronic myeloid leukemia and Philadelphia chromosome-positive (Ph+) acute lymphoblastic leukemia. No dose-limiting toxicity was observed at doses that harbored substantial clinical efficacy. Multinational phase II studies have confirmed the phase I experience and have led to accelerated approval by the U.S. Food and Drug Administration for the treatment of imatinib-resistant and -intolerant chronic myeloid leukemia as well as its full approval for the treatment of therapy-resistant Ph+ acute lymphoblastic leukemia.","['Shah, Neil P']",['Shah NP'],"['Division of Hematology/Oncology, UCSF School of Medicine, San Francisco, California 94143, USA. nshah@medicine.ucsf.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Spain,Drugs Today (Barc),"Drugs of today (Barcelona, Spain : 1998)",101160518,"['0 (Protein Kinase Inhibitors)', '0 (Pyrimidines)', '0 (Thiazoles)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'RBZ1571X5H (Dasatinib)']",IM,"['Dasatinib', 'Drug Evaluation, Preclinical', 'Fusion Proteins, bcr-abl', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Protein Kinase Inhibitors/*pharmacology/*therapeutic use', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/*pharmacology/*therapeutic use', 'Thiazoles/*pharmacology/*therapeutic use']",2007/02/23 09:00,2007/05/02 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/05/02 09:00 [medline]', '2007/02/23 09:00 [entrez]']","['1050791 [pii]', '10.1358/dot.2007.43.1.1050791 [doi]']",ppublish,Drugs Today (Barc). 2007 Jan;43(1):5-12. doi: 10.1358/dot.2007.43.1.1050791.,,,,,['c 2007 Prous Science. All rights reserved.'],,,,,,,,,,,,,
17315027,NLM,MEDLINE,20070928,20130304,0887-6924 (Print) 0887-6924 (Linking),21,4,2007 Apr,Agonists of TRAIL death receptors induce myeloma cell apoptosis that is not prevented by cells of the bone marrow microenvironment.,805-12,"The growth and survival of myeloma cells is critically regulated by cells of the bone marrow microenvironment, including osteoblasts. Tumour necrosis factor-related apoptosis-inducing ligand (TRAIL) is a potent inducer of myeloma cell apoptosis, however, this antimyeloma activity is inhibited by osteoprotegerin (OPG) released from osteoblasts. Therefore, we hypothesized that specific agonists of TRAIL death receptors would not be inhibited by OPG released from osteoblasts and thus may represent a novel therapeutic approach in multiple myeloma. In the present study, TRAIL-induced apoptosis was demonstrated to be mediated through both DR4 and DR5. Specific agonist antibodies to DR4 or DR5 dose-dependently induced myeloma cell apoptosis, which was not prevented by OPG or by medium conditioned by osteoblasts. Co-culture of myeloma cells with osteoblasts protected against TRAIL-induced apoptosis of myeloma cells, and this protective effect was due to OPG. In contrast, the co-culture of myeloma cells with osteoblasts had no protective effect on apoptosis induced by specific agonists of DR4 or DR5. TRAIL has been proposed as a potential antitumour therapy, but within the bone marrow microenvironment OPG may interfere with the action of TRAIL. Specific agonists of TRAIL death receptors would not be subject to this inhibition and thus may provide an alternative specific antimyeloma therapy.","['Locklin, R M', 'Croucher, P I', 'Russell, R G G', 'Edwards, C M']","['Locklin RM', 'Croucher PI', 'Russell RG', 'Edwards CM']","['Nuffield Department of Orthopaedic Surgery, Institute of Musculoskeletal Sciences, Botnar Research Centre, University of Oxford, Oxford, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Amino Acid Chloromethyl Ketones)', '0 (Osteoprotegerin)', '0 (Receptors, TNF-Related Apoptosis-Inducing Ligand)', '0 (benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone)']",IM,"['Amino Acid Chloromethyl Ketones/pharmacology', 'Apoptosis/*physiology', 'Bone Marrow Cells/*physiology', 'Cell Line, Tumor', 'Flow Cytometry', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Multiple Myeloma/*pathology', 'Osteoblasts/drug effects/physiology', 'Osteoprotegerin/*pharmacology', 'Receptors, TNF-Related Apoptosis-Inducing Ligand/agonists/*drug effects/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",2007/02/23 09:00,2007/09/29 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/09/29 09:00 [medline]', '2007/02/23 09:00 [entrez]']","['2404518 [pii]', '10.1038/sj.leu.2404518 [doi]']",ppublish,Leukemia. 2007 Apr;21(4):805-12. doi: 10.1038/sj.leu.2404518. Epub 2007 Feb 22.,,,,,,20070222,,,,,,,,,,,,
17315026,NLM,MEDLINE,20070928,20151119,0887-6924 (Print) 0887-6924 (Linking),21,4,2007 Apr,Pemetrexed acts as an antimyeloma agent by provoking cell cycle blockade and apoptosis.,797-804,"Multiple myeloma (MM) is a malignancy of terminally differentiated B lymphocytes, characterized by accumulation of a monotypic plasma cell population in the bone marrow, monoclonal immunoglobulin in serum and/or urine and osteolytic lesions. Despite recent advances in the treatment, MM remains an incurable disease. This calls for an effort to develop novel therapeutics in order to eradicate the disease. Here we have evaluated the potential antimyeloma action of Pemetrexed, an antifolate drug that has shown promising results in other neoplastic diseases. Pemetrexed had a potent antimyeloma effect on cell lines sensitive and resistant to conventional therapeutic agents, and was also efficient on fresh cells from patients and in a murine MM model. Furthermore, Pemetrexed abrogated the protective action on MM cell death of several growth factors produced by the bone marrow microenvironment. Mechanistic studies indicated that Pemetrexed provoked this action by a combined effect that included cell cycle blockade, probably by p21 upregulation, and induction of apoptosis through caspase-dependent and -independent mechanisms. These data, together with the fact that Pemetrexed is already licensed for the therapy of other neoplastic diseases, opens the possibility for the inclusion of Pemetrexed in the therapeutic armamentarium to battle MM.","['Ramirez, J M', 'Ocio, E M', 'San Miguel, J F', 'Pandiella, A']","['Ramirez JM', 'Ocio EM', 'San Miguel JF', 'Pandiella A']","['Centro de Investigacion del Cancer-Instituto de Biologia Molecular y Celular del Cancer, CSIC-Universidad de Salamanca, Salamanca, Spain.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '0 (Glutamates)', '04Q9AIZ7NO (Pemetrexed)', '5Z93L87A1R (Guanine)']",IM,"['Animals', 'Antineoplastic Agents/*pharmacology/therapeutic use', 'Apoptosis/*drug effects', 'Cell Cycle/*drug effects', 'Cell Division/drug effects', 'Cell Line, Tumor', 'Glutamates/*pharmacology/therapeutic use', 'Guanine/*analogs & derivatives/pharmacology/therapeutic use', 'Humans', 'Mice', 'Mice, SCID', 'Multiple Myeloma/drug therapy/*prevention & control', 'Pemetrexed', 'Transplantation, Heterologous']",2007/02/23 09:00,2007/09/29 09:00,['2007/02/23 09:00'],"['2007/02/23 09:00 [pubmed]', '2007/09/29 09:00 [medline]', '2007/02/23 09:00 [entrez]']","['2404599 [pii]', '10.1038/sj.leu.2404599 [doi]']",ppublish,Leukemia. 2007 Apr;21(4):797-804. doi: 10.1038/sj.leu.2404599. Epub 2007 Feb 22.,,,,,,20070222,,,,,,,,,,,,
