PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,EIN,CIN,CON,TT,PMC,CI,GR,MID,CN,GN,LID,SI,COIS,PS,FPS,RIN,OID,OTO,OT
17196432,NLM,MEDLINE,20070419,20070205,1471-4906 (Print) 1471-4906 (Linking),28,2,2007 Feb,The lymphocyte guard-IANs: regulation of lymphocyte survival by IAN/GIMAP family proteins.,58-65,"The life-or-death decision of immune cells makes an essential contribution to immune-system development and the regulation of immune responses. A new family of cell-survival regulators expressed in lymphocytes, termed immune-associated nucleotide-binding proteins (IANs) [also known as GTPase of immunity-associated proteins (GIMAPs)], has been described. The IAN/GIMAP family consists of GTP-binding proteins that share a unique primary structure and whose expression is finely regulated by T-cell receptor signals. Recent studies have shown that IAN/GIMAP family proteins crucially regulate the survival of T cells during development, selection and homeostasis, and are possibly linked to the onset of T-lymphopenia, leukemia and autoimmunity. IAN/GIMAP family proteins might also take part in mitochondrial regulation of lymphocyte apoptosis by interacting with Bcl-2 family proteins.","['Nitta, Takeshi', 'Takahama, Yousuke']","['Nitta T', 'Takahama Y']","['Division of Experimental Immunology, Institute for Genome Research, University of Tokushima, 3-18-15 Kuramoto, Tokushima 770-8503, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20061228,England,Trends Immunol,Trends in immunology,100966032,"['0 (Antigens)', '0 (Receptors, Immunologic)', 'EC 3.6.1.- (GTP-Binding Proteins)']",IM,"['Animals', 'Antigens/immunology', 'Cell Survival', 'GTP-Binding Proteins/classification/genetics/*metabolism', 'Gene Expression Regulation', 'Humans', 'Lymphocytes/*cytology/immunology/*metabolism', 'Receptors, Immunologic/immunology']",66,2007/01/02 09:00,2007/04/20 09:00,['2007/01/02 09:00'],"['2006/09/19 00:00 [received]', '2006/11/13 00:00 [revised]', '2006/12/12 00:00 [accepted]', '2007/01/02 09:00 [pubmed]', '2007/04/20 09:00 [medline]', '2007/01/02 09:00 [entrez]']","['S1471-4906(06)00331-0 [pii]', '10.1016/j.it.2006.12.002 [doi]']",ppublish,Trends Immunol. 2007 Feb;28(2):58-65. doi: 10.1016/j.it.2006.12.002. Epub 2006 Dec 28.,,,,,,,,,,,,,,,,,,,
17195068,NLM,MEDLINE,20070919,20191210,0344-5704 (Print) 0344-5704 (Linking),60,4,2007 Sep,A limited sampling strategy to estimate individual pharmacokinetic parameters of methotrexate in children with acute lymphoblastic leukemia.,609-20,"PURPOSE: The objectives of this study were to characterize the population pharmacokinetics of MTX in patients with acute lymphoblastic leukemia (ALL) with ages ranging from 2 to 16 years and to propose a limited sampling strategy to estimate individual pharmacokinetic parameters. METHODS: Seventy-nine children were enrolled in this study; they received 1-4 courses of chemotherapy. MTX was administered at a dose of 5 g/m2. MTX population parameters were estimated from 61 patients (231 courses; age range: 2-16 years). The data were analyzed by nonlinear mixed-effect modeling with use of a two-compartment structural model. The interoccasion variability was taken into account in the model. Eighteen additional patients (70 courses) were used to evaluate the predictive performances of the Bayesian approach and to devise a limited sampling strategy. RESULTS: The following population parameters were obtained: total clearance (CL) = 8.8 l/h (inter-individual variability: 43%), initial volume of distribution (V1) = 17.3 l (48%), k12 = 0.0225 h(-1) (41%), and k21 = 0.0629 h(-1) (24%). The inter-individual variability in the initial volume of distribution was partially explained by the fact that this parameter was weight-dependent. Intercourse variability was limited, with a mean variation of 13.2%. The protocol involving two sampling times, 24 and 48 h after the beginning of infusion, allows precise and accurate determination of individual pharmacokinetic parameters and consequently, it was possible to predict the time at which the MTX concentration reached the predicted threshold (0.2 microM) below which the administration of folinic acid could be stopped. CONCLUSION: The results of this study combine the relationships between the pharmacokinetic parameters of MTX and patient covariates that may be useful for dose adjustment, with a convenient sampling procedure that may aid in optimizing pediatric patient care.","['Plard, Christine', 'Bressolle, Francoise', 'Fakhoury, May', 'Zhang, Daolun', 'Yacouben, Karina', 'Rieutord, Andre', 'Jacqz-Aigrain, Evelyne']","['Plard C', 'Bressolle F', 'Fakhoury M', 'Zhang D', 'Yacouben K', 'Rieutord A', 'Jacqz-Aigrain E']","['Department of Paediatric Pharmacology and Pharmacogenetics, Robert Debre Hospital, Paris, France.']",['eng'],"['Journal Article', 'Validation Study']",20061229,Germany,Cancer Chemother Pharmacol,Cancer chemotherapy and pharmacology,7806519,['YL5FZ2Y5U1 (Methotrexate)'],IM,"['Adolescent', 'Bayes Theorem', 'Child', 'Child, Preschool', 'Drug Administration Schedule', 'Female', 'Humans', 'Male', 'Methotrexate/*pharmacokinetics', 'Models, Theoretical', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*metabolism', 'Sampling Studies']",,2006/12/30 09:00,2007/09/20 09:00,['2006/12/30 09:00'],"['2006/07/10 00:00 [received]', '2006/11/15 00:00 [accepted]', '2006/12/30 09:00 [pubmed]', '2007/09/20 09:00 [medline]', '2006/12/30 09:00 [entrez]']",['10.1007/s00280-006-0394-3 [doi]'],ppublish,Cancer Chemother Pharmacol. 2007 Sep;60(4):609-20. doi: 10.1007/s00280-006-0394-3. Epub 2006 Dec 29.,"['Cancer Chemother Pharmacol. 2007 Sep;60(4):621. Piard, Christine [corrected to', 'Plard, Christine]']",,,,,,,,,,,,,,,,,,
17194902,NLM,MEDLINE,20070129,20071115,1527-7755 (Electronic) 0732-183X (Linking),25,1,2007 Jan 1,"Comparison of intensive chemotherapy, allogeneic, or autologous stem-cell transplantation as postremission treatment for children with very high risk acute lymphoblastic leukemia: PETHEMA ALL-93 Trial.",16-24,"PURPOSE: The optimal postremission therapy for children with very high-risk (VHR) acute lymphoblastic leukemia (ALL) is not well established. This randomized trial compared three options of postremission therapy: chemotherapy and allogeneic or autologous stem-cell transplantation (SCT). PATIENTS AND METHODS: All 106 VHR-ALL patients received induction with five drugs followed by intensification with three cycles of chemotherapy. Patients in complete remission (CR) with an HLA-identical family donor were assigned to allogeneic SCT (n = 24) and the remaining were randomly assigned to autologous SCT (n = 38) or to delayed intensification followed by maintenance chemotherapy up to 2 years in CR (n = 38). RESULTS: Overall, 100 patients achieved CR (94%). With a median follow-up of 6.5 years, 5-year disease-free survival (DFS) and overall survival (OS) probabilities were 45% (95% CI, 37% to 54%) and 48% (95% CI, 40% to 57%), respectively. The three groups were comparable in the main pretreatment ALL characteristics. Intention-to-treat analysis showed no differences for donor versus no donor in DFS (45%; 95% CI, 27% to 65% v 45%; 95% CI, 37% to 55%) and OS (48%; 95% CI, 30% to 67% v 51%; 95% CI, 43% to 61%), as well as for autologous SCT versus chemotherapy comparisons (DFS: 44%; 95% CI, 29% to 60% v 46%; 95% CI, 32% to 62%; OS: 45%; 95% CI, 31% to 62% v 57%; 95% CI, 43% to 73%). No differences were found within the different subgroups of ALL and neither were differences observed when the analysis was made by treatment actually performed. CONCLUSION: This study failed to prove that, when a family donor is available, allogeneic SCT produces a better outcome than autologous SCT or chemotherapy in children with VHR-ALL.","['Ribera, Jose-Maria', 'Ortega, Juan-Jose', 'Oriol, Albert', 'Bastida, Pilar', 'Calvo, Carlota', 'Perez-Hurtado, Jose-Maria', 'Gonzalez-Valentin, Maria-Elvira', 'Martin-Reina, Victoria', 'Molines, Antonio', 'Ortega-Rivas, Fernando', 'Moreno, Maria-Jose', 'Rivas, Concepcion', 'Egurbide, Izaskun', 'Heras, Inmaculada', 'Poderos, Concepcion', 'Martinez-Revuelta, Eva', 'Guinea, Jose-Maria', 'del Potro, Eloy', 'Deben, Guillermo']","['Ribera JM', 'Ortega JJ', 'Oriol A', 'Bastida P', 'Calvo C', 'Perez-Hurtado JM', 'Gonzalez-Valentin ME', 'Martin-Reina V', 'Molines A', 'Ortega-Rivas F', 'Moreno MJ', 'Rivas C', 'Egurbide I', 'Heras I', 'Poderos C', 'Martinez-Revuelta E', 'Guinea JM', 'del Potro E', 'Deben G']","[""Servicio de Hematologia Clinica, Institut Catala d'Oncologia-Hospital Universitari Germans Trias i Pujol, Badalona, Spain. jribera@iconcologia.net""]",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article', 'Randomized Controlled Trial', ""Research Support, Non-U.S. Gov't""]",,United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,['0 (Antineoplastic Agents)'],IM,"['Antineoplastic Agents/therapeutic use', 'Child', 'Child, Preschool', 'Disease-Free Survival', 'Female', 'Humans', 'Infant', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Remission Induction', 'Risk', 'Stem Cell Transplantation/*methods', 'Transplantation, Autologous', 'Transplantation, Homologous', 'Treatment Outcome']",,2006/12/30 09:00,2007/01/30 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/01/30 09:00 [medline]', '2006/12/30 09:00 [entrez]']","['25/1/16 [pii]', '10.1200/JCO.2006.06.8312 [doi]']",ppublish,J Clin Oncol. 2007 Jan 1;25(1):16-24. doi: 10.1200/JCO.2006.06.8312.,,['J Clin Oncol. 2007 Jun 20;25(18):2625-6; author reply 2627-8. PMID: 17577046'],,,,,,,,,,,,,,,,,
17194674,NLM,MEDLINE,20071129,20061229,1592-8721 (Electronic) 0390-6078 (Linking),91,12 Suppl,2006 Dec,Optimal post-remission therapy for flow-cytometry minimal residual disease positive adult patients with acute myeloid leukemia.,ELT14; author reply ELT15,,"['Buccisano, Francesco', 'Maurillo, Luca', 'Del Poeta, Giovanni', 'Gattei, Valter', 'Amadori, Sergio', 'Venditti, Adriano']","['Buccisano F', 'Maurillo L', 'Del Poeta G', 'Gattei V', 'Amadori S', 'Venditti A']",,['eng'],"['Comment', 'Letter']",,Italy,Haematologica,Haematologica,0417435,,IM,"['Acute Disease', 'Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Blood Cell Count', 'Combined Modality Therapy', 'Disease-Free Survival', 'Flow Cytometry', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid/blood/drug therapy/mortality/pathology/*surgery', 'Neoplasm, Residual', 'Remission Induction', 'Survival Analysis', 'Transplantation, Autologous', 'Transplantation, Homologous', 'Treatment Outcome']",,2006/12/30 09:00,2007/12/06 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2006/12/30 09:00 [entrez]']",,ppublish,Haematologica. 2006 Dec;91(12 Suppl):ELT14; author reply ELT15.,,,['Haematologica. 2006 Jun;91(6):833-6. PMID: 16769587'],,,,,,,,,,,,,,,,
17194672,NLM,MEDLINE,20071129,20181217,1592-8721 (Electronic) 0390-6078 (Linking),91,12 Suppl,2006 Dec,Insulin resistance in children and adolescents after bone marrow transplantation for malignancies.,ELT12; author reply ELT13,,"[""d'Annunzio, Giuseppe"", 'Bonetti, Federico', 'Locatelli, Franco', 'Pistorio, Angela', 'Lorini, Renata']","[""d'Annunzio G"", 'Bonetti F', 'Locatelli F', 'Pistorio A', 'Lorini R']",,['eng'],"['Letter', 'Comment']",,Italy,Haematologica,Haematologica,0417435,"['0 (Blood Glucose)', '0 (Glycated Hemoglobin A)', '0 (Insulin)']",IM,"['Adolescent', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Blood Glucose/analysis', '*Bone Marrow Transplantation', 'Child', 'Cross-Sectional Studies', 'Female', 'Follow-Up Studies', 'Glycated Hemoglobin A/analysis', 'Humans', 'Insulin/blood/metabolism', 'Insulin Resistance/*radiation effects', 'Insulin Secretion', 'Islets of Langerhans/metabolism/*radiation effects', 'Leukemia/blood/drug therapy/*surgery', 'Male', 'Postoperative Complications/*etiology', 'Power Plants', 'Radioactive Hazard Release', 'Transplantation Conditioning/*adverse effects', 'Ukraine', 'Whole-Body Irradiation/*adverse effects']",,2006/12/30 09:00,2007/12/06 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2006/12/30 09:00 [entrez]']",,ppublish,Haematologica. 2006 Dec;91(12 Suppl):ELT12; author reply ELT13.,,,['Haematologica. 2006 Oct;91(10):1424-5. PMID: 16963397'],,,,,,,,,,,,,,,,
17194664,NLM,MEDLINE,20071129,20171116,1592-8721 (Electronic) 0390-6078 (Linking),91,12 Suppl,2006 Dec,Favourable outcome in an APL patient with PLZF/RARalpha fusion gene: quantitative real-time RT-PCR confirms molecular response.,ECR58,"Rare cases of acute promyelocytic leukemia (APL) are associated with a t(11;17) translocation and a PLZF-RARalpha fusion transcript. Because of molecular specificities of the fusion protein, ATRA efficiency is often reduced in these cases. We present herein the case of an 83-year old patient which has been successfully treated by ATRA and Daunorubicin. The described quantitative RT-PCR method allowed successful monitoring and confirmation of the molecular response.","['Cassinat, Bruno', 'Guillemot, Isabelle', 'Molucon-Chabrot, Cecile', 'Zassadowski, Fabien', 'Fenaux, Pierre', 'Tournilhac, Olivier', 'Chomienne, Christine']","['Cassinat B', 'Guillemot I', 'Molucon-Chabrot C', 'Zassadowski F', 'Fenaux P', 'Tournilhac O', 'Chomienne C']","['Unite de Biologie Cellulaire, Hopital Saint-Louis, 1 avenue Claude Vellefaux, 75010 Paris, France. bruno.cassinat@sls.aphp.fr']",['eng'],"['Case Reports', 'Journal Article']",,Italy,Haematologica,Haematologica,0417435,"['0 (Biomarkers, Tumor)', '0 (Neoplasm Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (PLZF-RARalpha fusion protein, human)', '5688UTC01R (Tretinoin)', 'E7WED276I5 (Mercaptopurine)', 'YL5FZ2Y5U1 (Methotrexate)', 'ZS7284E0ZP (Daunorubicin)']",IM,"['Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biomarkers, Tumor/analysis/genetics', 'Bone Marrow/chemistry/pathology', 'Chromosomes, Human, Pair 15/genetics/ultrastructure', 'Chromosomes, Human, Pair 17/genetics/ultrastructure', 'Computer Systems', 'Daunorubicin/administration & dosage', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy/*genetics', 'Mercaptopurine/administration & dosage', 'Methotrexate/administration & dosage', 'Neoplasm Proteins/analysis/*genetics', 'Oncogene Proteins, Fusion/analysis/*genetics', 'Remission Induction', 'Reverse Transcriptase Polymerase Chain Reaction', 'Translocation, Genetic', 'Tretinoin/administration & dosage']",,2006/12/30 09:00,2007/12/06 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2006/12/30 09:00 [entrez]']",,ppublish,Haematologica. 2006 Dec;91(12 Suppl):ECR58.,,,,,,,,,,,,,,,,,,,
17194661,NLM,MEDLINE,20071129,20061229,1592-8721 (Electronic) 0390-6078 (Linking),91,12 Suppl,2006 Dec,Anaplastic large cell lymphoma with involvement of the pancreas presenting as panniculitis in a patient with a history of acute myeloid leukemia--case report and review of the literature.,ECR55,"A 66-year-old man with history of acute myeloid leukemia (AML) presented with B-symptoms and abdominal pain. A CT scan of the abdomen demonstrated an enlargement of the head and uncinate of pancreas and diffuse lymphadenopathy. The patient developed respiratory distress and expired. An autopsy of the pancreas revealed clusters of large, atypical cells, which morphologically and immunophenotypically were consistent with CD30 positive, ALK-negative anaplastic large cell lymphoma (ALCL) of T-cell lineage and multifocal fat necrosis (panniculitis) in the peripancreatic adipose tissue. This is the first case of ALCL of the pancreas and panniculitis in a patient with history of AML.","['Ahmed, Bilal', 'Estey, Elihu', 'Manning, John', 'David, Cynthia', 'Keating, Michael J', 'Kantarjian, Hagop', 'Tsimberidou, Apostolia-Maria']","['Ahmed B', 'Estey E', 'Manning J', 'David C', 'Keating MJ', 'Kantarjian H', 'Tsimberidou AM']","['Department of Leukemia, The University of Texas M.D. Anderson Cancer Center, 1515 Holcombe Blvd., Houston, TX 77030, USA.']",['eng'],"['Case Reports', 'Journal Article', 'Review']",,Italy,Haematologica,Haematologica,0417435,['0 (Neoplasm Proteins)'],IM,"['Acute Disease', 'Aged', 'Fatal Outcome', 'Humans', 'Leukemia, Myeloid/*drug therapy', 'Lymphoma, Large-Cell, Anaplastic/chemistry/*diagnosis/pathology', 'Male', 'Neoplasm Proteins/analysis', 'Neoplasms, Second Primary/*diagnosis/pathology', 'Pancreas/*pathology', 'Panniculitis/*etiology', 'Respiratory Insufficiency/etiology']",19,2006/12/30 09:00,2007/12/06 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2006/12/30 09:00 [entrez]']",,ppublish,Haematologica. 2006 Dec;91(12 Suppl):ECR55.,,,,,,,,,,,,,,,,,,,
17194660,NLM,MEDLINE,20071129,20161124,1592-8721 (Electronic) 0390-6078 (Linking),91,12 Suppl,2006 Dec,PET-imaging as a useful tool for early detection of the relapse site in the management of primary myeloid sarcoma.,ECR54,,"['Karlin, Lionel', 'Itti, Emmanuel', 'Pautas, Cecile', 'Rachid, Mohamed', 'Bories, Dominique', 'Cordonnier, Catherine', 'Maury, Sebastien']","['Karlin L', 'Itti E', 'Pautas C', 'Rachid M', 'Bories D', 'Cordonnier C', 'Maury S']","['Department of Hematology, Hopital Henri Mondor, 94010 Creteil cedex, France.']",['eng'],"['Case Reports', 'Journal Article']",,Italy,Haematologica,Haematologica,0417435,"['0 (Biomarkers, Tumor)', '0 (CBFbeta-MYH11 fusion protein)', '0 (Oncogene Proteins, Fusion)', '04079A1RDZ (Cytarabine)']",IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Biomarkers, Tumor/analysis/genetics', 'Bone Marrow Transplantation', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Duodenal Neoplasms/*diagnostic imaging/drug therapy/genetics/surgery', 'Early Diagnosis', 'Humans', 'Leukemic Infiltration/drug therapy', 'Male', 'Meninges/pathology', 'Neoplasm Recurrence, Local/*diagnostic imaging/drug therapy', 'Oncogene Proteins, Fusion/analysis/genetics', '*Positron-Emission Tomography', 'Remission Induction', 'Sarcoma, Myeloid/*diagnostic imaging/drug therapy/genetics/surgery', 'Transplantation, Homologous']",,2006/12/30 09:00,2007/12/06 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2006/12/30 09:00 [entrez]']",,ppublish,Haematologica. 2006 Dec;91(12 Suppl):ECR54.,,,,,,,,,,,,,,,,,,,
17194659,NLM,MEDLINE,20071129,20131121,1592-8721 (Electronic) 0390-6078 (Linking),91,12 Suppl,2006 Dec,Long-term follow-up of autologous peripheral blood stem cell transplantation in the treatment of a patient with acute panmyelosis with myelofibrosis.,ECR53,,"['Ngirabacu, M C', 'Ravoet, C', 'Dargent, J L', 'Meuleman, N', 'Ahmad, I', 'Ysebrant, L', 'Bennani, J', 'Andre, M', 'Bron, D']","['Ngirabacu MC', 'Ravoet C', 'Dargent JL', 'Meuleman N', 'Ahmad I', 'Ysebrant L', 'Bennani J', 'Andre M', 'Bron D']","[""Dept d'Hematologie de l'Institut J Bordet (Universite libre de Bruxelles), Brussels, Belgium.""]",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",,Italy,Haematologica,Haematologica,0417435,"['0 (Recombinant Proteins)', '04079A1RDZ (Cytarabine)', '11096-26-7 (Erythropoietin)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '6PLQ3CP4P3 (Etoposide)', 'BZ114NVM5P (Mitoxantrone)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Acute Disease', 'Anemia, Refractory/drug therapy/etiology', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Combined Modality Therapy', 'Cytarabine/administration & dosage', 'Erythropoietin/therapeutic use', 'Etoposide/administration & dosage', 'Follow-Up Studies', 'Granulocyte Colony-Stimulating Factor/therapeutic use', 'Humans', 'Leukemia, Myeloid/drug therapy/pathology/*surgery', 'Male', 'Methotrexate/administration & dosage', 'Middle Aged', 'Mitoxantrone/administration & dosage', '*Peripheral Blood Stem Cell Transplantation', 'Postoperative Complications/drug therapy/etiology', 'Primary Myelofibrosis/drug therapy/pathology/*surgery', 'Recombinant Proteins', 'Transplantation Conditioning/adverse effects', 'Transplantation, Autologous', 'Whole-Body Irradiation/adverse effects']",,2006/12/30 09:00,2007/12/06 09:00,['2006/12/30 09:00'],"['2006/12/30 09:00 [pubmed]', '2007/12/06 09:00 [medline]', '2006/12/30 09:00 [entrez]']",,ppublish,Haematologica. 2006 Dec;91(12 Suppl):ECR53.,,,,,,,,,,,,,,,,,,,
17194449,NLM,MEDLINE,20070313,20070112,0006-291X (Print) 0006-291X (Linking),353,3,2007 Feb 16,GABPalpha regulates Oct-3/4 expression in mouse embryonic stem cells.,686-91,"Embryonic stem (ES) cells are pluripotent cells derived from the inner cell mass of blastocysts, and transcription factors Oct-3/4, Nanog, Sox2, and STAT3, are essential for their self-renewal. In this study, we searched for molecules downstream of STAT3 in ES cells. Using DNA chip analysis, we obtained GA-repeat binding protein (GABP) alpha. Expression of GABPalpha was restricted to undifferentiated ES cells and controlled by STAT3. We found that the expression level of Oct-3/4 is reduced by knockdown of GABPalpha. On the other hand, GABPalpha-overexpressing ES cells maintained the expression level of Oct-3/4 even in the absence of LIF. Moreover, the induction of Oct-3/4 repressors Cdx-2, Coup-tf1, and GCNF was stimulated by GABPalpha knockdown. These data suggest that GABPalpha upregulates the expression of Oct-3/4 via downregulation of Oct-3/4 repressors.","['Kinoshita, Keita', 'Ura, Hiroki', 'Akagi, Tadayuki', 'Usuda, Masayuki', 'Koide, Hiroshi', 'Yokota, Takashi']","['Kinoshita K', 'Ura H', 'Akagi T', 'Usuda M', 'Koide H', 'Yokota T']","['Department of Stem Cell Biology, Graduate School of Medical Science, Kanazawa University, 13-1 Takara-machi, Kanazawa, Ishikawa 920-8640, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",20061219,United States,Biochem Biophys Res Commun,Biochemical and biophysical research communications,0372516,"['0 (GA-Binding Protein Transcription Factor)', '0 (Gabpa protein, mouse)', '0 (Leukemia Inhibitory Factor)', '0 (Octamer Transcription Factor-3)', '0 (STAT3 Transcription Factor)', '0 (Stat3 protein, mouse)']",IM,"['Animals', 'Down-Regulation/drug effects', 'Embryonic Stem Cells/*physiology', 'GA-Binding Protein Transcription Factor/*physiology', 'Gene Expression Regulation', 'Leukemia Inhibitory Factor/physiology', 'Mice', 'Octamer Transcription Factor-3/*biosynthesis/genetics', 'Oligonucleotide Array Sequence Analysis', 'RNA Interference', 'STAT3 Transcription Factor/genetics/physiology', 'Up-Regulation']",,2006/12/30 09:00,2007/03/14 09:00,['2006/12/30 09:00'],"['2006/11/22 00:00 [received]', '2006/12/12 00:00 [accepted]', '2006/12/30 09:00 [pubmed]', '2007/03/14 09:00 [medline]', '2006/12/30 09:00 [entrez]']","['S0006-291X(06)02745-8 [pii]', '10.1016/j.bbrc.2006.12.071 [doi]']",ppublish,Biochem Biophys Res Commun. 2007 Feb 16;353(3):686-91. doi: 10.1016/j.bbrc.2006.12.071. Epub 2006 Dec 19.,,,,,,,,,,,,,,,,,,,
