PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,CIN,RF,GR,PMC,MID,OID,CON,EIN,CN,TT,SI,LID,RIN,PS,FPS,RPI
16969811,NLM,MEDLINE,20061031,20081121,1552-4922 (Print) 1552-4922 (Linking),69,8,2006 Aug 1,Increasing lanthanide luminescence by use of the RETEL effect.,940-6,"BACKGROUND: Luminescent lanthanide complexes produce emissions with the narrowest-known width at half maximum; however, their significant use in cytometry required an increase in luminescence intensity. The companion review, Leif et al., Cytometry 2006;69A:767-778, described a new technique for the enhancement of lanthanide luminescence, the Resonance Energy Transfer Enhanced Luminescence (RETEL) effect, which increases luminescence and is compatible with standard slide microscopy. METHODS: The luminescence of the europium ion macrocyclic complex, EuMac, was increased by employing the RETEL effect. After adding the nonluminescent gadolinium ion complex of the thenoyltrifluoroacetonate (TTFA) ligand or the sodium salt of TTFA in ethanol solution, the EuMac-labeled sample was allowed to dry. Both a conventional arc lamp and a time-gated UV LED served as light sources for microscopic imaging. The emission intensity was measured with a CCD camera. Multiple time-gated images were summed with special software to permit analysis and effective presentation of the final image. RESULTS: With the RETEL effect, the luminescence of the EuMac-streptavidin conjugate increased at least six-fold upon drying. Nuclei of apoptotic cells were stained with DAPI and tailed with 5BrdUrd to which a EuMac-anti-5BrdU conjugate was subsequently attached. Time-gated images showed the long-lived EuMac luminescence but did not show the short-lived DAPI fluorescence. Imaging of DNA-synthesizing cells with an arc lamp showed that both S phase and apoptotic cells were labeled, and that their labeling patterns were different. The images of the luminescent EuMac and fluorescent DAPI were combined to produce a color image on a white background. This combination of simple chemistry, instrumentation, and presentation should make possible the inexpensive use of the lanthanide macrocycles, Quantum Dyes, as molecular diagnostics for cytological and histopathological microscopic imaging.",['(c) 2006 International Society for Analytical Cytology.'],"['Leif, Robert C', 'Vallarino, Lidia M', 'Becker, Margie C', 'Yang, Sean']","['Leif RC', 'Vallarino LM', 'Becker MC', 'Yang S']","['Newport Instruments, San Diego, CA, USA. rleif@rleif.com']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cytometry A,Cytometry. Part A : the journal of the International Society for Analytical Cytology,101235694,"['0 (Fluorescent Dyes)', '0 (Indoles)', '0 (Lanthanoid Series Elements)', '0 (Macrocyclic Compounds)', '326-91-0 (Thenoyltrifluoroacetone)', '47165-04-8 (DAPI)']",IM,"['Acute Disease', 'Apoptosis', 'Cell Line, Tumor', 'Diagnostic Imaging/methods', 'Fluorescence Resonance Energy Transfer', 'Fluorescent Dyes', 'Humans', 'Image Processing, Computer-Assisted/methods', 'Indoles', 'Lanthanoid Series Elements/*analysis', 'Leukemia, Myeloid/pathology', '*Luminescence', 'Macrocyclic Compounds', 'Microscopy, Fluorescence/*methods', 'Thenoyltrifluoroacetone']",2006/09/14 09:00,2006/11/01 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2006/11/01 09:00 [medline]', '2006/09/14 09:00 [entrez]']",['10.1002/cyto.a.20318 [doi]'],ppublish,Cytometry A. 2006 Aug 1;69(8):940-6. doi: 10.1002/cyto.a.20318.,,,,,,,,,,,,,,,,,
16969687,NLM,MEDLINE,20070718,20181201,0300-8177 (Print) 0300-8177 (Linking),296,1-2,2007 Feb,Induction of apoptosis by quercetin: different response of human chronic myeloid (K562) and acute lymphoblastic (HSB-2) leukemia cells.,137-49,"This work shows that 25 microM quercetin caused a marked inhibition of K562 cells growth together with a mild cytotoxicity, while HSB-2 cells were practically unaffected. Moreover, quercetin induced caspase-3 and cytochrome c-dependent apoptosis almost exclusively in the former cell line. Exposure of K562 cells to quercetin caused also a significant increase of cells in G(2)/M phase that reached the maximum peak at 24 h (4-fold with respect to the basal value). The major sensitivity exhibited by K562 cells was only in part imputable to their higher glutathione content, as compared to HSB-2 cells, thus confirming previous reports describing the formation of intracellular quercetin-thiol toxic adducts in cells exposed to the flavonoid. In fact, after induction of intracellular glutathione increase we detected in both cell lines a significant rise of apoptotic cells, again more marked in K562 cells. By contrast, glutathione-depleted cells, failed to show a decrease of apoptosis in both cell lines, thus contradicting our previous findings and literature data. Since the yet unresolved question about the anti-oxidant or the pro-oxidant capacity of quercetin, we investigated which of these two properties worked in our experimental model. Interestingly, not only quercetin did not produce reactive oxygen species but also prevented their formation, as observed in cells exposed to the oxidizing agent ter-butylhydroperoxide, acting as an efficient oxygen radicals scavenger. This result indicates that quercetin exhibited, in these cell lines, anti-oxidant more than pro-oxidant ability.",,"['Brisdelli, Fabrizia', 'Coccia, Cristina', 'Cinque, Benedetta', 'Cifone, Maria Grazia', 'Bozzi, Argante']","['Brisdelli F', 'Coccia C', 'Cinque B', 'Cifone MG', 'Bozzi A']","[""Department of Biochemical Sciences and Technologies, University of L'Aquila, Via Vetoio, Coppito 2, 67100 L'Aquila, Italy.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Mol Cell Biochem,Molecular and cellular biochemistry,0364456,"['0 (Reactive Oxygen Species)', '9007-43-6 (Cytochromes c)', '9IKM0I5T1E (Quercetin)', 'EC 3.4.22.- (Caspases)', 'GAN16C9B8O (Glutathione)']",IM,"['Animals', 'Apoptosis/*drug effects', 'Caspases/metabolism', 'Cell Cycle/drug effects', 'Cell Line, Tumor/*drug effects', 'Cell Survival', 'Cytochromes c/metabolism', 'Dose-Response Relationship, Drug', 'Enzyme Activation', 'Glutathione/metabolism', 'Humans', 'K562 Cells/*drug effects', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma', 'Quercetin/*pharmacology', 'Reactive Oxygen Species/metabolism']",2006/09/14 09:00,2007/07/19 09:00,['2006/09/14 09:00'],"['2006/06/05 00:00 [received]', '2006/08/10 00:00 [accepted]', '2006/09/14 09:00 [pubmed]', '2007/07/19 09:00 [medline]', '2006/09/14 09:00 [entrez]']",['10.1007/s11010-006-9307-3 [doi]'],ppublish,Mol Cell Biochem. 2007 Feb;296(1-2):137-49. doi: 10.1007/s11010-006-9307-3. Epub 2006 Sep 13.,20060913,,,,,,,,,,,,,,,,
16969511,NLM,MEDLINE,20070103,20190606,1021-335X (Print) 1021-335X (Linking),16,4,2006 Oct,Proliferation studies on chromosome preparations of bone marrow in hematological disease.,893-9,"The growth rate of neoplastic cells has been the subject of numerous scientific and diagnostic approaches. The study presented here analyses the relationship between mitotic activity in standardised cytogenetic bone marrow preparations from three haematological diseases and diagnostic and clinical parameters, most importantly the outcome. The disorders studied were: Acute lymphoblastic leukemia (ALL) (N=107), chronic myeloid leukemia (CML) (N=166) and aplastic anemia in childhood (AA) (N=39). A strict protocol of quantitative standardisation of cytogenetic slides was adhered to ensuring comparability both cross-sectionally and longitudinally. The samples were studied after short-term incubation without mitogenic in vitro stimuli. The most important findings include: i) ALL: Immunological subtypes can be differentiated according to their proliferation profile; there is a striking difference between childhood and adult ALL in proliferation activity; most importantly initial proliferation is much higher in patients who will relapse than in those with stable remission. ii) CML: Philadelphia-positive CML shows proliferation activities quite distinct from Philadelphia-negative CML; however there is only a small change in the proliferative activity from the chronic phase to the accelerated phase or blast crisis. iii) AA: Very low proliferation scores rise quickly to near normal levels during immunosuppressive therapy in most patients. Higher levels at diagnosis are associated with a faster and better response to therapy. In conclusion, assessment of the proliferative activity in cytogenetic preparations made from bone marrow samples of patients with haematological disease may add valuable information as to diagnostic sub-groups and clinical course and may contribute to therapeutic decisions.",,"['Walther, J-U', 'Pohl, I', 'Rausch, A', 'Fuehrer, M']","['Walther JU', 'Pohl I', 'Rausch A', 'Fuehrer M']","['Kinderklinik und Kinderpoliklinik im Dr. v. Haunerschen Kinderspital, der Ludwig-Maximilians-Universitaet Muenchen, D-80336 Munchen, Germany. ju.walther@med.uni-muenchen.de']",['eng'],"['Historical Article', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Greece,Oncol Rep,Oncology reports,9422756,,IM,"['Adolescent', 'Adult', 'Anemia, Aplastic', 'Bone Marrow/metabolism', 'Bone Marrow Cells/*cytology/metabolism', 'Cell Line, Tumor', 'Cell Proliferation', 'Child', 'Chromosomes/*ultrastructure', 'Hematologic Neoplasms/*drug therapy', 'History, Ancient', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*metabolism/pathology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*metabolism/pathology', 'Prognosis']",2006/09/14 09:00,2007/01/04 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2007/01/04 09:00 [medline]', '2006/09/14 09:00 [entrez]']",['10.3892/or.16.4.893 [doi]'],ppublish,Oncol Rep. 2006 Oct;16(4):893-9. doi: 10.3892/or.16.4.893.,,,,,,,,,,,,,,,,,
16969445,NLM,MEDLINE,20061025,20071115,0300-8495 (Print) 0300-8495 (Linking),35,9,2006 Sep,Stem cells--a clinical update.,719-21,"BACKGROUND: Stem cells of adult origin have been used clinically for 40 years in the treatment of haematological neoplasms such as leukaemia. These cells were originally obtained from bone marrow, but are now also being derived from umbilical cord blood. OBJECTIVE: With the increasing public awareness of stem cell use, general practitioners need to be aware for which disorders these cells can, and are, being used. DISCUSSION: Recent clinical trials with stem cells have been for ischaemic heart disease and to assist nonunion of bone. Other adult stem cells used in clinical trials include olfactory cells for spinal cord lesions, and human fetal pancreatic cells for type 1 diabetes. Adult stem cells, however, have limited potential to differentiate into different cell types. Human embryonic stem cells can be converted into cells of all lineages. They first became available for research in 1998 but are yet to be used in clinical trials.",,"['Tuch, Bernard Edward']",['Tuch BE'],"['Diabetes Transplant Unit, Prince of Wales Hospital and University of New South Wales. b.tuch@unsw.edu.au']",['eng'],"['Journal Article', 'Review']",Australia,Aust Fam Physician,Australian family physician,0326701,,IM,"['Clinical Trials as Topic', 'Diabetes Mellitus, Type 1/surgery', 'Fractures, Ununited/surgery', 'Humans', 'Huntington Disease/surgery', 'Myocardial Ischemia/surgery', 'Parkinson Disease/surgery', 'Spinal Cord Diseases/surgery', 'Stem Cell Transplantation/methods/*trends', 'Stem Cells/cytology', 'Treatment Outcome']",2006/09/14 09:00,2006/10/26 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2006/10/26 09:00 [medline]', '2006/09/14 09:00 [entrez]']",,ppublish,Aust Fam Physician. 2006 Sep;35(9):719-21.,,['Aust Fam Physician. 2007 Mar;36(3):102; author reply 102. PMID: 17357255'],14,,,,,,,,,,,,,,
16969286,NLM,MEDLINE,20061025,20060913,0041-1337 (Print) 0041-1337 (Linking),82,5,2006 Sep 15,Risk factors and severe outcome in thrombotic microangiopathy after allogeneic hematopoietic stem cell transplantation.,638-44,"BACKGROUND: Thrombotic microangiopathy (TMA) has been described as severe complication after hematopoietic stem cell transplantation (HSCT). The principal aim of this study was to focus the incidence and the outcome of TMA in the era of more complex HSCTs. METHODS: We analyzed the role of some predicting factors for the incidence and the outcome of TMA after HSCT. We enrolled 539 consecutive patients (307 males, median age 31 years) undergoing HSCT from match or mismatch human leukocyte antigen family donor (314) or match/mismatch unrelated (195) and haploidentical donor (30) for malignant or nonmalignant diseases. TMA diagnosis was performed by homogeneous clinical and laboratory criteria. RESULTS: Sixty-four of 539 patients presented TMA (11,87%) and the five-year cumulative incidence of TMA was 14% (HR=0.13). Fifty nine of 64 patients were affected by malignant and 5/64 by non-malignant diseases. On multivariate analysis, TMA occurrence was influenced by graft versus host disease >grade II (P=0.0001), donor type (P=0.029), gender (P=0.0233), total body irradiation based conditioning regimen (P=0.0041). Three factors for TMA outcome proved to be statistically significant by multivariate analysis: age (P=0.009), donor type (P=0.0187) and TMA index (P=0.029). The TMA mortality rate was 50%. The outcome was influenced by defibrotide (P=0.02 in univariate analysis). CONCLUSIONS: The study underlines the possibility of finding out which patients are more prone to developing post-HSCT TMA, and identifies which risk factors are more frequently associated with a dismal outcome after TMA.",,"['Uderzo, Cornelio', 'Bonanomi, Sonia', 'Busca, Alessandro', 'Renoldi, Mila', 'Ferrari, Pierantonio', 'Iacobelli, Massimo', 'Morreale, Giuseppe', 'Lanino, Edoardo', 'Annaloro, Claudio', 'Volpe, Aldo Della', 'Alessandrino, Paolo', 'Longoni, Daniela', 'Locatelli, Franco', 'Sangalli, Haidi', 'Rovelli, Attilio']","['Uderzo C', 'Bonanomi S', 'Busca A', 'Renoldi M', 'Ferrari P', 'Iacobelli M', 'Morreale G', 'Lanino E', 'Annaloro C', 'Volpe AD', 'Alessandrino P', 'Longoni D', 'Locatelli F', 'Sangalli H', 'Rovelli A']","[""Clinica Pediatrica dell'Universita di Milano-Bicocca, Centro Trapianto di Midollo Osseo, Ospedale San Gerardo, Monza, Italy. cornelio.uderzo@pediatriamonza.it""]",['eng'],['Journal Article'],United States,Transplantation,Transplantation,0132144,,IM,"['Adult', 'Child', 'Female', 'Graft vs Host Disease/epidemiology', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Humans', 'Incidence', 'Leukemia/therapy', 'Lymphoma, Non-Hodgkin/therapy', 'Male', 'Postoperative Complications/*epidemiology', 'Risk', 'Risk Factors', 'Thrombosis/*epidemiology', 'Transplantation, Homologous/*adverse effects', 'Treatment Outcome', 'Vascular Diseases/epidemiology']",2006/09/14 09:00,2006/10/26 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2006/10/26 09:00 [medline]', '2006/09/14 09:00 [entrez]']","['10.1097/01.tp.0000230373.82376.46 [doi]', '00007890-200609150-00007 [pii]']",ppublish,Transplantation. 2006 Sep 15;82(5):638-44. doi: 10.1097/01.tp.0000230373.82376.46.,,,,,,,,,,,,,,,,,
16969094,NLM,MEDLINE,20070503,20200930,1538-4047 (Print) 1538-4047 (Linking),5,10,2006 Oct,Mcl-1 is a relevant molecular target for antisense oligonucleotide strategies in gastric cancer cells.,1348-54,"Gastric cancer is the second most common cause of death from cancer worldwide and resistant to various chemotherapeutic regimens. In gastric cancer, the anti-apoptotic Mcl-1 protein is expressed in up to 75% of all cases and associated with poor prognosis. The biological relevance of Mcl-1 expression in gastric cancer is unclear. Thus, we investigated the functional significance and potential role of Mcl-1 as a molecular target in gastric cancer by using an antisense strategy. Gastric cancer cell lines (NCI-N87, MKN-28, MKN-45) were treated with Mcl-1 antisense oligonucleotides. Protein expression, cell growth and apoptosis were assessed for single-agent Mcl-1 AS oligonucleotide treatment and for combinations with docetaxel or cisplatin. Treatment by Mcl-1 AS oligonucleotides resulted in approximately 50% reduction in Mcl-1 protein levels in all gastric cancer cell lines examined. Surprisingly, dose-dependent Mcl-1 downregulation produced a significant increase in apoptosis and up to 60% decrease in cell growth. Moreover, combination of Mcl-1 AS oligonucleotide with docetaxel or cisplatin displayed synergistic anti-tumor activity. In conclusion, the impressive single-agent anti-tumor activity and the synergistic effect of Mcl-1 AS oligonucleotides in combination with chemotherapy might qualify Mcl-1 as a promising molecular target for AS oligonucleotide based treatment strategies for gastric cancer in the future.",,"['Wacheck, Volker', 'Cejka, Daniel', 'Sieghart, Wolfgang', 'Losert, Doris', 'Strommer, Sabine', 'Crevenna, Richard', 'Monia, Brett P', 'Selzer, Edgar']","['Wacheck V', 'Cejka D', 'Sieghart W', 'Losert D', 'Strommer S', 'Crevenna R', 'Monia BP', 'Selzer E']","['Department of Clinical Pharmacology, Section of Experimental Oncology/Molecular Pharmacology, Medical University Vienna, Vienna, Austria. volker.wacheck@meduniwien.ac.at']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Biol Ther,Cancer biology & therapy,101137842,"['0 (Antineoplastic Agents)', '0 (Interleukin-6)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Oligonucleotides, Antisense)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (Taxoids)', '15H5577CQD (Docetaxel)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Antineoplastic Agents/*pharmacology', 'Apoptosis/drug effects', 'Cell Division/drug effects', 'Cell Line, Tumor', 'Cisplatin/pharmacology', 'Docetaxel', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Interleukin-6/pharmacology', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/*genetics', 'Oligonucleotides, Antisense/*pharmacology', 'Proto-Oncogene Proteins c-bcl-2/*genetics', 'Stomach Neoplasms/*pathology', 'Taxoids/pharmacology']",2006/09/14 09:00,2007/05/04 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2007/05/04 09:00 [medline]', '2006/09/14 09:00 [entrez]']","['3224 [pii]', '10.4161/cbt.5.10.3224 [doi]']",ppublish,Cancer Biol Ther. 2006 Oct;5(10):1348-54. doi: 10.4161/cbt.5.10.3224. Epub 2006 Oct 26.,20061026,['Cancer Biol Ther. 2006 Oct;5(10):1355-6. PMID: 17172809'],,,,,,,,,,,,,,,
16969080,NLM,MEDLINE,20070111,20211203,1551-4005 (Electronic) 1551-4005 (Linking),5,19,2006 Oct,"Regulation and targeting of Eg5, a mitotic motor protein in blast crisis CML: overcoming imatinib resistance.",2223-9,"Patients with blast crisis (BC) CML frequently become resistant to Imatinib, a Bcr-Abl tyrosine kinase-targeting agent. Eg5, a microtubule-associated motor protein has been described to be highly expressed in BC CML by microarray analysis (Nowicki et al., Oncogene 2003; 22:3952-63). We investigated the regulation of Eg5 by Bcr-Abl tyrosine kinase and its potential as a therapeutic target in BC CML. Eg5 was highly expressed in all Philadelphia chromosome positive (Ph(+)) cell lines and BC CML patient samples. Inhibition of Bcr-Abl by Imatinib downregulated Eg5 expression in Imatinib-sensitive KBM5 and HL-60p185 cells, but not in Imatinib-resistant KBM5-STI571, harboring a T315I mutation, and Bcr-Abl-negative HL-60 cells. Blocking Eg5 expression with antisense oligonucleotide (Eg5-ASO) or inhibiting its activity with the small-molecule Eg5 inhibitor, S-trityl-L-cysteine induced G(2)/M cell cycle block and subsequent cell death in both Imatinib-sensitive and -resistant cells. Further, Eg5-ASO treatment of SCID mice harboring KBM5 cell xenografts significantly prolonged the median survival of the animals (p = 0.03). Our findings suggest that Eg5 is downstream of and regulated by Bcr-Abl tyrosine kinase in Philadelphia chromosome positive cells. Inhibition of Eg5 expression or its activity blocks cell cycle progression and induces cell death independent of the cellular response to Imatinib. Therefore, Eg5 could be a potential therapeutic target for the treatment of BC CML, in particular Imatinib-resistant BC CML.",,"['Carter, Bing Z', 'Mak, Duncan H', 'Shi, Yuexi', 'Schober, Wendy D', 'Wang, Rui-Yu', 'Konopleva, Marina', 'Koller, Erich', 'Dean, Nicholas M', 'Andreeff, Michael']","['Carter BZ', 'Mak DH', 'Shi Y', 'Schober WD', 'Wang RY', 'Konopleva M', 'Koller E', 'Dean NM', 'Andreeff M']","['The University of Texas MD Anderson Cancer Center, Houston, Texas 77030, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cell Cycle,"Cell cycle (Georgetown, Tex.)",101137841,"['0 (Benzamides)', '0 (KIF11 protein, human)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 3.6.4.4 (Kinesins)']",IM,"['Animals', 'Apoptosis', 'Benzamides', 'Blast Crisis', 'Cell Cycle', 'Cell Line, Tumor', '*Drug Resistance, Neoplasm', 'Fusion Proteins, bcr-abl/antagonists & inhibitors/physiology', 'Gene Expression Regulation, Neoplastic/drug effects', 'Humans', 'Imatinib Mesylate', 'Kinesins/antagonists & inhibitors/*genetics/physiology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy/pathology', 'Mice', 'Mice, SCID', 'Piperazines/*pharmacology/therapeutic use', 'Pyrimidines/*pharmacology/therapeutic use', 'Transplantation, Heterologous']",2006/09/14 09:00,2007/01/12 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2007/01/12 09:00 [medline]', '2006/09/14 09:00 [entrez]']","['3255 [pii]', '10.4161/cc.5.19.3255 [doi]']",ppublish,Cell Cycle. 2006 Oct;5(19):2223-9. doi: 10.4161/cc.5.19.3255. Epub 2006 Oct 1.,20061001,,,"['CA16672/CA/NCI NIH HHS/United States', 'P01 49639/PHS HHS/United States', 'P01 CA55164/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,
16969076,NLM,MEDLINE,20070108,20200930,1538-4047 (Print) 1538-4047 (Linking),5,8,2006 Aug,Recurrent KRAS codon 146 mutations in human colorectal cancer.,928-32,"An activating point mutation in codon 12 of the HRAS gene was the first somatic point mutation identified in a human cancer and established the role of somatic mutations as the common driver of oncogenesis. Since then, there have been over 11,000 mutations in the three RAS (HRAS, KRAS and NRAS) genes in codons 12, 13 and 61 reported in the literature. We report here the identification of recurrent somatic missense mutations at alanine 146, a highly conserved residue in the guanine nucleotide binding domain. In two independent series of colorectal cancers from Hong Kong and the United States we detected KRAS A146 mutations in 7/126 and 2/94 cases, respectively, giving a combined frequency of 4%. We also detected KRAS A146 mutations in 2/40 (5%) colorectal cell lines, including the NCI-60 colorectal cancer line HCC2998. Codon 146 mutations thus are likely to make an equal or greater contribution to colorectal cancer than codon 61 mutations (4.2% in our combined series, 1% in the literature). Lung adenocarcinomas and large cell carcinomas did not show codon 146 mutations. We did, however, identify a KRAS A146 mutation in the ML-2 acute myeloid leukemia cell line and an NRAS A146 mutation in the NALM-6 B-cell acute lymphoblastic leukemia line, suggesting that the contribution of codon 146 mutations is not entirely restricted to colorectal cancers or to KRAS.",,"['Edkins, Sarah', ""O'Meara, Sarah"", 'Parker, Adrian', 'Stevens, Claire', 'Reis, Marcelo', 'Jones, Sian', 'Greenman, Chris', 'Davies, Helen', 'Dalgliesh, Gillian', 'Forbes, Simon', 'Hunter, Chris', 'Smith, Raffaella', 'Stephens, Philip', 'Goldstraw, Peter', 'Nicholson, Andrew', 'Chan, Tsun Leung', 'Velculescu, Victor E', 'Yuen, Siu Tsan', 'Leung, Suet Yi', 'Stratton, Michael R', 'Futreal, P Andrew']","['Edkins S', ""O'Meara S"", 'Parker A', 'Stevens C', 'Reis M', 'Jones S', 'Greenman C', 'Davies H', 'Dalgliesh G', 'Forbes S', 'Hunter C', 'Smith R', 'Stephens P', 'Goldstraw P', 'Nicholson A', 'Chan TL', 'Velculescu VE', 'Yuen ST', 'Leung SY', 'Stratton MR', 'Futreal PA']","['Cancer Genome Project, Welcome Trust Sanger Institute, Hinxton, UK.']",['eng'],"['Journal Article', 'Multicenter Study', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Biol Ther,Cancer biology & therapy,101137842,"['0 (Codon)', '0 (DNA, Neoplasm)']",IM,"['Adenocarcinoma/genetics', 'Amino Acid Sequence', 'Carcinoma, Large Cell/genetics', 'Codon/*genetics', 'Colorectal Neoplasms/*genetics', 'DNA Mutational Analysis', 'DNA, Neoplasm/genetics', 'Genes, ras/*genetics', 'Hong Kong', 'Humans', 'Leukemia, Myeloid, Acute/genetics', 'Molecular Sequence Data', 'Neoplasm Staging', 'Point Mutation/*genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/genetics', 'Sequence Homology, Amino Acid', 'United States']",2006/09/14 09:00,2007/01/09 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2007/01/09 09:00 [medline]', '2006/09/14 09:00 [entrez]']","['3251 [pii]', '10.4161/cbt.5.8.3251 [doi]']",ppublish,Cancer Biol Ther. 2006 Aug;5(8):928-32. doi: 10.4161/cbt.5.8.3251. Epub 2006 Aug 1.,20060801,,,"['CA121113/CA/NCI NIH HHS/United States', 'P50 CA062924/CA/NCI NIH HHS/United States', 'R01 CA121113/CA/NCI NIH HHS/United States', 'CA062924/CA/NCI NIH HHS/United States', 'Wellcome Trust/United Kingdom', '077012/Wellcome Trust/United Kingdom']",PMC2714972,['UKMS27311'],['NLM: UKMS27311'],,,,,,,,,,
16969041,NLM,MEDLINE,20061006,20061115,0385-0684 (Print) 0385-0684 (Linking),33,9,2006 Sep,[Central venous catheter-related thrombosis with infection in cancer patients--2 cases].,1353-6,"Cancer patients receive intensive chemotherapy by central venous catheter (CVC). Generally, there is a major risk of CVC-related thrombosis and infection due to their hematological and immunological status, respectively. Recently, catheter-induced thrombosis caused by CVC-related bloodstream infection (BSI) has drawn attention in cancer patients. We observed a cohort of patients who received central venous catheterization for one year and described 2 cases of severe thrombosis associated with catheterization and its related infection. In both cases, neutropenic fever was followed by extended subcutaneous swelling with tenderness around the CVC-inserted site after intensive chemotherapy for malignant lymphoma. Chest CT revealed more severe thrombosis around the subclavian and cervical veins, but no mural thrombus on the contralateral site, in both cases. The thrombus included the air cavity, and was thought to be a sign of septic thrombi. Although the issue of the mechanism of infectious thrombosis associated with CVC insertion was not fully addressed, this rare but severe complication of CVC insertion should be studied descriptively and prevented by identification of risks and clinical signs.",,"['Imataki, Osamu', 'Tamai, Yotaro', 'Watanabe, Mari', 'Abe, Yoshiaki', 'Kawakami, Kimihiro']","['Imataki O', 'Tamai Y', 'Watanabe M', 'Abe Y', 'Kawakami K']","['Division of Hematology & Stem Cell Transplantation, Shizuoka Cancer Center.']",['jpn'],"['Case Reports', 'English Abstract', 'Journal Article']",Japan,Gan To Kagaku Ryoho,Gan to kagaku ryoho. Cancer & chemotherapy,7810034,,IM,"['Bacteremia/*etiology', 'Catheterization, Central Venous/*adverse effects', 'Catheters, Indwelling/adverse effects', 'Cohort Studies', 'Equipment Contamination/prevention & control', 'Female', 'Humans', 'Immunocompromised Host', 'Leukemia/complications/*drug therapy', 'Male', 'Middle Aged', 'Neutropenia/complications', 'Opportunistic Infections/etiology', 'Thrombosis/*etiology']",2006/09/14 09:00,2006/10/07 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2006/10/07 09:00 [medline]', '2006/09/14 09:00 [entrez]']",,ppublish,Gan To Kagaku Ryoho. 2006 Sep;33(9):1353-6.,,,,,,,,,,,,,,,,,
16968963,NLM,MEDLINE,20061219,20060913,0009-9228 (Print) 0009-9228 (Linking),45,8,2006 Oct,Unilateral benign testicular macro-orchidism in a child: decisions and dilemmas.,765-7,,,"['Henderson, C Gerry', 'Pohl, Hans', 'Schwartz, Richard H']","['Henderson CG', 'Pohl H', 'Schwartz RH']","[""Division of Urology, Children's National Medical Center, Washington, DC 20010, USA.""]",['eng'],"['Case Reports', 'Journal Article']",United States,Clin Pediatr (Phila),Clinical pediatrics,0372606,,IM,"['Child', 'Diagnosis, Differential', 'Humans', 'Hypertrophy', 'Leukemia/diagnosis', 'Lymphoma/diagnosis', 'Male', 'Organ Size', 'Testicular Diseases/*diagnosis', 'Testicular Neoplasms/*diagnosis', 'Testis/*pathology']",2006/09/14 09:00,2006/12/21 09:00,['2006/09/14 09:00'],"['2006/09/14 09:00 [pubmed]', '2006/12/21 09:00 [medline]', '2006/09/14 09:00 [entrez]']","['45/8/765 [pii]', '10.1177/0009922806292800 [doi]']",ppublish,Clin Pediatr (Phila). 2006 Oct;45(8):765-7. doi: 10.1177/0009922806292800.,,,,,,,,,,,,,,,,,
