PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,RF,TT,DEP,GR,PMC,SI,CON,EIN,CIN,CI,CN,PS,FPS,MID,LID,RIN,RPF,OID
16750505,NLM,MEDLINE,20060629,20140818,1470-2045 (Print) 1470-2045 (Linking),7,6,2006 Jun,An acute-leukaemia-like picture due to breast carcinoma cells.,524,"['Pitini, Vincenzo', 'Arrigo, Carmela', 'Altavilla, Giuseppe']","['Pitini V', 'Arrigo C', 'Altavilla G']","['Department of Medical Oncology, University of Messina, Via Consolare Valeria, 98125 Messina, Italy. pitini@ciaoweb.it']",['eng'],"['Case Reports', 'Journal Article']",England,Lancet Oncol,The Lancet. Oncology,100957246,IM,"['Adult', 'Breast Neoplasms/blood/*pathology', 'Carcinoma/blood/*pathology', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia/*pathology', 'Neoplasm Metastasis', 'Neoplastic Cells, Circulating/*pathology']",2006/06/06 09:00,2006/06/30 09:00,['2006/06/06 09:00'],"['2006/06/06 09:00 [pubmed]', '2006/06/30 09:00 [medline]', '2006/06/06 09:00 [entrez]']","['S1470-2045(06)70730-6 [pii]', '10.1016/S1470-2045(06)70730-6 [doi]']",ppublish,Lancet Oncol. 2006 Jun;7(6):524. doi: 10.1016/S1470-2045(06)70730-6.,,,,,,,,,,,,,,,,,,,,
16750498,NLM,MEDLINE,20060629,20181201,1470-2045 (Print) 1470-2045 (Linking),7,6,2006 Jun,Immunomodulating drugs for chronic lymphocytic leukaemia.,480-8,"['Chanan-Khan, Asher', 'Porter, Carl W']","['Chanan-Khan A', 'Porter CW']","['Roswell Park Cancer Institute, Elm and Carlton Streets, Buffalo, NY 14263, USA. asher.chanan-khan@roswellpark.org']",['eng'],"['Journal Article', 'Review']",England,Lancet Oncol,The Lancet. Oncology,100957246,IM,"['Aged', 'Antineoplastic Agents/adverse effects/*therapeutic use', 'Clinical Trials as Topic', 'Combined Modality Therapy', 'Cytokines/biosynthesis/blood', 'Down-Regulation', 'Humans', 'Immunologic Factors/adverse effects/*therapeutic use', 'Lenalidomide', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/pathology/*therapy', 'Lymphocyte Count', 'Middle Aged', 'Thalidomide/adverse effects/*analogs & derivatives/therapeutic use']",2006/06/06 09:00,2006/06/30 09:00,['2006/06/06 09:00'],"['2006/06/06 09:00 [pubmed]', '2006/06/30 09:00 [medline]', '2006/06/06 09:00 [entrez]']","['S1470-2045(06)70723-9 [pii]', '10.1016/S1470-2045(06)70723-9 [doi]']",ppublish,Lancet Oncol. 2006 Jun;7(6):480-8. doi: 10.1016/S1470-2045(06)70723-9.,"Chronic lymphocytic leukaemia (CLL) is a malignant haematological disorder that remains mostly incurable; more than 95% of patients have disease of B-cell origin. Advances with targeted agents such as monoclonal antibodies, antisense therapy, or both these techniques combined with traditional chemotherapy have improved the frequency of remission. The clinical course of CLL is marked by frequent relapse, and there are limited therapeutic options for patients with relapsed or refractory disease. The morphologically mature CLL clone regulates the microenvironment through modulation of the cytokine milieu that aids its growth and survival, and has a role in immune escape. Targeting of the tumour-cell microenvironment has not been investigated as a treatment option for CLL. Immunomodulating agents are a new class of drugs that change expression of various cytokines and that costimulate immune effector cells.","['0 (Antineoplastic Agents)', '0 (Cytokines)', '0 (Immunologic Factors)', '4Z8R6ORS6L (Thalidomide)', 'D2UX06XLB5 (pomalidomide)', 'F0P408N6V4 (Lenalidomide)']",60,,,,,,,,,,,,,,,,,
16750460,NLM,MEDLINE,20060622,20201212,0149-2918 (Print) 0149-2918 (Linking),28,4,2006 Apr,Management of worsening multiple sclerosis with mitoxantrone: a review.,461-74,"['Fox, Edward J']",['Fox EJ'],"['Multiple Sclerosis Clinic of Central Texas, Round Rock 78681, USA. efox@utmb.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Clin Ther,Clinical therapeutics,7706726,IM,"['Anti-Inflammatory Agents/therapeutic use', 'Clinical Trials, Phase II as Topic', 'Disease Progression', 'Humans', 'Immunosuppressive Agents/pharmacology/*therapeutic use', 'Methylprednisolone/therapeutic use', 'Mitoxantrone/pharmacology/*therapeutic use', 'Multiple Sclerosis/*drug therapy/pathology', 'Multiple Sclerosis, Relapsing-Remitting/drug therapy/pathology', 'Patient Selection', 'Randomized Controlled Trials as Topic']",2006/06/06 09:00,2006/06/23 09:00,['2006/06/06 09:00'],"['2006/02/28 00:00 [accepted]', '2006/06/06 09:00 [pubmed]', '2006/06/23 09:00 [medline]', '2006/06/06 09:00 [entrez]']","['S0149-2918(06)00101-9 [pii]', '10.1016/j.clinthera.2006.04.013 [doi]']",ppublish,Clin Ther. 2006 Apr;28(4):461-74. doi: 10.1016/j.clinthera.2006.04.013.,"BACKGROUND: Mitoxantrone, an intravenously administered immunosuppressant that inhibits T-cell, B-cell, and macrophage proliferation, is indicated for reducing neurologic disability and relapse frequency in patients with secondary progressive multiple sclerosis (SPMS), progressive relapsing MS, or worsening relapsing-remitting MS (RRMS). OBJECTIVE: This article reviews the pathogenesis and natural history of MS and examines the available treatment options for patients with RRMS, worsening RRMS, or SPMS, with a focus on mitoxantrone. METHODS: MEDLINE (1966-present) and the Cochrane Central Register of Controlled Trials (1994-present) were searched for relevant randomized, blinded, controlled clinical trials using the terms mitoxantrone, Novantrone, and multiple sclerosis. RESULTS: Five randomized, blinded, controlled trials and an ongoing open-label Phase IV safety study were identified and included in this review. In one randomized, double-blind trial (N=25), patients with RRMS who received mitoxantrone 8 mg/m2 monthly had significantly reduced relapse rates at 1 year compared with those who received placebo (P=0.014). In a 2-year, randomized, partially blinded trial (N=51), patients with active RRMS who received mitoxantrone 8 mg/m2 monthly had significantly fewer relapses compared with those who received placebo (P<0.001), and significantly fewer patients had confirmed progression of disability (1-point increase in Expanded Disability Status Scale [EDSS] score) (P=0.02). In a randomized, double-blind trial (N=49), patients with relapsing SPMS who received mitoxantrone 12 mg/m2 monthly for 3 months followed by 12 mg/m2 g3mo for up to 32 months had significant improvements in EDSS scores compared with those who received methylprednisolone 1 g IV monthly for 3 months followed by 1 g IV g3mo (P=0.002 at 1 year, P=0.045 at 2 years) and significant reductions in the number of gadolinium-enhancing lesions on magnetic resonance imaging (MRI) (P=0.002 at 1 and 2 years, P=0.03 at 3 years). In a randomized, partially blinded Phase II trial in 42 patients with active RRMS or SPMS, patients who received mitoxantrone 20 mg IV monthly and methylprednisolone 1 g IV monthly had significantly fewer new gadolinium-enhancing lesions on MRI (P<0.001) and significantly fewer relapses (P<0.01) at 6 months compared with those who received methylprednisolone alone. In a pivotal Phase III trial (N=194), patients with worsening RRMS or SPMS who received mitoxantrone 12 mg/m2 g3mo for 2 years had significantly fewer relapses (P<0.001) and significantly less deterioration in disability, as measured by change in EDSS score (P=0.019), compared with those who received placebo. In a nonrandomized subgroup of patients from this study (n=110), those who received mitoxantrone 12 mg/m2 g3mo had a significant reduction in the number of T2-weighted MRI lesions at 24 months (P=0.027). The most common adverse events in these studies included nausea and/or vomiting (18%-85%), alopecia (33%-61%), amenorrhea (8%-53%), urinary tract infections (6%-32%), and upper respiratory tract infections (4%-53%). Leukopenia was reported in 10% to 19% of patients. Use of mitoxantrone can lead to serious adverse effects, particularly cardiotoxicity, myelosuppression, and, rarely, leukemia. Long-term use of mitoxantrone may compromise left ventricular function. Limited cardiotoxicity was reported in the clinical studies; in the pivotal clinical trial, 2 patients who received mitoxantrone 12 mg/m2 had decreases in left ventricular ejection fraction to <50% of baseline. CONCLUSIONS: In the available clinical trials, mitoxantrone provided effective treatment for worsening RRMS or SPMS. When mitoxantrone is used as recommended, the risks of substantial myelosuppressive and cardiotoxic effects can be reduced by careful patient selection, drug administration, and monitoring. The lifetime cumulative dose should be strictly limited to 140 mg/m2, or 2 to 3 years of therapy.","['0 (Anti-Inflammatory Agents)', '0 (Immunosuppressive Agents)', 'BZ114NVM5P (Mitoxantrone)', 'X4W7ZR7023 (Methylprednisolone)']",69,,,,,,,,,,,,,,,,,
16750282,NLM,MEDLINE,20060912,20161018,0248-8663 (Print) 0248-8663 (Linking),27,7,2006 Jul,[Leukemia revealed by polyarthritis].,555-7,"['El aichaoui, S', 'Bahiri, R', 'Benbouazza, K', 'Bzami, F', 'Amine, B', 'Allali, F', 'Hajjaj-Hassouni, N']","['El aichaoui S', 'Bahiri R', 'Benbouazza K', 'Bzami F', 'Amine B', 'Allali F', 'Hajjaj-Hassouni N']","['Service de Rhumatologie B, CHU de Rabat-Sale, Hopital El-Ayachi, Sale, Maroc.']",['fre'],"['Case Reports', 'English Abstract', 'Journal Article']",France,Rev Med Interne,La Revue de medecine interne,8101383,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Arthritis/blood/*diagnosis', 'Diagnosis, Differential', 'Female', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*diagnosis', 'Male', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/diagnosis', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis']",2006/06/06 09:00,2006/09/13 09:00,['2006/06/06 09:00'],"['2005/01/05 00:00 [received]', '2006/04/03 00:00 [accepted]', '2006/06/06 09:00 [pubmed]', '2006/09/13 09:00 [medline]', '2006/06/06 09:00 [entrez]']","['S0248-8663(06)00158-5 [pii]', '10.1016/j.revmed.2006.04.004 [doi]']",ppublish,Rev Med Interne. 2006 Jul;27(7):555-7. doi: 10.1016/j.revmed.2006.04.004. Epub 2006 May 12.,"INTRODUCTION: Osteoarticular manifestation whose reveal leukaemia in 4% of the cases, regress completely with haematological remission. EXEGESIS: We report two observations of leukaemia revealed by polyarthritis. A 22-year-old woman has presented a polyarthritis 8 months before de diagnosis of acute leukaemia. A 34 years old men, has presented one month before admission an acute polyarthritis revealing chronic myeloid leukaemia. CONCLUSION: Polyarthritis may reveal an acute or chronic leukaemia. Systematic blood analysis can make a difference in diagnosis of recent polyarthritis.",,,Polyarthrites revelatrices d'une leucemie.,20060512,,,,,,,,,,,,,,,
16750235,NLM,MEDLINE,20060919,20071115,0042-6822 (Print) 0042-6822 (Linking),352,1,2006 Aug 15,Inhibition of viral assembly in murine cells by HIV-1 matrix.,27-38,"['Hubner, Wolfgang', 'Chen, Benjamin K']","['Hubner W', 'Chen BK']","['Department of Pharmacology and Biological Chemistry, Center for Immunobiology, Mount Sinai School of Medicine, One Gustave Levy Place Box 1215, New York, NY 10029, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Virology,Virology,0110674,IM,"['3T3 Cells', 'Animals', 'Cell Line', 'Cell Membrane/metabolism/virology', 'Chimera', 'Gene Deletion', '*Gene Expression Regulation, Viral', 'Gene Products, gag/*chemistry/genetics/*physiology', 'HIV Antigens/*chemistry/genetics/*physiology', 'HIV-1/chemistry/genetics/*metabolism/pathogenicity', 'Humans', 'Leukemia Virus, Murine/genetics/metabolism', 'Mice', 'Viral Matrix Proteins/*physiology', 'Viral Proteins/*chemistry/genetics/*physiology', '*Virus Assembly/drug effects', 'gag Gene Products, Human Immunodeficiency Virus']",2006/06/06 09:00,2006/09/20 09:00,['2006/06/06 09:00'],"['2005/10/27 00:00 [received]', '2005/11/28 00:00 [revised]', '2006/04/06 00:00 [accepted]', '2006/06/06 09:00 [pubmed]', '2006/09/20 09:00 [medline]', '2006/06/06 09:00 [entrez]']","['S0042-6822(06)00276-5 [pii]', '10.1016/j.virol.2006.04.024 [doi]']",ppublish,Virology. 2006 Aug 15;352(1):27-38. doi: 10.1016/j.virol.2006.04.024. Epub 2006 Jun 5.,"In human cells, the N-terminal matrix (MA) domain of the human immunodeficiency virus type 1 (HIV-1) Gag targets assembly to specific membrane compartments. In murine fibroblasts, membrane targeting of Gag and assembly of HIV-1 are inefficient. These deficiencies are relieved by replacement of HIV-1 MA with murine leukemia virus (MLV) MA in chimeric proviruses. In this study, we examined chimeric HIV-1 carrying tandem MLV and HIV-1 MA domains and found that the addition of MLV MA to the N-terminus of HIV-1 Gag enhanced membrane binding in murine cells, but was not sufficient to stimulate virus production. Removal of HIV MA was required to observe more efficient Gag processing and increased virus production in murine cells. Deletion of the globular head of MA also alleviated the blocks to membrane binding and Gag processing in murine cells, yet did not lead to increased virus production. These MA-dependent, cell-type-specific phenotypes suggest that host factors interact with the globular head of MA to regulate membrane binding and additional membrane-independent step(s) required for assembly.","['0 (Gene Products, gag)', '0 (HIV Antigens)', '0 (Viral Matrix Proteins)', '0 (Viral Proteins)', '0 (gag Gene Products, Human Immunodeficiency Virus)', '0 (p17 protein, Human Immunodeficiency Virus Type 1)']",,,20060605,"['AI-055321/AI/NIAID NIH HHS/United States', 'R24 CA098523/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
16749897,NLM,MEDLINE,20060727,20191110,1045-4403 (Print) 1045-4403 (Linking),16,2,2006,Combinatorial action of RUNX1 and PU.1 in the regulation of hematopoiesis.,183-92,"['Saunthararajah, Yogen', 'Boccuni, Piernicola', 'Nucifora, Giuseppina']","['Saunthararajah Y', 'Boccuni P', 'Nucifora G']","['Department of Medicine and Cancer Center, University of Illinois at Chicago, Chicago, IL 60612, USA. yogen@uic.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Crit Rev Eukaryot Gene Expr,Critical reviews in eukaryotic gene expression,9007261,IM,"['Animals', 'CCAAT-Enhancer-Binding Protein-alpha/genetics/physiology', 'Core Binding Factor Alpha 2 Subunit/genetics/*physiology', 'Gene Expression Regulation', 'Hematopoiesis/genetics/*physiology', 'Hematopoietic Stem Cells/cytology/physiology', 'Humans', 'Leukemia/genetics', 'Models, Biological', 'Mutation', 'Proto-Oncogene Proteins/genetics/*physiology', 'Trans-Activators/genetics/*physiology', 'Transcriptional Activation', 'Translocation, Genetic']",2006/06/06 09:00,2006/07/28 09:00,['2006/06/06 09:00'],"['2006/06/06 09:00 [pubmed]', '2006/07/28 09:00 [medline]', '2006/06/06 09:00 [entrez]']","['2d39b24c5067c643,33176e633167b78a [pii]', '10.1615/critreveukargeneexpr.v16.i2.60 [doi]']",ppublish,Crit Rev Eukaryot Gene Expr. 2006;16(2):183-92. doi: 10.1615/critreveukargeneexpr.v16.i2.60.,"The hematopoietic stem cell (HSC) has the potential to differentiate into mature cells with distinct phenotypes and functions. As suggested in recent reports, this plasticity can expand to include nonhematopoietic lineages, and, indeed, the HSC may repopulate liver and muscle tissues, as well. Considering the flexibility in HSC differentiation, these processes are regulated by a relatively small number of factors, some of which are expressed in all lineages, whereas others are activated only in a specific cell type. Combined evidence from many studies suggests that alternative subsets of these factors work in a combinatorial manner to regulate specific promoters for the induction of a specific lineage. RUNX1 and PU.1 have a fundamental role in HSC differentiation in that multifactor complexes are assembled around these proteins leading to tissue-specific and synergistic gene activation. Here we describe the relationship of RUNX1 with PU.1 as a facet of the combinatorial relationships that determine hematopoietic lineage commitment.","['0 (CCAAT-Enhancer-Binding Protein-alpha)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Proto-Oncogene Proteins)', '0 (Trans-Activators)', '0 (proto-oncogene protein Spi-1)']",62,,,"['R01 CA96448/CA/NCI NIH HHS/United States', 'R01 HL082935/HL/NHLBI NIH HHS/United States', 'R01 HL72691/HL/NHLBI NIH HHS/United States', 'R01 HL79580/HL/NHLBI NIH HHS/United States']",,,,,,,,,,,,,,
16749863,NLM,MEDLINE,20060808,20211119,1543-8384 (Print) 1543-8384 (Linking),3,3,2006 May-Jun,Enhanced cellular respiration in cells exposed to doxorubicin.,307-21,"['Souid, Abdul-Kader', 'Penefsky, Harvey S', 'Sadowitz, Peter D', 'Toms, Bonnie']","['Souid AK', 'Penefsky HS', 'Sadowitz PD', 'Toms B']","['Department of Pediatrics, State University of New York, Upstate Medical University, 750 East Adams Street, Syracuse, New York 13210, and Public Health Research Institute, 225 Warren Street, Newark, New Jersey 07103, USA. souida@upstate.edu']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Mol Pharm,Molecular pharmaceutics,101197791,IM,"['Adenosine Triphosphate/metabolism', 'Amino Acid Chloromethyl Ketones/pharmacology', 'Cell Division/drug effects', 'Cell Respiration/*drug effects', 'Cytochromes c/drug effects', 'DNA Fragmentation/drug effects', 'DNA Topoisomerases, Type II/metabolism', 'Doxorubicin/*pharmacology', 'HL-60 Cells', 'Humans', 'Jurkat Cells', 'Mercaptoethylamines/pharmacology', 'Oxygen Consumption/drug effects']",2006/06/06 09:00,2006/08/09 09:00,['2006/06/06 09:00'],"['2006/06/06 09:00 [pubmed]', '2006/08/09 09:00 [medline]', '2006/06/06 09:00 [entrez]']",['10.1021/mp050080j [doi]'],ppublish,Mol Pharm. 2006 May-Jun;3(3):307-21. doi: 10.1021/mp050080j.,"Doxorubicin executes topoisomerase II mediated apoptosis, a process known to result in mitochondrial dysfunction, such as the leakage of cytochrome c and the opening of mitochondrial permeability transition pores (PTP). To further define the effects of doxorubicin on cell metabolism, we measured cellular respiration, cellular ATP, DNA fragmentation, and cytochrome c leakage in Jurkat (supersensitive), human leukemia-60 (HL-60, sensitive), and HL-60/MX2 (resistant) cells following exposure to 1.0 microM doxorubicin for 30 min. The measurements were made after 24 h of exposure to the drug. In Jurkat and HL-60 cells, doxorubicin treatment increased cellular mitochondrial oxygen consumption and ATP content by 2-3-fold. The increment in oxygen consumption was blocked by the pan-caspase inhibitor benzyloxycarbonyl-Val-Ala-dl-Asp-fluoromethylketone (zVAD-fmk) and by the PTP inhibitor cyclosporin A. In HL-60/MX2 cells, which are resistant because of a reduced topoisomerase II activity, doxorubicin treatment was without effect on either respiration or ATP content, suggesting that topoisomerase II was essential for induction of apoptosis and stimulation of respiration and ATP content. The conclusion that both of the latter processes were products of oxidations in the mitochondrial respiratory chain was supported by the further observation that rotenone and sodium cyanide inhibited oxygen consumption and substantially lowered ATP content in the treated and untreated cells. Thus, oxidative phosphorylation is enhanced in cells briefly incubated with doxorubicin for as long as 24 h post drug exposure despite apoptosis-associated mitochondrial insults caused by the drug.","['0 (Amino Acid Chloromethyl Ketones)', '0 (Mercaptoethylamines)', '0 (benzyloxycarbonylvalyl-alanyl-aspartyl fluoromethyl ketone)', '05P3K9I49L (N-(2-mercaptoethyl)-1,3-diaminopropane)', '80168379AG (Doxorubicin)', '8L70Q75FXE (Adenosine Triphosphate)', '9007-43-6 (Cytochromes c)', 'EC 5.99.1.3 (DNA Topoisomerases, Type II)']",,,,,,,,,,,,,,,,,,
16749661,NLM,MEDLINE,20060713,20181113,0027-9684 (Print) 0027-9684 (Linking),98,5,2006 May,Cauda equina syndrome as a rare manifestation of leukemia relapse during postallograft period.,808-10,"['Onal, Ibrahim Koral', 'Shorbagi, Ali', 'Goker, Hakan', 'Buyukasyk, Yahya', 'Ozcakar, Levent', 'Tufan, Abdurrahman', 'Aksu, Salih', 'Haznedaroglu, Ybrahim C']","['Onal IK', 'Shorbagi A', 'Goker H', 'Buyukasyk Y', 'Ozcakar L', 'Tufan A', 'Aksu S', 'Haznedaroglu YC']","['Hacettepe University Medical School, Department of Internal Medicine Sihhiye, Ankara, Turkey. koralonal@yahoo.com']",['eng'],"['Case Reports', 'Journal Article']",United States,J Natl Med Assoc,Journal of the National Medical Association,7503090,IM,"['Abdominal Pain', 'Adult', 'Female', 'Humans', 'Leukemia, Myeloid, Acute/pathology/*therapy', 'Peripheral Blood Stem Cell Transplantation/*adverse effects', 'Polyradiculopathy/*etiology', 'Recurrence', 'Spinal Nerve Roots/pathology', 'Time Factors', 'Transplantation, Homologous/adverse effects']",2006/06/06 09:00,2006/07/14 09:00,['2006/06/06 09:00'],"['2006/06/06 09:00 [pubmed]', '2006/07/14 09:00 [medline]', '2006/06/06 09:00 [entrez]']",,ppublish,J Natl Med Assoc. 2006 May;98(5):808-10.,"Here we report a 41-year-old woman with the diagnosis of acute myeloid leukemia. While being followed on remission after allogeneic peripheral blood stem cell transplantation, she developed systemic and central nervous system (CNS) relapse. CNS involvement presented first with meningeal irritation signs and then with cauda equina syndrome (CES). We define an interesting presentation of CES as abdominal pain and discuss the rare coexistence of the syndrome and leukemia under the light of the pertinent literature.",,,,,,PMC2569274,,,,,,,,,,,,,
16742027,NLM,PubMed-not-MEDLINE,20060605,20190501,0264-6021 (Print) 0264-6021 (Linking),1,4-5,1906,The Influence of X-Rays on the Nitrogenous Metabolism and on the Blood in Myelogenous Leukaemia.,249-54,"['Williams, O T']",['Williams OT'],,['eng'],['Journal Article'],England,Biochem J,The Biochemical journal,2984726R,,,1906/01/01 00:00,1906/01/01 00:01,['1906/01/01 00:00'],"['1906/01/01 00:00 [pubmed]', '1906/01/01 00:01 [medline]', '1906/01/01 00:00 [entrez]']",['10.1042/bj0010249 [doi]'],ppublish,Biochem J. 1906;1(4-5):249-54. doi: 10.1042/bj0010249.,,,,,,,PMC1276138,,,,,,,,,,,,,
16741927,NLM,MEDLINE,20061002,20171116,0021-9541 (Print) 0021-9541 (Linking),208,3,2006 Sep,Leukemogenic AML1-ETO fusion protein upregulates expression of connexin 43: the role in AML 1-ETO-induced growth arrest in leukemic cells.,594-601,"['Li, Xi', 'Xu, Ya-Bei', 'Wang, Qiong', 'Lu, Ying', 'Zheng, Ying', 'Wang, Ying-Chao', 'Lubbert, Michael', 'Zhao, Ke-Wen', 'Chen, Guo-Qiang']","['Li X', 'Xu YB', 'Wang Q', 'Lu Y', 'Zheng Y', 'Wang YC', 'Lubbert M', 'Zhao KW', 'Chen GQ']","['Department of Pathophysiology, Key Laboratory of Cell Differentiation and Apoptosis of Chinese Ministry of Education, Rui-Jin Hospital, Shanghai Jiao Tong University School of Medicine (SJTU-SM), Shanghai, China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Cell Physiol,Journal of cellular physiology,0050222,IM,"['Base Sequence', 'Cell Cycle', 'Cell Line, Tumor', 'Chromosomes, Human, Pair 21', 'Chromosomes, Human, Pair 8', 'Connexin 43/*genetics', 'Core Binding Factor Alpha 2 Subunit/*genetics/metabolism', 'DNA Primers', 'Humans', 'Leukemia, Myeloid, Acute', 'Molecular Sequence Data', 'Oncogene Proteins, Fusion/*genetics/metabolism', 'RNA, Small Interfering', 'RUNX1 Translocation Partner 1 Protein', 'Recombinant Fusion Proteins/*pharmacology', 'Reverse Transcriptase Polymerase Chain Reaction', 'Translocation, Genetic', 'U937 Cells']",2006/06/03 09:00,2006/10/03 09:00,['2006/06/03 09:00'],"['2006/06/03 09:00 [pubmed]', '2006/10/03 09:00 [medline]', '2006/06/03 09:00 [entrez]']",['10.1002/jcp.20695 [doi]'],ppublish,J Cell Physiol. 2006 Sep;208(3):594-601. doi: 10.1002/jcp.20695.,"AML1-ETO, a fusion protein generated by the chromosomal translocation t(8;21), is frequently associated with acute myeloid leukemia (AML). In addition to blocking differentiation, AML1-ETO is also shown to induce growth arrest in AML cells, which is unfavorable for leukemogenesis harboring the t(8;21) translocation. However, its precise mechanism is still unclear. Here we provide the first demonstration that the conditional expression of AML1-ETO by the ecdysone-inducible system dramatically increases the expression of connexin 43 (CX43), together with growth arrest at G1 phase in leukemic U937 cells. We also show that the CX43 induction inhibits the proliferation of U937 cells at G1 phase, while the suppression of CX43 expression by small interfering RNA (siRNA) effectively overcomes the growth-inhibitory effect of AML1 -ETO in leukemic cells. Furthermore, either AML1-ETO or CX43 induction elevates cell-cycle negative regulator P27(kip1) protein by inhibiting its degradation, which is antagonized by siRNA against CX43. Taken together, our data indicate that CX43 plays a role in AML1-ETO-induced growth arrest possibly through the accumulation of P27(kip1) protein. The potential mutation or/and epigenetic alterations of CX43 and its related gene(s) deserve to be explored in AML1-ETO-positive AML patients.","['0 (AML1-ETO fusion protein, human)', '0 (Connexin 43)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA Primers)', '0 (Oncogene Proteins, Fusion)', '0 (RNA, Small Interfering)', '0 (RUNX1 Translocation Partner 1 Protein)', '0 (Recombinant Fusion Proteins)']",,,,,,,,,,,,,,,,,,
