PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RN,CIN,EIN,PMC,MID,TT,DEP,CON,CI,SI,LID,CN,OID,OTO,OT,GN
16399566,NLM,MEDLINE,20060324,20071115,1083-8791 (Print) 1083-8791 (Linking),12,1,2006 Jan,The role of cytotoxic therapy with hematopoietic stem cell transplantation in the therapy of acute lymphoblastic leukemia in adults: an evidence-based review.,1-30,"Evidence supporting the role of hematopoietic stem cell transplantation (SCT) in the therapy of acute lymphoblastic leukemia in adults (> or =15 years) is presented and critically evaluated in this systematic evidence-based review. Specific criteria were used for searching the published medical literature and for grading the quality and strength of the evidence, and the strength of the treatment recommendations. Treatment recommendations based on the evidence are presented and were reached unanimously by a panel of acute lymphoblastic leukemia experts. The priority areas of needed future research for adult acute lymphoblastic leukemia are: definition of patients at high risk in first complete remission, beyond Philadelphia chromosome positive; outcomes of SCT in older (>50 years) adults; determination if reduced intensity versus myeloablative conditioning regimens yield an equivalent graft-versus-leukemia effect with reduced toxicity; monitoring of minimal residual disease to achieve disease control before SCT; and the use of cord blood and other alternative sources of stem cells for use in adult SCT recipients.","['Hahn, Theresa', 'Wall, Donna', 'Camitta, Bruce', 'Davies, Stella', 'Dillon, Hildy', 'Gaynon, Paul', 'Larson, Richard A', 'Parsons, Susan', 'Seidenfeld, Jerome', 'Weisdorf, Daniel', 'McCarthy, Philip L Jr']","['Hahn T', 'Wall D', 'Camitta B', 'Davies S', 'Dillon H', 'Gaynon P', 'Larson RA', 'Parsons S', 'Seidenfeld J', 'Weisdorf D', 'McCarthy PL Jr']","['Roswell Park Cancer Institute, Buffalo, New York 14263, USA. theresa.hahn@roswellpark.org']",['eng'],"['Journal Article', 'Review']",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,IM,"['Evidence-Based Medicine', '*Graft vs Leukemia Effect', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Practice Guidelines as Topic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/mortality/*therapy', 'Treatment Outcome']",83,2006/01/10 09:00,2006/03/25 09:00,['2006/01/10 09:00'],"['2005/10/18 00:00 [received]', '2005/10/19 00:00 [accepted]', '2006/01/10 09:00 [pubmed]', '2006/03/25 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['S1083-8791(05)00718-4 [pii]', '10.1016/j.bbmt.2005.10.018 [doi]']",ppublish,Biol Blood Marrow Transplant. 2006 Jan;12(1):1-30. doi: 10.1016/j.bbmt.2005.10.018.,,,,,,,,,,,,,,,,,
16399082,NLM,MEDLINE,20060314,20211203,1534-5807 (Print) 1534-5807 (Linking),10,1,2006 Jan,Hyperdynamic plasticity of chromatin proteins in pluripotent embryonic stem cells.,105-16,"Differentiation of embryonic stem (ES) cells from a pluripotent to a committed state involves global changes in genome expression patterns. Gene activity is critically determined by chromatin structure and interactions of chromatin binding proteins. Here, we show that major architectural chromatin proteins are hyperdynamic and bind loosely to chromatin in ES cells. Upon differentiation, the hyperdynamic proteins become immobilized on chromatin. Hyperdynamic binding is a property of pluripotent cells, but not of undifferentiated cells that are already lineage committed. ES cells lacking the nucleosome assembly factor HirA exhibit elevated levels of unbound histones, and formation of embryoid bodies is accelerated. In contrast, ES cells, in which the dynamic exchange of H1 is restricted, display differentiation arrest. We suggest that hyperdynamic binding of structural chromatin proteins is a functionally important hallmark of pluripotent ES cells that contributes to the maintenance of plasticity in undifferentiated ES cells and to establishing higher-order chromatin structure.","['Meshorer, Eran', 'Yellajoshula, Dhananjay', 'George, Eric', 'Scambler, Peter J', 'Brown, David T', 'Misteli, Tom']","['Meshorer E', 'Yellajoshula D', 'George E', 'Scambler PJ', 'Brown DT', 'Misteli T']","['National Cancer Institute, National Institutes of Health, Bethesda, Maryland 20892, USA.']",['eng'],"['Comparative Study', 'Journal Article', 'Research Support, N.I.H., Intramural', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, Non-P.H.S.""]",United States,Dev Cell,Developmental cell,101120028,IM,"['Animals', 'Blotting, Western/methods', 'Cell Count/methods', 'Cell Cycle/physiology', 'Cell Cycle Proteins', 'Cell Differentiation/*physiology', 'Cells, Cultured', 'Chromatin/*metabolism', 'Chromatin Assembly and Disassembly/*physiology', 'Chromobox Protein Homolog 5', 'Chromosomal Proteins, Non-Histone/*metabolism', 'Electrophoresis, Polyacrylamide Gel/methods', 'Embryo, Mammalian', 'Embryonic Development/physiology', 'Gene Expression Regulation, Developmental/physiology', 'Green Fluorescent Proteins/metabolism', 'Histone Chaperones', 'Histone Methyltransferases', 'Histone-Lysine N-Methyltransferase/metabolism', 'Histones/metabolism', 'Immunohistochemistry/methods', 'In Situ Hybridization/methods', 'Indoles', 'Interleukin-6/deficiency', 'Intermediate Filament Proteins/metabolism', 'Kinetics', 'Leukemia Inhibitory Factor', 'Mice', 'Mice, Knockout', 'Molecular Biology/methods', 'Nerve Tissue Proteins/metabolism', 'Nestin', 'Nonlinear Dynamics', 'Octamer Transcription Factor-3/metabolism', 'Pluripotent Stem Cells/*metabolism', 'Protein Array Analysis/methods', 'Protein Methyltransferases', 'Time Factors', 'Transcription Factors/deficiency']",,2006/01/10 09:00,2006/03/15 09:00,['2006/01/10 09:00'],"['2005/06/24 00:00 [received]', '2005/09/21 00:00 [revised]', '2005/10/24 00:00 [accepted]', '2006/01/10 09:00 [pubmed]', '2006/03/15 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['S1534-5807(05)00421-1 [pii]', '10.1016/j.devcel.2005.10.017 [doi]']",ppublish,Dev Cell. 2006 Jan;10(1):105-16. doi: 10.1016/j.devcel.2005.10.017.,"['Z01 BC010309-07/BC/NCI NIH HHS/United States', 'Intramural NIH HHS/United States']","['0 (Cell Cycle Proteins)', '0 (Chromatin)', '0 (Chromosomal Proteins, Non-Histone)', '0 (Hira protein, mouse)', '0 (Histone Chaperones)', '0 (Histones)', '0 (Indoles)', '0 (Interleukin-6)', '0 (Intermediate Filament Proteins)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', '0 (Nerve Tissue Proteins)', '0 (Nes protein, mouse)', '0 (Nestin)', '0 (Octamer Transcription Factor-3)', '0 (Pou5f1 protein, mouse)', '0 (Transcription Factors)', '107283-02-3 (Chromobox Protein Homolog 5)', '147336-22-9 (Green Fluorescent Proteins)', '47165-04-8 (DAPI)', 'EC 2.1.1.- (Histone Methyltransferases)', 'EC 2.1.1.- (Protein Methyltransferases)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",['Dev Cell. 2006 Jan;10(1):1-2. PMID: 16399069'],['Dev Cell. Jan 17;22(1):233-4'],PMC1868458,['NIHMS18673'],,,,,,,,,,,
16398876,NLM,MEDLINE,20060223,20071115,1034-4810 (Print) 1034-4810 (Linking),41,12,2005 Dec,Hyponatraemia and seizures in oncology patients associated with hypotonic intravenous fluids.,685-6,,"['Duke, T', 'Kinney, S', 'Waters, K']","['Duke T', 'Kinney S', 'Waters K']","[""Intensive Care Unit, University Department of Paediatrics, Royal Children's Hospital, Melbourne, Victoria, Australia. trevor.duke@rch.org.au""]",['eng'],"['Case Reports', 'Journal Article']",Australia,J Paediatr Child Health,Journal of paediatrics and child health,9005421,IM,"['Adult', 'Antineoplastic Agents/therapeutic use', 'Child', 'Child, Preschool', 'Humans', 'Hyponatremia/*chemically induced', 'Hypotonic Solutions/*adverse effects/therapeutic use', 'Male', 'Medulloblastoma/therapy', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Seizures/*etiology', 'Water Intoxication/complications']",,2006/01/10 09:00,2006/02/24 09:00,['2006/01/10 09:00'],"['2006/01/10 09:00 [pubmed]', '2006/02/24 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['JPC760 [pii]', '10.1111/j.1440-1754.2005.00760.x [doi]']",ppublish,J Paediatr Child Health. 2005 Dec;41(12):685-6. doi: 10.1111/j.1440-1754.2005.00760.x.,,"['0 (Antineoplastic Agents)', '0 (Hypotonic Solutions)']",['J Paediatr Child Health. 2007 May;43(5):415-6. PMID: 17489839'],,,,,,,,,,,,,,
16398735,NLM,MEDLINE,20060215,20131121,0041-1132 (Print) 0041-1132 (Linking),46,1,2006 Jan,Early-onset autoimmune hemolytic anemia after cladribine therapy for Waldenstrom's macroglobulinemia.,90-4,"BACKGROUND: Purine nucleoside analogs are a class of antineoplastic drugs with potent lymphotoxicity against T and B lymphocytes, causing prolonged lymphopenia and linked to delayed immune complications such as opportunistic infections and more recently autoimmune hemolytic anemia (AIHA), seen mostly in patients with chronic lymphocytic leukemia (CLL). A characteristic temporal relation between fludarabine therapy and the appearance of a warm-reactive immunoglobulin G (IgG)-mediated AIHA in patients with CLL has been observed and, in some, the AIHA has been fatal. Whether both fludarabine and cladribine cause AIHA is uncertain because AIHA is commonly seen in patients with CLL without the use of these drugs. In contrast, AIHA is encountered in Waldenstrom's macroglobulinemia (WM) much less frequently, and the autoantibody is usually cold-reactive and IgM-mediated. In a few reported cases of AIHA arising in patients with WM after cladribine therapy, there was a latency of 24 to 60 months between therapy and the onset of AIHA, three of which were warm-reactive and IgG-mediated. CASE REPORT: A warm-reacting IgG red cell autoantibody and evidence of hemolysis detected 1 month after completing cladribine therapy for WM, with warm antibody AIHA developing 4 months later, are described. CONCLUSIONS: Cladribine, like fludarabine, is possibly able to produce this complication during or early after therapy. Because the use of purine analogs is becoming increasingly common, it is important to have an awareness of the complications that can arise during and after treatment. Further observations of warm AIHA during cladribine therapy are needed to establish it as a distinct complication.","['Aslan, Deniz L', 'Peterson, Bruce A', 'Long-Tsai, Michaela', 'Eastlund, Ted']","['Aslan DL', 'Peterson BA', 'Long-Tsai M', 'Eastlund T']","['Division of Transfusion Medicine, Department of Laboratory Medicine and Pathology, Oncology and Transplantation, University of Minnesota Medical School, Minneapolis, Minnesota 55455, USA. east1002@umn.edu']",['eng'],"['Case Reports', 'Journal Article']",United States,Transfusion,Transfusion,0417360,IM,"['Anemia, Hemolytic, Autoimmune/*chemically induced/immunology', 'Antineoplastic Agents/administration & dosage/*agonists', 'Autoantibodies/immunology', 'Cladribine/administration & dosage/*adverse effects', 'Erythrocytes/immunology', 'Hemolysis/drug effects/immunology', 'Humans', 'Immunoglobulin G/immunology', 'Male', 'Middle Aged', 'Waldenstrom Macroglobulinemia/complications/*drug therapy/immunology']",,2006/01/10 09:00,2006/02/16 09:00,['2006/01/10 09:00'],"['2006/01/10 09:00 [pubmed]', '2006/02/16 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['TRF00678 [pii]', '10.1111/j.1537-2995.2006.00678.x [doi]']",ppublish,Transfusion. 2006 Jan;46(1):90-4. doi: 10.1111/j.1537-2995.2006.00678.x.,,"['0 (Antineoplastic Agents)', '0 (Autoantibodies)', '0 (Immunoglobulin G)', '47M74X9YT5 (Cladribine)']",,,,,,,,,,,,,,,
16398657,NLM,MEDLINE,20060206,20190101,0007-1048 (Print) 0007-1048 (Linking),132,2,2006 Jan,PRIMA-1 induces apoptosis in acute myeloid leukaemia cells with p53 gene deletion.,230-6,"The p53 tumour suppressor gene located on chromosome 17p13 is the most frequently mutated gene in human tumours. About 5-8% of cases with acute myeloid leukaemia (AML) carry the p53 mutation. Recently, the compound p53-dependent reactivation and induction of massive apoptosis (PRIMA-1) has been shown to induce cytotoxic effects and apoptosis in human tumour cells by restoration of the transcriptional activity of mutated p53. This is believed to be mediated by a change in the conformation of mutated p53 protein, restoring DNA binding and activation of p53 target genes. We studied the effects of PRIMA-1 and commonly used antileukaemic drugs on AML cells from 62 patients. Cells were obtained from peripheral blood or bone marrow and were exposed to PRIMA-1, cytarabine, daunorubicin, chlorodeoxyadenosine and fludarabine. This study showed that PRIMA-1 had cytotoxic effects on AML cells. Conventional AML drugs were less effective in cells with hemizygous p53 deletion. Interestingly, our data indicated that PRIMA-1 was more effective in this subgroup of patients compared with patients with normal chromosome 17. Our data suggest that the concept of restoration of p53 protein by PRIMA-1 or a PRIMA-1-based new drug may increase the efficacy of AML treatment in patients with p53 mutations.","['Nahi, H', 'Merup, M', 'Lehmann, S', 'Bengtzen, S', 'Mollgard, L', 'Selivanova, G', 'Wiman, K G', 'Paul, C']","['Nahi H', 'Merup M', 'Lehmann S', 'Bengtzen S', 'Mollgard L', 'Selivanova G', 'Wiman KG', 'Paul C']","['Department of Haematology, Karolinska University Hospital at Huddinge, Sweden. hareth.nahi@karolinska.se']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,IM,"['ATP Binding Cassette Transporter, Subfamily B, Member 1/metabolism', 'Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/pharmacology', 'Apoptosis/*drug effects', 'Aza Compounds/*pharmacology', 'Bridged Bicyclo Compounds, Heterocyclic/*pharmacology', 'Cell Survival/drug effects', 'Dose-Response Relationship, Drug', 'Drug Resistance, Neoplasm', 'Female', '*Gene Deletion', '*Genes, p53', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myeloid/*genetics/metabolism/pathology', 'Male', 'Middle Aged', 'Neoplasm Proteins/metabolism', 'Tumor Cells, Cultured']",,2006/01/10 09:00,2006/02/07 09:00,['2006/01/10 09:00'],"['2006/01/10 09:00 [pubmed]', '2006/02/07 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['BJH5851 [pii]', '10.1111/j.1365-2141.2005.05851.x [doi]']",ppublish,Br J Haematol. 2006 Jan;132(2):230-6. doi: 10.1111/j.1365-2141.2005.05851.x.,,"['0 (ATP Binding Cassette Transporter, Subfamily B, Member 1)', '0 (Antineoplastic Agents)', '0 (Aza Compounds)', '0 (Bridged Bicyclo Compounds, Heterocyclic)', '0 (Neoplasm Proteins)', 'GHC34M30BG (2,2-bis(hydroxymethyl)-1-azabicyclo(2,2,2,)octan-3-one)']",,,,,,,,,,,,,,,
16398656,NLM,MEDLINE,20060206,20181113,0007-1048 (Print) 0007-1048 (Linking),132,2,2006 Jan,TLX1/HOX11-mediated disruption of primary thymocyte differentiation prior to the CD4+CD8+ double-positive stage.,216-29,"The TLX1/HOX11 homeobox gene is frequently activated in T-cell acute lymphoblastic leukaemia (T-ALL) by the t(10;14)(q24;q11) and t(7;10)(q35;q24) chromosomal translocations or by as yet unknown transcriptional mechanisms in the absence of 10q24 cytogenetic abnormalities. Almost all TLX1(+) T-ALLs exhibit a CD4(+)CD8(+) double-positive (DP) phenotype. To investigate the role of TLX1 as an initiating oncogene in T-ALL pathogenesis, we assessed the consequences of retroviral vector-directed TLX1 expression during the differentiation of murine and human thymocytes in fetal thymic organ cultures. Interestingly, enforced expression of TLX1 disrupted the differentiation of murine fetal liver precursors and human cord blood CD34(+) stem/progenitor cells prior to the DP thymocyte stage. Although differentiation arrest was associated with an increased percentage of apoptotic thymocytes, it could only be partially bypassed by coexpression of transgenic BCL2. Mutation of the invariant asparagine residue at position 51 of the homeodomain - which is required for efficient DNA binding - released the block, consistent with the notion that TLX1 inhibits thymocyte differentiation and promotes T-cell oncogenesis by functioning as a transcription factor. The relevance of these findings is discussed in the context of activating NOTCH1 mutations and the other genetic lesions implicated in the multistep transformation process of TLX1(+) T-ALL.","['Owens, Bronwyn M', 'Hawley, Teresa S', 'Spain, Lisa M', 'Kerkel, Kristi A', 'Hawley, Robert G']","['Owens BM', 'Hawley TS', 'Spain LM', 'Kerkel KA', 'Hawley RG']","['Graduate Program in Molecular and Cellular Oncology, Department of Anatomy and Cell Biology, The George Washington University Medical Center, Washington, DC 20037, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",England,Br J Haematol,British journal of haematology,0372544,IM,"['Animals', 'CD4-Positive T-Lymphocytes/*immunology', 'CD8-Positive T-Lymphocytes/*immunology', 'Cell Differentiation/genetics', 'Cell Transformation, Neoplastic/genetics/immunology', 'Genes, Homeobox', 'Genes, bcl-2/immunology', 'Genetic Vectors', 'Homeodomain Proteins/*genetics/metabolism', 'Humans', 'Immunophenotyping', 'Leukemia-Lymphoma, Adult T-Cell/*genetics/immunology', 'Mice', 'Mice, Inbred BALB C', 'Organ Culture Techniques', 'Proto-Oncogene Proteins/*genetics/metabolism', 'Retroviridae/genetics', 'Thymus Gland/*immunology', 'Transduction, Genetic']",,2006/01/10 09:00,2006/02/07 09:00,['2006/01/10 09:00'],"['2006/01/10 09:00 [pubmed]', '2006/02/07 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['BJH5850 [pii]', '10.1111/j.1365-2141.2005.05850.x [doi]']",ppublish,Br J Haematol. 2006 Jan;132(2):216-29. doi: 10.1111/j.1365-2141.2005.05850.x.,"['R01HL65519/HL/NHLBI NIH HHS/United States', 'R24RR16209/RR/NCRR NIH HHS/United States', 'R01 HL066305-05/HL/NHLBI NIH HHS/United States', 'R01 HL065519/HL/NHLBI NIH HHS/United States', 'R01 HL066305/HL/NHLBI NIH HHS/United States', 'R24 RR016209/RR/NCRR NIH HHS/United States', 'R01HL66305/HL/NHLBI NIH HHS/United States']","['0 (Homeodomain Proteins)', '0 (Proto-Oncogene Proteins)', '143275-75-6 (TLX1 protein, human)']",,,PMC2431114,['NIHMS51706'],,,,,,,,,,,
16398570,NLM,MEDLINE,20060301,20181113,0012-6667 (Print) 0012-6667 (Linking),66,1,2006,Anagrelide: a review of its use in the management of essential thrombocythaemia.,111-31,"Anagrelide (Agrylin, Xagrid) is an oral imidazoquinazoline agent which is indicated in Europe for the reduction of elevated platelet counts in at-risk patients with essential thrombocythaemia who are intolerant of or refractory to their current therapy, and in the US for the reduction of elevated platelet counts and the amelioration of thrombohaemorrhagic events in patients with thrombocythaemia associated with myeloproliferative disorders. Anagrelide is well established as an effective platelet-lowering agent in most patients with essential thrombocythaemia, including both treatment-naive patients and those refractory to other cytoreductive therapy. Results of the only randomised trial to date (the Primary Thrombocythaemia 1 [PT1] study) indicated that the composite primary endpoint (arterial or venous thrombosis, serious haemorrhage or death from vascular causes) occurred more often in recipients of anagrelide plus aspirin than in those receiving hydroxycarbamide (hydroxyurea) plus aspirin. This trial also indicated that the incidence of the secondary endpoints transient ischaemic attack and gastrointestinal bleeding favoured hydroxycarbamide plus aspirin, while the incidence of venous thrombosis favoured anagrelide plus aspirin. There were no differences between the groups in the incidence of secondary endpoints myocardial infarction, stroke, unstable angina, pulmonary embolism, hepatic-vein thrombosis, other serious haemorrhage or related deaths. The design of the PT1 study has been queried with respect to the heterogeneous nature of the study population (possible inclusion of patients with early myelofibrotic disease) and the concomitant use of aspirin (interaction with anagrelide causing increased bleeding events). Further data are therefore required before the role of anagrelide in essential thrombocythaemia can be finalized. In the meantime, when considering treatment options for patients with this disorder, anagrelide's positive effects on platelet function, lack of mutagenicity and lack of association with leukaemia or angiogenesis must be balanced against its comparative expense and positive inotropic effects. Thus, the role of anagrelide in the management of high-risk patients with essential thrombocythaemia will ultimately depend on individual patient assessment and future clarification of the potential leukaemogenicity of hydroxycarbamide.","['Wagstaff, Antona J', 'Keating, Gillian M']","['Wagstaff AJ', 'Keating GM']","['Adis International Limited, Auckland, New Zealand. demail@adis.co.nz']",['eng'],"['Journal Article', 'Review']",New Zealand,Drugs,Drugs,7600076,IM,"['Blood Platelets/drug effects', 'Drug Tolerance', 'Hematologic Agents/administration & dosage/pharmacology/therapeutic use', 'Humans', 'Platelet Count', 'Quinazolines/administration & dosage/pharmacology/*therapeutic use', 'Randomized Controlled Trials as Topic', 'Thrombocythemia, Essential/blood/*drug therapy']",69,2006/01/10 09:00,2006/03/02 09:00,['2006/01/10 09:00'],"['2006/01/10 09:00 [pubmed]', '2006/03/02 09:00 [medline]', '2006/01/10 09:00 [entrez]']","['6616 [pii]', '10.2165/00003495-200666010-00006 [doi]']",ppublish,Drugs. 2006;66(1):111-31. doi: 10.2165/00003495-200666010-00006.,,"['0 (Hematologic Agents)', '0 (Quinazolines)', 'K9X45X0051 (anagrelide)']",,,,,,,,,,,,,,,
16398293,NLM,MEDLINE,20060403,20071115,0945-1129 (Print) 0945-1129 (Linking),58,12,2005 Dec,[Allogenic stem cell transplantation--a case example: prospect for a new life].,772-4,,"['Cost, Ibrahim']",['Cost I'],['Palliative Care am Universitatsklinikum Wurzburg.'],['ger'],"['Case Reports', 'Journal Article']",Germany,Pflege Z,Pflege Zeitschrift,9430463,,"['Bone Marrow Purging/*nursing', 'Bone Marrow Transplantation/*nursing', 'Follow-Up Studies', 'Hematopoietic Stem Cell Transplantation/*nursing', 'Humans', 'Leukemia, Myeloid, Acute/*nursing', 'Leukocyte Count', 'Male', 'Middle Aged']",,2006/01/10 09:00,2006/04/04 09:00,['2006/01/10 09:00'],"['2006/01/10 09:00 [pubmed]', '2006/04/04 09:00 [medline]', '2006/01/10 09:00 [entrez]']",,ppublish,Pflege Z. 2005 Dec;58(12):772-4.,,,,,,,Allogene Stammzelltransplantation--ein Fallbeispiel: Aussicht auf ein neues Leben.,,,,,,,,,,
16398018,NLM,MEDLINE,20060127,20161123,0301-472X (Print) 0301-472X (Linking),8,7,1980 Aug,Cytotoxic effect of hemin and protoporphyrin on chronic lymphocytic leukemia lymphocytes.,867-79,"Hemin and protoporphyrin exerted a cytotoxic effect on lymphocytes from 24 patients with chronic lymphocytic leukemia (CLL). The porphyrins inhibited protein and RNA synthesis in a dose dependent pattern. Exposure of leukemic cells to 15 microM hemin for 10 min reduced leucine incorporation to less than 20%, and 78% of the cells were freely permeable to trypan blue. Hemin at 0.17 microM had to be bound to 10(6) cells in the dark to produce this killing effect. On the other hand, the control lymphocytes from 20 healthy subjects were relatively resistant to the hemin effect, and cell damage was reversible. Fetal calf serum (FCS) protected most leukemic lymphocytes from prophyrin toxicity. The combination of human hemoglobin with free protoporphyrin showed a synergistic toxicity, and this combination was the most potent inhibitor of protein synthesis in the presence of serum. 55Fe-hemin was preferentially bound to leukemic lymphocytes, and the binding site of protoporphyrin was observed to be on the cell surface membrane. The hemin quenching effect of diphenyl hexatriene (DPH) stained cell fluorescence indicated that hemin was apparently bound to the lipid layer of the outer membrane. Scanning electron microscopy (SEM) of hemin treated cells revealed an initial development of membranal blebs, followed by total destruction of the cell surface membrane. Transmission electron microscopy (TEM) of the treated cells showed a profound damage in the cytoplasma and nucleus. Control lymphocytes treated by hemin appeared relatively undamaged and free of membranal blebs.","['Malik, Z', 'Djaldetti, M']","['Malik Z', 'Djaldetti M']","['Department of Medicine ""B"" and Hematology Laboratory, Hasharon Hospital, Petah-Tiqva, Israel.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Cell Membrane Permeability/drug effects', 'Cell Nucleus/metabolism/ultrastructure', 'Cytoplasm/metabolism/pathology', 'Drug Synergism', 'Female', 'Hemin/*pharmacology', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/*metabolism/pathology', 'Lymphocytes/*metabolism/ultrastructure', 'Male', 'Middle Aged', 'Photosensitizing Agents/*pharmacology', 'Protein Biosynthesis/*drug effects', 'Protoporphyrins/*pharmacology', 'RNA/*biosynthesis', 'Tumor Cells, Cultured']",,1980/08/01 00:00,2006/01/28 09:00,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '2006/01/28 09:00 [medline]', '1980/08/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1980 Aug;8(7):867-79.,,"['0 (Photosensitizing Agents)', '0 (Protoporphyrins)', '63231-63-0 (RNA)', '743LRP9S7N (Hemin)', 'C2K325S808 (protoporphyrin IX)']",,,,,,,,,,,,,,,
16398016,NLM,MEDLINE,20060127,20131121,0301-472X (Print) 0301-472X (Linking),8,7,1980 Aug,Analysis of the growth enhancing effect of L-ascorbic acid on human leukemic cells in culture.,853-9,"The effect of L-ascorbic acid (LAA) on the in vitro colony growth of leukemic cells from the marrows of patients with acute nonlymphocytic leukemia was studied using a modified agar culture method featuring daily feeding. In 10 of 31 patients (32%) the growth was enhanced with supplementation of LAA in culture. The average number of colonies was reduced to 26% if LAA was deleted from culture. This growth enhancing effect appears to be specific to LAA: neither glutathione which has redox potential similar to LAA nor the acidification of culture medium with HCI to the pH of medium containing LAA is effective. This effect is also selective for leukemic marrows, and normal marrow colonies are not affected over wide range of LAA concentrations (0 to 300 microM) which are achievable in human in vivo.","['Park, C H', 'Amare, M', 'Hoogstraten, B']","['Park CH', 'Amare M', 'Hoogstraten B']","['Department of Medicine, University of Kansas Medical Center, Kansas City, KS 66103, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural']",Netherlands,Exp Hematol,Experimental hematology,0402313,IM,"['Ascorbic Acid/*pharmacology', 'Cell Culture Techniques', 'Cell Proliferation/*drug effects', 'Glutathione/pharmacology', 'Humans', 'Leukemia/*metabolism', 'Oxidation-Reduction/drug effects', 'Tumor Cells, Cultured', 'Vitamins/*pharmacology']",,1980/08/01 00:00,2006/01/28 09:00,['1980/08/01 00:00'],"['1980/08/01 00:00 [pubmed]', '2006/01/28 09:00 [medline]', '1980/08/01 00:00 [entrez]']",,ppublish,Exp Hematol. 1980 Aug;8(7):853-9.,"['KO4 CA00534/CA/NCI NIH HHS/United States', 'R01 CA20717/CA/NCI NIH HHS/United States']","['0 (Vitamins)', 'GAN16C9B8O (Glutathione)', 'PQ6CK8PD0R (Ascorbic Acid)']",,,,,,,,,,,,,,,
