PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,GR,RN,RF,AID,TT,CI,CN,DEP,PMC,EIN,CIN,CON,OID,OTO,OT,GN,RIN,MID,SI,LID
16185473,NLM,MEDLINE,20090507,20050927,0253-2727 (Print) 0253-2727 (Linking),26,6,2005 Jun,[Detection of minimal residual disease in B lineage acute lymphoblastic leukemia by 4-color flow cytometry].,327-31,"OBJECTIVE: To evaluate the method and value of detecting bone marrow minimal residual disease (MRD) in B lineage acute lymphoblastic leukemia (B-ALL) by multiparameter flow cytometry (FCM). METHODS: The FCM immunophenotyping of B-lymphocyte precursors in regenerating stage and MRD was analyzed by using two sets of 4-color antibody panels, including mainly CD34, CD10, CD45, CD19, in 26 regenerating bone marrow samples after chemotherapy and 297 consecutive bone marrow specimens from 50 patients with B-ALL, respectively. The immunophenotype of leukemia cells of B-ALL was also detected by four to six antibodies combination of 4-color CD45/SSC gating FCM. The CD19, CD10, CD34 fluorescence intensity of B-cell precursors in normal and leukemic bone marrow was compared by relatively quantitative method. RESULTS: Twelve patients were MRD positive (MRD(+)) among 50 patients during MRD monitoring, the percentages of residual leukemia cells were 0.06% to 7.73%. Eleven cases displayed CD45, CD34, CD19, CD10 antigens aberrant expression. Five patients were bone marrow relapsed and 4 of them were MRD (+) 7-17 weeks before relapse. The percentages of leukemia cells in all the 4 patients were over 0.1%. Only one patient relapsed with MRD negative. The regenerated B precursors could be divided into 3 stages according to the expression of CD45, CD34, CD19, CD10, CD22, and CD20 antigens. Abnormal expression of CD45, CD34, CD19, and CD10 were detected in 71.8% of 213 patients with B-ALL, the percentage of only aberrant expression of CD38 and myeloid antigen was 8.1%. CONCLUSION: Detection of MRD by multiparameter flow cytometry is a rapid, quantitative and sensitive approach, and has a higher predictability for relapse.","['Liu, Yan-rong', 'Wang, Hui', 'Chang, Yan', 'Cheng, Yi-fei', 'Fu, Jia-yu', 'Zhang, Le-ping', 'Liu, Gui-lan', 'Chen, Shan-shan']","['Liu YR', 'Wang H', 'Chang Y', 'Cheng YF', 'Fu JY', 'Zhang LP', 'Liu GL', 'Chen SS']","[""Institute of Hematology, People's Hospital of Peking University, Beijing 100044, China.""]",['chi'],"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,IM,"['Adolescent', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', 'Child, Preschool', 'Female', 'Flow Cytometry/*methods', 'Humans', 'Immunophenotyping/methods', 'Leukemia, B-Cell/*diagnosis', 'Male', 'Middle Aged', 'Neoplasm, Residual/*diagnosis']",2005/09/28 09:00,2009/05/08 09:00,['2005/09/28 09:00'],"['2005/09/28 09:00 [pubmed]', '2009/05/08 09:00 [medline]', '2005/09/28 09:00 [entrez]']",ppublish,Zhonghua Xue Ye Xue Za Zhi. 2005 Jun;26(6):327-31.,,,,,,,,,,,,,,,,,,,,
16185155,NLM,MEDLINE,20070125,20191109,1744-7631 (Electronic) 1472-8222 (Linking),9,5,2005 Oct,The epidermal growth factor receptor gene family as a target for therapeutic intervention in numerous cancers: what's genetics got to do with it?,1009-30,"Over the past 30 years, a relatively simple growth factor and its cognate receptor have provided seminal insights into the understanding of the genetic basis of cancer, as well as growth factor signalling. The epidermal growth factor (EGF), its cognate receptor (EGFR) and related family members have been shown to be important in normal, as well as the malignant growth of many cell types including: glioblastomata, astrocytomas, medulloblastomata, non-small cell lung carcinoma (NSCLC) and breast cancer. This review summarises the history of the EGFR gene and the v-ErbB oncogene, as well as diverse approaches developed to inhibit EGFR activity. The two most advanced therapies use either small-molecule cell membrane permeable kinase inhibitors or antibodies which prevent receptor activation. Recent clinical trials indicate that certain NSCLC patients have mutations in the EGFR gene which makes them more responsive to kinase inhibitors. These mutations appear to enhance the ability of the ligand to activate EGFR activity and also prolong the binding of the EGFR inhibitor to the kinase domain. Evidence to date suggests that these EGFR mutations in NSCLC occur more frequently in Japan than in the western hemisphere. Although these mutations are correlated with enhanced efficacy to the inhibitors in NSCLC, they can not explain or predict the sensitivity of many other cancer patients to the beneficial effects of the EGFR kinase inhibitors or antibody mediated therapy. As with as other small-molecule kinase inhibitors and susceptible diseases (e.g., imatinib and chronic myeloid leukaemia), resistance to EGFR inhibitors has been reported recently, documenting the requirement for development of multi-pronged therapeutic approaches. EGFR kinase inhibitors are also being evaluated as adjuvants in hormonal therapy of breast cancer - especially those which overexpress EGFR. Genetically engineered antibodies specific for the EGFR family member ErbB2 have been developed which show efficacy in the treatment of primary, and prevent the relapse of, breast cancer. Clearly, the EGF/EGFR signalling cascade has, and continues to play, an important role in the development of novel anticancer targeted therapies.","['Shelton, John G', 'Steelman, Linda S', 'Abrams, Steve L', 'Bertrand, Fred E', 'Franklin, Richard A', 'McMahon, Martin', 'McCubrey, James A']","['Shelton JG', 'Steelman LS', 'Abrams SL', 'Bertrand FE', 'Franklin RA', 'McMahon M', 'McCubrey JA']","['Brody School of Medicine at East Carolina University, Department of Microbiology & Immunology, Greenville, NC 27858, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",England,Expert Opin Ther Targets,Expert opinion on therapeutic targets,101127833,IM,"['Antineoplastic Agents/*pharmacology/therapeutic use', 'Epidermal Growth Factor/*genetics/*metabolism', 'Humans', '*Multigene Family', 'Neoplasms/*drug therapy/genetics/*metabolism', '*Pharmacogenetics']",2005/09/28 09:00,2007/01/26 09:00,['2005/09/28 09:00'],"['2005/09/28 09:00 [pubmed]', '2007/01/26 09:00 [medline]', '2005/09/28 09:00 [entrez]']",ppublish,Expert Opin Ther Targets. 2005 Oct;9(5):1009-30. doi: 10.1517/14728222.9.5.1009.,['R01 CA98195/CA/NCI NIH HHS/United States'],"['0 (Antineoplastic Agents)', '62229-50-9 (Epidermal Growth Factor)']",201,['10.1517/14728222.9.5.1009 [doi]'],,,,,,,,,,,,,,,,
16185153,NLM,MEDLINE,20070125,20191109,1744-7631 (Electronic) 1472-8222 (Linking),9,5,2005 Oct,Second-generation kinase inhibitors.,975-93,"An increasing number of kinase inhibitor candidates are entering clinical development, representing an important change in the pharmaceutical industry; notably, the development of small-molecule kinase inhibitors for signal transduction therapies. Today, kinase inhibitors garner substantial attention in cancer research. Over the last few years, three distinct small-molecule kinase inhibitors reached the market for treatment of chronic myeloid leukaemia, gastrointestinal stromal tumours, and non-small cell lung cancers. These three drugs, imatinib, gefitinib and erlotinib, act on a distinct subset of dysregulated, and often cancer-relevant kinases. Imatinib, gefitinib and erlotinib are considered the front-runners of targeted kinase inhibitor drugs. The entire research field gains tremendous insights through the ongoing research and clinical trials with these three drugs and with fast following first-generation kinase inhibitors, many of which are in different phases of clinical development. In addition, novel chemogenomic and chemoproteomic technologies are emanating from the current kinase research area, focussing efforts on the generation of spectrum-selective inhibitors for anticancer therapies as opposed to the monospecific inhibitors for the remaining therapeutic areas.","['Klebl, Bert M', 'Muller, Gerhard']","['Klebl BM', 'Muller G']","['GPC Biotech AG, Max-Lebsche-Platz 32, D-81377 Munich, Germany. Bert.Klebl@gpc-biotech.com']",['eng'],"['Journal Article', 'Review']",England,Expert Opin Ther Targets,Expert opinion on therapeutic targets,101127833,IM,"['*Drug Design', 'Humans', 'Protein Kinase Inhibitors/chemistry/*pharmacology', 'Substrate Specificity']",2005/09/28 09:00,2007/01/26 09:00,['2005/09/28 09:00'],"['2005/09/28 09:00 [pubmed]', '2007/01/26 09:00 [medline]', '2005/09/28 09:00 [entrez]']",ppublish,Expert Opin Ther Targets. 2005 Oct;9(5):975-93. doi: 10.1517/14728222.9.5.975.,,['0 (Protein Kinase Inhibitors)'],91,['10.1517/14728222.9.5.975 [doi]'],,,,,,,,,,,,,,,,
16184881,NLM,MEDLINE,20051206,20151119,0030-6002 (Print) 0030-6002 (Linking),146,34,2005 Aug 21,[Successful combined treatment with rituximab and high dose immunoglobulin in a patient with chronic lymphocytic leukemia with fludarabine-induced severe immune thrombocytopenia].,1791-3,"Chronic lymphocytic leukemia is rarely associated with immune thrombocytopenia. Although fludarabine treatment is widely used in the treatment of chronic lymphocytic leukemia, it can also increase the incidence and severity of immune thrombocytopenia. The authors present a case of chronic lymphocytic leucaemia after relapse of the disease. Fludarabine + cyclophosphamide treatment was administered which resulted in a nearly complete hematological remission but severe immune thrombocytopenia has occurred (platelet count < 5 x 10(9)/l). Conventional steroid and immunosuppressive treatment have failed and, in addition, autoimmune hemolysis has developed after six weeks. Rituximab (375 mg/m2) and high dose intavenous immunglobuline treatment was started and platelet count has increased (40 x 10(9)/l). Prolonged (> 1.5 year) remission and subsided hemolysis have been observed due to the rituximab treatment. Successful treatment of choice can be rituximab in those cases of chronic lymphocytic leukemia which previously have been treated with fludarabine and associated with severe immune thrombocytopenia.","['Telek, Bela', 'Batar, Peter', 'Uvardy, Miklos']","['Telek B', 'Batar P', 'Uvardy M']","['Debreceni Egyetem, Orvos-es Egeszsegtudomanyi Centrum, II. Belgyogyaszati Klinika, Hematologiai Tanszek.']",['hun'],"['Case Reports', 'English Abstract', 'Journal Article']",Hungary,Orv Hetil,Orvosi hetilap,0376412,IM,"['Aged', 'Antibodies, Monoclonal/*therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Combined Chemotherapy Protocols/adverse effects', 'Cyclophosphamide/administration & dosage', 'Drug Therapy, Combination', 'Humans', 'Immunoglobulins/*therapeutic use', 'Immunologic Factors/therapeutic use', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Male', 'Myeloablative Agonists/administration & dosage/*adverse effects', 'Rituximab', 'Severity of Illness Index', 'Thrombocytopenia/chemically induced/*drug therapy/*etiology/immunology', 'Treatment Outcome', 'Vidarabine/administration & dosage/adverse effects/*analogs & derivatives']",2005/09/28 09:00,2005/12/13 09:00,['2005/09/28 09:00'],"['2005/09/28 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/09/28 09:00 [entrez]']",ppublish,Orv Hetil. 2005 Aug 21;146(34):1791-3.,,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Immunoglobulins)', '0 (Immunologic Factors)', '0 (Myeloablative Agonists)', '4F4X42SYQ6 (Rituximab)', '8N3DW7272P (Cyclophosphamide)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,,"Kronikus lymphoid leukaemia fludarabin kezelesehez tarsulo sulyos immun-thrombocytopenia sikeres, rituximab es nagy adag immunglobulinnal tortent kombinalt kezelese.",,,,,,,,,,,,,,,
16184810,NLM,MEDLINE,20051115,20050927,0004-1858 (Print) 0004-1858 (Linking),102,3,2005 Sep,Childhood luekemia--success and challenges.,79-80,,"['Becton, David L']",['Becton DL'],"['University of Arkansas For Medical Sciences, USA.']",['eng'],"['Journal Article', 'Review']",United States,J Ark Med Soc,The Journal of the Arkansas Medical Society,7503069,IM,"['Child', 'Humans', 'Leukemia/*pathology/therapy']",2005/09/28 09:00,2005/11/16 09:00,['2005/09/28 09:00'],"['2005/09/28 09:00 [pubmed]', '2005/11/16 09:00 [medline]', '2005/09/28 09:00 [entrez]']",ppublish,J Ark Med Soc. 2005 Sep;102(3):79-80.,,,4,,,,,,,,,,,,,,,,,
16184616,NLM,MEDLINE,20060216,20091211,1552-4949 (Print) 1552-4949 (Linking),68,1,2005 Nov,Detection of various platelet-associated immunoglobulins by flow cytometry in idiopathic thrombocytopenic purpura.,37-42,"BACKGROUND: In 1975, Dixson reported that anti-platelet IgG on platelets from patients with idiopathic thrombocytopenic purpura (ITP) is greater than in normal people, by determining anti-platelet antibodies directly on the platelet surface with a quantitative complement lysis-inhibition-assay. Since then, platelet-associated IgG (PAIgG) has been thought of as evidence of ITP. Although platelets from ITP patients show significantly higher PAIgG values than from normal control individuals, PAIgG is not specific for autoantibody because it increases in other than immune ITP patients. METHODS: We analyzed positive platelet percentage with various platelet-associated immunoglobulins: IgG, IgM, IgA, and total immunoglobulins, in the blood from 17 normal donors and 23 ITP patients. RESULTS: The specificity for ITP disease was better in flow cytometry than in ELISA, because, other than ITP, only aplastic anemia was positive in flow cytometry; however, various disorders (aplastic anemia, chronic lymphocytic leukemia, acute myeloid leukemia, and myelodysplastic syndrome) showed positive in ELISA. Flow cytometry methods had the same sensitivity for ITP disease as ELISA. However, it is supposed that there was no nonimmune ITP in this study because the PAIgG negative patients (n = 1) showed positive results in flow cytometry. CONCLUSION: Flow cytometry method was effective for ITP screening, especially for specificity.","['Nishioka, Takuya', 'Yamane, Takahisa', 'Takubo, Takayuki', 'Ohta, Kensuke', 'Park, Keunsik', 'Hino, Masayuki']","['Nishioka T', 'Yamane T', 'Takubo T', 'Ohta K', 'Park K', 'Hino M']","['Clinical Hematology and Clinical Diagnostics, Graduate School of Medicine, Osaka City University, Osaka, Japan.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Blood Platelets/chemistry/*immunology', 'Enzyme-Linked Immunosorbent Assay', 'Flow Cytometry/*methods', 'Humans', 'Immunoglobulin A/analysis/immunology', 'Immunoglobulin G/analysis/immunology', 'Immunoglobulin M/analysis/immunology', 'Immunoglobulins/analysis/*immunology', 'Middle Aged', 'Platelet Count', 'Purpura, Thrombocytopenic, Idiopathic/*diagnosis', 'Sensitivity and Specificity']",2005/09/27 09:00,2006/02/17 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2006/02/17 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Cytometry B Clin Cytom. 2005 Nov;68(1):37-42. doi: 10.1002/cyto.b.20067.,,"['0 (Immunoglobulin A)', '0 (Immunoglobulin G)', '0 (Immunoglobulin M)', '0 (Immunoglobulins)']",,['10.1002/cyto.b.20067 [doi]'],,"['(c) 2005 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
16184615,NLM,MEDLINE,20060216,20091211,1552-4949 (Print) 1552-4949 (Linking),68,1,2005 Nov,Comparison of diagnostic and relapse flow cytometry phenotypes in childhood acute lymphoblastic leukemia: implications for residual disease detection: a report from the children's oncology group.,18-24,"BACKGROUND: Flow cytometric analysis of minimal residual disease (MRD) depends on detecting phenotypically abnormal populations. However, little is known about how phenotypic shifts between diagnosis and relapse affect MRD detection in childhood acute lymphoid leukemia (ALL). METHODS: We compared diagnostic and relapse bone marrow specimens in 42 children with precursor B-ALL studied with the two-tube panel CD19-APC/CD45-PerCP/CD10-PE/CD20-FITC and CD19-APC/CD45-PerCP/CD9-PE/CD34-FITC. RESULTS: At least 29 cases had phenotypic shifts of intensity or coefficient of variation of distribution of one or more markers. Shifts were complex and could not be explained by change in maturation stage. In the majority of cases MRD populations more closely resembled the diagnostic than the relapse specimen. In 6 of 7 MRD negative cases we did not identify an abnormal population that resembled diagnosis or relapse. In the remaining case, in which CD34 and CD10 were lost between diagnosis and relapse, it is possible that we could have missed an MRD population resembling relapse. CONCLUSIONS: Phenotypic shifts are common, but do not affect MRD recognition. At most 1 of 42 cases might have harbored an abnormal population undetected because of shift. However, MRD analysis with rigid gating (looking strictly for abnormal phenotypes at diagnosis) might have missed many positive cases, 8 of 22 (36%) in this series.","['Borowitz, Michael J', 'Pullen, D Jeanette', 'Winick, Naomi', 'Martin, Paul L', 'Bowman, W Paul', 'Camitta, Bruce']","['Borowitz MJ', 'Pullen DJ', 'Winick N', 'Martin PL', 'Bowman WP', 'Camitta B']","['Department of Pathology and Oncology, Johns Hopkins Medical Institutions, Baltimore, Maryland 21231, USA. mborowit@jhmi.edu']",['eng'],"['Comparative Study', 'Journal Article', 'Research Support, N.I.H., Extramural']",United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,"['Child', 'Cohort Studies', 'Flow Cytometry/*methods', 'Follow-Up Studies', 'Humans', 'Medical Oncology', 'Neoplasm, Residual/*diagnosis/therapy', 'Phenotype', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*diagnosis/*genetics/pathology', 'Recurrence', 'Sensitivity and Specificity', 'Treatment Outcome']",2005/09/27 09:00,2006/02/17 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2006/02/17 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Cytometry B Clin Cytom. 2005 Nov;68(1):18-24. doi: 10.1002/cyto.b.20071.,['R01 CA86011/CA/NCI NIH HHS/United States'],,,['10.1002/cyto.b.20071 [doi]'],,"['(c) 2005 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
16184587,NLM,MEDLINE,20051115,20151119,0361-8609 (Print) 0361-8609 (Linking),80,2,2005 Oct,Bone mineral density and serum bone turnover markers in survivors of childhood acute lymphoblastic leukemia: comparison of megadose methylprednisolone and conventional-dose prednisolone treatments.,113-8,"During recent decades, the survival rate after childhood acute lymphoblastic leukemia (ALL) has improved substantially; consequently, the long-term side effects of ALL and its treatment have gained attention, of which osteoporosis is one of the most important. The purpose of the present study was to compare the influence of different treatment protocols that include high-dose methylprednisolone (HDMP) versus conventional-dose prednisolone (CDP) for remission-induction therapy on bone mineral density (BMD) and serum bone turnover markers in survivors of childhood ALL after cessation of chemotherapy. Thirty-six boy and 23 girl survivors, treated for ALL, were cross-sectionally studied, at a mean age of 11.7 years (range 6-19). Group 1 (n = 30) received CDP therapy (prednisolone, 2 mg/kg/day, orally) and group 2 (n = 29) received HDMP therapy (prednol-L, 900-600 mg/m2, orally). All other therapies were similar in both groups. Cranial irradiation was added for high-risk patients as soon as possible after consolidation therapy. We found that mean lumbar spine BMD z score value was -1.75 (0.83) SDS in group 1 and -1.66 (1.21) SDS in group 2. There is no difference between both groups (P = 0.736). The mean BMD z scores of prepubertal and pubertal patients were not significantly different in both groups. Comparison of serum bone turnover parameters of the patients revealed no difference between the two groups. Stepwise regression analysis revealed that lumbar spine BMD z scores was predicted by height SDS and the time past since cessation of therapy, but not age at diagnosis, BMI SDS, cranial radiotherapy, and puberty. Our study results showed that HDMP treatment did not deteriorate the bone mass any more than CDP treatment. These results proved that high-dose steroid therapy over a short period of time in remission-induction treatment would not affect the bone mass any more adversely than would conventional doses approximately 3 years after cessation of chemotherapy.","['Alikasifoglu, Ayfer', 'Yetgin, Sevgi', 'Cetin, Mualla', 'Tuncer, Murat', 'Gumruk, Fatma', 'Gurgey, Aytemiz', 'Yordam, Nursen']","['Alikasifoglu A', 'Yetgin S', 'Cetin M', 'Tuncer M', 'Gumruk F', 'Gurgey A', 'Yordam N']","['Hacettepe University, Department of Pediatrics, Division of Pediatric Endocrinology, Sihhiye, Ankara, Turkey.']",['eng'],"['Clinical Trial', 'Comparative Study', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adolescent', 'Adult', 'Biomarkers/blood', 'Bone Density/*drug effects', 'Bone Remodeling/*drug effects', 'Child', 'Cross-Sectional Studies', 'Dose-Response Relationship, Drug', 'Female', 'Humans', 'Lumbosacral Region', 'Male', 'Methylprednisolone/administration & dosage/*adverse effects', 'Osteoporosis/chemically induced', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*complications/*drug therapy', 'Prednisolone/administration & dosage/*adverse effects', 'Remission Induction/methods', 'Survivors']",2005/09/27 09:00,2005/11/16 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2005/11/16 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Am J Hematol. 2005 Oct;80(2):113-8. doi: 10.1002/ajh.20438.,,"['0 (Biomarkers)', '9PHQ9Y1OLM (Prednisolone)', 'X4W7ZR7023 (Methylprednisolone)']",,['10.1002/ajh.20438 [doi]'],,"['(c) 2005 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
16184585,NLM,MEDLINE,20051115,20071115,0361-8609 (Print) 0361-8609 (Linking),80,2,2005 Oct,Childhood and adult ALL: differences in epigenetic lesions associated with cell cycle genes.,158-60,"The impact of silencing tumor suppressor genes involved in cell proliferation in adult and pediatric ALL is still unknown. We analyzed methylation of the master regulators (p73, p53, Rb), CDKIs (p27, p57), and the INK4 locus (p15) in childhood ALLs and describe a relatively low frequency. Comparisons with adult ALL showed that p57 clearly differed in children (7% methylation) and adults (50% methylation). While >20% of adult ALL Ph1 chromosome-negative undergo methylation of p73, p57, and p15, only 3% of childhood ALL carried such anomalies, which is very significant when a higher fraction of pediatric patients has non-Ph1 ALL than do the adult patients. We have studied a large p57 CpG island and expression by real-time RT-PCR. We observed that 53% of childhood leukemias lacked p57 transcripts, and the overall level was 8-fold lower than in normal lymphocytes (P < 0.0001). However, no correlation with methylation was found. Thus, loss of p57 expression in the absence of methylation may be frequent in childhood ALL, suggesting that methylation is not the sole mechanism of p57 downregulation. Methylation differences in ALL may be age-related or, alternatively, reflect different pathogenesis.","['Gutierrez, Marina I', 'Siraj, Abdul K', 'Ibrahim, Muna M', 'Hussain, Azhar', 'Bhatia, Kishor']","['Gutierrez MI', 'Siraj AK', 'Ibrahim MM', 'Hussain A', 'Bhatia K']","[""King Fahad National Centre for Children's Cancer and Research, King Faisal Specialist Hospital and Research Centre, Riyadh, Saudi Arabia. marinagutierrez@hotmail.com""]",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adult', 'Child', 'CpG Islands', 'Cyclin-Dependent Kinase Inhibitor p57', '*DNA Methylation', 'Epigenesis, Genetic', 'Genes, Tumor Suppressor', '*Genes, cdc', 'Humans', 'Nuclear Proteins/genetics', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/etiology/*genetics', 'RNA, Messenger/analysis', 'Reverse Transcriptase Polymerase Chain Reaction']",2005/09/27 09:00,2005/11/16 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2005/11/16 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Am J Hematol. 2005 Oct;80(2):158-60. doi: 10.1002/ajh.20458.,,"['0 (CDKN1C protein, human)', '0 (Cyclin-Dependent Kinase Inhibitor p57)', '0 (Nuclear Proteins)', '0 (RNA, Messenger)']",,['10.1002/ajh.20458 [doi]'],,"['(c) 2005 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
16184584,NLM,MEDLINE,20051115,20050929,0361-8609 (Print) 0361-8609 (Linking),80,2,2005 Oct,Long-term persistence of host cells detected by X-chromosome gene-based assay in patients undergoing gender-mismatched hematopoietic stem cell transplantation.,101-5,"Using our recently developed human androgen receptor (HUMARA) gene-based chimerism assay, long-term chimerism was investigated in female patients who underwent hematopoietic stem cell transplantation (HCT) with cells from male donors. After restriction digestion of samples, we detected a small number of female-derived cells within a large population of male-derived cells, with a sensitivity from 0.1% to 0.05%. Chimerism was examined in four patients with myeloid malignancies: two patients with acute myeloid leukemia (AML) from myelodysplastic syndrome (MDS), and one patient each with AML M3 and AML M4. All patients underwent myeloablative conditioning regimens and exhibited good clinical results during a median follow-up period of 6.6 years (range, 3.4-7.5 years). Female-derived cells were detected throughout the entire follow-up period in all bone marrow samples, but they became undetectable in the peripheral blood samples of 3 patients. Moreover, the HUMARA band pattern suggests that these residual host cells were normal cells. This study confirms the usefulness of the HUMARA gene-based assay, which showed that patients undergoing HCT frequently show mixed chimerism (MC) for a long period, especially in bone marrow, although the possibility of contamination by host stromal cells cannot be excluded.","['Karasawa, Masamitsu', 'Yamane, Arito', 'Mitsui, Takeki', 'Irisawa, Hiroyuki', 'Sakura, Tohru', 'Matsushima, Takafumi', 'Tsukamoto, Norifumi', 'Nojima, Yoshihisa', 'Miyawaki, Shuichi']","['Karasawa M', 'Yamane A', 'Mitsui T', 'Irisawa H', 'Sakura T', 'Matsushima T', 'Tsukamoto N', 'Nojima Y', 'Miyawaki S']","['Blood Transfusion Service, University Hospital, Faculty of Medicine, Gunma University, Gunma, Japan. karasawa@showa.gunma-u.ac.jp']",['eng'],['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,IM,"['Adult', 'Chromosomes, Human, X', 'Female', 'Genetic Techniques/*standards', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Leukemia, Myeloid/therapy', 'Longitudinal Studies', 'Middle Aged', 'Receptors, Androgen/genetics', 'Sensitivity and Specificity', 'Sex Factors', '*Transplantation Chimera/genetics']",2005/09/27 09:00,2005/11/16 09:00,['2005/09/27 09:00'],"['2005/09/27 09:00 [pubmed]', '2005/11/16 09:00 [medline]', '2005/09/27 09:00 [entrez]']",ppublish,Am J Hematol. 2005 Oct;80(2):101-5. doi: 10.1002/ajh.20465.,,"['0 (AR protein, human)', '0 (Receptors, Androgen)']",,['10.1002/ajh.20465 [doi]'],,"['(c) 2005 Wiley-Liss, Inc.']",,,,,,,,,,,,,,
