PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,AB,RN,RF,DEP,CI,CIN,GR,PMC,EIN,TT,MID,CON,OID,OTO,OT,GN,CN,SI,CRF,RIN,PS,FPS
16088324,NLM,MEDLINE,20051207,20181201,0004-069X (Print) 0004-069X (Linking),53,4,2005 Jul-Aug,The 10th congress of the European Hematology Association.,375-6,"['Wiktor-Jedrzejczyk, Wieslaw']",['Wiktor-Jedrzejczyk W'],"['Department of Hematology, Oncology, and Internal Medecine, The Medical University of Warsaw, Warsaw, Poland. wiktor@amwaw.edu.pl']",['eng'],['Congress'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,IM,"['Cord Blood Stem Cell Transplantation/*methods', 'Graft vs Host Disease', 'Hematology/*methods/*trends', 'Humans', 'Leukemia/therapy', 'Treatment Outcome']",2005/08/10 09:00,2005/12/13 09:00,['2005/08/10 09:00'],"['2005/06/22 00:00 [received]', '2005/06/30 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/08/10 09:00 [entrez]']",['7749 [pii]'],ppublish,Arch Immunol Ther Exp (Warsz). 2005 Jul-Aug;53(4):375-6.,,,,,,,,,,,,,,,,,,,,,,
16088323,NLM,MEDLINE,20051207,20181201,0004-069X (Print) 0004-069X (Linking),53,4,2005 Jul-Aug,The 3(rd )Annual International Umbilical Cord Blood Transplantation Symposium.,371-4,"['Smogorzewska, Elzbieta Monika']",['Smogorzewska EM'],"[""Hematopoietic Progenitor Cell Laboratory Research Immunology/BMT, Children's Hospital Los Angeles, CA 90027, USA. msmnogorzewska@chla.usc.edu""]",['eng'],['Congress'],Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,IM,"['Adolescent', 'Adult', 'Blood Banks', 'Cord Blood Stem Cell Transplantation/*methods', 'Fanconi Anemia/therapy', 'Histocompatibility Testing', 'Humans', 'Leukemia/therapy', 'Middle Aged', 'Stem Cells/cytology']",2005/08/10 09:00,2005/12/13 09:00,['2005/08/10 09:00'],"['2005/06/22 00:00 [received]', '2005/06/30 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/08/10 09:00 [entrez]']",['7748 [pii]'],ppublish,Arch Immunol Ther Exp (Warsz). 2005 Jul-Aug;53(4):371-4.,,,,,,,,,,,,,,,,,,,,,,
16088322,NLM,MEDLINE,20051207,20071115,0004-069X (Print) 0004-069X (Linking),53,4,2005 Jul-Aug,Simultaneous transplantation of two allogeneic units of cord blood in an adult patient with acute myeloblastic leukemia: a case report.,364-8,"['Wiktor-Jedrzejczyk, Wieslaw', 'Rokicka, Malgorzata', 'Urbanowska, Elzbieta', 'Torosian, Tigran', 'Graczyk-Pol, Elzbieta', 'Tomaszewska, Agnieszka', 'Krol, Malgorzata', 'Paluszewska, Monika', 'Gronkowska, Anna', 'Ziarkiewicz-Wroblewska, Bogna', 'Jolkowska, Justyna', 'Witt, Michal']","['Wiktor-Jedrzejczyk W', 'Rokicka M', 'Urbanowska E', 'Torosian T', 'Graczyk-Pol E', 'Tomaszewska A', 'Krol M', 'Paluszewska M', 'Gronkowska A', 'Ziarkiewicz-Wroblewska B', 'Jolkowska J', 'Witt M']","['Department of Hematology, Oncology, and Internal Diseases, Medical University of Warsaw, Warsaw, Poland. wiktor@amwaw.edu.pl']",['eng'],"['Case Reports', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,IM,"['Adult', 'Body Weight', 'Bone Marrow/metabolism', 'Cord Blood Stem Cell Transplantation/*methods', 'Fatal Outcome', 'Fetal Blood/metabolism', 'Genotype', 'Humans', 'Leukemia, Myeloid, Acute/mortality/*therapy', 'Male', 'Microsatellite Repeats/genetics', 'Sepsis', 'Time Factors', 'Treatment Outcome']",2005/08/10 09:00,2005/12/13 09:00,['2005/08/10 09:00'],"['2004/11/17 00:00 [received]', '2005/05/05 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/08/10 09:00 [entrez]']",['7747 [pii]'],ppublish,Arch Immunol Ther Exp (Warsz). 2005 Jul-Aug;53(4):364-8.,"INTRODUCTION: The major obstacle to the therapeutic use of hematopoietic transplantation is the unavailability of matched, unrelated marrow donors for the large number of potential patients, although all of them have the chance to find sufficiently matched, unrelated cord blood units. However, the use of cord blood as a source of cells for transplantation is limited by its cell number, usually below 1 billion, which allows for routine transplantation only in children weighting less than 30 kg, while most potential recipients possess a higher body mass. This led to the idea of the simultaneous use of several units of cord blood which, combined, would fulfill the requirements for the necessary cell number for an adult recipient. MATERIAL/METHODS: We attempted to simultaneously transplant an adult patient with refractory acute myeloblastic leukemia utilizing two different cord blood units, one fully matched and one mismatched at one locus. RESULTS: The patient became reconstituted with only one unit, the mismatched, as determined using microsatellite markers, and had no signs of relapse of leukemia. Unfortunately, he died of persistent fungal (brain aspergilloma) infection on day +103. CONCLUSIONS: The successful engraftment may suggest that a method based on the principle of using more than one cord blood unit for transplantation is feasible in large adult patients and may reach routine application.",,,,,,,,,,,,,,,,,,,,,
16088321,NLM,MEDLINE,20051207,20171116,0004-069X (Print) 0004-069X (Linking),53,4,2005 Jul-Aug,"Assessment of selected co-stimulatory, adhesion and activatory molecules and cytokines of Th(1)/Th(2) balance in acute lymphoblastic leukemia in children.",357-63,"['Luczynski, Wlodzimierz', 'Stasiak-Barmuta, Anna', 'Krawczuk-Rybak, Maryna', 'Malinowska, Iwona']","['Luczynski W', 'Stasiak-Barmuta A', 'Krawczuk-Rybak M', 'Malinowska I']","['Department of Pediatric Oncology, Medical University of Bialystok, Poland. vlodek@amb.edu.pl']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,IM,"['CD28 Antigens/biosynthesis', 'CD8-Positive T-Lymphocytes/metabolism', 'Case-Control Studies', 'Child', 'Child, Preschool', 'Cytokines/metabolism', 'Female', 'Flow Cytometry', 'HLA-DR Antigens/metabolism', 'Humans', 'Immunosuppressive Agents/pharmacology', 'Intercellular Adhesion Molecule-1/metabolism', 'Interferon-gamma/metabolism', 'Interleukin-4/biosynthesis/metabolism', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*blood', 'Prednisone/pharmacology', 'Receptors, Interleukin-2/metabolism', 'T-Lymphocytes/metabolism', 'Th1 Cells/*cytology', 'Th2 Cells/*cytology', 'Time Factors']",2005/08/10 09:00,2005/12/13 09:00,['2005/08/10 09:00'],"['2004/06/30 00:00 [received]', '2004/12/03 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/08/10 09:00 [entrez]']",['7746 [pii]'],ppublish,Arch Immunol Ther Exp (Warsz). 2005 Jul-Aug;53(4):357-63.,"INTRODUCTION: Recent years have seen a rise in the importance of cytokine production and co-stimulatory/activatory molecule expression in the immune response in leukemia. The aim of our study was to assess the function of T lymphocytes in children with acute lymphoblastic leukemia (ALL) during remission induction based on selected cytokine and co-stimulatory/activatory molecule expression. MATERIAL/METHODS: The study group consisted of 50 children with ALL (B cell precursor). Peripheral blood samples were taken before treatment (day 0), after the prednisone prophase (day 8), and during (day 15) and after (day 33) remission induction. The percentages of T cells with interferon (IFN)-gamma (Th(1)), interleukin (IL)-4 (Th(2)) and IL-2 receptor (IL-2R), CD28, CTLA-4, CD38, ICAM-1, and HLA-DR expression were assessed by tricolor flow cytometry. RESULTS: At the time of diagnosis we noted higher percentages of T cells with adhesion molecule ICAM-1, activation molecule CD38 expression, and an increased population of Th(2 )cells (IL-4) compared with the control group. During and after remission induction we observed a decreased population of CD38(+) T cells, elevated percentages of helper T lymphocytes with IL-2R expression, and a rise in helper T lymphocytes producing IFN-gamma (Th(1)). During fever/infection, higher levels of activated T lymphocytes (CD4(+)HLA-DR(+), CD8(+)HLA-DR(+)), a rise in Th1, and no change in Th(2 )populations were observed. CONCLUSIONS: The results suggest T cell activation and Th(2 )predominance at the time of diagnosis and during remission induction in ALL in children. These results confirm the involvement of cellular immunity in the leukemic process and can be used in immune therapy in leukemia.","['0 (CD28 Antigens)', '0 (Cytokines)', '0 (HLA-DR Antigens)', '0 (Immunosuppressive Agents)', '0 (Receptors, Interleukin-2)', '126547-89-5 (Intercellular Adhesion Molecule-1)', '207137-56-2 (Interleukin-4)', '82115-62-6 (Interferon-gamma)', 'VB0R961HZT (Prednisone)']",,,,,,,,,,,,,,,,,,,,
16088313,NLM,MEDLINE,20051207,20081121,0004-069X (Print) 0004-069X (Linking),53,4,2005 Jul-Aug,Human T cell leukemia virus type 1: the role of Tax in leukemogenesis.,283-96,"['Pise-Masison, Cynthia A', 'Jeong, Soo-Jin', 'Brady, John N']","['Pise-Masison CA', 'Jeong SJ', 'Brady JN']","['Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD 20892-5055, USA. masisonc@mail.nih.gov']",['eng'],"['Journal Article', 'Review']",Switzerland,Arch Immunol Ther Exp (Warsz),Archivum immunologiae et therapiae experimentalis,0114365,IM,"['Animals', 'Cell Cycle', 'Cell Proliferation', 'Cyclic AMP Response Element-Binding Protein/metabolism', 'DNA Repair', '*Gene Expression Regulation', 'Gene Expression Regulation, Neoplastic', '*Gene Expression Regulation, Viral', 'Gene Products, tax/*metabolism', 'Genome', 'Human T-lymphotropic virus 1/*metabolism', 'Humans', 'Leukemia/*virology', 'Models, Biological', 'NF-kappa B/metabolism', 'Protein Binding', 'Serum Response Factor/metabolism', 'Transcription, Genetic', 'Transcriptional Activation', 'Tumor Suppressor Protein p53/*metabolism']",2005/08/10 09:00,2005/12/13 09:00,['2005/08/10 09:00'],"['2004/12/08 00:00 [received]', '2005/02/01 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2005/12/13 09:00 [medline]', '2005/08/10 09:00 [entrez]']",['7766 [pii]'],ppublish,Arch Immunol Ther Exp (Warsz). 2005 Jul-Aug;53(4):283-96.,"Human T cell leukemia virus type 1 (HTLV-1) is a complex human retrovirus which is the causative agent of adult T cell leukemia (ATL). ATL occurs in about 4% of carriers and develops after a long latent period. Although the precise mechanism of HTLV-1 oncogenesis remains unclear, the pathogenesis has been linked to the pleiotropic activity of the viral transcriptional activator protein Tax. Tax has been shown to regulate viral and cellular gene expression and to functionally interfere with proteins involved in cell-cycle progression and DNA repair. This review will focus on the role of Tax in p53 inhibition.","['0 (Cyclic AMP Response Element-Binding Protein)', '0 (Gene Products, tax)', '0 (NF-kappa B)', '0 (Serum Response Factor)', '0 (Tumor Suppressor Protein p53)']",180,,,,,,,,,,,,,,,,,,,
16088125,NLM,MEDLINE,20060106,20131121,0009-3157 (Print) 0009-3157 (Linking),51,5,2005 Aug,Induction of apoptosis by the adenosine derivative IB-MECA in parental or multidrug-resistant HL-60 leukemia cells: possible relationship to the effects on inhibitor of apoptosis protein levels.,272-9,"['Notarbartolo, Monica', 'Lo Cicero, Salvina', 'Meli, Maria', 'Poma, Paola', 'Labbozzetta, Manuela', 'Cervello, Melchiorre', ""D'Alessandro, Natale""]","['Notarbartolo M', 'Lo Cicero S', 'Meli M', 'Poma P', 'Labbozzetta M', 'Cervello M', ""D'Alessandro N""]","['Dipartimento di Scienze Farmacologiche, Universita di Palermo, Italia.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Chemotherapy,Chemotherapy,0144731,IM,"['Adenosine/*analogs & derivatives/pharmacology', 'Apoptosis/*drug effects', '*Drug Resistance, Multiple', 'Drug Resistance, Neoplasm', 'Flow Cytometry', 'HL-60 Cells', 'Humans', 'Inhibitor of Apoptosis Proteins/*drug effects']",2005/08/10 09:00,2006/01/07 09:00,['2005/08/10 09:00'],"['2004/08/13 00:00 [received]', '2005/03/11 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2006/01/07 09:00 [medline]', '2005/08/10 09:00 [entrez]']","['87255 [pii]', '10.1159/000087255 [doi]']",ppublish,Chemotherapy. 2005 Aug;51(5):272-9. doi: 10.1159/000087255. Epub 2005 Jul 26.,"BACKGROUND: The effects of the A(3) adenosine receptor (A(3)AR) agonist IB-MECA were examined in HL-60 leukemia and in its multidrug-resistant variant HL-60R cells. METHODS: Cytotoxicity was evaluated by MTS assays and apoptosis by flow cytometry analyses of DNA fragmentation and phosphatidylserine exposure. The mRNAs of A(3)AR and inhibitor of apoptosis proteins (IAPs) were determined by RT-PCR. RESULTS: A(3)AR expression was similar in HL-60 and HL-60R cells. At > or =100 microM, IB-MECA exhibited strong cytotoxic and apoptotic effects in HL-60, but not in HL-60R cells. This activity was not modified by the A(3)AR antagonist VUF5574, the P-glycoprotein inhibitor verapamil, the adenosine uptake inhibitor NBTI or the anti-Fas antibody ZB4. HL-60R cells showed higher levels of different IAPs than HL-60 cells. IB-MECA 100 microM downregulated HIAP1, NAIP and survivin mRNAs in HL-60, but not in HL-60R cells. CONCLUSIONS: The antitumor effects of IB-MECA are not mediated by A(3)AR in HL-60 cells, where the proapoptotic mechanism of the compound may involve downregulation of IAPs. The resistance of HL-60R cells to IB-MECA may depend on their elevated levels of IAPs.","['0 (Inhibitor of Apoptosis Proteins)', ""152918-18-8 (N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine)"", 'K72T3FS567 (Adenosine)']",,20050726,,,,,,,,,,,,,,,,,,
16088121,NLM,MEDLINE,20060106,20191210,0009-3157 (Print) 0009-3157 (Linking),51,5,2005 Aug,Activity of cladribine combined with etoposide in heavily pretreated patients with indolent lymphoid malignancies.,247-51,"['Robak, T', 'Szmigielska-Kaplon, A', 'Blonski, J Z', 'Kasznicki, M', 'Chojnowski, K']","['Robak T', 'Szmigielska-Kaplon A', 'Blonski JZ', 'Kasznicki M', 'Chojnowski K']","['Department of Hematology, Medical University of Lodz and Copernicus Memorial Hospital, Poland. robaktad@onet.pl']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",Switzerland,Chemotherapy,Chemotherapy,0144731,IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use', 'Cladribine/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Humans', 'Infections/chemically induced', 'Infusions, Intravenous', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy', 'Lymphoma, Non-Hodgkin/*drug therapy', 'Male', 'Middle Aged', 'Neutropenia/chemically induced', 'Recurrence', 'Survival Analysis', 'Treatment Outcome']",2005/08/10 09:00,2006/01/07 09:00,['2005/08/10 09:00'],"['2004/09/13 00:00 [received]', '2005/03/10 00:00 [accepted]', '2005/08/10 09:00 [pubmed]', '2006/01/07 09:00 [medline]', '2005/08/10 09:00 [entrez]']","['87251 [pii]', '10.1159/000087251 [doi]']",ppublish,Chemotherapy. 2005 Aug;51(5):247-51. doi: 10.1159/000087251. Epub 2005 Jul 26.,"We determined the effectiveness and toxicity of combined chemotherapy consisting of etoposide 100 mg/m(2)/day i.v. and cladribine (2-CdA) 0.12 mg/kg/day i.v. each for 5 days (EC regimen) in the treatment of refractory or relapsed low-grade non-Hodgkin's lymphoma and chronic lymphocytic leukemia. The cycles were repeated every 28 days, reaching a maximum of six courses. Twenty patients entered the study. All patients had received three or more cycles of chemotherapy before the EC regimen (median 8, range 3-19). Thirteen patients received 2-CdA before the EC regimen. Seven out of 20 patients (35%) responded, including one complete response. Median overall survival time of responding patients was 22 months (range 3-30). Myelosuppression and infections were the major toxicity of the EC regimen.","['47M74X9YT5 (Cladribine)', '6PLQ3CP4P3 (Etoposide)', 'EC regimen 2']",,20050726,"['Copyright 2005 S. Karger AG, Basel.']",,,,,,,,,,,,,,,,,
16087949,NLM,MEDLINE,20050920,20061115,0732-183X (Print) 0732-183X (Linking),23,25,2005 Sep 1,Role of depression as a predictor of mortality among cancer patients after stem-cell transplantation.,6063-71,"['Prieto, Jesus M', 'Atala, Jorge', 'Blanch, Jordi', 'Carreras, Enric', 'Rovira, Montserrat', 'Cirera, Esteve', 'Espinal, Anna', 'Gasto, Cristobal']","['Prieto JM', 'Atala J', 'Blanch J', 'Carreras E', 'Rovira M', 'Cirera E', 'Espinal A', 'Gasto C']","['Department of Psychiatry, Clinical Institute of Psychiatry and Psychology, University of Barcelona, Spain. jmprieto@comg.es']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Clin Oncol,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,8309333,IM,"['Adolescent', 'Adult', 'Aged', 'Depressive Disorder, Major/*complications', 'Diagnostic and Statistical Manual of Mental Disorders', 'Female', 'Hematologic Neoplasms/*psychology/*therapy', 'Hematopoietic Stem Cell Transplantation/*psychology', 'Humans', 'Male', 'Middle Aged', 'Prognosis', 'Prospective Studies', 'Survival Analysis']",2005/08/10 09:00,2005/09/21 09:00,['2005/08/10 09:00'],"['2005/08/10 09:00 [pubmed]', '2005/09/21 09:00 [medline]', '2005/08/10 09:00 [entrez]']","['JCO.2005.05.751 [pii]', '10.1200/JCO.2005.05.751 [doi]']",ppublish,J Clin Oncol. 2005 Sep 1;23(25):6063-71. doi: 10.1200/JCO.2005.05.751. Epub 2005 Aug 8.,"PURPOSE: To determine the association between depression and survival among cancer patients at 1, 3, and 5 years after stem-cell transplantation (SCT). PATIENTS AND METHODS: This was a prospective cohort study of 199 hematologic cancer patients who survived longer than 90 days after SCT and who were recruited in a University-based hospital between July 1994 and August 1997. Patients received a psychiatric assessment at four consecutive time points during hospitalization for SCT, yielding a total of 781 interviews. Depression diagnoses were determined on the basis of the Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition. RESULTS: Eighteen (9.0%) and 17 patients (8.5%) met criteria for major and minor depression, respectively. Multivariate Cox regression models found major depression to be predictive of higher 1-year (hazard ratio [HR], 2.59; 95% CI, 1.21 to 5.53; P = .014) and 3-year mortality (HR, 2.04; 95% CI, 1.03 to 4.02; P = .041) but not 5-year mortality (HR, 1.48; 95% CI, 0.76 to 2.87; P = .249). Minor depression had no effect on any mortality outcome. Other multivariate significant predictors of higher mortality were higher regimen toxicity in the 1-, 3-, and 5-year models; older age and acute lymphoblastic leukemia in the 3- and 5-year models; chronic myelogenous leukemia in the 3-year model; and lower functional status and intermediate/higher risk status in the 5-year model. Use of peripheral-blood stem cells predicted lower mortality in the 5-year model. CONCLUSION: After adjusting for multiple factors, major depression predicted higher 1- and 3-year mortality among cancer patients after SCT, underscoring the importance of adequate diagnosis and treatment of major depression.",,,20050808,,['J Clin Oncol. 2005 Sep 1;23(25):5878-80. PMID: 16087938'],,,,,,,,,,,,,,,,
16087828,NLM,MEDLINE,20050907,20071114,0003-9926 (Print) 0003-9926 (Linking),165,15,2005 Aug 8-22,"Incidence of venous thromboembolism in the year before the diagnosis of cancer in 528,693 adults.",1782-7,"['White, Richard H', 'Chew, Helen K', 'Zhou, Hong', 'Parikh-Patel, Arti', 'Harris, David', 'Harvey, Danielle', 'Wun, Theodore']","['White RH', 'Chew HK', 'Zhou H', 'Parikh-Patel A', 'Harris D', 'Harvey D', 'Wun T']","['Departments of Internal Medicine, Medicine, Medicine and Statistics, and Public Health Sciences, University of California Davis, Sacramento, CA 95817, USA. rhwhite@ucdavis.edu']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Arch Intern Med,Archives of internal medicine,0372440,IM,"['Adult', 'Aged', 'Breast Neoplasms/epidemiology', 'California/epidemiology', 'Carcinoma, Renal Cell/epidemiology', 'Cohort Studies', 'Colonic Neoplasms/epidemiology', 'Comorbidity', 'Female', 'Humans', 'Incidence', 'Kidney Neoplasms/epidemiology', 'Leukemia, Myeloid/epidemiology', 'Lung Neoplasms/epidemiology', 'Lymphoma, Non-Hodgkin/epidemiology', 'Male', 'Middle Aged', 'Neoplasms/*epidemiology', 'Ovarian Neoplasms/epidemiology', 'Pancreatic Neoplasms/epidemiology', 'Prostatic Neoplasms/epidemiology', 'Stomach Neoplasms/epidemiology', 'Time Factors', 'Venous Thrombosis/*epidemiology']",2005/08/10 09:00,2005/09/08 09:00,['2005/08/10 09:00'],"['2005/08/10 09:00 [pubmed]', '2005/09/08 09:00 [medline]', '2005/08/10 09:00 [entrez]']","['165/15/1782 [pii]', '10.1001/archinte.165.15.1782 [doi]']",ppublish,Arch Intern Med. 2005 Aug 8-22;165(15):1782-7. doi: 10.1001/archinte.165.15.1782.,"BACKGROUND: It is unclear how frequently unprovoked venous thromboembolism (VTE) reflects the presence of an occult cancer. METHODS: The California Cancer Registry was used to identify diagnosed cases of 19 common malignancies during a 6-year period. Cases were linked to a hospital discharge database to identify incident VTE events in the year before the cancer diagnosis date. The standardized incidence ratio (SIR) of unprovoked VTE was determined by using the age-, race-, and sex-specific incidence rates in California. RESULTS: Among 528,693 cancer cases, 596 (0.11%) were associated with a diagnosis of unprovoked VTE within 1 year of the cancer diagnosis, compared with 443.0 expected cases (SIR, 1.3; 95% confidence interval, 1.2-1.5; P<.001). Among cases with metastatic-stage cancer, the SIR was 2.3 (95% confidence interval, 2.0-2.6; P<.001), whereas for all other stages, the SIR was 1.07 (95% confidence interval, 0.97-1.18; P = .09). The incidence of preceding VTE was increased over that expected only during the 4-month period immediately preceding the cancer diagnosis date (P<.001). Only 7 cancer types were associated with a significantly elevated SIR: acute myelogenous leukemia; non-Hodgkin lymphoma; and renal cell, ovarian, pancreatic, stomach, and lung cancer (SIR range, 1.8-4.2). CONCLUSIONS: In the year preceding the diagnosis of cancer, the number of cases with unprovoked VTE was modestly higher than expected, and almost all of the unexpected VTE cases were associated with a diagnosis of metastatic-stage cancer within 4 months. Given the timing and advanced stage of the unexpected cases, it is unlikely that earlier diagnosis of these cancers would have significantly improved long-term survival.",,,,,,['5RO3CA099527-02/CA/NCI NIH HHS/United States'],,,,,,,,,,,,,,,
16087638,NLM,MEDLINE,20051026,20181201,1028-6020 (Print) 1028-6020 (Linking),7,4,2005 Aug,Resveratrol induces apoptosis and differentiation in acute promyelocytic leukemia (NB4) cells.,633-41,"['Cao, Yu', 'Wang, Fang', 'Liu, Hong-Yan', 'Fu, Zhao-Di', 'Han, Rui']","['Cao Y', 'Wang F', 'Liu HY', 'Fu ZD', 'Han R']","['Department of Pharmacology, Institute of Materia Medica, Peking Union Medical College and Chinese Academy of Medical Sciences, Beijing 100050, China. tangcaoyu@hotmail.com']",['eng'],['Journal Article'],England,J Asian Nat Prod Res,Journal of Asian natural products research,100888334,IM,"['Anticarcinogenic Agents/*pharmacology', 'Antineoplastic Agents/pharmacology', 'Apoptosis/*drug effects', 'Cell Differentiation/*drug effects', 'Cell Proliferation/drug effects', 'DNA Damage', 'Humans', 'Leukemia, Promyelocytic, Acute/*pathology', 'Resveratrol', 'Stilbenes/*pharmacology', 'Tretinoin/pharmacology', 'Tumor Cells, Cultured']",2005/08/10 09:00,2005/10/27 09:00,['2005/08/10 09:00'],"['2005/08/10 09:00 [pubmed]', '2005/10/27 09:00 [medline]', '2005/08/10 09:00 [entrez]']","['R650117210805P7K [pii]', '10.1080/1028602032000169523 [doi]']",ppublish,J Asian Nat Prod Res. 2005 Aug;7(4):633-41. doi: 10.1080/1028602032000169523.,"Resveratrol (3,5,4'-trihydroxy-trans-stilbene) is a naturally occurring phytoalexin found in grapes and wine, and has been reported to exert a variety of important pharmacological effects. We have investigated the activity of resveratrol on proliferation and differentiation of the acute promyelocytic leukemia cell line NB4. The growth inhibitory properties of resveratrol appear to be due to its induction of apoptotic cell death, as determined by morphological changes, DNA fragmentation, increased proportion of the subdiploid cell population and decreased mitochondrial transmembrane potential (Deltapsi(m)). Colorimetric assay for activity of caspase-3 showed an obvious increase in caspase-3 activity in cells after treatment with resveratrol. However, the expression levels of protein Bcl-2 and Bax show no significant change in response to resveratrol treatment. These results suggest that apoptosis of NB4 cells induced by resveratrol requires caspase-3 activation and is related to the mitochondrial transmembrane potential. The combination of resveratrol and all-tran-retinoic acid (ATRA) induced 100% of the NB4 cells to become NBT-positive, whereas only a small part of cells became positive for NBT after a similar exposure to either resveratrol or ATRA alone. Thus, resveratrol may be useful in treating acute promyelocytic leukemia.","['0 (Anticarcinogenic Agents)', '0 (Antineoplastic Agents)', '0 (Stilbenes)', '5688UTC01R (Tretinoin)', 'Q369O8926L (Resveratrol)']",,,,,,,,,,,,,,,,,,,,
