PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,SI,GR,PT,DEP,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CN,CIN,RF,PMC,CI,CON,LID,TT,EIN,MID,COIS,PS,FPS,CRF,UIN,OID,OTO,OT,GN
15579899,NLM,MEDLINE,20050418,20210209,0021-9258 (Print) 0021-9258 (Linking),280,7,2005 Feb 18,Structure and regulation of the murine reduced folate carrier gene: identification of four noncoding exons and promoters and regulation by dietary folates.,5588-97,"The upstream structure and regulation of the mouse reduced folate carrier (mRFC) gene was characterized. By 5'-rapid amplification of cDNA ends assay and DNA sequencing from mouse tissues and 7-15-day stage embryos, mRFC transcripts with four unique 5' noncoding exons, designated mRFC-a,-b,-c, and -d, were identified mapping over 6300 bp. The 5' noncoding exons were characterized by multiple transcription starts and, for form b, two alternate splice forms. mRFC transcript forms were measured by real-time reverse transcription-PCR in mouse tissues and embryos and in L1210 leukemia and BNL CL.2 liver cell lines. The highest mRFC levels were detected in kidney and brain. mRFC-b and -c were the major transcript forms, with low levels of mRFC-a and -d. The 5'-flanking regions for exons a-d each exhibited promoter activity in reporter gene assays. mRFC transcripts and individual noncoding exons were measured in small intestine and kidney from mice fed folate-deficient or -replete diets. Mice fed the folate-deficient diet exhibited a significant (13.8-fold) increase in total mRFC transcripts and protein in the small intestine, reflecting increases in each of the mRFC-b, -c, and -d forms. Only minor changes in mRFC transcript levels or distributions were detected for kidney. Levels of folate-binding protein alpha were also increased in both small intestine and kidney in folate-deficient mice (91- and 2-fold, respectively). Multidrug resistance-associated proteins 1 and 3 were, likewise, elevated in intestine from folate-deficient mice (53- and 168-fold, respectively); however, there were no significant changes in kidney. Our results document the existence of four unique noncoding exons and promoters for mRFC and demonstrate a facile induction of mRNAs for mRFC and multidrug resistance-associated proteins 1 and 3 in intestine in response to changes in dietary folate intake.","['Liu, Mingjun', 'Ge, Yubin', 'Cabelof, Diane C', 'Aboukameel, Amro', 'Heydari, Ahmad R', 'Mohammad, Ramzi', 'Matherly, Larry H']","['Liu M', 'Ge Y', 'Cabelof DC', 'Aboukameel A', 'Heydari AR', 'Mohammad R', 'Matherly LH']","['Experimental and Clinical Therapeutics Program, Barbara Ann Karmanos Cancer Institute, Waynes State University School of Medicine, 110 E. Warren Ave., Detriot, MI 48201, USA.']",['eng'],"['GENBANK/AY734485', 'GENBANK/AY734486', 'GENBANK/AY734487', 'GENBANK/U57780']",['CA53535/CA/NCI NIH HHS/United States'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",20041203,United States,J Biol Chem,The Journal of biological chemistry,2985121R,"[""0 (5' Untranslated Regions)"", '0 (Abcc4 protein, mouse)', '0 (Carrier Proteins)', '0 (Folate Receptors, GPI-Anchored)', '0 (Multidrug Resistance-Associated Proteins)', '0 (Receptors, Cell Surface)', '1YV0492L5Z (multidrug resistance-associated protein 3)', '935E97BOY8 (Folic Acid)', 'Y49M64GZ4Q (multidrug resistance-associated protein 1)']",IM,"[""5' Untranslated Regions/genetics/metabolism"", 'Animals', 'Base Sequence', 'Carrier Proteins/*genetics', 'Exons/*genetics', 'Folate Receptors, GPI-Anchored', 'Folic Acid/administration & dosage/metabolism/pharmacology', 'Gene Expression Regulation/*genetics', 'Humans', 'Mice', 'Molecular Sequence Data', 'Multidrug Resistance-Associated Proteins/genetics', 'Promoter Regions, Genetic/*genetics', 'Receptors, Cell Surface/*genetics', 'Response Elements/genetics', 'Reverse Transcriptase Polymerase Chain Reaction']",2004/12/08 09:00,2005/04/19 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/04/19 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['S0021-9258(19)63061-9 [pii]', '10.1074/jbc.M412662200 [doi]']",ppublish,J Biol Chem. 2005 Feb 18;280(7):5588-97. doi: 10.1074/jbc.M412662200. Epub 2004 Dec 3.,,,,,,,,,,,,,,,,,,,
15579422,NLM,MEDLINE,20050302,20181113,0091-6765 (Print) 0091-6765 (Linking),112,17,2004 Dec,Epidemiology of health effects of radiofrequency exposure.,1741-54,"We have undertaken a comprehensive review of epidemiologic studies about the effects of radiofrequency fields (RFs) on human health in order to summarize the current state of knowledge, explain the methodologic issues that are involved, and aid in the planning of future studies. There have been a large number of occupational studies over several decades, particularly on cancer, cardiovascular disease, adverse reproductive outcome, and cataract, in relation to RF exposure. More recently, there have been studies of residential exposure, mainly from radio and television transmitters, and especially focusing on leukemia. There have also been studies of mobile telephone users, particularly on brain tumors and less often on other cancers and on symptoms. Results of these studies to date give no consistent or convincing evidence of a causal relation between RF exposure and any adverse health effect. On the other hand, the studies have too many deficiencies to rule out an association. A key concern across all studies is the quality of assessment of RF exposure. Despite the ubiquity of new technologies using RFs, little is known about population exposure from RF sources and even less about the relative importance of different sources. Other cautions are that mobile phone studies to date have been able to address only relatively short lag periods, that almost no data are available on the consequences of childhood exposure, and that published data largely concentrate on a small number of outcomes, especially brain tumor and leukemia.","['Ahlbom, Anders', 'Green, Adele', 'Kheifets, Leeka', 'Savitz, David', 'Swerdlow, Anthony']","['Ahlbom A', 'Green A', 'Kheifets L', 'Savitz D', 'Swerdlow A']","['Institute of Environmental Medicine, Karolinska Institutet, Stockholm, Sweden. anders.ahlbom@imm.ki.se']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,United States,Environ Health Perspect,Environmental health perspectives,0330411,,IM,"['Adult', 'Brain Neoplasms/etiology', 'Cell Phone', 'Child', '*Environmental Exposure', '*Environmental Health', 'Epidemiologic Studies', 'Humans', 'Leukemia/etiology', '*Occupational Exposure', 'Radio Waves/*adverse effects', 'Research Design', 'Risk Assessment']",2004/12/08 09:00,2005/03/03 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/03/03 09:00 [medline]', '2004/12/08 09:00 [entrez]']",['10.1289/ehp.7306 [doi]'],ppublish,Environ Health Perspect. 2004 Dec;112(17):1741-54. doi: 10.1289/ehp.7306.,"['ICNIRP (International Commission for Non-Ionizing Radiation Protection) Standing', 'Committee on Epidemiology']","['Environ Health Perspect. 2005 Mar;113(3):A151; author reply A151-2. PMID:', '15743699']",98,PMC1253668,,,,,,,,,,,,,,,
15579376,NLM,MEDLINE,20050606,20131121,1043-4666 (Print) 1043-4666 (Linking),29,1,2005 Jan 7,Effect of leukemia inhibitory factor in experimental cisplatin neuropathy in mice.,31-41,"In this study, the effect of leukemia inhibitory factor (LIF) on cisplatin (CDDP)-induced neuropathy was evaluated. Mice were treated with CDDP, 2 mg/kg i.p. twice a week nine times. During the last week some of the mice were also injected with LIF, 2 mug/kg s.c. every other day for a total of four injections. Development of neuropathy was evaluated with changes in tail flick latency and sensory nerve conduction velocity (NCV). At the end of the treatment period dorsal root ganglia (DRG) were microscopically examined. Some of the DRGs were explanted into extracellular matrix, covered with culture medium and incubated for 3 days. During and at the end of the incubation, cellular migration and axonal outgrowth from the DRGs were quantified. LIF proved effective in reversing the increase in tail flick latency (p<0.05) and improving the reduction in NCV induced by CDDP. CDDP led to smaller nuclear and somatic size in neurons, while with LIF, the latter was restored to control values (p<0.01). No apoptotic nucleus was observed among DRG neurons while very few and moderate numbers detected among satellite and Schwann cells, respectively. With LIF, none of the cells had apoptosis. CDDP caused a decrease in the number of migrating cells and in the length of outgrowing axons while LIF treatment restored both capacities (p<0.05) In conclusion, in CDDP-induced neuropathy, LIF was found to be effective in correcting some functional and morphological deteriorations related with major involvement of Schwann cells.","['Ozturk, G', 'Erdogan, E', 'Anlar, O', 'Kosem, M', 'Taspinar, M']","['Ozturk G', 'Erdogan E', 'Anlar O', 'Kosem M', 'Taspinar M']","['Department of Physiology, Neuroscience Research Unit, Medical School, Yuzuncu Yil University, Fizyoloji ABD, 65200 Van, Turkey. drgurkan@yyu.edu.tr']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Cytokine,Cytokine,9005353,"['0 (Cross-Linking Reagents)', '0 (Culture Media)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)', 'Q20Q21Q62J (Cisplatin)']",IM,"['Analysis of Variance', 'Animals', 'Apoptosis', 'Axons/metabolism', 'Cell Movement', 'Cisplatin/*adverse effects/*pharmacology', 'Cross-Linking Reagents/pharmacology', 'Culture Media/pharmacology', 'Disease Models, Animal', 'Extracellular Matrix/metabolism', 'Female', 'Ganglia, Spinal/metabolism', 'In Situ Nick-End Labeling', 'Interleukin-6/*pharmacology', 'Leukemia Inhibitory Factor', 'Mice', 'Neurons/*drug effects/metabolism', 'Peripheral Nervous System Diseases/*chemically induced', 'Schwann Cells/metabolism', 'Time Factors']",2004/12/08 09:00,2005/06/07 09:00,['2004/12/08 09:00'],"['2003/10/01 00:00 [received]', '2004/05/25 00:00 [revised]', '2004/09/03 00:00 [accepted]', '2004/12/08 09:00 [pubmed]', '2005/06/07 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['S1043-4666(04)00283-2 [pii]', '10.1016/j.cyto.2004.09.006 [doi]']",ppublish,Cytokine. 2005 Jan 7;29(1):31-41. doi: 10.1016/j.cyto.2004.09.006.,,,,,,,,,,,,,,,,,,,
15579181,NLM,MEDLINE,20050408,20151119,0300-0664 (Print) 0300-0664 (Linking),61,6,2004 Dec,"Survivors of childhood acute lymphoblastic leukaemia, with radiation-induced GH deficiency, exhibit hyperleptinaemia and impaired insulin sensitivity, unaffected by 12 months of GH treatment.",683-91,"OBJECTIVE: Adult survivors of childhood acute lymphoblastic leukaemia (ALL) often exhibit GH deficiency (GHD), due to prophylactic cranial radiotherapy (CRT). It is not known whether the observed risk for adiposity in these patients is associated with impaired insulin sensitivity and whether the insulin sensitivity is affected by GH replacement therapy. SUBJECTS AND DESIGN: Eleven patients with GHD (median age 29 years), previously given prophylactic CRT for ALL, and 11 sex-, age- and body mass index (BMI)-matched controls were investigated with bioimpedance analysis (BIA) and analysis of serum leptin, serum free fatty acids (FFA) and serum insulin. Insulin sensitivity was measured by a euglycaemic-hyperinsulinaemic clamp technique (IS-clamp). Moreover, the effects of 12 months of individually titrated GH treatment (median dose 0.5 mg/day) on these parameters were investigated. RESULTS: At baseline, the patients had lower fat free mass (FFM) (P = 0.003), higher percentage fat mass (FM) (P = 0.05), serum insulin (P = 0.02) and serum leptin/kg FM (P = 0.01) than controls. The patients had a tendency towards impaired IS-clamp (P = 0.06), which disappeared after correction for body composition (IS-clamp/kg FFM; P > 0.5). In the patients, time since CRT was positively correlated with percentage FM (r = 0.70, P = 0.02), and there was an independent negative association between serum FFA and IS-clamp (P = 0.05). Twelve months of GH treatment increased serum IGF-I (P = 0.003) and FFM (P = 0.02) and decreased percentage FM (P = 0.03), but no significant changes were seen in serum leptin/kg FM, serum FFA, FFA-clamp, serum insulin or IS-clamp (all, P > or = 0.2). CONCLUSIONS: Young adult survivors of childhood ALL with GHD had increased fat mass, hyperleptinaemia and impaired insulin sensitivity, which could be a consequence of radiation-induced impairment of GH secretion or mediated by other hypothalamic dysfunctions, such as leptin resistance or other unknown factors, affected by CRT. Twelve months of individualized GH replacement therapy led to positive effects on body composition, but the hyperleptinaemia, hyperinsulinaemia and the impaired insulin sensitivity remained unchanged.","['Bulow, Birgitta', 'Link, Katarina', 'Ahren, Bo', 'Nilsson, Ann-Sofie', 'Erfurth, Eva Marie']","['Bulow B', 'Link K', 'Ahren B', 'Nilsson AS', 'Erfurth EM']","['Department of Medicine, Lund University, Lund, Sweden.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Clin Endocrinol (Oxf),Clinical endocrinology,0346653,"['0 (Blood Glucose)', '0 (Fatty Acids, Nonesterified)', '0 (Insulin)', '0 (Leptin)', '67763-96-6 (Insulin-Like Growth Factor I)', '9002-72-6 (Growth Hormone)', 'IY9XDZ35W2 (Glucose)']",IM,"['Adult', 'Blood Glucose/analysis', 'Body Composition', 'Body Mass Index', 'Case-Control Studies', 'Fatty Acids, Nonesterified/blood', 'Female', 'Glucose', 'Growth Hormone/*deficiency/therapeutic use', 'Humans', 'Insulin/*blood', 'Insulin-Like Growth Factor I/analysis', 'Leptin/*blood', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/*metabolism/mortality', 'Survivors']",2004/12/08 09:00,2005/04/09 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/04/09 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['CEN2149 [pii]', '10.1111/j.1365-2265.2004.02149.x [doi]']",ppublish,Clin Endocrinol (Oxf). 2004 Dec;61(6):683-91. doi: 10.1111/j.1365-2265.2004.02149.x.,,,,,,,,,,,,,,,,,,,
15579072,NLM,MEDLINE,20041227,20190728,1381-6128 (Print) 1381-6128 (Linking),10,30,2004,Studies on coumarins and coumarin-related compounds to determine their therapeutic role in the treatment of cancer.,3797-811,"The Benzopyrones are a group of compounds whose members include coumarins and flavonoids. Dietary exposure to benzopyrones is quite significant, as these compounds are found in vegetables, fruit, seeds, nuts, coffee, tea and wine. It is estimated that the average western diet contains approximately 1 g/day of mixed benzopyrones. It is, therefore, not difficult to see why extensive research into their pharmacological and therapeutic properties is underway over many years. Coumarin is a natural substance that has shown anti-tumour activity in vivo, with the effect believed to be due to its metabolites (e.g. 7-hydroxycoumarin). This review is based on recent studies of coumarins and coumarin related compounds. Therefore, the focus will be on these relevant compounds and their therapeutic importance. A recent study has shown that 7-hydroxycoumarin inhibits the release of Cyclin D1, which is overexpressed in many types of cancer. This knowledge may lead to its use in cancer therapy. Esculetin inhibits growth and cell cycle progression by inducing arrest of the G(1) phase in HL-60 leukaemia cells, resulting from the inhibition of retinoblastoma protein phosphorylation. Recent studies investigating the potential of flavonoids as therapeutic agents have suggested they may have use in various therapeutic settings ranging from leukaemia treatment to the treatment of patients with HIV. Genistein is a well-known isoflavone and is a tyrosine kinase inhibitor. Studies have indicated that genistein elicits inhibitory effects on cell growth of various carcinoma cell-lines and may be a potential candidate for cancer therapy. In our research, we have investigated the effects of coumarins and coumarin-related compounds on a panel of cell-lines. The most recent work involves two cell-lines, MCF-7 a breast carcinoma and A549 a lung carcinoma. Microtitre assays were performed along with real-time analysis of cell viability using a biosensor called the Cytosensor microphysiometer. These studies suggest that both genistein and esculetin exerted the most potent inhibitory effect on cell growth in comparison to the other two compounds.","['Lacy, Aoife', ""O'Kennedy, Richard""]","['Lacy A', ""O'Kennedy R""]","['Applied Biochemistry Group, School of Biotechnology, Dublin City University, Glasnevin, Dublin 9, Ireland.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,United Arab Emirates,Curr Pharm Des,Current pharmaceutical design,9602487,['0 (Coumarins)'],IM,"['Animals', 'Biotransformation', 'Clinical Trials as Topic', '*Coumarins/chemistry/metabolism/therapeutic use/toxicity', 'Humans', 'Molecular Structure', 'Neoplasms/*drug therapy', 'Treatment Outcome']",2004/12/08 09:00,2004/12/28 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2004/12/28 09:00 [medline]', '2004/12/08 09:00 [entrez]']",['10.2174/1381612043382693 [doi]'],ppublish,Curr Pharm Des. 2004;10(30):3797-811. doi: 10.2174/1381612043382693.,,,96,,,,,,,,,,,,,,,,
15578990,NLM,MEDLINE,20050331,20191109,1566-5232 (Print) 1566-5232 (Linking),4,4,2004 Dec,Herpesvirus/retrovirus chimeric vectors.,409-16,"Over the years, the design of HSV-1 based vectors has developed from different types of replicative-defective and replication-conditioned recombinant viruses to plasmid based amplicon vectors. More recently hybrid or chimeric vectors have incorporated desired elements of different viruses to increase the efficacy of gene delivery in vitro and in vivo. Amongst different systems, herpesvirus/retrovirus chimeras take advantage of the features of the HSV-1 vectors to efficiently transduce large amounts of foreign genetic sequences, remaining episomal, to allow production of recombinant retrovirus vectors able to stably integrate into the cellular genome. This review will focus on three different groups of herpesvirus/retrovirus chimeric vectors aimed to: generate retrovirus particles in cells tranduced with HSV-1 amplicon vectors; express a limited set of retrovirus genes for vaccine purposes; and express herpesvirus/retrovirus chimeric proteins to study cellular targeting signal and improve their biological effect.","['Epstein, Alberto L', 'Manservigi, Roberto']","['Epstein AL', 'Manservigi R']","['Centre de Genetique Moleculaire et Cellulare, UMR5534 CNRS, Universite Claude Bernard Lyon I, 69622 Villeurbanne, France. epstein@biomserv.univ-lyon1.fr']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",,United Arab Emirates,Curr Gene Ther,Current gene therapy,101125446,['0 (Recombinant Fusion Proteins)'],IM,"['Animals', 'Chimera/genetics', 'Gene Expression', 'Genes, Viral', 'Genetic Engineering', 'Genetic Therapy/methods', '*Genetic Vectors', 'Herpesviridae/*genetics', 'Herpesvirus 1, Human/genetics', 'Humans', 'Mice', 'Moloney murine leukemia virus/genetics', 'Nucleic Acid Amplification Techniques', 'Recombinant Fusion Proteins/genetics', 'Retroviridae/*genetics']",2004/12/08 09:00,2005/04/01 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/04/01 09:00 [medline]', '2004/12/08 09:00 [entrez]']",['10.2174/1566523043345922 [doi]'],ppublish,Curr Gene Ther. 2004 Dec;4(4):409-16. doi: 10.2174/1566523043345922.,,,34,,,,,,,,,,,,,,,,
15578989,NLM,MEDLINE,20050331,20191109,1566-5232 (Print) 1566-5232 (Linking),4,4,2004 Dec,"Herpes simplex virus type 1 amplicons and their hybrid virus partners, EBV, AAV, and retrovirus.",385-408,"HSV-1 amplicons can accommodate foreign DNA of any size up to 150 kbp. Genomic sequences as well as cDNA, large transcriptional regulatory sequences for cell type-specific expression, or multiple transgenes can be inserted in a modular fashion. HSV-1 amplicon vectors deliver DNA efficiently into the cell nucleus as an extrachromosomal, non-replicating circular concatenate, which is rapidly diluted, at least in dividing cells. Consequently, transgene expression is lost within days to weeks in dividing cells, but may be retained for months in non-dividing cells. In contrast, vectors based on Epstein-Barr virus, adeno-associated virus, or retroviruses can mediate long-term transgene expression, as vector DNA is retained by episomal replication or chromosomal integration. Hybrid amplicons use genetic elements from HSV-1 that allow replication and packaging of the vector DNA into HSV-1 virions, thereby conserving the large transgene capacity of HSV-1, and genetic elements from other viruses that confer genetic stability to the vector DNA within transduced cells. Additional strategies to sustain genetic material in infected cells include the incorporation of recombinases from different bacteriophages or transposable elements of the Tc1/mariner family in the amplicon vector. Moreover, modification of the HSV-1 virion itself offers a myriad of possibilities to improve gene delivery by targeting specific cell populations or transporting foreign proteins, such as Cre recombinase or the adeno-associated virus Rep protein, which can control the fate and expression of the therapeutic transgene.","['Oehmig, Angelika', 'Fraefel, Cornel', 'Breakefield, Xandra O', 'Ackermann, Mathias']","['Oehmig A', 'Fraefel C', 'Breakefield XO', 'Ackermann M']","['Molecular Neurogenetics Unit, Department of Neurology, Massachusetts General Hospital and Harvard Medical School, Boston, MA 02129, USA.']",['eng'],,,"['Journal Article', 'Review']",,United Arab Emirates,Curr Gene Ther,Current gene therapy,101125446,,IM,"['Animals', 'Dependovirus/*genetics/physiology', 'Genetic Engineering', 'Genetic Therapy/methods', '*Genetic Vectors', 'Genome, Viral', 'Herpesvirus 1, Human/*genetics/physiology', 'Herpesvirus 4, Human/*genetics/physiology', 'Humans', 'Hybridization, Genetic', 'Mice', 'Moloney murine leukemia virus/genetics/physiology', 'Nucleic Acid Amplification Techniques', 'Recombination, Genetic', 'Replicon', 'Retroviridae/*genetics/physiology', 'Virus Integration', 'Virus Latency', 'Virus Replication']",2004/12/08 09:00,2005/04/01 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/04/01 09:00 [medline]', '2004/12/08 09:00 [entrez]']",['10.2174/1566523043346129 [doi]'],ppublish,Curr Gene Ther. 2004 Dec;4(4):385-408. doi: 10.2174/1566523043346129.,,,210,,,,,,,,,,,,,,,,
15578900,NLM,MEDLINE,20050520,20210527,1543-2165 (Electronic) 0003-9985 (Linking),128,12,2004 Dec,Burkitt leukemia.,1459-60,,"['Huang, Qin']",['Huang Q'],"['Division of Pathology, City of Hope National Medical Center, Duarte, Calif 91010, USA. qhuang@coh.org']",['eng'],,,"['Case Reports', 'Journal Article']",,United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,,IM,"['Burkitt Lymphoma/*diagnosis', 'Female', 'Humans', 'Middle Aged']",2004/12/08 09:00,2005/05/21 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/05/21 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['IP4093 [pii]', '10.5858/2004-128-1459-BL [doi]']",ppublish,Arch Pathol Lab Med. 2004 Dec;128(12):1459-60. doi: 10.5858/2004-128-1459-BL.,,,,,,,,,,,,,,,,,,,
15578882,NLM,MEDLINE,20050520,20210527,1543-2165 (Electronic) 0003-9985 (Linking),128,12,2004 Dec,Molecular diagnostics on lymphoid malignancies.,1379-84,"CONTEXT: Molecular diagnostics for lymphoid malignancies traditionally has focused on helping to provide a diagnosis on a tissue sample. The field has undergone substantial technical and conceptual evolution during the past 2 decades, and its role has expanded to new arenas, such as monitoring disease activities and detecting alterations in genes that are known to have a significant impact on disease outcome. OBJECTIVE: To review the advances in molecular diagnostics on lymphoid malignancies, including recent developments that may facilitate the development of mechanism-based diagnosis for individualized therapy. DESIGN: The development of molecular diagnostics in lymphoid malignancies is briefly reviewed with emphasis on the recent use of gene expression profiling for identifying important diagnostic and prognostic signatures. RESULTS: Genome-scale investigations are becoming technically feasible and have provided promising results in the identification of new disease entities and new, molecularly defined prognosticators. This development can potentially revolutionize diagnostic medicine in the near future. As new genes or genetic pathways that affect the clinical and biologic behavior of tumors are defined and can be readily assayed, molecular diagnostics will be expected to provide this relevant information. Ideally, therapy will be based on this information, delivering the most appropriate treatment with the least toxicity. CONCLUSIONS: Molecular diagnostics in the future will be moving toward a mechanism-based diagnosis for individualized therapy.","['Chan, Wing C', 'Fu, Kai']","['Chan WC', 'Fu K']","['Department of Pathology/Microbiology, University of Nebraska Medical Center, Omaha 68198-3135, USA. jchan@unmc.edu']",['eng'],,,"['Journal Article', 'Review']",,United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,,IM,"['Humans', 'Leukemia, Myeloid/*diagnosis', 'Lymphoma, B-Cell/*diagnosis', 'Molecular Diagnostic Techniques/*methods']",2004/12/08 09:00,2005/05/21 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/05/21 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['AS3245 [pii]', '10.5858/2004-128-1379-MDOLM [doi]']",ppublish,Arch Pathol Lab Med. 2004 Dec;128(12):1379-84. doi: 10.5858/2004-128-1379-MDOLM.,,,51,,,,,,,,,,,,,,,,
15578880,NLM,MEDLINE,20050520,20210527,1543-2165 (Electronic) 0003-9985 (Linking),128,12,2004 Dec,Cytosine arabinoside substitution decreases transcription factor-DNA binding element complex formation.,1364-71,"CONTEXT: The pyrimidine nucleoside analog, cytosine arabinoside (Ara-C), is an effective therapeutic agent for acute leukemia. The phosphorylated triphosphate, cytosine arabinoside triphosphate, competes with deoxycytosine triphosphate as a substrate for incorporation into DNA. Once incorporated into DNA, it inhibits DNA polymerase and topoisomerase I and modifies the tertiary structure of DNA. OBJECTIVE: To determine if the substitution of Ara-C for cytosine in double-stranded oligonucleotides that contain 4 specific transcription factor binding sites (TATA, GATA, C/EBP, and AP-2alpha) alters transcription factor binding to their respective DNA binding elements. DESIGN: Transcription factors were obtained from nuclear extracts from human promyelocytic leukemia HL-60 cells. [32P]-end-labeled double-stranded oligonucleotides that contained 1 or 2 specific transcription factor binding sites with or without Ara-C substitution for cytosine were used to assess transcription factor binding by electrophoretic mobility shift assay. RESULTS: The substitution of Ara-C for cytosine within and outside the transcription factor binding element (AP-2alpha, C/EBP), outside the binding element only (GATA, TATA), or within the binding element only (AP-2alpha) all result in a reduction in transcription factor binding to their respective DNA binding element. CONCLUSION: The reduction of the binding capacity of transcription factors with their respective DNA binding elements may depend on structural changes within oligonucleotides induced by Ara-C incorporation. This altered binding capacity of transcription factors to their DNA binding elements may represent one mechanism for Ara-C cytotoxicity secondary to inhibition of transcription of new messenger RNAs and, subsequently, translation of new proteins.","['Zhang, Ximbo', 'Kiechle, Frederick L']","['Zhang X', 'Kiechle FL']","['Department of Clinical Pathology, William Beaumont Hospital, Royal Oak, Mich 48073, USA.']",['eng'],,,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,United States,Arch Pathol Lab Med,Archives of pathology & laboratory medicine,7607091,"['0 (CCAAT-Enhancer-Binding Proteins)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (Macromolecular Substances)', '0 (Oligonucleotides)', '0 (TATA-Box Binding Protein)', '0 (TFAP2A protein, human)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)', '04079A1RDZ (Cytarabine)', '8J337D1HZY (Cytosine)']",IM,"['Binding Sites/drug effects/genetics', 'CCAAT-Enhancer-Binding Proteins/metabolism', 'Cell Line, Tumor', 'Cytarabine/*metabolism/pharmacology', 'Cytosine/metabolism', 'DNA, Neoplasm/*metabolism', 'DNA-Binding Proteins/genetics/metabolism', 'HL-60 Cells', 'Humans', 'Macromolecular Substances/metabolism', 'Oligonucleotides/genetics/metabolism', 'Protein Binding/drug effects/genetics', 'TATA-Box Binding Protein/genetics/metabolism', 'Transcription Factor AP-2', 'Transcription Factors/genetics/*metabolism']",2004/12/08 09:00,2005/05/21 09:00,['2004/12/08 09:00'],"['2004/12/08 09:00 [pubmed]', '2005/05/21 09:00 [medline]', '2004/12/08 09:00 [entrez]']","['AS3283 [pii]', '10.5858/2004-128-1364-CASDTF [doi]']",ppublish,Arch Pathol Lab Med. 2004 Dec;128(12):1364-71. doi: 10.5858/2004-128-1364-CASDTF.,,,,,,,,,,,,,,,,,,,
