PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,AID,DEP,GR,RF,PMC,MID,CI,EIN,CRI,CIN,CON,CN,OID,TT,SI,PS,FPS,COIS,CRF,LID,RIN
15359513,NLM,MEDLINE,20041007,20200103,0204-8043 (Print) 0204-8043 (Linking),42,4,2000,Wrist tuberculosis in cladribine--induced remission of hairy cell leukosis.,37-40,"A 45-year-old man with ""hand-shoulder"" syndrome developing eight-months after Cladribine-induced remission of an 11-year-old hairy cell leukosis is presented. Wrist bone biopsy was performed because of failure of the algodystrophy treatment and radiographic findings of progressive osteoporosis. Caseating epiteloid granulomas abundant in Langhans cells were found histologically and later Mycobacterium tuberculosis species was isolated in culture specimen. Fistulas were formed that healed after a prolonged anti-tuberculosis therapy. The role of cellular immunity deficiency in Cladribine-treated hairy cell leukosis that predisposes to mycobacterial infection is discussed.","['Panchovska, M S', 'Solakov, P T', 'Anavi, B L', 'Spasov, E A', 'Tokmakova, K P']","['Panchovska MS', 'Solakov PT', 'Anavi BL', 'Spasov EA', 'Tokmakova KP']","['Department of Propedeutics of Internal Medicine, Higher Medical Institute, Plovdiv, Bulgaria.']",['eng'],"['Case Reports', 'Journal Article']",Bulgaria,Folia Med (Plovdiv),Folia medica,2984761R,"['0 (Antitubercular Agents)', '47M74X9YT5 (Cladribine)']",IM,"['Antitubercular Agents/therapeutic use', 'Biopsy, Needle', 'Cladribine/*administration & dosage', 'Humans', 'Immunohistochemistry', 'Leukemia, Hairy Cell/complications/*drug therapy/*immunology/pathology', 'Male', 'Middle Aged', 'Opportunistic Infections/*diagnosis/drug therapy/immunology/microbiology', 'Remission Induction', 'Risk Assessment', 'Tuberculosis, Osteoarticular/*diagnosis/drug therapy/immunology/microbiology', 'Wrist Joint']",2004/09/14 05:00,2004/10/08 09:00,['2004/09/14 05:00'],"['2004/09/14 05:00 [pubmed]', '2004/10/08 09:00 [medline]', '2004/09/14 05:00 [entrez]']",ppublish,Folia Med (Plovdiv). 2000;42(4):37-40.,,,,,,,,,,,,,,,,,,,,,
15359415,NLM,MEDLINE,20050505,20190710,1531-5037 (Electronic) 0022-3468 (Linking),39,9,2004 Sep,Spontaneous liver rupture in a child with graft-versus-host disease.,e1-3,"Graft-versus-host disease (GVHD) is a common complication in the stem cell transplant (SCT) patient. The skin, gastrointestinal tract, and the liver are the most frequently affected organs. The authors present the first reported case of a spontaneous rupture of the liver in a child with GVHD after SCT.","['Barnett, Sean J', 'Weisdorf-Schindle, Sally', 'Baker, K Scott', 'Saltzman, Daniel A']","['Barnett SJ', 'Weisdorf-Schindle S', 'Baker KS', 'Saltzman DA']","['Department of Surgery, University of Minnesota, Minneapolis, MN, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,J Pediatr Surg,Journal of pediatric surgery,0052631,,IM,"['Adolescent', 'Cord Blood Stem Cell Transplantation/adverse effects', 'Fatal Outcome', 'Fungemia/complications', 'Graft vs Host Disease/*complications', 'Humans', 'Liver Diseases/*etiology/surgery', 'Male', 'Multiple Organ Failure/etiology', 'Postoperative Complications', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/therapy', 'Rupture, Spontaneous/etiology/surgery', 'Sepsis/complications']",2004/09/11 05:00,2005/05/06 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2005/05/06 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,J Pediatr Surg. 2004 Sep;39(9):e1-3. doi: 10.1016/j.jpedsurg.2004.05.032.,"['S0022346804003719 [pii]', '10.1016/j.jpedsurg.2004.05.032 [doi]']",,,,,,,,,,,,,,,,,,,,
15359086,NLM,MEDLINE,20050308,20190911,1347-8613 (Print) 1347-8613 (Linking),96,1,2004 Sep,Carbachol-induced secretion and homologous desensitization in rat basophilic leukemia (RBL-2H3) cells transfected with human m2 muscarinic acetylcholine receptors.,73-83,"Carbachol (CCh) caused a dose-dependent release of beta-hexosaminidase and an increase in the production of inositol 1,4,5-trisphosphate (IP3) in RBL-2H3 cells transfected with m2 mAChR cDNA (RBL-m2 cells). The secretion was completely inhibited by LaCl3 and pertussis toxin. The secretion was dependent on extracellular Ca2+ and mediated through the pertussis toxin-sensitive G protein. Exposing RBL-m2 cells to 100 microM CCh for 30 min in Ca2+ -free medium (desensitizing treatment) inhibited the secretion induced by the subsequent addition of 10 microM CCh plus Ca2+, but not by stimulating the high affinity IgE receptor (FcepsilonRI). Desensitizing treatment of RBL-m2 cells reduced the affinity of the lipophilic ligand [3H]quinuclidinyl benzilate to m2 mAChR without a reduction of the total m2 mAChR number. The treatment also decreased the cell surface mAChR number to 14% with a slight reduction in its affinity. Desensitizing treatment of RBL-m2 cells inhibited the CCh-induced transient increase in levels of IP3 and intracellular Ca2+ concentration. The results suggested that the CCh-induced desensitization of m2 mAChR-mediated secretion is due to the receptor sequestration followed by blocking the increase in [Ca2+]i and that this desensitizing mechanism is receptor-subtype-specific.","['Oishi, Kazuhiko', 'Sakurai, Akihiro', 'Seki, Noriyasu', 'Yoshizumi, Tomokazu', 'Uchida, Masaatsu K']","['Oishi K', 'Sakurai A', 'Seki N', 'Yoshizumi T', 'Uchida MK']","['Department of Pharmacology, Meiji Pharmaceutical University, Kiyose, Tokyo, Japan. oishikz@my-pharm.ac.jp']",['eng'],"['Comparative Study', 'Journal Article']",Japan,J Pharmacol Sci,Journal of pharmacological sciences,101167001,"['0 (Receptor, Muscarinic M2)', '85166-31-0 (Inositol 1,4,5-Trisphosphate)', '8Y164V895Y (Carbachol)', 'EC 3.2.1.52 (beta-N-Acetylhexosaminidases)']",IM,"['Animals', 'Carbachol/*pharmacology', 'Cell Line, Tumor', 'Dose-Response Relationship, Drug', 'Humans', 'Inositol 1,4,5-Trisphosphate/*metabolism', 'Leukemia, Basophilic, Acute/genetics/*metabolism', 'Rats', 'Receptor, Muscarinic M2/*agonists/genetics/metabolism', 'Transfection/*methods', 'beta-N-Acetylhexosaminidases/*metabolism']",2004/09/11 05:00,2005/03/09 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2005/03/09 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,J Pharmacol Sci. 2004 Sep;96(1):73-83. doi: 10.1254/jphs.fp0040337. Epub 2004 Sep 10.,"['JST.JSTAGE/jphs/FP0040337 [pii]', '10.1254/jphs.fp0040337 [doi]']",20040910,,,,,,,,,,,,,,,,,,,
15358630,NLM,MEDLINE,20050215,20210206,0006-4971 (Print) 0006-4971 (Linking),105,2,2005 Jan 15,Prediction of T-cell reconstitution by assessment of T-cell receptor excision circle before allogeneic hematopoietic stem cell transplantation in pediatric patients.,886-93,"The extent and rapidity with which T cells are regenerated from graft-derived precursor cells directly influences the incidence of infection and the T-cell-based graft-versus-tumor effect. Measurement of T-cell receptor excision circles (TRECs) in peripheral blood is a means of quantifying recent thymic T-cell production and has been used after transplantation in many studies to estimate thymus-dependent T-cell reconstitution. We hypothesized that the quality of thymic function before transplantation affects thymus-dependent T-cell reconstitution after transplantation. We used real-time polymerase chain reaction (PCR) to quantify signal-joint TRECs (sjTRECs) before and after transplantation. T-cell reconstitution was evaluated by T-cell receptor beta (TCRbeta) CDR3 size spectratyping. We tested 77 healthy sibling donors and 244 samples from 26 pediatric recipients of allogeneic hematopoietic stem cell transplantation (AHSCT). Blood from the healthy donors contained 1200 to 155,000 sjTREC copies/mL blood. Patients who had greater than 1200 copies/mL blood before transplantation showed early recovery of sjTREC numbers and TCRbeta repertoire diversity. In contrast, patients who had fewer than 1200 copies/mL blood before transplantation demonstrated significantly slower restoration of thymus-dependent T cells. We conclude that the rate of reconstitution of thymus-dependent T cells is dependent on the competence of thymic function in the recipients before transplantation. Therefore, pretransplantation measurement of sjTREC may provide an important tool for predicting thymus-dependent T-cell reconstitution after transplantation.","['Chen, Xiaohua', 'Barfield, Raymond', 'Benaim, Ely', 'Leung, Wing', 'Knowles, James', 'Lawrence, Dawn', 'Otto, Mario', 'Shurtleff, Sheila A', 'Neale, Geoffrey A M', 'Behm, Frederick G', 'Turner, Victoria', 'Handgretinger, Rupert']","['Chen X', 'Barfield R', 'Benaim E', 'Leung W', 'Knowles J', 'Lawrence D', 'Otto M', 'Shurtleff SA', 'Neale GA', 'Behm FG', 'Turner V', 'Handgretinger R']","[""Division of Stem Cell Transplantation, St Jude Children's Research Hospital, Memphis TN 38105-2794, USA. xiaohua.chen@stjude.org""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood,Blood,7603509,"['0 (Complementarity Determining Regions)', '0 (Receptors, Antigen, T-Cell, alpha-beta)']",IM,"['Acute Disease', 'Adolescent', 'Adult', 'Anemia, Aplastic/immunology/*therapy', 'Child', 'Child, Preschool', 'Complementarity Determining Regions/metabolism', 'Female', '*Flow Cytometry', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Infant', 'Leukemia, Myeloid/immunology/therapy', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/immunology/therapy', 'Receptors, Antigen, T-Cell, alpha-beta/*metabolism', 'Recovery of Function/immunology', 'T-Lymphocytes/*physiology', 'Transplantation Chimera', 'Transplantation, Homologous']",2004/09/11 05:00,2005/02/16 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2005/02/16 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,Blood. 2005 Jan 15;105(2):886-93. doi: 10.1182/blood-2004-04-1405. Epub 2004 Sep 9.,"['10.1182/blood-2004-04-1405 [doi]', 'S0006-4971(20)53033-4 [pii]']",20040909,,,,,,,,,,,,,,,,,,,
15358627,NLM,MEDLINE,20050215,20211203,0006-4971 (Print) 0006-4971 (Linking),105,2,2005 Jan 15,Murine embryonic stem cell differentiation is promoted by SOCS-3 and inhibited by the zinc finger transcription factor Klf4.,635-7,"Embryonic stem (ES) cells homozygous for a Shp-2 mutation (Shp-2(Delta46-110)) demonstrate leukemia inhibitory factor (LIF) hypersensitivity and increased LIF-stimulated phosphorylation of signal transducer and activator of transcription (STAT3). We hypothesized that LIF-responsive genes in Shp-2(Delta46-110) cells would represent potential candidates for molecules vital for ES cell self-renewal. Using microarray analysis, we detected 41 genes whose expression was modified by LIF in Shp-2(Delta46-110) ES cells. Induction of 2 significantly up-regulated genes, suppressor of cytokine signaling-3 (SOCS-3) and Kruppel-like factor 4 (Klf4), was verified using Northern blotting. ES cells overexpressing SOCS-3 had an increased capacity to differentiate to hematopoietic progenitors, rather than to self-renew. In contrast, ES cells overexpressing Klf4 had a greater capacity to self-renew based on secondary embryoid body (EB) formation. Klf4-transduced d6 EBs expressed higher levels of Oct-4, consistent with the notion that Klf4 promotes ES cell self-renewal. These findings verify the negative role of SOCS-3 on LIF signaling and provide a novel role for Klf4 in ES cell function.","['Li, Yanjun', 'McClintick, Jeanette', 'Zhong, Li', 'Edenberg, Howard J', 'Yoder, Mervin C', 'Chan, Rebecca J']","['Li Y', 'McClintick J', 'Zhong L', 'Edenberg HJ', 'Yoder MC', 'Chan RJ']","['Department of Pediatrics, Herman B Wells Center for Pediatric Research, Indiana University School of Medicine, Indianapolis, IN 46202, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Blood,Blood,7603509,"['0 (DNA-Binding Proteins)', '0 (KLF4 protein, human)', '0 (Kruppel-Like Factor 4)', '0 (Kruppel-Like Transcription Factors)', '0 (Repressor Proteins)', '0 (SOCS3 protein, human)', '0 (Suppressor of Cytokine Signaling 3 Protein)', '0 (Suppressor of Cytokine Signaling Proteins)', '0 (Transcription Factors)']",IM,"['Animals', 'Cell Differentiation/physiology', 'DNA-Binding Proteins/*genetics', 'Gene Expression Regulation, Developmental', 'Kruppel-Like Factor 4', 'Kruppel-Like Transcription Factors', 'Muridae', 'Oligonucleotide Array Sequence Analysis', 'Repressor Proteins/*genetics', 'Signal Transduction/physiology', 'Stem Cells/*cytology/*physiology', 'Suppressor of Cytokine Signaling 3 Protein', 'Suppressor of Cytokine Signaling Proteins', 'Transcription Factors/*genetics']",2004/09/11 05:00,2005/02/16 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2005/02/16 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,Blood. 2005 Jan 15;105(2):635-7. doi: 10.1182/blood-2004-07-2681. Epub 2004 Sep 9.,"['10.1182/blood-2004-07-2681 [doi]', 'S0006-4971(20)52999-6 [pii]']",20040909,"['F32CA84677/CA/NCI NIH HHS/United States', 'R01HL63169/HL/NHLBI NIH HHS/United States']",,,,,,,,,,,,,,,,,,
15358622,NLM,MEDLINE,20050210,20210206,0006-4971 (Print) 0006-4971 (Linking),105,1,2005 Jan 1,After chronic myelogenous leukemia: tyrosine kinase inhibitors in other hematologic malignancies.,22-30,"Tyrosine kinases phosphorylate proteins on tyrosine residues, producing a biologic signal that influences many aspects of cellular function including cell growth, proliferation, differentiation, and death. Constitutive or unregulated activity through mutation or overexpression of these enzymes is a common pathologic feature in many acute and chronic leukemias. Inhibition of tyrosine kinases represents a strategy to disrupt signaling pathways that promote neoplastic growth and survival in hematologic malignancies and likely in other neoplasias as well. This review focuses on tyrosine kinases that have been implicated in the pathogenesis of hematologic diseases other than chronic myelogenous leukemia and discusses the evidence for the use of small molecules to target these kinases.","['Wadleigh, Martha', 'DeAngelo, Daniel J', 'Griffin, James D', 'Stone, Richard M']","['Wadleigh M', 'DeAngelo DJ', 'Griffin JD', 'Stone RM']","['Division of Hematologic Malignancy, Department of Medical Oncology, Dana Farber Cancer Institute, Boston, MA 02115, USA.']",['eng'],"['Journal Article', 'Review']",United States,Blood,Blood,7603509,"['0 (Antineoplastic Agents)', '0 (Enzyme Inhibitors)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Animals', 'Antineoplastic Agents/*therapeutic use', 'Cell Proliferation', 'Enzyme Inhibitors/*therapeutic use', 'Hematologic Neoplasms/*drug therapy/*enzymology/genetics/pathology', 'Humans', 'Mutation/genetics', 'Protein-Tyrosine Kinases/*antagonists & inhibitors/genetics/*metabolism']",2004/09/11 05:00,2005/02/11 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2005/02/11 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,Blood. 2005 Jan 1;105(1):22-30. doi: 10.1182/blood-2003-11-3896. Epub 2004 Sep 9.,"['10.1182/blood-2003-11-3896 [doi]', 'S0006-4971(20)48382-X [pii]']",20040909,,147,,,,,,,,,,,,,,,,,
15358589,NLM,MEDLINE,20060928,20190902,1093-9946 (Print) 1093-4715 (Linking),9,,2004 Sep 1,Molecular mechanisms of chemoprevention and therapy of cancer by retinoids.,2663-70,"Chemoprevention is the use of noncytotoxic therapeutic intervention at the early stages of carcinogenesis against the development and progression of mutant clones to invasive cancer. Retinoids are the most extensively studied and one of the most prominent groups of chemopreventive agents to reach clinical trials. Acute promyelocytic leukemia is the first human malignancy that is successfully treated with all-trans retinoic acid. The t(15;17)(q22;q21) gene rearrangement and PML/RARalpha fusion product in acute promyelocytic leukemia played the key role to leukemogenesis and to sensitivity to differentiation-inducing therapy of all-trans retinoic acid. This review focuses on retinoid-based chemoprevention and therapy of cancer, and use acute promyelocytic leukemia as a model to illustrate the molecular mechanisms of retinoid signaling pathway.","['Shen, Patrick F']",['Shen PF'],"['Department of Medical Technology and Institute of Biotechnology, Yuan Pei University of Science and Technology, Hsinchu 300, Taiwan, Republic of China. Patrick@mail.yust.edu.tw']",['eng'],"['Journal Article', 'Review']",United States,Front Biosci,Frontiers in bioscience : a journal and virtual library,9709506,"['0 (Anticarcinogenic Agents)', '0 (RARA protein, human)', '0 (Receptors, Retinoic Acid)', '0 (Retinoic Acid Receptor alpha)', '11103-57-4 (Vitamin A)', '5688UTC01R (Tretinoin)']",IM,"['Animals', 'Anticarcinogenic Agents/*pharmacology', 'Cell Nucleus/metabolism', 'Humans', 'Leukemia, Promyelocytic, Acute/drug therapy/metabolism', 'Neoplasms/*drug therapy/*prevention & control', 'Receptors, Retinoic Acid/metabolism', 'Retinoic Acid Receptor alpha', 'Signal Transduction', 'Translocation, Genetic', 'Tretinoin/metabolism/*pharmacology', 'Vitamin A/metabolism/pharmacology']",2004/09/11 05:00,2006/09/29 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2006/09/29 09:00 [medline]', '2004/09/11 05:00 [entrez]']",epublish,Front Biosci. 2004 Sep 1;9:2663-70. doi: 10.2741/1425.,"['1425 [pii]', '10.2741/1425 [doi]']",20040901,,45,,,,,,,,,,,,,,,,,
15358581,NLM,MEDLINE,20060928,20190902,1093-9946 (Print) 1093-4715 (Linking),9,,2004 Sep 1,"Role of accessory proteins of HTLV-1 in viral replication, T cell activation, and cellular gene expression.",2556-76,"Human T-cell lymphotropic virus type 1 (HTLV-1), causes adult T cell leukemia/lymphoma (ATLL), and initiates a variety of immune mediated disorders. The viral genome encodes common structural and enzymatic proteins characteristic of all retroviruses and utilizes alternative splicing and alternate codon usage to make several regulatory and accessory proteins encoded in the pX region (pX ORF I to IV). Recent studies indicate that the accessory proteins p12I, p27I, p13II, and p30II, encoded by pX ORF I and II, contribute to viral replication and the ability of the virus to maintain typical in vivo expression levels. Proviral clones that are mutated in either pX ORF I or II, while fully competent in cell culture, are severely limited in their replicative capacity in a rabbit model. These HTLV-1 accessory proteins are critical for establishment of viral infectivity, enhance T-lymphocyte activation and potentially alter gene transcription and mitochondrial function. HTLV-1 pX ORF I expression is critical to the viral infectivity in resting primary lymphocytes suggesting a role for the calcineurin-binding protein p12I in lymphocyte activation. The endoplasmic reticulum and cis-Golgi localizing p12I activates NFAT, a key T cell transcription factor, through calcium-mediated signaling pathways and may lower the threshold of lymphocyte activation via the JAK/STAT pathway. In contrast p30II localizes to the nucleus and represses viral promoter activity, but may regulate cellular gene expression through p300/CBP or related co-activators of transcription. The mitochondrial localizing p13II induces morphologic changes in the organelle and may influence energy metabolism infected cells. Future studies of the molecular details HTLV-1 ""accessory"" proteins interactions will provide important new directions for investigations of HTLV-1 and related viruses associated with lymphoproliferative diseases. Thus, the accessory proteins of HTLV-1, once thought to be dispensable for viral replication, have proven to be directly involved in viral spread in vivo and represent potential targets for therapeutic intervention against HTLV-1 infection and disease.","['Bindhu, Michael', 'Nair, Amrithraj', 'Lairmore, Michael D']","['Bindhu M', 'Nair A', 'Lairmore MD']","['Center for Retrovirus Research and Department of Veterinary Biosciences, The Ohio State University, Columbus, Ohio 43210-1093, USA.']",['eng'],"['Journal Article', 'Research Support, N.I.H., Extramural', ""Research Support, U.S. Gov't, P.H.S."", 'Review']",United States,Front Biosci,Frontiers in bioscience : a journal and virtual library,9709506,"['0 (Codon)', '0 (DNA, Complementary)', '0 (Retroviridae Proteins, Oncogenic)', '0 (Transcription Factors)', '0 (Viral Regulatory and Accessory Proteins)', '0 (pX protein, Human T-lymphotropic virus 1)']",IM,"['Alternative Splicing', 'Animals', 'Cell Adhesion', 'Codon', 'DNA, Complementary/metabolism', 'Endoplasmic Reticulum/metabolism', '*Gene Expression Regulation, Viral', 'Gene Library', 'Golgi Apparatus/metabolism', 'Human T-lymphotropic virus 1/*metabolism', 'Humans', 'Lymphocytes/virology', 'Membrane Potentials', 'Mitochondria/metabolism', 'Open Reading Frames', 'Rabbits', 'Retroviridae Proteins, Oncogenic/*physiology', 'Transcription Factors/*physiology', 'Transcription, Genetic', 'Viral Regulatory and Accessory Proteins', '*Virus Replication']",2004/09/11 05:00,2006/09/29 09:00,['2004/09/11 05:00'],"['2004/09/11 05:00 [pubmed]', '2006/09/29 09:00 [medline]', '2004/09/11 05:00 [entrez]']",epublish,Front Biosci. 2004 Sep 1;9:2556-76. doi: 10.2741/1417.,"['1417 [pii]', '10.2741/1417 [doi]']",20040901,"['CA-70529/CA/NCI NIH HHS/United States', 'CA100730/CA/NCI NIH HHS/United States', 'RR-14324/RR/NCRR NIH HHS/United States', 'R01 RR014324/RR/NCRR NIH HHS/United States', 'CA-09338/CA/NCI NIH HHS/United States', 'T32 CA009338/CA/NCI NIH HHS/United States', 'P01 CA100730/CA/NCI NIH HHS/United States', 'P01 CA100730-03/CA/NCI NIH HHS/United States']",160,PMC2829751,['NIHMS94124'],,,,,,,,,,,,,,,
15358575,NLM,MEDLINE,20041209,20131121,1167-1122 (Print) 1167-1122 (Linking),14,5,2004 Sep-Oct,Cutaneous ulcerations on hands and heels secondary to long-term hydroxyurea treatment.,343-6,"Hydroxyurea is a chemotherapeutic agent used to treat myeloproliferative disorders and other non-neoplastic conditions. Cutaneous side-effects have been described in long-term therapy with hydroxyurea and include xerosis, hyperpigmentation, skin atrophy, erythema, alopecia, skin tumours and ulceration of the skin, particularly of the legs. We present a 71-year old patient with chronic myelocytic leukemia (CML) who developed extremely painful ulcers on the hands and heels as well as skin tumours while on long-term therapy with hydroxyurea. The ulcers were resistant to therapy but healed three months after discontinuation of hydroxyurea therapy.","['Friedrich, Sarah', 'Raff, Kerstin', 'Landthaler, Michael', 'Karrer, Sigrid']","['Friedrich S', 'Raff K', 'Landthaler M', 'Karrer S']","['Department of Dermatology, University of Regensburg, Franz-Josef-Strauss Allee 11, 93053 Regensburg, Germany. sarah.friedrich@gmx.de']",['eng'],"['Case Reports', 'Journal Article']",France,Eur J Dermatol,European journal of dermatology : EJD,9206420,"['0 (Antineoplastic Agents)', 'X6Q56QN5QC (Hydroxyurea)']",IM,"['Aged', 'Antineoplastic Agents/*adverse effects', 'Diagnosis, Differential', 'Foot Dermatoses/chemically induced/*diagnosis/pathology', 'Hand Dermatoses/chemically induced/*diagnosis/pathology', 'Humans', 'Hydroxyurea/*adverse effects', 'Leukemia, Myeloid/*drug therapy', 'Male', 'Skin Ulcer/chemically induced/*diagnosis/pathology']",2004/09/11 05:00,2004/12/16 09:00,['2004/09/11 05:00'],"['2004/03/01 00:00 [accepted]', '2004/09/11 05:00 [pubmed]', '2004/12/16 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,Eur J Dermatol. 2004 Sep-Oct;14(5):343-6.,,,,,,,,,,,,,,,,,,,,,
15358299,NLM,MEDLINE,20050815,20131121,0968-0896 (Print) 0968-0896 (Linking),12,17,2004 Sep 1,Induction of apoptosis in a leukemia cell line by triterpene saponins from Albizia adianthifolia.,4725-34,"Triterpenoid saponins, which are present in plants and some marine animals, exert various important pharmacological effects. The present study examines the effects of adianthifoliosides A, B, and D (AdA, AdB, and AdD) together with two prosapogenins (Pro1 and Pro2) obtained from Albizia adianthifolia (Mimosaceae) on human leukemia T-cells (Jurkat cells) and on splenocytes. AdA, AdB, and AdD were found to exhibit a cytotoxic effect on Jurkat cells, whereas the prosapogenins were found to exert a lymphoproliferative effect on this cell type. Furthermore, all tested compounds were found to exert a synergistic lymphoproliferative activity with concanavalin A (ConA) on splenocytes. The concentrations where the saponins were found to be cytotoxic on Jurkat cells are far below the concentration of hemolysis. These results indicate that another mechanism than membrane permeabilization formation is responsible of the cell cytotoxicity. Thus, we demonstrated that at 5 microM for AdA and at 1 microM for AdD, these compounds induce apoptosis in Jurkat cells. Early apoptotic events were detected by flow cytometry analysis by using a double annexin-V-FITC and propidium iodide staining. In addition, a disrupted mitochondrial membrane potential was observed in cells treated with AdA, AdB, and AdD. Furthermore, a DNA ladder was observed when Jurkat cells were incubated with 1 microM AdD for 24h. By comparison between the biological activities of the native compounds with the prosapogenins, we show in this work the important role of the acylation and esterification by different moieties at C-21 and C-28 of the aglycone (acacic acid) in the apoptosis-inducing capacity. Particularly, the monoterpene-quinovosyl moiety is shown to be important for the induction of apoptosis.","['Haddad, Mohamed', 'Laurens, Veronique', 'Lacaille-Dubois, Marie-Aleth']","['Haddad M', 'Laurens V', 'Lacaille-Dubois MA']","[""Laboratoire de Pharmacognosie, UMIB EA 3660, Faculte de Pharmacie, Universite de Bourgogne, 7 Boulevard Jeanne d'Arc, BP 87900, 21079 Dijon Cedex, France.""]",['eng'],"['Comparative Study', 'Journal Article']",England,Bioorg Med Chem,Bioorganic & medicinal chemistry,9413298,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Saponins)', '0 (Triterpenes)', '0 (adianthifolioside A)', '0 (adianthifolioside B)', '50647-08-0 (prosapogenin)', '6SMK8R7TGJ (Oleanolic Acid)']",IM,"['Albizzia/*chemistry', 'Antineoplastic Agents, Phytogenic/pharmacology', 'Apoptosis/*drug effects', 'Cell Line', 'Dose-Response Relationship, Drug', 'Hemolysis', 'Humans', 'Jurkat Cells', 'Oleanolic Acid/*analogs & derivatives', 'Plants, Medicinal/chemistry', 'Saponins/chemistry/*isolation & purification/pharmacology', 'T-Lymphocytes/*metabolism', 'Triterpenes/chemistry/*isolation & purification/pharmacology', 'Tumor Cells, Cultured']",2004/09/11 05:00,2005/08/16 09:00,['2004/09/11 05:00'],"['2004/03/16 00:00 [received]', '2004/06/09 00:00 [accepted]', '2004/09/11 05:00 [pubmed]', '2005/08/16 09:00 [medline]', '2004/09/11 05:00 [entrez]']",ppublish,Bioorg Med Chem. 2004 Sep 1;12(17):4725-34. doi: 10.1016/j.bmc.2004.06.025.,"['10.1016/j.bmc.2004.06.025 [doi]', 'S0968-0896(04)00428-6 [pii]']",,,,,,,,,,,,,,,,,,,,
