PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CIN,DEP,GR,CRF,PMC,EIN,CON,CN,TT,SI,RIN,PS,FPS,OID,OTO,OT,GN,LID,MID,IR,FIR,IRAD
15157160,NLM,MEDLINE,20050112,20131121,0300-5127 (Print) 0300-5127 (Linking),32,Pt3,2004 Jun,Early events in spontaneous neutrophil apoptosis.,461-4,"Neutrophils are very abundant, short-lived leucocytes and their death by apoptosis is central to homoeostasis and the resolution of inflammation, yet the trigger for apoptosis is still a topic of debate. Depolarization of the mitochondrial membrane has been supposed to initiate neutrophil spontaneous apoptosis, as neutrophils gradually lose the anti-apoptotic protein Mcl-1 and Bax translocates and inserts into the mitochondrial membrane. However, other reports show that caspase 8 is required for neutrophil apoptosis, suggesting the involvement of DR (death receptor) signalling. As DR ligation is not required for neutrophil apoptosis, this raises the intriguing possibility that activation of caspase 8 during neutrophil apoptosis occurs via a novel mechanism. In the present paper, we discuss the current evidence for mechanisms occurring in neutrophil apoptosis, which could trigger DR signalling in the absence of DR ligation.",['Copyright 2004 Biochemical Society'],"['Scheel-Toellner, D', 'Wang, K-Q', 'Webb, P R', 'Wong, S H', 'Craddock, R', 'Assi, L K', 'Salmon, M', 'Lord, J M']","['Scheel-Toellner D', 'Wang KQ', 'Webb PR', 'Wong SH', 'Craddock R', 'Assi LK', 'Salmon M', 'Lord JM']","['MRC Centre for Immune Regulation, University of Birmingham Medical School, Edgbaston, Birmingham B15 2TT, UK.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Biochem Soc Trans,Biochemical Society transactions,7506897,"['0 (BAX protein, human)', '0 (Myeloid Cell Leukemia Sequence 1 Protein)', '0 (Neoplasm Proteins)', '0 (Protein Synthesis Inhibitors)', '0 (Proto-Oncogene Proteins c-bcl-2)', '0 (bcl-2-Associated X Protein)', '98600C0908 (Cycloheximide)', 'EC 3.4.22.- (CASP8 protein, human)', 'EC 3.4.22.- (Caspase 8)', 'EC 3.4.22.- (Caspases)']",IM,"['Animals', '*Apoptosis', 'Caspase 8', 'Caspases/metabolism', 'Cycloheximide/pharmacology', 'Dose-Response Relationship, Drug', 'Humans', 'Leukocytes/metabolism', 'Membrane Microdomains/chemistry', 'Mitochondria/pathology', 'Models, Biological', 'Myeloid Cell Leukemia Sequence 1 Protein', 'Neoplasm Proteins/metabolism', 'Neutrophils/metabolism/*pathology', 'Protein Synthesis Inhibitors/pharmacology', 'Protein Transport', 'Proto-Oncogene Proteins c-bcl-2/metabolism', 'Signal Transduction', 'bcl-2-Associated X Protein']",34,2004/05/26 05:00,2005/01/13 09:00,['2004/05/26 05:00'],"['2004/05/26 05:00 [pubmed]', '2005/01/13 09:00 [medline]', '2004/05/26 05:00 [entrez]']","['10.1042/BST0320461 [doi]', 'BST0320461 [pii]']",ppublish,Biochem Soc Trans. 2004 Jun;32(Pt3):461-4. doi: 10.1042/BST0320461.,,,,,,,,,,,,,,,,,,,,,,
15156991,NLM,MEDLINE,20040618,20190812,0148-7043 (Print) 0148-7043 (Linking),52,3,2004 Mar,Consequences of radiation accidents.,325-8,"Radiation injury attributable to radiotherapy is a topic that has attracted ample attention in the literature, especially in a vast number of publications in plastic surgery. However, the literature is clearly devoid of compilations regarding the effects of ionized radiation accidents. A case of a radiation accident is presented. It is nearly impossible to anticipate the extent of effects of external irradiation of the skin and subcutaneous tissues. The initially healed area should be expected to show late recurrent necrosis. Patients exposed to ionized external irradiation are no longer radioactive and can be treated as ordinary patients. However, these patients should be followed closely for years, keeping in mind the onset of late radiation effects like skin necrosis in various parts of the body, skin and other organ cancers, leukemia, infertility, hypothyroidism, and cataracts.",,"['Aslan, Gurcan', 'Terzioglu, Ahmet', 'Tuncali, Dogan', 'Bingul, Ferruh']","['Aslan G', 'Terzioglu A', 'Tuncali D', 'Bingul F']","['Ankara Training and Research Hospital, Department of Plastic and Reconstructive Surgery, Cebeci, Turkey. gurcanaslan@yahoo.com']",['eng'],"['Case Reports', 'Journal Article']",United States,Ann Plast Surg,Annals of plastic surgery,7805336,['0 (Iridium Radioisotopes)'],IM,"['Adult', 'Dose-Response Relationship, Radiation', 'Humans', '*Iridium Radioisotopes', 'Male', 'Radiodermatitis/*etiology/*surgery', 'Skin/*radiation effects', 'Skin Transplantation', 'Skin Ulcer/*etiology/*surgery', 'Time Factors', 'Transplantation, Autologous', 'Treatment Outcome', 'Turkey']",,2004/05/26 05:00,2004/06/24 05:00,['2004/05/26 05:00'],"['2004/05/26 05:00 [pubmed]', '2004/06/24 05:00 [medline]', '2004/05/26 05:00 [entrez]']",['10.1097/01.sap.0000100420.50662.aa [doi]'],ppublish,Ann Plast Surg. 2004 Mar;52(3):325-8. doi: 10.1097/01.sap.0000100420.50662.aa.,['Ann Plast Surg. 2004 Sep;53(3):300-1. PMID: 15480026'],,,,,,,,,,,,,,,,,,,,,
15156557,NLM,MEDLINE,20041228,20061115,0730-2312 (Print) 0730-2312 (Linking),92,3,2004 Jun 1,The 33 kb transcript of the chicken alpha-globin gene domain is part of the nuclear matrix.,445-57,"Giant nuclear transcripts, and in particular the RNAs of the globin gene domains which are much larger than their canonical pre-mRNAs, have been an enigma for many years. We show here that in avian erythroblastosis virus (AEV)-transformed chicken erythroleukaemic cells, where globin gene expression is abortive, the whole domain of alpha-globin genes is transcribed for about 33 kb in the globin direction and that this RNA is part of the nuclear matrix. Northern blot hybridisation with strand-specific riboprobes, recognising genes and intergenic sequences, and RT-PCR with downstream primers, show that the continuous full domain transcript (FDT) starts in the vicinity of a putative LCR and includes all the genes as well as known regulatory sites, the replication origin, and the DNA loop anchorage region in the upstream area. Absent in chicken fibroblasts, the globin FDT overlaps the major part of the ggPRX housekeeping gene that is transcribed in the opposite direction. RT-PCR and in situ hybridisation with genic and extra-genic globin probes demonstrated that the globin FDT is a component of the nuclear matrix. We suggest that the globin FDTs keep the domain in an active state, and the globin RNAs on the processing pathway are a component of the nuclear matrix. They may take part in the dynamic nuclear architecture when productively processed, or turn over slowly when globins are not synthesised.","['Copyright 2004 Wiley-Liss, Inc.']","['Razin, Sergey V', 'Rynditch, Alla', 'Borunova, Victoria', 'Ioudinkova, Elena', 'Smalko, Victor', 'Scherrer, Klaus']","['Razin SV', 'Rynditch A', 'Borunova V', 'Ioudinkova E', 'Smalko V', 'Scherrer K']","['Institut J Monod, 2, Place Jussieu, 75251 Paris, Cedex 05, France. sergey.v.razin@usa.net']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Cell Biochem,Journal of cellular biochemistry,8205768,"['0 (RNA, Messenger)', '9004-22-2 (Globins)']",IM,"['Animals', 'Blotting, Northern', 'Cell Line, Transformed', 'Cells, Cultured', 'Chickens/*genetics', 'Erythroid Cells/metabolism', 'Fibroblasts/metabolism', 'Gene Expression Profiling', 'Globins/*genetics', 'In Situ Hybridization', 'Leukemia, Erythroblastic, Acute/genetics', 'Nuclear Matrix/*genetics', 'RNA, Messenger/genetics/*metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Transcription Initiation Site', 'Transcription, Genetic']",,2004/05/25 05:00,2004/12/29 09:00,['2004/05/25 05:00'],"['2004/05/25 05:00 [pubmed]', '2004/12/29 09:00 [medline]', '2004/05/25 05:00 [entrez]']",['10.1002/jcb.20066 [doi]'],ppublish,J Cell Biochem. 2004 Jun 1;92(3):445-57. doi: 10.1002/jcb.20066.,,,,,,,,,,,,,,,,,,,,,,
15156514,NLM,PubMed-not-MEDLINE,,20191120,1939-165X (Electronic) 0275-6382 (Linking),18,3,1989,Megakaryblastic leukemia in a dog.,69-74,,,"['Bolon, B', 'Buergelt, C D', 'Harvey, J W', 'Meyer, D J', 'Kaplan-Stein, D']","['Bolon B', 'Buergelt CD', 'Harvey JW', 'Meyer DJ', 'Kaplan-Stein D']","['Department of Comparative and Experimental Pathology, College of Veterinary Medicine, University of Florida, Gainesville, FL 32610.']",['eng'],['Journal Article'],United States,Vet Clin Pathol,Veterinary clinical pathology,9880575,,,,,1989/01/01 00:00,1989/01/01 00:01,['1989/01/01 00:00'],"['1989/01/01 00:00 [pubmed]', '1989/01/01 00:01 [medline]', '1989/01/01 00:00 [entrez]']",['10.1111/j.1939-165x.1989.tb00520.x [doi]'],ppublish,Vet Clin Pathol. 1989;18(3):69-74. doi: 10.1111/j.1939-165x.1989.tb00520.x.,,,,,,,,,,,,,,,,,,,,,,
15156346,NLM,MEDLINE,20040914,20151119,0939-5555 (Print) 0939-5555 (Linking),83,8,2004 Aug,"Intensive chemotherapy with idarubicin, cytarabine, etoposide, and G-CSF priming in patients with advanced myelodysplastic syndrome and high-risk acute myeloid leukemia.",498-503,"In an attempt to improve the complete remission (CR) rates and to prolong the remission duration especially in elderly patients > 50 years of age, we have used a combination chemotherapy of idarubicin (10 mg/m2 IV x 3 days), cytarabine (AraC, 100 mg/m2 CIVI x 7d), and etoposide (100 mg/m2 x 5 days) in combination with granulocyte colony-stimulating factor (G-CSF) priming [5 mg/kg SQ day 1 until absolute neutrophil count (ANC) recovery] for remission induction. Responding patients received two consolidation courses of idarubicin, AraC, and etoposide, followed by a late consolidation course of intermediate-dose AraC (600 mg/m2 IV every 12 h x 5 days) and amsacrine (60 mg/m2 IV x 5 days). A total of 112 patients (57 male/55 female) with a median age of 58 years (range: 22-75) have been entered and are evaluable for response: 19 refractory anemia with excess of blast cells in transformation (RAEB-T), 84 acute myeloid leukemia (AML) evolving from myelodysplastic syndrome (MDS), and 9 secondary AML after chemotherapy/radiotherapy. The overall CR rate was 62%, partial remission (PR) rate 10%, treatment failure 16%, and early death rate 12%. The CR rate was higher in patients < or = 60 years (68 vs 55%), mainly due to a lower early death rate (5 vs 21%, p<0.001). After a median follow-up of 58 months, the median overall survival is 14.5% and median duration of relapse-free survival 8 months. After 60 months, the probability of CR patients to still be in CR and alive is 16% (20% in patients < or = 60 years and 13% in patients >60 years), while the probability of overall survival is 12% (15% in patients < or = 60 years and 9% in patients > 60 years). Compared to our previous trial (AML-MDS Study 01-92) which was done with identical chemotherapy but no G-CSF priming in 110 patients with RAEB-T, AML after MDS, or secondary AML (identical median age, age range, and distribution of subtypes), the CR rate in all patients, as well as CR rate, overall survival, and relapse-free survival in patients > 60 years have significantly been improved. Thus, intensive chemotherapy with G-CSF priming is both well tolerated and highly effective for remission induction in these high-risk patients.",['Copyright 2004 Springer-Verlag'],"['Hofmann, W K', 'Heil, G', 'Zander, C', 'Wiebe, S', 'Ottmann, O G', 'Bergmann, L', 'Hoeffken, K', 'Fischer, J T', 'Knuth, A', 'Kolbe, K', 'Schmoll, H J', 'Langer, W', 'Westerhausen, M', 'Koelbel, C B', 'Hoelzer, D', 'Ganser, A']","['Hofmann WK', 'Heil G', 'Zander C', 'Wiebe S', 'Ottmann OG', 'Bergmann L', 'Hoeffken K', 'Fischer JT', 'Knuth A', 'Kolbe K', 'Schmoll HJ', 'Langer W', 'Westerhausen M', 'Koelbel CB', 'Hoelzer D', 'Ganser A']","['Department of Hematology/Oncology, Johann Wolfgang Goethe University Hospital, University of Frankfurt/Main, Theodor-Stern-Kai 7, Frankfurt/Main, Germany. w.k.hofmann@em.uni-frankfurt.de']",['eng'],"['Clinical Trial', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,"['00DPD30SOY (Amsacrine)', '04079A1RDZ (Cytarabine)', '143011-72-7 (Granulocyte Colony-Stimulating Factor)', '6PLQ3CP4P3 (Etoposide)', 'ZRP63D75JW (Idarubicin)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Amsacrine/administration & dosage', 'Anemia, Refractory, with Excess of Blasts/drug therapy/mortality', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/*therapeutic use/toxicity', 'Cytarabine/administration & dosage', 'Etoposide/administration & dosage', 'Female', 'Granulocyte Colony-Stimulating Factor/*administration & dosage', 'Humans', 'Idarubicin/administration & dosage', 'Leukemia, Myeloid/drug therapy/mortality', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*drug therapy/*mortality', 'Remission Induction/methods', 'Risk', 'Survival Rate', 'Treatment Outcome']",,2004/05/25 05:00,2004/09/15 05:00,['2004/05/25 05:00'],"['2003/11/15 00:00 [received]', '2003/11/23 00:00 [accepted]', '2004/05/25 05:00 [pubmed]', '2004/09/15 05:00 [medline]', '2004/05/25 05:00 [entrez]']",['10.1007/s00277-004-0889-0 [doi]'],ppublish,Ann Hematol. 2004 Aug;83(8):498-503. doi: 10.1007/s00277-004-0889-0. Epub 2004 May 20.,,20040520,,,,,,,,,,,,,,,,,,,,
15156194,NLM,MEDLINE,20040823,20161124,0950-9232 (Print) 0950-9232 (Linking),23,32,2004 Jul 15,Utilization of the CBP but not the p300 co-activator by human T-lymphotropic virus type-2 Tax for p53 inhibition.,5447-58,"We previously reported, both in transfected cells and in human T-cell leukemia virus type-2 subtype B infected cells, that the viral transactivator Tax-2B protein could inhibit p53 functions. We have now investigated the mechanism through which Tax-2B represses p53 using GFPTax-2B fusion proteins. We present evidence that Tax-2B inhibition of p53 function is not linked to CREB/ATF activation, but is uniquely correlated with the interaction of CREB binding protein (CBP), but not p300, with the C-terminus of Tax-2B. Wild type, but not a Tax-2B-M47 mutant, inhibits p53 function in adherent cells. We demonstrate that both Tax-2B and Tax-2B-M47 can bind p300, while Tax-2B-M47 is impaired for CBP binding. Importantly, transfection of increasing amounts of CBP but not p300 or p300/CBP-associated factor (P/CAF) could rescue p53 transcriptional activity in the presence of Tax-2B in nonlymphocytic cells. In lymphoid cells, Tax-2B mediated inhibition of p53 is correlated with the NF-kappaB pathway activation and could be prevented by the overexpression of an IkappaBalpha mutant. Given the similarities between the functional domains of CBP and p300, these results are intriguing and suggest that Tax-2B must bind the CR2 domain of CBP, but not that of p300 in order to repress p53.",,"['Meertens, Laurent', 'Pise-Masison, Cynthia', 'Quere, Nelly', 'Brady, John', 'Gessain, Antoine', 'Mahieux, Renaud']","['Meertens L', 'Pise-Masison C', 'Quere N', 'Brady J', 'Gessain A', 'Mahieux R']","[""Unite d'Epidemiologie et Physiopathologie des Virus Oncogenes, Institut Pasteur, 28 rue du Docteur Roux, 75724 Paris cedex 15, France.""]",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (Gene Products, tax)', '0 (I-kappa B Proteins)', '0 (NF-kappa B)', '0 (Nuclear Proteins)', '0 (Recombinant Fusion Proteins)', '0 (Trans-Activators)', '0 (Tumor Suppressor Protein p53)', 'EC 2.3.1.48 (CREB-Binding Protein)', 'EC 2.3.1.48 (CREBBP protein, human)']",IM,"['CREB-Binding Protein', 'Gene Expression Regulation, Viral', 'Gene Products, tax/genetics/*metabolism', 'Genes, Reporter', 'HeLa Cells', 'Human T-lymphotropic virus 2/*metabolism', 'Humans', 'I-kappa B Proteins/metabolism', 'NF-kappa B/metabolism', 'Nuclear Proteins/*metabolism', 'Recombinant Fusion Proteins/genetics/metabolism', 'T-Lymphocytes/metabolism', 'Trans-Activators/*metabolism', 'Tumor Suppressor Protein p53/*antagonists & inhibitors']",,2004/05/25 05:00,2004/08/24 05:00,['2004/05/25 05:00'],"['2004/05/25 05:00 [pubmed]', '2004/08/24 05:00 [medline]', '2004/05/25 05:00 [entrez]']","['10.1038/sj.onc.1207719 [doi]', '1207719 [pii]']",ppublish,Oncogene. 2004 Jul 15;23(32):5447-58. doi: 10.1038/sj.onc.1207719.,,,,,,,,,,,,,,,,,,,,,,
15156187,NLM,MEDLINE,20040615,20061115,0950-9232 (Print) 0950-9232 (Linking),23,24,2004 May 24,The Runx genes: lineage-specific oncogenes and tumor suppressors.,4308-14,"The Runx genes present a challenge to the simple binary classification of cancer genes as oncogenes or tumor suppressors. There is evidence that loss of function of two of the three mammalian Runx genes promotes cancer, but in a highly lineage-restricted manner. In human leukemias, the RUNX1 gene is involved in various chromosomal translocation events that create oncogenic fusion proteins, at least some of which appear to function as dominant-negative inhibitors of the normal gene product. Paradoxically, evidence is mounting that structurally intact Runx genes are also oncogenic when overexpressed. All the three murine genes act as targets for transcriptional activation by retroviral insertional mutagenesis, and the oncogenic potential of Runx2 has been confirmed in transgenic mice. Moreover, the RUNX1 gene is often amplified or overexpressed in cases of acute leukemia. The state of progress in elucidating the oncogenic roles of the Runx genes is the subject of this review, and we draw together recent observations in a tentative model for the effects of Runx deregulation on hematopoietic cell differentiation. We suggest that lineage-specific factors determine the sensitivity to the oncogenic effects of loss or overexpression of Runx factors.",,"['Cameron, Ewan R', 'Neil, James C']","['Cameron ER', 'Neil JC']","['Molecular Oncology Laboratory, Institute of Comparative Medicine, University of Glasgow Veterinary School, Glasgow G61 1QH, UK. e.r.cameron@vet.gla.ac.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Oncogene,Oncogene,8711562,"['0 (Core Binding Factor Alpha 1 Subunit)', '0 (Core Binding Factor Alpha 2 Subunit)', '0 (Core Binding Factor Alpha 3 Subunit)', '0 (Core Binding Factor alpha Subunits)', '0 (DNA-Binding Proteins)', '0 (Neoplasm Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Runx1 protein, mouse)', '0 (Runx3 protein, human)', '0 (Runx3 protein, mouse)', '0 (Transcription Factors)']",IM,"['Animals', 'Core Binding Factor Alpha 1 Subunit', 'Core Binding Factor Alpha 2 Subunit', 'Core Binding Factor Alpha 3 Subunit', 'Core Binding Factor alpha Subunits', 'DNA-Binding Proteins/*genetics/metabolism', 'Genes, Dominant', '*Genes, Tumor Suppressor', 'Humans', 'Leukemia, Myeloid/genetics/metabolism', 'Lymphoma/genetics/metabolism', 'Mice', 'Neoplasm Proteins/*genetics/metabolism', '*Oncogenes', 'Proto-Oncogene Proteins/*genetics/metabolism', 'Retroviridae/genetics/metabolism', 'Retroviridae Infections/genetics/metabolism', 'Transcription Factors/*genetics/metabolism']",86,2004/05/25 05:00,2004/06/16 05:00,['2004/05/25 05:00'],"['2004/05/25 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/05/25 05:00 [entrez]']","['10.1038/sj.onc.1207130 [doi]', '1207130 [pii]']",ppublish,Oncogene. 2004 May 24;23(24):4308-14. doi: 10.1038/sj.onc.1207130.,,,,,,,,,,,,,,,,,,,,,,
15156186,NLM,MEDLINE,20040615,20051117,0950-9232 (Print) 0950-9232 (Linking),23,24,2004 May 24,Mechanism of leukemogenesis by the inv(16) chimeric gene CBFB/PEBP2B-MHY11.,4297-307,"Inv(16)(p13q22) is associated with acute myeloid leukemia subtype M4Eo that is characterized by the presence of myelomonocytic blasts and atypical eosinophils. This chromosomal rearrangement results in the fusion of CBFB and MYH11 genes. CBF beta normally interacts with RUNX1 to form a transcriptionally active nuclear complex. The MYH11 gene encodes the smooth muscle myosin heavy chain. The CBF beta-SMMHC fusion protein is capable of binding to RUNX1 and form dimers and multimers through its myosin tail. Previous results from transgenic mouse models show that Cbfb-MYH11 is able to inhibit dominantly Runx1 function in hematopoiesis, and is a key player in the pathogenesis of leukemia. In recent years, molecular and cellular biological studies have led to the proposal of several models to explain the function of CBF beta-SMMHC. In this review, we will first focus our attention on the molecular mechanisms proposed in the recent publications. We will next examine recent gene expression profiling studies on inv(16) leukemia cells. Finally, we will describe a recent study from one of our labs on the identification of cooperating genes for leukemogenesis with CBFB-MYH11.",,"['Shigesada, Katsuya', 'van de Sluis, Bart', 'Liu, P Paul']","['Shigesada K', 'van de Sluis B', 'Liu PP']","['Department of Cell Biology, Institute for Virus Research, Kyoto University, Kyoto 606-8507, Japan. kshigesa@virus.kyoto-u.ac.jp']",['eng'],"['Journal Article', 'Review']",England,Oncogene,Oncogene,8711562,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA-Binding Proteins)', '0 (Oncogene Proteins, Fusion)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Runx1 protein, mouse)', '0 (Transcription Factors)', '0 (inv(16) fusion protein, human)']",IM,"['Acute Disease', 'Animals', 'Core Binding Factor Alpha 2 Subunit', 'DNA-Binding Proteins/*metabolism', 'Disease Models, Animal', 'Humans', 'Leukemia/*etiology/genetics/metabolism', 'Leukemia, Myeloid/classification/genetics/metabolism', 'Mice', 'Oncogene Proteins, Fusion/*genetics/metabolism', 'Protein Conformation', 'Proto-Oncogene Proteins/*metabolism', 'Transcription Factors/*metabolism']",81,2004/05/25 05:00,2004/06/16 05:00,['2004/05/25 05:00'],"['2004/05/25 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/05/25 05:00 [entrez]']","['10.1038/sj.onc.1207748 [doi]', '1207748 [pii]']",ppublish,Oncogene. 2004 May 24;23(24):4297-307. doi: 10.1038/sj.onc.1207748.,,,,,,,,,,,,,,,,,,,,,,
15156185,NLM,MEDLINE,20040615,20061115,0950-9232 (Print) 0950-9232 (Linking),23,24,2004 May 24,Point mutations in the RUNX1/AML1 gene: another actor in RUNX leukemia.,4284-96,"The RUNX1/AML1 gene is the most frequent target for chromosomal translocation in leukemia. In addition, recent studies have demonstrated point mutations in the RUNX1 gene as another mode of genetic alteration in development of leukemia. Monoallelic germline mutations in RUNX1 result in familial platelet disorder predisposed to acute myelogenous leukemia (FPD/AML). Sporadic point mutations are frequently found in three leukemia entities: AML M0 subtype, MDS-AML, and secondary (therapy-related) MDS/AML. Therapy-related leukemias resulting from anticancer treatments are not uncommon, and the incidence of RUNX1 point mutations appears comparable to the incidence of the t(8;21) AML M2 subtype and the inv(16) AML M4Eo subtype. Half of the point mutations in M0 cases are biallelic, although the frequency varies with ethnicity. Most of the RUNX1 mutations are clustered in the Runt domain and result in defective DNA binding but active beta-subunit binding, which is consistent with three-dimensional structural findings and may explain the dominant inhibitory effects. Unlike the classical tumor suppressor genes requiring biallelic inactivation, haploinsufficient RUNX1 is apparently leukemogenic. However, RUNX1 abnormalities per se are insufficient to cause full-blown leukemia. Intensive investigation of cooperating genetic alterations should elucidate leukemic mechanisms.",,"['Osato, Motomi']",['Osato M'],"['Institute of Molecular and Cell Biology, Oncology Research Institute, National University of Singapore, Singapore, 30 Medical Drive, Singapore 117609. motomi@imcb.a-star.edu.sg']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Oncogene,Oncogene,8711562,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (DNA-Binding Proteins)', '0 (Proto-Oncogene Proteins)', '0 (RUNX1 protein, human)', '0 (Transcription Factors)']",IM,"['Core Binding Factor Alpha 2 Subunit', 'DNA-Binding Proteins/*genetics/metabolism', 'Gene Frequency', 'Genes, Dominant', 'Humans', 'Leukemia/etiology/*genetics', 'Phenotype', '*Point Mutation', 'Protein Structure, Tertiary', 'Proto-Oncogene Proteins/*genetics/metabolism', 'Transcription Factors/*genetics/metabolism']",41,2004/05/25 05:00,2004/06/16 05:00,['2004/05/25 05:00'],"['2004/05/25 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/05/25 05:00 [entrez]']","['10.1038/sj.onc.1207779 [doi]', '1207779 [pii]']",ppublish,Oncogene. 2004 May 24;23(24):4284-96. doi: 10.1038/sj.onc.1207779.,,,,,,,,,,,,,,,,,,,,,,
15156184,NLM,MEDLINE,20040615,20071115,0950-9232 (Print) 0950-9232 (Linking),23,24,2004 May 24,Role of the TEL-AML1 fusion gene in the molecular pathogenesis of childhood acute lymphoblastic leukaemia.,4275-83,"Balanced chromosomal translocations are frequently associated with haematopoietic neoplasms and often involve genes that encode transcription factors, which play critical roles in normal haematopoiesis. Fusion oncoproteins that arise from chimeric genes generated by such translocations are usually stable and consistent molecular markers for a given disease subtype and contribute to the leukaemogenic processes. The t(12;21)(p13;q22) chromosomal translocation is the most frequent illegitimate gene recombination in paediatric cancer, occurring in approximately 25% of common (c) B-cell precursor acute lymphoblastic leukaemia (cALL) cases. The rearrangement results in the in-frame fusion of the 5' region of the ETS-related gene, TEL (ETV6), to almost the entire AML1 (RUNX1) locus and is associated with favourable prognosis following conventional therapeutic strategies. We discuss here the prenatal origins of the TEL/AML1 translocation as an initiating mutation, the role of TEL-AML1 in cellular transformation and the molecular mechanisms by which the chimeric protein imposes altered patterns of gene expression.",,"['Zelent, Arthur', 'Greaves, Mel', 'Enver, Tariq']","['Zelent A', 'Greaves M', 'Enver T']","['Section of Haematological Oncology, Institute of Cancer Research, Chester Beatty Laboratories, 237 Fulham Road, London SW3 6JB, UK. arthur.zelent@icr.ac.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",England,Oncogene,Oncogene,8711562,"['0 (Core Binding Factor Alpha 2 Subunit)', '0 (Oncogene Proteins, Fusion)', '0 (TEL-AML1 fusion protein)']",IM,"['Animals', 'Core Binding Factor Alpha 2 Subunit', 'Disease Models, Animal', 'Humans', 'In Situ Hybridization, Fluorescence', 'Oncogene Proteins, Fusion/*genetics/metabolism', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*etiology/genetics/metabolism', 'Sequence Analysis, DNA']",15,2004/05/25 05:00,2004/06/16 05:00,['2004/05/25 05:00'],"['2004/05/25 05:00 [pubmed]', '2004/06/16 05:00 [medline]', '2004/05/25 05:00 [entrez]']","['10.1038/sj.onc.1207672 [doi]', '1207672 [pii]']",ppublish,Oncogene. 2004 May 24;23(24):4275-83. doi: 10.1038/sj.onc.1207672.,,,,,,,,,,,,,,,,,,,,,,
