PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,SB,TT,PMC,MID,OID,GR,CIN,CON,RF,DEP,CI,SI,CN,OTO,OT,GN,LID,EIN,CRI,PS,FPS
15058751,NLM,MEDLINE,20040423,20191108,0741-238X (Print) 0741-238X (Linking),20,6,2003 Nov-Dec,All-trans retinoid acid increases Notch1 transcript expression in acute promyelocytic leukemia.,337-43,"The effect of all-trans retinoid acid (ATRA) on the expression of Notch1 gene by real-time reverse transcriptase polymerase chain reaction (RT-PCR) in acute promyelocytic leukemia cells (APL), NB4, and HL-60 lacking t(15;17) was studied. The cells were treated with ATRA 0.5 microM for up to 96 hours. The increased transcript level of Notch1 was in concert with that of CD11b in NB4 cells, but not in HL-60 cells. The expression of Notch1 gene might be specific for APL cells. As Notch1 gene is involved in the differentiation and leukemogenesis in lymphoid neoplasm, observations suggest that Notch1 is involved in ATRA-modulated differentiation process in APL.","['Lin, Jen-Tsun', 'Wu, Ming-Shiuan', 'Wang, Wei-Shu', 'Yen, Chueh-Chuan', 'Chiou, Tzeon-Jye', 'Liu, Jin-Hwang', 'Yang, Mu-Hua', 'Chao, Ta-Chon', 'Chou, Shu-Chaou', 'Chen, Po-Min']","['Lin JT', 'Wu MS', 'Wang WS', 'Yen CC', 'Chiou TJ', 'Liu JH', 'Yang MH', 'Chao TC', 'Chou SC', 'Chen PM']","['Division of Medical Oncology, Department of Medicine, Taipei Veterans General Hospital, National Yang-Ming University, School of Medicine, Taipei, Taiwan.']",['eng'],"['Comparative Study', 'Journal Article']",United States,Adv Ther,Advances in therapy,8611864,"['0 (NOTCH1 protein, human)', '0 (Neoplasm Proteins)', '0 (Receptor, Notch1)', '0 (Receptors, Cell Surface)', '0 (Transcription Factors)', '5688UTC01R (Tretinoin)']","['Base Sequence', 'Cell Division/drug effects/physiology', 'Female', 'Gene Expression Regulation, Neoplastic', '*Genetic Predisposition to Disease', 'HL-60 Cells/drug effects/physiology', 'Humans', 'Leukemia, Promyelocytic, Acute/*genetics', 'Male', 'Molecular Sequence Data', 'Neoplasm Proteins/genetics', 'Receptor, Notch1', 'Receptors, Cell Surface/*genetics', 'Reverse Transcriptase Polymerase Chain Reaction/methods', 'Sensitivity and Specificity', '*Transcription Factors', 'Tretinoin/*pharmacology']",2004/04/03 05:00,2004/04/24 05:00,['2004/04/03 05:00'],"['2004/04/03 05:00 [pubmed]', '2004/04/24 05:00 [medline]', '2004/04/03 05:00 [entrez]']","['316 [pii]', '10.1007/BF02849800 [doi]']",ppublish,Adv Ther. 2003 Nov-Dec;20(6):337-43. doi: 10.1007/BF02849800.,,,,,,,,,,,,,,,,,,,,,
15058636,NLM,MEDLINE,20040504,20151119,0030-9982 (Print) 0030-9982 (Linking),54,1,2004 Jan,Hematologic and cytogenetic findings in eleven chronic myelogenous leukemia patients treated with imatinib mesylate at a tertiary care hospital.,17-20,"OBJECTIVE: To evaluate the response of Imatinib mesylate in patients with myeloid leukemia in chronic accelerated and blast phase. PATIENTS AND METHODS: Eleven patients with established diagnosis of chronic myeloid leukemia were treated with Imatinib mesylate. Adverse events were documented with regular follow ups. Hematological and cytogenetic responses were assessed according to established criteria. Patients with zero percent Philadelphia positive metaphases were labeled as complete cytogenetic response while patients with 1% to 35% Philadelphia positive metaphases were termed as partial responders. RESULTS: Of 11 cases there were 7 males and 4 females with a mean age of 39.5 years and median age 51 years (range 21-69). Male to female ratio was 7:4. Median follow-up was 34 weeks (range 8-78). Four patients were in blast crisis, 1 in accelerated phase and remaining six patients were in chronic phase. All patients achieved hematological response. Cytogenetic response was present in six patients, 3 were responders and the remaining were non responders. Two patients achieved complete cytogenetic response and one patient had partial cytogenetic response. Both patients with complete cytogenetic response relapsed in twelve weeks time. CONCLUSION: Imatinib mesylate is a drug with curative potential and can be used as a first line drug in the management of CML, however at present the cure rate is unknown.","['Usman, M', 'Kakepoto, G N', 'Adil, S N', 'Sajid, R', 'Arain, S', 'Khurshid, M']","['Usman M', 'Kakepoto GN', 'Adil SN', 'Sajid R', 'Arain S', 'Khurshid M']","['Department of Pathology, The Aga Khan University Hospital, Karachi.']",['eng'],['Journal Article'],Pakistan,J Pak Med Assoc,JPMA. The Journal of the Pakistan Medical Association,7501162,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)']","['Adult', 'Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Cytogenetics', 'Female', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/blood/*drug therapy', 'Male', 'Middle Aged', 'Philadelphia Chromosome', 'Piperazines/*therapeutic use', 'Pyrimidines/*therapeutic use', 'Treatment Outcome']",2004/04/03 05:00,2004/05/05 05:00,['2004/04/03 05:00'],"['2004/04/03 05:00 [pubmed]', '2004/05/05 05:00 [medline]', '2004/04/03 05:00 [entrez]']",['321 [pii]'],ppublish,J Pak Med Assoc. 2004 Jan;54(1):17-20.,IM,,,,,,,,,,,,,,,,,,,,
15058405,NLM,MEDLINE,20040428,20170214,1043-4542 (Print) 1043-4542 (Linking),21,1,2004 Jan,Assessment of chemotherapy-induced oral complications in children with cancer.,33-9,"OBJECTIVE: To assess children with cancer for oral complications using the oral assessment guide (OAG) and ascertain the efficacy of an oral hygiene care regimen in children undergoing chemotherapy and at 1 to 2 weeks postchemotherapy administration. METHODS: Thirty pediatric cancer patients with either leukemia or lymphoma were randomly selected from 3 medical centers. A quasi-experimental design was used to evaluate the difference between pre- and post-oral hygiene care. Descriptive and inferential statistical techniques were used to analyze the data. The interrater agreement between the nurse and the dentist was calculated using a Kappa score. A paired t test was to examine the difference between pre- and post-oral hygiene care regimen. RESULTS: The OAG scores ranged from 8 to 24. The higher the score, the more severe the oral complications. Ninety-six percent of the participants had a score > or = 9, on the pre-test, 26.7% had an OAG score > or = 12. Oral complications included ulcerated mucous membranes, dry lips, deeper or raspy voice, and oral debris. No scores were > or = 12 on the OAG following the posttest. The oral hygiene care regimen significantly improved oral assessment among patients (P < .05). CONCLUSIONS: The authors postulate that the OAG and oral hygiene care regimen may be clinically useful in improving oral assessment and hygiene in children with cancer during and after chemotherapy, thus decreasing associated infection and enhancing patient comfort.","['Chen, Chia-Feng', 'Wang, Ru-Hwa', 'Cheng, Shin-Nan', 'Chang, Yue-Cune']","['Chen CF', 'Wang RH', 'Cheng SN', 'Chang YC']","['Department of Nursing, Tri-Service General Hospital, Taipei, Taiwan. chencf33@ms35.hinet.net']",['eng'],"['Clinical Trial', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",United States,J Pediatr Oncol Nurs,Journal of pediatric oncology nursing : official journal of the Association of Pediatric Oncology Nurses,8917825,['0 (Antineoplastic Agents)'],"['Adolescent', 'Antineoplastic Agents/*adverse effects', 'Child', 'Child, Preschool', 'Humans', 'Leukemia/drug therapy', 'Lymphoma/drug therapy', 'Models, Nursing', 'Mouth Mucosa', ""Nurse's Role"", 'Nursing Assessment/*methods/standards', 'Nursing Evaluation Research', 'Observer Variation', 'Oncology Nursing/methods', '*Oral Hygiene/methods/nursing', 'Oral Hygiene Index', 'Patient Education as Topic', 'Pediatric Nursing/methods', '*Stomatitis/chemically induced/prevention & control', 'Taiwan']",2004/04/03 05:00,2004/04/29 05:00,['2004/04/03 05:00'],"['2004/04/03 05:00 [pubmed]', '2004/04/29 05:00 [medline]', '2004/04/03 05:00 [entrez]']",['10.1177/1043454203259947 [doi]'],ppublish,J Pediatr Oncol Nurs. 2004 Jan;21(1):33-9. doi: 10.1177/1043454203259947.,IM,,,,,,,,,,,,,,,,,,,,
15058042,NLM,MEDLINE,20040525,20171116,0033-2240 (Print) 0033-2240 (Linking),60,11,2003,[sCD44 in peripheral blood cultures of mononuclear cells and in the serum of patients with B-cell chronic lymphocytic leukemia].,721-3,The aim of this study was to estimate the ability of peripheral blood mononuclear cells to release of soluble CD44 standard (sCD44st) compared to concentration in the serum of patients B cell chronic lymphocytic leukemia. The results showed the decrease of secretion of sCD44 by leukaemic cells in studied patients. There was no significant differences between patients with I and III stage according to Rai classification. In the serum of patient group we found higher concentrations of sCD44 in comparison with control group. Lack correlation between the concentrations of sCD44 in the cultures and serum suggest that other than leukaemic cells may be significant source of this molecule in patients with B cell chronic lymphocytic leukemia.,"['Jablonska, Ewa', 'Kiersnowska-Rogowska, Beata', 'Parfienczyk, Adam', 'Rogowski, Franciszek']","['Jablonska E', 'Kiersnowska-Rogowska B', 'Parfienczyk A', 'Rogowski F']",['Zaklad Immunologii Akademii Medycznej w Bialymstoku.'],['pol'],"['Comparative Study', 'Journal Article']",Poland,Przegl Lek,Przeglad lekarski,19840720R,['0 (Hyaluronan Receptors)'],"['Adult', 'Aged', 'Cells, Cultured', 'Female', 'Humans', 'Hyaluronan Receptors/*blood', 'Leukemia, Lymphocytic, Chronic, B-Cell/*blood', 'Leukocytes, Mononuclear/*metabolism', 'Male', 'Middle Aged']",2004/04/03 05:00,2004/05/27 05:00,['2004/04/03 05:00'],"['2004/04/03 05:00 [pubmed]', '2004/05/27 05:00 [medline]', '2004/04/03 05:00 [entrez]']",,ppublish,Przegl Lek. 2003;60(11):721-3.,IM,Czasteczka sCD44 w hodowlach komorek jednojadrzastych krwi obwodowej i w surowicy krwi u chorych na przewlekla bialaczke limfatyczna B-komorkowa.,,,,,,,,,,,,,,,,,,,
15058041,NLM,MEDLINE,20040525,20071115,0033-2240 (Print) 0033-2240 (Linking),60,11,2003,[Effect of LFA-1 expression on neutrophils and serum level of soluble ICAM-1 in patients with chronic myelogenous leukemia].,719-20,"The aim of this study was to estimation of LFA-1 expression on PMN and concentration of sICAM-1 in serum patients with chronic myelogenic leukemia. The results indicate on increased expression of LFA-1 on isolated neutrophils from peripheral blood of patients with chronic myelogenic leukemia. A concentration of sICAM was increased in serum patients with chronic myelogenic leukemia either. High expression of adhesion molecules can make easier binding neoplasmatic cells to LFA-1 and facilitate their migration to other tissues (distant metastases). On the other hand, soluble forms of ICAM can block connection neoplasmatic cells to membrane forms of adhesion molecules. Probably, the balance between membrane--bound and soluble forms of adhesion molecules is responsible for malignancy progression.","['Kiersnowska-Rogowska, Beata', 'Izycka, Aneta', 'Jablonska, Ewa', 'Rogowski, Franciszek', 'Parfienczyk, Adam']","['Kiersnowska-Rogowska B', 'Izycka A', 'Jablonska E', 'Rogowski F', 'Parfienczyk A']",['Klinika Hematologii Akademii Medycznej w Bialymstoku.'],['pol'],"['Comparative Study', 'English Abstract', 'Journal Article']",Poland,Przegl Lek,Przeglad lekarski,19840720R,"['0 (Lymphocyte Function-Associated Antigen-1)', '126547-89-5 (Intercellular Adhesion Molecule-1)']","['Adult', 'Aged', 'Female', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Intercellular Adhesion Molecule-1/*blood', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*blood', 'Lymphocyte Function-Associated Antigen-1/*metabolism', 'Male', 'Middle Aged', 'Neutrophils/*metabolism', 'Up-Regulation']",2004/04/03 05:00,2004/05/27 05:00,['2004/04/03 05:00'],"['2004/04/03 05:00 [pubmed]', '2004/05/27 05:00 [medline]', '2004/04/03 05:00 [entrez]']",,ppublish,Przegl Lek. 2003;60(11):719-20.,IM,Ocena ekspresji LFA-1 na neutrofilach oraz stezenia rozpuszczalnej formy sICAM-1 w surowicy krwi u pacjentow chorych na przewlekla bialaczke szpikowa.,,,,,,,,,,,,,,,,,,,
15057823,NLM,MEDLINE,20040414,20181113,1476-4687 (Electronic) 0028-0836 (Linking),428,6982,2004 Apr 1,The DNA sequence and analysis of human chromosome 13.,522-8,"Chromosome 13 is the largest acrocentric human chromosome. It carries genes involved in cancer including the breast cancer type 2 (BRCA2) and retinoblastoma (RB1) genes, is frequently rearranged in B-cell chronic lymphocytic leukaemia, and contains the DAOA locus associated with bipolar disorder and schizophrenia. We describe completion and analysis of 95.5 megabases (Mb) of sequence from chromosome 13, which contains 633 genes and 296 pseudogenes. We estimate that more than 95.4% of the protein-coding genes of this chromosome have been identified, on the basis of comparison with other vertebrate genome sequences. Additionally, 105 putative non-coding RNA genes were found. Chromosome 13 has one of the lowest gene densities (6.5 genes per Mb) among human chromosomes, and contains a central region of 38 Mb where the gene density drops to only 3.1 genes per Mb.","['Dunham, A', 'Matthews, L H', 'Burton, J', 'Ashurst, J L', 'Howe, K L', 'Ashcroft, K J', 'Beare, D M', 'Burford, D C', 'Hunt, S E', 'Griffiths-Jones, S', 'Jones, M C', 'Keenan, S J', 'Oliver, K', 'Scott, C E', 'Ainscough, R', 'Almeida, J P', 'Ambrose, K D', 'Andrews, D T', 'Ashwell, R I S', 'Babbage, A K', 'Bagguley, C L', 'Bailey, J', 'Bannerjee, R', 'Barlow, K F', 'Bates, K', 'Beasley, H', 'Bird, C P', 'Bray-Allen, S', 'Brown, A J', 'Brown, J Y', 'Burrill, W', 'Carder, C', 'Carter, N P', 'Chapman, J C', 'Clamp, M E', 'Clark, S Y', 'Clarke, G', 'Clee, C M', 'Clegg, S C M', 'Cobley, V', 'Collins, J E', 'Corby, N', 'Coville, G J', 'Deloukas, P', 'Dhami, P', 'Dunham, I', 'Dunn, M', 'Earthrowl, M E', 'Ellington, A G', 'Faulkner, L', 'Frankish, A G', 'Frankland, J', 'French, L', 'Garner, P', 'Garnett, J', 'Gilbert, J G R', 'Gilson, C J', 'Ghori, J', 'Grafham, D V', 'Gribble, S M', 'Griffiths, C', 'Hall, R E', 'Hammond, S', 'Harley, J L', 'Hart, E A', 'Heath, P D', 'Howden, P J', 'Huckle, E J', 'Hunt, P J', 'Hunt, A R', 'Johnson, C', 'Johnson, D', 'Kay, M', 'Kimberley, A M', 'King, A', 'Laird, G K', 'Langford, C J', 'Lawlor, S', 'Leongamornlert, D A', 'Lloyd, D M', 'Lloyd, C', 'Loveland, J E', 'Lovell, J', 'Martin, S', 'Mashreghi-Mohammadi, M', 'McLaren, S J', 'McMurray, A', 'Milne, S', 'Moore, M J F', 'Nickerson, T', 'Palmer, S A', 'Pearce, A V', 'Peck, A I', 'Pelan, S', 'Phillimore, B', 'Porter, K M', 'Rice, C M', 'Searle, S', 'Sehra, H K', 'Shownkeen, R', 'Skuce, C D', 'Smith, M', 'Steward, C A', 'Sycamore, N', 'Tester, J', 'Thomas, D W', 'Tracey, A', 'Tromans, A', 'Tubby, B', 'Wall, M', 'Wallis, J M', 'West, A P', 'Whitehead, S L', 'Willey, D L', 'Wilming, L', 'Wray, P W', 'Wright, M W', 'Young, L', 'Coulson, A', 'Durbin, R', 'Hubbard, T', 'Sulston, J E', 'Beck, S', 'Bentley, D R', 'Rogers, J', 'Ross, M T']","['Dunham A', 'Matthews LH', 'Burton J', 'Ashurst JL', 'Howe KL', 'Ashcroft KJ', 'Beare DM', 'Burford DC', 'Hunt SE', 'Griffiths-Jones S', 'Jones MC', 'Keenan SJ', 'Oliver K', 'Scott CE', 'Ainscough R', 'Almeida JP', 'Ambrose KD', 'Andrews DT', 'Ashwell RI', 'Babbage AK', 'Bagguley CL', 'Bailey J', 'Bannerjee R', 'Barlow KF', 'Bates K', 'Beasley H', 'Bird CP', 'Bray-Allen S', 'Brown AJ', 'Brown JY', 'Burrill W', 'Carder C', 'Carter NP', 'Chapman JC', 'Clamp ME', 'Clark SY', 'Clarke G', 'Clee CM', 'Clegg SC', 'Cobley V', 'Collins JE', 'Corby N', 'Coville GJ', 'Deloukas P', 'Dhami P', 'Dunham I', 'Dunn M', 'Earthrowl ME', 'Ellington AG', 'Faulkner L', 'Frankish AG', 'Frankland J', 'French L', 'Garner P', 'Garnett J', 'Gilbert JG', 'Gilson CJ', 'Ghori J', 'Grafham DV', 'Gribble SM', 'Griffiths C', 'Hall RE', 'Hammond S', 'Harley JL', 'Hart EA', 'Heath PD', 'Howden PJ', 'Huckle EJ', 'Hunt PJ', 'Hunt AR', 'Johnson C', 'Johnson D', 'Kay M', 'Kimberley AM', 'King A', 'Laird GK', 'Langford CJ', 'Lawlor S', 'Leongamornlert DA', 'Lloyd DM', 'Lloyd C', 'Loveland JE', 'Lovell J', 'Martin S', 'Mashreghi-Mohammadi M', 'McLaren SJ', 'McMurray A', 'Milne S', 'Moore MJ', 'Nickerson T', 'Palmer SA', 'Pearce AV', 'Peck AI', 'Pelan S', 'Phillimore B', 'Porter KM', 'Rice CM', 'Searle S', 'Sehra HK', 'Shownkeen R', 'Skuce CD', 'Smith M', 'Steward CA', 'Sycamore N', 'Tester J', 'Thomas DW', 'Tracey A', 'Tromans A', 'Tubby B', 'Wall M', 'Wallis JM', 'West AP', 'Whitehead SL', 'Willey DL', 'Wilming L', 'Wray PW', 'Wright MW', 'Young L', 'Coulson A', 'Durbin R', 'Hubbard T', 'Sulston JE', 'Beck S', 'Bentley DR', 'Rogers J', 'Ross MT']","['The Wellcome Trust Sanger Institute, Wellcome Trust Genome Campus, Hinxton, Cambridgeshire, CB10 1SA, UK. ad1@sanger.ac.uk']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Nature,Nature,0410462,"['0 (RNA, Untranslated)']","['Chromosome Mapping', 'Chromosomes, Human, Pair 13/*genetics', 'Genes/*genetics', 'Genetics, Medical', 'Humans', '*Physical Chromosome Mapping', 'Pseudogenes/genetics', 'RNA, Untranslated/genetics', 'Sequence Analysis, DNA']",2004/04/02 05:00,2004/04/15 05:00,['2004/04/02 05:00'],"['2003/12/05 00:00 [received]', '2004/01/27 00:00 [accepted]', '2004/04/02 05:00 [pubmed]', '2004/04/15 05:00 [medline]', '2004/04/02 05:00 [entrez]']","['10.1038/nature02379 [doi]', 'nature02379 [pii]']",ppublish,Nature. 2004 Apr 1;428(6982):522-8. doi: 10.1038/nature02379.,IM,,PMC2665288,['UKMS2561'],['NLM: UKMS2561'],,,,,,,,,,,,,,,,
15057655,NLM,MEDLINE,20040527,20181130,1369-7056 (Print) 1369-7056 (Linking),7,2,2004 Feb,American Society of Hematology - 45th annual meeting and exposition.,128-32,,"['Pinilla, Javier']",['Pinilla J'],"['Memorial Sloan Kettering Cancer Center, Laboratory of Hematopoetic Immunocytochemistry, Leukemia Service, 1275 York Avenue, Room K718C, Box 531, New York, NY 10021, USA. pinillaj@mskcc.org']",['eng'],['Congress'],England,IDrugs,IDrugs : the investigational drugs journal,100883655,"['0 (Angiogenesis Inhibitors)', '0 (Enzyme Inhibitors)', 'EC 2.5.- (Alkyl and Aryl Transferases)', 'EC 2.5.1.29 (Farnesyltranstransferase)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']","['Alkyl and Aryl Transferases/antagonists & inhibitors', 'Angiogenesis Inhibitors/therapeutic use', 'Animals', 'Enzyme Inhibitors/pharmacology/therapeutic use', 'Farnesyltranstransferase', 'Hematologic Diseases/*drug therapy', '*Hematology', 'Humans', 'Protein-Tyrosine Kinases/antagonists & inhibitors']",2004/04/02 05:00,2004/05/28 05:00,['2004/04/02 05:00'],"['2004/04/02 05:00 [pubmed]', '2004/05/28 05:00 [medline]', '2004/04/02 05:00 [entrez]']",,ppublish,IDrugs. 2004 Feb;7(2):128-32.,IM,,,,,,,,,,,,,,,,,,,,
15057648,NLM,MEDLINE,20040527,20181130,1369-7056 (Print) 1369-7056 (Linking),7,2,2004 Feb,Immunotherapy and gene therapy.,105-8,"The Immunotherapy and Gene Therapy meeting of the Academy of Medical Sciences reviewed the state-of-the-art and translational prospects for therapeutic interventions aimed at killing tumor cells, correcting genetic defects and developing vaccines for chronic infections. Crucial basic science concepts and information about dendritic cells, the structure and function of T-cell receptors, and manipulation of the immune response by cytokine antagonists and peptides were presented. This information underpins vaccine design and delivery, as well as attempts to immunomodulate autoimmune disease. Results from studies using anticancer DNA vaccines, which include appropriate signals for both the innate and adaptive immune response, were presented in several talks. The vaccines incorporated helper epitopes and cancer target epitopes such as immunoglobulin idiotypes (for lymphomas and myelomas), melanoma-associated antigens (for melanoma and other solid tumors) and minor histocompatibility antigens (for leukemia). The results of using vaccines employing similar principles and designed to reduce viral load in HIV/AIDS patients were also presented. The introduction of suicide genes incorporating the bacterial enzyme nitroreductase gene (ntr) targeted at tumor cells prior to administration of the prodrug CB-1954, converted by ntr into a toxic alkylating agent, was discussed against the background of clinical trials and improved suicide gene design. The introduction into hematopoietic stem cells of missing genes for the common gamma-chain, deficiency of which causes severe combined immunodeficiency (SCID), used similar retroviral transduction. The outcome of treating six SCID patients in the UK, and ten in France was successful immune reconstitution in the majority of patients, but in two of the French cases a complication of lymphoproliferative disease due to insertional mutagenesis was observed. The adoptive transfer of T-cells specific for minor histocompatibility antigens (for leukemia), cytomegalovirus (CMV; for CMV infection following stem cell transplantation) and selected Epstein-Barr virus-encoded antigens (for nasopharyngeal carcinoma) were discussed in relation to the source of specifically primed T-cells or the possibility of transducing recipient T-cells with high-affinity, antigen-specific T-cell receptor genes.","['Simpson, Elizabeth']",['Simpson E'],"['Imperial College, MRC Clinical Sciences Centre, Hammersmith Hospital, London, W12 ONN, UK. elizabeth.simpson@csc.mrc.ac.uk']",['eng'],['Congress'],England,IDrugs,IDrugs : the investigational drugs journal,100883655,"['0 (Cytokines)', '0 (Histocompatibility Antigens)', '0 (Receptors, Antigen, T-Cell)', '0 (Vaccines, DNA)']","['Animals', 'Cytokines/genetics', 'Dendritic Cells/immunology/physiology', '*Genetic Therapy', 'Histocompatibility Antigens/genetics', 'Humans', '*Immunotherapy', 'Immunotherapy, Adoptive', 'Neoplasms/immunology/therapy', 'Receptors, Antigen, T-Cell/genetics', 'Vaccines, DNA/therapeutic use', 'Virus Diseases/immunology/therapy']",2004/04/02 05:00,2004/05/28 05:00,['2004/04/02 05:00'],"['2004/04/02 05:00 [pubmed]', '2004/05/28 05:00 [medline]', '2004/04/02 05:00 [entrez]']",,ppublish,IDrugs. 2004 Feb;7(2):105-8.,IM,,,,,,,,,,,,,,,,,,,,
15057307,NLM,MEDLINE,20040525,20181113,0021-9738 (Print) 0021-9738 (Linking),113,7,2004 Apr,Remarkably similar antigen receptors among a subset of patients with chronic lymphocytic leukemia.,1008-16,"Studies of B cell antigen receptors (BCRs) expressed by leukemic lymphocytes from patients with B cell chronic lymphocytic leukemia (B-CLL) suggest that B lymphocytes with some level of BCR structural restriction become transformed. While analyzing rearranged V(H)DJ(H) and V(L)J(L) genes of 25 non-IgM-producing B-CLL cases, we found five IgG(+) cases that display strikingly similar BCRs (use of the same H- and L-chain V gene segments with unique, shared heavy chain third complementarity-determining region [HCDR3] and light chain third complementarity-determining region [LCDR3] motifs). These H- and L-chain characteristics were not identified in other B-CLL cases or in normal B lymphocytes whose sequences are available in the public databases. Three-dimensional modeling studies suggest that these BCRs could bind the same antigenic epitope. The structural features of the B-CLL BCRs resemble those of mAb's reactive with carbohydrate determinants of bacterial capsules or viral coats and with certain autoantigens. These findings suggest that the B lymphocytes that gave rise to these IgG(+) B-CLL cells were selected for this unique BCR structure. This selection could have occurred because the precursors of the B-CLL cells were chosen for their antigen-binding capabilities by antigen(s) of restricted nature and structure, or because the precursors derived from a B cell subpopulation with limited BCR heterogeneity, or both.","['Ghiotto, Fabio', 'Fais, Franco', 'Valetto, Angelo', 'Albesiano, Emilia', 'Hashimoto, Shiori', 'Dono, Mariella', 'Ikematsu, Hideyuki', 'Allen, Steven L', 'Kolitz, Jonathan', 'Rai, Kanti R', 'Nardini, Marco', 'Tramontano, Anna', 'Ferrarini, Manlio', 'Chiorazzi, Nicholas']","['Ghiotto F', 'Fais F', 'Valetto A', 'Albesiano E', 'Hashimoto S', 'Dono M', 'Ikematsu H', 'Allen SL', 'Kolitz J', 'Rai KR', 'Nardini M', 'Tramontano A', 'Ferrarini M', 'Chiorazzi N']","['Department of Medicine, North Shore University Hospital and New York University School of Medicine, Manhasset, New York, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Immunoglobulin G)', '0 (Receptors, Antigen, B-Cell)']","['B-Lymphocytes/immunology/*metabolism', 'Humans', 'Immunoglobulin G/genetics/immunology', 'Leukemia, Lymphocytic, Chronic, B-Cell/immunology/*metabolism', 'Models, Molecular', 'Protein Structure, Tertiary', 'Receptors, Antigen, B-Cell/*metabolism', 'Sequence Analysis, Protein']",2004/04/02 05:00,2004/05/27 05:00,['2004/04/02 05:00'],"['2003/07/03 00:00 [received]', '2004/01/06 00:00 [accepted]', '2004/04/02 05:00 [pubmed]', '2004/05/27 05:00 [medline]', '2004/04/02 05:00 [entrez]']",['10.1172/JCI19399 [doi]'],ppublish,J Clin Invest. 2004 Apr;113(7):1008-16. doi: 10.1172/JCI19399.,IM,,PMC379317,,,"['R01 CA087956/CA/NCI NIH HHS/United States', 'R01 CA81554/CA/NCI NIH HHS/United States', 'M01 RR018535/RR/NCRR NIH HHS/United States', 'R01 CA081554/CA/NCI NIH HHS/United States', 'R01 CA 87956/CA/NCI NIH HHS/United States']",['J Clin Invest. 2004 Apr;113(7):952-4. PMID: 15057298'],,,,,,,,,,,,,,
15057298,NLM,MEDLINE,20040525,20181113,0021-9738 (Print) 0021-9738 (Linking),113,7,2004 Apr,Ig V region restrictions in human chronic lymphocytic leukemia suggest some cases have a common origin.,952-4,"The factors that contribute to the development of B cell chronic lymphocytic leukemia (B-CLL) are unknown, and the groups of individuals at the greatest risk for developing this common leukemia are not well defined. Molecular features are important for classifying cases of B-CLL, and it is now apparent that similarities among Ig rearrangements between patients may give important clues to the origin of this disease.","['Kolar, Grant R', 'Capra, J Donald']","['Kolar GR', 'Capra JD']","['Program in Molecular Immunogenetics, Oklahoma Medical Research Foundation, Oklahoma City 73104, USA.']",['eng'],"['Comment', 'Journal Article']",United States,J Clin Invest,The Journal of clinical investigation,7802877,"['0 (Autoantigens)', '0 (Immunoglobulin Variable Region)']","['Autoantigens/immunology', 'Humans', 'Immunoglobulin Variable Region/*immunology', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology']",2004/04/02 05:00,2004/05/27 05:00,['2004/04/02 05:00'],"['2004/04/02 05:00 [pubmed]', '2004/05/27 05:00 [medline]', '2004/04/02 05:00 [entrez]']",['10.1172/JCI21412 [doi]'],ppublish,J Clin Invest. 2004 Apr;113(7):952-4. doi: 10.1172/JCI21412.,IM,,PMC379330,,,,,['J Clin Invest. 2004 Apr;113(7):1008-16. PMID: 15057307'],,,,,,,,,,,,,
