PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB,AD,DEP,GR,RF,CIN,CON,CI,EIN,CN,SI,CRI
14955063,NLM,MEDLINE,20040215,20181201,0016-6464 (Print) 0016-6464 (Linking),30,7,1952 Apr 3,[A question of systemic disease].,145-50,"['VAN HEES, C A']",['VAN HEES CA'],['und'],['Journal Article'],Welke systeemziekte?,Netherlands,Geneeskd Gids,Geneeskundige gids,0225640,"['Reticuloendotheliosis, X-linked']",OM,"['*Genetic Diseases, X-Linked', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['CLML: 5222:41521:398'],['NLM'],['*RETICULOENDOTHELIOSIS'],1952/04/03 00:00,1952/04/03 00:01,['1952/04/03 00:00'],"['1952/04/03 00:00 [pubmed]', '1952/04/03 00:01 [medline]', '1952/04/03 00:00 [entrez]']",ppublish,Geneeskd Gids. 1952 Apr 3;30(7):145-50.,,,,,,,,,,,,,,
14955046,NLM,MEDLINE,20040215,20181201,,5,2,1952,[Green pigment of the chloroma].,300-2,"['DE CARVALHO, S']",['DE CARVALHO S'],['und'],['Journal Article'],Sobre o pigmento verde do cloroma.,Portugal,Gaz Med Port,Gazeta medica portuguesa,17040250R,['0 (Biological Products)'],OM,"['*Biological Products', '*Leukemia', '*Sarcoma, Myeloid']",['CLML: 5222:41504:253'],['NLM'],['*LEUKOSARCOMA'],1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Gaz Med Port. 1952;5(2):300-2.,,,,,,,,,,,,,,
14954900,NLM,MEDLINE,20040215,20181201,0014-5491 (Print) 0014-5491 (Linking),31,6,1952 Jun,Oral manifestations of the blood diseases.,309-15,"['BLUEFARB, S M', 'RODIN, H H']","['BLUEFARB SM', 'RODIN HH']",['eng'],['Journal Article'],,United States,Eye Ear Nose Throat Mon,"Eye, ear, nose & throat monthly",0370714,,OM,"['*Anemia', '*Hematologic Diseases', 'Humans', '*Leukemia', '*Mouth Diseases']",['CLML: 5222:41358:25:64:252:288'],['NLM'],"['*ANEMIA/manifestations', '*BLOOD/diseases', '*LEUKEMIA/manifestations', '*MOUTH/diseases']",1952/06/01 00:00,1952/06/01 00:01,['1952/06/01 00:00'],"['1952/06/01 00:00 [pubmed]', '1952/06/01 00:01 [medline]', '1952/06/01 00:00 [entrez]']",ppublish,Eye Ear Nose Throat Mon. 1952 Jun;31(6):309-15.,,,,,,,,,,,,,,
14954791,NLM,MEDLINE,20040215,20181201,0012-0790 (Print) 0012-0790 (Linking),2,6,1952 Jun,[Alveolar hemorrhage as first symptom of a case of acute myeloid leukemia].,158-9,"['DETTKE, H']",['DETTKE H'],['und'],['Journal Article'],Alveolarblutung als erstes Symptom eines Falls von akuter myeloischer Leukamie.,Germany,Dtsch Stomatol,Deutsche Stomatologie,0421425,,OM,"['*Hemorrhage', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Leukemia, Myeloid, Acute', '*Tooth Extraction']",['CLML: 5222:41249:252:452'],['NLM'],"['*LEUKEMIA, MYELOCYTIC/manifestations', '*TEETH EXTRACTION']",1952/06/01 00:00,1952/06/01 00:01,['1952/06/01 00:00'],"['1952/06/01 00:00 [pubmed]', '1952/06/01 00:01 [medline]', '1952/06/01 00:00 [entrez]']",ppublish,Dtsch Stomatol. 1952 Jun;2(6):158-9.,,,,,,,,,,,,,,
14953950,NLM,MEDLINE,20040215,20210216,0006-4971 (Print) 0006-4971 (Linking),7,9,1952 Sep,A case of erythremic myelosis (Di Guglielmo's anemia).,927-33,"['MACKENZIE, I', 'STEPHENSON, A G']","['MACKENZIE I', 'STEPHENSON AG']",['eng'],['Journal Article'],,United States,Blood,Blood,7603509,,OM,"['*Anemia', 'Humans', '*Leukemia, Erythroblastic, Acute', '*Polycythemia Vera']",['CLML: 5222:40408:364'],['NLM'],['*POLYCYTHEMIA VERA'],1952/09/01 00:00,1952/09/01 00:01,['1952/09/01 00:00'],"['1952/09/01 00:00 [pubmed]', '1952/09/01 00:01 [medline]', '1952/09/01 00:00 [entrez]']",ppublish,Blood. 1952 Sep;7(9):927-33.,['S0006-4971(20)68205-2 [pii]'],,,,,,,,,,,,,
14953850,NLM,MEDLINE,20040215,20181201,0365-0723 (Print) 0365-0723 (Linking),42,5-6,1952 May-Jun,[Exchange resins; its use in congestive heart insufficiency].,209-12,"['AGUIAR, J A']",['AGUIAR JA'],['und'],['Journal Article'],Resinas de troca: seu emprego na insuficiencia cardiaca congestiva.,Brazil,Arq Bras Med,Arquivos brasileiros de medicina,15310420R,"['0 (Resins, Plant)', '0 (Resins, Synthetic)']",OM,"['*Fever', 'Heart Failure/*therapy', '*Leukemia', 'Leukemia, Lymphoid/*therapy', '*Resins, Plant', '*Resins, Synthetic']",['CLML: 5222:40308:114:172:252:396'],['NLM'],"['*CONGESTIVE HEART FAILURE/therapy', '*FEVER', '*LEUKEMIA, LYMPHATIC/therapy', '*RESINS']",1952/05/01 00:00,1952/05/01 00:01,['1952/05/01 00:00'],"['1952/05/01 00:00 [pubmed]', '1952/05/01 00:01 [medline]', '1952/05/01 00:00 [entrez]']",ppublish,Arq Bras Med. 1952 May-Jun;42(5-6):209-12.,,,,,,,,,,,,,,
14953761,NLM,MEDLINE,20040215,20181201,0004-0312 (Print) 0004-0312 (Linking),93,2,1952 Feb,[So-called mediastinal leukosarcomatosis].,161-80,"['PINO SACCA, F', 'VANDELLI, B']","['PINO SACCA F', 'VANDELLI B']",['und'],['Journal Article'],Sulla cosidetta leucosarcomatosi del mediastino.,Italy,Arch Sci Med (Torino),Archivio per le scienze mediche,0372451,,OM,"['*Leukemia', '*Mediastinal Neoplasms', '*Mediastinum']",['CLML: 5222:40208:253:274'],['NLM'],"['*LEUKOSARCOMA', '*MEDIASTINUM/neoplasms']",1952/02/01 00:00,1952/02/01 00:01,['1952/02/01 00:00'],"['1952/02/01 00:00 [pubmed]', '1952/02/01 00:01 [medline]', '1952/02/01 00:00 [entrez]']",ppublish,Arch Sci Med (Torino). 1952 Feb;93(2):161-80.,,,,,,,,,,,,,,
14953589,NLM,MEDLINE,20040215,20181201,0003-9691 (Print) 0003-9691 (Linking),13,4,1952,[Myeloid leukemia in a workman exposed to vapors of pitch].,388-9,"['CROIZAT, P', 'ROCHE, L', 'BIANCO, E']","['CROIZAT P', 'ROCHE L', 'BIANCO E']",['und'],['Journal Article'],Leucemie myeloide chez un ouvrier expose aux vapeurs de brai.,France,Arch Mal Prof,Archives des maladies professionnelles de medecine du travail et de securite sociale,2985157R,,OM,"['Humans', '*Leukemia', '*Leukemia, Myeloid', '*Occupational Diseases']",['CLML: 5222:40036:252:317'],['NLM'],"['*LEUKEMIA, MYELOCYTIC', '*OCCUPATIONAL DISEASES']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Arch Mal Prof. 1952;13(4):388-9.,,,,,,,,,,,,,,
14953291,NLM,MEDLINE,20040215,20200304,0003-9012 (Print) 0003-9012 (Linking),4,5,1952,[Experimental dates in favor of viral etiology of human leukemia].,621-48,"['MAGRASSI, F']",['MAGRASSI F'],['und'],['Journal Article'],Dati sperimentali in favore dell'eziologia virale della malattia leucemica umana.,Austria,Arch Gesamte Virusforsch,Archiv fur die gesamte Virusforschung,7506868,,OM,"['Humans', 'Leukemia/*etiology']",['CLML: 5222:39738:252'],['NLM'],['*LEUKEMIA/etiology and pathogenesis'],1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Arch Gesamte Virusforsch. 1952;4(5):621-48.,,,,,,,,,,,,,,
14953257,NLM,MEDLINE,20040215,20181201,,214,5,1952,[Problems of leucocyte metabolism. III. Effects of nitrogen mustard and nitrogen mustard in combination with urethan on the metabolism of cells of myeloid leukemia].,534-9,"['KEIBL, E', 'SPITZY, K H', 'STORCH, L']","['KEIBL E', 'SPITZY KH', 'STORCH L']",['und'],['Journal Article'],Zum Problem des Leukocytenstoffwechsels. III. Einfluss von N-Lost und N-Lost + Urethan auf den Stoffwechsel myeloisch-leukamischer Zellen.,Germany,Naunyn Schmiedebergs Arch Exp Pathol Pharmakol,Naunyn-Schmiedebergs Archiv fur experimentelle Pathologie und Pharmakologie,0054224,"['0 (Nitrogen Mustard Compounds)', '3IN71E75Z5 (Urethane)', '50D9XSG0VR (Mechlorethamine)']",OM,"['Humans', '*Leukemia', '*Leukemia, Myeloid', '*Leukocytes', '*Mechlorethamine', 'Nitrogen Mustard Compounds/*pharmacology', 'Urethane/*pharmacology']",['CLML: 5222:39704:252:313:482'],['NLM'],"['*LEUKEMIA, MONOCYTIC', '*NITROGEN MUSTARDS/effects', '*URETHANE/effects']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Naunyn Schmiedebergs Arch Exp Pathol Pharmakol. 1952;214(5):534-9.,,,,,,,,,,,,,,
