PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,CI,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,DEP,PMC,GR,CN,CIN,RF,TT,CON,OID,OTO,OT,GN,EIN,ROF,SI,MID,LID
14750184,NLM,MEDLINE,20040316,20160303,0020-7136 (Print) 0020-7136 (Linking),109,2,2004 Mar 20,Proliferation assay on a silicon chip applicable for tumors extirpated from mammalians.,302-8,"We describe a novel anticancer drug sensitivity assay on a silicon chip applicable for tumors extirpated from in vivo mammalians. Human promyelocytic leukemia (HL-60) cells were subcutaneously (s.c.) inoculated in SCID mice, then removed 31 days after the inoculation. The cells were embedded in a small volume (18 nL) of a collagen-gel matrix on a pyramid-shaped silicon microstructure for further cultivation. The respiration activity of the cells on the chip was measured by scanning electrochemical microscopy (SECM). The proliferation behavior was continuously monitored for 6 days. It seemed that the proliferation rate of the cells removed from the mice was lower than that cultured in a flask and conformed to that in mice. The effects of cisplatin (CDDP) and etoposide (VP-16) on the HL-60 cultured in vivo were in good agreement with those obtained by a conventional colorimetric assay. Our results suggest that the SECM-based assay is appropriate for biopsy specimens in a relatively short-time evaluation.","['Copyright 2003 Wiley-Liss, Inc.']","['Torisawa, Yu-suke', 'Shiku, Hitoshi', 'Kasai, Shigenobu', 'Nishizawa, Matsuhiko', 'Matsue, Tomokazu']","['Torisawa YS', 'Shiku H', 'Kasai S', 'Nishizawa M', 'Matsue T']","['Department of Biomolecular Engineering, Graduate School of Engineering, Tohoku University, Sendai, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Int J Cancer,International journal of cancer,0042124,"['0 (Antineoplastic Agents)', '6PLQ3CP4P3 (Etoposide)', '9007-34-5 (Collagen)', 'Q20Q21Q62J (Cisplatin)', 'Z4152N8IUI (Silicon)']",IM,"['Animals', 'Antineoplastic Agents/pharmacology', 'Cell Division/drug effects', 'Cisplatin/pharmacology', 'Collagen', 'Drug Screening Assays, Antitumor/*methods', 'Electrochemistry/*instrumentation', 'Etoposide/pharmacology', 'Female', 'HL-60 Cells/drug effects/metabolism', 'Humans', 'Mice', 'Mice, SCID', '*Microcomputers', 'Microscopy', 'Neoplasms, Experimental/*metabolism/pathology', '*Silicon']",2004/01/30 05:00,2004/03/18 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/18 05:00 [medline]', '2004/01/30 05:00 [entrez]']",['10.1002/ijc.11693 [doi]'],ppublish,Int J Cancer. 2004 Mar 20;109(2):302-8. doi: 10.1002/ijc.11693.,,,,,,,,,,,,,,,,,
14750078,NLM,MEDLINE,20040930,20111117,1083-8791 (Print) 1083-8791 (Linking),10,2,2004 Feb,"Which donor should be chosen for hematopoietic stem cell transplantation among unrelated HLA-A, -B, and -DRB1 genomically identical volunteers?",128-34,"The aim of this study was to identify significant prognostic factors by using unrelated genomically HLA-A, -B and -DRB1-identical donors. Such data could help to choose the best donor. We studied 136 consecutive patients with hematologic malignancies and a median age of 32 years (range, 0-55 years) who received hematopoietic stem cell transplantation. Bone marrow grafts were given to 83 and peripheral blood stem cells to 53 patients. The cumulative incidence of grade II to IV acute graft-versus-host disease (GVHD) was 30% and of chronic GVHD was 54%. At 5 years, the overall transplant-related mortality (TRM) was 34%, and patient survival was 50%. In Cox multivariate analysis, 32 potential risk factors were analyzed. Monoclonal antibody OKT-3 during conditioning was correlated with grade II to IV acute GVHD, chronic GVHD, and TRM. HLA-DP mismatch was associated with poor TRM and poor survival. Cytomegalovirus-seropositive patients with a seronegative donor had a decreased leukemia-free survival. Five-year TRM was 14% with no risk factor, 38% with 1 risk factor, and 87% with 2 risk factors. The 5-year survival was 72%, 48%, and 30% with 0, 1, and 2 risk factors, respectively. We concluded that unrelated hematopoietic stem cell transplantation may be improved if an optimal donor and immunosuppression are chosen.",,"['Ringden, Olle', 'Schaffer, Marie', 'Le Blanc, Katarina', 'Persson, Ulla', 'Hauzenberger, Dan', 'Abedi, Mohammad R', 'Olerup, Olle', 'Ljungman, Per', 'Remberger, Mats']","['Ringden O', 'Schaffer M', 'Le Blanc K', 'Persson U', 'Hauzenberger D', 'Abedi MR', 'Olerup O', 'Ljungman P', 'Remberger M']","['Centre for Allogeneic Stem Cell Transplantation, Division of Clinical Immunology, Karolinska Institutet, Huddinge University Hospital, Stockholm, Sweden. Olle.Ringden@labmed.ki.se']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biol Blood Marrow Transplant,Biology of blood and marrow transplantation : journal of the American Society for Blood and Marrow Transplantation,9600628,"['0 (HLA Antigens)', '0 (HLA-A Antigens)', '0 (HLA-B Antigens)', '0 (HLA-DR Antigens)', '0 (HLA-DRB1 Chains)']",IM,"['Adolescent', 'Adult', 'Bone Marrow Transplantation/adverse effects/methods/mortality', 'Child', 'Child, Preschool', 'Female', 'Graft vs Host Disease/etiology', 'HLA Antigens/*genetics', 'HLA-A Antigens/genetics', 'HLA-B Antigens/genetics', 'HLA-DR Antigens/genetics', 'HLA-DRB1 Chains', 'Hematologic Neoplasms/mortality/therapy', 'Hematopoietic Stem Cell Transplantation/adverse effects/*methods/mortality', 'Histocompatibility/*genetics', 'Humans', 'Infant', 'Infant, Newborn', 'Male', 'Middle Aged', 'Peripheral Blood Stem Cell Transplantation/adverse effects/methods/mortality', 'Retrospective Studies', 'Risk Factors', 'Survival Analysis', '*Tissue Donors']",2004/01/30 05:00,2004/10/01 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/10/01 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1016/j.bbmt.2003.10.001 [doi]', 'S1083879103003690 [pii]']",ppublish,Biol Blood Marrow Transplant. 2004 Feb;10(2):128-34. doi: 10.1016/j.bbmt.2003.10.001.,,,,,,,,,,,,,,,,,
14750023,NLM,MEDLINE,20040324,20061115,0032-0943 (Print) 0032-0943 (Linking),69,12,2003 Dec,Cytotoxic activity of coumarins from the fruits of Cnidium monnieri on leukemia cell lines.,1091-5,"Cnidii monnieri Fructus [CmF; Cnidium monnieri (L.) Cusson] is used as a tonic agent in traditional Chinese medicine. In a previous Chinese herb-cytotoxicity screening test, the ethanol extract of CmF exhibited strong effects on human leukemia (HL-60), cervical carcinoma (HeLa) and colorectal carcinoma (CoLo 205) cells. Then, the CmF extract was subjected to silica gel column chromatography and recrystallization to give five coumarins: osthol, imperatorin, bergapten, isopimpinellin, and xanthotoxin. Among these compounds, osthol showed the strongest cytotoxic activity on tumor cell lines. The structure-activity relationship established from the results indicated that the prenyl group has an important role in the cytotoxic effects. However, imperatorin showed the highest sensitivity to HL-60 cells and the least cytotoxicity to normal PBMCs. Osthol and imperatorin both caused apoptotic bodies, DNA fragmentation, and enhanced PARP degradation in HL-60 cells by biochemical analysis. These results indicate that osthol and imperatorin can induce apoptosis in HL-60 cells. Therefore, osthol and imperatorin are cytotoxic marker substances in the fruits of Cnidium monnieri.",,"['Yang, Ling-Ling', 'Wang, Min-Chieh', 'Chen, Lih-Geeng', 'Wang, Ching-Chiung']","['Yang LL', 'Wang MC', 'Chen LG', 'Wang CC']","['School of Pharmacy, College of Pharmacy, Taipei Medical University, Taipei, Taiwan, ROC.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Planta Med,Planta medica,0066751,"['0 (Antineoplastic Agents)', '0 (Coumarins)', '0 (Plant Extracts)']",IM,"['Antineoplastic Agents/administration & dosage/*pharmacology/therapeutic use', 'Apoptosis/*drug effects', 'Blotting, Western', 'Cell Line, Tumor/drug effects', '*Cnidium', 'Coumarins/administration & dosage/*pharmacology/therapeutic use', 'Flow Cytometry', 'HL-60 Cells/drug effects', 'HeLa Cells/drug effects', 'Humans', 'Inhibitory Concentration 50', '*Phytotherapy', 'Plant Extracts/administration & dosage/*pharmacology/therapeutic use']",2004/01/30 05:00,2004/03/25 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/30 05:00 [entrez]']",['10.1055/s-2003-45188 [doi]'],ppublish,Planta Med. 2003 Dec;69(12):1091-5. doi: 10.1055/s-2003-45188.,,,,,,,,,,,,,,,,,
14749762,NLM,MEDLINE,20040302,20091119,0950-9232 (Print) 0950-9232 (Linking),23,4,2004 Jan 29,Common alterations in gene expression and increased proliferation in recurrent acute myeloid leukemia.,894-904,"Recurrent disease following high-dose chemotherapy is a major problem in patients with acute myeloid leukemia (AML). To identify its characteristics, we performed expression profiling in blasts from untreated AML and relapse, using a specific cDNA microarray comprising 4128 genes generated by cDNA subtraction supplemented with cancer-associated genes. Expression analysis of 18 AML bone marrow specimens showed that recurrent AML is commonly associated with the mRNA expression changes in a set of 58 genes. Increased cellular proliferation was indicated by the overexpression of the transferrin receptor, proliferating cell nuclear antigen, and G1 cyclins. An immunohistochemical study for Ki-67-positive blasts in 18 paired bone marrow biopsy samples confirmed a highly significant (P<0.0001) increase in the proliferation fraction at relapse. In addition, we found enhanced activation of the RAF/MEK/ERK cascade as mRNAs of MKP-1, c-jun, c-fos, and egr-1 were significantly increased at relapse. Immunohistochemistry and immunoblotting analyses for biphosphorylated ERK1/2 protein provide additional evidence for enhanced activation of the RAF/MEK/ERK pathway. The degree of increase is significantly correlated with the increased proliferation. Furthermore, the genes identified provide a rationale for further studies on predictive diagnosis and therapeutic intervention.",,"['Staber, Philipp Bernhard', 'Linkesch, Werner', 'Zauner, Dorothea', 'Beham-Schmid, Christine', 'Guelly, Christian', 'Schauer, Silvia', 'Sill, Heinz', 'Hoefler, Gerald']","['Staber PB', 'Linkesch W', 'Zauner D', 'Beham-Schmid C', 'Guelly C', 'Schauer S', 'Sill H', 'Hoefler G']","['Division of Hematology, Department of Internal Medicine, Graz, Austria.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Oncogene,Oncogene,8711562,"['0 (DNA, Complementary)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)']",IM,"['Acute Disease', 'Adult', 'Aged', 'Blotting, Western', '*Cell Division', 'DNA, Complementary', '*Gene Expression', 'Humans', 'Immunohistochemistry', 'Leukemia, Myeloid/enzymology/*genetics/*pathology', 'Middle Aged', 'Mitogen-Activated Protein Kinases/metabolism', 'Oligonucleotide Array Sequence Analysis', 'Recurrence', 'Reverse Transcriptase Polymerase Chain Reaction']",2004/01/30 05:00,2004/03/03 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/03 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.onc.1207192 [doi]', '1207192 [pii]']",ppublish,Oncogene. 2004 Jan 29;23(4):894-904. doi: 10.1038/sj.onc.1207192.,,,,,,,,,,,,,,,,,
14749730,NLM,MEDLINE,20050627,20211203,0261-4189 (Print) 0261-4189 (Linking),23,3,2004 Feb 11,Differential functional interplay of TOGp/XMAP215 and the KinI kinesin MCAK during interphase and mitosis.,627-37,"XMAP215/TOGp family members and KinI kinesins are conserved microtubule (MT)-regulatory proteins, and have been viewed as possessing prominent antagonistic stabilizing/destabilizing activities that must be balanced. Here, interdependencies between TOGp and the KinI kinesin MCAK were analyzed in human leukemia cells. A system was established that permits inducible overexpression in homogeneous cell populations that simultaneously synthesize interfering short hairpin RNAs. We present evidence that the functional interplay of TOGp and MCAK proteins is manifested as three distinct phenotypes during the cell cycle. The first involves a role for TOGp in protecting spindle MTs from MCAK activity at the centrosome, which appears essential to prevent the formation of disorganized multipolar spindles. The second phenotype involves TOGp-dependent counteraction of excessive MCAK activity during mitosis, which recapitulates the previously established plus-end specific counteractive activities in vitro. The third involves an unexpected destabilization of the interphase MTs by overexpressed TOGp, a phenotype that requires endogenous MCAK. We hypothesize that TOGp-dependent prevention of MCAK-mediated spindle disorganization, as evidenced by depletion experiments, reflects a primary physiological role for TOGp in human somatic cells.",,"['Holmfeldt, Per', 'Stenmark, Sonja', 'Gullberg, Martin']","['Holmfeldt P', 'Stenmark S', 'Gullberg M']","['Department of Molecular Biology, Umea University, Sweden.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,EMBO J,The EMBO journal,8208664,"['0 (CKAP5 protein, human)', '0 (KIF2C protein, human)', '0 (Microtubule-Associated Proteins)', 'EC 3.6.4.4 (Kinesins)']",IM,"['Humans', 'Interphase/*physiology', 'K562 Cells', 'Kinesins/*metabolism', 'Microtubule-Associated Proteins/*metabolism', 'Mitosis/*physiology', 'Spindle Apparatus/*metabolism']",2004/01/30 05:00,2005/06/28 09:00,['2004/01/30 05:00'],"['2003/10/02 00:00 [received]', '2003/12/15 00:00 [accepted]', '2004/01/30 05:00 [pubmed]', '2005/06/28 09:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.emboj.7600076 [doi]', '7600076 [pii]']",ppublish,EMBO J. 2004 Feb 11;23(3):627-37. doi: 10.1038/sj.emboj.7600076. Epub 2004 Jan 29.,20040129,PMC1271808,,,,,,,,,,,,,,,
14749708,NLM,MEDLINE,20040324,20130304,0887-6924 (Print) 0887-6924 (Linking),18,3,2004 Mar,BRAF gene is not mutated in mismatch repair-proficient or -deficient plasma cell dyscrasias.,658-9,,,"['Velangi, M', 'Matheson, E', 'Taylor, P', 'Jackson, G', 'Hall, A G', 'Irving, J A E']","['Velangi M', 'Matheson E', 'Taylor P', 'Jackson G', 'Hall AG', 'Irving JA']",,['eng'],['Letter'],England,Leukemia,Leukemia,8704895,"['EC 2.7.11.1 (BRAF protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins B-raf)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-raf)']",IM,"['*Base Pair Mismatch', 'DNA Repair/*genetics', 'Exons/genetics', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Mutation/*genetics', 'Paraproteinemias/*genetics', 'Proto-Oncogene Proteins B-raf', 'Proto-Oncogene Proteins c-raf/*genetics', 'Tumor Cells, Cultured']",2004/01/30 05:00,2004/03/25 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.leu.2403286 [doi]', '2403286 [pii]']",ppublish,Leukemia. 2004 Mar;18(3):658-9. doi: 10.1038/sj.leu.2403286.,,,,,,,,,,,,,,,,,
14749707,NLM,MEDLINE,20040324,20131121,0887-6924 (Print) 0887-6924 (Linking),18,3,2004 Mar,Effect of thalidomide therapy on bone marrow angiogenesis in multiple myeloma.,624-7,"Bone marrow (BM) angiogenesis is increased in multiple myeloma and is an important prognostic factor for survival. Previous studies have shown that BM angiogenesis does not change following chemotherapy or stem cell transplant. Given its potential antiangiogenic effect, we evaluated if thalidomide therapy would affect the BM microvessel density (MVD). We studied BM angiogenesis in 81 patients with various disease stages treated with thalidomide with or without dexamethasone. MVD was determined as previously described. MVD was compared between pretreatment marrows and those obtained 4-6 months following therapy. The median (range) MVD pretherapy was 28 (2-116) and post-therapy was 15 (3-97). A partial or complete response was seen in 58% of patients, stable disease in 41% and progressive disease in one patient. MVD decreased significantly in responders (median decrease of 12, P<0.001). In contrast, no significant change in MVD was seen in those failing to respond to thalidomide. Unlike the lack of resolution of angiogenesis reported with other therapies, we demonstrate for the first time a significant decrease in microvessels with thalidomide therapy. Although not conclusive, this result lends further support to the hypothesis that angiogenesis is a relevant therapeutic target in myeloma.",,"['Kumar, S', 'Witzig, T E', 'Dispenzieri, A', 'Lacy, M Q', 'Wellik, L E', 'Fonseca, R', 'Lust, J A', 'Gertz, M A', 'Kyle, R A', 'Greipp, P R', 'Rajkumar, S V']","['Kumar S', 'Witzig TE', 'Dispenzieri A', 'Lacy MQ', 'Wellik LE', 'Fonseca R', 'Lust JA', 'Gertz MA', 'Kyle RA', 'Greipp PR', 'Rajkumar SV']","['Division of Hematology, Department of Internal Medicine, Mayo Clinic, Rochester, MN, USA.']",['eng'],"['Clinical Trial', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['4Z8R6ORS6L (Thalidomide)', '7S5I7G3JQL (Dexamethasone)']",IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Bone Marrow/*blood supply', 'Dexamethasone/administration & dosage', 'Humans', 'Microcirculation', 'Middle Aged', 'Multiple Myeloma/*drug therapy', 'Neoplasm Recurrence, Local/*drug therapy', 'Neovascularization, Pathologic/*drug therapy', 'Thalidomide/administration & dosage']",2004/01/30 05:00,2004/03/25 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.leu.2403285 [doi]', '2403285 [pii]']",ppublish,Leukemia. 2004 Mar;18(3):624-7. doi: 10.1038/sj.leu.2403285.,,,"['CA 100080/CA/NCI NIH HHS/United States', 'CA 85818/CA/NCI NIH HHS/United States', 'CA 93842/CA/NCI NIH HHS/United States', 'CA62242/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
14749706,NLM,MEDLINE,20040324,20131121,0887-6924 (Print) 0887-6924 (Linking),18,3,2004 Mar,Retinoic acid syndrome in NOD/scid mice induced by injecting an acute promyelocytic leukemia cell line.,442-8,"All-trans retinoic acid (ATRA) induces complete remission in patients with acute promyelocytic leukemia (APL). However, ATRA sometimes causes retinoic acid syndrome (RAS) characterized by respiratory distress, pleural effusions, fever and weight gain. To investigate the pathophysiology of RAS, we generated an animal model by injecting an APL cell line, NB4, into immunodeficient mice. When NOD/scid mice were injected intravenously with fully differentiated NB4 cells (1 x 10(7)) and then given a daily administration of ATRA, three of 12 mice died of pulmonary edema within 14 days. Pathologically, dilated lung capillary vessels and alveolar effusions were observed. After the injection, NB4 cells were detected in the lung within 2 days and in the pleural effusion later on. The gene expression levels of CXC chemokines (MIP-2 and KC) and ICAM-1 were increased in the lung and heart by the ATRA administration. In immunohistochemical analyses, MIP-2 was clearly detected in alveolar macrophages of the lung in mice with RAS. Dexamethasone treatment prevented the development of RAS and decreased the CXC chemokine mRNA expression in the lung. These findings suggested that the activation of adhesion molecules for leukocytes and expression of CXC chemokines in the lung are closely involved in triggering RAS.",,"['Ninomiya, M', 'Kiyoi, H', 'Ito, M', 'Hirose, Y', 'Ito, M', 'Naoe, T']","['Ninomiya M', 'Kiyoi H', 'Ito M', 'Hirose Y', 'Ito M', 'Naoe T']","['Department of Hematology, Nagoya University Hospital, Nagoya, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antineoplastic Agents)', '0 (Chemokines, CXC)', '5688UTC01R (Tretinoin)', '80168379AG (Doxorubicin)']",IM,"['Animals', 'Antineoplastic Agents/administration & dosage/*adverse effects/pharmacology', 'Cell Differentiation/drug effects', 'Chemokines, CXC/genetics/metabolism', 'Doxorubicin/therapeutic use', 'Heart/drug effects/physiology', 'Humans', 'Injections, Intravenous', 'Leukemia, Promyelocytic, Acute/drug therapy/*pathology', 'Lung/drug effects/metabolism', 'Mice', 'Mice, Inbred C57BL', 'Mice, Inbred NOD', 'Mice, SCID', 'Neoplastic Stem Cells/drug effects', 'Pulmonary Edema/etiology', 'Remission Induction', 'Syndrome', 'Tretinoin/administration & dosage/*adverse effects/pharmacology', 'Tumor Cells, Cultured']",2004/01/30 05:00,2004/03/25 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.leu.2403284 [doi]', '2403284 [pii]']",ppublish,Leukemia. 2004 Mar;18(3):442-8. doi: 10.1038/sj.leu.2403284.,,,,,,,,,,,,,,,,,
14749705,NLM,MEDLINE,20040324,20171116,0887-6924 (Print) 0887-6924 (Linking),18,3,2004 Mar,CD38 expression on B-cell chronic lymphocytic leukemic cells is strongly correlated with vascular endothelial growth factor expression.,649-50,,,"['McCabe, D', 'Bacon, L', ""O'Regan, K"", 'Condron, C', ""O'Donnell, J R"", 'Murphy, P T']","['McCabe D', 'Bacon L', ""O'Regan K"", 'Condron C', ""O'Donnell JR"", 'Murphy PT']",,['eng'],"['Comparative Study', 'Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Antigens, CD)', '0 (Membrane Glycoproteins)', '0 (Vascular Endothelial Growth Factor A)', 'EC 3.2.2.5 (ADP-ribosyl Cyclase)', 'EC 3.2.2.5 (CD38 protein, human)', 'EC 3.2.2.6 (ADP-ribosyl Cyclase 1)']",IM,"['ADP-ribosyl Cyclase/*metabolism', 'ADP-ribosyl Cyclase 1', 'Adult', 'Aged', 'Aged, 80 and over', 'Antigens, CD/*metabolism', 'B-Lymphocytes/metabolism', 'Female', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/diagnosis/*metabolism', 'Male', 'Membrane Glycoproteins', 'Middle Aged', 'Vascular Endothelial Growth Factor A/*metabolism']",2004/01/30 05:00,2004/03/25 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.leu.2403282 [doi]', '2403282 [pii]']",ppublish,Leukemia. 2004 Mar;18(3):649-50. doi: 10.1038/sj.leu.2403282.,,,,,,,,,,,,,,,,,
14749704,NLM,MEDLINE,20040324,20181130,0887-6924 (Print) 0887-6924 (Linking),18,3,2004 Mar,Inhibition of survivin expression suppresses the growth of aggressive non-Hodgkin's lymphoma.,616-23,"Survivin is a member of the inhibitor of apoptosis protein (IAP) family and functions both as an apoptosis inhibitor and a regulator of cell division. Survivin overexpression is common in many human tumors and correlates with survival in large cell non-Hodgkin's lymphoma. To evaluate this molecule as a potential therapeutic target in large-cell lymphoma, we evaluated the effect of survivin inhibition both in vitro and in vivo. Using an antisense oligonucleotide (ASO) approach, cell growth was significantly inhibited in the DoHH2, RL and HT lymphoma cell lines. In a lymphoma xenograft model, the development of tumors as well as the growth of established tumors was inhibited in the survivin ASO-treated mice compared to controls. To assess the efficacy of the survivin ASO in combination with other biological agents, we combined the survivin ASO with an anti-CD20 monoclonal antibody, rituximab. The effect of survivin ASO and rituximab in combination was additive in vitro. In vivo, however, suppression of tumor growth with the combination was not significantly superior to controls. We conclude that inhibition of survivin expression is an attractive therapeutic strategy in aggressive non-Hodgkin's lymphomas, and that combining survivin ASO with rituximab may enhance the efficacy of this approach.",,"['Ansell, S M', 'Arendt, B K', 'Grote, D M', 'Jelinek, D F', 'Novak, A J', 'Wellik, L E', 'Remstein, E D', 'Bennett, C F', 'Fielding, A']","['Ansell SM', 'Arendt BK', 'Grote DM', 'Jelinek DF', 'Novak AJ', 'Wellik LE', 'Remstein ED', 'Bennett CF', 'Fielding A']","['Division of Hematology, Mayo Clinic, Rochester, MN, USA. ansell.stephen@mayo.edu']",['eng'],"['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (BIRC5 protein, human)', '0 (Inhibitor of Apoptosis Proteins)', '0 (Microtubule-Associated Proteins)', '0 (Neoplasm Proteins)', '0 (Oligonucleotides, Antisense)', '0 (Survivin)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Casp3 protein, mouse)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)']",IM,"['Animals', 'Apoptosis/drug effects', 'Caspase 3', 'Caspases/metabolism', 'Cell Division/drug effects', '*Gene Expression Regulation, Neoplastic', 'Humans', 'Inhibitor of Apoptosis Proteins', 'Lymphoma, Non-Hodgkin/genetics/*pathology/prevention & control', 'Mice', 'Mice, SCID', 'Microtubule-Associated Proteins/*antagonists & inhibitors/genetics/metabolism', 'Neoplasm Proteins', 'Oligonucleotides, Antisense/pharmacology', 'Survivin', 'Tumor Cells, Cultured']",2004/01/30 05:00,2004/03/25 05:00,['2004/01/30 05:00'],"['2004/01/30 05:00 [pubmed]', '2004/03/25 05:00 [medline]', '2004/01/30 05:00 [entrez]']","['10.1038/sj.leu.2403281 [doi]', '2403281 [pii]']",ppublish,Leukemia. 2004 Mar;18(3):616-23. doi: 10.1038/sj.leu.2403281.,,,"['CA92104/CA/NCI NIH HHS/United States', 'CA97274/CA/NCI NIH HHS/United States']",,,,,,,,,,,,,,
