PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,CN,TT,GR,CIN,CI,LID,SI,PMC,CON,MID,OTO,OT,EIN
14648030,NLM,MEDLINE,20040427,20071115,0939-5555 (Print) 0939-5555 (Linking),83,4,2004 Apr,Acute lymphoblastic leukemia in elderly: the Polish Adult Leukemia Group (PALG) experience.,225-31,"This is a retrospective, multicenter study to evaluate biological features and outcome of elderly patients diagnosed with acute lymphoblastic leukemia (ALL) during the last 10 years in ten hematological centers in Poland. Eighty-seven patients aged 60 years or older were studied. To our knowledge, this is one of the largest group of elderly patients with ALL evaluated. We have not observed differences in immunological subtypes and Ph chromosome incidence as compared with younger adult ALL presented in the literature. Induction chemotherapy was administered in 75 patients. We observed complete remission (CR) in 34 (45%, 95% CI: 33-56%) patients. Induction death occurred in 11 (15%) patients. Thirty patients (40%) showed primary resistance to chemotherapy. Median overall survival (OS) of all patients was 150 days. Median disease-free survival (DFS) of responding patients was 180 days. We observed four long-term survivors (DFS longer than 3 years) in our group of patients. Factors influencing OS were CR achievement, female gender, and WBC below 30 x 10(9)/l. Male gender was the only prognostic factor negatively affecting probability to achieve CR. We have not observed any differences in either biology or outcome between patients aged 60-69 years and those aged more than 70 years. ALL of the elderly is a rare disease with poor prognosis. Further clinical trials evaluating the disease features, outcome, and new therapeutic approaches are warranted.","['Robak, T', 'Szmigielska-Kaplon, A', 'Wrzesien-Kus, A', 'Wierzbowska, A', 'Skotnicki, A B', 'Piatkowska-Jakubas, B', 'Kuliczkowski, K', 'Mazur, G', 'Zdunczyk, A', 'Stella-Holowiecka, B', 'Holowiecki, J', 'Dwilewicz-Trojaczek, J', 'Madry, K', 'Dmoszynska, A', 'Cioch, M']","['Robak T', 'Szmigielska-Kaplon A', 'Wrzesien-Kus A', 'Wierzbowska A', 'Skotnicki AB', 'Piatkowska-Jakubas B', 'Kuliczkowski K', 'Mazur G', 'Zdunczyk A', 'Stella-Holowiecka B', 'Holowiecki J', 'Dwilewicz-Trojaczek J', 'Madry K', 'Dmoszynska A', 'Cioch M']","['Department of Hematology, Medical University of Lodz, Copernicus Memorial Hospital, Pabianicka 62 str, 93-513 Lodz, Poland. robaktad@csk.am.lodz.pl']",['eng'],"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",20031126,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Aged', 'Aged, 80 and over', 'Female', 'Humans', 'Immunophenotyping', 'Leukocyte Count', 'Male', 'Middle Aged', 'Poland', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/blood/*drug therapy/immunology/pathology', 'Prognosis', 'Remission Induction', 'Retrospective Studies', 'Sex Factors', 'Survival Analysis', 'Treatment Outcome']",2003/12/03 05:00,2004/04/28 05:00,['2003/12/03 05:00'],"['2003/06/25 00:00 [received]', '2003/10/02 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/04/28 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0808-9 [doi]'],ppublish,Ann Hematol. 2004 Apr;83(4):225-31. doi: 10.1007/s00277-003-0808-9. Epub 2003 Nov 26.,,,,,,,,,,,,,,,
14648027,NLM,MEDLINE,20040713,20041117,0939-5555 (Print) 0939-5555 (Linking),83,6,2004 Jun,Allogeneic hematopoietic stem cell transplantation in a patient affected by large granular lymphocyte leukemia and multiple sclerosis.,403-5,"We describe a 57-year-old man, affected by large granular lymphocyte (LGL) leukemia and concomitant primary progressive multiple sclerosis (MS), treated with allogeneic hematopoietic stem cell transplantation (HSCT) from an HLA-identical sibling. The patient was conditioned with fludarabine, busulphan, and cyclophosphamide. Graft-versus-host disease (GVHD) prophylaxis consisted of cyclosporine and short-term methotrexate. At 3 years follow-up, the patient is in complete remission of LGL with a marked improvement in neurological conditions. This is the first case of allogeneic HSCT in a patient with LGL leukemia and concomitant primary progressive MS. Allogeneic HSCT, performed in our patient to cure the lymphoproliferative disorder, improved the clinical course of MS.","['La Nasa, Giorgio', 'Littera, Roberto', 'Cocco, Eleonora', 'Battistini, Luca', 'Marrosu, Maria Giovanna', 'Contu, Licinio']","['La Nasa G', 'Littera R', 'Cocco E', 'Battistini L', 'Marrosu MG', 'Contu L']","['Centro Trapianti di Midollo Osseo, Centro Regionale Trapianti, Ospedale R. Binaghi ASL n degrees 8, Via Is Guadazzonis, 3, 09126 Cagliari, Italy. lanasa@tiscalinet.it']",['eng'],"['Case Reports', 'Journal Article']",20031126,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Follow-Up Studies', 'Hematopoietic Stem Cell Transplantation/*methods', 'Humans', 'Leukemia, T-Cell/complications/pathology/*therapy', 'Male', 'Middle Aged', 'Multiple Sclerosis/complications/pathology/*therapy', 'Transplantation Conditioning/methods', 'Transplantation, Homologous', 'Treatment Outcome']",2003/12/03 05:00,2004/07/14 05:00,['2003/12/03 05:00'],"['2003/07/23 00:00 [received]', '2003/09/25 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/07/14 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0801-3 [doi]'],ppublish,Ann Hematol. 2004 Jun;83(6):403-5. doi: 10.1007/s00277-003-0801-3. Epub 2003 Nov 26.,,,,,,,,,,,,,,,
14648025,NLM,MEDLINE,20040318,20061115,0939-5555 (Print) 0939-5555 (Linking),83,2,2004 Feb,Presentation assessment of minor histocompatibility antigens by predictive proteasomal cleavage analysis.,107-13,"Minor histocompatibility peptides (mHps) derived from polymorphic segments of endogenous proteins are thought to be targets for graft-versus-host and graft-versus-leukemia reactions after HLA-identical stem cell transplantation. A great majority of antigenic peptides is generated by fragmentation of proteins in the course of proteasomal processing. An algorithm was recently developed to predict cleavage sites during proteasomal processing. We tested the accuracy of the algorithm to predict mHps using 18 amino acid (AA) sequences of minor histocompatibility antigens (mHags) encoded by autosomal genes representing single nucleotide polymorphisms or by Y-chromosomal genes. The algorithm correctly predicted the C-termini of 11 of 13 experimentally confirmed mHps: 1) Correct prediction of C- and N-termini, e.g., for HA-1(H); 2) Correct prediction of C- and N-termini while anticipating intra-epitope cleavage sites, e.g., for SMCY-A*0201; 3) Correct prediction of C-termini and N-terminal extensions, e.g., for HA-8(R/V); and 4) Correct prediction of C-termini and N-terminal extensions while anticipating intra-epitope cleavage sites, e.g., for UTY-B8. Analysis of experimentally unconfirmed allelic counterparts of four autosomal mHags showed that AA substitutions either led to the insertion of an epitope-destroying cleavage site (e.g., in HA-1(R)) or abolished the correct C-terminus (e.g., in HA-2(M)). The proteasomal processing algorithm provides reliable data on the generation of mHps and forecasts their presence or absence. Combined with MHC class I ligand prediction, it can be a useful tool for the prediction of generation and presentation of new CTL epitopes derived from minor histocompatibility antigens.","['Khattab, B', 'Eiz-Vesper, B', 'Ganser, A', 'Hertenstein, B', 'Blasczyk, R']","['Khattab B', 'Eiz-Vesper B', 'Ganser A', 'Hertenstein B', 'Blasczyk R']","['Department of Transfusion Medicine, Hannover Medical School, Carl-Neuberg-Str. 1, 30625 Hannover, Germany.']",['eng'],['Journal Article'],20031126,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Algorithms', 'Amino Acid Sequence', 'Animals', 'Antigen Presentation/*immunology', 'Binding Sites', 'Chromosomes/immunology', 'Cysteine Endopeptidases/*metabolism', 'Databases, Genetic', 'Epitopes/genetics/metabolism', 'Humans', 'Immunogenetics', 'Mice', 'Minor Histocompatibility Antigens/*immunology/metabolism', 'Molecular Sequence Data', 'Multienzyme Complexes/*metabolism', 'Peptide Fragments/chemistry/*metabolism', 'Predictive Value of Tests', 'Proteasome Endopeptidase Complex']",2003/12/03 05:00,2004/03/19 05:00,['2003/12/03 05:00'],"['2003/07/23 00:00 [received]', '2003/09/08 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/03/19 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0791-1 [doi]'],ppublish,Ann Hematol. 2004 Feb;83(2):107-13. doi: 10.1007/s00277-003-0791-1. Epub 2003 Nov 26.,"['0 (Epitopes)', '0 (Minor Histocompatibility Antigens)', '0 (Multienzyme Complexes)', '0 (Peptide Fragments)', 'EC 3.4.22.- (Cysteine Endopeptidases)', 'EC 3.4.25.1 (Proteasome Endopeptidase Complex)']",,,,,,,,,,,,,,
14648024,NLM,MEDLINE,20040713,20131121,0939-5555 (Print) 0939-5555 (Linking),83,6,2004 Jun,All- trans-retinoic acid-induced erythema nodosum in patients with acute promyelocytic leukemia.,376-80,"Erythema nodosum associated with all- trans-retinoic acid (ATRA) for acute promyelocytic leukemia (APL) is very rare. We describe four patients with classic APL who developed erythema nodosum during ATRA therapy. Fever and subsequent multiple painful erythematous nodules over extremities developed on D11, D16, D17, and D19, respectively, after ATRA therapy. The skin biopsy taken from each patient was consistent with erythema nodosum. All patients received short course of steroids. Fever subsided rapidly and the skin lesions regressed completely. All patients achieved complete remission without withdrawal of ATRA. ATRA seemed to be the most possible etiology of erythema nodosum in our patients. Short-term use of steroid is very effective in ATRA-induced erythema nodosum.","['Kuo, M C', 'Dunn, P', 'Wu, J H', 'Shih, L Y']","['Kuo MC', 'Dunn P', 'Wu JH', 'Shih LY']","['Division of Hematology-Oncology, Department of Internal Medicine, Chang Gung Memorial Hospital, Chang Gung University, 199 Tung-Hwa North Road, 105, Taipei, Taiwan.']",['eng'],"['Case Reports', 'Journal Article']",20031126,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Adult', 'Antineoplastic Agents/*adverse effects/therapeutic use', 'Erythema Nodosum/*chemically induced/drug therapy/pathology', 'Female', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Male', 'Prednisolone/therapeutic use', 'Treatment Outcome', 'Tretinoin/*adverse effects/therapeutic use']",2003/12/03 05:00,2004/07/14 05:00,['2003/12/03 05:00'],"['2003/07/02 00:00 [received]', '2003/09/04 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/07/14 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0790-2 [doi]'],ppublish,Ann Hematol. 2004 Jun;83(6):376-80. doi: 10.1007/s00277-003-0790-2. Epub 2003 Nov 26.,"['0 (Antineoplastic Agents)', '5688UTC01R (Tretinoin)', '9PHQ9Y1OLM (Prednisolone)']",,,,,,,,,,,,,,
14648023,NLM,MEDLINE,20040427,20071115,0939-5555 (Print) 0939-5555 (Linking),83,4,2004 Apr,Treatment with monoclonal antibodies in acute lymphoblastic leukemia: current knowledge and future prospects.,201-5,"After rapid improvement of treatment results in adult acute lymphoblastic leukemia (ALL) from less than 10% to 30-40% in the past decades, more recently stagnation has been observed. In addition, a borderline for further intensification of chemotherapy appears to be reached in adult ALL patients. New, preferably non-chemotherapy, approaches are therefore urgently required. One of those is targeted therapy with monoclonal antibodies (MoAbs). ALL blast cells express a variety of specific antigens which may serve as targets, such as CD19, CD20, CD22, CD33, and CD52. Published results of MoAbs in ALL are reviewed. Most experience is available for anti-CD20 (rituximab) which led to a significant improvement of the outcome in B-cell non-Hodgkin's lymphoma (NHL). In ALL, rituximab is combined with chemotherapy mainly in mature B-ALL and Burkitt's lymphoma and preliminary results are promising. In the future, studies will also be done in B-precursor ALL. Another promising B-cell antibody is anti-CD22. Several CD19 MoAbs were also tested in phase I studies. However, results are not conclusive and these MoAbs are not generally available. Far less experience with MoAb therapy is available for T-ALL, but clinical studies are on the way with anti-CD52 and anti-CD25 in adult T-cell leukemia/lymphoma. Overall, it can be stated that MoAb therapy in ALL is a promising treatment approach. Monotherapy with MoAbs in relapsed ALL occasionally led to responses, but higher effectivity can be expected from a combination with chemotherapy and treatment in the state of minimal residual disease. Well-designed studies and joint efforts are required to explore optimal combinations, timing and dosage of MoAb therapy in ALL.","['Gokbuget, Nicola', 'Hoelzer, Dieter']","['Gokbuget N', 'Hoelzer D']","['Medical Clinic III, University Hospital, Theodor-Stern-Kai 7, 60590 Frankfurt, Germany. goekbuget@em.uni-frankfurt.de']",['eng'],"['Journal Article', 'Review']",20031126,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Antibodies, Monoclonal/administration & dosage/immunology/*therapeutic use', 'Antigens, CD/immunology', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', 'Combined Modality Therapy', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/drug therapy/immunology/*therapy']",2003/12/03 05:00,2004/04/28 05:00,['2003/12/03 05:00'],"['2003/07/14 00:00 [received]', '2003/07/26 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/04/28 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0752-8 [doi]'],ppublish,Ann Hematol. 2004 Apr;83(4):201-5. doi: 10.1007/s00277-003-0752-8. Epub 2003 Nov 26.,"['0 (Antibodies, Monoclonal)', '0 (Antigens, CD)']",32,,,,,,,,,,,,,
14648020,NLM,MEDLINE,20040713,20181130,0939-5555 (Print) 0939-5555 (Linking),83,6,2004 Jun,Combination therapy of disseminated Fusarium oxysporum infection with terbinafine and amphotericin B.,394-7,A case of disseminated infection with Fusarium oxysporum following chemotherapy of acute myelogenous leukemia is reported. Antifungal treatment was successful with a 13-day course of oral terbinafine 250 mg t.i.d. in combination with amphotericin B deoxycholate 1.0-1.5 mg/kg qd and subsequently intravenous liposomal amphotericin B 5 mg/kg qd. Preceding monotherapy with amphotericin B deoxycholate 1.0-1.5 mg/kg qd had not stopped the progression of infection. The combination therapy described here represents a novel approach to the treatment of Fusarium spp. in the immunocompromised host in whom Fusarium spp. are known to cause disseminated infection with high mortality.,"['Rothe, A', 'Seibold, M', 'Hoppe, Th', 'Seifert, H', 'Engert, A', 'Caspar, C', 'Karthaus, M', 'Fatkenheuer, G', 'Bethe, U', 'Tintelnot, K', 'Cornely, O A']","['Rothe A', 'Seibold M', 'Hoppe T', 'Seifert H', 'Engert A', 'Caspar C', 'Karthaus M', 'Fatkenheuer G', 'Bethe U', 'Tintelnot K', 'Cornely OA']","['Klinik I fur Innere Medizin, Universitat zu Koln, Joseph-Stelzmann-Str. 9, 50931 Cologne, Germany.']",['eng'],"['Case Reports', 'Journal Article']",20031127,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Amphotericin B/*administration & dosage', 'Antifungal Agents/*administration & dosage', 'Dermatomycoses/blood/*drug therapy/immunology/pathology', 'Drug Therapy, Combination', '*Fusarium', 'Humans', 'Immunocompromised Host', 'Leukemia, Myeloid, Acute/blood/microbiology', 'Male', 'Microbial Sensitivity Tests', 'Middle Aged', 'Naphthalenes/*administration & dosage/blood', 'Neutropenia/drug therapy/pathology', 'Terbinafine', 'Treatment Outcome']",2003/12/03 05:00,2004/07/14 05:00,['2003/12/03 05:00'],"['2003/08/21 00:00 [received]', '2003/09/15 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/07/14 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0795-x [doi]'],ppublish,Ann Hematol. 2004 Jun;83(6):394-7. doi: 10.1007/s00277-003-0795-x. Epub 2003 Nov 27.,"['0 (Antifungal Agents)', '0 (Naphthalenes)', '7XU7A7DROE (Amphotericin B)', 'G7RIW8S0XP (Terbinafine)']",,,,,,,,,,,,,,
14648019,NLM,MEDLINE,20040427,20151119,0939-5555 (Print) 0939-5555 (Linking),83,4,2004 Apr,Imatinib and beyond--the new CML study IV. A randomized controlled comparison of imatinib vs imatinib/interferon-alpha vs imatinib/low-dose AraC vs imatinib after interferon-alpha failure in newly diagnosed chronic phase chronic myeloid leukemia.,258-64,,"['Berger, U', 'Engelich, G', 'Reiter, A', 'Hochhaus, A', 'Hehlmann, R']","['Berger U', 'Engelich G', 'Reiter A', 'Hochhaus A', 'Hehlmann R']","['III Medizinische Universitatsklinik, Klinikum Mannheim, Universitat Heidelberg, Wiesbadener Strasse 7-11, 68305 Mannheim, Germany. ute.berger@med3.ma.uni-heidelberg.de']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase IV', 'Comparative Study', 'Journal Article', 'Multicenter Study', 'Randomized Controlled Trial']",20031129,Germany,Ann Hematol,Annals of hematology,9107334,IM,"['Antineoplastic Combined Chemotherapy Protocols/*therapeutic use', 'Benzamides', 'Cytarabine/administration & dosage', 'Female', 'Humans', 'Imatinib Mesylate', 'Interferon-alpha/administration & dosage', 'Leukemia, Myeloid, Chronic-Phase/*drug therapy/mortality', 'Male', 'Piperazines/administration & dosage/*therapeutic use', 'Prospective Studies', 'Pyrimidines/administration & dosage/*therapeutic use', 'Survival Rate']",2003/12/03 05:00,2004/04/28 05:00,['2003/12/03 05:00'],"['2002/12/09 00:00 [received]', '2003/10/02 00:00 [accepted]', '2003/12/03 05:00 [pubmed]', '2004/04/28 05:00 [medline]', '2003/12/03 05:00 [entrez]']",['10.1007/s00277-003-0807-x [doi]'],ppublish,Ann Hematol. 2004 Apr;83(4):258-64. doi: 10.1007/s00277-003-0807-x. Epub 2003 Nov 29.,"['0 (Benzamides)', '0 (Interferon-alpha)', '0 (Piperazines)', '0 (Pyrimidines)', '04079A1RDZ (Cytarabine)', '8A1O1M485B (Imatinib Mesylate)']",,['German CML Study Group'],,,,,,,,,,,,
14647748,NLM,PubMed-not-MEDLINE,20040210,20200414,0021-7557 (Print) 0021-7557 (Linking),78,5,2002 Sep-Oct,[Pediatric cancer: analysis of hospital records].,409-14,"OBJECTIVE: To analyze pediatric cancer hospital records regarding the occurrence of new cases; to verify the relation between sex, age, race, origin and the disease clinical extension; to describe the mortality of children with cancer; to explore the association of new cases with proposed demographic variables, disease clinical extension and vital status. METHODS: Observational, descriptive, longitudinal study in children up to 14 years old, from Santa Catarina. Three hundred and seventy-one new cases of cancer were treated in a regional reference outpatient clinic (1994-98) and recorded according to the International Classification of Childhood Cancer. Multiple Correspondence Analysis was applied to evaluate the categorical variables. RESULTS: Three-hundred and seventy-one new cases of cancer were recorded with constant distribution in each year. Cancer affected preschoolers (41.5%) and males (55.8%). Leukemia was observed in 36.6% of the cases. Non-localized stage on the diagnosis occurred in 55.7%. The death occurred in 55.7% of the cases with non-localized disease and 16.3% with localized disease. At the end of the study 58.8% of the children were alive. CONCLUSIONS: We observed more cases of cancer at pre-school age and among male subjects. Leukemia is the most frequent type of cancer. Non-localized disease predominates on the diagnosis. The death frequency is higher in the group with non-localized disease. There is direct association with non-localized disease, living vital status, school age, adolescent age, female, and for non-localized disease with death vital status, infant age, pre-school age and male.","['da Silva, Denise Bousfield', 'Pires, Maria Marlene de Souza', 'Nassar, Silvia Modesto']","['da Silva DB', 'Pires MM', 'Nassar SM']","['Dep de Pediatria, Universidade Federal de Santa Catarina, Florianopolis, SC.']",['por'],"['English Abstract', 'Journal Article']",,Brazil,J Pediatr (Rio J),Jornal de pediatria,2985188R,,,2003/12/04 05:00,2003/12/04 05:01,['2003/12/04 05:00'],"['2003/12/04 05:00 [pubmed]', '2003/12/04 05:01 [medline]', '2003/12/04 05:00 [entrez]']",['10.2223/jped.885 [doi]'],ppublish,J Pediatr (Rio J). 2002 Sep-Oct;78(5):409-14. doi: 10.2223/jped.885.,,,,Cancer pediatrico: analise de um registro hospitalar.,,,,,,,,,,,
14647728,NLM,PubMed-not-MEDLINE,20040210,20200414,0021-7557 (Print) 0021-7557 (Linking),78,6,2002 Nov-Dec,[Musculoskeletal manifestations as the onset of acute leukemias in childhood].,481-4,"OBJECTIVE: To study the frequency, the clinical features and laboratory exams of patients with musculoskeletal symptoms at the onset of acute leukemia. METHODS: Retrospective, descriptive study including patients diagnosed with acute leukemia, and treated at the Institute of Pediatric Oncology of UNIFESP, carried out from November 1999 to February 2000. The data on musculoskeletal complaints were obtained from a questionnaire. The medical records were revised in order to get data on the clinical examination and laboratory tests at the beginning of the illness. RESULTS: Sixty-one children were included in this trial, 93% with acute lymphoid leukemia, and 7% with acute myeloid leukemia. Thirty-eight patients (62%) had musculoskeletal pain at the onset. Arthritis was observed in eight patients. The mean number of involved joints was 2.5 (1-6). The most frequently involved joints were the knees, ankles and elbows. Three patients (4.9%) had normal blood count. Low hemoglobin was reported in 54 patients (88%) (in six patients it was the only hematological abnormality), leukopenia in 14 (22%), leukocytosis in 26 (42%) and low platelet count in 46 (75%). CONCLUSIONS: The musculoskeletal symptoms are common at the onset of acute leukemia so, malignancy should always be ruled out in patients presenting chronic or acute arthritis or benign limb pain. The laboratory tests may be normal at the onset of the illness, making differential diagnosis more difficult.","['Barbosa, Cassia Maria Passarelli Lupoli', 'Nakamura, Claudia', 'Terreri, Maria Teresa', 'Lee, Maria Lucia de Martino', 'Petrilli, Antonio Sergio', 'Hilario, Maria Odete Esteves']","['Barbosa CM', 'Nakamura C', 'Terreri MT', 'Lee ML', 'Petrilli AS', 'Hilario MO']","['Dep de Pediatria, Universidade Federal de Sao Paulo, SP. cassia@vicnet.com.br']",['por'],"['English Abstract', 'Journal Article']",,Brazil,J Pediatr (Rio J),Jornal de pediatria,2985188R,,,2003/12/04 05:00,2003/12/04 05:01,['2003/12/04 05:00'],"['2003/12/04 05:00 [pubmed]', '2003/12/04 05:01 [medline]', '2003/12/04 05:00 [entrez]']",,ppublish,J Pediatr (Rio J). 2002 Nov-Dec;78(6):481-4.,,,,Manifestacoes musculo-esqueleticas como apresentacao inicial das leucemias agudas na infancia.,,,,,,,,,,,
14647468,NLM,MEDLINE,20031218,20211203,0950-9232 (Print) 0950-9232 (Linking),22,54,2003 Nov 27,Sp100 is important for the stimulatory effect of homeodomain-interacting protein kinase-2 on p53-dependent gene expression.,8731-7,"HIPK2 shows overlapping localization with p53 in promyelocytic leukemia (PML) nuclear bodies (PML-NBs) and functionally interacts with p53 to increase gene expression. Here we demonstrate that HIPK2 and the PML-NB resident protein Sp100 synergize for the activation of p53-dependent gene expression. Sp100 and HIPK2 interact and partially colocalize in PML-NBs. The cooperation of HIPK2 and Sp100 for the induction of p21(Waf1) is completely dependent on the presence of p53 and the kinase function of HIPK2. Downregulation of Sp100 levels by expression of siRNA does not interfere with p53-mediated transcription, but obviates the enhancing effect of HIPK2. In summary, these experiments reveal a novel function for Sp100 as a coactivator for HIPK2-mediated p53 activation.","['Moller, Andreas', 'Sirma, Huseyin', 'Hofmann, Thomas G', 'Staege, Hannah', 'Gresko, Ekaterina', 'Ludi, Katharina Schmid', 'Klimczak, Elisabeth', 'Droge, Wulf', 'Will, Hans', 'Schmitz, M Lienhard']","['Moller A', 'Sirma H', 'Hofmann TG', 'Staege H', 'Gresko E', 'Ludi KS', 'Klimczak E', 'Droge W', 'Will H', 'Schmitz ML']","['German Cancer Research Center, Division of Immunochemistry (G0200), Im Neuenheimer Feld 280, Heidelberg D-69120, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,England,Oncogene,Oncogene,8711562,IM,"['Antigens, Nuclear/analysis/*physiology', 'Autoantigens/analysis/*physiology', 'Carrier Proteins/analysis/*physiology', 'Cells, Cultured', '*Gene Expression Regulation', 'Humans', 'Nuclear Proteins/analysis/*physiology', 'Protein Serine-Threonine Kinases/analysis/*physiology', 'Transcription, Genetic', 'Tumor Suppressor Protein p53/*physiology']",2003/12/04 05:00,2003/12/19 05:00,['2003/12/04 05:00'],"['2003/12/04 05:00 [pubmed]', '2003/12/19 05:00 [medline]', '2003/12/04 05:00 [entrez]']","['10.1038/sj.onc.1207079 [doi]', '1207079 [pii]']",ppublish,Oncogene. 2003 Nov 27;22(54):8731-7. doi: 10.1038/sj.onc.1207079.,"['0 (Antigens, Nuclear)', '0 (Autoantigens)', '0 (Carrier Proteins)', '0 (Nuclear Proteins)', '0 (Tumor Suppressor Protein p53)', '135844-47-2 (Sp100 protein, human)', 'EC 2.7.1.- (HIPK2 protein, human)', 'EC 2.7.11.1 (Protein Serine-Threonine Kinases)']",,,,,,,,,,,,,,
