PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,RN,AID,PMC,IP,OID,TT,AB,RF
14414067,NLM,MEDLINE,19981101,20181201,0370-4165 (Print) 0370-4165 (Linking),35,1959 Jul-Aug,[The histogenesis of human leukemias in the light of modern knowledge].,201-7,"['LANZA, G']",['LANZA G'],['ita'],['Journal Article'],Italy,Rass Clin Sci,Rassegna clinico-scientifica,0422562,OM,"['Humans', '*Knowledge', 'Leukemia/*etiology', '*Light']",['NLM'],['*LEUKEMIA/etiology'],1959/07/01 00:00,1959/07/01 00:01,['1959/07/01 00:00'],"['1959/07/01 00:00 [pubmed]', '1959/07/01 00:01 [medline]', '1959/07/01 00:00 [entrez]']",ppublish,Rass Clin Sci. 1959 Jul-Aug;35:201-7.,,,,,,,,
14413840,NLM,MEDLINE,19981101,20181201,0027-8874 (Print) 0027-8874 (Linking),23,1959 Dec,Some effects of cyclophosphamide (cytoxan) on normal mice and mice with L1210 leukemia.,1347-59,"['LANE, M']",['LANE M'],['eng'],['Journal Article'],United States,J Natl Cancer Inst,Journal of the National Cancer Institute,7503089,OM,"['Animals', 'Antineoplastic Agents/*pharmacology', '*Cyclophosphamide', '*Leukemia, Experimental', 'Mice']",['NLM'],"['*ANTINEOPLASTIC AGENTS/pharmacology', '*LEUKEMIA/experimental']",1959/12/01 00:00,1959/12/01 00:01,['1959/12/01 00:00'],"['1959/12/01 00:00 [pubmed]', '1959/12/01 00:01 [medline]', '1959/12/01 00:00 [entrez]']",ppublish,J Natl Cancer Inst. 1959 Dec;23:1347-59.,"['0 (Antineoplastic Agents)', '8N3DW7272P (Cyclophosphamide)']",,,,,,,
14413734,NLM,MEDLINE,19981101,20181201,,84,1959 Nov,[Pulmonary manifestations during lymphoid leukemias].,1047-64,"['LAMY, P', 'DEBRY, G', 'GILGENKRANTZ, J M', 'CHERRIER, F']","['LAMY P', 'DEBRY G', 'GILGENKRANTZ JM', 'CHERRIER F']",['fre'],['Journal Article'],France,Rev Med Nancy,Revue medicale de Nancy,0204063,OM,"['Humans', '*Leukemia', 'Leukemia, Lymphoid/*complications', 'Lung/*pathology', '*Lymphocytes']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/complications', '*LUNG/pathology']",1959/11/01 00:00,1959/11/01 00:01,['1959/11/01 00:00'],"['1959/11/01 00:00 [pubmed]', '1959/11/01 00:01 [medline]', '1959/11/01 00:00 [entrez]']",ppublish,Rev Med Nancy. 1959 Nov;84:1047-64.,,,,,,,,
14413588,NLM,MEDLINE,19981101,20181201,0365-6403 (Print) 0365-6403 (Linking),14,1959 Sep 11,[On the erythropoiesis in leukemia with special reference to hemolytic syndromes].,710-4,"['LAMBERS, K', 'KLOSS, G']","['LAMBERS K', 'KLOSS G']",['ger'],['Journal Article'],Germany,Arztl Wochensch,Arztliche Wochenschrift,14640350R,OM,"['*Erythrocytes', '*Erythropoiesis', 'Humans', 'Leukemia/*blood', '*Syndrome']",['NLM'],"['*ERYTHROCYTES', '*LEUKEMIA/blood']",1959/09/11 00:00,1959/09/11 00:01,['1959/09/11 00:00'],"['1959/09/11 00:00 [pubmed]', '1959/09/11 00:01 [medline]', '1959/09/11 00:00 [entrez]']",ppublish,Arztl Wochensch. 1959 Sep 11;14:710-4.,,,,,,,,
14413522,NLM,MEDLINE,19981101,20181201,0022-2143 (Print) 0022-2143 (Linking),55,1960 Apr,On survival time of leukocytes in leukemic patients.,548-56,"['LALA, P K', 'BHATTACHARJEE, S B', 'DAS GUPTA, N N']","['LALA PK', 'BHATTACHARJEE SB', 'DAS GUPTA NN']",['eng'],['Journal Article'],United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,OM,"['Leukemia/*blood', '*Leukocytes']",['NLM'],"['*LEUKEMIA/blood', '*LEUKOCYTES']",1960/04/01 00:00,1960/04/01 00:01,['1960/04/01 00:00'],"['1960/04/01 00:00 [pubmed]', '1960/04/01 00:01 [medline]', '1960/04/01 00:00 [entrez]']",ppublish,J Lab Clin Med. 1960 Apr;55:548-56.,,['0022-2143(60)90007-X [pii]'],,,,,,
14413419,NLM,MEDLINE,19981101,20181201,0365-5555 (Print) 0365-5555 (Linking),49,1960,In vitro investigations of the virus-induced fowl erythroleukemia. 2. The production of virus by cultured erythroleukemia cells and cultured normal cells exposed to the erythroleukemia virus in vitro.,361-72,"['LAGERLOF, B']",['LAGERLOF B'],['eng'],['Journal Article'],Denmark,Acta Pathol Microbiol Scand,Acta pathologica et microbiologica Scandinavica,7508471,OM,"['Animals', '*Cell Line', '*Cells, Cultured', 'Humans', 'In Vitro Techniques', '*Leukemia, Erythroblastic, Acute', '*Leukemia, Experimental', '*Virus Activation']",['NLM'],['*LEUKEMIA/experimental'],1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",ppublish,Acta Pathol Microbiol Scand. 1960;49:361-72.,,,,,,,,
14413418,NLM,MEDLINE,19981101,20181201,0365-5555 (Print) 0365-5555 (Linking),49,1960,In vitro investigations of the virus-induced fowl erythroleukemia. 1. Long term cultivation of normal and leukemic bone marrow cells.,344-60,"['LAGERLOF, B']",['LAGERLOF B'],['eng'],['Journal Article'],Denmark,Acta Pathol Microbiol Scand,Acta pathologica et microbiologica Scandinavica,7508471,OM,"['Animals', '*Bone Marrow Cells', 'Humans', 'In Vitro Techniques', '*Leukemia, Erythroblastic, Acute', '*Leukemia, Experimental', '*Virus Activation', '*Virus Diseases']",['NLM'],"['*LEUKEMIA/experimental', '*VIRUS DISEASES/experimental']",1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",ppublish,Acta Pathol Microbiol Scand. 1960;49:344-60.,,,,,,,,
14413293,NLM,MEDLINE,19981101,20181201,0376-1630 (Print) 0376-1630 (Linking),11,1959 Nov-Dec,[Can rheumatic leukemia patients be treated with hot baths?].,416-20,"['LACHMANN, H']",['LACHMANN H'],['ger'],['Journal Article'],Germany,Arch Phys Ther (Leipz),Archiv fur physikalische Therapie,9810655,OM,"['*Baths', 'Humans', 'Leukemia/*complications', 'Rheumatic Diseases/*complications']",['NLM'],"['*LEUKEMIA/complications', '*RHEUMATISM/complications']",1959/11/01 00:00,1959/11/01 00:01,['1959/11/01 00:00'],"['1959/11/01 00:00 [pubmed]', '1959/11/01 00:01 [medline]', '1959/11/01 00:00 [entrez]']",ppublish,Arch Phys Ther (Leipz). 1959 Nov-Dec;11:416-20.,,,,,,,,
14412792,NLM,MEDLINE,19981101,20181201,0323-4347 (Print) 0323-4347 (Linking),76,1959,[On the significance of lymphocytosis in a case of erythroleukosis].,472-86,"['KUNZ, G', 'HARTWIG, H']","['KUNZ G', 'HARTWIG H']",['ger'],['Journal Article'],Germany,Folia Haematol Int Mag Klin Morphol Blutforsch,"Folia haematologica (Leipzig, Germany : 1928)",0374615,OM,"['*Hematologic Diseases', 'Humans', 'Leukemia/*blood', '*Leukocytes', '*Lymphocytosis', 'Polycythemia/*blood']",['NLM'],"['*LEUKEMIA/blood', '*LEUKOCYTES', '*POLYCYTHEMIA/blood']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",ppublish,Folia Haematol Int Mag Klin Morphol Blutforsch. 1959;76:472-86.,,,,,,,,
14412487,NLM,MEDLINE,19981101,20181201,0368-6698 (Print) 0368-6698 (Linking),15,1960 Feb,[Peroral palliative therapy of malignant hemoblastoses with an N-Lost phosphamide ester].,49-55,"['KUEHBOECK, J', 'REIMER, E E', 'STOIBER, T']","['KUEHBOECK J', 'REIMER EE', 'STOIBER T']",['ger'],['Journal Article'],Austria,Krebsarzt,Der Krebsarzt,0251004,OM,"['Antineoplastic Agents/*therapy', '*Dimethoate', '*Esters', 'Humans', 'Leukemia/*therapy', '*Palliative Care']",['NLM'],"['*ANTINEOPLASTIC AGENTS/therapy', '*LEUKEMIA/therapy']",1960/02/01 00:00,1960/02/01 00:01,['1960/02/01 00:00'],"['1960/02/01 00:00 [pubmed]', '1960/02/01 00:01 [medline]', '1960/02/01 00:00 [entrez]']",ppublish,Krebsarzt. 1960 Feb;15:49-55.,"['0 (Antineoplastic Agents)', '0 (Esters)', 'W6U08B045O (Dimethoate)']",,,,,,,
14412486,NLM,MEDLINE,19981101,20181201,0043-5376 (Print) 0043-5376 (Linking),41,1960 Jun,[On high-dose prednisone therapy of malignant blood diseases].,228-32,"['KUEHBOECK, J', 'REIMER, E E', 'STOIBER, T']","['KUEHBOECK J', 'REIMER EE', 'STOIBER T']",['ger'],['Journal Article'],Austria,Wien Z Inn Med,Wiener Zeitschrift fur innere Medizin und ihre Grenzgebiete,7502231,OM,"['*Genetic Diseases, X-Linked', '*Hematologic Diseases', 'Hodgkin Disease/*therapy', 'Leukemia/*therapy', 'Leukemia, Hairy Cell/*therapy', 'Lymphatic Diseases/*therapy', 'Prednisone/*therapy', '*Severe Combined Immunodeficiency']",['NLM'],"[""*HODGKIN'S DISEASE/therapy"", '*LEUKEMIA/therapy', '*PREDNISONE/therapy', '*RETICULOENDOTHELIOSIS/therapy']",1960/06/01 00:00,1960/06/01 00:01,['1960/06/01 00:00'],"['1960/06/01 00:00 [pubmed]', '1960/06/01 00:01 [medline]', '1960/06/01 00:00 [entrez]']",ppublish,Wien Z Inn Med. 1960 Jun;41:228-32.,"['VB0R961HZT (Prednisone)', 'Reticuloendotheliosis, X-linked']",,,,,,,
14412477,NLM,MEDLINE,19981101,20181201,0042-4676 (Print) 0042-4676 (Linking),35,1960 Jan-Feb,[On peptic ulcer of the stomach and duodenum in chronic lymphatic leukemia].,57-9,"['KUDRIN, A G']",['KUDRIN AG'],['rus'],['Journal Article'],Russia (Federation),Vestn Rentgenol Radiol,Vestnik rentgenologii i radiologii,0424741,OM,"['*Duodenum', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*complications', 'Peptic Ulcer/*complications']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC/complications', '*PEPTIC ULCER/complications']",1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",ppublish,Vestn Rentgenol Radiol. 1960 Jan-Feb;35:57-9.,,,,,,,,
14412408,NLM,MEDLINE,19981101,20181201,,30,1960,"[A case of monocytic leukemia type ""Schilling"" in cytochemical picture].",77-84,"['KUBICZEK, M', 'MRUK, J', 'URASINSKI, I']","['KUBICZEK M', 'MRUK J', 'URASINSKI I']",['pol'],['Journal Article'],Poland,Pol Arch Med Wewn,Polskie Archiwum Medycyny Wewnetrznej,0401225,OM,"['Humans', '*Leukemia', 'Leukemia, Myeloid/*pathology']",['NLM'],"['*LEUKEMIA, MONOCYTIC/pathology']",1960/01/01 00:00,1960/01/01 00:01,['1960/01/01 00:00'],"['1960/01/01 00:00 [pubmed]', '1960/01/01 00:01 [medline]', '1960/01/01 00:00 [entrez]']",ppublish,Pol Arch Med Wewn. 1960;30:77-84.,,,,,,,,
14412375,NLM,MEDLINE,19981101,20191007,1002-0187 (Print) 1002-0187 (Linking),80,1960 May,Aleukemic megakaryocytic leukemia.,428-36,"['KU, C N', 'LIU, T C', 'TSUNG, Y S']","['KU CN', 'LIU TC', 'TSUNG YS']",['eng'],['Journal Article'],China,Chin Med J,"Chinese medical journal (Peking, China : 1932)",0005256,OM,"['Humans', 'Leukemia/*pathology', '*Leukemia, Megakaryoblastic, Acute', '*Megakaryocytes']",['NLM'],['*LEUKEMIA/pathology'],1960/05/01 00:00,1960/05/01 00:01,['1960/05/01 00:00'],"['1960/05/01 00:00 [pubmed]', '1960/05/01 00:01 [medline]', '1960/05/01 00:00 [entrez]']",ppublish,Chin Med J. 1960 May;80:428-36.,,,,,,,,
