PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RF,AB,PS,FPS
14262194,NLM,MEDLINE,19961201,20190501,0007-1447 (Print) 0007-1447 (Linking),1,5441,1965 Apr 17,VALUE OF DETECTION OF FORMIMINOGLUTAMIC ACID IN URINE FOR THE DIAGNOSIS OF MALABSORPTION STATES.,1031-4,"['ROSE, D P']",['ROSE DP'],['eng'],['Journal Article'],England,Br Med J,British medical journal,0372673,"['0 (Fatty Acids)', '4QD397987E (Histidine)', '816-90-0 (Formiminoglutamic Acid)', '935E97BOY8 (Folic Acid)', 'A1TA934AKO (Xylose)', 'P6YC3EG204 (Vitamin B 12)']",OM,"['*Bile Duct Neoplasms', '*Carbohydrate Metabolism', '*Celiac Disease', '*Crohn Disease', '*Diagnosis', '*Electrophoresis', '*Enteritis', '*FIGLU Test', 'Fatty Acids/*metabolism', '*Fluids and Secretions', '*Folic Acid', '*Formiminoglutamic Acid', '*Histidine', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphoma', '*Lymphoma, Non-Hodgkin', '*Malabsorption Syndromes', '*Sprue, Tropical', '*Urine', '*Vitamin B 12', '*Xylose']",PMC2166910,['NLM'],"['*BILE DUCT NEOPLASMS', '*CARBOHYDRATE METABOLISM', '*DIAGNOSIS', '*ELECTROPHORESIS', '*ENTERITIS, REGIONAL', '*EXCRETION', '*FATTY ACID METABOLISM', '*FIGLU TEST', '*FOLIC ACID', '*HISTIDINE', '*LEUKEMIA, LYMPHOCYTIC', '*LYMPHOSARCOMA', '*MALABSORPTION SYNDROMES', '*SPRUE', '*URINE', '*VITAMIN B 12', '*XYLOSE']",1965/04/17 00:00,1965/04/17 00:01,['1965/04/17 00:00'],"['1965/04/17 00:00 [pubmed]', '1965/04/17 00:01 [medline]', '1965/04/17 00:00 [entrez]']",['10.1136/bmj.1.5441.1031 [doi]'],ppublish,Br Med J. 1965 Apr 17;1(5441):1031-4. doi: 10.1136/bmj.1.5441.1031.,,,,,
14262174,NLM,MEDLINE,19961201,20190705,0007-1048 (Print) 0007-1048 (Linking),11,,1965 Mar,RED-CELL ACETYLCHOLINESTERASE ACTIVITY IN PHYSIOLOGICAL AND PATHOLOGICAL RETICULOCYTOSIS.,162-70,"['SABINE, J C']",['SABINE JC'],['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (Glucosephosphates)', 'EC 3.1.1.7 (Acetylcholinesterase)', 'Reticuloendotheliosis, X-linked']",OM,"['*Acetylcholinesterase', '*Anemia', '*Anemia, Hemolytic', '*Erythrocytes', '*Genetic Diseases, X-Linked', '*Glucosephosphate Dehydrogenase Deficiency', '*Glucosephosphates', '*Hematocrit', '*Hematologic Diseases', 'Humans', '*Leukemia', '*Leukemia, Hairy Cell', '*Liver Cirrhosis', '*Lymphatic Diseases', '*Polycythemia', '*Primary Myelofibrosis', '*Reticulocytes', '*Reticulocytosis', '*Severe Combined Immunodeficiency']",,['NLM'],"['*ACETYLCHOLINESTERASE', '*ANEMIA, HEMOLYTIC', '*ERYTHROCYTES', '*GLUCOSEPHOSPHATE DEHY- DROGENASE DEFICIENCY', '*HEMATOCRIT', '*HEMATOLOGIC DISEASES', '*LEUKEMIA', '*LIVER CIRRHOSIS', '*MYELOFIBROSIS', '*MYELOID METAPLASIA', '*POLYCYTHEMIA', '*RETICULOCYTES', '*RETICULOENDOTHELIOSIS']",1965/03/01 00:00,1965/03/01 00:01,['1965/03/01 00:00'],"['1965/03/01 00:00 [pubmed]', '1965/03/01 00:01 [medline]', '1965/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1965.tb06573.x [doi]'],ppublish,Br J Haematol. 1965 Mar;11:162-70. doi: 10.1111/j.1365-2141.1965.tb06573.x.,,,,,
14262173,NLM,MEDLINE,19961201,20190705,0007-1048 (Print) 0007-1048 (Linking),11,,1965 Mar,STUDIES OF THE INCORPORATION OF PYRIMIDINES INTO DNA IN SINGLE LEUKAEMIC AND OTHER PROLIFERATING LEUCOCYTES.,144-61,"['HALE, A J', 'COOPER, E H', 'MILTON, J D']","['HALE AJ', 'COOPER EH', 'MILTON JD']",['eng'],['Journal Article'],England,Br J Haematol,British journal of haematology,0372544,"['0 (DNA, Neoplasm)', '0 (Pyrimidines)', '10028-17-8 (Tritium)', '9007-49-2 (DNA)', 'VC2W18DGKR (Thymidine)']",OM,"['*Autoradiography', '*DNA', '*DNA, Neoplasm', 'Humans', '*Infectious Mononucleosis', '*Leukemia', '*Leukocytes', '*Metabolism', '*Pharmacology', '*Photometry', '*Pyrimidines', '*Thymidine', '*Tritium']",,['NLM'],"['*DNA', '*DNA, NEOPLASM', '*INFECTIOUS MONONUCLEOSIS', '*LEUKEMIA', '*LEUKOCYTES', '*METABOLISM', '*PHARMACOLOGY', '*PHOTOMETRY', '*RADIOAUTOGRAPHY', '*THYMIDINE', '*TRITIUM']",1965/03/01 00:00,1965/03/01 00:01,['1965/03/01 00:00'],"['1965/03/01 00:00 [pubmed]', '1965/03/01 00:01 [medline]', '1965/03/01 00:00 [entrez]']",['10.1111/j.1365-2141.1965.tb06572.x [doi]'],ppublish,Br J Haematol. 1965 Mar;11:144-61. doi: 10.1111/j.1365-2141.1965.tb06572.x.,,,,,
14262000,NLM,MEDLINE,19961201,20181201,0552-2080 (Print) 0552-2080 (Linking),10,,1965 Jan,[CHANGES IN ALKALINE PHOSPHATASE ACTIVITY AND NUCLEIC ACIDS IN ACUTE LEUKEMIA].,32-40,"['KOVALEVA, L G']",['KOVALEVA LG'],['rus'],['Journal Article'],Russia (Federation),Probl Gematol Pereliv Krovi,Problemy gematologii i perelivaniia krovi,0401232,"['0 (Nucleic Acids)', 'EC 3.1.3.1 (Alkaline Phosphatase)']",OM,"['*Acute Disease', 'Alkaline Phosphatase/*blood', '*Bone Marrow Examination', '*Clinical Laboratory Techniques', 'Humans', '*Leukemia', '*Metabolism', 'Neoplasms/*diagnosis', '*Nucleic Acids']",,['NLM'],"['*BLOOD ALKALINE PHOSPHATASE', '*BONE MARROW EXAMINATION', '*DIAGNOSIS, LABORATORY', '*LEUKEMIA', '*METABOLISM', '*NEOPLASM DIAGNOSIS', '*NUCLEIC ACIDS']",1965/01/01 00:00,1965/01/01 00:01,['1965/01/01 00:00'],"['1965/01/01 00:00 [pubmed]', '1965/01/01 00:01 [medline]', '1965/01/01 00:00 [entrez]']",,ppublish,Probl Gematol Pereliv Krovi. 1965 Jan;10:32-40.,IZMENENIIA AKTIVNOSTI SHCHELOCHNO I FOSFATAZY I NUKLEINOVYKH KISLOT PRI OSTROM LE IKOZE.,,,,
14261934,NLM,MEDLINE,19961201,20181201,0028-2162 (Print) 0028-2162 (Linking),108,,1964 Dec 12,[COMMUNICATION OF AND PARTICIPATION IN THE DIAGNOSIS. 3. THE DEATHBED].,2393-6,"['VEENEKLAAS, G M']",['VEENEKLAAS GM'],['dut'],['Journal Article'],Netherlands,Ned Tijdschr Geneeskd,Nederlands tijdschrift voor geneeskunde,0400770,,OM,"['Child', '*Communication', '*Death', '*Diagnosis', 'Humans', '*Leukemia', '*Physician-Patient Relations', '*Psychology, Child']",,['NLM'],"['*CHILD', '*CHILD PSYCHOLOGY', '*DEATH', '*DIAGNOSIS', '*LEUKEMIA', '*PHYSICIAN-PATIENT RELATIONS']",1964/12/12 00:00,1964/12/12 00:01,['1964/12/12 00:00'],"['1964/12/12 00:00 [pubmed]', '1964/12/12 00:01 [medline]', '1964/12/12 00:00 [entrez]']",,ppublish,Ned Tijdschr Geneeskd. 1964 Dec 12;108:2393-6.,"MEEDELEN VAN, EN MEE-DELEN IN DE DIAGNOSE. 3. HET STERFBED.",,,,
14261825,NLM,MEDLINE,19961201,20181201,0022-8699 (Print) 0022-8699 (Linking),66,,1965 Mar,THE DI GUGLIELMO SYNDROME. REPORT OF AN UNUSUAL CASE WITH BASOPHILIC LEUKOCYTOSIS.,129-31 PASSIM,"['DAVIS, J W', 'LARSEN, W E', 'WILSON, S J', 'PETRIE, S C']","['DAVIS JW', 'LARSEN WE', 'WILSON SJ', 'PETRIE SC']",['eng'],['Journal Article'],United States,J Kans Med Soc,The Journal of the Kansas Medical Society,7505612,,OM,"['*Basophils', '*Clinical Laboratory Techniques', '*Geriatrics', 'Humans', '*Laboratories', '*Leukemia, Erythroblastic, Acute', '*Leukocyte Count', '*Leukocyte Disorders', '*Leukocytosis']",,['NLM'],"['*BASOPHILS', '*DIAGNOSIS, LABORATORY', '*ERYTHREMIC MYELOSIS', '*GERIATRICS', '*LEUKOCYTOSIS']",1965/03/01 00:00,1965/03/01 00:01,['1965/03/01 00:00'],"['1965/03/01 00:00 [pubmed]', '1965/03/01 00:01 [medline]', '1965/03/01 00:00 [entrez]']",,ppublish,J Kans Med Soc. 1965 Mar;66:129-31 PASSIM.,,,,,
14261686,NLM,MEDLINE,19961201,20181201,0004-1955 (Print) 0004-1955 (Linking),27,,1965,[LEUKOSIS AND IONIZING RADIATIONS].,6-13,"['SVIATUKHIN, M V']",['SVIATUKHIN MV'],['rus'],"['Journal Article', 'Review']",Russia (Federation),Arkh Patol,Arkhiv patologii,0370604,,OM,"['Humans', '*Leukemia, Radiation-Induced', 'Neoplasms/*etiology', '*Radiation, Ionizing']",,['NLM'],"['*LEUKEMIA, RADIATION-INDUCED', '*NEOPLASM ETIOLOGY', '*REVIEW']",1965/01/01 00:00,1965/01/01 00:01,['1965/01/01 00:00'],"['1965/01/01 00:00 [pubmed]', '1965/01/01 00:01 [medline]', '1965/01/01 00:00 [entrez]']",,ppublish,Arkh Patol. 1965;27:6-13.,LE IKOZY I IONIZIRUIUSHCHEE IZLUCHENIE.,0,,,
14261675,NLM,MEDLINE,19961201,20181201,0300-8991 (Print) 0300-8991 (Linking),33,,1964,[ON AN UNUSUAL DISEASE ASSOCIATION: CHRONIC LYMPHATIC LEUKEMIA AND DUHRING-BROCQ'S DERMATITIS].,22-32,"['GADDONI, G']",['GADDONI G'],['ita'],['Journal Article'],Italy,Arch Ital Dermatol Venereol Sessuol,"Archivio italiano di dermatologia, venereologia, e sessuologia",0372445,,OM,"['*Dermatitis', '*Dermatitis Herpetiformis', 'Humans', '*Leukemia', '*Leukemia, Lymphocytic, Chronic, B-Cell', '*Leukemia, Lymphoid', '*Lymphocytes', '*Pathology']",,['NLM'],"['*DERMATITIS HERPETIFORMIS', '*LEUKEMIA, LYMPHOCYTIC', '*PATHOLOGY']",1964/01/01 00:00,1964/01/01 00:01,['1964/01/01 00:00'],"['1964/01/01 00:00 [pubmed]', '1964/01/01 00:01 [medline]', '1964/01/01 00:00 [entrez]']",,ppublish,Arch Ital Dermatol Venereol Sessuol. 1964;33:22-32.,SU UNA INCONSUETA ASSOCIAZIONE MORBOSA: LEUCEMIA LINFATICA CRONICA E DERMATITE DI DUHRING-BROCQ.,,,,
14261370,NLM,MEDLINE,19961201,20201114,0025-729X (Print) 0025-729X (Linking),1,8,1965 Feb 20,POTASSIUM AND ACID PHOSPHATASE LEVELS IN SERUM AND PLASMA OF PATIENTS WITH HIGH PLATELET COUNTS.,272-3,"['DAVEY, M G', 'LANDER, H']","['DAVEY MG', 'LANDER H']",['eng'],['Journal Article'],Australia,Med J Aust,The Medical journal of Australia,0400714,"['EC 3.1.3.2 (Acid Phosphatase)', 'RWP5GA015D (Potassium)']",OM,"['Acid Phosphatase/*blood', '*Blood', '*Blood Chemical Analysis', '*Blood Coagulation Disorders', '*Blood Platelet Disorders', '*Blood Platelets', '*Hodgkin Disease', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Liver Cirrhosis', '*Plasma', '*Platelet Count', '*Potassium', '*Primary Myelofibrosis', '*Thrombocythemia, Essential']",,['NLM'],"['*BLOOD', '*BLOOD ACID PHOSPHATASE', '*BLOOD CHEMICAL ANALYSIS', '*BLOOD COAGULATION DISORDERS', '*BLOOD PLATELET DISORDERS', '*BLOOD PLATELETS', '*HEMORRHAGIC THROMBOCYTHEMIA', ""*HODGKIN'S DISEASE"", '*LEUKEMIA, MYELOCYTIC', '*LIVER CIRRHOSIS', '*MYELOFIBROSIS', '*POTASSIUM']",1965/02/20 00:00,1965/02/20 00:01,['1965/02/20 00:00'],"['1965/02/20 00:00 [pubmed]', '1965/02/20 00:01 [medline]', '1965/02/20 00:00 [entrez]']",['10.5694/j.1326-5377.1965.tb71621.x [doi]'],ppublish,Med J Aust. 1965 Feb 20;1(8):272-3. doi: 10.5694/j.1326-5377.1965.tb71621.x.,,,,,
14261364,NLM,MEDLINE,19961201,20181201,0025-7753 (Print) 0025-7753 (Linking),43,,1964 Aug,"[BRONCHIAL CARCINOMA, CHRONIC: LYMPHATIC LEUKEMIA AND CHROMOPHILIC HYPERPLASIA OF THE PITUITARY GLAND].",95-8,"['DALMAU-CIRIA, M', 'VIDAL, M T', 'SANS-SABRAFEN, J']","['DALMAU-CIRIA M', 'VIDAL MT', 'SANS-SABRAFEN J']",['spa'],['Journal Article'],Spain,Med Clin (Barc),Medicina clinica,0376377,,OM,"['*Bronchial Neoplasms', '*Carcinoma, Bronchogenic', 'Humans', '*Hyperplasia', '*Leukemia', '*Leukemia, Lymphoid', '*Pathology', '*Pituitary Gland']",,['NLM'],"['*BRONCHIAL NEOPLASMS', '*HYPERPLASIA', '*LEUKEMIA, LYMPHOCYTIC', '*PATHOLOGY', '*PITUITARY GLAND']",1964/08/01 00:00,1964/08/01 00:01,['1964/08/01 00:00'],"['1964/08/01 00:00 [pubmed]', '1964/08/01 00:01 [medline]', '1964/08/01 00:00 [entrez]']",,ppublish,Med Clin (Barc). 1964 Aug;43:95-8.,"CARCINOMA BRONQUIAL, LEUCOSIS LINF'ATICA CR'ONICA E HIPERPLASIA CROM'OFILA DE LA HIP'OFISIS.",,,,
