PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,RF,IP,PMC,AB
14082867,NLM,MEDLINE,19961201,20181201,0008-5472 (Print) 0008-5472 (Linking),23,1963 Dec,STUDY OF A VIRUS ISOLATED FROM A CHLOROLEUKEMIC WISTAR RAT.,1742-7,"['LUM, G S', 'SCHREINER, A W']","['LUM GS', 'SCHREINER AW']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,['0 (Immune Sera)'],OM,"['Animals', 'Cricetinae', '*Hemagglutination', '*Immune Sera', '*Leukemia', '*Leukemia Virus, Murine', '*Neutralization Tests', '*Oncogenic Viruses', '*Pathology', '*Polyomavirus', 'Rats', 'Rats, Wistar', '*Research', '*Research Design', '*Tissue Culture Techniques', '*Viruses']",['NLM'],"['*EXPERIMENTAL LAB STUDY', '*HAMSTERS', '*HEMAGGLUTINATION', '*IMMUNE SERUMS', '*LEUCOSARCOMA', '*MOUSE LEUKEMIA VIRUSES', '*NEUTRALIZATION TESTS', '*ONCOGENIC VIRUSES', '*PATHOLOGY', '*POLYOMA VIRUS', '*RATS', '*TISSUE CULTURE', '*VERTEBRATE VIRUSES']",1963/12/01 00:00,1963/12/01 00:01,['1963/12/01 00:00'],"['1963/12/01 00:00 [pubmed]', '1963/12/01 00:01 [medline]', '1963/12/01 00:00 [entrez]']",ppublish,Cancer Res. 1963 Dec;23:1742-7.,,,,,,
14082744,NLM,MEDLINE,19961201,20190619,0003-4819 (Print) 0003-4819 (Linking),59,1963 Dec,FOLIC ACID ANTAGONIST. EFFECTS ON THE CELL AND THE PATIENT. COMBINED CLINICAL STAFF CONFERENCE AT THE NATIONAL INSTITUTES OF HEALTH.,931-56,"['BERLIN, N I', 'RALL, D', 'MEAD, J A', 'FREIREICH, E J', 'VANSCOTT, E', 'HERTZ, R', 'LIPSETT, M B']","['BERLIN NI', 'RALL D', 'MEAD JA', 'FREIREICH EJ', 'VANSCOTT E', 'HERTZ R', 'LIPSETT MB']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,"['0 (Folic Acid Antagonists)', '935E97BOY8 (Folic Acid)']",OM,"['*Biochemical Phenomena', '*Biochemistry', '*Bone Marrow', 'Child', '*Choriocarcinoma', '*Epithelium', 'Female', '*Folic Acid', '*Folic Acid Antagonists', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', '*Metabolism', '*National Institutes of Health (U.S.)', '*Pathology', '*Pharmacology', 'Pregnancy', '*Toxicology', '*Trophoblastic Neoplasms', 'United States']",['NLM'],"['*BIOCHEMISTRY', '*BONE MARROW', '*CHILD', '*CHORIOCARCINOMA', '*EPITHELIUM', '*FOLIC ACID ANTAGONISTS', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*METABOLISM', '*PATHOLOGY', '*PHARMACOLOGY', '*TOXICOLOGIC REPORT', '*TROPHOBLASTIC TUMOR']",1963/12/01 00:00,1963/12/01 00:01,['1963/12/01 00:00'],"['1963/12/01 00:00 [pubmed]', '1963/12/01 00:01 [medline]', '1963/12/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1963 Dec;59:931-56. doi: 10.7326/0003-4819-59-6-931.,['10.7326/0003-4819-59-6-931 [doi]'],,,,,
14082737,NLM,MEDLINE,19961201,20190619,0003-4819 (Print) 0003-4819 (Linking),59,1963 Dec,CHROMOSOME PATTERNS IN IRRADIATED AND NONIRRADIATED PATIENTS WITH RHEUMATOID SPONDYLITIS.,859-64,"['NEWCOMBE, D S', 'COHEN, A S']","['NEWCOMBE DS', 'COHEN AS']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,,OM,"['*Chromosome Aberrations', '*Chromosomes', 'Humans', '*Leukemia', '*Radiation Genetics', '*Radiotherapy', '*Spondylitis', '*Spondylitis, Ankylosing']",['NLM'],"['*CHROMOSOME ABNORMALITIES', '*CHROMOSOMES', '*LEUKEMIA', '*RADIATION GENETICS', '*RADIOTHERAPY', '*SPONDYLITIS, ANKYLOSING']",1963/12/01 00:00,1963/12/01 00:01,['1963/12/01 00:00'],"['1963/12/01 00:00 [pubmed]', '1963/12/01 00:01 [medline]', '1963/12/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1963 Dec;59:859-64. doi: 10.7326/0003-4819-59-6-859.,['10.7326/0003-4819-59-6-859 [doi]'],,,,,
14082717,NLM,MEDLINE,19961201,20190619,0003-4819 (Print) 0003-4819 (Linking),59,1963 Nov,LEUKEMIA WITH OSTEOARTICULAR SYMPTOMS AND SIGNS.,637-45,"['SILVERSTEIN, M N', 'KELLY, P J']","['SILVERSTEIN MN', 'KELLY PJ']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,,OM,"['*Bone Diseases', '*Child', '*Diagnosis, Differential', '*Joint Diseases', '*Leukemia', '*Leukocytosis', '*Leukopenia', 'Neoplasms/*diagnosis', '*Pathology', '*Radiography']",['NLM'],"['*BONE DISEASES', '*CHILD', '*DIAGNOSIS, DIFFERENTIAL', '*JOINT DISEASES', '*LEUKEMIA', '*LEUKOCYTOSIS', '*LEUKOPENIA', '*NEOPLASM DIAGNOSIS', '*PATHOLOGY', '*RADIOGRAPHY']",1963/11/01 00:00,1963/11/01 00:01,['1963/11/01 00:00'],"['1963/11/01 00:00 [pubmed]', '1963/11/01 00:01 [medline]', '1963/11/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1963 Nov;59:637-45. doi: 10.7326/0003-4819-59-5-637.,['10.7326/0003-4819-59-5-637 [doi]'],,,,,
14082716,NLM,MEDLINE,19961201,20190619,0003-4819 (Print) 0003-4819 (Linking),59,1963 Nov,THE EFFECT OF TREATMENT IN PATIENTS WITH CHRONIC MYELOGENOUS LEUKEMIA. BIOCHEMICAL STUDIES.,629-36,"['BLOCK, J B', 'CARBONE, P P', 'OPPENHEIM, J J', 'FREI, E 3rd']","['BLOCK JB', 'CARBONE PP', 'OPPENHEIM JJ', 'FREI E 3rd']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,"['0 (Antineoplastic Agents)', '0 (Nucleosides)', '5V9KLZ54CY (Vinblastine)', 'E7WED276I5 (Mercaptopurine)', 'EC 3.1.3.1 (Alkaline Phosphatase)', 'G1LN9045DK (Busulfan)', 'SML2Y3J35T (Colchicine)']",OM,"['Alkaline Phosphatase/*blood', '*Antineoplastic Agents', '*Busulfan', '*Chromosome Aberrations', '*Colchicine', 'Humans', '*Hydrogen-Ion Concentration', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid', '*Leukocytes', '*Mercaptopurine', '*Nucleosides', '*Vinblastine']",['NLM'],"['*ANTINEOPLASTIC AGENTS', '*BLOOD ALKALINE PHOSPHATASE', '*BUSULFAN', '*CHROMOSOME ABNORMALITIES', '*COLCHICINE', '*HYDROGEN-ION CONCENTRATION', '*LEUKEMIA, MYELOCYTIC', '*LEUKOCYTES', '*MERCAPTOPURINE', '*NUCLEOSIDES', '*VINBLASTINE']",1963/11/01 00:00,1963/11/01 00:01,['1963/11/01 00:00'],"['1963/11/01 00:00 [pubmed]', '1963/11/01 00:01 [medline]', '1963/11/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1963 Nov;59:629-36. doi: 10.7326/0003-4819-59-5-629.,['10.7326/0003-4819-59-5-629 [doi]'],,,,,
14082715,NLM,MEDLINE,19961201,20190619,0003-4819 (Print) 0003-4819 (Linking),59,1963 Nov,THE EFFECT OF TREATMENT IN PATIENTS WITH CHRONIC MYELOGENOUS LEUKEMIA. HEMATOLOGIC AND CYTOGENETIC STUDIES.,622-8,"['CARBONE, P P', 'TJIO, J H', 'WHANG, J', 'BLOCK, J B', 'KREMER, W B', 'FREI, E 3rd']","['CARBONE PP', 'TJIO JH', 'WHANG J', 'BLOCK JB', 'KREMER WB', 'FREI E 3rd']",['eng'],['Journal Article'],United States,Ann Intern Med,Annals of internal medicine,0372351,['0 (Antineoplastic Agents)'],OM,"['*Antineoplastic Agents', '*Bone Marrow Examination', 'Child', '*Chromosome Aberrations', '*Cytogenetic Analysis', '*Geriatrics', 'Humans', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid']",['NLM'],"['*ANTINEOPLASTIC AGENTS', '*BONE MARROW EXAMINATION', '*CHILD', '*CHROMOSOME ABNORMALITIES', '*GERIATRICS', '*LEUKEMIA, MYELOCYTIC']",1963/11/01 00:00,1963/11/01 00:01,['1963/11/01 00:00'],"['1963/11/01 00:00 [pubmed]', '1963/11/01 00:01 [medline]', '1963/11/01 00:00 [entrez]']",ppublish,Ann Intern Med. 1963 Nov;59:622-8. doi: 10.7326/0003-4819-59-5-622.,['10.7326/0003-4819-59-5-622 [doi]'],,,,,
14082202,NLM,MEDLINE,19961201,20181201,0368-881X (Print) 0368-881X (Linking),22,1963 Nov,OXFORD SURVEY OF CHILDHOOD CANCERS: PROGRESS REPORT I.,182-92,"['STEWART, A', 'HEWITT, D']","['STEWART A', 'HEWITT D']",['eng'],['Journal Article'],England,Mon Bull Minist Health Public Health Lab Serv,Monthly bulletin of the Ministry of Health and the Public Health Laboratory Service,7502630,,OM,"['*Brain Neoplasms', 'Child', 'Female', '*Fetus', 'Humans', 'Infant', 'Infant, Newborn', '*Kidney Neoplasms', '*Leukemia', '*Leukemia, Radiation-Induced', '*Lymphoma', '*Lymphoma, Non-Hodgkin', 'Neoplasms/*epidemiology/*etiology', '*Neuroblastoma', 'Pregnancy', '*Radiation Injuries', '*Research Report', 'United Kingdom']",['NLM'],"['*BRAIN NEOPLASMS', '*CHILD', '*FETUS', '*GREAT BRITAIN', '*INFANT', '*INFANT, NEWBORN', '*KIDNEY NEOPLASMS', '*LEUKEMIA, RADIATION-INDUCED', '*LYMPHOSARCOMA', '*NEOPLASM ETIOLOGY', '*NEOPLASM STATISTICS', '*NEUROBLASTOMA', '*PREGNANCY', '*RADIATION INJURY']",1963/11/01 00:00,1963/11/01 00:01,['1963/11/01 00:00'],"['1963/11/01 00:00 [pubmed]', '1963/11/01 00:01 [medline]', '1963/11/01 00:00 [entrez]']",ppublish,Mon Bull Minist Health Public Health Lab Serv. 1963 Nov;22:182-92.,,,,,,
14082051,NLM,MEDLINE,19961201,20181201,0022-2143 (Print) 0022-2143 (Linking),62,1963 Dec,COMPARATIVE ANALYSIS OF GLYCOPROTEIN FRACTIONS OF PLASMA AND LEUKEMIC LEUKOCYTES.,961-7,"['MAGALINI, S I', 'MASCIOLI, G']","['MAGALINI SI', 'MASCIOLI G']",['eng'],['Journal Article'],United States,J Lab Clin Med,The Journal of laboratory and clinical medicine,0375375,"['0 (Blood Proteins)', '0 (Glycoproteins)', '0 (Hexoses)']",OM,"['*Blood Chemical Analysis', '*Blood Platelets', '*Blood Proteins', '*Glycoproteins', '*Hexoses', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Leukemia, Myeloid', '*Leukocytes', '*Plasma']",['NLM'],"['*BLOOD CHEMICAL ANALYSIS', '*BLOOD PLATELETS', '*BLOOD PROTEINS', '*GLYCOPROTEINS', '*HEXOSES', '*LEUKEMIA', '*LEUKEMIA, LYMPHOCYTIC', '*LEUKEMIA, MYELOCYTIC', '*LEUKOCYTES']",1963/12/01 00:00,1963/12/01 00:01,['1963/12/01 00:00'],"['1963/12/01 00:00 [pubmed]', '1963/12/01 00:01 [medline]', '1963/12/01 00:00 [entrez]']",ppublish,J Lab Clin Med. 1963 Dec;62:961-7.,['0022-2143(63)90081-7 [pii]'],,,,,
14081675,NLM,MEDLINE,19961201,20181201,0007-5787 (Print) 0007-5787 (Linking),135,1963 Jul-Sep,"[HINTS ON CORTISONE THERAPY IN THE COURSE OF INFECTIOUS, RESPIRATORY, AND HEMATOLOGIC PATHOLOGIES].",277-80,"['CAMPANACCI, D']",['CAMPANACCI D'],['ita'],['Journal Article'],Italy,Bull Sci Med (Bologna),Bullettino delle scienze mediche,0372676,"['0 (Adrenal Cortex Hormones)', '9002-60-2 (Adrenocorticotropic Hormone)', 'V27W9254FZ (Cortisone)', 'VB0R961HZT (Prednisone)']",OM,"['*Adrenal Cortex Hormones', '*Adrenocorticotropic Hormone', '*Anemia', '*Anemia, Macrocytic', '*Cortisone', '*Leukemia', '*Prednisone', '*Purpura', '*Purpura, Thrombocytopenic', '*Tuberculosis', '*Tuberculosis, Pulmonary']",['NLM'],"['*ADRENAL CORTEX HORMONES', '*ANEMIA, MACROCYTIC', '*CORTICOTROPIN', '*LEUKEMIA', '*PREDNISONE', '*PURPURA, THROMBOPENIC', '*TUBERCULOSIS, PULMONARY']",1963/07/01 00:00,1963/07/01 00:01,['1963/07/01 00:00'],"['1963/07/01 00:00 [pubmed]', '1963/07/01 00:01 [medline]', '1963/07/01 00:00 [entrez]']",ppublish,Bull Sci Med (Bologna). 1963 Jul-Sep;135:277-80.,,"SPUNTI DI CORTISONOTERAPIA IN CORSO DI PATOLOGIA INFETTIVA, RESPIRATORIA, EMATOLOGICA.",,,,
14081511,NLM,MEDLINE,19961201,20190616,0077-8923 (Print) 0077-8923 (Linking),108,1963 Nov 4,NEOPLASIA OF BLOOD-FORMING TISSUE IN THE CAT.,691-701,"['HOLZWORTH, J']",['HOLZWORTH J'],['eng'],['Journal Article'],United States,Ann N Y Acad Sci,Annals of the New York Academy of Sciences,7506858,,OM,"['Animals', '*Cat Diseases', 'Cats', '*Hematopoietic System', 'Humans', '*Leukemia', '*Lymphoma', '*Lymphoma, Large B-Cell, Diffuse', '*Lymphoma, Non-Hodgkin', '*Neoplasms', '*Sarcoma']",['NLM'],"['*CAT DISEASES', '*HEMATOPOIETIC SYSTEM', '*LEUKEMIA', '*LYMPHOMA', '*SARCOMA, RETICULUM CELL']",1963/11/04 00:00,1963/11/04 00:01,['1963/11/04 00:00'],"['1963/11/04 00:00 [pubmed]', '1963/11/04 00:01 [medline]', '1963/11/04 00:00 [entrez]']",ppublish,Ann N Y Acad Sci. 1963 Nov 4;108:691-701. doi: 10.1111/j.1749-6632.1963.tb13415.x.,['10.1111/j.1749-6632.1963.tb13415.x [doi]'],,,,,
