PMID,OWN,STAT,DCOM,LR,IS,VI,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,RN,AB,PMC,IP,LID
13951035,NLM,MEDLINE,19981101,20181201,0015-556X (Print),7,1963 Apr,[Pregnancy and leukemia. The prognosis of offspring conceived during leukemia].,84-96,"['GUASCH, J']",['GUASCH J'],['ger'],['Journal Article'],Germany,Folia Haematol (Frankf),Folia haematologica; internationales Magazin fur Blutforschung,0140243,OM,"['*Family', 'Female', 'Humans', 'Infant', '*Infant Mortality', 'Infant, Newborn', '*Leukemia', 'Pregnancy', '*Pregnancy Complications', 'Prognosis']",['NLM'],"['*INFANT MORTALITY', '*INFANT, NEWBORN', '*LEUKEMIA', '*PREGNANCY COMPLICATIONS']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Folia Haematol (Frankf). 1963 Apr;7:84-96.,,,,,,
13951034,NLM,MEDLINE,19981101,20181201,0036-4355 (Print) 0036-4355 (Linking),7,1962,[Pregnancy and leukemia. The future of children conceived or born in the course of leukemia in the parents. I. 5 cases of associated leukemia and pregnancy].,148-61,"['GUASCH, J']",['GUASCH J'],['spa'],['Journal Article'],Spain,Sangre (Barc),Sangre,0404373,OM,"['*Abortion, Induced', 'Female', '*Fetal Death', 'Humans', 'Infant, Newborn', '*Infant, Newborn, Diseases', '*Leukemia', '*Parents', '*Parturition', 'Pregnancy', '*Pregnancy Complications']",['NLM'],"['*ABORTION', '*FETAL DEATH', '*INFANT, NEWBORN, DISEASES', '*PREGNANCY COMPLICATIONS']",1962/01/01 00:00,1962/01/01 00:01,['1962/01/01 00:00'],"['1962/01/01 00:00 [pubmed]', '1962/01/01 00:01 [medline]', '1962/01/01 00:00 [entrez]']",ppublish,Sangre (Barc). 1962;7:148-61.,,,,,,
13950911,NLM,MEDLINE,19981101,20190620,0008-543X (Print) 0008-543X (Linking),16,1963 Jan,Mycotic infections in leukemic patients at autopsy.,61-73,"['GRUHN, J G', 'SANSON, J']","['GRUHN JG', 'SANSON J']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,OM,"['*Autopsy', 'Humans', '*Leukemia', '*Mycoses']",['NLM'],"['*LEUKEMIA', '*MYCOSES']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Cancer. 1963 Jan;16:61-73. doi: 10.1002/1097-0142(196301)16:1<61::aid-cncr2820160109>3.0.co;2-z.,['10.1002/1097-0142(196301)16:1<61::aid-cncr2820160109>3.0.co;2-z [doi]'],,,,,
13950873,NLM,MEDLINE,19981101,20181201,0484-8632 (Print) 0484-8632 (Linking),8,1963,Contributions to the study of serum protein modifications in certain malignant hemopathies.,35-40,"['GROZEA, P', 'ZAMFIRESCU-CHEORGHIU, M', 'GOCIU, M', 'GEIB, R', 'SIGHETEA, E']","['GROZEA P', 'ZAMFIRESCU-CHEORGHIU M', 'GOCIU M', 'GEIB R', 'SIGHETEA E']",['eng'],['Journal Article'],Romania,Rev Sci Med,Revue des sciences medicales,0204314,OM,"['*Anemia', '*Anemia, Myelophthisic', '*Blood Proteins', 'Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', '*Lymphoma', '*Waldenstrom Macroglobulinemia']",['NLM'],"['*ANEMIA, MYELOPHTHISIC', '*BLOOD PROTEINS', '*LEUKEMIA, LYMPHOCYTIC', '*LYMPHOMA', '*MACROGLOBULINEMIA']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Rev Sci Med. 1963;8:35-40.,,['0 (Blood Proteins)'],,,,
13950783,NLM,MEDLINE,19981101,20181201,0012-1320 (Print) 0012-1320 (Linking),14,1963 Jun 5,[Pathology and clinical aspects of lymphocytopoiesis].,319-28,"['GROSS, R']",['GROSS R'],['ger'],['Journal Article'],Germany,Dtsch Med J,Deutsches medizinisches Journal,0420573,OM,"['Humans', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphocytes', '*Lymphocytosis', '*Lymphoma', '*Lymphoma, Non-Hodgkin']",['NLM'],"['*LEUKEMIA, LYMPHOCYTIC', '*LYMPHOCYTES', '*LYMPHOCYTOSIS', '*LYMPHOMA', '*LYMPHOSARCOMA']",1963/06/05 00:00,1963/06/05 00:01,['1963/06/05 00:00'],"['1963/06/05 00:00 [pubmed]', '1963/06/05 00:01 [medline]', '1963/06/05 00:00 [entrez]']",ppublish,Dtsch Med J. 1963 Jun 5;14:319-28.,,,,,,
13950773,NLM,MEDLINE,19981101,20200930,0037-9727 (Print) 0037-9727 (Linking),112,1963 Apr,Serial cell-free passage in rats of the mouse leukemia virus. Effect of thymectomy.,939-45,"['GROSS, L']",['GROSS L'],['eng'],['Journal Article'],United States,Proc Soc Exp Biol Med,"Proceedings of the Society for Experimental Biology and Medicine. Society for Experimental Biology and Medicine (New York, N.Y.)",7505892,OM,"['Animals', '*Leukemia', '*Leukemia Virus, Murine', '*Leukemia, Experimental', 'Mice', '*Oncogenic Viruses', 'Rats', '*Thymectomy', '*Thymus Gland']",['NLM'],"['*LEUKEMIA, EXPERIMENTAL', '*THYMUS GLAND', '*TUMOR VIRUSES']",1963/04/01 00:00,1963/04/01 00:01,['1963/04/01 00:00'],"['1963/04/01 00:00 [pubmed]', '1963/04/01 00:01 [medline]', '1963/04/01 00:00 [entrez]']",ppublish,Proc Soc Exp Biol Med. 1963 Apr;112:939-45. doi: 10.3181/00379727-112-28216.,['10.3181/00379727-112-28216 [doi]'],,,,,
13950772,NLM,MEDLINE,19981101,20181201,0001-5792 (Print) 0001-5792 (Linking),29,1963,Pathogenic potency and host range of the mouse leukemia virus.,1-15,"['GROSS, L']",['GROSS L'],['eng'],['Journal Article'],Switzerland,Acta Haematol,Acta haematologica,0141053,OM,"['Animals', '*Host Specificity', 'Humans', '*Leukemia', 'Mice', '*Viruses']",['NLM'],"['*ANIMAL VIRUSES', '*LEUKEMIA']",1963/01/01 00:00,1963/01/01 00:01,['1963/01/01 00:00'],"['1963/01/01 00:00 [pubmed]', '1963/01/01 00:01 [medline]', '1963/01/01 00:00 [entrez]']",ppublish,Acta Haematol. 1963;29:1-15. doi: 10.1159/000207320.,['10.1159/000207320 [doi]'],,,,,
13950470,NLM,MEDLINE,19981101,20190813,0003-9926 (Print) 0003-9926 (Linking),110,1962 Nov,Paper electrophoresis of serum proteins. Paper electrophoresis in some hematological diseases and in disseminated lupus erythematosus.,619-27,"['GRIGSBY, M E', 'BULLOCK, W H', 'FUERTES, M S']","['GRIGSBY ME', 'BULLOCK WH', 'FUERTES MS']",['eng'],['Journal Article'],United States,Arch Intern Med,Archives of internal medicine,0372440,OM,"['*Anemia', '*Anemia, Sickle Cell', '*Blood Protein Electrophoresis', '*Blood Proteins', '*Electrophoresis, Paper', '*Hematologic Diseases', '*Hemophilia A', '*Hodgkin Disease', 'Humans', '*Leukemia', '*Lupus Erythematosus, Systemic', '*Multiple Myeloma']",['NLM'],"['*ANEMIA, SICKLE CELL', '*BLOOD PROTEIN ELECTROPHORESIS', '*HEMOPHILIA', ""*HODGKIN'S DISEASE"", '*LEUKEMIA', '*LUPUS ERYTHEMATOSUS, SYSTEMIC', '*MULTIPLE MYELOMA']",1962/11/01 00:00,1962/11/01 00:01,['1962/11/01 00:00'],"['1962/11/01 00:00 [pubmed]', '1962/11/01 00:01 [medline]', '1962/11/01 00:00 [entrez]']",ppublish,Arch Intern Med. 1962 Nov;110:619-27. doi: 10.1001/archinte.1962.03620230065011.,['10.1001/archinte.1962.03620230065011 [doi]'],['0 (Blood Proteins)'],,,,
13950201,NLM,MEDLINE,19981101,20181201,0006-4971 (Print) 0006-4971 (Linking),21,1963 Jun,Immunologically specific antigens in leukemic tissues.,717-28,"['GREENSPAN, I', 'BROWN, E R', 'SCHWARTZ, S O']","['GREENSPAN I', 'BROWN ER', 'SCHWARTZ SO']",['eng'],['Journal Article'],United States,Blood,Blood,7603509,OM,"['*Antigens', '*Immune Sera', '*Leukemia', '*Tissue Extracts']",['NLM'],"['*ANTIGENS', '*IMMUNE SERUMS', '*LEUKEMIA', '*TISSUE EXTRACTS']",1963/06/01 00:00,1963/06/01 00:01,['1963/06/01 00:00'],"['1963/06/01 00:00 [pubmed]', '1963/06/01 00:01 [medline]', '1963/06/01 00:00 [entrez]']",ppublish,Blood. 1963 Jun;21:717-28.,,"['0 (Antigens)', '0 (Immune Sera)', '0 (Tissue Extracts)']",,,,
13950139,NLM,MEDLINE,19981101,20181201,0028-7628 (Print) 0028-7628 (Linking),62,1962 Dec 1,Histiomonocytic leukemia occurring in patient with Hodgkin's disease.,3817-21,"['GREENBERG, L H', 'COHEN, M']","['GREENBERG LH', 'COHEN M']",['eng'],['Journal Article'],United States,N Y State J Med,New York state journal of medicine,0401064,OM,"['*Hodgkin Disease', 'Humans', '*Leukemia']",['NLM'],"[""*HODGKIN'S DISEASE"", '*LEUKEMIA']",1962/12/01 00:00,1962/12/01 00:01,['1962/12/01 00:00'],"['1962/12/01 00:00 [pubmed]', '1962/12/01 00:01 [medline]', '1962/12/01 00:00 [entrez]']",ppublish,N Y State J Med. 1962 Dec 1;62:3817-21.,,,,,,
