PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,TT,RN,PMC,AB,PS,FPS
13632738,NLM,MEDLINE,20000701,20190618,0028-0836 (Print) 0028-0836 (Linking),183,4658,1959 Feb 7,Dose-response relationship in radiation leukaemia: the marking probit.,401-2,"['MEWISSEN, D J']",['MEWISSEN DJ'],['eng'],['Journal Article'],England,Nature,Nature,0410462,OM,"['Humans', 'Leukemia/*etiology', 'Radiation/*adverse effects']",['CLML: 5936:6569:307:457'],['NLM'],"['*LEUKEMIA/etiology and pathogenesis', '*RADIATIONS/injurious effects']",1959/02/07 00:00,1959/02/07 00:01,['1959/02/07 00:00'],"['1959/02/07 00:00 [pubmed]', '1959/02/07 00:01 [medline]', '1959/02/07 00:00 [entrez]']",['10.1038/183401b0 [doi]'],ppublish,Nature. 1959 Feb 7;183(4658):401-2. doi: 10.1038/183401b0.,,,,,,
13632118,NLM,MEDLINE,20000701,20181201,0024-7790 (Print) 0024-7790 (Linking),91,8,1959 Feb 22,[A case reticulo-histiocytoma].,351-2,"['ROUSSET, J', 'TERRIER, H', 'BERTHIER, L', 'PRUNIERAS, M']","['ROUSSET J', 'TERRIER H', 'BERTHIER L', 'PRUNIERAS M']",['fre'],"['Case Reports', 'Journal Article']",France,Lyon Med,Lyon medical,0335015,OM,"['*Genetic Diseases, X-Linked', '*Histiocytoma', '*Histiocytoma, Benign Fibrous', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Medical Records', '*Severe Combined Immunodeficiency', 'Synovial Membrane/*pathology', 'Tendons/*pathology']",['CLML: 5936:5949:469:522:525'],['NLM'],"['*RETICULOENDOTHELIOSIS/case reports', '*SYNOVIAL MEMBRANE/pathology', '*TENDONS/pathology']",1959/02/22 00:00,1959/02/22 00:01,['1959/02/22 00:00'],"['1959/02/22 00:00 [pubmed]', '1959/02/22 00:01 [medline]', '1959/02/22 00:00 [entrez]']",,ppublish,Lyon Med. 1959 Feb 22;91(8):351-2.,Un cas de reticulohistiocytome.,"['Reticuloendotheliosis, X-linked']",,,,
13631906,NLM,MEDLINE,20000701,20181201,0023-2149 (Print) 0023-2149 (Linking),37,1,1959 Jan,[Acute hemocytoblastosis with multiple thromboses].,117-21,"['ZAITSEV, V F', 'POKROVSKAIA, N N']","['ZAITSEV VF', 'POKROVSKAIA NN']",['rus'],"['Case Reports', 'Journal Article']",Russia (Federation),Klin Med (Mosk),Klinicheskaia meditsina,2985204R,OM,"['Humans', '*Leukemia', '*Medical Records', 'Thrombosis/*complications']",['CLML: 5936:5737:310:532'],['NLM'],"['*LEUKOSARCOMA/case reports', '*THROMBOSIS/complications']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,Klin Med (Mosk). 1959 Jan;37(1):117-21.,Ostryi gemotsitoblastoz s mnozhestvennymi trombozami.,,,,,
13631017,NLM,MEDLINE,20000701,20181201,0009-5443 (Print) 0009-5443 (Linking),34,1,1959 Jan,Reticulo-endotheliosis.,5-9,"['KUTUMBIAH, P']",['KUTUMBIAH P'],['eng'],['Journal Article'],India,J Christ Med Assoc India,The Journal of the Christian Medical Association of India,7507189,OM,"['*Genetic Diseases, X-Linked', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['CLML: 5936:4839:469'],['NLM'],['*RETICULOENDOTHELIOSIS'],1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,J Christ Med Assoc India. 1959 Jan;34(1):5-9.,,"['Reticuloendotheliosis, X-linked']",,,,
13629954,NLM,MEDLINE,20000701,20181201,0001-4036 (Print) 0001-4036 (Linking),248,8,1959 Feb 23,[Effect of weak doses (5 r) of x-ray administered at birth on leukemogenesis of AkR mice].,1248-9,"['RUDALI, G', 'REVERDY, J']","['RUDALI G', 'REVERDY J']",['fre'],['Journal Article'],France,C R Hebd Seances Acad Sci,Comptes rendus hebdomadaires des seances de l'Academie des sciences,7501108,OM,"['Animals', 'Female', 'Humans', '*Leukemia', '*Leukemia, Experimental', 'Mice', 'Mice, Inbred AKR', '*Parturition', 'X-Rays']",['CLML: 5936:3776:308:474'],['NLM'],"['*LEUKEMIA/experimental', '*ROENTGEN RAYS/effects']",1959/02/23 00:00,1959/02/23 00:01,['1959/02/23 00:00'],"['1959/02/23 00:00 [pubmed]', '1959/02/23 00:01 [medline]', '1959/02/23 00:00 [entrez]']",,ppublish,C R Hebd Seances Acad Sci. 1959 Feb 23;248(8):1248-9.,"Action sur la leucemogenese des souris AkR de tres faibles doses (5 r) de rayons X, recues a la naissance.",,,,,
13629865,NLM,MEDLINE,20000701,20181201,0366-6751 (Print) 0366-6751 (Linking),67,394,1959 Jan,[Current treatment of leukemia].,17-44 contd,"['ROMERO VELASCO, E']",['ROMERO VELASCO E'],['spa'],['Journal Article'],Spain,Clin Lab (Zaragoza),Clinica y laboratorio,16230410R,OM,"['Humans', 'Leukemia/*therapy']",['CLML: 5936:3687:308'],['NLM'],['*LEUKEMIA/therapy'],1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,Clin Lab (Zaragoza). 1959 Jan;67(394):17-44 contd.,Terapeutica actual de las leucemias.,,,,,
13629488,NLM,MEDLINE,20000701,20181201,0008-5472 (Print) 0008-5472 (Linking),19,2,1959 Feb,The leukemogenic action of 2-acetylamionphenanthrene in the rat.,210-6,"['HARTMANN, H A', 'MILLER, E C', 'MILLER, J A', 'MORRIS, F K']","['HARTMANN HA', 'MILLER EC', 'MILLER JA', 'MORRIS FK']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', 'Carcinogens/*pharmacology', '*Leukemia, Experimental', 'Phenanthrenes/analogs & derivatives', 'Rats']",['CLML: 5936:3309:108:308:410'],['NLM'],"['*CARCINOGENS/effects', '*LEUKEMIA/experimental', '*PHENANTHRENE/related compounds']",1959/02/01 00:00,1959/02/01 00:01,['1959/02/01 00:00'],"['1959/02/01 00:00 [pubmed]', '1959/02/01 00:01 [medline]', '1959/02/01 00:00 [entrez]']",,ppublish,Cancer Res. 1959 Feb;19(2):210-6.,,"['0 (Carcinogens)', '0 (Phenanthrenes)', '448J8E5BST (phenanthrene)']",,,,
13629480,NLM,MEDLINE,20000701,20181201,0008-5472 (Print) 0008-5472 (Linking),19,2,1959 Feb,Physicochemical characterization of deoxyribonucleic acids from human leukemic leukocytes.,159-64,"['POLLI, E E', 'ROSOFF, M', 'DI MAYORCA, G', 'CAVALIERI, L F']","['POLLI EE', 'ROSOFF M', 'DI MAYORCA G', 'CAVALIERI LF']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['DNA/*blood', 'Leukemia/*blood', '*Leukocytes']",['CLML: 5936:3301:159:307'],['NLM'],"['*DESOXYRIBONUCLEIC ACID/in blood', '*LEUKEMIA/blood in']",1959/02/01 00:00,1959/02/01 00:01,['1959/02/01 00:00'],"['1959/02/01 00:00 [pubmed]', '1959/02/01 00:01 [medline]', '1959/02/01 00:00 [entrez]']",,ppublish,Cancer Res. 1959 Feb;19(2):159-64.,,['9007-49-2 (DNA)'],,,,
13629479,NLM,MEDLINE,20000701,20181201,0008-5472 (Print) 0008-5472 (Linking),19,2,1959 Feb,Problems in the production of leukemia with cell-free extracts.,155-8,"['KASSEL, R', 'RATTINO, A']","['KASSEL R', 'RATTINO A']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental']",['CLML: 5936:3300:308'],['NLM'],['*LEUKEMIA/experimental'],1959/02/01 00:00,1959/02/01 00:01,['1959/02/01 00:00'],"['1959/02/01 00:00 [pubmed]', '1959/02/01 00:01 [medline]', '1959/02/01 00:00 [entrez]']",,ppublish,Cancer Res. 1959 Feb;19(2):155-8.,,,,,,
13629254,NLM,MEDLINE,20000701,20181201,0037-9042 (Print) 0037-9042 (Linking),41,1,1959,[Research on the active amino groups of proteins; application in the study of lymphoid and myeloid leukemias; behavior of bilirubin].,29-55,"['MONCHE, J']",['MONCHE J'],['fre'],['Journal Article'],France,Bull Soc Chim Biol (Paris),Bulletin de la Societe de chimie biologique,7503398,OM,"['Bilirubin/*pharmacology', '*Blood Proteins', 'Humans', '*Leukemia', 'Leukemia, Lymphoid/*blood', 'Leukemia, Myeloid/*blood']",['CLML: 5936:3075:74:86:308'],['NLM'],"['*BILIRUBIN/effects', '*BLOOD PROTEINS', '*LEUKEMIA, LYMPHATIC/blood in', '*LEUKEMIA, MYELOCYTIC/blood in']",1959/01/01 00:00,1959/01/01 00:01,['1959/01/01 00:00'],"['1959/01/01 00:00 [pubmed]', '1959/01/01 00:01 [medline]', '1959/01/01 00:00 [entrez]']",,ppublish,Bull Soc Chim Biol (Paris). 1959;41(1):29-55.,Recherches sur les groupements amino-actifs des proteines; leur application a l'etude des leucoses lymphoides et myeloides: comportement de la bilirubine.,"['0 (Blood Proteins)', 'RFM9X3LJ49 (Bilirubin)']",,,,
