PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,TT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,PMC,AB,AD,DEP,RF,GR
13255613,NLM,MEDLINE,20030501,20181201,0048-8364 (Print) 0048-8364 (Linking),9,4,1955 Jan,[A case of non-leukemic diffuse plasma cell reticulohistiocytosis].,421-44,"['MINISSALE, F', 'BATOLO, D']","['MINISSALE F', 'BATOLO D']",['ita'],['Journal Article'],Un caso di reticolo-istiocitosi diffusa plasmacellulare aleucemica.,Italy,Riv Anat Patol Oncol,Rivista di anatomia patologica e di oncologia,0404350,"['Reticuloendotheliosis, X-linked']",OM,"['*Genetic Diseases, X-Linked', '*Histiocytosis', 'Humans', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Plasma Cells', '*Severe Combined Immunodeficiency']",['CLML: 5629:7465'],['NLM'],['*RETICULOENDOTHELIOSIS'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Riv Anat Patol Oncol. 1955 Jan;9(4):421-44.,,,,,,,
13255452,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,The distribution of virus in the leukaemia cell of chicken erythroblastosis.,524-6,"['THORELL, B']",['THORELL B'],['eng'],['Journal Article'],,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Animals', '*Chickens', '*Leukemia, Experimental', '*Meat', '*Viruses']",['CLML: 5629:7304'],['NLM'],"['*LEUKEMIA/experimental', '*VIRUSES']",1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):524-6.,,,,,,,
13255451,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,Etiology of mouse leukaemia.,521-3,"['CONGDON, C C']",['CONGDON CC'],['eng'],['Journal Article'],,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', 'Mice']",['CLML: 5629:7303'],['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):521-3.,,,,,,,
13255450,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,The effect of explantation on the transplantability of leukaemic cells.,516-20,"['KIELER, J']",['KIELER J'],['eng'],['Journal Article'],,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Animals', '*Leukemia, Experimental', '*Transplants']",['CLML: 5629:7302'],['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):516-20.,,,,,,,
13255449,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,[Is mouse leukemia due to a virus? New experiments on transmission of leukemia in the mouse by filtered extract].,509-15,"['GROSS, L']",['GROSS L'],['fre'],['Journal Article'],La leucemie de la souris estelle due a un virus? Nouvelles experiences sur la transmission de la leucemie chez la souris par extrait filtre.,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Animals', '*Leukemia', '*Leukemia, Experimental', 'Mice']",['CLML: 5629:7301'],['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):509-15.,,,,,,,
13255448,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,[One of the aspects of the leukopenizing action of antileukemic chemotherapy studied by means of leukocyte resistance].,492-506,"['STORTI, E']",['STORTI E'],['fre'],['Journal Article'],Un des aspects de l'action leucopenisante de la chimiotherapie antileucemique etudiee au moyen de la resistance leucocytaire.,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Humans', 'Leukemia/*therapy', '*Leukocytes']",['CLML: 5629:7300'],['NLM'],['*LEUKEMIA/therapy'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):492-506.,,,,,,,
13255447,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,The treatment of childhood leukaemia.,487-91,"['PIERCE, M']",['PIERCE M'],['eng'],['Journal Article'],,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Child', 'Humans', 'Infant', '*Leukemia']",['CLML: 5629:7299'],['NLM'],['*LEUKEMIA/in infant and child'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):487-91.,,,,,,,
13255446,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,The mechanism of action of antileukemic drugs.,485-6,"['BURCHENAL, J H']",['BURCHENAL JH'],['eng'],['Journal Article'],,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Humans', 'Leukemia/*therapy']",['CLML: 5629:7298'],['NLM'],['*LEUKEMIA/therapy'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):485-6.,,,,,,,
13255445,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,Some aspects of the role of hematopoietic tissues in the pathogenesis and treatment of experimental leukaemia.,476-84,"['LORENZ, E K', 'CONGDON, C C']","['LORENZ EK', 'CONGDON CC']",['eng'],['Journal Article'],,France,Rev Hematol,Revue d'hematologie,20330240R,,OM,"['Animals', 'Humans', '*Leukemia, Experimental']",['CLML: 5629:7297'],['NLM'],['*LEUKEMIA/experimental'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):476-84.,,,,,,,
13255444,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,[Mode of action of antileukemic therapeutic agents].,473-5,"['MALLARME, J']",['MALLARME J'],['fre'],['Journal Article'],Mode d'action des therapeutiques antileucemiques.,France,Rev Hematol,Revue d'hematologie,20330240R,['0 (Antineoplastic Agents)'],OM,"['*Antineoplastic Agents', 'Humans', 'Leukemia/*therapy']",['CLML: 5629:7296'],['NLM'],['*LEUKEMIA/therapy'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):473-5.,,,,,,,
13255443,NLM,MEDLINE,20030501,20181201,0370-4386 (Print) 0370-4386 (Linking),10,2,1955,[Mode of action of chemotherapy of leukemia; the morphologic modifications induced by the antimitotics on normal and leukemic hemopoiesis; their biologic and clinical value].,463-72,"['INTROZZI, P']",['INTROZZI P'],['fre'],['Journal Article'],Le mode d'action de la chimiotherapie des leucemies; les modifications morphologiques provoquees par les antimitotiques sur l'hemopoiese normale et leucemique; leur valeur biologique et clinique.,France,Rev Hematol,Revue d'hematologie,20330240R,"['0 (Antimitotic Agents)', '0 (Biological Products)']",OM,"['*Antimitotic Agents', '*Biological Products', '*Hematopoiesis', 'Humans', 'Leukemia/*therapy']",['CLML: 5629:7295'],['NLM'],['*LEUKEMIA/therapy'],1955/01/01 00:00,1955/01/01 00:01,['1955/01/01 00:00'],"['1955/01/01 00:00 [pubmed]', '1955/01/01 00:01 [medline]', '1955/01/01 00:00 [entrez]']",ppublish,Rev Hematol. 1955;10(2):463-72.,,,,,,,
