PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,OID,OTO,OT,EDAT,MHDA,CRDT,PHST,PST,SO,AID,TT,PMC,AB,AD,CI,RF,GR,EIN,DEP,CN,CON,CIN,MID,SI,LID,UIN,UOF
13042824,NLM,MEDLINE,20030501,20181201,0008-5472 (Print) 0008-5472 (Linking),13,4-5,1953 Apr-May,The carbohydrate metabolism of leukocytes: a review.,309-17,"['BECK, W S', 'VALENTINE, W N']","['BECK WS', 'VALENTINE WN']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,['0 (Carbohydrates)'],OM,"['*Carbohydrate Metabolism', '*Carbohydrates', 'Humans', 'Leukemia/*blood', 'Leukocytes/*metabolism']",['CLML: 5324:13185:124:361:363'],['NLM'],"['*CARBOHYDRATES/metabolism', '*LEUKEMIA/blood in', '*LEUKOCYTES/metabolism']",1953/04/01 00:00,1953/04/01 00:01,['1953/04/01 00:00'],"['1953/04/01 00:00 [pubmed]', '1953/04/01 00:01 [medline]', '1953/04/01 00:00 [entrez]']",ppublish,Cancer Res. 1953 Apr-May;13(4-5):309-17.,,,,,,,,,,,,,,,,,,
13042816,NLM,MEDLINE,20030501,20181201,0008-5472 (Print) 0008-5472 (Linking),13,3,1953 Mar,Synergistic action of leukemogenic agents.,262-8,"['KIRSCHBAUM, A', 'SHAPIRO, J R', 'MIXER, H W']","['KIRSCHBAUM A', 'SHAPIRO JR', 'MIXER HW']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,"['0 (Estrogens)', '56-49-5 (Methylcholanthrene)']",OM,"['Animals', 'Estrogens/*toxicity', '*Leukemia, Experimental', '*Lymphoma', '*Lymphoma, Non-Hodgkin', 'Methylcholanthrene/*pharmacology', 'X-Rays/adverse effects']",['CLML: 5324:13177:235:361:383:402:581'],['NLM'],"['*ESTROGENS/toxicity', '*LEUKEMIA/experimental', '*LYMPHOSARCOMA/experimental', '*METHYLCHOLANTHRENE/effects', '*ROENTGEN RAYS/injurious effects']",1953/03/01 00:00,1953/03/01 00:01,['1953/03/01 00:00'],"['1953/03/01 00:00 [pubmed]', '1953/03/01 00:01 [medline]', '1953/03/01 00:00 [entrez]']",ppublish,Cancer Res. 1953 Mar;13(3):262-8.,,,,,,,,,,,,,,,,,,
13042802,NLM,MEDLINE,20030501,20181201,0008-5472 (Print) 0008-5472 (Linking),13,2,1953 Feb,"The combined effects of cortisone and roentgen radiation upon natural and induced resistance to homoiotransplantation of mouse leukemia, line Ib.",158-64,"['WERDER, A A', 'FRIEDMAN, J', 'MACDOWELL, E C', 'SYVERTON, J T']","['WERDER AA', 'FRIEDMAN J', 'MACDOWELL EC', 'SYVERTON JT']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,['V27W9254FZ (Cortisone)'],OM,"['Animals', 'Cortisone/*pharmacology', '*Leukemia', '*Leukemia, Experimental', '*Radiation', '*Research', 'X-Rays']",['CLML: 5324:13163:168:361:580'],['NLM'],"['*CORTISONE/effects', '*LEUKEMIA/experimental', '*ROENTGEN RAYS/effects']",1953/02/01 00:00,1953/02/01 00:01,['1953/02/01 00:00'],"['1953/02/01 00:00 [pubmed]', '1953/02/01 00:01 [medline]', '1953/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1953 Feb;13(2):158-64.,,,,,,,,,,,,,,,,,,
13042796,NLM,MEDLINE,20030501,20210102,0008-5472 (Print) 0008-5472 (Linking),13,2,1953 Feb,Growth characteristics of free C1498 granulocytic leukemia tumor cells in the peritoneal fluid and the blood of C57 mice.,125-9,"['GOLDIE, H', 'BUTLER, C H', 'ANDERSON, M M', 'MAXWELL, M C', 'HAHN, P F']","['GOLDIE H', 'BUTLER CH', 'ANDERSON MM', 'MAXWELL MC', 'HAHN PF']",['eng'],['Journal Article'],United States,Cancer Res,Cancer research,2984705R,,OM,"['Animals', '*Ascitic Fluid', '*Leukemia, Experimental', '*Leukemia, Myeloid', 'Mice']",['CLML: 5324:13157:361'],['NLM'],['*LEUKEMIA/experimental'],1953/02/01 00:00,1953/02/01 00:01,['1953/02/01 00:00'],"['1953/02/01 00:00 [pubmed]', '1953/02/01 00:01 [medline]', '1953/02/01 00:00 [entrez]']",ppublish,Cancer Res. 1953 Feb;13(2):125-9.,,,,,,,,,,,,,,,,,,
13042782,NLM,MEDLINE,20030501,20210103,0008-543X (Print) 0008-543X (Linking),6,3,1953 May,"Remissions in leukemia of childhood following acute infectious disease: staphylococcus and streptococcus, varicella, and feline panleukopenia.",591-605,"['BIERMAN, H R', 'CRILE, D M', 'DOD, K S', 'KELLY, K H', 'PETRAKIS, N L', 'WHITE, L P', 'SHIMKIN, M B']","['BIERMAN HR', 'CRILE DM', 'DOD KS', 'KELLY KH', 'PETRAKIS NL', 'WHITE LP', 'SHIMKIN MB']",['eng'],['Journal Article'],United States,Cancer,Cancer,0374236,,OM,"['Animals', 'Cats', '*Chickenpox', 'Child/pathogenicity', '*Feline Panleukopenia', 'Infant/pathogenicity', '*Leukemia', '*Leukemia, Lymphoid', '*Lymphatic Vessels', 'Micrococcus/*pathogenicity', '*Neoplasms', '*Staphylococcus', '*Streptococcus', '*Virus Diseases']",['CLML: 5324:13143:142:362:403:697'],['NLM'],"['*CHICKENPOX', '*LEUKEMIA, LYMPHATIC/in infant and child', '*MICROCOCCAL INFECTIONS/in infant and child', '*VIRUS DISEASES']",1953/05/01 00:00,1953/05/01 00:01,['1953/05/01 00:00'],"['1953/05/01 00:00 [pubmed]', '1953/05/01 00:01 [medline]', '1953/05/01 00:00 [entrez]']",ppublish,Cancer. 1953 May;6(3):591-605. doi: 10.1002/1097-0142(195305)6:3<591::aid-cncr2820060317>3.0.co;2-m.,['10.1002/1097-0142(195305)6:3<591::aid-cncr2820060317>3.0.co;2-m [doi]'],,,,,,,,,,,,,,,,,
13042609,NLM,MEDLINE,20030501,20181201,0366-1334 (Print) 0366-1334 (Linking),68,34-66,1952 Dec 5-19,[Acute reticuloendotheliosis in children].,1283-8,"['CLEMENT, R', 'DUPERRAT, B', 'GERBEAUX, J', 'COMBES-HAMELLE, A', 'BOUVEAU, G']","['CLEMENT R', 'DUPERRAT B', 'GERBEAUX J', 'COMBES-HAMELLE A', 'BOUVEAU G']",['und'],['Journal Article'],France,Bull Mem Soc Med Hop Paris,Bulletins et memoires de la Societe medicale des hopitaux de Paris,7503472,"['Reticuloendotheliosis, X-linked']",OM,"['Child', '*Genetic Diseases, X-Linked', 'Infant', '*Leukemia, Hairy Cell', '*Lymphatic Diseases', '*Severe Combined Immunodeficiency']",['CLML: 5324:12970:573'],['NLM'],['*RETICULOENDOTHELIOSIS/in infant and child'],1952/12/05 00:00,1952/12/05 00:01,['1952/12/05 00:00'],"['1952/12/05 00:00 [pubmed]', '1952/12/05 00:01 [medline]', '1952/12/05 00:00 [entrez]']",ppublish,Bull Mem Soc Med Hop Paris. 1952 Dec 5-19;68(34-66):1283-8.,,Reticulo-endothelioses aigues de l'enfant.,,,,,,,,,,,,,,,,
13042143,NLM,MEDLINE,20030501,20190501,0007-1447 (Print) 0007-1447 (Linking),1,4819,1953 May 16,Sezary's reticulosis with exfoliative dermatitis.,1087-9,"['WILSON, H T H', 'FIELDING, J']","['WILSON HT', 'FIELDING J']","['eng', 'und']",['Journal Article'],England,Br Med J,British medical journal,0372673,,OM,"['*Dermatitis, Exfoliative', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Lymphoma']",['CLML: 5324:12482:186:362:383'],['NLM'],"['*DERMATITIS EXFOLIATIVA', '*LEUKEMIA, MONOCYTIC', '*LYMPHOMA']",1953/05/16 00:00,1953/05/16 00:01,['1953/05/16 00:00'],"['1953/05/16 00:00 [pubmed]', '1953/05/16 00:01 [medline]', '1953/05/16 00:00 [entrez]']",ppublish,Br Med J. 1953 May 16;1(4819):1087-9. doi: 10.1136/bmj.1.4819.1087.,['10.1136/bmj.1.4819.1087 [doi]'],,PMC2016457,,,,,,,,,,,,,,,
13041513,NLM,MEDLINE,20030501,20181201,0004-0142 (Print) 0004-0142 (Linking),30,5,1952,[Experimental lymphatic leukemia in the mouse].,330-8,"['AVEZZU, G', 'TOMATIS, G']","['AVEZZU G', 'TOMATIS G']",['und'],['Journal Article'],Italy,Arch Patol Clin Med,Archivio di patologia e clinica medica,0372450,"['0 (Benz(a)Anthracenes)', '0 (Proteins)', 'C5PLF6152K (benz(a)anthracene)']",OM,"['Animals', 'Benz(a)Anthracenes/*pharmacology', '*Leukemia', '*Leukemia, Experimental', '*Leukemia, Lymphoid', '*Lymphatic Vessels', 'Mice', '*Proteins']",['CLML: 5324:11852:81:362:530'],['NLM'],"['*BENZANTHRACENES/effects', '*LEUKEMIA, LYMPHATIC/experimental', '*PROTEINS']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Arch Patol Clin Med. 1952;30(5):330-8.,,Leucemia linfatica sperimentale nel topino.,,,,,,,,,,,,,,,,
13041498,NLM,MEDLINE,20030501,20181201,0004-0274 (Print) 0004-0274 (Linking),15,6,1952,[Adenocytograms in acute lymphatic leukemia in childhood].,397-427,"['STEGAGNO, G']",['STEGAGNO G'],['und'],['Journal Article'],Italy,Arch Ital Pediatr Pueric,Archivio italiano di pediatria e puericoltura,0372446,,OM,"['Child', 'Humans', 'Infant', '*Leukemia', '*Leukemia, Lymphoid', 'Lymph Nodes/*pathology', '*Lymphatic Vessels']",['CLML: 5324:11837:362:381'],['NLM'],"['*LEUKEMIA, LYMPHATIC/in infant and child', '*LYMPH NODES/pathology']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Arch Ital Pediatr Pueric. 1952;15(6):397-427.,,L'adenocitogramma nella leucemia linfatica acuta dell'infanzia.,,,,,,,,,,,,,,,,
13040628,NLM,MEDLINE,20030501,20190627,0002-9610 (Print) 0002-9610 (Linking),85,5,1953 May,Unrecognized leukemia simulating apparent surgical conditions.,669-72,"['SCHOTTENFELD, L E', 'DIAMOND, D']","['SCHOTTENFELD LE', 'DIAMOND D']",['eng'],['Journal Article'],United States,Am J Surg,American journal of surgery,0370473,,OM,"['*Abdomen', 'Abdomen, Acute/*diagnosis', '*Abdominal Cavity', '*Diagnosis, Differential', 'Leukemia/*diagnosis']",['CLML: 5324:10915:2:361'],['NLM'],"['*ABDOMEN, ACUTE/differential diagnosis', '*LEUKEMIA/differential diagnosis']",1953/05/01 00:00,1953/05/01 00:01,['1953/05/01 00:00'],"['1953/05/01 00:00 [pubmed]', '1953/05/01 00:01 [medline]', '1953/05/01 00:00 [entrez]']",ppublish,Am J Surg. 1953 May;85(5):669-72. doi: 10.1016/0002-9610(53)90331-6.,"['0002-9610(53)90331-6 [pii]', '10.1016/0002-9610(53)90331-6 [doi]']",,,,,,,,,,,,,,,,,
13040487,NLM,MEDLINE,20030501,20181201,0002-9440 (Print) 0002-9440 (Linking),29,3,1953 May-Jun,Panmyelosis and chronic granulocytic leukemia.,413-49,"['BLACK-SCHAFFER, B', 'STODDARD, L D']","['BLACK-SCHAFFER B', 'STODDARD LD']",['eng'],['Journal Article'],United States,Am J Pathol,The American journal of pathology,0370502,,OM,"['Humans', '*Leukemia', '*Leukemia, Myelogenous, Chronic, BCR-ABL Positive', '*Leukemia, Myeloid']",['CLML: 5324:10774:362'],['NLM'],"['*LEUKEMIA, MYELOCYTIC']",1953/05/01 00:00,1953/05/01 00:01,['1953/05/01 00:00'],"['1953/05/01 00:00 [pubmed]', '1953/05/01 00:01 [medline]', '1953/05/01 00:00 [entrez]']",ppublish,Am J Pathol. 1953 May-Jun;29(3):413-49.,,,PMC1937444,,,,,,,,,,,,,,,
13040235,NLM,MEDLINE,20030501,20181201,0376-0200 (Print) 0376-0200 (Linking),153,3-4,1952,[Eye changes in myeloid leukemia of the skin].,312-20,"['BRAND, I', 'KADAS, L']","['BRAND I', 'KADAS L']",['und'],['Journal Article'],Germany,Albrecht Von Graefes Arch Ophthalmol,Albrecht von Graefe's Archiv fur Ophthalmologie,0061573,,OM,"['*Eye', 'Humans', '*Leukemia', '*Leukemia, Myeloid', '*Skin']",['CLML: 5324:10522:240:362'],['NLM'],"['*EYE', '*LEUKEMIA, MYELOCYTIC/manifestations']",1952/01/01 00:00,1952/01/01 00:01,['1952/01/01 00:00'],"['1952/01/01 00:00 [pubmed]', '1952/01/01 00:01 [medline]', '1952/01/01 00:00 [entrez]']",ppublish,Albrecht Von Graefes Arch Ophthalmol. 1952;153(3-4):312-20.,,Augenveranderungen bei myeloischer Hautleukamie.,,,,,,,,,,,,,,,,
