PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,PST,SO,CI,AID,DEP,LID,GR,RF,CN,CIN,CON,TT,EIN,PMC,CRF,SI,OID,OTO,OT,GN,CRI
12905636,NLM,MEDLINE,20040406,20081121,1000-503X (Print) 1000-503X (Linking),24,3,2002 Jun,[The role of p53 binding site on the trans binding of p53 to Hsp90 beta gene].,285-8,"OBJECTIVE: To investigate the effect of p53 binding site (+31/+60) of hsp90 beta gene on its transcriptional regulation. METHODS: The binding site was first inserted into pBS-SK. After the plasmid annealing and elongation with mutagenic and selective primers, nuclease digestion and bacteria transformation was performed twice to select the positive mutated plasmid. Electrophoretic mobility shift assays (EMSA) was employed to detect the binding of hsp90 beta gene fragment containing mutated p53 binding site and Jurkat cell nuclear extract transfected by p53 expression vector. RESULTS: The sequence analysis profile confirmed a successful mutation of two bases on the core sequence of the second half binding site. EMSA results showed the specific DNA-protein complex band disappeared after the mutation. CONCLUSIONS: The core sequence of p53 binding site plays a key role in the trans binding of p53 to hsp90 beta gene.","['Chen, Li-ling', 'Wu, Ning-hua', 'Shen, Yu-fei', 'Guan, Xin-min']","['Chen LL', 'Wu NH', 'Shen YF', 'Guan XM']","['National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, CAMS and PUMC, Beijing 100005, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,8006230,"['0 (HSP90 Heat-Shock Proteins)', '0 (Tumor Suppressor Protein p53)']",IM,"['Binding Sites', 'HSP90 Heat-Shock Proteins/*genetics', 'Humans', 'Leukemia, T-Cell/*pathology', 'Mutagenesis, Site-Directed', 'Mutation', 'Transcription, Genetic', 'Transcriptional Activation', 'Tumor Suppressor Protein p53/*genetics/metabolism']",2003/08/09 05:00,2004/04/07 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2004/04/07 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2002 Jun;24(3):285-8.,,,,,,,,,,,,,,,,,,,
12905632,NLM,MEDLINE,20040406,20061115,1000-503X (Print) 1000-503X (Linking),24,3,2002 Jun,[Cloning cDNA encoding for GAGA-like element binding proteins in human Jurkat cells].,269-71,"OBJECTIVE: To explore GAGA-like element binding protein in human cells. METHODS: Yeast one-hybrid system was used to screen the GAGA-like element binding proteins in HTLV-1 transformed Jurkat cell cDNA fusion library. Total RNA extracted from Jurkat cells was first labeled by reverse transcription, and was taken as cDNA probe to hybridize with the candidate positive clones. RESULTS: 9 positive clones were obtained, and 6 out of the 9 clones were positively hybridized with the cDNA probe. CONCLUSIONS: 6 candidate clones encoding for GAGA-like element binding proteins were obtained from Jurkat cells for further investigation.","['Mo, Zhi-cheng', 'Lu, Yu', 'Gao, Chao', 'Wu, Ning-hua', 'Shen, Yu-fei']","['Mo ZC', 'Lu Y', 'Gao C', 'Wu NH', 'Shen YF']","['National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, CAMS and PUMC, Beijing 100005, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,8006230,"['0 (Carrier Proteins)', '0 (DNA, Complementary)', '0 (DNA-Binding Proteins)', '0 (Drosophila Proteins)', '0 (HSP90 Heat-Shock Proteins)', '0 (Homeodomain Proteins)', '0 (Transcription Factors)', '0 (Trl protein, Drosophila)']",IM,"['Carrier Proteins/biosynthesis/*genetics', 'Cloning, Molecular', 'DNA, Complementary/genetics', '*DNA-Binding Proteins', '*Drosophila Proteins', 'HSP90 Heat-Shock Proteins/*biosynthesis/genetics', 'Homeodomain Proteins/*genetics', 'Human T-lymphotropic virus 1/genetics', 'Humans', 'Jurkat Cells', 'Leukemia, T-Cell/*metabolism/pathology', 'Transcription Factors/*genetics', 'Two-Hybrid System Techniques']",2003/08/09 05:00,2004/04/07 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2004/04/07 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2002 Jun;24(3):269-71.,,,,,,,,,,,,,,,,,,,
12905631,NLM,MEDLINE,20040406,20121115,1000-503X (Print) 1000-503X (Linking),24,3,2002 Jun,[Heat shock activated Rac-MEKK-JNK pathway and hsp90 beta gene expression].,264-8,"OBJECTIVE: To study the effect of Rac-MEKK-JNK (Rac-mitogen activated protein kinase kinase kinase-C-jun N-terminal protein kinase) signal pathway on heat shock-induced hsp90 beta gene expression and the impact of Hsp90 on the regulation of the pathway. METHODS: DN-Rac, DN-MEKK or DN-JNK were cotransfected with hsp90 beta CAT reporter plasmid beta 3.1 into Jurkat or LETPa-2 cells individually, the CAT mRNA expression was then determined quantitatively by competitive RT-PCR based system. Western blot was carried out to detect the expression level and phosphorylation of c-Jun in Jurkat and LETPa-2 cells that were transfected with DN-Rac, DN-MEKK or DN-JNK. By in vitro kinase activity assay and Western blot, the effect of geldnamycin (GA) on heat induced JNK activity were evaluated. RESULTS: In Jurkat cell transfected with DN-Rac, DN-MEKK or DN-JNK, heat shock induced relative CAT mRNA expression level was decreased to (72.8 +/- 5)%, (60 +/- 13.2)% and (47.7 +/- 12.1)% of the control respectively; while in LETPa-2 cell hsp90 beta 3.1 reporter gene expression was accordingly suppressed to (16.17 +/- 5.1)%, (50.2 +/- 8.7)% and (47.5 +/- 10)% of control. C-Jun expression and phosphorylation were inhibited by the transfection of either one of DN-Rac, DN-MEKK or DN-JNK. With GA treatment, heat shock induced JNK activity was repressed, while the expression level of JNK or c-Jun was not obviously changed. CONCLUSIONS: Rac-MEKK-JNK pathway promotes heat shock induced hsp90 beta gene expression and hsp90 may participate in the regulation of heat shock activated Rac-MEKK-JNK signal pathway in both Jurkat and LETPa-2 cells.","['Li, Xiao-yan', 'Lu, Cheng', 'Wu, Ning-hua', 'Shen, Yu-fei']","['Li XY', 'Lu C', 'Wu NH', 'Shen YF']","['National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, CAMS and PUMC, Beijing 100005, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,8006230,"['0 (Benzoquinones)', '0 (HSP90 Heat-Shock Proteins)', '0 (Lactams, Macrocyclic)', '0 (Quinones)', 'EC 2.7.11.13 (Protein Kinase C)', 'EC 2.7.11.24 (JNK Mitogen-Activated Protein Kinases)', 'EC 2.7.11.24 (Mitogen-Activated Protein Kinases)', 'EC 2.7.12.2 (Mitogen-Activated Protein Kinase Kinases)', 'Z3K3VJ16KU (geldanamycin)']",IM,"['Benzoquinones', 'Cell Line, Tumor', 'Genes, Reporter', 'HSP90 Heat-Shock Proteins/*biosynthesis/genetics', 'Hot Temperature', 'Humans', 'JNK Mitogen-Activated Protein Kinases', 'Lactams, Macrocyclic', 'Leukemia, T-Cell/pathology', 'Mitogen-Activated Protein Kinase Kinases/*physiology', 'Mitogen-Activated Protein Kinases/*physiology', 'Protein Kinase C/physiology', 'Quinones/pharmacology', '*Signal Transduction', 'Transfection']",2003/08/09 05:00,2004/04/07 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2004/04/07 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2002 Jun;24(3):264-8.,,,,,,,,,,,,,,,,,,,
12905625,NLM,MEDLINE,20040406,20061115,1000-503X (Print) 1000-503X (Linking),24,3,2002 Jun,[Differential expression of the genes in leukemia cell apoptosis induced by TRAIL].,238-41,"OBJECTIVE: To identify the genes differentially expressed in leukemia cell apoptosis induced by recombinant soluble tumor necrosis factor-related apoptosis inducing ligand (rsTRAIL). METHODS: Suppression subtractive hybridization (SSH) and polymerase chain reaction (PCR) were used for the cloning and identification of the genes differentially expressed in the apoptotic Jurkat cells induced by TRAIL. Slot blot and Northern blot were used for the expression pattern analysis of the genes. Automatic DNA sequencing was used for DNA sequence analysis. RESULTS: Six cDNA fragments differentially expressed in the Jurkat leukemia cells treated with TRAIL were found, in which four were inhibited and two were activated during the Jurkat cell apoptosis treated with TRAIL. Among which the five genes of A14, X1, D1, A23 and C5 were found at the first time by DNA sequencing and GeneBank database searching. So that they were registered in GeneBank as AW731601, AW731602, AW731603, AW731604 and BE239235, respectively. It was found that the gene D1 was expressed higher in Jurkat leukemia cells and MCF-7 breast cancer cells than that in K562 leukemia, 825 gastric cancer and 7721 liver cancer cells. CONCLUSIONS: Five novel cDNA fragments were found, and among which D1 might be a tumor specific gene.","['Liu, Yan-xin', 'Hu, Huan-kai', 'Zheng, De-xian']","['Liu YX', 'Hu HK', 'Zheng DX']","['National Laboratory of Medical Molecular Biology, Institute of Basic Medical Sciences, CAMS and PUMC, Beijing 100005, China.']",['chi'],"['English Abstract', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",China,Zhongguo Yi Xue Ke Xue Yuan Xue Bao,Zhongguo yi xue ke xue yuan xue bao. Acta Academiae Medicinae Sinicae,8006230,"['0 (Antineoplastic Agents)', '0 (Apoptosis Regulatory Proteins)', '0 (Ligands)', '0 (Membrane Glycoproteins)', '0 (TNF-Related Apoptosis-Inducing Ligand)', '0 (TNFSF10 protein, human)', '0 (Tumor Necrosis Factor-alpha)']",IM,"['Antineoplastic Agents/pharmacology', 'Apoptosis/drug effects/*genetics', 'Apoptosis Regulatory Proteins', 'Gene Expression Profiling', 'Gene Expression Regulation, Neoplastic', 'Humans', 'Leukemia, T-Cell/genetics/*pathology', 'Ligands', 'Membrane Glycoproteins/*pharmacology', 'Polymerase Chain Reaction', 'TNF-Related Apoptosis-Inducing Ligand', 'Tumor Cells, Cultured', 'Tumor Necrosis Factor-alpha/*pharmacology']",2003/08/09 05:00,2004/04/07 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2004/04/07 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Zhongguo Yi Xue Ke Xue Yuan Xue Bao. 2002 Jun;24(3):238-41.,,,,,,,,,,,,,,,,,,,
12905527,NLM,MEDLINE,20040511,20061115,0886-1544 (Print) 0886-1544 (Linking),56,1,2003 Sep,"Wild type p53 gene causes reorganization of cytoskeleton and, therefore, the impaired deformability and difficult migration of murine erythroleukemia cells.",1-12,"We studied the role of p53 gene in the biophysics and biology in murine erythroleukemia cell line (MEL), with the goal of understanding the influence of this tumor suppressor gene on the deformability and metastasis of tumor cells. Experiments were performed on MEL and p53-transfected MEL (MEL-M with mutant p53 gene and MEL-W with wild-type p53 gene). The cell growth curves indicated that the over-expression of wild-type p53 gene significantly suppressed the growth of MEL, with G(0)-G(1) arrest and apoptosis shown by flow cytometric assays. Confocal laser scanning microscopy revealed that the MEL-W had a more compact organization of the F-Actin cytoskeleton than MEL and MEL-M. Fluorescence polarization measurement indicated a higher membrane fluidity of MEL-W than the other two groups. Fourier transform infrared spectroscopy (FT-IR) showed changes in the composition and/or structure of membrane lipids in MEL-W, with decreases in secondary structures of proteins such as alpha-helix, turns and bends and random coil, in comparison to MEL and MEL-M. The osmotic fragility curves indicated that MEL-W was more fragile and micropipette experiments showed that they had increased elasticity and reduced deformability in comparison to MEL and MEL-M. The adhesion assay with the use of the flow chamber revealed a lower adhesion rate of MEL-W to endothelial cells at high shear stress. The present study on the molecular biology with biophysics of MEL cells contributes to our knowledge on the tumor suppressor gene p53.","['Yao, Weijuan', 'Gu, Li', 'Sun, Dagong', 'Ka, Weibo', 'Wen, Zongyao', 'Chien, Shu']","['Yao W', 'Gu L', 'Sun D', 'Ka W', 'Wen Z', 'Chien S']","['School of Basic Medical Sciences, Peking University, Beijing, Peoples Republic of China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cell Motil Cytoskeleton,Cell motility and the cytoskeleton,8605339,['0 (Actins)'],IM,"['Actins/analysis/metabolism', 'Animals', 'Apoptosis/physiology', 'Blotting, Western', 'Cell Adhesion/physiology', 'Cell Cycle/physiology', 'Cell Division/physiology', 'Cell Line, Tumor', 'Cell Movement/*physiology', 'Cytoskeleton/*physiology', 'Elasticity', 'Endothelial Cells/physiology', 'Flow Cytometry', 'Fluorescence Polarization', 'Genes, p53/genetics/*physiology', 'Humans', 'Leukemia, Erythroblastic, Acute/pathology', 'Membrane Fluidity/physiology', 'Mice', 'Microscopy, Confocal', 'Mutation', 'Osmotic Fragility/physiology', 'Spectroscopy, Fourier Transform Infrared', 'Transfection']",2003/08/09 05:00,2004/05/12 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2004/05/12 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Cell Motil Cytoskeleton. 2003 Sep;56(1):1-12. doi: 10.1002/cm.10129.,"['Copyright 2003 Wiley-Liss, Inc.']",['10.1002/cm.10129 [doi]'],,,,,,,,,,,,,,,,,
12905034,NLM,MEDLINE,20040614,20181113,0031-6768 (Print) 0031-6768 (Linking),447,2,2003 Nov,Effect of dexamethasone on voltage-gated K+ channels in Jurkat T-lymphocytes.,168-74,"The voltage-gated K+ channel Kv1.3 is an important regulator of lymphocyte function. Activation of lymphocytes is accompanied by stimulation, whereas CD95-induced apoptosis by inhibition, of Kv1.3. The channel serves to maintain cell membrane potential, a prerequisite for signalling through the Ca2+ release-activated Ca2+ channel I(CRAC). As glucocorticoids are known to regulate lymphocyte function, the present study addressed the effect of dexamethasone on voltage-gated K+ channels in Jurkat T-lymphocytes. In whole-cell patch-clamp experiments current families evoked by 200-ms potential steps every 15 s from -70 mV to values from -120 to +100 mV revealed the functional expression of voltage-gated K+ channels. Pre-treatment of Jurkat T-lymphocytes for 2-3 h with 1 microM dexamethasone led to a significant decrease of voltage-gated K+ currents. Fura-2-fluorescence measurements showed that the readdition of Ca2+ to Ca(2+)-depleted cells led to a rapid increase of cytosolic Ca2+ activity. This increase of Ca2+ activity was blunted by both the K+ channel blocker margatoxin (10 nM) and 24 h pre-treatment with dexamethasone (1 microM). In conclusion, dexamethasone inhibits voltage-gated K+ channels in Jurkat T-lymphocytes, an effect impeding Ca2+ entry through I(CRAC).","['Lampert, Angelika', 'Muller, Matthias M', 'Berchtold, Susanne', 'Lang, Karl S', 'Palmada, Monica', 'Dobrovinskaya, Oxana', 'Lang, Florian']","['Lampert A', 'Muller MM', 'Berchtold S', 'Lang KS', 'Palmada M', 'Dobrovinskaya O', 'Lang F']","['Physiologisches Institut, Universitat Tubingen, Gmelinstrasse 5, 72076 Tubingen, Germany.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Pflugers Arch,Pflugers Archiv : European journal of physiology,0154720,"['0 (Calcium Channel Blockers)', '0 (Glucocorticoids)', '0 (Potassium Channels, Voltage-Gated)', '7S5I7G3JQL (Dexamethasone)', 'SY7Q814VUP (Calcium)']",IM,"['Apoptosis/drug effects', 'Calcium/deficiency/metabolism', 'Calcium Channel Blockers/pharmacology', 'Dexamethasone/*pharmacology', 'Glucocorticoids/*pharmacology', 'Humans', 'Jurkat Cells/*metabolism', 'Leukemia, T-Cell/*metabolism/physiopathology', 'Patch-Clamp Techniques', 'Potassium Channels, Voltage-Gated/*antagonists & inhibitors']",2003/08/09 05:00,2004/06/15 05:00,['2003/08/09 05:00'],"['2003/01/07 00:00 [received]', '2003/05/15 00:00 [revised]', '2003/07/07 00:00 [accepted]', '2003/08/09 05:00 [pubmed]', '2004/06/15 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Pflugers Arch. 2003 Nov;447(2):168-74. doi: 10.1007/s00424-003-1148-2. Epub 2003 Aug 2.,,['10.1007/s00424-003-1148-2 [doi]'],20030802,,,,,,,,,,,,,,,,
12904901,NLM,MEDLINE,20031223,20071115,0939-5555 (Print) 0939-5555 (Linking),82,11,2003 Nov,Subtotal splenectomy for the treatment of chronic lymphocytic leukemia.,708-9,"Although splenectomy is helpful in the management of selected patients with chronic lymphocytic leukemia (CLL), in most cases this procedure is accompanied by a greater morbidity and mortality, mainly due to sepsis. Thus, it may be proposed that a conservative procedure that reduces the spleen size may have an effect similar to that of total spleen ablation for the treatment of CLL. The present paper describes our experience with an 81-year-old patient submitted to subtotal splenectomy for treatment of CLL. Indications for surgery were uncontrolled leukemic activity and intense abdominal discomfort due to the huge spleen. The good results obtained with subtotal splenectomy in the present case indicate that this procedure may be a new alternative for the treatment of CLL when removal of the spleen is indicated.","['Petroianu, Andy']",['Petroianu A'],"['Department of Surgery, Medical School of the Federal University of Minas Gerais, Avenida Alfredo Balena 190, MG 30130-100 Belo Horizonte, Brazil. petroian@medicina.ufmg.br']",['eng'],"['Case Reports', 'Journal Article']",Germany,Ann Hematol,Annals of hematology,9107334,,IM,"['Aged', 'Aged, 80 and over', 'Blood Cell Count', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/*surgery', 'Male', 'Splenectomy', 'Treatment Outcome']",2003/08/09 05:00,2003/12/24 05:00,['2003/08/09 05:00'],"['2003/06/02 00:00 [received]', '2003/06/17 00:00 [accepted]', '2003/08/09 05:00 [pubmed]', '2003/12/24 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Ann Hematol. 2003 Nov;82(11):708-9. doi: 10.1007/s00277-003-0720-3. Epub 2003 Aug 2.,,['10.1007/s00277-003-0720-3 [doi]'],20030802,,,,,,,,,,,,,,,,
12904898,NLM,MEDLINE,20031023,20071115,0939-5555 (Print) 0939-5555 (Linking),82,9,2003 Sep,Safety of lumbar puncture for adults with acute leukemia and restrictive prophylactic platelet transfusion.,570-3,"No data exist on the trigger for platelet transfusions in adult thrombocytopenic patients with acute leukemia undergoing lumbar puncture (LP). We reviewed the records of 66 patients with acute leukemia (median age 38 years, range 18-68) who have been treated in our institution for 6 years. A total of 195 LPs were performed. No serious hemorrhagic complications occurred, but there was a significant trend towards a higher percentage of traumatic procedures, defined as the occurrence of >500 erythrocytes per high-power field, in patients with lowest platelet counts ( p<0.005). Although not associated with serious clinical bleeding events in this study, the increased occurrence of traumatic procedures may indicate an increased risk for more serious hemorrhagic complications, implying a trigger not lower than 20x10(9)/L for prophylactic transfusions of platelets in adult patients with acute leukemia undergoing LP.","['Vavricka, Stephan R', 'Walter, Roland B', 'Irani, Sarosh', 'Halter, Joerg', 'Schanz, Urs']","['Vavricka SR', 'Walter RB', 'Irani S', 'Halter J', 'Schanz U']","['Department of Internal Medicine, University Hospital of Zurich, Raemistrasse 100, 8091, Zurich, Switzerland.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Germany,Ann Hematol,Annals of hematology,9107334,['0 (Antineoplastic Agents)'],IM,"['Adolescent', 'Adult', 'Aged', 'Antineoplastic Agents/administration & dosage', 'Bone Marrow Transplantation', 'Female', 'Hemorrhage/etiology', 'Humans', 'Leukemia, Myeloid, Acute/*therapy', 'Male', 'Middle Aged', 'Platelet Count', '*Platelet Transfusion', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*therapy', 'Retrospective Studies', 'Spinal Puncture/*adverse effects', 'Thrombocytopenia/prevention & control']",2003/08/09 05:00,2003/10/24 05:00,['2003/08/09 05:00'],"['2003/02/28 00:00 [received]', '2003/05/29 00:00 [accepted]', '2003/08/09 05:00 [pubmed]', '2003/10/24 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Ann Hematol. 2003 Sep;82(9):570-3. doi: 10.1007/s00277-003-0707-0. Epub 2003 Aug 2.,,['10.1007/s00277-003-0707-0 [doi]'],20030802,,,,,,,,,,,,,,,,
12904547,NLM,MEDLINE,20031023,20200826,1350-0872 (Print) 1350-0872 (Linking),149,Pt 8,2003 Aug,Bacterial ceramides and sphingophospholipids induce apoptosis of human leukaemic cells.,2071-2081,"The genus Sphingobacterium, whose members are Gram-negative non-fermentative rods, possesses ceramides and related sphingophospholipids (SPLs) with isoheptadecasphinganine and 2-hydroxy or non-hydroxy isopentadecanoic acid. This paper reports evidence that ceramides isolated from Sphingobacterium spiritivorum ATCC 33861 induce endonucleolytic DNA cleavage in human myeloid leukaemia HL-60 cells in vitro, which is the primary characteristic biochemical marker for apoptosis or programmed cell death. Ceramides and SPLs also induced DNA fragmentation and caspase-3 activation, followed by changes in morphology, such as alterations in the size of nuclei and cells, and cell cycle shortening. Apoptotic activity correlated with the ceramide structure. Ceramide with a 2-hydroxy fatty acid showed stronger apoptotic activity than ceramide with a non-hydroxy fatty acid. Furthermore, the major five SPLs (ceramide phosphorylethanolamine-1 and -2, ceramide phosphorylinositol-1 and -2, and ceramide phosphorylmannose-1) showed apoptosis-inducing activity in HL-60 cells, indicating that the ceramide moiety of the SPLs plays a crucial role as the intracellular second messenger but that their hydrophilicity is less important in this regard. The hydrophilic part of SPLs may play a role in other cellular response systems. The involvement of Fas antigen was implicated in the apoptotic event since Fas antigen expression was observed after 3 or 4 h stimulation of HL-60 cells with bacterial ceramides. However, a time-course study for caspase-3 activation indicated maximal activity at 1 h after stimulation with bacterial ceramides, suggesting that two (or possibly more) mechanisms of signal transduction, Fas-dependent and Fas-independent, may be involved. Fas antigen expression and caspase-3 activation by five kinds of SPLs were observed after 3 or 4 h. These results indicate that there is a difference in the response of HL-60 cells to bacterial ceramides and SPLs.","['Minamino, Miki', 'Sakaguchi, Ikuyo', 'Naka, Takashi', 'Ikeda, Norikazu', 'Kato, Yoshiko', 'Tomiyasu, Ikuko', 'Yano, Ikuya', 'Kobayashi, Kazuo']","['Minamino M', 'Sakaguchi I', 'Naka T', 'Ikeda N', 'Kato Y', 'Tomiyasu I', 'Yano I', 'Kobayashi K']","['Institute of Cosmetic Sciences, Club Cosmetics Co. Ltd, 145-1 Ichibu-cho, Ikoma-shi, Nara 630-0222, Japan.', 'Institute of Cosmetic Sciences, Club Cosmetics Co. Ltd, 145-1 Ichibu-cho, Ikoma-shi, Nara 630-0222, Japan.', 'Institute of Cosmetic Sciences, Club Cosmetics Co. Ltd, 145-1 Ichibu-cho, Ikoma-shi, Nara 630-0222, Japan.', 'Institute of Cosmetic Sciences, Club Cosmetics Co. Ltd, 145-1 Ichibu-cho, Ikoma-shi, Nara 630-0222, Japan.', 'Institute of Cosmetic Sciences, Club Cosmetics Co. Ltd, 145-1 Ichibu-cho, Ikoma-shi, Nara 630-0222, Japan.', 'Tezukayama Junior College, 3-1-3 Gakuen-minami, Nara 631-8585, Japan.', 'Japan BCG Laboratory, 3-1-5 Matsuyama, Kiyose-shi, Tokyo 204-0022, Japan.', 'Department of Host Defense, Osaka City University Graduate School of Medicine, 1-4-3 Asahi-machi, Abeno-ku, Osaka 545-8585, Japan.']",['eng'],['Journal Article'],England,Microbiology (Reading),"Microbiology (Reading, England)",9430468,"['0 (Ceramides)', '0 (Sphingolipids)', '0 (fas Receptor)', 'EC 3.4.22.- (CASP3 protein, human)', 'EC 3.4.22.- (Caspase 3)', 'EC 3.4.22.- (Caspases)']",IM,"['Apoptosis/*drug effects', 'Caspase 3', 'Caspases/metabolism', 'Ceramides/chemistry/*pharmacology', 'Enzyme Activation/drug effects', 'Gram-Negative Bacteria/*chemistry', 'HL-60 Cells', 'Humans', 'Jurkat Cells', 'Molecular Structure', 'Second Messenger Systems', 'Sphingolipids/chemistry/*pharmacology', 'U937 Cells', 'fas Receptor/metabolism']",2003/08/09 05:00,2003/10/24 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2003/10/24 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Microbiology (Reading). 2003 Aug;149(Pt 8):2071-2081. doi: 10.1099/mic.0.25922-0.,,['10.1099/mic.0.25922-0 [doi]'],,10.1099/mic.0.25922-0 [doi],,,,,,,,,,,,,,,
12904310,NLM,MEDLINE,20040810,20061115,0006-3363 (Print) 0006-3363 (Linking),69,6,2003 Dec,Identification of a biological activity that supports maintenance and proliferation of pluripotent cells from the primitive ectoderm of the mouse.,1863-71,"Pluripotent cell development in the mammalian embryo results in the sequential formation of several developmentally distinct populations, inner cell mass, primitive ectoderm, and the primordial germ lineage. Factors within medium conditioned by HepG2 cells (MEDII) have been implicated in the formation and maintenance of primitive ectoderm from inner cell mass cells both in vitro and in vivo. Here we demonstrate that MEDII, but not LIF, is able to support the maintenance and proliferation in culture of pluripotent cells derived from primitive ectoderm formed in vitro or during embryonic development. This distinguishes primitive ectoderm and inner cell mass (ICM) on the basis of cytokine responsiveness and validates the biological activity proposed for factors within MEDII in primitive ectoderm establishment and maintenance. Further, it potentially provides an alternative technology for the isolation of pluripotent cells from the mammalian embryo.","['Rathjen, Joy', 'Washington, Jennifer M', 'Bettess, Michael D', 'Rathjen, Peter D']","['Rathjen J', 'Washington JM', 'Bettess MD', 'Rathjen PD']","['School of Molecular and Biomedical Sciences, and Australian Research Council Special Research Centre for Molecular Genetics of Development, University of Adelaide, Adelaide, South Australia 5005, Australia. peter.rathjen@adelaide.edu.au']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Biol Reprod,Biology of reproduction,0207224,"['0 (Biological Factors)', '0 (Culture Media, Conditioned)', '0 (Interleukin-6)', '0 (Leukemia Inhibitory Factor)', '0 (Lif protein, mouse)']",IM,"['Animals', 'Biological Factors/*pharmacology', 'Blastocyst/cytology/drug effects', 'Carcinoma, Hepatocellular', 'Cell Division/drug effects/physiology', 'Cells, Cultured', 'Culture Media, Conditioned/pharmacology', 'Ectoderm/*cytology/drug effects', 'Extracellular Matrix/physiology', 'Female', 'Interleukin-6/pharmacology', 'Leukemia Inhibitory Factor', 'Mice', 'Mice, Inbred CBA', 'Pluripotent Stem Cells/*cytology/drug effects']",2003/08/09 05:00,2004/08/11 05:00,['2003/08/09 05:00'],"['2003/08/09 05:00 [pubmed]', '2004/08/11 05:00 [medline]', '2003/08/09 05:00 [entrez]']",ppublish,Biol Reprod. 2003 Dec;69(6):1863-71. doi: 10.1095/biolreprod.103.017384. Epub 2003 Aug 6.,,"['10.1095/biolreprod.103.017384 [doi]', 'biolreprod.103.017384 [pii]']",20030806,,,,,,,,,,,,,,,,
