PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,RF,EDAT,MHDA,CRDT,PHST,AID,PST,SO,GR,RN,CON,PMC,CI,CN,TT,DEP,CIN,EIN,OTO,OT,IR,FIR,IRAD,RIN,SI,OID,GN,LID,PS,FPS
12718797,NLM,MEDLINE,20031007,20191107,1527-2729 (Print) 1534-6277 (Linking),4,3,2003 Jun,Juvenile myelomonocytic leukemia.,203-10,"Juvenile myelomonocytic leukemia is an aggressive neoplasia of early childhood. Only allogeneic stem cell transplantation (SCT) offers a long-term cure. In the absence of an HLA-matched family donor, early SCT from an unrelated donor will be the treatment of choice for most children. With clear evidence of a graft-versus-leukemia effect and a high post-transplant relapse rate, outcome of SCT will depend, in part, on the management of immunosuppression during the procedure. The impact of pretransplant cytoreductive treatment, such as intensive chemotherapy, splenectomy, or 13-cis retinoic acid, is unclear. Hypersensitivity for granulocyte-macrophage colony-stimulating factor and pathologic activation of the Ras/MAPK pathway play an important role in the pathophysiology of juvenile myelomonocytic leukemia and will provide the opportunity for several novel therapy approaches.","['Niemeyer, Charlotte Marie', 'Kratz, Christian']","['Niemeyer CM', 'Kratz C']","['Division of Pediatric Hematology and Oncology, Department of Pediatrics and Adolescent Medicine, University of Freiburg, Mathildenstrasse 1, 79106 Freiburg, Germany. niemeyer@kikli.ukl.uni-freiburg.de']",['eng'],"['Journal Article', 'Review']",United States,Curr Treat Options Oncol,Current treatment options in oncology,100900946,IM,"['Child, Preschool', 'Combined Modality Therapy', 'Hematopoietic Stem Cell Transplantation', 'Humans', 'Infant', '*Leukemia, Myelomonocytic, Acute/pathology/therapy', '*Leukemia, Myelomonocytic, Chronic/pathology/therapy']",41,2003/04/30 05:00,2003/10/08 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2003/10/08 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1007/s11864-003-0021-z [doi]'],ppublish,Curr Treat Options Oncol. 2003 Jun;4(3):203-10. doi: 10.1007/s11864-003-0021-z.,,,,,,,,,,,,,,,,,,,,,,
12718765,NLM,MEDLINE,20030926,20071115,1043-0342 (Print) 1043-0342 (Linking),14,6,2003 Apr 10,Bystander transfer of functional human CD40 ligand from gene-modified fibroblasts to B-chronic lymphocytic leukemia cells.,545-59,"CD40 ligand (CD40L) is a good candidate molecule for the immunotherapy of B cell malignancies including B-chronic lymphocytic leukemia (B-CLL), because it may increase the capacity of the malignant cells to present tumor antigens. However, efforts to manipulate expression of the human CD40L (hCD40L) molecule have foundered on problems associated with lack of consistent gene transfer into the malignant target cells. We now describe a new, highly reproducible method for inducing hCD40L surface expression on malignant B cells, which is dependent on intercellular transfer of the hCD40L protein from donor gene-modified fibroblasts to patient tumor cells. Ten B-CLL samples were cocultured with MRC-5 fibroblasts (a human embryonic lung cell line) previously transduced with an adenoviral vector encoding the hCD40L gene. The malignant cells expressed high levels of surface hCD40L, B7-1, B7-2, and ICAM-1 after coculture. Upregulation of B7-1 and B7-2 was cycloheximide inhibitable and was a consequence of CD40 activation. However, inhibition of protein synthesis had no effect on the ability of B-CLL cells to acquire surface expression of hCD40L. hCD40L surface expression required cell-to-cell contact, but was independent of CD40 engagement. hCD40L transfer was not mediated by membrane fusion. The transferred hCD40L was functionally intact and B-CLL cells expressing this molecule induced increased interferon-gamma production from autologous peripheral blood T lymphocytes. This approach does not use any direct gene transfer to primary leukemia cells and can readily be scaled up for production of clinical B-CLL vaccines.","['Biagi, Ettore', 'Yvon, Eric', 'Dotti, Gianpietro', 'Amrolia, Persis J', 'Takahashi, Satoshi', 'Popat, Uday', 'Marini, Frank', 'Andreeff, Michael', 'Brenner, Malcolm K', 'Rousseau, Raphael F']","['Biagi E', 'Yvon E', 'Dotti G', 'Amrolia PJ', 'Takahashi S', 'Popat U', 'Marini F', 'Andreeff M', 'Brenner MK', 'Rousseau RF']","['Center for Cell and Gene Therapy, Baylor College of Medicine, Houston, TX 77030, USA. exbiagi@txccc.org']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hum Gene Ther,Human gene therapy,9008950,IM,"['Adenoviridae/*genetics', 'Antigens, CD/metabolism', '*Bystander Effect', 'CD40 Ligand/*genetics/metabolism', 'Cancer Vaccines/immunology', 'Cell Line', 'Coculture Techniques', 'Fibroblasts/*physiology', 'Genetic Vectors/genetics', 'Histocompatibility Antigens Class I/metabolism', 'Humans', 'Immunoenzyme Techniques', 'Leukemia, Lymphocytic, Chronic, B-Cell/*immunology/therapy', 'Transduction, Genetic', 'Tumor Cells, Cultured']",,2003/04/30 05:00,2003/09/27 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2003/09/27 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1089/104303403764539332 [doi]'],ppublish,Hum Gene Ther. 2003 Apr 10;14(6):545-59. doi: 10.1089/104303403764539332.,['CA78792/CA/NCI NIH HHS/United States'],"['0 (Antigens, CD)', '0 (Cancer Vaccines)', '0 (Histocompatibility Antigens Class I)', '147205-72-9 (CD40 Ligand)']",,,,,,,,,,,,,,,,,,,,
12718762,NLM,MEDLINE,20030926,20071114,1043-0342 (Print) 1043-0342 (Linking),14,6,2003 Apr 10,Comparison of three retroviral vector systems for transduction of nonobese diabetic/severe combined immunodeficiency mice repopulating human CD34+ cord blood cells.,509-19,"The use of recombinant vectors based on wild-type viruses that are absent in humans and are not associated with any disease in their natural animal hosts or in accidentally infected humans would add an additional level of safety for human somatic gene therapy approaches. These criteria are fulfilled by foamy viruses (FVs), a family of complex retroviruses whose members are widely found among mammals and are apathogenic in all hosts. Here, we show by comparison of identically designed vector constructs that recombinant retroviral vectors based on FVs were as efficient as lentiviral vectors in transducing nonobese diabetic/severe combined immunodeficiency (NOD/SCID) mice repopulating human CD34(+) cord blood (CB) cells. The FV vector was able to achieve gene transfer levels up to 84% of engrafted human cells in a short overnight transduction protocol. In contrast, without prestimulation of the target cells, a human immunodeficiency virus type 1 (HIV-1)-based lentiviral vector pseudotyped with gibbon ape leukemia virus envelope (GALV Env) was nearly as inefficient as murine leukemia virus (MLV)-based oncoretroviral vectors in transducing NOD/SCID repopulating cells. The same HIV vector pseudotyped with the vesicular stomatitis virus glycoprotein G (VSV-G) achieved high marking efficiency. Clonality analysis of bone marrow samples showed oligoclonal hematopoiesis with single to multiple insertions per cell, both for FV and HIV vectors. These data demonstrate that vectors based on FVs warrant further investigation and development for medical use.","['Leurs, Cordula', 'Jansen, Michael', 'Pollok, Karen E', 'Heinkelein, Martin', 'Schmidt, Manfred', 'Wissler, Manuela', 'Lindemann, Dirk', 'Von Kalle, Christof', 'Rethwilm, Axel', 'Williams, David A', 'Hanenberg, Helmut']","['Leurs C', 'Jansen M', 'Pollok KE', 'Heinkelein M', 'Schmidt M', 'Wissler M', 'Lindemann D', 'Von Kalle C', 'Rethwilm A', 'Williams DA', 'Hanenberg H']","['Klinik fur Padiatrische Hamatologie und Onkologie, Zentrum fur Kinderheilkunde, Heinrich-Heine-Universitat, 40225 Dusseldorf, Germany.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,Hum Gene Ther,Human gene therapy,9008950,IM,"['Animals', 'Antigens, CD34/*analysis', 'Cell Line', 'Fetal Blood/cytology', '*Genetic Vectors', 'Green Fluorescent Proteins', 'HIV-1/genetics', '*Hematopoietic Stem Cell Transplantation', 'Hematopoietic Stem Cells/chemistry', 'Humans', 'Lentivirus/genetics', 'Leukemia Virus, Murine/genetics', 'Luminescent Proteins/genetics', 'Mice', 'Mice, Inbred NOD', 'Mice, SCID', 'Retroviridae/*genetics', 'Spumavirus/*genetics', '*Transduction, Genetic']",,2003/04/30 05:00,2003/09/27 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2003/09/27 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1089/104303403764539305 [doi]'],ppublish,Hum Gene Ther. 2003 Apr 10;14(6):509-19. doi: 10.1089/104303403764539305.,['HL53586/HL/NHLBI NIH HHS/United States'],"['0 (Antigens, CD34)', '0 (Luminescent Proteins)', '147336-22-9 (Green Fluorescent Proteins)']",,,,,,,,,,,,,,,,,,,,
12718740,NLM,MEDLINE,20040720,20191025,1471-2598 (Print) 1471-2598 (Linking),3,1,2003 Feb,DAB389IL2 (ONTAK) fusion protein therapy of chronic lymphocytic leukaemia.,179-86,"Despite multiple new therapeutic options for patients with chronic lymphocytic leukaemia (CLL), the prognosis of patients with relapsed disease is poor. After first-line therapy with fludarabine, alkylating agents, rituximab or combinations of these agents, most patients relapse within a few years. While second-line therapy with alemtuzumab, or other combinations of the above agents, have produced remissions, most of these are partial responses lasting months rather than years. Patients commonly die from progressive disease or infections related to the underlying disease or treatment. The authors sought to develop a novel therapeutic with the capacity to kill chemotherapy-resistant CLL cells and with reduced toxicities to normal tissues. Based on the presence of high affinity interleukin-2 receptor (IL-2R) on CLL cells, therapy of relapsed CLL patients with a diphtheria fusion protein targeting IL-2R - DAB(389)IL2 (ONTAK), Seragen, Inc., Hopkinton, MA, USA) - was tested in a pilot Phase II study. Biological activity and a partial remission were observed with modest drug-related side effects. Based on these encouraging findings, alternative schedules and combinations with agents that may enhance CLL cell expression of IL-2R are being tested. Hopefully, the use of these targeted therapeutic approaches will provide additional therapeutic options with fewer side effects for this common and incurable condition.","['Frankel, Arthur E', 'Fleming, Donald R', 'Powell, Bayard L', 'Gartenhaus, Ronald']","['Frankel AE', 'Fleming DR', 'Powell BL', 'Gartenhaus R']","['Wake Forest University School of Medicine, Winston-Salem, NC, USA.']",['eng'],"['Clinical Trial', 'Clinical Trial, Phase II', 'Journal Article', 'Review']",England,Expert Opin Biol Ther,Expert opinion on biological therapy,101125414,IM,"['Aged', 'Animals', 'Diphtheria Toxin/adverse effects/chemistry/metabolism/*therapeutic use', 'Female', 'Humans', 'Interleukin-2/adverse effects/chemistry/metabolism/*therapeutic use', 'Leukemia, Lymphocytic, Chronic, B-Cell/*drug therapy/metabolism', 'Male', 'Middle Aged', 'Pilot Projects', 'Recombinant Fusion Proteins/adverse effects/chemistry/metabolism/*therapeutic use']",57,2003/04/30 05:00,2004/07/21 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2004/07/21 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1517/14712598.3.1.179 [doi]'],ppublish,Expert Opin Biol Ther. 2003 Feb;3(1):179-86. doi: 10.1517/14712598.3.1.179.,,"['0 (Diphtheria Toxin)', '0 (Interleukin-2)', '0 (Recombinant Fusion Proteins)', '25E79B5CTM (denileukin diftitox)']",,,,,,,,,,,,,,,,,,,,
12718610,NLM,Publisher,,20191120,2476-762X (Electronic) 1513-7368 (Linking),3,1,2002,Induction of Apoptosis in Tumor Cells by Natural Phenolic Compounds.,61-67,"Investigation has been conducted to delineate the action of some phenolic compounds of natural origin in four human tumor cell lines: acute myeloblastic leukemia (HL-60), chronic myelogenic leukemia (K-562), breast adenocarcinoma (MCF-7) and cervical epithelial carcinoma (HeLa). In cells grown in appropriate media the phenolics curcumin, yakuchinone B, resveratrol and capsaicin exhibited growth inhibition as assessed by trypan blue dye exclusion. It was evident from the results of the MTT reduction assay and [(3)H]thymidine incorporation into nuclear DNA that the phenolics were cytotoxic and inhibited cell proliferation. Dose response studies indicated curcumin to be most cytotoxic towards HL-60, K-562 and MCF-7 but did not show much activity in HeLa cells. On the other hand, yakuchinone B, although less active than curcumin, displayed cytotoxicity towards all four cell lines. Resveratrol was cytotoxic only in leukemic cells, while capsaicin was marginally cytotoxic. All these phenolics did not elicit any cytotoxic activity as judged by the above parameters towards lymphocytes purified from normal human blood. When cells treated with phenolics were stained with propidium iodide and examined under a fluorescent microscope, characteristic apoptotic features such as chromatin condensation and nuclear fragmentation were observed. Scoring of cells with apoptotic and non-apoptotic features showed positive correlation of apoptotic index with dose of phenolic, and fragmented DNA extracted free of genomic DNA displayed on gel electrophoresis a typical ladder pattern. These phenolics which have human exposure are known cancer chemopreventive agents and their action as inducers of apoptosis in tumor cells suggest their potential use in a strategy for cancer control.","['Roy, Madhumita', 'Chakraborty, Sutapa', 'Siddiqi, Maqsood', 'Bhattacharya, Rathin K']","['Roy M', 'Chakraborty S', 'Siddiqi M', 'Bhattacharya RK']","['Department of Environmental Carcinogenesis and Toxicology, Chittaranjan National Cancer Institute, Kolkata 700 026, India cncinst@giasclo1.vsnl.net.in /rathin_b@yahoo.co.in']",['eng'],['Journal Article'],Thailand,Asian Pac J Cancer Prev,Asian Pacific journal of cancer prevention : APJCP,101130625,,,,2003/04/30 05:00,2003/04/30 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2003/04/30 05:00 [medline]', '2003/04/30 05:00 [entrez]']",,ppublish,Asian Pac J Cancer Prev. 2002;3(1):61-67.,,,,,,,,,,,,,,,,,,,,,,
12718315,NLM,MEDLINE,20030715,20180831,0091-6765 (Print) 0091-6765 (Linking),111,4,2003 Apr,Childhood leukemia. Bad air linked to increased risk.,A232-3,,"['Hood, Ernie']",['Hood E'],,['eng'],"['Comment', 'Journal Article']",United States,Environ Health Perspect,Environmental health perspectives,0330411,IM,"['Adolescent', 'Air Pollutants/*adverse effects', 'California/epidemiology', 'Carcinogens/*adverse effects', 'Child', '*Child Welfare', 'Child, Preschool', '*Environmental Exposure', 'Epidemiologic Studies', 'Female', 'Humans', 'Infant', 'Infant, Newborn', 'Leukemia/epidemiology/*etiology', 'Male', 'Registries/*statistics & numerical data', 'Risk Factors']",,2003/04/30 05:00,2003/07/16 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2003/07/16 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1289/ehp.111-a232b [doi]'],ppublish,Environ Health Perspect. 2003 Apr;111(4):A232-3. doi: 10.1289/ehp.111-a232b.,,"['0 (Air Pollutants)', '0 (Carcinogens)']",['Environ Health Perspect. 2003 Apr;111(4):663-8. PMID: 12676632'],PMC1316940,,,,,,,,,,,,,,,,,,
12717686,NLM,MEDLINE,20040220,20131121,1552-4949 (Print) 1552-4949 (Linking),53,1,2003 May,Immunophenotyping is an independent factor for risk stratification in AML.,11-9,"BACKGROUND: Chromosomal abnormalities are one of the most important prognostic factors in acute myeloid leukemia (AML). However, only a limited number of patients have such informative chromosomal abnormalities. The prognostic value of immunophenotyping in this disease is still unclear. METHODS: Seven hundred and eighty-three newly diagnosed AML patients treated in the German SHG-AML trials in 1991 and 1996 were analyzed with a panel of 33 antibodies. Expression was correlated to overall survival, complete remission-rate, and complete remission duration, and tested in a multivariate analysis including other clinical and biological markers. RESULTS: With a median follow-up of 4.3 years, patients with AML blasts negative for CD9, CD11b, CD13, CD34, and CD41, or positive for CD15, CD33, CD38, CD64, and MPO had superior overall survival. This effect was associated with a significantly higher complete remission rate (CD13, CD34, CD41, and CD64) or a longer complete remission duration (CD9, CD11b, and CD64). Cox-regression analysis, including cytogenetic, morphologic, and biologic parameters showed CD9, CD13, CD34, and CD64 as independent factors for overall survival. These markers were used for a prognostic score. Patients were pooled in three groups with highly significant differences of overall survival. The prognostic relevance of this score was confirmed in patients with normal karyotype and/or in younger patients </= 60 years. CONCLUSIONS: Immunophenotyping is not only helpful for diagnosis but is of independent significance for prognosis, and may be useful for risk stratification in AML patients.","['Repp, R', 'Schaekel, U', 'Helm, G', 'Thiede, C', 'Soucek, S', 'Pascheberg, U', 'Wandt, H', 'Aulitzky, W', 'Bodenstein, H', 'Sonnen, R', 'Link, H', 'Ehninger, G', 'Gramatzki, M']","['Repp R', 'Schaekel U', 'Helm G', 'Thiede C', 'Soucek S', 'Pascheberg U', 'Wandt H', 'Aulitzky W', 'Bodenstein H', 'Sonnen R', 'Link H', 'Ehninger G', 'Gramatzki M']","['Department of Medicine III, University of Erlangen-Nuremberg, Erlangen, Germany. Roland.Repp@med3.imed.uni-erlangen.de']",['eng'],"['Journal Article', 'Multicenter Study', ""Research Support, Non-U.S. Gov't""]",United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,"['Acute Disease', 'Adolescent', 'Adult', 'Aged', 'Antibiotics, Antineoplastic/administration & dosage', 'Antimetabolites, Antineoplastic/administration & dosage', 'Cytarabine/administration & dosage', 'Daunorubicin/administration & dosage', 'Female', 'Humans', 'Immunophenotyping/*methods', 'Leukemia, Myeloid/drug therapy/*mortality/*pathology', 'Male', 'Middle Aged', 'Multivariate Analysis', 'Predictive Value of Tests', 'Prognosis', 'Retrospective Studies', 'Risk Factors', 'Survival Analysis']",,2003/04/30 05:00,2004/02/21 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2004/02/21 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1002/cyto.b.10030 [doi]'],ppublish,Cytometry B Clin Cytom. 2003 May;53(1):11-9. doi: 10.1002/cyto.b.10030.,,"['0 (Antibiotics, Antineoplastic)', '0 (Antimetabolites, Antineoplastic)', '04079A1RDZ (Cytarabine)', 'ZS7284E0ZP (Daunorubicin)']",,,"['Copyright 2003 Wiley-Liss, Inc.']",['AML-SHG Study Group'],,,,,,,,,,,,,,,,
12717685,NLM,MEDLINE,20040220,20091211,1552-4949 (Print) 1552-4949 (Linking),53,1,2003 May,"Pretherapeutic identification of high-risk acute myeloid leukemia (AML) patients from immunophenotypic, cytogenetic, and clinical parameters.",4-10,"BACKGROUND: The goal of this study concerned the pretherapeutic identification of high-risk acute myeloid leukemia (AML) patients by data pattern analysis from flow cytometric immunophenotype, cytogenetic, and clinical data. METHODS: Sixty-seven parameters of AML patients at diagnosis were classified for predictive information by algorithmic data sieving using iteratively self optimizing triple matrix data pattern analysis (http://www.biochem.mpg.de/valet/classif1.html). RESULTS: Pretherapeutic predictive values for nonsurvival within five years and two years were 100.0% and 83.2%, respectively, compared to 13.9% and 47.4% for the prediction of survival at five years and two years, respectively. At diagnosis, five-year nonsurvivors showed increased patient age and higher concentration of cells in the analyzed specimen, as well as increased levels of % CD2, CD4, CD13, CD36, and CD45 positive AML blasts. Two-year nonsurvivors were characterized by a data pattern of increased patient age and levels of % CD4, CD7, CD11b, CD24, CD45, TH126, and HLA-DR positive AML blasts and decreased levels of % CD1, CD65, CD95, and TC25 positive AML blasts. Cytogenetic abnormalities were not selected for the optimized discriminatory data patterns. CONCLUSIONS: The comparatively accurate pretherapeutic identification of high-risk AML patients may prove useful for the development of individualized therapy protocols in stratified clinical patients groups.","['Valet, G', 'Repp, R', 'Link, H', 'Ehninger, A', 'Gramatzki M, M']","['Valet G', 'Repp R', 'Link H', 'Ehninger A', 'Gramatzki M M']","['Max-Planck-Institut fur Biochemie, Martinsried, Germany. valet@biochem.mpg.de']",['eng'],"['Journal Article', 'Multicenter Study']",United States,Cytometry B Clin Cytom,"Cytometry. Part B, Clinical cytometry",101235690,IM,"['Acute Disease', 'Computational Biology', '*Flow Cytometry', 'Humans', 'Immunophenotyping', 'Leukemia, Myeloid/*mortality/*pathology', 'Predictive Value of Tests', 'Prognosis', 'Risk Factors', 'Survival Analysis']",,2003/04/30 05:00,2004/02/21 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2004/02/21 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1002/cyto.b.10028 [doi]'],ppublish,Cytometry B Clin Cytom. 2003 May;53(1):4-10. doi: 10.1002/cyto.b.10028.,,,,,"['Copyright 2003 Wiley-Liss, Inc.']",['SHG-AML study group'],,,,,,,,,,,,,,,,
12717564,NLM,MEDLINE,20030909,20181130,1130-6343 (Print) 1130-6343 (Linking),27,2,2003 Mar-Apr,[Arsenic trioxide in the treatment of acute promyelocytic leukaemia].,93-100,"Arsenic trioxide has drawn renewed interest in onco-haematological therapy. Based on a number of studies quoted in this paper, it has been approved by FDA and EMEA for remission induction and consolidation therapy of acute promyelocytic leukaemia in patients refractory to treatment using trans-retinoic acid and anthracyclines. In addition to briefly discuss available therapeutic resources against this disease, this review attempts to provide an in-depth view of this drugas characteristics and efficacy, as shown in several studies.","['Ercilla Liceaga, M', 'Andueza Granados, K', 'Fernandez Gonzalez, I', 'Barcia Romero, M J']","['Ercilla Liceaga M', 'Andueza Granados K', 'Fernandez Gonzalez I', 'Barcia Romero MJ']",['Servicio de Farmacia. Hospital Donostia. edificio Aranzazu. San Sebastian. Spain. afarmaci@chdo.osakidetza.net'],['spa'],"['Journal Article', 'Review']",Spain,Farm Hosp,Farmacia hospitalaria : organo oficial de expresion cientifica de la Sociedad Espanola de Farmacia Hospitalaria,9440679,IM,"['Antineoplastic Agents/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Arsenic Trioxide', 'Arsenicals/administration & dosage/adverse effects/pharmacology/*therapeutic use', 'Clinical Trials as Topic', 'Humans', 'Leukemia, Promyelocytic, Acute/*drug therapy', 'Oxides/administration & dosage/adverse effects/pharmacology/*therapeutic use']",46,2003/04/30 05:00,2003/09/10 05:00,['2003/04/30 05:00'],"['2003/04/30 05:00 [pubmed]', '2003/09/10 05:00 [medline]', '2003/04/30 05:00 [entrez]']",,ppublish,Farm Hosp. 2003 Mar-Apr;27(2):93-100.,,"['0 (Antineoplastic Agents)', '0 (Arsenicals)', '0 (Oxides)', 'S7V92P67HO (Arsenic Trioxide)']",,,,,El trioxido de arsenico en el tratamiento de la leucemia promielocitica aguda.,,,,,,,,,,,,,,,
12717519,NLM,MEDLINE,20040412,20190813,0007-4888 (Print) 0007-4888 (Linking),135,1,2003 Jan,Changes in antigenic characteristics of erythrocytes and number metaphase chromosome in bone marrow cells after experimental and clinical bone marrow transplantation.,73-6,"Transplantation of allogenic bone marrow from HLA-identical sibs to patients with acute and chronic leukemia receiving immunosuppressive therapy is associated with the appearance of erythrocytes simultaneously carrying donor and recipient antigenic markers: AB0 system, rhesus factor and its subtypes, M and N antigens. Integration of genes responsible for each antigen is realized independently presumably at the level of stem cell, which ensures long-term (>3 years) repopulation of these erythrocytes. Experiments on inbred mice showed that transplantation of allogenic bone marrow is associated with an increase of chromosome number in 39% bone marrow cells 4 days after transplantation, which indicate the possibility of integration of whole chromosomes.","['Babaeva, A G', 'Kurilo, L F', 'Zotikov, E A', 'Belan, E I', 'Poreshina, L P', 'Yudina, N V']","['Babaeva AG', 'Kurilo LF', 'Zotikov EA', 'Belan EI', 'Poreshina LP', 'Yudina NV']","['Institute of Human Morphology, Russian Academy of Medical Sciences, Moscow.']",['eng'],['Journal Article'],United States,Bull Exp Biol Med,Bulletin of experimental biology and medicine,0372557,IM,"['Animals', 'Bone Marrow Cells/pathology', '*Bone Marrow Transplantation/adverse effects', 'Epitopes/*immunology', 'Erythrocytes/*immunology/ultrastructure', 'Female', 'Humans', 'Hybrid Cells/immunology/ultrastructure', 'Leukemia/immunology/therapy', 'Metaphase/immunology', 'Mice', 'Mice, Inbred CBA']",,2003/04/30 05:00,2004/04/13 05:00,['2003/04/30 05:00'],"['2002/10/16 00:00 [received]', '2003/04/30 05:00 [pubmed]', '2004/04/13 05:00 [medline]', '2003/04/30 05:00 [entrez]']",['10.1023/a:1023458215408 [doi]'],ppublish,Bull Exp Biol Med. 2003 Jan;135(1):73-6. doi: 10.1023/a:1023458215408.,,['0 (Epitopes)'],,,,,,,,,,,,,,,,,,,,
