PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,AID,PST,SO,EIN,CI,RF,CON,CIN,DEP,OID,OTO,OT,GN,SI,TT,CN,MID,UIN,UOF
12547809,NLM,MEDLINE,20030819,20191210,0006-3495 (Print) 0006-3495 (Linking),84,2 Pt 1,2003 Feb,Oxygen consumption rates and oxygen concentration in molt-4 cells and their mtDNA depleted (rho0) mutants.,1291-8,"Respiratory deficient cell lines are being increasingly used to elucidate the role of mitochondria and to understand the pathophysiology of mitochondrial genetic disease. We have investigated the oxygen consumption rates and oxygen concentration in wild-type (WT) and mitochondrial DNA (mtDNA) depleted (rho(0)) Molt-4 cells. Wild-type Molt-4 cells have moderate oxygen consumption rates, which were significantly reduced in the rho(0) cells. PCMB (p-chloromercurobenzoate) inhibited the oxygen consumption rates in both WT and rho(0) cells, whereas potassium cyanide decreased the oxygen consumption rates only in WT Molt-4 cells. Menadione sodium bisulfite (MSB) increased the oxygen consumption rates in both cell lines, whereas CCCP (carbonyl cyanide m-chlorophenylhydrazone) stimulated the oxygen consumption rates only in WT Molt-4 cells. Superoxide radical adducts were observed in both WT and rho(0) cells when stimulated with MSB. The formation of this adduct was inhibited by PCMB but not by potassium cyanide. These results suggest that the reactive oxygen species (ROS) induced by MSB were at least in part produced via a mitochondrial independent pathway. An oxygen gradient between the extra- and intracellular compartments was observed in WT Molt-4 cells, which further increased when cells were stimulated by CCCP and MSB. The results are consistent with our earlier findings suggesting that such oxygen gradients may be a general phenomenon found in most or all cell systems under appropriate conditions.","['Shen, Jiangang', 'Khan, Nadeem', 'Lewis, Lionel D', 'Armand, Ray', 'Grinberg, Oleg', 'Demidenko, Eugene', 'Swartz, Harold']","['Shen J', 'Khan N', 'Lewis LD', 'Armand R', 'Grinberg O', 'Demidenko E', 'Swartz H']","['EPR Center, Department of Diagnostic Radiology, Dartmouth Medical School, Hanover, New Hampshire 03755, USA.']",['eng'],"['P41 RR011602/RR/NCRR NIH HHS/United States', 'CA 231098/CA/NCI NIH HHS/United States', 'P41 RR11602/RR/NCRR NIH HHS/United States', 'R01 GM34250/GM/NIGMS NIH HHS/United States']","['Comparative Study', 'Evaluation Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biophys J,Biophysical journal,0370626,"['0 (Benzoates)', '0 (Methyl 2-((succinimidooxy)carbonyl)benzoate)', '0 (Reactive Oxygen Species)', '0 (Succinimides)', '555-60-2 (Carbonyl Cyanide m-Chlorophenyl Hydrazone)', '59-85-8 (p-Chloromercuribenzoic Acid)', 'MQD255M2ZO (Potassium Cyanide)', 'S88TT14065 (Oxygen)']",IM,"['Benzoates/pharmacology', 'Carbonyl Cyanide m-Chlorophenyl Hydrazone/pharmacology', 'Cell Respiration/drug effects/*physiology', 'Electron Spin Resonance Spectroscopy/*methods', 'Extracellular Space/metabolism', 'Humans', 'Intracellular Fluid/metabolism', 'Leukemia/genetics/metabolism', 'Mitochondria/drug effects/genetics/*metabolism', 'Mutagenesis, Site-Directed', 'Mutation', 'Oximetry/*methods', 'Oxygen/analysis/*metabolism', 'Oxygen Consumption', 'Potassium Cyanide/pharmacology', 'Reactive Oxygen Species/metabolism', 'Spin Trapping', 'Succinimides/pharmacology', 'Tumor Cells, Cultured/drug effects/metabolism', 'p-Chloromercuribenzoic Acid/pharmacology']",PMC1302705,2003/01/28 04:00,2003/08/20 05:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/08/20 05:00 [medline]', '2003/01/28 04:00 [entrez]']","['S0006-3495(03)74944-3 [pii]', '10.1016/S0006-3495(03)74944-3 [doi]']",ppublish,Biophys J. 2003 Feb;84(2 Pt 1):1291-8. doi: 10.1016/S0006-3495(03)74944-3.,,,,,,,,,,,,,,,,
12547774,NLM,MEDLINE,20030819,20181113,0006-3495 (Print) 0006-3495 (Linking),84,2 Pt 1,2003 Feb,MIC channels are inhibited by internal divalent cations but not ATP.,922-7,"TRPM7 channels are nonselective cation channels that possess a functional alpha-kinase domain. It has been proposed that heterologously expressed TRPM7 channels are activated (Runnels et al., 2001) or inhibited (Nadler et al., 2001) by dialyzing the cell with millimolar levels of ATP. The endogenous correlate of TRPM7 has been identified in T-lymphocytes and RBL (rat basophilic leukemia) cells and named MagNuM (for Mg(2+)-nucleotide-inhibited metal) or MIC (for Mg(2+)-inhibited cation). Here, we report that internal Mg(2+) rather than MgATP inhibits this current. Cytoplasmic MgATP, supplied by dialysis at millimolar concentrations, effectively inhibits only when a weak Mg(2+) chelator is present in the pipette solution. Thus, MgATP acts as a source of Mg(2+) rather than a source of ATP. Using an externally accessible site within the pore of the MIC channel itself as a bioassay, we show that equimolar MgCl(2) and MgATP solutions contain similar amounts of free Mg(2+), explaining the fact that numeric values of Mg(2+) and MgATP concentrations necessary for complete inhibition are the same. Furthermore, we demonstrate that Mg(2+) is not unique in its inhibitory action, as Ba(2+), Sr(2+), Zn(2+), and Mn(2+) can substitute for Mg(2+), causing complete inhibition. We conclude that MIC current inhibition occurs simply by divalent cations.","['Kozak, J Ashot', 'Cahalan, Michael D']","['Kozak JA', 'Cahalan MD']","['Department of Physiology and Biophysics, University of California, Irvine, California 92697, USA.']",['eng'],"['R01 NS014609/NS/NINDS NIH HHS/United States', 'R37 NS014609/NS/NINDS NIH HHS/United States', 'NS14609/NS/NINDS NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Biophys J,Biophysical journal,0370626,"['0 (Cations)', '0 (Ion Channels)', '0 (Membrane Proteins)', '0 (TRPM Cation Channels)', '02F3473H9O (Magnesium Chloride)', '526U7A2651 (Egtazic Acid)', '8L70Q75FXE (Adenosine Triphosphate)', '9G34HU7RV0 (Edetic Acid)', 'EC 2.7.- (Protein Kinases)', 'EC 2.7.11.1 (Trpm7 protein, rat)']",IM,"['Adenosine Triphosphate/metabolism/*pharmacology', 'Animals', 'Cations/pharmacology', 'Cells, Cultured', 'Edetic Acid/pharmacology', 'Egtazic Acid/pharmacology', 'Ion Channel Gating/*drug effects', 'Ion Channels/*drug effects/metabolism', 'Leukemia/metabolism/physiopathology', 'Magnesium Chloride/metabolism/*pharmacology', 'Membrane Potentials/drug effects', '*Membrane Proteins', 'Protein Kinases/*drug effects/metabolism', 'Rats', 'Sensitivity and Specificity', 'TRPM Cation Channels', 'Tumor Cells, Cultured/metabolism']",PMC1302670,2003/01/28 04:00,2003/08/20 05:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/08/20 05:00 [medline]', '2003/01/28 04:00 [entrez]']","['S0006-3495(03)74909-1 [pii]', '10.1016/S0006-3495(03)74909-1 [doi]']",ppublish,Biophys J. 2003 Feb;84(2 Pt 1):922-7. doi: 10.1016/S0006-3495(03)74909-1.,['Biophys J. 2004 Oct;87(4):2912'],,,,,,,,,,,,,,,
12547285,NLM,MEDLINE,20030312,20190702,0027-5107 (Print) 0027-5107 (Linking),535,1,2003 Feb 5,A new approach for evaluating in vivo anti-leukemic activity using the SCE assay. An application on three newly synthesised anti-tumour steroidal esters.,79-86,"Three newly synthesised steroidal esteric derivatives of nitrogen mustard (compounds 1-3) were comparatively studied on a molar basis regarding their ability to induce sister chromatid exchanges (SCEs) in normal human lymphocytes in vitro and therapeutic effects on leukemia P388 bearing mice. Compounds 1 and 3 are modified steroidal esters of p-methyl-m-N,N-bis(2-chloroethyl)amino benzoic acid, and compound 2 is a modified steroidal ester of chlorambucil. All compounds induced statistically significant increases in SCEs and decreases in proliferation rate indices (PRIs) of cultured human lymphocytes and significantly increased the life span of P388 bearing mice. In this study, the doses applied for therapeutic purposes upon leukemia P388 bearing mice in vivo were derived from cytogenetic observations in normal human lymphocytes in vitro. A substantially better therapeutic effect was obtained compared to the effect achieved after the use of quite higher doses related with LD(10) values. We have demonstrated that the order of anti-tumour effectiveness of the treatment schedules of the three newly synthesised compounds tested (at doses derived from cytogenetic observations) coincides with the order of the cytogenetic effects they induce. The SCE assay appears to have an application in the clinical prediction of tumour sensitivity to potential chemotherapeutics.","['Karayianni, Venetia', 'Mioglou, Eleftheria', 'Iakovidou, Zafiroula', 'Mourelatos, Dionysios', 'Fousteris, Manolis', 'Koutsourea, Anna', 'Arsenou, Evaggelia', 'Nikolaropoulos, Sotiris']","['Karayianni V', 'Mioglou E', 'Iakovidou Z', 'Mourelatos D', 'Fousteris M', 'Koutsourea A', 'Arsenou E', 'Nikolaropoulos S']","['Laboratory of Biology and Genetics, Medical School, Aristotle University of Thessaloniki, 54124 Thessaloniki, Greece.']",['eng'],,['Journal Article'],Netherlands,Mutat Res,Mutation research,0400763,"['0 (Antineoplastic Agents, Alkylating)', '0 (Nitrogen Mustard Compounds)', '0 (Steroids)']",IM,"['Animals', 'Antineoplastic Agents, Alkylating/chemical synthesis/chemistry/*pharmacology', 'Drug Screening Assays, Antitumor/*methods', 'Female', 'Humans', 'In Vitro Techniques', 'Leukemia P388/drug therapy/genetics/pathology', 'Lymphocytes/drug effects', 'Male', 'Mice', 'Mice, Inbred DBA', 'Nitrogen Mustard Compounds/chemical synthesis/chemistry/pharmacology', 'Sister Chromatid Exchange/*drug effects', 'Steroids/chemical synthesis/chemistry/pharmacology']",,2003/01/28 04:00,2003/03/13 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/03/13 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S1383571802002863 [pii]', '10.1016/s1383-5718(02)00286-3 [doi]']",ppublish,Mutat Res. 2003 Feb 5;535(1):79-86. doi: 10.1016/s1383-5718(02)00286-3.,,['Copyright 2002 Elsevier Science B.V.'],,,,,,,,,,,,,,
12547280,NLM,MEDLINE,20030312,20211203,0027-5107 (Print) 0027-5107 (Linking),535,1,2003 Feb 5,Free radical scavengers can differentially modulate the genotoxicity of amsacrine in normal and cancer cells.,25-34,"Amsacrine is an acridine derivative drug applied in haematological malignancies. It targets topoisomerase II enhancing the formation of a cleavable DNA-enzyme complex and leading to DNA fragmentation in dividing cancer cells. Little is known about other modes of the interaction of amsacrine with DNA, by which it could affect also normal cells. Using the alkaline comet assay, we showed that amsacrine at concentrations from the range 0.01 to 10 microM induced DNA damage in normal human lymphocytes, human promyelocytic leukemia HL-60 cells lacking the p53 gene and murine pro-B lymphoid cells BaF3 expressing BCR/ABL oncogene measured as the increase in percentage tail DNA. The effect was dose-dependent. Treated cells were able to recover within a 120-min incubation. Amifostine at 14 mM decreased the level of DNA damage in normal lymphocytes, had no effect on the HL-60 cells and potentiated the DNA-damaging effect of the drug in BCR/ABL-transformed cells. Vitamin C at 10 and 50 microM diminished the extent of DNA damage in normal lymphocytes, but had no effect in cancer cells. Pre-treatment of the cells with the nitrone spin trap, N-tert-butyl-alpha-phenylnitrone or ebselen, which mimics glutathione peroxidase, reduced the extent of DNA damage evoked by amsacrine in all types of cells. The cells exposed to amsacrine and treated with endonuclease III and 3-methyladenine-DNA glycosylase II, the enzymes recognizing oxidized and alkylated bases, respectively, displayed greater extent of DNA damage than those not treated with these enzymes. The results obtained suggest that free radicals may be involved in the formation of DNA lesions induced by amsacrine. The drug can also methylate DNA bases. Our results indicate that the induction of secondary malignancies should be taken into account as diverse side effects of amsacrine. Amifostine may potentate DNA-damage effect of amsacrine in cancer cells and decrease this effect in normal cells and Vitamin C can be considered as a protective agent against DNA damage in normal cells.","['Blasiak, Janusz', 'Gloc, Ewa', 'Drzewoski, Jozef', 'Wozniak, Katarzyna', 'Zadrozny, Marek', 'Skorski, Tomasz', 'Pertynski, Tomasz']","['Blasiak J', 'Gloc E', 'Drzewoski J', 'Wozniak K', 'Zadrozny M', 'Skorski T', 'Pertynski T']","['Department of Molecular Genetics, University of Lodz, Lodz, Poland. junuszb@biol.uni.lodz.pl']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",Netherlands,Mutat Res,Mutation research,0400763,"['0 (Azoles)', '0 (Cyclic N-Oxides)', '0 (Free Radical Scavengers)', '0 (Isoindoles)', '0 (Mutagens)', '0 (Nitrogen Oxides)', '0 (Organoselenium Compounds)', '00DPD30SOY (Amsacrine)', '3I91332OPG (phenyl-N-tert-butylnitrone)', '40X2P7DPGH (ebselen)', 'M487QF2F4V (Amifostine)', 'PQ6CK8PD0R (Ascorbic Acid)']",IM,"['Adult', 'Amifostine/pharmacology', 'Amsacrine/administration & dosage/*toxicity', 'Animals', 'Ascorbic Acid/pharmacology', 'Azoles/pharmacology', 'Cell Line, Transformed', 'Comet Assay', 'Cyclic N-Oxides', 'DNA Damage', 'DNA Repair', 'Dose-Response Relationship, Drug', 'Free Radical Scavengers/*pharmacology', 'HL-60 Cells', 'Humans', 'In Vitro Techniques', 'Isoindoles', 'Lymphocytes/drug effects/metabolism', 'Male', 'Mice', 'Mutagens/administration & dosage/*toxicity', 'Nitrogen Oxides/pharmacology', 'Organoselenium Compounds/pharmacology']",,2003/01/28 04:00,2003/03/13 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/03/13 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S1383571802002899 [pii]', '10.1016/s1383-5718(02)00289-9 [doi]']",ppublish,Mutat Res. 2003 Feb 5;535(1):25-34. doi: 10.1016/s1383-5718(02)00289-9.,,['Copyright 2002 Elsevier Science B.V.'],,,,,,,,,,,,,,
12547252,NLM,MEDLINE,20031119,20191106,1079-9796 (Print) 1079-9796 (Linking),29,3,2002 Nov-Dec,Role of Ets-1 in erythroid differentiation.,553-61,"Members of the Ets gene family are known to be expressed in the hematopoietic tissue and some of them play a pivotal role in normal hematopoietic cell development. Ets-1 gene expression was analyzed in Friend Leukemia Cells (FLC) induced to erythroid differentiation by DMSO. We show that the level of Ets-1 protein and its binding activity decreases in FLC along erythroid differentiation of primary human progenitors. The same behavior was observed during normal erythroid differentiation. Moreover, FLC constitutively expressing Ets-1 show a decrease in TfR gene expression, globin mRNA and hemoglobin synthesis. These data indicate that a decrease in Ets-1 binding activity is required for a normal erythroid maturation and that a deregulated expression of this transcription factor may interfere with terminal erythroid differentiation.","['Marziali, Giovanna', 'Perrotti, Edvige', 'Ilari, Ramona', 'Lulli, Valentina', 'Coccia, Eliana M', 'Mazzeo, Simona', 'Kuhn, Lukas C', 'Testa, Ugo', 'Battistini, Angela']","['Marziali G', 'Perrotti E', 'Ilari R', 'Lulli V', 'Coccia EM', 'Mazzeo S', 'Kuhn LC', 'Testa U', 'Battistini A']","['Laboratory of Virology, Istituto Superiore di Sanita, Viale Regina Elena 299, 00161 Rome, Italy.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Blood Cells Mol Dis,"Blood cells, molecules & diseases",9509932,"['0 (ETS1 protein, human)', '0 (Proto-Oncogene Protein c-ets-1)', '0 (Proto-Oncogene Proteins)', '0 (Proto-Oncogene Proteins c-ets)', '0 (Transcription Factors)']",IM,"['Cell Differentiation/*physiology', 'Erythroid Precursor Cells/*physiology', 'Humans', 'K562 Cells', 'Proto-Oncogene Protein c-ets-1', 'Proto-Oncogene Proteins/*metabolism', 'Proto-Oncogene Proteins c-ets', 'Transcription Factors/*metabolism']",,2003/01/28 04:00,2003/12/03 05:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/12/03 05:00 [medline]', '2003/01/28 04:00 [entrez]']","['S1079979602905954 [pii]', '10.1006/bcmd.2002.0595 [doi]']",ppublish,Blood Cells Mol Dis. 2002 Nov-Dec;29(3):553-61. doi: 10.1006/bcmd.2002.0595.,,,,,,,,,,,,,,,,
12547167,NLM,MEDLINE,20030212,20190816,0165-4608 (Print) 0165-4608 (Linking),139,1,2002 Nov,Structural chromosomal abnormality of 1q in acute leukemia with Sweet syndrome.,84-5,,"['Colovic, Milica', 'Jankovic, Gradimir', 'Suvajdzic, Nada', 'Nikolic, Milos']","['Colovic M', 'Jankovic G', 'Suvajdzic N', 'Nikolic M']",,['eng'],,"['Case Reports', 'Letter']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', '*Chromosome Aberrations', 'Chromosome Banding', 'Chromosome Mapping', '*Chromosomes, Human, Pair 1', 'Female', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/complications/*genetics/pathology', 'Sweet Syndrome/complications/*genetics/pathology']",,2003/01/28 04:00,2003/02/14 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S0165460802006088 [pii]', '10.1016/s0165-4608(02)00608-8 [doi]']",ppublish,Cancer Genet Cytogenet. 2002 Nov;139(1):84-5. doi: 10.1016/s0165-4608(02)00608-8.,,,,,,,,,,,,,,,,
12547165,NLM,MEDLINE,20030212,20211203,0165-4608 (Print) 0165-4608 (Linking),139,1,2002 Nov,Constitutional rearrangements of 7q22 in hematologic malignancies. a new case report.,75-7,"Abnormalities of chromosome 7 are a frequent finding in myelocytic malignancies and are associated with a poor prognosis. Based on chromosome banding analysis, two critical regions have been identified: one in band 7q22 and the second in region 7q32 approximately q35. The chromosomal breakpoint in band 7q22 appears to be heterogeneous and may involve tumor suppressor gene(s). Constitutional rearrangements of 7q22 have rarely been reported in myeloid malignancies. To our knowledge, this is the first report in the literature of a myeloproliferative disorder with a constitutional t(1;7)(q42;q22).","['Forrest, Donna L', 'Lee, Christine L Y']","['Forrest DL', 'Lee CL']","['The Division of Hematology, Department of Medicine, Queen Elizabeth II Health Sciences Centre, Nova Scotia, Halifax, Canada. dforrest@is.dal.ca']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', 'Chromosome Banding', 'Chromosome Mapping', '*Chromosomes, Human, Pair 7', 'Female', '*Gene Rearrangement', 'Genes, Tumor Suppressor', 'Humans', 'Karyotyping', 'Leukemia, Myeloid/*genetics', 'Nova Scotia', 'Whites']",,2003/01/28 04:00,2003/02/14 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S0165460802006064 [pii]', '10.1016/s0165-4608(02)00606-4 [doi]']",ppublish,Cancer Genet Cytogenet. 2002 Nov;139(1):75-7. doi: 10.1016/s0165-4608(02)00606-4.,,,,,,,,,,,,,,,,
12547164,NLM,MEDLINE,20030212,20190816,0165-4608 (Print) 0165-4608 (Linking),139,1,2002 Nov,Deletion 6q as a recurrent chromosomal aberration in T-cell large granular lymphocyte leukemia.,71-4,"T-cell large granular lymphocyte (T-LGL) leukemia is an uncommon disease, with limited information on karyotypic aberrations. No consistent chromosomal changes have thus far been described. We report two cases of T-LGL leukemia who presented with severe anemia. The LGL were CD3+, CD4-, CD8+, CD56-, and CD161-, with variable expression of CD94, CD158a, and CD158b, and had clonal T-cell receptor gene rearrangement. A deletion of the long arm of chromosome 6 was the sole aberration in both cases. This is the first report of a recurrent chromosomal aberration in T-LGL leukemia.","['Man, C', 'Au, W Y', 'Pang, A', 'Kwong, Y L']","['Man C', 'Au WY', 'Pang A', 'Kwong YL']","[""Professorial Block, Queen Mary Hospital, Pokfulam Road, Hong Kong, People's Republic of China.""]",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,"['0 (Antigens, CD)']",IM,"['Antigens, CD/genetics', 'Burkitt Lymphoma/*genetics', '*Chromosome Aberrations', 'Chromosome Mapping', '*Chromosomes, Human, Pair 6', 'Humans', 'Karyotyping']",,2003/01/28 04:00,2003/02/14 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S0165460802006052 [pii]', '10.1016/s0165-4608(02)00605-2 [doi]']",ppublish,Cancer Genet Cytogenet. 2002 Nov;139(1):71-4. doi: 10.1016/s0165-4608(02)00605-2.,,,,,,,,,,,,,,,,
12547162,NLM,MEDLINE,20030212,20190816,0165-4608 (Print) 0165-4608 (Linking),139,1,2002 Nov,Novel dic(16;18)(q11;p11) in two cases of Philadelphia chromosome positive acute B-cell lymphoblastic leukemia.,63-6,"We report two adult patients with Philadelphia chromosome positive (Ph+) B-cell acute lymphoblastic leukemia (ALL) who presented an additional dic(16;18)(q11;p11) that, to the best of our knowledge, has never been previously reported. Fluorescence in situ hybridization analysis confirmed the translocation and showed it to be dicentric. Both patients were treated for the ALL, but showed refractory disease and died despite aggressive treatment. Similarly to what has been reported with other additional chromosome abnormalities, our cases suggest that the presence of this novel translocation confers an adverse effect to the already poor prognosis of Ph+ ALL.","['Domingo-Domenech, Eva', 'Boque, Concha', 'Aventin, Ana', 'Calasanz, Maria Jose', 'Valiente, Alberto', 'Perez-Equiza, Katy', 'Domingo-Claros, Alicia', 'Granena, Albert']","['Domingo-Domenech E', 'Boque C', 'Aventin A', 'Calasanz MJ', 'Valiente A', 'Perez-Equiza K', 'Domingo-Claros A', 'Granena A']","[""Department of Hematology and Cytology, Institut Catala d'Oncologia, Ciudad Sanitaria y Universitaria de Bellvitge, Barcelona, Spain. 31577edd@comb.es""]",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adolescent', 'Adult', '*Chromosome Aberrations', 'Chromosome Mapping', '*Chromosomes, Human, Pair 16', '*Chromosomes, Human, Pair 18', 'Female', 'Humans', 'In Situ Hybridization, Fluorescence', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*genetics', 'Male']",,2003/01/28 04:00,2003/02/14 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S016546080200599X [pii]', '10.1016/s0165-4608(02)00599-x [doi]']",ppublish,Cancer Genet Cytogenet. 2002 Nov;139(1):63-6. doi: 10.1016/s0165-4608(02)00599-x.,,,,,,,,,,,,,,,,
12547161,NLM,MEDLINE,20030212,20190816,0165-4608 (Print) 0165-4608 (Linking),139,1,2002 Nov,Partial deletion of chromosome 1 in a case of acute myelocytic leukemia.,60-2,"Acute myelocytic leukemia (AML) is a malignant disease characterized by the proliferation of immature myelocytic precursor cells causing the disruption of normal bone marrow function. Many chromosomal aberrations have been described in AML including translocations, inversions, deletions, and additions. Here we describe a novel deletion of chromosome 1, del(1)(p34p36) in a case of AML, French-American-British classification M1, in a previously healthy 33-year-old male. This isolated cytogenetic abnormality occurred in 33% of the myeloblasts examined at diagnosis. Subsequent cytogenetic analyses conducted on marrow following induction and consolidation therapy demonstrated a normal male karyotype in all cells examined. The patient remains in clinical and hematological remission 22 months following diagnosis. The presence of 1p abnormalities in AML and other malignancies is reviewed, as are candidate tumor suppressor genes in the 1p34 approximately p36 region. The implications of chromosome 1p abnormalities on clinical outcome are also discussed.","['Coupland, L A', 'Jammu, V', 'Pidcock, M E']","['Coupland LA', 'Jammu V', 'Pidcock ME']","['Department of Clinical Haematology, The Canberra Hospital, Garran, Australia. Lucy.Coupland@act.gov.au']",['eng'],,"['Case Reports', 'Journal Article']",United States,Cancer Genet Cytogenet,Cancer genetics and cytogenetics,7909240,,IM,"['Adult', 'Antineoplastic Combined Chemotherapy Protocols/therapeutic use', '*Chromosome Deletion', '*Chromosomes, Human, Pair 1', 'Humans', 'Karyotyping', 'Leukemia, Myeloid, Acute/drug therapy/*genetics/pathology', 'Male', 'Time Factors', 'Treatment Outcome']",,2003/01/28 04:00,2003/02/14 04:00,['2003/01/28 04:00'],"['2003/01/28 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2003/01/28 04:00 [entrez]']","['S0165460802005976 [pii]', '10.1016/s0165-4608(02)00597-6 [doi]']",ppublish,Cancer Genet Cytogenet. 2002 Nov;139(1):60-2. doi: 10.1016/s0165-4608(02)00597-6.,,,,,,,,,,,,,,,,
