PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,CIN,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,CI,GR,PMC,TT,EIN,CRF,SI,OID,OTO,OT,GN,CON,MID,CN,OAB,OABL,LID,PS,FPS
12373358,NLM,MEDLINE,20030212,20071115,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Fournier's gangrene after unrelated cord blood stem cell transplantation.,538-9,"A 16-year-old boy with refractory acute myelogenous leukemia developed Fournier's gangrene as an early complication after two-antigen HLA-mismatched unrelated cord blood stem cell transplantation. On day 25 after the transplantation, he noted abrupt onset of penile swelling with miction pain. The penile inflammation rapidly extended posteriorly to involve the scrotum and perianal tissues, inferiorly to involve the thighs, and superiorly up the lower abdominal region within the next 36 h, and he died from sepsis on day 27. Fournier's gangrene presenting as a genitoperineal necrotizing fasciitis should be considered as a potential complication in umbilical-cord blood recipients in the cytopenic post-transplant phase.","['Yoshida, C', 'Kojima, K', 'Shinagawa, K', 'Hashimoto, D', 'Asakura, S', 'Takata, S', 'Tanimoto, M']","['Yoshida C', 'Kojima K', 'Shinagawa K', 'Hashimoto D', 'Asakura S', 'Takata S', 'Tanimoto M']","['Department of Internal Medicine II, Okayama University Medical School, 2-5-1 Shikata-cho, Okayama 700-8558, Japan.']",['eng'],"['Case Reports', 'Journal Article']",20020907,Germany,Ann Hematol,Annals of hematology,9107334,IM,['Ann Hematol. 2003 Aug;82(8):531-2. PMID: 12811517'],"['Adolescent', 'Cord Blood Stem Cell Transplantation/*adverse effects', 'Fasciitis, Necrotizing/etiology', 'Fatal Outcome', 'Fournier Gangrene/*etiology/pathology', 'Histocompatibility', 'Humans', 'Leukemia, Myeloid, Acute/complications/therapy', 'Male', 'Sepsis', 'Transplantation, Homologous/adverse effects/immunology']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/01/15 00:00 [received]', '2002/07/09 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0525-9 [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):538-9. doi: 10.1007/s00277-002-0525-9. Epub 2002 Sep 7.,,,,,,,,,,,,,,,,,,,,,
12373357,NLM,MEDLINE,20030212,20131121,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Eosinophilic pneumonia after administration of fludarabine for the treatment of non-Hodgkin's lymphoma.,535-7,"Fludarabine is a purine analogue which is effective in the treatment of patients with low-grade non-Hodgkin's lymphoma, including chronic lymphocytic leukemia. While pulmonary toxicity due to cytotoxic drugs is increasingly diagnosed, only few cases of interstitial pneumonitis have been described following fludarabine administration. Here we report the first case in the literature of an acute eosinophilic pneumonia associated with peripheral blood eosinophilia after the administration of fludarabine monotherapy for stage IV follicular lymphoma.","['Trojan, A', 'Meier, R', 'Licht, A', 'Taverna, C']","['Trojan A', 'Meier R', 'Licht A', 'Taverna C']","['Division of Oncology, Department of Internal Medicine, University Hospital, Ramistrasse 100, 8091 Zurich, Switzerland. andreas.trojan@dim.usz.ch']",['eng'],"['Case Reports', 'Journal Article']",20020801,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Antineoplastic Agents/administration & dosage/adverse effects', 'Aortic Valve Stenosis/complications', 'Female', 'Heart Failure/complications', 'Humans', 'Lymphoma, Follicular/complications/drug therapy', 'Lymphoma, Non-Hodgkin/complications/*drug therapy', 'Middle Aged', 'Pulmonary Eosinophilia/*chemically induced/diagnosis', 'Vidarabine/administration & dosage/*adverse effects/*analogs & derivatives']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/04/23 00:00 [received]', '2002/05/23 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0497-9 [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):535-7. doi: 10.1007/s00277-002-0497-9. Epub 2002 Aug 1.,"['0 (Antineoplastic Agents)', 'FA2DM6879K (Vidarabine)', 'P2K93U8740 (fludarabine)']",,,,,,,,,,,,,,,,,,,,
12373356,NLM,MEDLINE,20030212,20060424,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Splenic actinomycotic abscess in a patient with acute myeloid leukemia.,532-4,"Actinomycosis is a gram-positive anaerobic bacterium. Actinomyces organisms are important constituents of the normal flora of mucous membranes and are considered opportunistic pathogens. The three major clinical presentations of actinomycosis include the cervicofacial, thoracic, and abdominopelvic regions. Actinomycosis infection in patients with febrile neutropenia is uncommon and actinomycosis splenic involvement in acute leukemia patients is very rare. We describe a man with acute myeloid leukemia and splenic actinomycotic abscess that developed after chemotherapy following prolonged neutropenia.","['Chen, C-Y', 'Chen, Y-C', 'Tang, J-L', 'Lin, W-C', 'Su, I-J', 'Tien, H-F']","['Chen CY', 'Chen YC', 'Tang JL', 'Lin WC', 'Su IJ', 'Tien HF']","['Department of Internal Medicine, National Taiwan University Hospital, No. 7, Chung-Shan South Road, Taipei 100, Taiwan.']",['eng'],"['Case Reports', 'Journal Article']",20020731,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Actinomycosis/chemically induced/*diagnosis/microbiology', 'Acute Disease', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage/toxicity', 'Diagnosis, Differential', 'Humans', 'Leukemia, Myeloid/*complications', 'Male', 'Middle Aged', 'Mycoses/diagnosis', 'Neutropenia/complications', 'Opportunistic Infections/diagnosis/microbiology', 'Splenic Diseases/chemically induced/diagnosis/*microbiology']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/02/14 00:00 [received]', '2002/05/22 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0487-y [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):532-4. doi: 10.1007/s00277-002-0487-y. Epub 2002 Jul 31.,,,,,,,,,,,,,,,,,,,,,
12373355,NLM,MEDLINE,20030212,20131121,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,"Candida arthritis in a patient with chronic myelogenous leukemia (CML) in blastic transformation, unresponsive to fluconazole, but treated effectively with liposomal amphotericin B.",529-31,"Candida arthritis is quite rare and might be caused either by direct intra-articular inoculation of Candida or secondary to hematogeneous seeding of Candida in immunocompromised hosts. Until now less than 50 cases of Candida arthritis have been reported in the literature. We report a case of Candida arthritis, which occurred in a patient with chronic myelogenous leukemia (CML) in blastic transformation. Aggressive chemotherapy and broad-spectrum antibiotics for a prolonged period for febrile neutropenia had been given to the patient. Arthritis of the left knee appeared during the recovery phase of leukopenia. Despite treatment with fluconazole, no clinical or microbiological improvement was obtained. Thus, administration of liposomal amphotericin B was started and after 3 days there was improvement. We can conclude that fluconazole might not be sufficient in some Candida arthritis cases and liposomal amphotericin B might be a good alternative in these resistant cases.","['Turgut, B', 'Vural, O', 'Demir, M', 'Kaldir, M']","['Turgut B', 'Vural O', 'Demir M', 'Kaldir M']","['Department of Hematology, Trakya University Medical School, 22030 Edirne, Turkey. burhanturgut@hotmail.com']",['eng'],"['Case Reports', 'Journal Article']",20020816,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Amphotericin B/*administration & dosage', 'Arthritis, Infectious/*drug therapy/etiology', 'Blast Crisis', 'Candidiasis/*drug therapy/etiology', 'Drug Combinations', 'Drug Resistance', 'Fatal Outcome', 'Female', 'Fluconazole/administration & dosage', 'Humans', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*complications/drug therapy', 'Middle Aged', 'Opportunistic Infections/drug therapy/etiology', 'Phosphatidylcholines/*administration & dosage', 'Phosphatidylglycerols/*administration & dosage']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/03/14 00:00 [received]', '2002/06/26 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0503-2 [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):529-31. doi: 10.1007/s00277-002-0503-2. Epub 2002 Aug 16.,"['0 (Drug Combinations)', '0 (Phosphatidylcholines)', '0 (Phosphatidylglycerols)', '0 (liposomal amphotericin B)', '7XU7A7DROE (Amphotericin B)', '8VZV102JFY (Fluconazole)']",,,,,,,,,,,,,,,,,,,,
12373351,NLM,MEDLINE,20030212,20131121,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Evaluation of apoptosis induced in vitro by cladribine (2-CdA) combined with anthracyclines in lymphocytes from patients with B-cell chronic lymphocytic leukemia.,508-13,"The aim of the study was to evaluate the effect of three anthracyclines [doxorubicin (DOX), mitoxantrone (MIT), and idarubicin (IDA)] on the rate of apoptosis triggered by 2-chlorodeoxyadenosine (2-CdA) in peripheral blood mononuclear cells isolated from 52 untreated patients with B-cell chronic lymphocytic leukemia (B-CLL). The cells were cultured up to 48 h in the presence of drugs alone and in the following combinations: 2-CdA+DOX, 2-CdA+MIT, and 2-CdA+IDA. Apoptosis was assessed after 24 h and 48 h of incubation using annexin V/propidium iodide assay by flow cytometry. The apoptotic index (AI) was defined as a percentage of annexin V-positive B-CLL cells. Additionally, in some patients other hallmarks of apoptosis (activation of caspases, DNA fragmentation) were assessed in parallel for confirmation of apoptotic mode of induced cell death. All of the cytostatics induced apoptosis of B-CLL cells at a rate significantly higher than the index of spontaneous apoptosis occurring during 24 h and 48 h of cell culture. 2-CdA in combination with DOX significantly increased the percentage of annexin V-positive cells, particularly after 48 h of incubation, as compared with DOX used in monotherapy (median AI for 2-CdA+DOX=37.9%, median AI for DOX =13.8%, P=0.0011, and median AI for 2-CdA=22.1%, P=0.013). Combination of 2-CdA with MIT induced a similar effect, also more distinct after 48 h (median AI for 2-CdA+MIT=41.05%, median AI for MIT=16.3%, p=0.0012, and median AI for 2-CdA=22.1%, p=0.017). For both combinations median AI were similar to the sum of median AI for each drug when used alone. IDA in a concentration ten times lower (0.1 micro g/ml) than used before in acute leukemia cells produced high cytotoxic effects, masking the additive effect of combination with 2-CdA. Only at a dose of 25 ng/ml of IDA, significant differences in AI after 24 h and 48 h were detected between samples treated with 2-CdA+IDA (median 27.5% and 65.0%, respectively) and those incubated with IDA alone (median 10.5% and 33.4%; P=0.0004 and 0.0274, respectively). Similarly, there were significant differences between AI of cells treated with 2-CdA+IDA and 2-CdA alone (median 9.5% at 24 h and 23.5% at 48 h; P=0.0013 and 0.0207, respectively). In conclusion; these data indicate an additive cytotoxic effect on B-CLL cells of DOX, MIT, and IDA applied in vitro with 2-CdA; all of them induced apoptosis with similar efficacy. We suggest that further preclinical and clinical studies concerning combined use of 2-CdA with anthracyclines are desirable. High sensitivity of B-CLL cells to IDA suggests the possibility of lowering its dose in patients, especially when combined with 2-CdA.","['Szmigielska-Kaplon, A', 'Smolewski, P', 'Najder, M', 'Robak, T']","['Szmigielska-Kaplon A', 'Smolewski P', 'Najder M', 'Robak T']","['Department of Hematology, Medical University of Lodz, Poland.']",['eng'],"['Comparative Study', 'Journal Article']",20020913,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Adult', 'Aged', 'Aged, 80 and over', 'Antibiotics, Antineoplastic/*pharmacology', 'Antineoplastic Combined Chemotherapy Protocols/pharmacology', 'Apoptosis/*drug effects', 'Cladribine/*pharmacology', 'Doxorubicin/pharmacology', 'Drug Screening Assays, Antitumor', 'Female', 'Humans', 'Idarubicin/pharmacology', 'Kinetics', 'Leukemia, B-Cell/*drug therapy/pathology', 'Lymphocytes/*drug effects/pathology', 'Male', 'Middle Aged', 'Mitoxantrone/pharmacology']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/02/13 00:00 [received]', '2002/07/11 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0527-7 [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):508-13. doi: 10.1007/s00277-002-0527-7. Epub 2002 Sep 13.,"['0 (Antibiotics, Antineoplastic)', '47M74X9YT5 (Cladribine)', '80168379AG (Doxorubicin)', 'BZ114NVM5P (Mitoxantrone)', 'ZRP63D75JW (Idarubicin)']",,,,,,,,,,,,,,,,,,,,
12373350,NLM,MEDLINE,20030212,20071115,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Anthracycline-related toxicity requiring cardiac transplantation in long-term disease-free survivors with acute promyelocytic leukemia.,504-7,"We describe three cases of acute promyelocytic leukemia (APL) with long-term disease-free survival who developed congestive heart failure (CHF) requiring cardiac transplantation. All three patients presented late-onset cardiotoxicity. Cardiac failure occurred progressively after 31-month, 32-month, and 14-month intervals, respectively, following completion of first anthracycline therapy. Cumulative anthracycline doses were 585 mg of daunorubicin and 64 mg of mitoxantrone in case 1, 1779 mg of daunorubicin in case 2, and 825 mg of daunorubicin in case 3. The questions relating to the pathogenesis of cardiac failure are discussed. We also discuss the prophylactic measures required for such treatment-related side effects.","['Thomas, X', 'Le, Q H', 'Fiere, D']","['Thomas X', 'Le QH', 'Fiere D']","['Department of Hematology, Edouard Herriot Hospital, 69437 Lyon Cedex 03, France. xavier.thomas@chu-lyon.fr']",['eng'],"['Case Reports', 'Journal Article']",20020921,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Adult', 'Antibiotics, Antineoplastic/administration & dosage/*toxicity', 'Antineoplastic Combined Chemotherapy Protocols/administration & dosage', 'Combined Modality Therapy', 'Fatal Outcome', 'Female', 'Heart Failure/*chemically induced/prevention & control/therapy', '*Heart Transplantation', 'Humans', 'Leukemia, Promyelocytic, Acute/*complications/drug therapy/surgery', 'Middle Aged', 'Risk Factors', 'Survivors', 'Treatment Outcome']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/02/28 00:00 [received]', '2002/07/22 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0534-8 [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):504-7. doi: 10.1007/s00277-002-0534-8. Epub 2002 Sep 21.,"['0 (Antibiotics, Antineoplastic)']",,,,,,,,,,,,,,,,,,,,
12373349,NLM,MEDLINE,20030212,20151119,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Myeloid antigen expression provides favorable outcome in patients with adult acute lymphoblastic leukemia: a single-center study.,498-503,"Between July 1992 and July 2001, 81 patients with de novo adult acute lymphoblastic leukemia (ALL) treated according to the German Multicenter Study Group for Adult ALL (GMALL) 01/81 protocol were evaluated in order to analyze the effect of aberrant myeloid antigen expression on prognosis. We observed myeloid antigen aberrant expression in 21 of the adult ALL cases. We did not observe any effect of aberrant myeloid antigen expression on the time to achieve remission, relapse rate, and death rate. After 5 years of follow-up, cumulative disease-free survival of myeloid antigen (My) (+) and My (-) adult ALL patients was 67% and 43%, respectively. These data were not found to be statistically significant (P=0.29), but we did find a statistically significant difference in overall survivals between these two groups (85% vs 50%) (P=0.05). Twenty-nine patients died and the remaining 52 patients were followed for a median of 31 months. We could not find any special effect of the known prognostic factors on prediction of relapse in multivariate analysis. However, myeloid antigen expression was the most significant factor, which affected long-term survival in our patients (P=0.01). These data indicate that myeloid antigen expression is useful for predicting a favorable outcome of adult patients with ALL.","['Yenerel, M N', 'Atamer, T', 'Yavuz, A S', 'Kucukkaya, R', 'Besisik, S', 'Aktan, M', 'Keskin, H', 'Nalcaci, M', 'Sargin, D', 'Pekcelen, Y', 'Dincol, G']","['Yenerel MN', 'Atamer T', 'Yavuz AS', 'Kucukkaya R', 'Besisik S', 'Aktan M', 'Keskin H', 'Nalcaci M', 'Sargin D', 'Pekcelen Y', 'Dincol G']","['Division of Hematology, Department of Internal Medicine, Istanbul Faculty of Medicine, Istanbul University, Turkey. mnyenerel@hotmail.com']",['eng'],['Journal Article'],20020906,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Adolescent', 'Adult', 'Analysis of Variance', 'Antigens, Surface/*metabolism', 'Biomarkers/analysis', 'Female', 'Follow-Up Studies', 'Humans', 'Immunophenotyping', 'Male', 'Middle Aged', 'Myeloid Cells/*immunology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/mortality/*pathology', 'Prognosis', 'Risk Factors', 'Survival Analysis', 'Treatment Outcome']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2001/10/18 00:00 [received]', '2002/07/15 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0524-x [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):498-503. doi: 10.1007/s00277-002-0524-x. Epub 2002 Sep 6.,"['0 (Antigens, Surface)', '0 (Biomarkers)']",,,,,,,,,,,,,,,,,,,,
12373348,NLM,MEDLINE,20030212,20061115,0939-5555 (Print) 0939-5555 (Linking),81,9,2002 Sep,Evaluating the prognosis of patients with myelodysplastic syndromes.,485-97,"One of the hallmarks of myelodysplastic syndromes (MDS) is their prognostic heterogeneity which complicates decision making regarding treatment for individual patients. The French-American-British (FAB) classification provides significant prognostic information, but carries the disadvantage of arbitrary demarcation of subgroups and overemphasis of morphological findings. In addition, there is considerable variation in survival and risk of acute myeloblastic leukemia (AML) development even within defined FAB subgroups, particularly in patients with refractory anemia with ring sideroblasts (RARS) and chronic myelomonocytic leukemia (CMML). Over the last 2 decades, several research groups have tried to identify additional clinical, hematological, and cell biological parameters in order to more accurately predict the natural course of MDS. These investigations have clarified that the number and extent of peripheral blood cytopenias, the bone marrow blast count, and the cytogenetic pattern are the most powerful prognostic indicators in MDS. Recent efforts have been directed at constructing prognostic scoring systems. These scoring systems try to enhance the predictive power by combining several features of the disease, which have proved their independent prognostic weight on multivariate analysis. The International MDS Risk Analysis Workshop substantially advanced the prognostic categorization of MDS patients by proposing a new scoring system (International Prognosis Scoring System, IPSS) that can be successfully applied to risk assessment of newly diagnosed patients and will likely prove useful for the design and analysis of therapeutic trials in MDS.","['Aul, C', 'Giagounidis, A', 'Germing, U', 'Ganser, A']","['Aul C', 'Giagounidis A', 'Germing U', 'Ganser A']","['Medizinische Klinik II (Hamatologie, Onkologie und Immunologie), St. Johannes-Hospital Duisburg, An der Abtei 7-11, 47166 Duisburg, Germany. info@krebs-duisburg.de']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20020924,Germany,Ann Hematol,Annals of hematology,9107334,IM,,"['Bone Marrow/pathology', 'Cell Count', 'Cytogenetic Analysis', 'Humans', 'Immunophenotyping', 'Models, Statistical', 'Mutation', 'Myelodysplastic Syndromes/classification/*diagnosis/etiology', 'Prognosis', 'Risk Assessment/methods/statistics & numerical data']",2002/10/10 04:00,2003/02/14 04:00,['2002/10/10 04:00'],"['2002/06/18 00:00 [received]', '2002/07/18 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/02/14 04:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00277-002-0530-z [doi]'],ppublish,Ann Hematol. 2002 Sep;81(9):485-97. doi: 10.1007/s00277-002-0530-z. Epub 2002 Sep 24.,,105,,,,,,,,,,,,,,,,,,,
12373324,NLM,MEDLINE,20030702,20131121,0301-634X (Print) 0301-634X (Linking),41,3,2002 Sep,Peteosthor - a medical disaster due to Radium-224A personal recollection.,163-72,"Up to the end of World War II, there was no effective therapy against bone tuberculosis, and even today there is no treatment for ankylosing spondylitis. However, in the 1940s up to about 1956, radiotherapy with ""Peteosthor"" - a drug containing Thorium X ((224)Ra) as an effective compound - was introduced in Germany as a presumed cure and it maintained a central place in the treatment of these diseases. In 1948, I was entrusted to assess the new treatment. Animal studies and the clinical evaluation of the patients made me soon realise a number of severe adverse health effects which induced me to pronounce and subsequently repeat warnings against the intravenous administration of high doses of (224)Ra, especially because it was then administered predominantly to children and juveniles. As a consequence, this type of treatment was finally abandoned in 1956. But there remained a need to observe and document the resulting late health effects. Already in 1967, our initial follow-up study provided data for about 800 patients with exact information on the (224)Ra dose levels administered, administration schemes, and the resulting detrimental effects. A large number of bone sarcomas was the most severe consequence, but even today there is a broad spectrum of other grave health effects. A summary of the major scientific insights which have been achieved in the course of the still on-going epidemiological studies is part of this report.","['Spiess, Heinz']",['Spiess H'],"['Poliklinik, Klinikum Innenstadt, Ludwig-Maximilians-Universitat, Pettenkoferstrasse 8a, 80336 Munich, Germany. Prof.Spiess@lrz.uni-muenchen.de']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",20021001,Germany,Radiat Environ Biophys,Radiation and environmental biophysics,0415677,IM,,"['Aged', 'Female', 'Follow-Up Studies', 'Germany', 'Humans', 'Leukemia, Radiation-Induced/etiology', 'Male', 'Middle Aged', 'Neoplasms, Radiation-Induced/*epidemiology/*etiology', 'Radiation Injuries/epidemiology/etiology', 'Radiopharmaceuticals/adverse effects/therapeutic use', 'Radiotherapy Dosage', 'Radium/*adverse effects/*therapeutic use', 'Spondylitis, Ankylosing/*radiotherapy', 'Thorium', 'Time Factors', 'Tuberculosis, Osteoarticular/radiotherapy']",2002/10/10 04:00,2003/07/03 05:00,['2002/10/10 04:00'],"['2001/07/24 00:00 [received]', '2002/06/30 00:00 [accepted]', '2002/10/10 04:00 [pubmed]', '2003/07/03 05:00 [medline]', '2002/10/10 04:00 [entrez]']",['10.1007/s00411-002-0165-4 [doi]'],ppublish,Radiat Environ Biophys. 2002 Sep;41(3):163-72. doi: 10.1007/s00411-002-0165-4. Epub 2002 Oct 1.,"['0 (Radiopharmaceuticals)', '13233-32-4 (thorium X)', '60YU5MIG9W (Thorium)', 'W90AYD6R3Q (Radium)']",32,,,,,,,,,,,,,,,,,,,
12373300,NLM,MEDLINE,20021204,20161124,1107-3756 (Print) 1107-3756 (Linking),10,5,2002 Nov,Dehydrothyrsiferol does not modulate multidrug resistance-associated protein 1 resistance: a functional screening system for MRP1 substrates.,605-8,"We had shown previously that the novel, marine, anticancer compound dehydrothyrsiferol (DHT) does not modulate P-glycoprotein (P-gp) dependent drug efflux. Many chemotherapeutics with clinical impact are substrates for the structurally distant related membrane transport protein MRP1 (multidrug resistance-associated protein 1). Thus, we were interested in analysing the behaviour of DHT and control compounds in specific drug transport of MRP1 overexpressing cells. We established a fluorescence based drug efflux system for specific, functional detection of interference of a test compound in MRP1 mediated drug extrusion. Briefly, MRP1 overexpressing HL60/Adr cells were incubated to uptake and then efflux fluorescent 5(6)-carboxyfluorescein diacetate (CFDA), rhodamine 123 (Rh123), or 3,3-diethylocarbocyanine iodide (DiOC2), respectively. Changes in cell fluorescence intensity after coincubation with the compound of interest were determined by flow cytometry. MRP1 mediated efflux of CFDA was analysed in the presence of DHT, the known substrates genistein, probenecid, and the specific inhibitor MK-571. To exclude unknown P-gp related interference in drug transport, efflux of the fluorescent P-gp substrate DiOC2 and specific inhibition by cyclosporin A (CsA) were analysed. Cytotoxicity of DHT in resistant HL60/Adr cells was found to be even superior to that in the parental HL60 leukaemia cell line. Consequently, DHT did not interfere in MRP1 mediated drug transport. In contrast to DiOC2, rhodamine 123 was not specifically effluxed by P-gp but also by MRP1. Therefore, we propose the MRP1 specific CFDA efflux model as a screening and/or excluding system for MRP1 substrates. Together with previous data our results suggest DHT to be an interesting candidate for further investigation directed towards a drug development regimen.","['Pec, Martina K', 'Aguirre, Amable', 'Fernandez, Javier J', 'Souto, Maria L', 'Dorta, Javier F', 'Villar, Jesus']","['Pec MK', 'Aguirre A', 'Fernandez JJ', 'Souto ML', 'Dorta JF', 'Villar J']","['Unidiad de Investigacion, Hospital Ntra Sra Candelaria, Santa Cruz de Tenerife, Spain. martinakpec@hotmail.com']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",,Greece,Int J Mol Med,International journal of molecular medicine,9810955,IM,,"['Antineoplastic Agents, Phytogenic/pharmacology', 'Drug Evaluation, Preclinical', 'Drug Resistance, Multiple', 'Fluorescent Dyes', 'Genes, MDR', 'HL-60 Cells', 'Humans', 'Membrane Glycoproteins/*metabolism', 'Multidrug Resistance-Associated Proteins/*metabolism', 'Pyrans/*pharmacology']",2002/10/10 04:00,2002/12/05 04:00,['2002/10/10 04:00'],"['2002/10/10 04:00 [pubmed]', '2002/12/05 04:00 [medline]', '2002/10/10 04:00 [entrez]']",,ppublish,Int J Mol Med. 2002 Nov;10(5):605-8.,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Fluorescent Dyes)', '0 (Membrane Glycoproteins)', '0 (Multidrug Resistance-Associated Proteins)', '0 (Pyrans)', '0 (dehydrothyrsiferol)', 'Y49M64GZ4Q (multidrug resistance-associated protein 1)']",,,,,,,,,,,,,,,,,,,,
