PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,FAU,AU,LA,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CON,AB,AD,GR,CIN,EIN,CN,RF,CI,PMC,DEP,TT,MID,SI,LID,PS,FPS,OID,OTO,OT,GN
11986969,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Screening for core binding factor gene rearrangements in acute myeloid leukemia.,964-9,"['Grimwade, David']",['Grimwade D'],['eng'],"['Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Core Binding Factor alpha Subunits)', '0 (DNA-Binding Proteins)', '0 (Transcription Factor AP-2)', '0 (Transcription Factors)', '0 (core binding factor alpha)']",IM,"['Acute Disease', 'Core Binding Factor alpha Subunits', 'DNA-Binding Proteins/*genetics', 'Gene Rearrangement', 'Genetic Testing', 'Humans', 'Leukemia, Myeloid/diagnosis/*genetics', 'Transcription Factor AP-2', 'Transcription Factors/*genetics', 'Translocation, Genetic']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/04/24 00:00 [received]', '2001/11/29 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402421 [doi]'],ppublish,Leukemia. 2002 May;16(5):964-9. doi: 10.1038/sj.leu.2402421.,,,,,,,,,,,,,,,,,,,,,
11986967,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Orbital granulocytic sarcoma and AML with poor prognosis in Turkish children.,962; author reply 963,"['Gozdasoglu, S', 'Yavuz, G', 'Unal, E', 'Tacyldz, N', 'Cavdar, A O']","['Gozdasoglu S', 'Yavuz G', 'Unal E', 'Tacyldz N', 'Cavdar AO']",['eng'],"['Comment', 'Letter']",England,Leukemia,Leukemia,8704895,,IM,"['Acute Disease', 'Child', 'Humans', 'Leukemia, Myeloid/epidemiology/*mortality', 'Neoplasms, Second Primary/classification/epidemiology/*mortality', 'Orbital Neoplasms/classification/epidemiology/*mortality', 'Prognosis', 'Sarcoma, Myeloid/*classification/epidemiology/*mortality', 'Survival Analysis', 'Turkey/epidemiology']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/10/29 00:00 [received]', '2001/12/19 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402449 [doi]'],ppublish,Leukemia. 2002 May;16(5):962; author reply 963. doi: 10.1038/sj.leu.2402449.,['Leukemia. 2001 Jan;15(1):46-9. PMID: 11243398'],,,,,,,,,,,,,,,,,,,,
11986965,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Comment on 'Functional disturbance of marrow stromal microenvironment in the myelodysplastic syndromes' by S Tauro et al.,960-1; author reply 961,"['Mundle, S D']",['Mundle SD'],['eng'],"['Comment', 'Letter']",England,Leukemia,Leukemia,8704895,,IM,"['Aged', 'Apoptosis', 'Bone Marrow Cells/*pathology', '*Cell Communication', 'Cell Division', 'Coculture Techniques', 'Hematopoietic Stem Cells/cytology', 'Humans', 'Myelodysplastic Syndromes/*pathology/*physiopathology', 'Stromal Cells/*pathology']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/10/16 00:00 [received]', '2001/11/29 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402429 [doi]'],ppublish,Leukemia. 2002 May;16(5):960-1; author reply 961. doi: 10.1038/sj.leu.2402429.,['Leukemia. 2002 May;16(5):785-90. PMID: 11986938'],,,,,,,,,,,,,,,,,,,,
11986964,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Human herpesvirus-6 as a possible cause of encephalitis and hemorrhagic cystitis after allogeneic hematopoietic stem cell transplantation.,958-9,"['Kim, Y-J', 'Kim, D-W', 'Lee, D-G', 'Park, S-T', 'Park, Y-H', 'Min, C-K', 'Lee, S', 'Choi, J-H', 'Lee, J-W', 'Min, W-S', 'Shin, W-S', 'Kim, C-C']","['Kim YJ', 'Kim DW', 'Lee DG', 'Park ST', 'Park YH', 'Min CK', 'Lee S', 'Choi JH', 'Lee JW', 'Min WS', 'Shin WS', 'Kim CC']",['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['Adult', 'Cystitis/etiology/*virology', 'Encephalitis/etiology/*virology', 'Hematopoietic Stem Cell Transplantation/*adverse effects', 'Hemorrhage/etiology', '*Herpesvirus 6, Human', 'Humans', 'Male', '*Roseolovirus Infections', 'Transplantation, Homologous/adverse effects']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/10/27 00:00 [received]', '2001/12/13 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402403 [doi]'],ppublish,Leukemia. 2002 May;16(5):958-9. doi: 10.1038/sj.leu.2402403.,,,,,,,,,,,,,,,,,,,,,
11986963,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Germline mutation of the p27/Kip1 gene in childhood acute lymphoblastic leukemia.,956-8,"['Takeuchi, C', 'Takeuchi, S', 'Ikezoe, T', 'Bartram, C R', 'Taguchi, H', 'Koeffler, H P']","['Takeuchi C', 'Takeuchi S', 'Ikezoe T', 'Bartram CR', 'Taguchi H', 'Koeffler HP']",['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,Leukemia,Leukemia,8704895,"['0 (Cell Cycle Proteins)', '0 (Tumor Suppressor Proteins)', '147604-94-2 (Cyclin-Dependent Kinase Inhibitor p27)']",IM,"['Bone Marrow Cells/pathology', 'Cell Cycle Proteins/*genetics', 'Child, Preschool', 'Cyclin-Dependent Kinase Inhibitor p27', 'DNA Mutational Analysis', 'Family Health', '*Germ-Line Mutation', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*genetics', 'Tumor Suppressor Proteins/*genetics']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/02/26 00:00 [received]', '2001/12/11 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402408 [doi]'],ppublish,Leukemia. 2002 May;16(5):956-8. doi: 10.1038/sj.leu.2402408.,,,,,,,,,,,,,,,,,,,,,
11986962,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Distinct genomic events in the myeloid and lymphoid lineages in simultaneous presentation of chronic myeloid leukemia and B-chronic lymphocytic leukemia.,955-6,"['Crescenzi, B', 'Sacchi, S', 'Marasca, R', 'Temperani, P', 'La Starza, R', 'Matteucci, C', 'Bonacorsi, G', 'Romoli, S', 'Martelli, M F', 'Mecucci, C', 'Emilia, G']","['Crescenzi B', 'Sacchi S', 'Marasca R', 'Temperani P', 'La Starza R', 'Matteucci C', 'Bonacorsi G', 'Romoli S', 'Martelli MF', 'Mecucci C', 'Emilia G']",['eng'],"['Case Reports', 'Letter', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,,IM,"['Cell Lineage/genetics/immunology', 'Cell Transformation, Neoplastic/genetics/immunology/*pathology', 'Clone Cells/pathology', 'Cytogenetic Analysis', 'Humans', 'Immunophenotyping', 'Leukemia, Lymphocytic, Chronic, B-Cell/etiology/*pathology', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/etiology/*pathology', 'Lymphocytes/pathology', 'Middle Aged', 'Myeloid Cells/pathology', 'Neoplasms, Second Primary/*etiology/pathology']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/11/22 00:00 [received]', '2002/01/21 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402490 [doi]'],ppublish,Leukemia. 2002 May;16(5):955-6. doi: 10.1038/sj.leu.2402490.,,,,,,,,,,,,,,,,,,,,,
11986961,NLM,MEDLINE,20020618,20130304,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Chromosome 11q deletion in myeloid malignancies.,953-5,"['Ma, S K', 'Wan, T S K', 'Au, W Y', 'Fung, L F', 'So, C K', 'Chan, L C']","['Ma SK', 'Wan TS', 'Au WY', 'Fung LF', 'So CK', 'Chan LC']",['eng'],['Letter'],England,Leukemia,Leukemia,8704895,,IM,"['Acute Disease', 'Adult', 'Aged', 'Aged, 80 and over', 'Child', '*Chromosome Deletion', '*Chromosomes, Human, Pair 11', 'Cytogenetic Analysis', 'Female', 'Humans', 'Leukemia, Myeloid/*genetics', 'Male', 'Middle Aged', 'Myelodysplastic Syndromes/*genetics', 'Retrospective Studies']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/12/17 00:00 [received]', '2001/12/20 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402442 [doi]'],ppublish,Leukemia. 2002 May;16(5):953-5. doi: 10.1038/sj.leu.2402442.,,,,,,,,,,,,,,,,,,,,,
11986960,NLM,MEDLINE,20020618,20131121,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,"ABL gene fuses BCR during t(20;22) results in Philadelphia-negative, but BCR/ABL-positive chronic myeloid leukemia.",951-2,"['Ito, Y', 'Shimamoto, T', 'Kuriyama, Y', 'Nakajima, A', 'Sumi, M', 'Watanabe, Y', 'Beppu, H', 'Ohtsubo, K', 'Ohyashiki, K']","['Ito Y', 'Shimamoto T', 'Kuriyama Y', 'Nakajima A', 'Sumi M', 'Watanabe Y', 'Beppu H', 'Ohtsubo K', 'Ohyashiki K']",['eng'],"['Case Reports', 'Letter']",England,Leukemia,Leukemia,8704895,"['0 (Oncogene Proteins)', '0 (Proto-Oncogene Proteins)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)', 'EC 2.7.10.2 (Fusion Proteins, bcr-abl)', 'EC 2.7.11.1 (BCR protein, human)', 'EC 2.7.11.1 (Proto-Oncogene Proteins c-bcr)']",IM,"['*Chromosomes, Human, Pair 20', '*Chromosomes, Human, Pair 22', 'Female', 'Fusion Proteins, bcr-abl/analysis', 'Gene Rearrangement', '*Genes, abl', 'Humans', 'Karyotyping', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/etiology/*genetics', 'Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative/diagnosis/etiology/*genetics', 'Middle Aged', 'Oncogene Proteins/*genetics', '*Protein-Tyrosine Kinases', '*Proto-Oncogene Proteins', 'Proto-Oncogene Proteins c-bcr', '*Translocation, Genetic']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/07/25 00:00 [received]', '2001/12/20 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402441 [doi]'],ppublish,Leukemia. 2002 May;16(5):951-2. doi: 10.1038/sj.leu.2402441.,,,,,,,,,,,,,,,,,,,,,
11986959,NLM,MEDLINE,20020618,20131121,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,Infants with acute lymphoblastic leukemia: no evidence for high methotrexate resistance.,949-51,"['Ramakers-van Woerden, N L', 'Pieters, R', 'Rots, M G', 'van Zantwijk, C H', 'Noordhuis, P', 'Beverloo, H B', 'Peters, G J', 'van Wering, E R', 'Camitta, B M', 'Pui, C-H', 'Relling, M V', 'Evans, W E', 'Veerman, A J P']","['Ramakers-van Woerden NL', 'Pieters R', 'Rots MG', 'van Zantwijk CH', 'Noordhuis P', 'Beverloo HB', 'Peters GJ', 'van Wering ER', 'Camitta BM', 'Pui CH', 'Relling MV', 'Evans WE', 'Veerman AJ']",['eng'],['Letter'],England,Leukemia,Leukemia,8704895,"['0 (Antimetabolites, Antineoplastic)', '0 (Enzyme Inhibitors)', 'YL5FZ2Y5U1 (Methotrexate)']",IM,"['Antimetabolites, Antineoplastic/analysis/pharmacokinetics/pharmacology', 'Blood Cells/metabolism/pathology', 'Bone Marrow Cells/metabolism/pathology', 'Drug Resistance, Neoplasm', 'Enzyme Inhibitors/analysis/pharmacokinetics/pharmacology', 'Humans', 'Infant', 'Infant, Newborn', 'Methotrexate/analysis/pharmacokinetics/*pharmacology', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/*drug therapy/pathology']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/05/11 00:00 [received]', '2002/01/22 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402491 [doi]'],ppublish,Leukemia. 2002 May;16(5):949-51. doi: 10.1038/sj.leu.2402491.,,,,,,,,,,,,,,,,,,,,,
11986958,NLM,MEDLINE,20020618,20131121,0887-6924 (Print) 0887-6924 (Linking),16,5,2002 May,All-trans retinoic acid down-regulates prion protein expression independently of granulocyte maturation.,940-8,"['Rybner, C', 'Hillion, J', 'Sahraoui, T', 'Lanotte, M', 'Botti, J']","['Rybner C', 'Hillion J', 'Sahraoui T', 'Lanotte M', 'Botti J']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Leukemia,Leukemia,8704895,"['0 (Membrane Proteins)', '0 (PrPC Proteins)', '0 (RNA, Messenger)', '5688UTC01R (Tretinoin)']",IM,"['Cell Differentiation', 'Dose-Response Relationship, Drug', 'Down-Regulation/drug effects/genetics', 'Granulocytes/*cytology', 'Humans', 'Kinetics', 'Leukemia/pathology', 'Membrane Proteins/drug effects/metabolism', 'PrPC Proteins/drug effects/genetics/*metabolism', 'RNA, Messenger/drug effects/metabolism', 'Tretinoin/*pharmacology', 'Tumor Cells, Cultured']",2002/05/03 10:00,2002/06/19 10:01,['2002/05/03 10:00'],"['2001/08/03 00:00 [received]', '2001/12/17 00:00 [accepted]', '2002/05/03 10:00 [pubmed]', '2002/06/19 10:01 [medline]', '2002/05/03 10:00 [entrez]']",['10.1038/sj.leu.2402443 [doi]'],ppublish,Leukemia. 2002 May;16(5):940-8. doi: 10.1038/sj.leu.2402443.,,"The cellular prion protein (PrPc) is a sialoglycoprotein involved in the pathogenesis of prion diseases. It has been identified at the plasma membrane of several cell types. All-trans retinoic acid (ATRA) is known to induce differentiation of human leukemia cell lines in vitro. PrPc messenger ribonucleic acid (mRNA) and protein are down-regulated upon ATRA-induced differentiation of HL60 cells. In this report, we have investigated the regulation of PrPc mRNA and protein expression during ATRA-treatment of maturation-sensitive (NB4) and -resistant (NB4-R1 and NB4-R2) cell lines. In ATRA-induced maturation of NB4 cells, down-regulation of PrPc mRNA and protein were observed. We also show that down-regulation of PrPc mRNA is dependent on protein synthesis. Moreover, the same down-regulation of prion protein by ATRA was observed at the surface of maturation-resistant, ATRA-responsive NB4-R1 cells. In contrast, the maturation-resistant and ATRA-unresponsive NB4-R2 subline showed no variation in membrane prion protein expression. These results demonstrate a dissociation between the regulation of prion protein expression by ATRA and the process of granulocyte maturation. We propose that retinoids should be investigated further as a preventive strategy to slow down prion disease progression.","[""INSERM U-496, Institut Universitaire d'Hematologie (IUH), Hopital Saint-Louis, Paris, France.""]",,,,,,,,,,,,,,,,,,
