PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,PMC,EDAT,MHDA,CRDT,PHST,PST,SO,TT,RF,AID,CI,DEP,SI,CIN,CON,OID,OTO,OT,GN,CN,EIN,CRF,MID,LID
11892808,NLM,MEDLINE,20020403,20181113,0261-4189 (Print) 0261-4189 (Linking),2,9,1983,H-2 hemizygous mutants from a heterozygous cell line: role of mitotic recombination.,1537-42,"Variants that no longer express an entire H-2 haplotype were readily isolated, by immunoselection with antisera directed against the haplotype, from an H-2b/H-2d heterozygous Friend leukemia cell line carrying a Robertsonian translocation of the chromosomes bearing the H-2 genetic region. These variants can be denoted as being of the phenotype H-2b- H-2d+ or H-2b+ H-2d-. Some of the H-2b- H-2d+ variants: (1) lack the restriction enzyme fragments characteristic of the missing H-2b haplotype, as assessed by Southern blot analysis; (2) express more cell surface H-2d antigens than wild-type cells, as assessed by flow microfluorimetry; and (3) appear to have become homozygous for the more active H-2d-linked allele at the Glyoxalase I locus. These variants thus seem to have lost genetic material corresponding to the H-2b haplotype and may have gained genetic material corresponding to the H-2d haplotype. These results are consistent with the possibility that these variants were generated by mitotic recombination.","['Rajan, T V', 'Halay, E D', 'Potter, T A', 'Evans, G A', 'Seidman, J G', 'Margulies, D H']","['Rajan TV', 'Halay ED', 'Potter TA', 'Evans GA', 'Seidman JG', 'Margulies DH']","['Department of Pathology, Albert Einstein College of Medicine, Bronx, NY, USA.']",['eng'],"['1-R0-1-CA-29194/CA/NCI NIH HHS/United States', 'AI 10702/AI/NIAID NIH HHS/United States', 'CA-13330/CA/NCI NIH HHS/United States']","['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,EMBO J,The EMBO journal,8208664,"['0 (H-2 Antigens)', 'EC 4.4.1.5 (Lactoylglutathione Lyase)']",IM,"['Animals', 'Blotting, Southern', 'Gene Expression', 'Genetic Variation', 'H-2 Antigens/*genetics', 'Haplotypes', 'Heterozygote', 'Lactoylglutathione Lyase/genetics', 'Mice', 'Mitosis/genetics/immunology', 'Models, Genetic', '*Mutation', 'Recombination, Genetic', 'Translocation, Genetic', 'Tumor Cells, Cultured']",PMC555319,1983/01/01 00:00,2002/04/04 10:01,['1983/01/01 00:00'],"['1983/01/01 00:00 [pubmed]', '2002/04/04 10:01 [medline]', '1983/01/01 00:00 [entrez]']",ppublish,EMBO J. 1983;2(9):1537-42.,,,,,,,,,,,,,,,,,
11892712,NLM,MEDLINE,20020828,20170112,0392-856X (Print) 0392-856X (Linking),20,1,2002 Jan-Feb,Rheumatoid arthritis and B-cell chronic lymphocytic leukemia.,63-5,"The association between lymphoproliferate malignancies, especially lymphoma, and rheumatoid arthritis (RA) has been confirmed by several studies. However; there are few reports of RA patients who developed B-cell chronic lymphocytic leukemia (B-CLL) and vice versa. We report a patient with B-CLL who developed RA and another with RA who presented with B-CLL during follow-up. We discuss the incidence of B-CLL among the RA population and the possible interaction of the pathogenetic mechanisms of these two entities.","['Voulgari, P V', 'Vartholomatos, G', 'Kaiafas, P', 'Bourantas, K L', 'Drosos, A A']","['Voulgari PV', 'Vartholomatos G', 'Kaiafas P', 'Bourantas KL', 'Drosos AA']","['Rheumatology Clinic, Department of Internal Medicine, University of Ioannina Medical School, Greece.']",['eng'],,"['Case Reports', 'Journal Article']",Italy,Clin Exp Rheumatol,Clinical and experimental rheumatology,8308521,,IM,"['Aged', 'Arthritis, Rheumatoid/*complications/epidemiology', 'Chronic Disease', 'Female', 'Greece/epidemiology', 'Humans', 'Incidence', 'Leukemia, B-Cell/*complications/epidemiology', 'Male', 'Middle Aged', 'Outpatients']",,2002/03/15 10:00,2002/08/29 10:01,['2002/03/15 10:00'],"['2002/03/15 10:00 [pubmed]', '2002/08/29 10:01 [medline]', '2002/03/15 10:00 [entrez]']",ppublish,Clin Exp Rheumatol. 2002 Jan-Feb;20(1):63-5.,,,,,,,,,,,,,,,,,
11892469,NLM,MEDLINE,20020501,20091021,0030-6002 (Print) 0030-6002 (Linking),143,7,2002 Feb 17,[Treatment of acute leukemia in older patients].,347-50,"The median age of patients with acute leukemia is more than 60 years, and the incidence of the disease increases with age. There are several unfavorable biologic and clinical factors in older patients with acute leukemia, the remission rate and their survival are much worse than in younger adults. The poor performance score and any other concomitant disease and the poor reserve capacity of their bone marrow represent significant difficulties to deliver the proper remission induction and postremission therapy. The poor biologic factors like acute leukemia following myelodysplasia, unfavorable cytogenetic abnormalities and multidrug resistance among elderly patients are more common comparing to younger patients. The authors summarize the international data and attempt to define the proper therapy namely who are candidates for induction and intensive postremission therapy, what is the role of palliative cytostatic treatment or supportive care for these patients.","['Borbenyi, Zita', 'Varga, Gyula']","['Borbenyi Z', 'Varga G']","['Szegedi Tudomanyegyetem, Altalanos Orvostudomanyi Kar, Szent-Gyorgyi Albert Orvos- es Gyogyszeresztudomanyi Centrum, II. sz. Belgyogyaszati Klinika es Kardiologiai Kozpont.']",['hun'],,"['English Abstract', 'Journal Article', 'Review']",Hungary,Orv Hetil,Orvosi hetilap,0376412,"['143011-72-7 (Granulocyte Colony-Stimulating Factor)', '83869-56-1 (Granulocyte-Macrophage Colony-Stimulating Factor)']",IM,"['Acute Disease', 'Age Factors', 'Aged', 'Granulocyte Colony-Stimulating Factor/therapeutic use', 'Granulocyte-Macrophage Colony-Stimulating Factor/therapeutic use', 'Humans', 'Leukemia/genetics/mortality/*therapy', 'Middle Aged', 'Palliative Care', 'Prognosis', 'Remission Induction', 'Risk Factors', 'Survival Rate']",,2002/03/15 10:00,2002/05/02 10:01,['2002/03/15 10:00'],"['2002/03/15 10:00 [pubmed]', '2002/05/02 10:01 [medline]', '2002/03/15 10:00 [entrez]']",ppublish,Orv Hetil. 2002 Feb 17;143(7):347-50.,Kezelesi lehetosegek idoskori akut leukaemiakban.,33,,,,,,,,,,,,,,,
11892443,NLM,MEDLINE,20020402,20061115,0041-4131 (Print) 0041-4131 (Linking),79,12,2001 Dec,[Hairy cell leukemia: report of 8 cases].,681-5,"Hairy cell leukemia haemopathy is a rare lymphoid haemopathy type B. 8 cases are reported and diagnosed at Hopital Aziza Othmana over a period of 20 years between 1979 and 1999, 7 men and one women. The mean age of the patients is 51 years, with externe ages from 42 to 81 years. 4 patients consulted for an infections and, or anaemia syndrome. The disease was revealed due to the presence of an isolated splenomegaly in other cases. At the clinical examination, the spleen is hypertrophied in 7 patients out of 8. Pancytopenia is observed in 50% of the patients. Only one patient has presented a moderated hyperleukocytosis at 11,000/mm3 related to the presence of moving on tricholeukocytes. The myelogramme is pocr. It allowed to mention the diagnosis in 6 cases out of 8. Bone Marrow biopsy revealed a diffuse infiltration by TCL with a reticulinic fibrosis in all patients. 4 patients out of 8 have been splenectomized. Cytopenies have been corrected in all patients. Only one patient has been treated by alpha Interferon for 3 years with a partial hematological response. A relapse was observed once the Interferon was stopped. With the introduction of new drugs such purine analogues. The HCL treatment has been revolutionarized thanks to the improvement of the rate of complete response (from 10% to 80% of CR). If splenectomy is still observed in HCL for splenomegalic and or severe cytopenia, our findings could be improved thanks to new purine analogues.","['Medini Manai, Z', 'Meddeb, B', 'Lakhal, R', 'Ben Abid, H', 'Bel HadjAli, Z', 'Ben Othman, T', 'Hafsia, A']","['Medini Manai Z', 'Meddeb B', 'Lakhal R', 'Ben Abid H', 'Bel HadjAli Z', 'Ben Othman T', 'Hafsia A']","[""Service d'hematologie Hopital Aziza Othmana, Tunis.""]",['fre'],,"['Case Reports', 'English Abstract', 'Journal Article']",Tunisia,Tunis Med,La Tunisie medicale,0413766,"['0 (Antineoplastic Agents)', '0 (Interferon-alpha)']",IM,"['Adult', 'Aged', 'Aged, 80 and over', 'Antineoplastic Agents/therapeutic use', 'Biopsy', 'Bone Marrow/pathology', 'Diagnosis, Differential', 'Female', 'Humans', 'Interferon-alpha/therapeutic use', 'Leukemia, Hairy Cell/*pathology', 'Male', 'Middle Aged', 'Retrospective Studies', 'Spleen/pathology']",,2002/03/15 10:00,2002/04/03 10:01,['2002/03/15 10:00'],"['2002/03/15 10:00 [pubmed]', '2002/04/03 10:01 [medline]', '2002/03/15 10:00 [entrez]']",ppublish,Tunis Med. 2001 Dec;79(12):681-5.,Leucemie a tricholeucocytes a propos de 8 cas.,,,,,,,,,,,,,,,,
11891818,NLM,MEDLINE,20020419,20190822,0361-8609 (Print) 0361-8609 (Linking),69,3,2002 Mar,Comprehensive cytogenetic study by spectral karyotyping on blastic natural killer cell leukemia/lymphoma.,234-5,,"['Jyoko, Naoto', 'Kuroda, Junya', 'Kimura, Shinya', 'Kobayashi, Yutaka', 'Yoshikawa, Toshikazu']","['Jyoko N', 'Kuroda J', 'Kimura S', 'Kobayashi Y', 'Yoshikawa T']",,['eng'],,"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,,IM,"['Color', 'Cytogenetic Analysis/*methods', 'Humans', 'Karyotyping/methods', 'Killer Cells, Natural/metabolism/*pathology', 'Leukemia, T-Cell/diagnosis/*genetics/pathology', 'Lymphoma, T-Cell/diagnosis/*genetics/pathology', 'Male', 'Middle Aged', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis/genetics/pathology']",,2002/03/14 10:00,2002/04/20 10:01,['2002/03/14 10:00'],"['2002/03/14 10:00 [pubmed]', '2002/04/20 10:01 [medline]', '2002/03/14 10:00 [entrez]']",ppublish,Am J Hematol. 2002 Mar;69(3):234-5. doi: 10.1002/ajh.10064.,,,"['10.1002/ajh.10064 [pii]', '10.1002/ajh.10064 [doi]']",,,,,,,,,,,,,,
11891815,NLM,MEDLINE,20020419,20190822,0361-8609 (Print) 0361-8609 (Linking),69,3,2002 Mar,Successful treatment of steroid and cyclophosphamide-resistant hemolysis in chronic lymphocytic leukemia with rituximab.,232-3,,"['Chemnitz, Jens', 'Draube, Andreas', 'Diehl, Volker', 'Wolf, Jurgen']","['Chemnitz J', 'Draube A', 'Diehl V', 'Wolf J']",,['eng'],,"['Case Reports', 'Letter']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Steroids)', '4F4X42SYQ6 (Rituximab)', '8N3DW7272P (Cyclophosphamide)']",IM,"['Anemia, Hemolytic, Autoimmune/drug therapy/etiology', 'Antibodies, Monoclonal/*administration & dosage', 'Antibodies, Monoclonal, Murine-Derived', 'Cyclophosphamide/pharmacology', 'Drug Resistance', 'Female', 'Hemolysis/*drug effects', 'Humans', 'Leukemia, Lymphocytic, Chronic, B-Cell/blood/complications/*drug therapy', 'Middle Aged', 'Rituximab', 'Steroids/pharmacology']",,2002/03/14 10:00,2002/04/20 10:01,['2002/03/14 10:00'],"['2002/03/14 10:00 [pubmed]', '2002/04/20 10:01 [medline]', '2002/03/14 10:00 [entrez]']",ppublish,Am J Hematol. 2002 Mar;69(3):232-3. doi: 10.1002/ajh.10046.,,,"['10.1002/ajh.10046 [pii]', '10.1002/ajh.10046 [doi]']",,,,,,,,,,,,,,
11891811,NLM,MEDLINE,20020419,20190822,0361-8609 (Print) 0361-8609 (Linking),69,3,2002 Mar,Effective hemostasis with rFVIIa treatment in two patients with severe thrombocytopenia and life-threatening hemorrhage.,219-22,"We report two patients with severe thrombocytopenia and life-threatening bleeding that were successfully managed with recombinant activated factor VII (rFVIIa). The first was a 75-year-old male with Waldenstrom's macroglobulinemia. During a therapeutic course with fludarabine, he developed severe autoimmune thrombocytopenia resistant to conventional treatment, followed by persistent uncontrollable nasal bleeding. Platelet transfusions failed to increase the platelet count and control the hemorrhage. When hemoglobin levels fell below 8.5 g/dL and the patient's clinical condition got much worse, a single dose of 4.8 mg rFVIIa (90 microg/kg) was given as an i.v. bolus. Ten minutes after the rFVIIa injection, nasal bleeding stopped, the patient's clinical condition progressively improved, and splenectomy could be carried out uneventfully 2 days later. The second patient, a 52-year-old female, was under treatment for pre-B lymphoblastic leukemia. She developed severe thrombocytopenia, secondary to chemotherapy, complicated by massive gastrointestinal bleeding. Despite intensive treatment with platelet transfusions, hemorrhage continued and her condition deteriorated rapidly. She was then given an i.v. bolus injection of 4.8 mg rFVIIa, which resulted in cessation of hemorrhage and dramatic improvement of her clinical status. No adverse effects from the treatment with rFVIIa were observed. In conclusion, rFVIIa appears to be an attractive alternative for controlling hemorrhage in patients with severe thrombocytopenia, especially when platelet transfusions are unavailable or ineffective.","['Gerotziafas, Grigoris T', 'Zervas, Costas', 'Gavrielidis, George', 'Tokmaktsis, Aggelos', 'Hatjiharissi, Evdoxia', 'Papaioannou, Mary', 'Lazaridou, Anna', 'Constantinou, Nikos', 'Samama, Meyer Michel', 'Christakis, John']","['Gerotziafas GT', 'Zervas C', 'Gavrielidis G', 'Tokmaktsis A', 'Hatjiharissi E', 'Papaioannou M', 'Lazaridou A', 'Constantinou N', 'Samama MM', 'Christakis J']","['Department of Hematology, Theagenio Cancer Hospital, Thessaloniki, Greece. gerotziafasgrigoris@hotmail.com']",['eng'],,"['Case Reports', 'Journal Article']",United States,Am J Hematol,American journal of hematology,7610369,"['0 (Recombinant Proteins)', 'EC 3.4.21.21 (Factor VIIa)']",IM,"['Aged', 'Critical Illness', 'Factor VIIa/*administration & dosage', 'Female', 'Hemorrhage/*drug therapy', 'Hemostasis/*drug effects', 'Humans', 'Injections, Intravenous', 'Male', 'Middle Aged', 'Neutropenia/complications', 'Precursor B-Cell Lymphoblastic Leukemia-Lymphoma/blood/complications/drug therapy', 'Recombinant Proteins/administration & dosage/therapeutic use', 'Thrombocytopenia/blood/chemically induced/*drug therapy', 'Waldenstrom Macroglobulinemia/blood/complications/drug therapy']",,2002/03/14 10:00,2002/04/20 10:01,['2002/03/14 10:00'],"['2002/03/14 10:00 [pubmed]', '2002/04/20 10:01 [medline]', '2002/03/14 10:00 [entrez]']",ppublish,Am J Hematol. 2002 Mar;69(3):219-22. doi: 10.1002/ajh.10056.,,,"['10.1002/ajh.10056 [pii]', '10.1002/ajh.10056 [doi]']",,,,,,,,,,,,,,
11891801,NLM,MEDLINE,20020419,20190822,0361-8609 (Print) 0361-8609 (Linking),69,3,2002 Mar,Soluble angiogenic factors: implications for chronic myeloproliferative disorders.,159-63,"The role of angiogenesis for the progressive growth and metastatic process of tumours is well established. What is not clear, though, is the clinical prognostic significance of the angiogenic factors in malignant haematological diseases. In this study, we have assessed the plasma and serum levels of two major angiogenic factors, vascular endothelial growth factor (VEGF) and basic fibroblast growth factor (b-FGF) in 55 patients affected by chronic myeloproliferative disorders (CMD). This series included 25 patients with essential thrombocythemia (ET), 10 patients with chronic myelocytic leukaemia (CML), 14 patients with polycythemia vera (PV), and 6 patients with primary myelofibrosis (MF), and they were compared to 20 healthy control subjects. In all patients the plasma VEGF concentration was significantly increased to the healthy control group (P < 0.004). The highest concentrations were found in the patients with ET (178.25 +/- 125.22 pg/ml). The VEGF levels were significantly higher in CMD patients with vascular complications than those in CMD patients without complications (P < 0.01). The b-FGF serum levels also appeared to be significantly higher in almost all the CMD patients compared to the control group (P < 0.07). A significant correlation was found between the VEGF levels and the platelet count in the ET patients and the spleen index in the CML patients. VEGF level, in this study, is associated with increased risk of thrombotic complications. There is evidence of increased levels of soluble angiogenic factors in malignant haematological disorders, but their contribution to the progression of diseases is yet unclear.","['Musolino, C', ""Calabro', L"", 'Bellomo, G', 'Martello, F', 'Loteta, B', 'Pezzano, C', 'Rizzo, V', 'Alonci, A']","['Musolino C', ""Calabro' L"", 'Bellomo G', 'Martello F', 'Loteta B', 'Pezzano C', 'Rizzo V', 'Alonci A']","['Division of Hematology, University of Messina, Italy. camilla.si@tiscalinet.it']",['eng'],,['Journal Article'],United States,Am J Hematol,American journal of hematology,7610369,"['0 (Endothelial Growth Factors)', '0 (Lymphokines)', '0 (Vascular Endothelial Growth Factor A)', '0 (Vascular Endothelial Growth Factors)', '103107-01-3 (Fibroblast Growth Factor 2)']",IM,"['Case-Control Studies', 'Chronic Disease', 'Endothelial Growth Factors/*blood', 'Female', 'Fibroblast Growth Factor 2/*blood', 'Humans', 'Lymphokines/*blood', 'Male', 'Middle Aged', 'Myeloproliferative Disorders/*blood/complications/etiology', 'Solubility', 'Thrombosis/blood/etiology', 'Vascular Endothelial Growth Factor A', 'Vascular Endothelial Growth Factors']",,2002/03/14 10:00,2002/04/20 10:01,['2002/03/14 10:00'],"['2002/03/14 10:00 [pubmed]', '2002/04/20 10:01 [medline]', '2002/03/14 10:00 [entrez]']",ppublish,Am J Hematol. 2002 Mar;69(3):159-63. doi: 10.1002/ajh.10020.,,,"['10.1002/ajh.10020 [pii]', '10.1002/ajh.10020 [doi]']",,,,,,,,,,,,,,
11891749,NLM,MEDLINE,20020425,20191025,0197-8462 (Print) 0197-8462 (Linking),23,3,2002 Apr,Temporal trends and misclassification in residential 60 Hz magnetic field measurements.,196-205,"This research addressed the question of how well measurement data collected during a single visit, made at an arbitrary hour of day, day of week, and season, estimate longer term residential 60 Hz magnetic field levels. We made repeat spot and 24 h measurements in 51 children's home, located in the Detroit, MI, and the Minneapolis-St. Paul, MN metropolitan areas, on a regular bimonthly schedule over a 1 year period, as well as a single 2 week measurement, for total of eight visits, producing 21 days of data for each residence. We defined the long term estimate (LTE) as the geometric mean of all available 24 h geometric means from the first six bimonthly visits. The LTE served as the reference level for assessing seasonal, day of week, and diurnal effects, as well as the potential for misclassification. We found a small, but statistically significant (P<.05), seasonal effect, with levels approximately 3% lower than the LTE in the spring and about 4% greater during the summer. No effect was found for day of week. However, we did find a systematic and appreciable diurnal effect, suggesting that, for example, an evening spot measurement may overestimate the LTE by 20% or more. We also assessed how well the 24 h measurement from the last visit, which was not used in calculation of the LTE, estimated the LTE. We found a high degree of correlation (r=.92) and fair to good agreement using four exposure categories (kappa=.53). Thus, the 24 h measurement appears to be a satisfactory LTE estimator. However, this finding must be interpreted with caution since considerable unexplained variability was present among the repeat 24 h measurements in about one-third of the homes. While the 2 week measurement does somewhat decrease exposure misclassification, its added intrusiveness and cost are likely to outweigh the improved precision.","['Banks, Robert S', 'Thomas, William', 'Mandel, Jack S', 'Kaune, William T', 'Wacholder, Sholom', 'Tarone, Robert E', 'Linet, Martha S']","['Banks RS', 'Thomas W', 'Mandel JS', 'Kaune WT', 'Wacholder S', 'Tarone RE', 'Linet MS']","['Division of Environmental and Occupational Health, University of Minnesota School of Public Health, Minneapolis, Minnesota, USA. bobbanks@usinternet.com']",['eng'],['N01-CP-05626/CP/NCI NIH HHS/United States'],"['Comparative Study', 'Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",United States,Bioelectromagnetics,Bioelectromagnetics,8008281,,IM,"['Case-Control Studies', 'Child', 'Circadian Rhythm', '*Electromagnetic Fields/adverse effects', 'Environmental Exposure/*analysis', 'Environmental Monitoring/*methods', 'Housing/classification', 'Humans', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/etiology', 'Seasons', 'Time']",,2002/03/14 10:00,2002/04/26 10:01,['2002/03/14 10:00'],"['2002/03/14 10:00 [pubmed]', '2002/04/26 10:01 [medline]', '2002/03/14 10:00 [entrez]']",ppublish,Bioelectromagnetics. 2002 Apr;23(3):196-205. doi: 10.1002/bem.10002.,,,"['10.1002/bem.10002 [pii]', '10.1002/bem.10002 [doi]']",,,,,,,,,,,,,,
11891493,NLM,MEDLINE,20021209,20191105,0882-5963 (Print) 0882-5963 (Linking),17,1,2002 Feb,Multisite research: a systems approach.,38-48,"Multisite research is becoming increasingly common because of the need for an adequate sample size and for generalizability of results beyond a single facility. Collaboration in a research project poses unique challenges due to the number of persons and facilities involved. The use of a systems approach to structure the research process in a study of pain in children with leukemia is described, using the principles to structure, conduct, and conclude the multisite project.","['Bossert, Elizabeth A', 'Evans, Sean', 'Van Cleve, Lois', 'Savedra, Marilyn C']","['Bossert EA', 'Evans S', 'Van Cleve L', 'Savedra MC']","['School of Nursing, West Hall, Room 1128, Loma Linda University, Loma Linda, CA 92350, USA. bbossert@sn.llu.edu']",['eng'],,"['Journal Article', 'Review']",United States,J Pediatr Nurs,Journal of pediatric nursing,8607529,,IM,"['Child', 'Clinical Nursing Research/*methods', 'Humans', 'Leukemia/complications', 'Multicenter Studies as Topic/*methods', '*Pain/etiology', 'Research Design/*standards', 'United States']",,2002/03/14 10:00,2002/12/10 04:00,['2002/03/14 10:00'],"['2002/03/14 10:00 [pubmed]', '2002/12/10 04:00 [medline]', '2002/03/14 10:00 [entrez]']",ppublish,J Pediatr Nurs. 2002 Feb;17(1):38-48. doi: 10.1053/jpdn.2002.30932.,,32,"['S0882596302113674 [pii]', '10.1053/jpdn.2002.30932 [doi]']","['Copyright 2002, Elsevier Science (USA).']",,,,,,,,,,,,,
