PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,GR,PT,PL,TA,JT,JID,RN,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,CI,RF,EIN,TT,PMC,CIN,CON,DEP,SI,CN,RIN,MID,OID,GN,PS,FPS,OTO,OT,OAB,OABL
11718959,NLM,MEDLINE,20020129,20190819,0300-483X (Print) 0300-483X (Linking),169,3,2001 Dec 28,Hepatic and pulmonary microsomal benzene metabolism in CYP2E1 knockout mice.,187-94,"Benzene is an occupational and environmental toxicant. The major health concern for humans is acute myelogenous leukemia. To exert its toxic effects, benzene must be metabolized via cytochrome P450. CYP2E1 has been identified as the most important cytochrome, P450 isozyme in hepatic benzene metabolism in mice, rats, and humans. In pulmonary microsomes CYP2E1 and members of the CYP2F subfamily are both significantly involved. In the current study CYP2E1 knockout mice and wild-type controls were used to further examine the cytochrome P450 isozymes involved in metabolism of 24 microM benzene. The results show that CYP2E1 is the most important isozyme in the liver, accounting for 96% of the total hydroxylated metabolite formation. However, in the lung CYP2E1 was responsible for only 45% of the formation of total hydroxylated metabolite. Chemical inhibitors of CYP2E1 and CYP2F2 were used to further examine the contributions of these isozymes to benzene metabolism. The results confirmed the finding that while CYP2E1 is the most important isozyme in the liver, CYP2F2 and CYP2E1 are both significantly involved in the lung.","['Powley, M W', 'Carlson, G P']","['Powley MW', 'Carlson GP']","['School of Health Sciences, 1338 Civil Engineering Building, Purdue University, West Lafayette, IN 47907-1338, USA.']",['eng'],['T01/CCT510467/CC/ODCDC CDC HHS/United States'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",Ireland,Toxicology,Toxicology,0361055,"['0 (Catechols)', '0 (Cytochrome P-450 CYP2E1 Inhibitors)', '0 (Cytochrome P-450 Enzyme Inhibitors)', '0 (Enzyme Inhibitors)', '0 (Hydroquinones)', '0 (Isoenzymes)', '339NCG44TV (Phenol)', '9035-51-2 (Cytochrome P-450 Enzyme System)', 'EC 1.14.13.- (Cytochrome P-450 CYP2E1)', 'EC 1.14.14.- (Cyp2f2 protein, mouse)', 'J64922108F (Benzene)', 'LF3AJ089DQ (catechol)', 'XV74C1N1AE (hydroquinone)']",IM,"['Animals', 'Benzene/*metabolism', 'Biotransformation/drug effects/physiology', 'Catechols/analysis/metabolism', 'Cytochrome P-450 CYP2E1/*deficiency/*metabolism', 'Cytochrome P-450 CYP2E1 Inhibitors', 'Cytochrome P-450 Enzyme Inhibitors', 'Cytochrome P-450 Enzyme System/metabolism', 'Enzyme Inhibitors/pharmacology', 'Hydroquinones/analysis/metabolism', 'Isoenzymes/antagonists & inhibitors/deficiency/metabolism', 'Lung/chemistry/*metabolism', 'Mice', 'Mice, Knockout', 'Microsomes/chemistry/*metabolism', 'Microsomes, Liver/chemistry/metabolism', 'Phenol/analysis/metabolism']",2001/11/24 10:00,2002/01/30 10:01,['2001/11/24 10:00'],"['2001/11/24 10:00 [pubmed]', '2002/01/30 10:01 [medline]', '2001/11/24 10:00 [entrez]']","['S0300483X01005194 [pii]', '10.1016/s0300-483x(01)00519-4 [doi]']",ppublish,Toxicology. 2001 Dec 28;169(3):187-94. doi: 10.1016/s0300-483x(01)00519-4.,,,,,,,,,,,,,,,,,,,,
11718556,NLM,MEDLINE,20011227,20071114,0022-2836 (Print) 0022-2836 (Linking),314,2,2001 Nov 23,Identification of a high affinity nucleocapsid protein binding element within the Moloney murine leukemia virus Psi-RNA packaging signal: implications for genome recognition.,217-32,"Murine leukemia virus (MLV) is currently the most widely used gene delivery system in gene therapy trials. The simple retrovirus packages two copies of its RNA genome by a mechanism that involves interactions between the nucleocapsid (NC) domain of a virally-encoded Gag polyprotein and a segment of the RNA genome located just upstream of the Gag initiation codon, known as the Psi-site. Previous studies indicated that the MLV Psi-site contains three stem loops (SLB-SLD), and that stem loops SLC and SLD play prominent roles in packaging. We have developed a method for the preparation and purification of large quantities of recombinant Moloney MLV NC protein, and have studied its interactions with a series of oligoribonucleotides that contain one or more of the Psi-RNA stem loops. At RNA concentrations above approximately 0.3 mM, isolated stem loop SLB forms a duplex and stem loops SL-C and SL-D form kissing complexes, as expected from previous studies. However, neither the monomeric nor the dimeric forms of these isolated stem loops binds NC with significant affinity. Longer constructs containing two stem loops (SL-BC and SL-CD) also exhibit low affinities for NC. However, NC binds with high affinity and stoichiometrically to both the monomeric and dimeric forms of an RNA construct that contains all three stem loops (SL-BCD; K(d)=132(+/-55) nM). Titration of SL-BCD with NC also shifts monomer-dimer equilibrium toward the dimer. Mutagenesis experiments demonstrate that the conserved GACG tetraloops of stem loops C and D do not influence the monomer-dimer equilibrium of SL-BCD, that the tetraloop of stem loop B does not participate directly in NC binding, and that the tetraloops of stem loops C and D probably also do not bind to NC. These surprising results differ considerably from those observed for HIV-1, where NC binds to individual stem loops with high affinity via interactions with exposed residues of the tetraloops. The present results indicate that MLV NC binds to a pocket or surface that only exists in the presence of all three stem loops.","[""D'Souza, V"", 'Melamed, J', 'Habib, D', 'Pullen, K', 'Wallace, K', 'Summers, M F']","[""D'Souza V"", 'Melamed J', 'Habib D', 'Pullen K', 'Wallace K', 'Summers MF']","['Howard Hughes Medical Institute and Department of Chemistry and Biochemistry, University of Maryland Baltimore County, 1000 Hilltop Circle, Baltimore, MD 21250, USA.']",['eng'],"['GM08663/GM/NIGMS NIH HHS/United States', 'GM42561/GM/NIGMS NIH HHS/United States']","['Journal Article', ""Research Support, U.S. Gov't, P.H.S.""]",England,J Mol Biol,Journal of molecular biology,2985088R,"['0 (RNA Splice Sites)', '0 (RNA, Viral)', '0 (Recombinant Proteins)', '0 (Solutions)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Calorimetry', 'Conserved Sequence/genetics', 'Dimerization', 'Electrophoresis, Polyacrylamide Gel', '*Genome, Viral', 'Magnetic Resonance Spectroscopy', 'Models, Biological', 'Molecular Sequence Data', 'Moloney murine leukemia virus/chemistry/*genetics/*metabolism', 'Nucleic Acid Conformation', 'Nucleocapsid/genetics/isolation & purification/*metabolism', 'Point Mutation/genetics', 'Protein Binding', 'RNA Splice Sites/genetics', 'RNA, Viral/chemistry/genetics/isolation & purification/*metabolism', 'Recombinant Proteins/genetics/isolation & purification/metabolism', 'Regulatory Sequences, Nucleic Acid/*genetics', 'Solutions', 'Temperature', 'Thermodynamics', '*Virus Assembly']",2001/11/24 10:00,2002/01/05 10:01,['2001/11/24 10:00'],"['2001/11/24 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/24 10:00 [entrez]']","['10.1006/jmbi.2001.5139 [doi]', 'S0022-2836(01)95139-3 [pii]']",ppublish,J Mol Biol. 2001 Nov 23;314(2):217-32. doi: 10.1006/jmbi.2001.5139.,['Copyright 2001 Academic Press.'],,,,,,,,,,,,,,,,,,,
11718452,NLM,MEDLINE,20020430,20190816,0361-090X (Print) 0361-090X (Linking),25,5,2001,"Novel human HALR (MLL3) gene encodes a protein homologous to ALR and to ALL-1 involved in leukemia, and maps to chromosome 7q36 associated with leukemia and developmental defects.",454-69,"We have identified and characterized the approximately 12-kb cDNA of a novel human gene (designated HALR for ""homologous to ALR"" and given the symbol MLL3 by the HUGO Gene Nomenclature Committee) for which open reading frame (ORF) encodes a predicted large hydrophilic nuclear protein comprising 4,025 amino acids with a calculated molecular mass of approximately 443 kD. Within the amino acid sequence of HALR were identified a SUVAR3-9, enhancer of zeste, trithorax (SET) domain, three plant homeodomain (PHD)-type zinc fingers, a high motility group (HMG)-1 box, a leucine-zipper-like pattern, two potential transactivating domains, several nuclear localization signals, and multiple nuclear receptor interaction signature motifs. Especially within the SET domain, PHD fingers and several other regions, the HALR protein exhibits significant similarity to ALR (acute lymphoblastic leukemia [ALL]-1 related), ALL-1/myeloid/lymphoid or mixed-lineage leukemia (ALL-1/MLL), and trithorax, evolutionarily conserved proteins that influence differentiation and development. Northern blot analysis demonstrated transcripts of approximately 11-12 kb, while reverse transcriptase-polymerase chain reaction (RT-PCR) revealed that HALR is expressed in a wide range of human tissues and cancer cell lines. The HALR gene contains 46 exons, is estimated to span >101 kb, and is located on chromosome region 7q36. Terminal 7q deletions are common chromosomal aberrations encountered in hematological neoplasia and in holoprosencephaly 3, a midline embryonic defect involving forebrain development. We have also isolated the partial cDNA of the murine homologue of HALR, which displays high homology to its human counterpart. Taking into consideration its notable protein motifs, ubiquitous expression, evolutionary conservation and chromosomal position, HALR is likely to play a housekeeping role in transcriptional regulation, and may be involved in leukemogenesis and developmental disorders.","['Tan, Y C', 'Chow, V T']","['Tan YC', 'Chow VT']","['Department of Microbiology, Faculty of Medicine, National University of Singapore, Kent Ridge.']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,Cancer Detect Prev,Cancer detection and prevention,7704778,"['0 (DNA, Complementary)', '0 (DNA, Neoplasm)', '0 (DNA-Binding Proteins)', '0 (KMT2A protein, human)', '0 (KMT2C protein, human)', '0 (KMT2D protein, human)', '0 (Neoplasm Proteins)', '0 (RNA, Messenger)', '0 (Transcription Factors)', '149025-06-9 (Myeloid-Lymphoid Leukemia Protein)', 'EC 2.1.1.43 (Histone-Lysine N-Methyltransferase)']",IM,"['Amino Acid Sequence', 'Base Sequence', 'Blotting, Northern', 'Chromosome Mapping', 'Chromosomes, Human, Pair 7/*genetics', 'Cloning, Molecular', 'DNA, Complementary/analysis', 'DNA, Neoplasm/analysis', 'DNA-Binding Proteins/*genetics/metabolism', 'Fetus/metabolism', 'Gene Expression', 'Histone-Lysine N-Methyltransferase', 'Humans', 'Leukemia/*genetics', 'Molecular Sequence Data', 'Myeloid-Lymphoid Leukemia Protein', '*Neoplasm Proteins', '*Proto-Oncogenes', 'RNA, Messenger/metabolism', 'Reverse Transcriptase Polymerase Chain Reaction', 'Sequence Homology, Amino Acid', '*Transcription Factors', 'Zinc Fingers/genetics']",2001/11/23 10:00,2002/05/01 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/05/01 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,Cancer Detect Prev. 2001;25(5):454-69.,,,,,,,,,,,,,,,,,,,,
11718431,NLM,MEDLINE,20011212,20190906,0891-1150 (Print) 0891-1150 (Linking),68,11,2001 Nov,Chronic myelogenous leukemia: the news you have and haven't heard.,"913, 917, 920-1, 925-6","Chronic myelogenous leukemia (CML) can usually be cured by bone marrow transplantation from matched donors. Donor T-cell activity from the graft is critical to maintaining remission. Myeloablation may not be necessary for cure. Non-myeloablative but immunosuppressive preparative regimens allow donor engraftment with less toxicity. Early combination therapy with interferon-alfa and cytarabine was the preferred option for patients who could not undergo bone marrow transplantation. Now, the advent of imatinib mesylate, a specific inhibitor of BCR/ABL tyrosine kinase, promises to change existing treatment paradigms","['Kalaycio, M E']",['Kalaycio ME'],"['Department of Hematology and Medical Oncology, The Cleveland Clinic Foundation, OH 44195, USA. kalaycm@ccf.org']",['eng'],,"['Journal Article', ""Research Support, Non-U.S. Gov't"", 'Review']",United States,Cleve Clin J Med,Cleveland Clinic journal of medicine,8703441,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Interferon-alpha)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', '*Bone Marrow Transplantation', 'Clinical Trials as Topic', 'Diagnosis, Differential', 'Enzyme Inhibitors/therapeutic use', '*Graft vs Leukemia Effect', 'Humans', 'Imatinib Mesylate', 'Interferon-alpha/*therapeutic use', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/diagnosis/drug therapy/*therapy', 'Piperazines/*therapeutic use', 'Practice Guidelines as Topic', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/diagnosis', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/*therapeutic use', 'Remission Induction']",2001/11/23 10:00,2002/01/05 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/23 10:00 [entrez]']",['10.3949/ccjm.68.11.913 [doi]'],ppublish,"Cleve Clin J Med. 2001 Nov;68(11):913, 917, 920-1, 925-6. doi: 10.3949/ccjm.68.11.913.",,10,,,,,,,,,,,,,,,,,,
11718228,NLM,MEDLINE,20020502,20151119,0392-9078 (Print) 0392-9078 (Linking),20,3,2001 Sep,Skin and gingival lesions in a young woman with B-prolymphocytic leukemia (B-PLL).,447-9,B-PLL has not been often associated with diffuse skin involvement or oral lesions. We present a 32 year-old woman in whom skin and gingival manifestations were the prominent clinical signs of disease relapse.,"['Panteli, K', 'Bai, M', 'Basioukas, K', 'Vartholomatos, G', 'Zioga, K', 'Bourantas, K L']","['Panteli K', 'Bai M', 'Basioukas K', 'Vartholomatos G', 'Zioga K', 'Bourantas KL']","['Dept. of Internal Medicine, University Hospital of Ioannina, Greece.']",['eng'],,"['Case Reports', 'Journal Article']",England,J Exp Clin Cancer Res,Journal of experimental & clinical cancer research : CR,8308647,"['0 (Antibodies, Monoclonal)', '0 (Antibodies, Monoclonal, Murine-Derived)', '0 (Antineoplastic Agents)', '4F4X42SYQ6 (Rituximab)']",IM,"['Adult', 'Antibodies, Monoclonal/therapeutic use', 'Antibodies, Monoclonal, Murine-Derived', 'Antineoplastic Agents/therapeutic use', 'Bone Marrow/pathology', 'Fatal Outcome', 'Female', 'Gingiva/*pathology', 'Humans', 'Leukemia, B-Cell/drug therapy/*pathology', 'Leukemia, Prolymphocytic/drug therapy/*pathology', 'Lymphocytes, Tumor-Infiltrating/pathology', 'Rituximab', 'Skin/*pathology']",2001/11/23 10:00,2002/05/03 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/05/03 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,J Exp Clin Cancer Res. 2001 Sep;20(3):447-9.,,,,,,,,,,,,,,,,,,,,
11718149,HSR,MEDLINE,20011214,20080226,,,,2001 Jul 23,Off-label uses of monoclonal antibodies for treatment of B-cell lymphoid or myeloid malignancies.,14-7,,,,,['eng'],,['Journal Article'],United States,Tecnologica MAP Suppl,Tecnologica. MAP supplement. Blue Cross and Blue Shield Association. Medical Advisory Panel,100883490,"['0 (Antibodies, Monoclonal)']",,"['Antibodies, Monoclonal/*therapeutic use', 'Blue Cross Blue Shield Insurance Plans', 'Clinical Trials as Topic', 'Drug Approval', 'Humans', 'Leukemia, Myeloid/*therapy', 'Lymphoma, B-Cell/*therapy', 'Technology Assessment, Biomedical', 'Treatment Outcome', 'United States', 'United States Food and Drug Administration']",2001/11/23 10:00,2002/01/05 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,Tecnologica MAP Suppl. 2001 Jul 23:14-7.,,,,,,,,,,,,,,,,,,,,
11718090,NLM,MEDLINE,20011207,20061115,0253-2727 (Print) 0253-2727 (Linking),22,8,2001 Aug,[Preliminary study of HLA haplotype matched and T-cell undepleted allogeneic bone marrow transplantation for treatment of leukemia].,408-10,"OBJECTIVE: To explore the feasibility of allogeneic bone marrow transplantation (Allo-BMT) with graft from HLA haplotype matched related donor without T-cell depleted for the treatment of leukemia. METHODS: Fifteen patients with leukemia received allo-BMT with grafts from HLA 2 or 3 antigen mismatched related donors. All patients were treated with standardized conditioning regimen consisting of high dose Ara-C, cyclophosphamide (CY) and total body irradiation (TBI). Donors were given G-CSF at 3 to 4 micrograms.kg-1.d-1 for seven days prior to marrow harvest. GVHD prophylaxis programme consisted of CsA, MTX, ATG and mycophenolate mofetial. RESULTS: All patients established successful engraftment. The median days of granulocyte > 0.5 x 10(9)/L and platelet > 20 x 10(9)/L were 19(range 13-23) and 21 (range 16-32) days, respectively. Acute grade II-IV GVHD occurred in 5 of 15 patients (33.3%). Two of them were grade II gut aGVHD, 2 grade III gut aGVHD, and 1 grade IV gut and liver aGVHD. Chronic GVHDs were seen in 8 of 9 evaluable patients (88.9%) and none developed extensive cGVHD. The median follow-up duration was 395 (110-690) days. Six of fifteen patients died. Five of them died from transplantation related mortality and 1 from relapse. Nine patients were alive in a disease-free situation. Six of them survived more than one year. CONCLUSION: The major histoincompatibility barriers in the haplotype matched related donor/recipient allo-BMT might be crossed by donor stimulated with G-CSF and combined GVHD prophylaxis program.","['Ji, S', 'Chen, H', 'Wang, H']","['Ji S', 'Chen H', 'Wang H']","['Research Centre for Hematology, General Hospital of Air Force PLA, Beijing 100036, China.']",['chi'],,"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,['0 (HLA Antigens)'],IM,"['Adolescent', 'Adult', '*Bone Marrow Transplantation/adverse effects', 'Child', 'Female', 'Graft vs Host Disease/etiology', 'HLA Antigens/*genetics/immunology', 'Haplotypes', 'Humans', 'Leukemia/immunology/mortality/*therapy', 'Male', 'Survival Analysis', 'T-Lymphocytes/transplantation', 'Transplantation, Homologous', 'Treatment Outcome']",2001/11/23 10:00,2002/01/05 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 2001 Aug;22(8):408-10.,,,,,,,,,,,,,,,,,,,,
11718089,NLM,MEDLINE,20011207,20061115,0253-2727 (Print) 0253-2727 (Linking),22,8,2001 Aug,[Study on graft-versus-leukemia effects of donor lymphocyte infusion after nonmyeloablative allogeneic bone marrow transplantation].,403-7,"OBJECTIVE: To explore the graft-versus-leukemia effects of donor lymphocyte infusion(DLI) after nonmyeloablative allogeneic bone marrow transplantation while attenuating treatment-associated morbidity, mortality and graft-versus-host disease. METHODS: 615(H-2k) mice were loaded with L615 cells and 3 days later received total body irradiation (TBI) 5 Gy (60 Co gamma-ray) followed by allogeneic bone marrow transplantation (allo-BMT). The allo-grafts consisted of 3 x 10(7) bone marrow cells and 1 x 10(7) spleen cells from BALB/c (H-2d) donor mice. Two days after allo-BMT, the recipient mice were given 200 mg/kg of CTX. Afterwards these recipient mice were infused either donor spleen cells (2 x 10(7)) on d14 and d21 or hydrocortison (HC) and cyclosporine A (CsA) treated donor spleen cells (5 x 10(7)) on d14 post-BMT. RESULTS: Survival time of mice received DLI on d21 and pretreated DLI on d14 post-BMT was longer than that of control group and d14 DLI group(P < 0.01) and without severe graft-versus-host disease. CONCLUSION: Donor lymphocyte infusion after nonmyeloablative bone marrow transplantation could reduce transplantation-associated morbidity and mortality while strengthening graft-versus-leukemia effects.","['Du, B', 'Li, D', 'Xu, K']","['Du B', 'Li D', 'Xu K']","['Department of Hematology, Affiliated Hospital, Xuzhou Medical College, Xuzhou 221002, China.']",['chi'],,"['English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,,IM,"['Animals', 'Bone Marrow Transplantation/adverse effects/*physiology', 'Disease Models, Animal', 'Female', 'Graft vs Host Disease/etiology', 'Graft vs Leukemia Effect/*physiology', 'Lymphocytes/physiology', 'Male', 'Mice', 'Mice, Inbred BALB C', 'Transplantation, Homologous']",2001/11/23 10:00,2002/01/05 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 2001 Aug;22(8):403-7.,,,,,,,,,,,,,,,,,,,,
11718088,NLM,MEDLINE,20011207,20071115,0253-2727 (Print) 0253-2727 (Linking),22,8,2001 Aug,[Clinical efficacy of double autologous hematopoietic stem cell transplantation in the treatment of adult acute lymphoblastic leukemia].,399-402,"OBJECTIVE: To evaluate the clinical efficacy of double autologous hematopoietic stem cell transplantation (DAHSCT) in adult acute lymphoblastic leukemia and analyse the affecting factors. METHODS: Thirteen adult acute lymphoblastic leukemia (ALL) patients received the first AHSCT in 12 months after complete remission (CR). The first conditioning regimen was Vp16,600-1000 mg or Ara-C 2-4 g/m2, CTX 120 mg/kg, total body irradiation(TBI) 7.5-9.0 Gy and in 6 patients BCNU 125 mg was added. All the patients received the second AHSCT in 4 to 10 months after the first AHSCT. The second conditioning regimen was Vp16,600-1000 mg or Ara-C 2-4 g/m2, Mel 140 mg/m2, CTX 120 mg/kg. RESULTS: All engrafted patients had rapid hematopoietic reconstitution. There was no AHSCT related death. The median follow-up duration was 837 days. Seven of the 13 DAHSCT patients were alive. The 3 year disease-free survival (DFS) was (53.8 +/- 7.7)%. Those who had more lymphoblasts in bone marrow at the second AHSCT than that at the first AHSCT had greater probability of relapse. CONCLUSION: It suggested that DAHSCT could be used as an important treatment owing to its low AHSCT related death and relatively long DFS.","['Huang, W', 'Zhang, B', 'Yao, S']","['Huang W', 'Zhang B', 'Yao S']","['Hematology Department, PLA General Hospital of China, Beijing 100853, China.']",['chi'],,"['Clinical Trial', 'Controlled Clinical Trial', 'English Abstract', 'Journal Article']",China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,,IM,"['Adolescent', 'Adult', 'Female', '*Hematopoietic Stem Cell Transplantation', 'Humans', 'Male', 'Precursor Cell Lymphoblastic Leukemia-Lymphoma/mortality/*therapy', 'Transplantation, Autologous', 'Treatment Outcome']",2001/11/23 10:00,2002/01/05 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 2001 Aug;22(8):399-402.,,,,,,,,,,,,,,,,,,,,
11718087,NLM,MEDLINE,20011207,20041117,0253-2727 (Print) 0253-2727 (Linking),22,8,2001 Aug,[To strengthen study on graft versus leukemia].,397-8,,"['Ye, G']",['Ye G'],,['chi'],,['Editorial'],China,Zhonghua Xue Ye Xue Za Zhi,Zhonghua xue ye xue za zhi = Zhonghua xueyexue zazhi,8212398,"['0 (Cytokines)', '0 (Minor Histocompatibility Antigens)']",IM,"['Cytokines/*immunology', 'Graft vs Host Disease/immunology', 'Graft vs Leukemia Effect/*physiology', 'Humans', 'Minor Histocompatibility Antigens/immunology', 'T-Lymphocytes, Cytotoxic/immunology']",2001/11/23 10:00,2002/01/05 10:01,['2001/11/23 10:00'],"['2001/11/23 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/11/23 10:00 [entrez]']",,ppublish,Zhonghua Xue Ye Xue Za Zhi. 2001 Aug;22(8):397-8.,,,,,,,,,,,,,,,,,,,,
