PMID,OWN,STAT,DCOM,LR,IS,VI,IP,DP,TI,PG,AB,FAU,AU,AD,LA,PT,PL,TA,JT,JID,SB,MH,EDAT,MHDA,CRDT,PHST,AID,PST,SO,RN,RF,GR,EIN,CI,TT,SI,CIN,PMC,CON,CN,DEP,LID,OID,SFM,OTO,OT,IR,FIR,IRAD,GN,OAB,OABL,MID,CRI
11576908,NLM,MEDLINE,20011018,20190815,1523-6838 (Electronic) 0272-6386 (Linking),38,4,2001 Oct,Acute renal failure secondary to spontaneous acute tumor lysis syndrome in myelofibrosis.,E21,"A 70-year-old man with myelofibrosis developed nonoliguric acute renal failure in association with acute uric acid nephropathy in the absence of chemotherapy or radiotherapy. The patient had an 18-month history of transfusion-dependent myelofibrosis and moderate chronic renal insufficiency. Admission laboratory findings were remarkable for severe hyperuricemia, hyperphosphatemia, hyperkalemia, and hypocalcemia with acute deterioration of renal function, consistent with a diagnosis of acute uric acid nephropathy. Treatment, including hemodialysis and allopurinol administration, resulted in clinical improvement with normalization of serum uric acid concentrations and resolution of acute renal failure. With long-term allopurinol therapy, renal function has remained at his previous baseline, and there has been no transformation to acute leukemia. This case represents a rare instance of acute renal failure related to the occurrence of acute uric acid nephropathy associated with myelofibrosis and emphasizes the importance of early recognition and aggressive management, which can lead to recovery of renal function.","['Sile, S', 'Wall, B M']","['Sile S', 'Wall BM']","['Division of Nephrology, Veterans Affairs Medical Center, Memphis, TN 38104, USA.']",['eng'],"['Case Reports', 'Journal Article']",United States,Am J Kidney Dis,American journal of kidney diseases : the official journal of the National Kidney Foundation,8110075,IM,"['Acute Disease', 'Acute Kidney Injury/blood/*etiology', 'Aged', 'Humans', 'Male', 'Primary Myelofibrosis/blood/*complications']",2001/09/29 10:00,2001/10/19 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2001/10/19 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['S0272-6386(01)45302-9 [pii]', '10.1053/ajkd.2001.27730 [doi]']",ppublish,Am J Kidney Dis. 2001 Oct;38(4):E21. doi: 10.1053/ajkd.2001.27730.,,,,,,,,,,,,,,,,,,,,,,,,,
11576833,NLM,MEDLINE,20011101,20190718,0959-8049 (Print) 0959-8049 (Linking),37,15,2001 Oct,STI571: a magic bullet?,1816-9,,"['Verweij, J', 'Judson, I', 'van Oosterom, A']","['Verweij J', 'Judson I', 'van Oosterom A']","['Department of Medical Oncology, Rotterdam Cancer Institute (Daniel den Hoed Kliniek) and University Hospital, Rotterdam, The Netherlands. verweij@onch.azr.nl']",['eng'],"['Journal Article', 'Review']",England,Eur J Cancer,"European journal of cancer (Oxford, England : 1990)",9005373,IM,"['Antineoplastic Agents/*therapeutic use', 'Benzamides', 'Enzyme Inhibitors/*therapeutic use', 'Gastrointestinal Neoplasms/*drug therapy', 'Humans', 'Imatinib Mesylate', 'Leukemia, Myelogenous, Chronic, BCR-ABL Positive/*drug therapy', 'Mesenchymoma/drug therapy', 'Piperazines/*therapeutic use', 'Protein-Tyrosine Kinases/antagonists & inhibitors', 'Pyrimidines/*therapeutic use']",2001/09/29 10:00,2001/11/03 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2001/11/03 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['S0959-8049(01)00237-4 [pii]', '10.1016/s0959-8049(01)00237-4 [doi]']",ppublish,Eur J Cancer. 2001 Oct;37(15):1816-9. doi: 10.1016/s0959-8049(01)00237-4.,"['0 (Antineoplastic Agents)', '0 (Benzamides)', '0 (Enzyme Inhibitors)', '0 (Piperazines)', '0 (Pyrimidines)', '8A1O1M485B (Imatinib Mesylate)', 'EC 2.7.10.1 (Protein-Tyrosine Kinases)']",16,,,,,,,,,,,,,,,,,,,,,,,
11576536,NLM,MEDLINE,20011025,20190621,0014-5793 (Print) 0014-5793 (Linking),505,3,2001 Sep 21,Regulation of apoptosis by respiration: cytochrome c release by respiratory substrates.,399-404,"Cytochrome c release from mitochondria is essential for apoptosis. Using human myelogenous leukemia ML-1a, its respiration-deficient and reconstituted cells, we demonstrated that respiratory function is essential for tumor necrosis factor-induced cytochrome c release. In a cell free system using mitochondrial fraction from ML-1a, initiation of respiration by substrates for complexes I, II, and III but not IV released cytochrome c, suggesting that reduction of coenzyme Q or complex III is essential for cytochrome c release. In the same system, disruption of mitochondrial outer membrane was neither enough nor the cause for cytochrome c release by succinate. These observations define an early pathway in which a change in respiration releases cytochrome c.","['Nishimura, G', 'Proske, R J', 'Doyama, H', 'Higuchi, M']","['Nishimura G', 'Proske RJ', 'Doyama H', 'Higuchi M']","['Department of Molecular Therapeutics, The University of Texas MD Anderson Cancer Center, Houston, TX 77030, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",England,FEBS Lett,FEBS letters,0155157,IM,"['Apoptosis/*physiology', 'Cell-Free System', 'Cytochrome c Group/*metabolism', '*Electron Transport', 'Humans', 'Mitochondria/enzymology/*metabolism', 'Signal Transduction', 'Substrate Specificity', 'Tumor Cells, Cultured']",2001/09/29 10:00,2001/10/26 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2001/10/26 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['S0014-5793(01)02859-9 [pii]', '10.1016/s0014-5793(01)02859-9 [doi]']",ppublish,FEBS Lett. 2001 Sep 21;505(3):399-404. doi: 10.1016/s0014-5793(01)02859-9.,['0 (Cytochrome c Group)'],,,,,,,,,,,,,,,,,,,,,,,,
11575968,NLM,MEDLINE,20011204,20190906,0163-3864 (Print) 0163-3864 (Linking),64,9,2001 Sep,New multiflorane-type triterpenoid acids from Sandoricum indicum.,1243-5,"Three new 12beta-hydroxymultiflorane triterpenoid acids, sandorinic acids A-C (1-3), were isolated from the stem bark of Sandoricum indicum together with five known triterpenes (4-8). The structures of 1-3 were elucidated by spectral data interpretation. Compounds 1-8 were evaluated for their inhibiting activity against several tumor cell lines and for their effects on lymphocyte proliferation.","['Tanaka, T', 'Koyano, T', 'Kowithayakorn, T', 'Fujimoto, H', 'Okuyama, E', 'Hayashi, M', 'Komiyama, K', 'Ishibashi, M']","['Tanaka T', 'Koyano T', 'Kowithayakorn T', 'Fujimoto H', 'Okuyama E', 'Hayashi M', 'Komiyama K', 'Ishibashi M']","['Graduate School of Pharmaceutical Sciences, Chiba University, 1-33 Yayoi-cho, Inage-ku, Chiba 263-8522, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Chromatography', 'Chromatography, High Pressure Liquid', 'Doxorubicin/pharmacology', 'Drug Resistance, Neoplasm', 'Drug Screening Assays, Antitumor', 'Humans', 'Inhibitory Concentration 50', 'Leukemia P388', 'Leukemia, Lymphoid', 'Magnetic Resonance Spectroscopy', 'Medicine, Chinese Traditional', 'Meliaceae/*chemistry', 'Mice', 'Molecular Structure', 'Plant Stems/chemistry', 'Plants, Medicinal/chemistry', 'Spectrophotometry, Infrared', 'Spectrophotometry, Ultraviolet', 'Structure-Activity Relationship', 'Thailand', 'Triterpenes/chemistry/*isolation & purification/pharmacology', 'Tumor Cells, Cultured/drug effects', 'Vincristine/pharmacology']",2001/09/29 10:00,2002/01/05 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['np010196w [pii]', '10.1021/np010196w [doi]']",ppublish,J Nat Prod. 2001 Sep;64(9):1243-5. doi: 10.1021/np010196w.,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Triterpenes)', '0 (sandorinic acid A)', '0 (sandorinic acid B)', '0 (sandorinic acid C)', '5J49Q6B70F (Vincristine)', '80168379AG (Doxorubicin)']",,,,,,,,,,,,,,,,,,,,,,,,
11575967,NLM,MEDLINE,20011204,20190906,0163-3864 (Print) 0163-3864 (Linking),64,9,2001 Sep,"Junceol A, a new sesquiterpenoid from the sea pen Virgularia juncea.",1241-2,"A new sesquiterpenoid, junceol A(1), as well as two known diterpenoids, sclerophytin A (2) and cladiellisin (3), have been isolated from the sea pen octocoral Virgularia juncea. The structure of metabolite 1 was determined by extensive spectral analysis. Compounds 1-3 have been shown to exhibit cytotoxicity toward P-388 cancer cells.","['Chen, S P', 'Sung, P J', 'Duh, C Y', 'Dai, C F', 'Sheu, J H']","['Chen SP', 'Sung PJ', 'Duh CY', 'Dai CF', 'Sheu JH']","['Department of Marine Resources, National Sun Yat-Sen University, Kaohsiung 804, Taiwan, Republic of China.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Bridged-Ring Compounds/chemistry/isolation & purification/pharmacology', 'Chromatography, Thin Layer', 'Cnidaria/*chemistry', 'Drug Screening Assays, Antitumor', 'Furans/chemistry/isolation & purification/pharmacology', 'Inhibitory Concentration 50', 'Leukemia P388', 'Magnetic Resonance Spectroscopy', 'Molecular Conformation', 'Molecular Structure', 'Sesquiterpenes/chemistry/*isolation & purification/pharmacology', 'Spectrophotometry, Infrared', 'Taiwan', 'Tumor Cells, Cultured/drug effects']",2001/09/29 10:00,2002/01/05 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['np010192r [pii]', '10.1021/np010192r [doi]']",ppublish,J Nat Prod. 2001 Sep;64(9):1241-2. doi: 10.1021/np010192r.,"['0 (Bridged-Ring Compounds)', '0 (Furans)', '0 (Sesquiterpenes)', '0 (junceol A)', '0 (sclerophytin A)']",,,,,,,,,,,,,,,,,,,,,,,,
11575962,NLM,MEDLINE,20011204,20190906,0163-3864 (Print) 0163-3864 (Linking),64,9,2001 Sep,New bisdesmosidic triterpene saponins from the roots of Pulsatilla chinensis.,1226-9,"Further phytochemical analysis aimed at the triterpene saponin constituents of the roots of Pulsatilla chinensis has resulted in the isolation of four new bisdesmosidic triterpene saponins whose aglycons are based on the lupane skeleton (1-4), together with three known saponins (5-7). The structures of the new compounds were determined by spectroscopic analysis and acid-catalyzed hydrolysis.","['Mimaki, Y', 'Yokosuka, A', 'Kuroda, M', 'Hamanaka, M', 'Sakuma, C', 'Sashida, Y']","['Mimaki Y', 'Yokosuka A', 'Kuroda M', 'Hamanaka M', 'Sakuma C', 'Sashida Y']","['School of Pharmacy, Tokyo University of Pharmacy and Life Science, 1432-1, Horinouchi, Hachioji, Tokyo 192-0392, Japan. mimakiy@ps.toyaku.ac.jp']",['eng'],['Journal Article'],United States,J Nat Prod,Journal of natural products,7906882,IM,"['Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Carbohydrate Conformation', 'Carbohydrate Sequence', 'Chromatography', 'Chromatography, High Pressure Liquid', 'Drug Screening Assays, Antitumor', 'Drugs, Chinese Herbal/*chemistry', 'HL-60 Cells/drug effects', 'Humans', 'Leukemia, Myeloid', 'Magnetic Resonance Spectroscopy', 'Medicine, Chinese Traditional', 'Molecular Sequence Data', 'Plant Roots/chemistry', 'Plants, Medicinal/chemistry', 'Ranunculaceae/*chemistry', 'Saponins/chemistry/*isolation & purification/pharmacology', 'Triterpenes/chemistry/*isolation & purification/pharmacology', 'Tumor Cells, Cultured/drug effects']",2001/09/29 10:00,2002/01/05 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['np010252t [pii]', '10.1021/np010252t [doi]']",ppublish,J Nat Prod. 2001 Sep;64(9):1226-9. doi: 10.1021/np010252t.,"['0 (Antineoplastic Agents, Phytogenic)', '0 (Drugs, Chinese Herbal)', '0 (Saponins)', '0 (Triterpenes)']",,,,,,,,,,,,,,,,,,,,,,,,
11575950,NLM,MEDLINE,20011204,20190906,0163-3864 (Print) 0163-3864 (Linking),64,9,2001 Sep,"Haterumaimides F-I, four new cytotoxic diterpene alkaloids from an ascidian Lissoclinum species.",1169-73,"Four new monochlorinated diterpene alkaloids, haterumaimides F-I (1-4), and two known ones, dichlorolissoclimide and chlorolissoclimide, were isolated from an ascidian Lissoclinum sp. Their structures with absolute stereochemistries were elucidated by chemical and spectral analyses. Haterumaimides F-I (1-4) inhibited the first cleavage of fertilized sea urchin eggs and exhibited potent to weak cytotoxicities against P388 cells.","['Uddin, M J', 'Kokubo, S', 'Ueda, K', 'Suenaga, K', 'Uemura, D']","['Uddin MJ', 'Kokubo S', 'Ueda K', 'Suenaga K', 'Uemura D']","['Department of Chemistry, Biology and Marine Science, University of the Ryukyus, Nishihara-cho, Okinawa 903-0213, Japan.']",['eng'],"['Comparative Study', 'Journal Article', ""Research Support, Non-U.S. Gov't""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Alkaloids/chemistry/*isolation & purification/pharmacology/toxicity', 'Animals', 'Cell Division/drug effects', 'Chromatography, High Pressure Liquid', 'Diterpenes/chemistry/*isolation & purification/pharmacology/toxicity', 'Drug Screening Assays, Antitumor', 'Female', 'Inhibitory Concentration 50', 'Japan', 'Leukemia P388', 'Leukemia, Lymphoid', 'Magnetic Resonance Spectroscopy', 'Mass Spectrometry', 'Molecular Structure', 'Ovum/cytology/drug effects/metabolism', 'Sea Urchins/drug effects/embryology/metabolism', 'Spectrophotometry, Infrared', 'Stereoisomerism', 'Structure-Activity Relationship', 'Tumor Cells, Cultured/drug effects', 'Urochordata/*chemistry']",2001/09/29 10:00,2002/01/05 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['np010066n [pii]', '10.1021/np010066n [doi]']",ppublish,J Nat Prod. 2001 Sep;64(9):1169-73. doi: 10.1021/np010066n.,"['0 (Alkaloids)', '0 (Diterpenes)']",,,,,,,,,,,,,,,,,,,,,,,,
11575949,NLM,MEDLINE,20011204,20190906,0163-3864 (Print) 0163-3864 (Linking),64,9,2001 Sep,Cytotoxicity of Rhamnosylanthraquinones and Rhamnosylanthrones from Rhamnus nepalensis.,1162-8,"An extract of the fruits of Rhamnus nepalensis collected in Hoa Binh Province, Vietnam, was cytotoxic to KB cells. A bioassay-guided fractionation led to the isolation of a series of known anthraquinones and anthrones, one new rhamnosylanthraquinone, 3'-O-acetylfrangulin A (8), several new rhamnosylanthrones, the prinoidin-emodin bianthrones (9A-D), the prinoidin bianthrones (10A,B), and the rhamnepalins (11A-C). A structure-cytotoxic activity relationship study was performed on these isolates and some semisynthetic derivatives.","['Mai, L P', 'Gueritte, F', 'Dumontet, V', 'Tri, M V', 'Hill, B', 'Thoison, O', 'Guenard, D', 'Sevenet, T']","['Mai LP', 'Gueritte F', 'Dumontet V', 'Tri MV', 'Hill B', 'Thoison O', 'Guenard D', 'Sevenet T']","['Institut de Chimie des Substances Naturelles, Centre National de la Recherche Scientifique, 91198 Gif-sur-Yvette Cedex, France.']",['eng'],['Journal Article'],United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Anthraquinones/chemistry/*isolation & purification/pharmacology', 'Antineoplastic Agents, Phytogenic/chemistry/*isolation & purification/pharmacology', 'Chromatography, High Pressure Liquid', 'Chromatography, Thin Layer', 'Drug Screening Assays, Antitumor', 'Fruit/chemistry', 'Glycosides/chemistry/*isolation & purification/pharmacology', 'Humans', 'KB Cells', 'Leukemia/chemically induced', 'Magnetic Resonance Spectroscopy', 'Mice', 'Mice, Inbred Strains', 'Molecular Structure', 'Plant Leaves/chemistry', 'Plants, Medicinal/chemistry', 'Rhamnaceae/*chemistry', 'Spectrophotometry, Infrared', 'Spectrophotometry, Ultraviolet', 'Spectroscopy, Fourier Transform Infrared', 'Stereoisomerism', 'Structure-Activity Relationship', 'Tumor Cells, Cultured/drug effects', 'Vietnam']",2001/09/29 10:00,2002/01/05 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['np010030v [pii]', '10.1021/np010030v [doi]']",ppublish,J Nat Prod. 2001 Sep;64(9):1162-8. doi: 10.1021/np010030v.,"[""0 (3'-O-acetylfrangulin A)"", '0 (Anthraquinones)', '0 (Antineoplastic Agents, Phytogenic)', '0 (Glycosides)', '0 (prinoidin)']",,,,,,,,,,,,,,,,,,,,,,,,
11575946,NLM,MEDLINE,20011204,20190906,0163-3864 (Print) 0163-3864 (Linking),64,9,2001 Sep,Isolation and structure of five new cancer cell growth inhibitory bufadienolides from the Chinese traditional drug Ch'an Su.,1148-52,"Five new bufadienolides, 3beta-formyloxyresibufogenin (1), 19-oxobufalin (2), 19-oxodesacetylcinobufagin (3), 6alpha-hydroxycinobufagin (4), and 1beta-hydroxybufalin (5), have been isolated together with the previously known bufadienolides 6-20 from the Chinese traditional drug ""Ch'an Su"". The structures were elucidated employing spectroscopic methods. Bufadienolides 1-5 provided significant inhibitory activity against the KB and HL-60 cancer cell lines. In addition, bufadienolide 1 was found active against the MH-60 cancer cell line.","['Nogawa, T', 'Kamano, Y', 'Yamashita, A', 'Pettit, G R']","['Nogawa T', 'Kamano Y', 'Yamashita A', 'Pettit GR']","['Faculty of Science, Kanagawa University, 2946 Tsuchiya, Hiratsuka, Kanagawa 259-1293, Japan.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",United States,J Nat Prod,Journal of natural products,7906882,IM,"['Animals', 'Antineoplastic Agents/chemistry/*isolation & purification/pharmacology', 'Bufanolides/chemistry/*isolation & purification/pharmacology', 'Bufonidae', 'Chromatography, High Pressure Liquid', 'Chromatography, Thin Layer', 'HL-60 Cells/drug effects', 'Humans', 'KB Cells/drug effects', 'Leukemia, Myeloid', 'Magnetic Resonance Spectroscopy', 'Medicine, Chinese Traditional', 'Mice', 'Molecular Conformation', 'Molecular Structure', 'Nasopharyngeal Neoplasms', 'Skin/metabolism', 'Spectrophotometry, Infrared', 'Spectrophotometry, Ultraviolet', 'Tumor Cells, Cultured/drug effects']",2001/09/29 10:00,2002/01/05 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2002/01/05 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['np0101088 [pii]', '10.1021/np0101088 [doi]']",ppublish,J Nat Prod. 2001 Sep;64(9):1148-52. doi: 10.1021/np0101088.,"['0 (Antineoplastic Agents)', '0 (Bufanolides)']",,['CA-44344-01A1-12/CA/NCI NIH HHS/United States'],['J Nat Prod. 2004 Nov;67(11):1960'],,,,,,,,,,,,,,,,,,,,,
11575918,NLM,MEDLINE,20011025,20161124,0022-2836 (Print) 0022-2836 (Linking),312,4,2001 Sep 28,The RING domains of the promyelocytic leukemia protein PML and the arenaviral protein Z repress translation by directly inhibiting translation initiation factor eIF4E.,609-23,"The promyelocytic leukemia protein (PML) is a mammalian regulator of cell growth which is characteristically disrupted in acute promyelocytic leukemia and by a variety of viruses. PML contains a RING domain which is required for its growth-suppressive and antiviral properties. Although normally nuclear, in certain pathogenic conditions, including arenaviral infection, PML is relocated to the cytoplasm, where its functions are poorly understood. Here, we observe that PML and arenavirus protein Z use regions around the first zinc-binding site of their respective RING domains to directly interact, with sub-micromolar affinity, with the dorsal surface of translation initiation factor eIF4E, representing a novel mode of eIF4E recognition. PML and Z profoundly reduce the affinity of eIF4E for its substrate, the 5' 7-methyl guanosine cap of mRNA, by over 100-fold. Association with the dorsal surface of eIF4E and direct antagonism of mRNA cap binding by PML and Z lead to direct inhibition of translation. These activities of the RING domains of PML and Z do not involve ubiquitin-mediated protein degradation, in contrast to many RINGs which have been observed to do so. Although PML and Z have well characterized physiological functions in regulation of growth and apoptosis, this work establishes the first discrete biochemical mechanism which underlies the biological activities of their RING domains. Thus, we establish PML and Z as translational repressors, with potential contributions to the pathogenesis of acute promyelocytic leukemia and variety of viral infections.","['Kentsis, A', 'Dwyer, E C', 'Perez, J M', 'Sharma, M', 'Chen, A', 'Pan, Z Q', 'Borden, K L']","['Kentsis A', 'Dwyer EC', 'Perez JM', 'Sharma M', 'Chen A', 'Pan ZQ', 'Borden KL']","['Department of Physiology & Biophysics, Mount Sinai School of Medicine, New York, NY 10029, USA.']",['eng'],"['Journal Article', ""Research Support, Non-U.S. Gov't"", ""Research Support, U.S. Gov't, P.H.S.""]",England,J Mol Biol,Journal of molecular biology,2985088R,IM,"['Arenavirus/*chemistry', 'Binding Sites', 'Circular Dichroism', 'Eukaryotic Initiation Factor-4E', 'Genes, Reporter', 'HeLa Cells', 'Humans', 'Ligases/metabolism', 'Models, Molecular', 'Mutation', 'Neoplasm Proteins/*chemistry/genetics/*metabolism', '*Nuclear Proteins', 'Peptide Initiation Factors/*antagonists & inhibitors/metabolism', 'Promyelocytic Leukemia Protein', 'Protein Binding', '*Protein Biosynthesis', 'Protein Structure, Tertiary', 'RNA Caps/biosynthesis/metabolism', 'RNA Stability', 'Spectrometry, Mass, Electrospray Ionization', 'Thermodynamics', 'Transcription Factors/*chemistry/genetics/*metabolism', 'Tumor Suppressor Proteins', 'Ubiquitin-Protein Ligases', 'Ubiquitins/metabolism', 'Viral Proteins/*chemistry/genetics/*metabolism', 'Zinc/metabolism']",2001/09/29 10:00,2001/10/26 10:01,['2001/09/29 10:00'],"['2001/09/29 10:00 [pubmed]', '2001/10/26 10:01 [medline]', '2001/09/29 10:00 [entrez]']","['10.1006/jmbi.2001.5003 [doi]', 'S0022-2836(01)95003-X [pii]']",ppublish,J Mol Biol. 2001 Sep 28;312(4):609-23. doi: 10.1006/jmbi.2001.5003.,"['0 (Eukaryotic Initiation Factor-4E)', '0 (Neoplasm Proteins)', '0 (Nuclear Proteins)', '0 (Peptide Initiation Factors)', '0 (Promyelocytic Leukemia Protein)', '0 (RNA Caps)', '0 (Transcription Factors)', '0 (Tumor Suppressor Proteins)', '0 (Ubiquitins)', '0 (Viral Proteins)', '143220-95-5 (PML protein, human)', 'EC 2.3.2.27 (Ubiquitin-Protein Ligases)', 'EC 6.- (Ligases)', 'J41CSQ7QDS (Zinc)']",,['CA 80728/CA/NCI NIH HHS/United States'],,['Copyright 2001 Academic Press.'],,,,,,,,,,,,,,,,,,,,
